context: We're sick and tired of you dodging the issue! response:	I am not dodging the issue!
context: Wh-What!? What is it?\Come to think of it, what's Tsugumi's Void?\Well, I've never drawn it out...\Think of the situation we're in.\It's best to get an idea of everyone's Voids, isn't it?\Don't worry. It only hurts for a second.\It hurts!?\All right, Dr. Ouma, have at it! response:	Hey Wait
context: Come to think of it, what's Tsugumi's Void?\Well, I've never drawn it out...\Think of the situation we're in.\It's best to get an idea of everyone's Voids, isn't it?\Don't worry. It only hurts for a second.\It hurts!?\All right, Dr. Ouma, have at it!\Hey Wait response:	Okay then. Sorry, Tsugumi.
context: Well, I've never drawn it out...\Think of the situation we're in.\It's best to get an idea of everyone's Voids, isn't it?\Don't worry. It only hurts for a second.\It hurts!?\All right, Dr. Ouma, have at it!\Hey Wait\Okay then. Sorry, Tsugumi. response:	St-Stop!
context: Think of the situation we're in.\It's best to get an idea of everyone's Voids, isn't it?\Don't worry. It only hurts for a second.\It hurts!?\All right, Dr. Ouma, have at it!\Hey Wait\Okay then. Sorry, Tsugumi.\St-Stop! response:	No!
context: It's best to get an idea of everyone's Voids, isn't it?\Don't worry. It only hurts for a second.\It hurts!?\All right, Dr. Ouma, have at it!\Hey Wait\Okay then. Sorry, Tsugumi.\St-Stop!\No! response:	Report.
context: Don't worry. It only hurts for a second.\It hurts!?\All right, Dr. Ouma, have at it!\Hey Wait\Okay then. Sorry, Tsugumi.\St-Stop!\No!\Report. response:	Yes, sir. We're deploying a mop-up team based on your strategy.
context: It hurts!?\All right, Dr. Ouma, have at it!\Hey Wait\Okay then. Sorry, Tsugumi.\St-Stop!\No!\Report.\Yes, sir. We're deploying a mop-up team based on your strategy. response:	Next, we'll form a ring around the area and proceed to purify, then shrink the blockade zone.
context: All right, Dr. Ouma, have at it!\Hey Wait\Okay then. Sorry, Tsugumi.\St-Stop!\No!\Report.\Yes, sir. We're deploying a mop-up team based on your strategy.\Next, we'll form a ring around the area and proceed to purify, then shrink the blockade zone. response:	As for our main force, I've strategically stationed the Ghost unit formed from the data you gave me.
context: Hey Wait\Okay then. Sorry, Tsugumi.\St-Stop!\No!\Report.\Yes, sir. We're deploying a mop-up team based on your strategy.\Next, we'll form a ring around the area and proceed to purify, then shrink the blockade zone.\As for our main force, I've strategically stationed the Ghost unit formed from the data you gave me. response:	Now then, Mr. President...
context: Okay then. Sorry, Tsugumi.\St-Stop!\No!\Report.\Yes, sir. We're deploying a mop-up team based on your strategy.\Next, we'll form a ring around the area and proceed to purify, then shrink the blockade zone.\As for our main force, I've strategically stationed the Ghost unit formed from the data you gave me.\Now then, Mr. President... response:	Begin.
context: St-Stop!\No!\Report.\Yes, sir. We're deploying a mop-up team based on your strategy.\Next, we'll form a ring around the area and proceed to purify, then shrink the blockade zone.\As for our main force, I've strategically stationed the Ghost unit formed from the data you gave me.\Now then, Mr. President...\Begin. response:	Yes Sir!
context: No!\Report.\Yes, sir. We're deploying a mop-up team based on your strategy.\Next, we'll form a ring around the area and proceed to purify, then shrink the blockade zone.\As for our main force, I've strategically stationed the Ghost unit formed from the data you gave me.\Now then, Mr. President...\Begin.\Yes Sir! response:	Now beginning Operation Purify Tokyo!
context: Report.\Yes, sir. We're deploying a mop-up team based on your strategy.\Next, we'll form a ring around the area and proceed to purify, then shrink the blockade zone.\As for our main force, I've strategically stationed the Ghost unit formed from the data you gave me.\Now then, Mr. President...\Begin.\Yes Sir!\Now beginning Operation Purify Tokyo! response:	This is an announcement from the new Japanese government.
context: Yes, sir. We're deploying a mop-up team based on your strategy.\Next, we'll form a ring around the area and proceed to purify, then shrink the blockade zone.\As for our main force, I've strategically stationed the Ghost unit formed from the data you gave me.\Now then, Mr. President...\Begin.\Yes Sir!\Now beginning Operation Purify Tokyo!\This is an announcement from the new Japanese government. response:	As of midnight tonight, we are shrinking the quarantined area.
context: Next, we'll form a ring around the area and proceed to purify, then shrink the blockade zone.\As for our main force, I've strategically stationed the Ghost unit formed from the data you gave me.\Now then, Mr. President...\Begin.\Yes Sir!\Now beginning Operation Purify Tokyo!\This is an announcement from the new Japanese government.\As of midnight tonight, we are shrinking the quarantined area. response:	Anyone who attempts to venture outside the red lines
context: As for our main force, I've strategically stationed the Ghost unit formed from the data you gave me.\Now then, Mr. President...\Begin.\Yes Sir!\Now beginning Operation Purify Tokyo!\This is an announcement from the new Japanese government.\As of midnight tonight, we are shrinking the quarantined area.\Anyone who attempts to venture outside the red lines response:	will be purified on sight, so please be careful.
context: Now then, Mr. President...\Begin.\Yes Sir!\Now beginning Operation Purify Tokyo!\This is an announcement from the new Japanese government.\As of midnight tonight, we are shrinking the quarantined area.\Anyone who attempts to venture outside the red lines\will be purified on sight, so please be careful. response:	I don't like this.
context: Begin.\Yes Sir!\Now beginning Operation Purify Tokyo!\This is an announcement from the new Japanese government.\As of midnight tonight, we are shrinking the quarantined area.\Anyone who attempts to venture outside the red lines\will be purified on sight, so please be careful.\I don't like this. response:	President's orders or not, there's no love in this kind of killing.
context: Yes Sir!\Now beginning Operation Purify Tokyo!\This is an announcement from the new Japanese government.\As of midnight tonight, we are shrinking the quarantined area.\Anyone who attempts to venture outside the red lines\will be purified on sight, so please be careful.\I don't like this.\President's orders or not, there's no love in this kind of killing. response:	And that Ghost unit they're not connected from here, are they?
context: Now beginning Operation Purify Tokyo!\This is an announcement from the new Japanese government.\As of midnight tonight, we are shrinking the quarantined area.\Anyone who attempts to venture outside the red lines\will be purified on sight, so please be careful.\I don't like this.\President's orders or not, there's no love in this kind of killing.\And that Ghost unit they're not connected from here, are they? response:	And they're not on scene, either...
context: This is an announcement from the new Japanese government.\As of midnight tonight, we are shrinking the quarantined area.\Anyone who attempts to venture outside the red lines\will be purified on sight, so please be careful.\I don't like this.\President's orders or not, there's no love in this kind of killing.\And that Ghost unit they're not connected from here, are they?\And they're not on scene, either... response:	So, where are the operators?
context: As of midnight tonight, we are shrinking the quarantined area.\Anyone who attempts to venture outside the red lines\will be purified on sight, so please be careful.\I don't like this.\President's orders or not, there's no love in this kind of killing.\And that Ghost unit they're not connected from here, are they?\And they're not on scene, either...\So, where are the operators? response:	That's top secret.
context: Anyone who attempts to venture outside the red lines\will be purified on sight, so please be careful.\I don't like this.\President's orders or not, there's no love in this kind of killing.\And that Ghost unit they're not connected from here, are they?\And they're not on scene, either...\So, where are the operators?\That's top secret. response:	Is it true!?
context: will be purified on sight, so please be careful.\I don't like this.\President's orders or not, there's no love in this kind of killing.\And that Ghost unit they're not connected from here, are they?\And they're not on scene, either...\So, where are the operators?\That's top secret.\Is it true!? response:	It's happening at Koenji.
context: I don't like this.\President's orders or not, there's no love in this kind of killing.\And that Ghost unit they're not connected from here, are they?\And they're not on scene, either...\So, where are the operators?\That's top secret.\Is it true!?\It's happening at Koenji. response:	So the government's started a massacre at Koenji?
context: President's orders or not, there's no love in this kind of killing.\And that Ghost unit they're not connected from here, are they?\And they're not on scene, either...\So, where are the operators?\That's top secret.\Is it true!?\It's happening at Koenji.\So the government's started a massacre at Koenji? response:	So the government's started a massacre at Koenji?
context: And that Ghost unit they're not connected from here, are they?\And they're not on scene, either...\So, where are the operators?\That's top secret.\Is it true!?\It's happening at Koenji.\So the government's started a massacre at Koenji?\So the government's started a massacre at Koenji? response:	A massacre...
context: And they're not on scene, either...\So, where are the operators?\That's top secret.\Is it true!?\It's happening at Koenji.\So the government's started a massacre at Koenji?\So the government's started a massacre at Koenji?\A massacre... response:	I heard everyone who tried looking for help were killed!
context: So, where are the operators?\That's top secret.\Is it true!?\It's happening at Koenji.\So the government's started a massacre at Koenji?\So the government's started a massacre at Koenji?\A massacre...\I heard everyone who tried looking for help were killed! response:	I heard everyone who tried looking for help were killed!
context: That's top secret.\Is it true!?\It's happening at Koenji.\So the government's started a massacre at Koenji?\So the government's started a massacre at Koenji?\A massacre...\I heard everyone who tried looking for help were killed!\I heard everyone who tried looking for help were killed! response:	I heard they lynched everyone there! Scary...
context: Is it true!?\It's happening at Koenji.\So the government's started a massacre at Koenji?\So the government's started a massacre at Koenji?\A massacre...\I heard everyone who tried looking for help were killed!\I heard everyone who tried looking for help were killed!\I heard they lynched everyone there! Scary... response:	I heard they lynched everyone there! Scary...
context: It's happening at Koenji.\So the government's started a massacre at Koenji?\So the government's started a massacre at Koenji?\A massacre...\I heard everyone who tried looking for help were killed!\I heard everyone who tried looking for help were killed!\I heard they lynched everyone there! Scary...\I heard they lynched everyone there! Scary... response:	Things are really getting really bad now.
context: So the government's started a massacre at Koenji?\So the government's started a massacre at Koenji?\A massacre...\I heard everyone who tried looking for help were killed!\I heard everyone who tried looking for help were killed!\I heard they lynched everyone there! Scary...\I heard they lynched everyone there! Scary...\Things are really getting really bad now. response:	It's all over now... Everyone's dead.
context: So the government's started a massacre at Koenji?\A massacre...\I heard everyone who tried looking for help were killed!\I heard everyone who tried looking for help were killed!\I heard they lynched everyone there! Scary...\I heard they lynched everyone there! Scary...\Things are really getting really bad now.\It's all over now... Everyone's dead. response:	It's all over now... Everyone's dead.
context: A massacre...\I heard everyone who tried looking for help were killed!\I heard everyone who tried looking for help were killed!\I heard they lynched everyone there! Scary...\I heard they lynched everyone there! Scary...\Things are really getting really bad now.\It's all over now... Everyone's dead.\It's all over now... Everyone's dead. response:	Nanba.
context: I heard everyone who tried looking for help were killed!\I heard everyone who tried looking for help were killed!\I heard they lynched everyone there! Scary...\I heard they lynched everyone there! Scary...\Things are really getting really bad now.\It's all over now... Everyone's dead.\It's all over now... Everyone's dead.\Nanba. response:	What are you up to at this time of night?
context: I heard everyone who tried looking for help were killed!\I heard they lynched everyone there! Scary...\I heard they lynched everyone there! Scary...\Things are really getting really bad now.\It's all over now... Everyone's dead.\It's all over now... Everyone's dead.\Nanba.\What are you up to at this time of night? response:	According to rumors, there's been a massacre at Koenji.
context: I heard they lynched everyone there! Scary...\I heard they lynched everyone there! Scary...\Things are really getting really bad now.\It's all over now... Everyone's dead.\It's all over now... Everyone's dead.\Nanba.\What are you up to at this time of night?\According to rumors, there's been a massacre at Koenji. response:	What now? Do you still want to wait and do nothing?
context: I heard they lynched everyone there! Scary...\Things are really getting really bad now.\It's all over now... Everyone's dead.\It's all over now... Everyone's dead.\Nanba.\What are you up to at this time of night?\According to rumors, there's been a massacre at Koenji.\What now? Do you still want to wait and do nothing? response:	Rowan.
context: Things are really getting really bad now.\It's all over now... Everyone's dead.\It's all over now... Everyone's dead.\Nanba.\What are you up to at this time of night?\According to rumors, there's been a massacre at Koenji.\What now? Do you still want to wait and do nothing?\Rowan. response:	Do you know what brought down the ancient city-states of Greece?
context: It's all over now... Everyone's dead.\It's all over now... Everyone's dead.\Nanba.\What are you up to at this time of night?\According to rumors, there's been a massacre at Koenji.\What now? Do you still want to wait and do nothing?\Rowan.\Do you know what brought down the ancient city-states of Greece? response:	In one word.
context: It's all over now... Everyone's dead.\Nanba.\What are you up to at this time of night?\According to rumors, there's been a massacre at Koenji.\What now? Do you still want to wait and do nothing?\Rowan.\Do you know what brought down the ancient city-states of Greece?\In one word. response:	I'm afraid I was a physics major.
context: Nanba.\What are you up to at this time of night?\According to rumors, there's been a massacre at Koenji.\What now? Do you still want to wait and do nothing?\Rowan.\Do you know what brought down the ancient city-states of Greece?\In one word.\I'm afraid I was a physics major. response:	Demagogy.
context: What are you up to at this time of night?\According to rumors, there's been a massacre at Koenji.\What now? Do you still want to wait and do nothing?\Rowan.\Do you know what brought down the ancient city-states of Greece?\In one word.\I'm afraid I was a physics major.\Demagogy. response:	Look at what happens when we stop jamming their signals.
context: According to rumors, there's been a massacre at Koenji.\What now? Do you still want to wait and do nothing?\Rowan.\Do you know what brought down the ancient city-states of Greece?\In one word.\I'm afraid I was a physics major.\Demagogy.\Look at what happens when we stop jamming their signals. response:	And...
context: What now? Do you still want to wait and do nothing?\Rowan.\Do you know what brought down the ancient city-states of Greece?\In one word.\I'm afraid I was a physics major.\Demagogy.\Look at what happens when we stop jamming their signals.\And... response:	Now, I wonder how they'll react.
context: Rowan.\Do you know what brought down the ancient city-states of Greece?\In one word.\I'm afraid I was a physics major.\Demagogy.\Look at what happens when we stop jamming their signals.\And...\Now, I wonder how they'll react. response:	You're a perverse man, Sir.
context: Do you know what brought down the ancient city-states of Greece?\In one word.\I'm afraid I was a physics major.\Demagogy.\Look at what happens when we stop jamming their signals.\And...\Now, I wonder how they'll react.\You're a perverse man, Sir. response:	Please, don't compliment me so much.
context: In one word.\I'm afraid I was a physics major.\Demagogy.\Look at what happens when we stop jamming their signals.\And...\Now, I wonder how they'll react.\You're a perverse man, Sir.\Please, don't compliment me so much. response:	Thanks a lot, Gramps.
context: I'm afraid I was a physics major.\Demagogy.\Look at what happens when we stop jamming their signals.\And...\Now, I wonder how they'll react.\You're a perverse man, Sir.\Please, don't compliment me so much.\Thanks a lot, Gramps. response:	We couldn't have stayed on the run any longer.
context: Demagogy.\Look at what happens when we stop jamming their signals.\And...\Now, I wonder how they'll react.\You're a perverse man, Sir.\Please, don't compliment me so much.\Thanks a lot, Gramps.\We couldn't have stayed on the run any longer. response:	How can we repay your kindness?
context: Look at what happens when we stop jamming their signals.\And...\Now, I wonder how they'll react.\You're a perverse man, Sir.\Please, don't compliment me so much.\Thanks a lot, Gramps.\We couldn't have stayed on the run any longer.\How can we repay your kindness? response:	All lines of communication and transport into the city center
context: And...\Now, I wonder how they'll react.\You're a perverse man, Sir.\Please, don't compliment me so much.\Thanks a lot, Gramps.\We couldn't have stayed on the run any longer.\How can we repay your kindness?\All lines of communication and transport into the city center response:	were shut down as soon as Keido took office
context: Now, I wonder how they'll react.\You're a perverse man, Sir.\Please, don't compliment me so much.\Thanks a lot, Gramps.\We couldn't have stayed on the run any longer.\How can we repay your kindness?\All lines of communication and transport into the city center\were shut down as soon as Keido took office response:	but there should still be plenty of survivors left.
context: You're a perverse man, Sir.\Please, don't compliment me so much.\Thanks a lot, Gramps.\We couldn't have stayed on the run any longer.\How can we repay your kindness?\All lines of communication and transport into the city center\were shut down as soon as Keido took office\but there should still be plenty of survivors left. response:	I want to save them.
context: Please, don't compliment me so much.\Thanks a lot, Gramps.\We couldn't have stayed on the run any longer.\How can we repay your kindness?\All lines of communication and transport into the city center\were shut down as soon as Keido took office\but there should still be plenty of survivors left.\I want to save them. response:	It will be our pleasure to assist you.
context: Thanks a lot, Gramps.\We couldn't have stayed on the run any longer.\How can we repay your kindness?\All lines of communication and transport into the city center\were shut down as soon as Keido took office\but there should still be plenty of survivors left.\I want to save them.\It will be our pleasure to assist you. response:	Hey, look!
context: We couldn't have stayed on the run any longer.\How can we repay your kindness?\All lines of communication and transport into the city center\were shut down as soon as Keido took office\but there should still be plenty of survivors left.\I want to save them.\It will be our pleasure to assist you.\Hey, look! response:	This is from someone who managed to get outside!
context: How can we repay your kindness?\All lines of communication and transport into the city center\were shut down as soon as Keido took office\but there should still be plenty of survivors left.\I want to save them.\It will be our pleasure to assist you.\Hey, look!\This is from someone who managed to get outside! response:	If you hand over the members of the Undertakers...
context: All lines of communication and transport into the city center\were shut down as soon as Keido took office\but there should still be plenty of survivors left.\I want to save them.\It will be our pleasure to assist you.\Hey, look!\This is from someone who managed to get outside!\If you hand over the members of the Undertakers... response:	Student Body Meeting Today!
context: were shut down as soon as Keido took office\but there should still be plenty of survivors left.\I want to save them.\It will be our pleasure to assist you.\Hey, look!\This is from someone who managed to get outside!\If you hand over the members of the Undertakers...\Student Body Meeting Today! response:	A vote of no confidence in current president Arisa Kuhouin
context: but there should still be plenty of survivors left.\I want to save them.\It will be our pleasure to assist you.\Hey, look!\This is from someone who managed to get outside!\If you hand over the members of the Undertakers...\Student Body Meeting Today!\A vote of no confidence in current president Arisa Kuhouin response:	will be held, along with the election of the next president.
context: I want to save them.\It will be our pleasure to assist you.\Hey, look!\This is from someone who managed to get outside!\If you hand over the members of the Undertakers...\Student Body Meeting Today!\A vote of no confidence in current president Arisa Kuhouin\will be held, along with the election of the next president. response:	Shu, did you hear about Koenji?
context: It will be our pleasure to assist you.\Hey, look!\This is from someone who managed to get outside!\If you hand over the members of the Undertakers...\Student Body Meeting Today!\A vote of no confidence in current president Arisa Kuhouin\will be held, along with the election of the next president.\Shu, did you hear about Koenji? response:	Yeah. It might be a rumor, but...
context: Hey, look!\This is from someone who managed to get outside!\If you hand over the members of the Undertakers...\Student Body Meeting Today!\A vote of no confidence in current president Arisa Kuhouin\will be held, along with the election of the next president.\Shu, did you hear about Koenji?\Yeah. It might be a rumor, but... response:	But it's definitely something the Anti Bodies would do.
context: This is from someone who managed to get outside!\If you hand over the members of the Undertakers...\Student Body Meeting Today!\A vote of no confidence in current president Arisa Kuhouin\will be held, along with the election of the next president.\Shu, did you hear about Koenji?\Yeah. It might be a rumor, but...\But it's definitely something the Anti Bodies would do. response:	I wonder what's going to happen to our school...
context: If you hand over the members of the Undertakers...\Student Body Meeting Today!\A vote of no confidence in current president Arisa Kuhouin\will be held, along with the election of the next president.\Shu, did you hear about Koenji?\Yeah. It might be a rumor, but...\But it's definitely something the Anti Bodies would do.\I wonder what's going to happen to our school... response:	It's okay.
context: Student Body Meeting Today!\A vote of no confidence in current president Arisa Kuhouin\will be held, along with the election of the next president.\Shu, did you hear about Koenji?\Yeah. It might be a rumor, but...\But it's definitely something the Anti Bodies would do.\I wonder what's going to happen to our school...\It's okay. response:	It won't get any worse than this.
context: A vote of no confidence in current president Arisa Kuhouin\will be held, along with the election of the next president.\Shu, did you hear about Koenji?\Yeah. It might be a rumor, but...\But it's definitely something the Anti Bodies would do.\I wonder what's going to happen to our school...\It's okay.\It won't get any worse than this. response:	We've got everyone with us. Also, I'll fight if I have to.
context: will be held, along with the election of the next president.\Shu, did you hear about Koenji?\Yeah. It might be a rumor, but...\But it's definitely something the Anti Bodies would do.\I wonder what's going to happen to our school...\It's okay.\It won't get any worse than this.\We've got everyone with us. Also, I'll fight if I have to. response:	Okay. But, if you get hurt, I promise I'll heal you with my Void!
context: Shu, did you hear about Koenji?\Yeah. It might be a rumor, but...\But it's definitely something the Anti Bodies would do.\I wonder what's going to happen to our school...\It's okay.\It won't get any worse than this.\We've got everyone with us. Also, I'll fight if I have to.\Okay. But, if you get hurt, I promise I'll heal you with my Void! response:	Thanks!
context: Yeah. It might be a rumor, but...\But it's definitely something the Anti Bodies would do.\I wonder what's going to happen to our school...\It's okay.\It won't get any worse than this.\We've got everyone with us. Also, I'll fight if I have to.\Okay. But, if you get hurt, I promise I'll heal you with my Void!\Thanks! response:	But Shu, don't you want to be the leader?
context: But it's definitely something the Anti Bodies would do.\I wonder what's going to happen to our school...\It's okay.\It won't get any worse than this.\We've got everyone with us. Also, I'll fight if I have to.\Okay. But, if you get hurt, I promise I'll heal you with my Void!\Thanks!\But Shu, don't you want to be the leader? response:	Why don't you run for student council president?
context: I wonder what's going to happen to our school...\It's okay.\It won't get any worse than this.\We've got everyone with us. Also, I'll fight if I have to.\Okay. But, if you get hurt, I promise I'll heal you with my Void!\Thanks!\But Shu, don't you want to be the leader?\Why don't you run for student council president? response:	Nah, that wouldn't work out.
context: It's okay.\It won't get any worse than this.\We've got everyone with us. Also, I'll fight if I have to.\Okay. But, if you get hurt, I promise I'll heal you with my Void!\Thanks!\But Shu, don't you want to be the leader?\Why don't you run for student council president?\Nah, that wouldn't work out. response:	I'm the last person who should be giving people orders.
context: It won't get any worse than this.\We've got everyone with us. Also, I'll fight if I have to.\Okay. But, if you get hurt, I promise I'll heal you with my Void!\Thanks!\But Shu, don't you want to be the leader?\Why don't you run for student council president?\Nah, that wouldn't work out.\I'm the last person who should be giving people orders. response:	That's not true! You've just convinced yourself that's the case.
context: We've got everyone with us. Also, I'll fight if I have to.\Okay. But, if you get hurt, I promise I'll heal you with my Void!\Thanks!\But Shu, don't you want to be the leader?\Why don't you run for student council president?\Nah, that wouldn't work out.\I'm the last person who should be giving people orders.\That's not true! You've just convinced yourself that's the case. response:	You can be a king, Shu.
context: Okay. But, if you get hurt, I promise I'll heal you with my Void!\Thanks!\But Shu, don't you want to be the leader?\Why don't you run for student council president?\Nah, that wouldn't work out.\I'm the last person who should be giving people orders.\That's not true! You've just convinced yourself that's the case.\You can be a king, Shu. response:	Now you're what I'd call a really soothing girl!
context: Thanks!\But Shu, don't you want to be the leader?\Why don't you run for student council president?\Nah, that wouldn't work out.\I'm the last person who should be giving people orders.\That's not true! You've just convinced yourself that's the case.\You can be a king, Shu.\Now you're what I'd call a really soothing girl! response:	Just kidding.
context: But Shu, don't you want to be the leader?\Why don't you run for student council president?\Nah, that wouldn't work out.\I'm the last person who should be giving people orders.\That's not true! You've just convinced yourself that's the case.\You can be a king, Shu.\Now you're what I'd call a really soothing girl!\Just kidding. response:	You sound like you're feeling better.
context: Why don't you run for student council president?\Nah, that wouldn't work out.\I'm the last person who should be giving people orders.\That's not true! You've just convinced yourself that's the case.\You can be a king, Shu.\Now you're what I'd call a really soothing girl!\Just kidding.\You sound like you're feeling better. response:	Well yeah, but being defiant's the only way to deal
context: Nah, that wouldn't work out.\I'm the last person who should be giving people orders.\That's not true! You've just convinced yourself that's the case.\You can be a king, Shu.\Now you're what I'd call a really soothing girl!\Just kidding.\You sound like you're feeling better.\Well yeah, but being defiant's the only way to deal response:	with other people seeing a Void like that.
context: I'm the last person who should be giving people orders.\That's not true! You've just convinced yourself that's the case.\You can be a king, Shu.\Now you're what I'd call a really soothing girl!\Just kidding.\You sound like you're feeling better.\Well yeah, but being defiant's the only way to deal\with other people seeing a Void like that. response:	There! It's the Undertakers!
context: That's not true! You've just convinced yourself that's the case.\You can be a king, Shu.\Now you're what I'd call a really soothing girl!\Just kidding.\You sound like you're feeling better.\Well yeah, but being defiant's the only way to deal\with other people seeing a Void like that.\There! It's the Undertakers! response:	No!
context: You can be a king, Shu.\Now you're what I'd call a really soothing girl!\Just kidding.\You sound like you're feeling better.\Well yeah, but being defiant's the only way to deal\with other people seeing a Void like that.\There! It's the Undertakers!\No! response:	Don't let her get away!
context: Now you're what I'd call a really soothing girl!\Just kidding.\You sound like you're feeling better.\Well yeah, but being defiant's the only way to deal\with other people seeing a Void like that.\There! It's the Undertakers!\No!\Don't let her get away! response:	Confess! You're a part of the Undertakers, aren't you!?
context: Just kidding.\You sound like you're feeling better.\Well yeah, but being defiant's the only way to deal\with other people seeing a Void like that.\There! It's the Undertakers!\No!\Don't let her get away!\Confess! You're a part of the Undertakers, aren't you!? response:	It says here that members of the Undertakers have tattoos on their backs.
context: You sound like you're feeling better.\Well yeah, but being defiant's the only way to deal\with other people seeing a Void like that.\There! It's the Undertakers!\No!\Don't let her get away!\Confess! You're a part of the Undertakers, aren't you!?\It says here that members of the Undertakers have tattoos on their backs. response:	Okay, check it out.
context: Well yeah, but being defiant's the only way to deal\with other people seeing a Void like that.\There! It's the Undertakers!\No!\Don't let her get away!\Confess! You're a part of the Undertakers, aren't you!?\It says here that members of the Undertakers have tattoos on their backs.\Okay, check it out. response:	Stop that at once!
context: with other people seeing a Void like that.\There! It's the Undertakers!\No!\Don't let her get away!\Confess! You're a part of the Undertakers, aren't you!?\It says here that members of the Undertakers have tattoos on their backs.\Okay, check it out.\Stop that at once! response:	What are you jerks doing!?
context: There! It's the Undertakers!\No!\Don't let her get away!\Confess! You're a part of the Undertakers, aren't you!?\It says here that members of the Undertakers have tattoos on their backs.\Okay, check it out.\Stop that at once!\What are you jerks doing!? response:	Shut up! Don't get in our way!
context: No!\Don't let her get away!\Confess! You're a part of the Undertakers, aren't you!?\It says here that members of the Undertakers have tattoos on their backs.\Okay, check it out.\Stop that at once!\What are you jerks doing!?\Shut up! Don't get in our way! response:	Get your hands off her!
context: Don't let her get away!\Confess! You're a part of the Undertakers, aren't you!?\It says here that members of the Undertakers have tattoos on their backs.\Okay, check it out.\Stop that at once!\What are you jerks doing!?\Shut up! Don't get in our way!\Get your hands off her! response:	What's going on...?
context: Confess! You're a part of the Undertakers, aren't you!?\It says here that members of the Undertakers have tattoos on their backs.\Okay, check it out.\Stop that at once!\What are you jerks doing!?\Shut up! Don't get in our way!\Get your hands off her!\What's going on...? response:	We've got trouble, Shu!
context: It says here that members of the Undertakers have tattoos on their backs.\Okay, check it out.\Stop that at once!\What are you jerks doing!?\Shut up! Don't get in our way!\Get your hands off her!\What's going on...?\We've got trouble, Shu! response:	There's a rumor online saying that turning over
context: Okay, check it out.\Stop that at once!\What are you jerks doing!?\Shut up! Don't get in our way!\Get your hands off her!\What's going on...?\We've got trouble, Shu!\There's a rumor online saying that turning over response:	Undertaker members will let you get past the blockade!
context: Stop that at once!\What are you jerks doing!?\Shut up! Don't get in our way!\Get your hands off her!\What's going on...?\We've got trouble, Shu!\There's a rumor online saying that turning over\Undertaker members will let you get past the blockade! response:	That's...!
context: What are you jerks doing!?\Shut up! Don't get in our way!\Get your hands off her!\What's going on...?\We've got trouble, Shu!\There's a rumor online saying that turning over\Undertaker members will let you get past the blockade!\That's...! response:	Where are Inori and Ayase?
context: Shut up! Don't get in our way!\Get your hands off her!\What's going on...?\We've got trouble, Shu!\There's a rumor online saying that turning over\Undertaker members will let you get past the blockade!\That's...!\Where are Inori and Ayase? response:	I-It's okay. I'm only going to check whether you've got a tattoo.
context: Get your hands off her!\What's going on...?\We've got trouble, Shu!\There's a rumor online saying that turning over\Undertaker members will let you get past the blockade!\That's...!\Where are Inori and Ayase?\I-It's okay. I'm only going to check whether you've got a tattoo. response:	Okay?
context: What's going on...?\We've got trouble, Shu!\There's a rumor online saying that turning over\Undertaker members will let you get past the blockade!\That's...!\Where are Inori and Ayase?\I-It's okay. I'm only going to check whether you've got a tattoo.\Okay? response:	I'll go check out the old building!
context: We've got trouble, Shu!\There's a rumor online saying that turning over\Undertaker members will let you get past the blockade!\That's...!\Where are Inori and Ayase?\I-It's okay. I'm only going to check whether you've got a tattoo.\Okay?\I'll go check out the old building! response:	Got it. Be careful, Tsugumi!
context: There's a rumor online saying that turning over\Undertaker members will let you get past the blockade!\That's...!\Where are Inori and Ayase?\I-It's okay. I'm only going to check whether you've got a tattoo.\Okay?\I'll go check out the old building!\Got it. Be careful, Tsugumi! response:	Inori...
context: Undertaker members will let you get past the blockade!\That's...!\Where are Inori and Ayase?\I-It's okay. I'm only going to check whether you've got a tattoo.\Okay?\I'll go check out the old building!\Got it. Be careful, Tsugumi!\Inori... response:	What's wrong, Shu?
context: That's...!\Where are Inori and Ayase?\I-It's okay. I'm only going to check whether you've got a tattoo.\Okay?\I'll go check out the old building!\Got it. Be careful, Tsugumi!\Inori...\What's wrong, Shu? response:	There's an awful rumor spreading. Did anyone attack you?
context: Where are Inori and Ayase?\I-It's okay. I'm only going to check whether you've got a tattoo.\Okay?\I'll go check out the old building!\Got it. Be careful, Tsugumi!\Inori...\What's wrong, Shu?\There's an awful rumor spreading. Did anyone attack you? response:	It's okay, I haven't seen anyone else here.
context: I-It's okay. I'm only going to check whether you've got a tattoo.\Okay?\I'll go check out the old building!\Got it. Be careful, Tsugumi!\Inori...\What's wrong, Shu?\There's an awful rumor spreading. Did anyone attack you?\It's okay, I haven't seen anyone else here. response:	Oh... That's good, then. Let's go!
context: Okay?\I'll go check out the old building!\Got it. Be careful, Tsugumi!\Inori...\What's wrong, Shu?\There's an awful rumor spreading. Did anyone attack you?\It's okay, I haven't seen anyone else here.\Oh... That's good, then. Let's go! response:	You know, I thought something was up ever since I first saw you.
context: I'll go check out the old building!\Got it. Be careful, Tsugumi!\Inori...\What's wrong, Shu?\There's an awful rumor spreading. Did anyone attack you?\It's okay, I haven't seen anyone else here.\Oh... That's good, then. Let's go!\You know, I thought something was up ever since I first saw you. response:	What's your year and class?
