context: This doesn't seem to be it either, does it? response:	We still have a long way to go.
context: Well, since I wanted to end this quickly...\Even so, charging right into a wall of flames is going too far.\I just took a gamble and lost.\It can't be helped.\Come on, get it over with, will you?\Doroteo Lemus... badge broken!\Winners, Ayato Amagiri and Julis-Alexia von Riessfeld!\Another dead end. response:	AYATO AMAGIRI
context: Even so, charging right into a wall of flames is going too far.\I just took a gamble and lost.\It can't be helped.\Come on, get it over with, will you?\Doroteo Lemus... badge broken!\Winners, Ayato Amagiri and Julis-Alexia von Riessfeld!\Another dead end.\AYATO AMAGIRI response:	Ayato...
context: I just took a gamble and lost.\It can't be helped.\Come on, get it over with, will you?\Doroteo Lemus... badge broken!\Winners, Ayato Amagiri and Julis-Alexia von Riessfeld!\Another dead end.\AYATO AMAGIRI\Ayato... response:	Saya, how's it going over there?
context: It can't be helped.\Come on, get it over with, will you?\Doroteo Lemus... badge broken!\Winners, Ayato Amagiri and Julis-Alexia von Riessfeld!\Another dead end.\AYATO AMAGIRI\Ayato...\Saya, how's it going over there? response:	Sorry. We still don't have any real clues.
context: Come on, get it over with, will you?\Doroteo Lemus... badge broken!\Winners, Ayato Amagiri and Julis-Alexia von Riessfeld!\Another dead end.\AYATO AMAGIRI\Ayato...\Saya, how's it going over there?\Sorry. We still don't have any real clues. response:	I see. We're going to get ready to head over as soon as we can.
context: Doroteo Lemus... badge broken!\Winners, Ayato Amagiri and Julis-Alexia von Riessfeld!\Another dead end.\AYATO AMAGIRI\Ayato...\Saya, how's it going over there?\Sorry. We still don't have any real clues.\I see. We're going to get ready to head over as soon as we can. response:	Meaning... it's over already?
context: Winners, Ayato Amagiri and Julis-Alexia von Riessfeld!\Another dead end.\AYATO AMAGIRI\Ayato...\Saya, how's it going over there?\Sorry. We still don't have any real clues.\I see. We're going to get ready to head over as soon as we can.\Meaning... it's over already? response:	Yeah, thanks to you guys, we made it to the final. Thanks!
context: Another dead end.\AYATO AMAGIRI\Ayato...\Saya, how's it going over there?\Sorry. We still don't have any real clues.\I see. We're going to get ready to head over as soon as we can.\Meaning... it's over already?\Yeah, thanks to you guys, we made it to the final. Thanks! response:	All right, can you send me that map?
context: AYATO AMAGIRI\Ayato...\Saya, how's it going over there?\Sorry. We still don't have any real clues.\I see. We're going to get ready to head over as soon as we can.\Meaning... it's over already?\Yeah, thanks to you guys, we made it to the final. Thanks!\All right, can you send me that map? response:	Gotcha.
context: Ayato...\Saya, how's it going over there?\Sorry. We still don't have any real clues.\I see. We're going to get ready to head over as soon as we can.\Meaning... it's over already?\Yeah, thanks to you guys, we made it to the final. Thanks!\All right, can you send me that map?\Gotcha. response:	I'm so glad to hear that our senpais were able to advance!
context: Saya, how's it going over there?\Sorry. We still don't have any real clues.\I see. We're going to get ready to head over as soon as we can.\Meaning... it's over already?\Yeah, thanks to you guys, we made it to the final. Thanks!\All right, can you send me that map?\Gotcha.\I'm so glad to hear that our senpais were able to advance! response:	In Ayato's case, that's a given.
context: Sorry. We still don't have any real clues.\I see. We're going to get ready to head over as soon as we can.\Meaning... it's over already?\Yeah, thanks to you guys, we made it to the final. Thanks!\All right, can you send me that map?\Gotcha.\I'm so glad to hear that our senpais were able to advance!\In Ayato's case, that's a given. response:	So next is the final?
context: I see. We're going to get ready to head over as soon as we can.\Meaning... it's over already?\Yeah, thanks to you guys, we made it to the final. Thanks!\All right, can you send me that map?\Gotcha.\I'm so glad to hear that our senpais were able to advance!\In Ayato's case, that's a given.\So next is the final? response:	I think it's going to be tough for even Ayato
context: Meaning... it's over already?\Yeah, thanks to you guys, we made it to the final. Thanks!\All right, can you send me that map?\Gotcha.\I'm so glad to hear that our senpais were able to advance!\In Ayato's case, that's a given.\So next is the final?\I think it's going to be tough for even Ayato response:	to beat those two without the Ser=Versta.
context: Yeah, thanks to you guys, we made it to the final. Thanks!\All right, can you send me that map?\Gotcha.\I'm so glad to hear that our senpais were able to advance!\In Ayato's case, that's a given.\So next is the final?\I think it's going to be tough for even Ayato\to beat those two without the Ser=Versta. response:	You're probably right.
context: All right, can you send me that map?\Gotcha.\I'm so glad to hear that our senpais were able to advance!\In Ayato's case, that's a given.\So next is the final?\I think it's going to be tough for even Ayato\to beat those two without the Ser=Versta.\You're probably right. response:	We've got to find Flora before the final starts.
context: Gotcha.\I'm so glad to hear that our senpais were able to advance!\In Ayato's case, that's a given.\So next is the final?\I think it's going to be tough for even Ayato\to beat those two without the Ser=Versta.\You're probably right.\We've got to find Flora before the final starts. response:	Saya?
context: I'm so glad to hear that our senpais were able to advance!\In Ayato's case, that's a given.\So next is the final?\I think it's going to be tough for even Ayato\to beat those two without the Ser=Versta.\You're probably right.\We've got to find Flora before the final starts.\Saya? response:	It's so frustrating.
context: In Ayato's case, that's a given.\So next is the final?\I think it's going to be tough for even Ayato\to beat those two without the Ser=Versta.\You're probably right.\We've got to find Flora before the final starts.\Saya?\It's so frustrating. response:	Yes.
context: So next is the final?\I think it's going to be tough for even Ayato\to beat those two without the Ser=Versta.\You're probably right.\We've got to find Flora before the final starts.\Saya?\It's so frustrating.\Yes. response:	Let's go. There's still something we can do right now.
context: I think it's going to be tough for even Ayato\to beat those two without the Ser=Versta.\You're probably right.\We've got to find Flora before the final starts.\Saya?\It's so frustrating.\Yes.\Let's go. There's still something we can do right now. response:	Right!
context: to beat those two without the Ser=Versta.\You're probably right.\We've got to find Flora before the final starts.\Saya?\It's so frustrating.\Yes.\Let's go. There's still something we can do right now.\Right! response:	Saya and Kirin say they still don't have anything to go on.
context: You're probably right.\We've got to find Flora before the final starts.\Saya?\It's so frustrating.\Yes.\Let's go. There's still something we can do right now.\Right!\Saya and Kirin say they still don't have anything to go on. response:	Is that right?
context: We've got to find Flora before the final starts.\Saya?\It's so frustrating.\Yes.\Let's go. There's still something we can do right now.\Right!\Saya and Kirin say they still don't have anything to go on.\Is that right? response:	TODAY'S MATCH HAS FINISHED FINAL MATCH WILL START AT NOON TOMORROW
context: Saya?\It's so frustrating.\Yes.\Let's go. There's still something we can do right now.\Right!\Saya and Kirin say they still don't have anything to go on.\Is that right?\TODAY'S MATCH HAS FINISHED FINAL MATCH WILL START AT NOON TOMORROW response:	Tomorrow's final starts at noon, so that gives us
context: It's so frustrating.\Yes.\Let's go. There's still something we can do right now.\Right!\Saya and Kirin say they still don't have anything to go on.\Is that right?\TODAY'S MATCH HAS FINISHED FINAL MATCH WILL START AT NOON TOMORROW\Tomorrow's final starts at noon, so that gives us response:	another 18 hours, huh?
context: Yes.\Let's go. There's still something we can do right now.\Right!\Saya and Kirin say they still don't have anything to go on.\Is that right?\TODAY'S MATCH HAS FINISHED FINAL MATCH WILL START AT NOON TOMORROW\Tomorrow's final starts at noon, so that gives us\another 18 hours, huh? response:	If we factor in the inspection before the match...
context: Let's go. There's still something we can do right now.\Right!\Saya and Kirin say they still don't have anything to go on.\Is that right?\TODAY'S MATCH HAS FINISHED FINAL MATCH WILL START AT NOON TOMORROW\Tomorrow's final starts at noon, so that gives us\another 18 hours, huh?\If we factor in the inspection before the match... response:	that gives us even less time.
context: Right!\Saya and Kirin say they still don't have anything to go on.\Is that right?\TODAY'S MATCH HAS FINISHED FINAL MATCH WILL START AT NOON TOMORROW\Tomorrow's final starts at noon, so that gives us\another 18 hours, huh?\If we factor in the inspection before the match...\that gives us even less time. response:	Come on, let's join the search!
context: Saya and Kirin say they still don't have anything to go on.\Is that right?\TODAY'S MATCH HAS FINISHED FINAL MATCH WILL START AT NOON TOMORROW\Tomorrow's final starts at noon, so that gives us\another 18 hours, huh?\If we factor in the inspection before the match...\that gives us even less time.\Come on, let's join the search! response:	Yo! Congrats on making the final...
context: Is that right?\TODAY'S MATCH HAS FINISHED FINAL MATCH WILL START AT NOON TOMORROW\Tomorrow's final starts at noon, so that gives us\another 18 hours, huh?\If we factor in the inspection before the match...\that gives us even less time.\Come on, let's join the search!\Yo! Congrats on making the final... response:	Wait, huh?
context: TODAY'S MATCH HAS FINISHED FINAL MATCH WILL START AT NOON TOMORROW\Tomorrow's final starts at noon, so that gives us\another 18 hours, huh?\If we factor in the inspection before the match...\that gives us even less time.\Come on, let's join the search!\Yo! Congrats on making the final...\Wait, huh? response:	Hey, what's going on? What's with the gloomy vibe?
context: Tomorrow's final starts at noon, so that gives us\another 18 hours, huh?\If we factor in the inspection before the match...\that gives us even less time.\Come on, let's join the search!\Yo! Congrats on making the final...\Wait, huh?\Hey, what's going on? What's with the gloomy vibe? response:	Uh... There's a reason for that, see?
context: another 18 hours, huh?\If we factor in the inspection before the match...\that gives us even less time.\Come on, let's join the search!\Yo! Congrats on making the final...\Wait, huh?\Hey, what's going on? What's with the gloomy vibe?\Uh... There's a reason for that, see? response:	If there's anything I can do, I'll be happy to help.
context: If we factor in the inspection before the match...\that gives us even less time.\Come on, let's join the search!\Yo! Congrats on making the final...\Wait, huh?\Hey, what's going on? What's with the gloomy vibe?\Uh... There's a reason for that, see?\If there's anything I can do, I'll be happy to help. response:	Actually...
context: that gives us even less time.\Come on, let's join the search!\Yo! Congrats on making the final...\Wait, huh?\Hey, what's going on? What's with the gloomy vibe?\Uh... There's a reason for that, see?\If there's anything I can do, I'll be happy to help.\Actually... response:	I see...
context: Come on, let's join the search!\Yo! Congrats on making the final...\Wait, huh?\Hey, what's going on? What's with the gloomy vibe?\Uh... There's a reason for that, see?\If there's anything I can do, I'll be happy to help.\Actually...\I see... response:	Just as the president suspects,
context: Yo! Congrats on making the final...\Wait, huh?\Hey, what's going on? What's with the gloomy vibe?\Uh... There's a reason for that, see?\If there's anything I can do, I'll be happy to help.\Actually...\I see...\Just as the president suspects, response:	it's probably a sure bet that Dirk Eberwein's behind all this.
context: Wait, huh?\Hey, what's going on? What's with the gloomy vibe?\Uh... There's a reason for that, see?\If there's anything I can do, I'll be happy to help.\Actually...\I see...\Just as the president suspects,\it's probably a sure bet that Dirk Eberwein's behind all this. response:	Do you know a lot about Grimalkin, Yabuki?
context: Hey, what's going on? What's with the gloomy vibe?\Uh... There's a reason for that, see?\If there's anything I can do, I'll be happy to help.\Actually...\I see...\Just as the president suspects,\it's probably a sure bet that Dirk Eberwein's behind all this.\Do you know a lot about Grimalkin, Yabuki? response:	Nope.
context: Uh... There's a reason for that, see?\If there's anything I can do, I'll be happy to help.\Actually...\I see...\Just as the president suspects,\it's probably a sure bet that Dirk Eberwein's behind all this.\Do you know a lot about Grimalkin, Yabuki?\Nope. response:	When it comes to secrecy,
context: If there's anything I can do, I'll be happy to help.\Actually...\I see...\Just as the president suspects,\it's probably a sure bet that Dirk Eberwein's behind all this.\Do you know a lot about Grimalkin, Yabuki?\Nope.\When it comes to secrecy, response:	they're better than all the other academies' intelligence-gathering organizations.
context: Actually...\I see...\Just as the president suspects,\it's probably a sure bet that Dirk Eberwein's behind all this.\Do you know a lot about Grimalkin, Yabuki?\Nope.\When it comes to secrecy,\they're better than all the other academies' intelligence-gathering organizations. response:	I see...
context: I see...\Just as the president suspects,\it's probably a sure bet that Dirk Eberwein's behind all this.\Do you know a lot about Grimalkin, Yabuki?\Nope.\When it comes to secrecy,\they're better than all the other academies' intelligence-gathering organizations.\I see... response:	I'd rather not get mixed up with those guys.
context: Just as the president suspects,\it's probably a sure bet that Dirk Eberwein's behind all this.\Do you know a lot about Grimalkin, Yabuki?\Nope.\When it comes to secrecy,\they're better than all the other academies' intelligence-gathering organizations.\I see...\I'd rather not get mixed up with those guys. response:	But this is a special case,
context: it's probably a sure bet that Dirk Eberwein's behind all this.\Do you know a lot about Grimalkin, Yabuki?\Nope.\When it comes to secrecy,\they're better than all the other academies' intelligence-gathering organizations.\I see...\I'd rather not get mixed up with those guys.\But this is a special case, response:	and if you're only out to find this Flora kid, I'll help you out.
context: Do you know a lot about Grimalkin, Yabuki?\Nope.\When it comes to secrecy,\they're better than all the other academies' intelligence-gathering organizations.\I see...\I'd rather not get mixed up with those guys.\But this is a special case,\and if you're only out to find this Flora kid, I'll help you out. response:	Sure, of course that'll be enough.
context: Nope.\When it comes to secrecy,\they're better than all the other academies' intelligence-gathering organizations.\I see...\I'd rather not get mixed up with those guys.\But this is a special case,\and if you're only out to find this Flora kid, I'll help you out.\Sure, of course that'll be enough. response:	I'd almost rather you didn't have a hand in this.
context: When it comes to secrecy,\they're better than all the other academies' intelligence-gathering organizations.\I see...\I'd rather not get mixed up with those guys.\But this is a special case,\and if you're only out to find this Flora kid, I'll help you out.\Sure, of course that'll be enough.\I'd almost rather you didn't have a hand in this. response:	Thanks for that... at least, that's what I'd normally say,
context: they're better than all the other academies' intelligence-gathering organizations.\I see...\I'd rather not get mixed up with those guys.\But this is a special case,\and if you're only out to find this Flora kid, I'll help you out.\Sure, of course that'll be enough.\I'd almost rather you didn't have a hand in this.\Thanks for that... at least, that's what I'd normally say, response:	but as a lightweight regular student,
context: I see...\I'd rather not get mixed up with those guys.\But this is a special case,\and if you're only out to find this Flora kid, I'll help you out.\Sure, of course that'll be enough.\I'd almost rather you didn't have a hand in this.\Thanks for that... at least, that's what I'd normally say,\but as a lightweight regular student, response:	I'd rather have a little more insurance.
context: I'd rather not get mixed up with those guys.\But this is a special case,\and if you're only out to find this Flora kid, I'll help you out.\Sure, of course that'll be enough.\I'd almost rather you didn't have a hand in this.\Thanks for that... at least, that's what I'd normally say,\but as a lightweight regular student,\I'd rather have a little more insurance. response:	Let's see, that guy's number... I know I saved it in here.
context: But this is a special case,\and if you're only out to find this Flora kid, I'll help you out.\Sure, of course that'll be enough.\I'd almost rather you didn't have a hand in this.\Thanks for that... at least, that's what I'd normally say,\but as a lightweight regular student,\I'd rather have a little more insurance.\Let's see, that guy's number... I know I saved it in here. response:	I don't care, but if it's going to take long, we're going to go on ahead!
context: and if you're only out to find this Flora kid, I'll help you out.\Sure, of course that'll be enough.\I'd almost rather you didn't have a hand in this.\Thanks for that... at least, that's what I'd normally say,\but as a lightweight regular student,\I'd rather have a little more insurance.\Let's see, that guy's number... I know I saved it in here.\I don't care, but if it's going to take long, we're going to go on ahead! response:	Sure. Well, I'm going to do everything I can,
context: Sure, of course that'll be enough.\I'd almost rather you didn't have a hand in this.\Thanks for that... at least, that's what I'd normally say,\but as a lightweight regular student,\I'd rather have a little more insurance.\Let's see, that guy's number... I know I saved it in here.\I don't care, but if it's going to take long, we're going to go on ahead!\Sure. Well, I'm going to do everything I can, response:	but don't count on me too much!
context: I'd almost rather you didn't have a hand in this.\Thanks for that... at least, that's what I'd normally say,\but as a lightweight regular student,\I'd rather have a little more insurance.\Let's see, that guy's number... I know I saved it in here.\I don't care, but if it's going to take long, we're going to go on ahead!\Sure. Well, I'm going to do everything I can,\but don't count on me too much! response:	I see.
context: Thanks for that... at least, that's what I'd normally say,\but as a lightweight regular student,\I'd rather have a little more insurance.\Let's see, that guy's number... I know I saved it in here.\I don't care, but if it's going to take long, we're going to go on ahead!\Sure. Well, I'm going to do everything I can,\but don't count on me too much!\I see. response:	Julis, I'd like to investigate another avenue myself.
context: but as a lightweight regular student,\I'd rather have a little more insurance.\Let's see, that guy's number... I know I saved it in here.\I don't care, but if it's going to take long, we're going to go on ahead!\Sure. Well, I'm going to do everything I can,\but don't count on me too much!\I see.\Julis, I'd like to investigate another avenue myself. response:	Another avenue?
context: I'd rather have a little more insurance.\Let's see, that guy's number... I know I saved it in here.\I don't care, but if it's going to take long, we're going to go on ahead!\Sure. Well, I'm going to do everything I can,\but don't count on me too much!\I see.\Julis, I'd like to investigate another avenue myself.\Another avenue? response:	Fine by me...
context: Let's see, that guy's number... I know I saved it in here.\I don't care, but if it's going to take long, we're going to go on ahead!\Sure. Well, I'm going to do everything I can,\but don't count on me too much!\I see.\Julis, I'd like to investigate another avenue myself.\Another avenue?\Fine by me... response:	but I think you'd be wasting your time asking.
context: I don't care, but if it's going to take long, we're going to go on ahead!\Sure. Well, I'm going to do everything I can,\but don't count on me too much!\I see.\Julis, I'd like to investigate another avenue myself.\Another avenue?\Fine by me...\but I think you'd be wasting your time asking. response:	I know it's a long shot, but I'd like to ask just for the sake of asking.
context: Sure. Well, I'm going to do everything I can,\but don't count on me too much!\I see.\Julis, I'd like to investigate another avenue myself.\Another avenue?\Fine by me...\but I think you'd be wasting your time asking.\I know it's a long shot, but I'd like to ask just for the sake of asking. response:	Who knows, we might get some kind of clue out of it.
context: but don't count on me too much!\I see.\Julis, I'd like to investigate another avenue myself.\Another avenue?\Fine by me...\but I think you'd be wasting your time asking.\I know it's a long shot, but I'd like to ask just for the sake of asking.\Who knows, we might get some kind of clue out of it. response:	So you came.
context: I see.\Julis, I'd like to investigate another avenue myself.\Another avenue?\Fine by me...\but I think you'd be wasting your time asking.\I know it's a long shot, but I'd like to ask just for the sake of asking.\Who knows, we might get some kind of clue out of it.\So you came. response:	Hey, don't turn around.
context: Julis, I'd like to investigate another avenue myself.\Another avenue?\Fine by me...\but I think you'd be wasting your time asking.\I know it's a long shot, but I'd like to ask just for the sake of asking.\Who knows, we might get some kind of clue out of it.\So you came.\Hey, don't turn around. response:	Fine. But you didn't have to go out of your way to meet me here.
context: Another avenue?\Fine by me...\but I think you'd be wasting your time asking.\I know it's a long shot, but I'd like to ask just for the sake of asking.\Who knows, we might get some kind of clue out of it.\So you came.\Hey, don't turn around.\Fine. But you didn't have to go out of your way to meet me here. response:	Idiot!
context: Fine by me...\but I think you'd be wasting your time asking.\I know it's a long shot, but I'd like to ask just for the sake of asking.\Who knows, we might get some kind of clue out of it.\So you came.\Hey, don't turn around.\Fine. But you didn't have to go out of your way to meet me here.\Idiot! response:	No way could we have discussed that over a call!
context: but I think you'd be wasting your time asking.\I know it's a long shot, but I'd like to ask just for the sake of asking.\Who knows, we might get some kind of clue out of it.\So you came.\Hey, don't turn around.\Fine. But you didn't have to go out of your way to meet me here.\Idiot!\No way could we have discussed that over a call! response:	Sorry.
context: I know it's a long shot, but I'd like to ask just for the sake of asking.\Who knows, we might get some kind of clue out of it.\So you came.\Hey, don't turn around.\Fine. But you didn't have to go out of your way to meet me here.\Idiot!\No way could we have discussed that over a call!\Sorry. response:	Never mind.
context: Who knows, we might get some kind of clue out of it.\So you came.\Hey, don't turn around.\Fine. But you didn't have to go out of your way to meet me here.\Idiot!\No way could we have discussed that over a call!\Sorry.\Never mind. response:	So let me get straight to the point.
context: So you came.\Hey, don't turn around.\Fine. But you didn't have to go out of your way to meet me here.\Idiot!\No way could we have discussed that over a call!\Sorry.\Never mind.\So let me get straight to the point. response:	There's nothing I can tell you.
context: Hey, don't turn around.\Fine. But you didn't have to go out of your way to meet me here.\Idiot!\No way could we have discussed that over a call!\Sorry.\Never mind.\So let me get straight to the point.\There's nothing I can tell you. response:	I see.
context: Fine. But you didn't have to go out of your way to meet me here.\Idiot!\No way could we have discussed that over a call!\Sorry.\Never mind.\So let me get straight to the point.\There's nothing I can tell you.\I see. response:	Don't get the wrong idea, now.
context: Idiot!\No way could we have discussed that over a call!\Sorry.\Never mind.\So let me get straight to the point.\There's nothing I can tell you.\I see.\Don't get the wrong idea, now. response:	It's not like they asked me to be quiet.
context: No way could we have discussed that over a call!\Sorry.\Never mind.\So let me get straight to the point.\There's nothing I can tell you.\I see.\Don't get the wrong idea, now.\It's not like they asked me to be quiet. response:	- Actually, it's the opposite. - Opposite?
context: Sorry.\Never mind.\So let me get straight to the point.\There's nothing I can tell you.\I see.\Don't get the wrong idea, now.\It's not like they asked me to be quiet.\- Actually, it's the opposite. - Opposite? response:	You don't really think the Tyrant wouldn't guess you'd contact me, do you?
context: Never mind.\So let me get straight to the point.\There's nothing I can tell you.\I see.\Don't get the wrong idea, now.\It's not like they asked me to be quiet.\- Actually, it's the opposite. - Opposite?\You don't really think the Tyrant wouldn't guess you'd contact me, do you? response:	And yet, I haven't received any kind of memo.
context: So let me get straight to the point.\There's nothing I can tell you.\I see.\Don't get the wrong idea, now.\It's not like they asked me to be quiet.\- Actually, it's the opposite. - Opposite?\You don't really think the Tyrant wouldn't guess you'd contact me, do you?\And yet, I haven't received any kind of memo. response:	Basically, the information I have wouldn't do you any good...
context: There's nothing I can tell you.\I see.\Don't get the wrong idea, now.\It's not like they asked me to be quiet.\- Actually, it's the opposite. - Opposite?\You don't really think the Tyrant wouldn't guess you'd contact me, do you?\And yet, I haven't received any kind of memo.\Basically, the information I have wouldn't do you any good... response:	and he knows it.
context: I see.\Don't get the wrong idea, now.\It's not like they asked me to be quiet.\- Actually, it's the opposite. - Opposite?\You don't really think the Tyrant wouldn't guess you'd contact me, do you?\And yet, I haven't received any kind of memo.\Basically, the information I have wouldn't do you any good...\and he knows it. response:	Gotcha.
context: Don't get the wrong idea, now.\It's not like they asked me to be quiet.\- Actually, it's the opposite. - Opposite?\You don't really think the Tyrant wouldn't guess you'd contact me, do you?\And yet, I haven't received any kind of memo.\Basically, the information I have wouldn't do you any good...\and he knows it.\Gotcha. response:	Sorry... I shouldn't have bothered you.
context: It's not like they asked me to be quiet.\- Actually, it's the opposite. - Opposite?\You don't really think the Tyrant wouldn't guess you'd contact me, do you?\And yet, I haven't received any kind of memo.\Basically, the information I have wouldn't do you any good...\and he knows it.\Gotcha.\Sorry... I shouldn't have bothered you. response:	Hold up, Amagiri.
context: - Actually, it's the opposite. - Opposite?\You don't really think the Tyrant wouldn't guess you'd contact me, do you?\And yet, I haven't received any kind of memo.\Basically, the information I have wouldn't do you any good...\and he knows it.\Gotcha.\Sorry... I shouldn't have bothered you.\Hold up, Amagiri. response:	It's true that I have no information.
context: You don't really think the Tyrant wouldn't guess you'd contact me, do you?\And yet, I haven't received any kind of memo.\Basically, the information I have wouldn't do you any good...\and he knows it.\Gotcha.\Sorry... I shouldn't have bothered you.\Hold up, Amagiri.\It's true that I have no information. response:	But I can still speculate, at least.
context: And yet, I haven't received any kind of memo.\Basically, the information I have wouldn't do you any good...\and he knows it.\Gotcha.\Sorry... I shouldn't have bothered you.\Hold up, Amagiri.\It's true that I have no information.\But I can still speculate, at least. response:	Speculate?
context: Basically, the information I have wouldn't do you any good...\and he knows it.\Gotcha.\Sorry... I shouldn't have bothered you.\Hold up, Amagiri.\It's true that I have no information.\But I can still speculate, at least.\Speculate? response:	You said you've narrowed your search to the Redevelopment District, right?
context: and he knows it.\Gotcha.\Sorry... I shouldn't have bothered you.\Hold up, Amagiri.\It's true that I have no information.\But I can still speculate, at least.\Speculate?\You said you've narrowed your search to the Redevelopment District, right? response:	Yeah. What about it?
context: Gotcha.\Sorry... I shouldn't have bothered you.\Hold up, Amagiri.\It's true that I have no information.\But I can still speculate, at least.\Speculate?\You said you've narrowed your search to the Redevelopment District, right?\Yeah. What about it? response:	Normally, you'd probably be right.
context: Sorry... I shouldn't have bothered you.\Hold up, Amagiri.\It's true that I have no information.\But I can still speculate, at least.\Speculate?\You said you've narrowed your search to the Redevelopment District, right?\Yeah. What about it?\Normally, you'd probably be right. response:	But since we're talking about a kidnapping, I wouldn't bet on it.
context: Hold up, Amagiri.\It's true that I have no information.\But I can still speculate, at least.\Speculate?\You said you've narrowed your search to the Redevelopment District, right?\Yeah. What about it?\Normally, you'd probably be right.\But since we're talking about a kidnapping, I wouldn't bet on it. response:	What do you mean?
context: It's true that I have no information.\But I can still speculate, at least.\Speculate?\You said you've narrowed your search to the Redevelopment District, right?\Yeah. What about it?\Normally, you'd probably be right.\But since we're talking about a kidnapping, I wouldn't bet on it.\What do you mean? response:	If I'm not mistaken, that place is a hotbed for criminals.
context: But I can still speculate, at least.\Speculate?\You said you've narrowed your search to the Redevelopment District, right?\Yeah. What about it?\Normally, you'd probably be right.\But since we're talking about a kidnapping, I wouldn't bet on it.\What do you mean?\If I'm not mistaken, that place is a hotbed for criminals. response:	That's why the Police Unit is always coming around to patrol the area.
context: Speculate?\You said you've narrowed your search to the Redevelopment District, right?\Yeah. What about it?\Normally, you'd probably be right.\But since we're talking about a kidnapping, I wouldn't bet on it.\What do you mean?\If I'm not mistaken, that place is a hotbed for criminals.\That's why the Police Unit is always coming around to patrol the area. response:	It's not a good place
context: You said you've narrowed your search to the Redevelopment District, right?\Yeah. What about it?\Normally, you'd probably be right.\But since we're talking about a kidnapping, I wouldn't bet on it.\What do you mean?\If I'm not mistaken, that place is a hotbed for criminals.\That's why the Police Unit is always coming around to patrol the area.\It's not a good place response:	for crimes like kidnapping where you need to lay low long-term.
context: Yeah. What about it?\Normally, you'd probably be right.\But since we're talking about a kidnapping, I wouldn't bet on it.\What do you mean?\If I'm not mistaken, that place is a hotbed for criminals.\That's why the Police Unit is always coming around to patrol the area.\It's not a good place\for crimes like kidnapping where you need to lay low long-term. response:	Basically, Grimalkin is all about working solo,
context: Normally, you'd probably be right.\But since we're talking about a kidnapping, I wouldn't bet on it.\What do you mean?\If I'm not mistaken, that place is a hotbed for criminals.\That's why the Police Unit is always coming around to patrol the area.\It's not a good place\for crimes like kidnapping where you need to lay low long-term.\Basically, Grimalkin is all about working solo, response:	so they want to avoid the hassle of dodging an investigation.
context: But since we're talking about a kidnapping, I wouldn't bet on it.\What do you mean?\If I'm not mistaken, that place is a hotbed for criminals.\That's why the Police Unit is always coming around to patrol the area.\It's not a good place\for crimes like kidnapping where you need to lay low long-term.\Basically, Grimalkin is all about working solo,\so they want to avoid the hassle of dodging an investigation. response:	If that's the case, where would she be?
context: What do you mean?\If I'm not mistaken, that place is a hotbed for criminals.\That's why the Police Unit is always coming around to patrol the area.\It's not a good place\for crimes like kidnapping where you need to lay low long-term.\Basically, Grimalkin is all about working solo,\so they want to avoid the hassle of dodging an investigation.\If that's the case, where would she be? response:	Who knows?
context: If I'm not mistaken, that place is a hotbed for criminals.\That's why the Police Unit is always coming around to patrol the area.\It's not a good place\for crimes like kidnapping where you need to lay low long-term.\Basically, Grimalkin is all about working solo,\so they want to avoid the hassle of dodging an investigation.\If that's the case, where would she be?\Who knows? response:	But the place that would give you guys the most trouble?
context: That's why the Police Unit is always coming around to patrol the area.\It's not a good place\for crimes like kidnapping where you need to lay low long-term.\Basically, Grimalkin is all about working solo,\so they want to avoid the hassle of dodging an investigation.\If that's the case, where would she be?\Who knows?\But the place that would give you guys the most trouble? response:	My guess would be Rotlicht.
context: It's not a good place\for crimes like kidnapping where you need to lay low long-term.\Basically, Grimalkin is all about working solo,\so they want to avoid the hassle of dodging an investigation.\If that's the case, where would she be?\Who knows?\But the place that would give you guys the most trouble?\My guess would be Rotlicht. response:	Why do you say that?
context: for crimes like kidnapping where you need to lay low long-term.\Basically, Grimalkin is all about working solo,\so they want to avoid the hassle of dodging an investigation.\If that's the case, where would she be?\Who knows?\But the place that would give you guys the most trouble?\My guess would be Rotlicht.\Why do you say that? response:	In the Redevelopment District, you could search as you wish,
context: Basically, Grimalkin is all about working solo,\so they want to avoid the hassle of dodging an investigation.\If that's the case, where would she be?\Who knows?\But the place that would give you guys the most trouble?\My guess would be Rotlicht.\Why do you say that?\In the Redevelopment District, you could search as you wish, response:	but in Rotlicht, both legal and illegal shops are clustered together.
context: so they want to avoid the hassle of dodging an investigation.\If that's the case, where would she be?\Who knows?\But the place that would give you guys the most trouble?\My guess would be Rotlicht.\Why do you say that?\In the Redevelopment District, you could search as you wish,\but in Rotlicht, both legal and illegal shops are clustered together. response:	You couldn't just barge into one of those places, could you?
context: If that's the case, where would she be?\Who knows?\But the place that would give you guys the most trouble?\My guess would be Rotlicht.\Why do you say that?\In the Redevelopment District, you could search as you wish,\but in Rotlicht, both legal and illegal shops are clustered together.\You couldn't just barge into one of those places, could you? response:	But then someone would have to be in on it with Grimalkin,
context: Who knows?\But the place that would give you guys the most trouble?\My guess would be Rotlicht.\Why do you say that?\In the Redevelopment District, you could search as you wish,\but in Rotlicht, both legal and illegal shops are clustered together.\You couldn't just barge into one of those places, could you?\But then someone would have to be in on it with Grimalkin, response:	since they work solo, right?
