context: Since you understand me, you should know response:	everything I have done is so I can marry Ye Hua.
context: I've even seen a black dragon appear.\It's really all right. You don't have to worry about me, Ye Hua.\You...\Where's the fire?\Who are you?\This...\Don't tell me you're a monster.\No wonder I felt you were extraordinary the first time I saw you. response:	You were gravely injured, but you healed so quickly.
context: It's really all right. You don't have to worry about me, Ye Hua.\You...\Where's the fire?\Who are you?\This...\Don't tell me you're a monster.\No wonder I felt you were extraordinary the first time I saw you.\You were gravely injured, but you healed so quickly. response:	Ye Hua.
context: You...\Where's the fire?\Who are you?\This...\Don't tell me you're a monster.\No wonder I felt you were extraordinary the first time I saw you.\You were gravely injured, but you healed so quickly.\Ye Hua. response:	You aren't that...
context: Where's the fire?\Who are you?\This...\Don't tell me you're a monster.\No wonder I felt you were extraordinary the first time I saw you.\You were gravely injured, but you healed so quickly.\Ye Hua.\You aren't that... response:	The Golden Lion that brought disaster to the people
context: Who are you?\This...\Don't tell me you're a monster.\No wonder I felt you were extraordinary the first time I saw you.\You were gravely injured, but you healed so quickly.\Ye Hua.\You aren't that...\The Golden Lion that brought disaster to the people response:	and caused the emperor to slit his own throat?
context: This...\Don't tell me you're a monster.\No wonder I felt you were extraordinary the first time I saw you.\You were gravely injured, but you healed so quickly.\Ye Hua.\You aren't that...\The Golden Lion that brought disaster to the people\and caused the emperor to slit his own throat? response:	Su Su.
context: Don't tell me you're a monster.\No wonder I felt you were extraordinary the first time I saw you.\You were gravely injured, but you healed so quickly.\Ye Hua.\You aren't that...\The Golden Lion that brought disaster to the people\and caused the emperor to slit his own throat?\Su Su. response:	Why do you think I am a monster?
context: No wonder I felt you were extraordinary the first time I saw you.\You were gravely injured, but you healed so quickly.\Ye Hua.\You aren't that...\The Golden Lion that brought disaster to the people\and caused the emperor to slit his own throat?\Su Su.\Why do you think I am a monster? response:	What is wrong?
context: You were gravely injured, but you healed so quickly.\Ye Hua.\You aren't that...\The Golden Lion that brought disaster to the people\and caused the emperor to slit his own throat?\Su Su.\Why do you think I am a monster?\What is wrong? response:	Are you afraid of me?
context: Ye Hua.\You aren't that...\The Golden Lion that brought disaster to the people\and caused the emperor to slit his own throat?\Su Su.\Why do you think I am a monster?\What is wrong?\Are you afraid of me? response:	Ye Hua.
context: You aren't that...\The Golden Lion that brought disaster to the people\and caused the emperor to slit his own throat?\Su Su.\Why do you think I am a monster?\What is wrong?\Are you afraid of me?\Ye Hua. response:	No matter what sort of monster you are
context: The Golden Lion that brought disaster to the people\and caused the emperor to slit his own throat?\Su Su.\Why do you think I am a monster?\What is wrong?\Are you afraid of me?\Ye Hua.\No matter what sort of monster you are response:	since we have bowed to heaven and earth, we are husband and wife.
context: and caused the emperor to slit his own throat?\Su Su.\Why do you think I am a monster?\What is wrong?\Are you afraid of me?\Ye Hua.\No matter what sort of monster you are\since we have bowed to heaven and earth, we are husband and wife. response:	Ye Hua, if you really are the Golden Lion
context: Su Su.\Why do you think I am a monster?\What is wrong?\Are you afraid of me?\Ye Hua.\No matter what sort of monster you are\since we have bowed to heaven and earth, we are husband and wife.\Ye Hua, if you really are the Golden Lion response:	then you must have had a terrible fight with that black dragon.
context: Why do you think I am a monster?\What is wrong?\Are you afraid of me?\Ye Hua.\No matter what sort of monster you are\since we have bowed to heaven and earth, we are husband and wife.\Ye Hua, if you really are the Golden Lion\then you must have had a terrible fight with that black dragon. response:	If the black dragon knows you were injured but still alive
context: What is wrong?\Are you afraid of me?\Ye Hua.\No matter what sort of monster you are\since we have bowed to heaven and earth, we are husband and wife.\Ye Hua, if you really are the Golden Lion\then you must have had a terrible fight with that black dragon.\If the black dragon knows you were injured but still alive response:	he will come back for you.
context: Are you afraid of me?\Ye Hua.\No matter what sort of monster you are\since we have bowed to heaven and earth, we are husband and wife.\Ye Hua, if you really are the Golden Lion\then you must have had a terrible fight with that black dragon.\If the black dragon knows you were injured but still alive\he will come back for you. response:	He knows this place well.
context: Ye Hua.\No matter what sort of monster you are\since we have bowed to heaven and earth, we are husband and wife.\Ye Hua, if you really are the Golden Lion\then you must have had a terrible fight with that black dragon.\If the black dragon knows you were injured but still alive\he will come back for you.\He knows this place well. response:	No, we must leave.
context: No matter what sort of monster you are\since we have bowed to heaven and earth, we are husband and wife.\Ye Hua, if you really are the Golden Lion\then you must have had a terrible fight with that black dragon.\If the black dragon knows you were injured but still alive\he will come back for you.\He knows this place well.\No, we must leave. response:	- Run, quickly. - Su Su.
context: since we have bowed to heaven and earth, we are husband and wife.\Ye Hua, if you really are the Golden Lion\then you must have had a terrible fight with that black dragon.\If the black dragon knows you were injured but still alive\he will come back for you.\He knows this place well.\No, we must leave.\- Run, quickly. - Su Su. response:	If I really am a monster, are you still willing to follow me?
context: Ye Hua, if you really are the Golden Lion\then you must have had a terrible fight with that black dragon.\If the black dragon knows you were injured but still alive\he will come back for you.\He knows this place well.\No, we must leave.\- Run, quickly. - Su Su.\If I really am a monster, are you still willing to follow me? response:	Ye Hua, don't say such words from now on.
context: then you must have had a terrible fight with that black dragon.\If the black dragon knows you were injured but still alive\he will come back for you.\He knows this place well.\No, we must leave.\- Run, quickly. - Su Su.\If I really am a monster, are you still willing to follow me?\Ye Hua, don't say such words from now on. response:	Since I have made an oath to love you with all my heart for all eternity
context: If the black dragon knows you were injured but still alive\he will come back for you.\He knows this place well.\No, we must leave.\- Run, quickly. - Su Su.\If I really am a monster, are you still willing to follow me?\Ye Hua, don't say such words from now on.\Since I have made an oath to love you with all my heart for all eternity response:	and will never leave you regardless of fortune or calamity
context: he will come back for you.\He knows this place well.\No, we must leave.\- Run, quickly. - Su Su.\If I really am a monster, are you still willing to follow me?\Ye Hua, don't say such words from now on.\Since I have made an oath to love you with all my heart for all eternity\and will never leave you regardless of fortune or calamity response:	then I will not care what you are.
context: He knows this place well.\No, we must leave.\- Run, quickly. - Su Su.\If I really am a monster, are you still willing to follow me?\Ye Hua, don't say such words from now on.\Since I have made an oath to love you with all my heart for all eternity\and will never leave you regardless of fortune or calamity\then I will not care what you are. response:	Are you not afraid of death?
context: No, we must leave.\- Run, quickly. - Su Su.\If I really am a monster, are you still willing to follow me?\Ye Hua, don't say such words from now on.\Since I have made an oath to love you with all my heart for all eternity\and will never leave you regardless of fortune or calamity\then I will not care what you are.\Are you not afraid of death? response:	Death?
context: - Run, quickly. - Su Su.\If I really am a monster, are you still willing to follow me?\Ye Hua, don't say such words from now on.\Since I have made an oath to love you with all my heart for all eternity\and will never leave you regardless of fortune or calamity\then I will not care what you are.\Are you not afraid of death?\Death? response:	This is how I am.
context: If I really am a monster, are you still willing to follow me?\Ye Hua, don't say such words from now on.\Since I have made an oath to love you with all my heart for all eternity\and will never leave you regardless of fortune or calamity\then I will not care what you are.\Are you not afraid of death?\Death?\This is how I am. response:	I had you give yourself to me because I wanted you to stay to keep me company.
context: Ye Hua, don't say such words from now on.\Since I have made an oath to love you with all my heart for all eternity\and will never leave you regardless of fortune or calamity\then I will not care what you are.\Are you not afraid of death?\Death?\This is how I am.\I had you give yourself to me because I wanted you to stay to keep me company. response:	But we have been together for months and we are already husband and wife.
context: Since I have made an oath to love you with all my heart for all eternity\and will never leave you regardless of fortune or calamity\then I will not care what you are.\Are you not afraid of death?\Death?\This is how I am.\I had you give yourself to me because I wanted you to stay to keep me company.\But we have been together for months and we are already husband and wife. response:	So since we are married I won't care if you are human or monster.
context: and will never leave you regardless of fortune or calamity\then I will not care what you are.\Are you not afraid of death?\Death?\This is how I am.\I had you give yourself to me because I wanted you to stay to keep me company.\But we have been together for months and we are already husband and wife.\So since we are married I won't care if you are human or monster. response:	I will be with you either way.
context: then I will not care what you are.\Are you not afraid of death?\Death?\This is how I am.\I had you give yourself to me because I wanted you to stay to keep me company.\But we have been together for months and we are already husband and wife.\So since we are married I won't care if you are human or monster.\I will be with you either way. response:	Even if you have to pay with your life for the bad things you have done
context: Are you not afraid of death?\Death?\This is how I am.\I had you give yourself to me because I wanted you to stay to keep me company.\But we have been together for months and we are already husband and wife.\So since we are married I won't care if you are human or monster.\I will be with you either way.\Even if you have to pay with your life for the bad things you have done response:	I will follow you in death.
context: Death?\This is how I am.\I had you give yourself to me because I wanted you to stay to keep me company.\But we have been together for months and we are already husband and wife.\So since we are married I won't care if you are human or monster.\I will be with you either way.\Even if you have to pay with your life for the bad things you have done\I will follow you in death. response:	Isn't that the worst that can happen?
context: This is how I am.\I had you give yourself to me because I wanted you to stay to keep me company.\But we have been together for months and we are already husband and wife.\So since we are married I won't care if you are human or monster.\I will be with you either way.\Even if you have to pay with your life for the bad things you have done\I will follow you in death.\Isn't that the worst that can happen? response:	Say it again.
context: I had you give yourself to me because I wanted you to stay to keep me company.\But we have been together for months and we are already husband and wife.\So since we are married I won't care if you are human or monster.\I will be with you either way.\Even if you have to pay with your life for the bad things you have done\I will follow you in death.\Isn't that the worst that can happen?\Say it again. response:	Here, in this world, no matter when, no matter where
context: But we have been together for months and we are already husband and wife.\So since we are married I won't care if you are human or monster.\I will be with you either way.\Even if you have to pay with your life for the bad things you have done\I will follow you in death.\Isn't that the worst that can happen?\Say it again.\Here, in this world, no matter when, no matter where response:	as long as you do not betray me, I will never leave you.
context: So since we are married I won't care if you are human or monster.\I will be with you either way.\Even if you have to pay with your life for the bad things you have done\I will follow you in death.\Isn't that the worst that can happen?\Say it again.\Here, in this world, no matter when, no matter where\as long as you do not betray me, I will never leave you. response:	Ye Hua, we should run.
context: I will be with you either way.\Even if you have to pay with your life for the bad things you have done\I will follow you in death.\Isn't that the worst that can happen?\Say it again.\Here, in this world, no matter when, no matter where\as long as you do not betray me, I will never leave you.\Ye Hua, we should run. response:	There's no need to run.
context: Even if you have to pay with your life for the bad things you have done\I will follow you in death.\Isn't that the worst that can happen?\Say it again.\Here, in this world, no matter when, no matter where\as long as you do not betray me, I will never leave you.\Ye Hua, we should run.\There's no need to run. response:	I am not a monster.
context: I will follow you in death.\Isn't that the worst that can happen?\Say it again.\Here, in this world, no matter when, no matter where\as long as you do not betray me, I will never leave you.\Ye Hua, we should run.\There's no need to run.\I am not a monster. response:	You... aren't a monster?
context: Isn't that the worst that can happen?\Say it again.\Here, in this world, no matter when, no matter where\as long as you do not betray me, I will never leave you.\Ye Hua, we should run.\There's no need to run.\I am not a monster.\You... aren't a monster? response:	Su Su.
context: Say it again.\Here, in this world, no matter when, no matter where\as long as you do not betray me, I will never leave you.\Ye Hua, we should run.\There's no need to run.\I am not a monster.\You... aren't a monster?\Su Su. response:	I am just a mortal.
context: Here, in this world, no matter when, no matter where\as long as you do not betray me, I will never leave you.\Ye Hua, we should run.\There's no need to run.\I am not a monster.\You... aren't a monster?\Su Su.\I am just a mortal. response:	What?
context: as long as you do not betray me, I will never leave you.\Ye Hua, we should run.\There's no need to run.\I am not a monster.\You... aren't a monster?\Su Su.\I am just a mortal.\What? response:	I am just a mortal who wants to achieve immortality through cultivation
context: Ye Hua, we should run.\There's no need to run.\I am not a monster.\You... aren't a monster?\Su Su.\I am just a mortal.\What?\I am just a mortal who wants to achieve immortality through cultivation response:	and have learned some minor magic.
context: There's no need to run.\I am not a monster.\You... aren't a monster?\Su Su.\I am just a mortal.\What?\I am just a mortal who wants to achieve immortality through cultivation\and have learned some minor magic. response:	What is it?
context: I am not a monster.\You... aren't a monster?\Su Su.\I am just a mortal.\What?\I am just a mortal who wants to achieve immortality through cultivation\and have learned some minor magic.\What is it? response:	Are you disappointed?
context: You... aren't a monster?\Su Su.\I am just a mortal.\What?\I am just a mortal who wants to achieve immortality through cultivation\and have learned some minor magic.\What is it?\Are you disappointed? response:	No.
context: Su Su.\I am just a mortal.\What?\I am just a mortal who wants to achieve immortality through cultivation\and have learned some minor magic.\What is it?\Are you disappointed?\No. response:	I had already come up with more than a hundred ways to flee.
context: I am just a mortal.\What?\I am just a mortal who wants to achieve immortality through cultivation\and have learned some minor magic.\What is it?\Are you disappointed?\No.\I had already come up with more than a hundred ways to flee. response:	How come someone who practices Daoism can take a wife?
context: What?\I am just a mortal who wants to achieve immortality through cultivation\and have learned some minor magic.\What is it?\Are you disappointed?\No.\I had already come up with more than a hundred ways to flee.\How come someone who practices Daoism can take a wife? response:	Oh no, Father is heading to Xiwu Palace?
context: I am just a mortal who wants to achieve immortality through cultivation\and have learned some minor magic.\What is it?\Are you disappointed?\No.\I had already come up with more than a hundred ways to flee.\How come someone who practices Daoism can take a wife?\Oh no, Father is heading to Xiwu Palace? response:	Greetings, Heavenly Lord and Dijun...
context: and have learned some minor magic.\What is it?\Are you disappointed?\No.\I had already come up with more than a hundred ways to flee.\How come someone who practices Daoism can take a wife?\Oh no, Father is heading to Xiwu Palace?\Greetings, Heavenly Lord and Dijun... response:	Is Crown Prince inside?
context: What is it?\Are you disappointed?\No.\I had already come up with more than a hundred ways to flee.\How come someone who practices Daoism can take a wife?\Oh no, Father is heading to Xiwu Palace?\Greetings, Heavenly Lord and Dijun...\Is Crown Prince inside? response:	Yes.
context: Are you disappointed?\No.\I had already come up with more than a hundred ways to flee.\How come someone who practices Daoism can take a wife?\Oh no, Father is heading to Xiwu Palace?\Greetings, Heavenly Lord and Dijun...\Is Crown Prince inside?\Yes. response:	Tonight is Su Jin's wedding night.
context: No.\I had already come up with more than a hundred ways to flee.\How come someone who practices Daoism can take a wife?\Oh no, Father is heading to Xiwu Palace?\Greetings, Heavenly Lord and Dijun...\Is Crown Prince inside?\Yes.\Tonight is Su Jin's wedding night. response:	Everyone in the palace is at the wedding banquet.
context: I had already come up with more than a hundred ways to flee.\How come someone who practices Daoism can take a wife?\Oh no, Father is heading to Xiwu Palace?\Greetings, Heavenly Lord and Dijun...\Is Crown Prince inside?\Yes.\Tonight is Su Jin's wedding night.\Everyone in the palace is at the wedding banquet. response:	It is inappropriate for him not to be there.
context: How come someone who practices Daoism can take a wife?\Oh no, Father is heading to Xiwu Palace?\Greetings, Heavenly Lord and Dijun...\Is Crown Prince inside?\Yes.\Tonight is Su Jin's wedding night.\Everyone in the palace is at the wedding banquet.\It is inappropriate for him not to be there. response:	His Highness said he feels tired and does not want to join in the festivities
context: Oh no, Father is heading to Xiwu Palace?\Greetings, Heavenly Lord and Dijun...\Is Crown Prince inside?\Yes.\Tonight is Su Jin's wedding night.\Everyone in the palace is at the wedding banquet.\It is inappropriate for him not to be there.\His Highness said he feels tired and does not want to join in the festivities response:	and told us not to disturb him.
context: Greetings, Heavenly Lord and Dijun...\Is Crown Prince inside?\Yes.\Tonight is Su Jin's wedding night.\Everyone in the palace is at the wedding banquet.\It is inappropriate for him not to be there.\His Highness said he feels tired and does not want to join in the festivities\and told us not to disturb him. response:	Go inside to report to him. Have him wake up and greet Dijun.
context: Is Crown Prince inside?\Yes.\Tonight is Su Jin's wedding night.\Everyone in the palace is at the wedding banquet.\It is inappropriate for him not to be there.\His Highness said he feels tired and does not want to join in the festivities\and told us not to disturb him.\Go inside to report to him. Have him wake up and greet Dijun. response:	Yes.
context: Yes.\Tonight is Su Jin's wedding night.\Everyone in the palace is at the wedding banquet.\It is inappropriate for him not to be there.\His Highness said he feels tired and does not want to join in the festivities\and told us not to disturb him.\Go inside to report to him. Have him wake up and greet Dijun.\Yes. response:	- Wait, wait! Wait. - Impudence.
context: Tonight is Su Jin's wedding night.\Everyone in the palace is at the wedding banquet.\It is inappropriate for him not to be there.\His Highness said he feels tired and does not want to join in the festivities\and told us not to disturb him.\Go inside to report to him. Have him wake up and greet Dijun.\Yes.\- Wait, wait! Wait. - Impudence. response:	How is it proper for you to be making such a ruckus
context: Everyone in the palace is at the wedding banquet.\It is inappropriate for him not to be there.\His Highness said he feels tired and does not want to join in the festivities\and told us not to disturb him.\Go inside to report to him. Have him wake up and greet Dijun.\Yes.\- Wait, wait! Wait. - Impudence.\How is it proper for you to be making such a ruckus response:	outside the Crown Prince's chambers?
context: It is inappropriate for him not to be there.\His Highness said he feels tired and does not want to join in the festivities\and told us not to disturb him.\Go inside to report to him. Have him wake up and greet Dijun.\Yes.\- Wait, wait! Wait. - Impudence.\How is it proper for you to be making such a ruckus\outside the Crown Prince's chambers? response:	Please forgive me, Father. Please forgive me, Dijun.
context: His Highness said he feels tired and does not want to join in the festivities\and told us not to disturb him.\Go inside to report to him. Have him wake up and greet Dijun.\Yes.\- Wait, wait! Wait. - Impudence.\How is it proper for you to be making such a ruckus\outside the Crown Prince's chambers?\Please forgive me, Father. Please forgive me, Dijun. response:	I am afraid Ye Hua is currently nursing his injuries.
context: and told us not to disturb him.\Go inside to report to him. Have him wake up and greet Dijun.\Yes.\- Wait, wait! Wait. - Impudence.\How is it proper for you to be making such a ruckus\outside the Crown Prince's chambers?\Please forgive me, Father. Please forgive me, Dijun.\I am afraid Ye Hua is currently nursing his injuries. response:	It will be bad if he is interrupted and his spiritual balance is disturbed.
context: Go inside to report to him. Have him wake up and greet Dijun.\Yes.\- Wait, wait! Wait. - Impudence.\How is it proper for you to be making such a ruckus\outside the Crown Prince's chambers?\Please forgive me, Father. Please forgive me, Dijun.\I am afraid Ye Hua is currently nursing his injuries.\It will be bad if he is interrupted and his spiritual balance is disturbed. response:	His Highness only had a fight with the Golden Lion.
context: Yes.\- Wait, wait! Wait. - Impudence.\How is it proper for you to be making such a ruckus\outside the Crown Prince's chambers?\Please forgive me, Father. Please forgive me, Dijun.\I am afraid Ye Hua is currently nursing his injuries.\It will be bad if he is interrupted and his spiritual balance is disturbed.\His Highness only had a fight with the Golden Lion. response:	He sustained severe injuries?
context: - Wait, wait! Wait. - Impudence.\How is it proper for you to be making such a ruckus\outside the Crown Prince's chambers?\Please forgive me, Father. Please forgive me, Dijun.\I am afraid Ye Hua is currently nursing his injuries.\It will be bad if he is interrupted and his spiritual balance is disturbed.\His Highness only had a fight with the Golden Lion.\He sustained severe injuries? response:	His injuries aren't severe, nor are they light.
context: How is it proper for you to be making such a ruckus\outside the Crown Prince's chambers?\Please forgive me, Father. Please forgive me, Dijun.\I am afraid Ye Hua is currently nursing his injuries.\It will be bad if he is interrupted and his spiritual balance is disturbed.\His Highness only had a fight with the Golden Lion.\He sustained severe injuries?\His injuries aren't severe, nor are they light. response:	Enough.
context: outside the Crown Prince's chambers?\Please forgive me, Father. Please forgive me, Dijun.\I am afraid Ye Hua is currently nursing his injuries.\It will be bad if he is interrupted and his spiritual balance is disturbed.\His Highness only had a fight with the Golden Lion.\He sustained severe injuries?\His injuries aren't severe, nor are they light.\Enough. response:	A minor injury for the Crown Prince of the Celestial Tribe
context: Please forgive me, Father. Please forgive me, Dijun.\I am afraid Ye Hua is currently nursing his injuries.\It will be bad if he is interrupted and his spiritual balance is disturbed.\His Highness only had a fight with the Golden Lion.\He sustained severe injuries?\His injuries aren't severe, nor are they light.\Enough.\A minor injury for the Crown Prince of the Celestial Tribe response:	does not need to be repeatedly mentioned.
context: I am afraid Ye Hua is currently nursing his injuries.\It will be bad if he is interrupted and his spiritual balance is disturbed.\His Highness only had a fight with the Golden Lion.\He sustained severe injuries?\His injuries aren't severe, nor are they light.\Enough.\A minor injury for the Crown Prince of the Celestial Tribe\does not need to be repeatedly mentioned. response:	- Go and call Crown Prince out here. - Yes.
context: It will be bad if he is interrupted and his spiritual balance is disturbed.\His Highness only had a fight with the Golden Lion.\He sustained severe injuries?\His injuries aren't severe, nor are they light.\Enough.\A minor injury for the Crown Prince of the Celestial Tribe\does not need to be repeatedly mentioned.\- Go and call Crown Prince out here. - Yes. response:	Ye Hua?
context: His Highness only had a fight with the Golden Lion.\He sustained severe injuries?\His injuries aren't severe, nor are they light.\Enough.\A minor injury for the Crown Prince of the Celestial Tribe\does not need to be repeatedly mentioned.\- Go and call Crown Prince out here. - Yes.\Ye Hua? response:	Ye Hua!
context: He sustained severe injuries?\His injuries aren't severe, nor are they light.\Enough.\A minor injury for the Crown Prince of the Celestial Tribe\does not need to be repeatedly mentioned.\- Go and call Crown Prince out here. - Yes.\Ye Hua?\Ye Hua! response:	Ye Hua!
context: His injuries aren't severe, nor are they light.\Enough.\A minor injury for the Crown Prince of the Celestial Tribe\does not need to be repeatedly mentioned.\- Go and call Crown Prince out here. - Yes.\Ye Hua?\Ye Hua!\Ye Hua! response:	Your Highness.
context: Enough.\A minor injury for the Crown Prince of the Celestial Tribe\does not need to be repeatedly mentioned.\- Go and call Crown Prince out here. - Yes.\Ye Hua?\Ye Hua!\Ye Hua!\Your Highness. response:	Heavenly Lord, Dijun, Third Uncle.
context: A minor injury for the Crown Prince of the Celestial Tribe\does not need to be repeatedly mentioned.\- Go and call Crown Prince out here. - Yes.\Ye Hua?\Ye Hua!\Ye Hua!\Your Highness.\Heavenly Lord, Dijun, Third Uncle. response:	Ye Hua.
context: does not need to be repeatedly mentioned.\- Go and call Crown Prince out here. - Yes.\Ye Hua?\Ye Hua!\Ye Hua!\Your Highness.\Heavenly Lord, Dijun, Third Uncle.\Ye Hua. response:	Where are you?
context: - Go and call Crown Prince out here. - Yes.\Ye Hua?\Ye Hua!\Ye Hua!\Your Highness.\Heavenly Lord, Dijun, Third Uncle.\Ye Hua.\Where are you? response:	When you returned yesterday, didn't you say you had light injuries
context: Ye Hua?\Ye Hua!\Ye Hua!\Your Highness.\Heavenly Lord, Dijun, Third Uncle.\Ye Hua.\Where are you?\When you returned yesterday, didn't you say you had light injuries response:	why do you look so exhausted?
context: Ye Hua!\Ye Hua!\Your Highness.\Heavenly Lord, Dijun, Third Uncle.\Ye Hua.\Where are you?\When you returned yesterday, didn't you say you had light injuries\why do you look so exhausted? response:	Ever since returning from the mortal realm
context: Ye Hua!\Your Highness.\Heavenly Lord, Dijun, Third Uncle.\Ye Hua.\Where are you?\When you returned yesterday, didn't you say you had light injuries\why do you look so exhausted?\Ever since returning from the mortal realm response:	I have been discussing the matter of the Mermaid Clan with Third Uncle.
context: Your Highness.\Heavenly Lord, Dijun, Third Uncle.\Ye Hua.\Where are you?\When you returned yesterday, didn't you say you had light injuries\why do you look so exhausted?\Ever since returning from the mortal realm\I have been discussing the matter of the Mermaid Clan with Third Uncle. response:	I have neglected to sleep and eat properly.
context: Heavenly Lord, Dijun, Third Uncle.\Ye Hua.\Where are you?\When you returned yesterday, didn't you say you had light injuries\why do you look so exhausted?\Ever since returning from the mortal realm\I have been discussing the matter of the Mermaid Clan with Third Uncle.\I have neglected to sleep and eat properly. response:	Very good.
context: Ye Hua.\Where are you?\When you returned yesterday, didn't you say you had light injuries\why do you look so exhausted?\Ever since returning from the mortal realm\I have been discussing the matter of the Mermaid Clan with Third Uncle.\I have neglected to sleep and eat properly.\Very good. response:	This is what the future Heavenly Lord should be doing.
context: Where are you?\When you returned yesterday, didn't you say you had light injuries\why do you look so exhausted?\Ever since returning from the mortal realm\I have been discussing the matter of the Mermaid Clan with Third Uncle.\I have neglected to sleep and eat properly.\Very good.\This is what the future Heavenly Lord should be doing. response:	- However, you must remember to rest. - Yes.
context: When you returned yesterday, didn't you say you had light injuries\why do you look so exhausted?\Ever since returning from the mortal realm\I have been discussing the matter of the Mermaid Clan with Third Uncle.\I have neglected to sleep and eat properly.\Very good.\This is what the future Heavenly Lord should be doing.\- However, you must remember to rest. - Yes. response:	Why have Heavenly Lord and Dijun come here?
context: why do you look so exhausted?\Ever since returning from the mortal realm\I have been discussing the matter of the Mermaid Clan with Third Uncle.\I have neglected to sleep and eat properly.\Very good.\This is what the future Heavenly Lord should be doing.\- However, you must remember to rest. - Yes.\Why have Heavenly Lord and Dijun come here? response:	We are here to discuss your marriage arrangement with Qing Qiu.
context: Ever since returning from the mortal realm\I have been discussing the matter of the Mermaid Clan with Third Uncle.\I have neglected to sleep and eat properly.\Very good.\This is what the future Heavenly Lord should be doing.\- However, you must remember to rest. - Yes.\Why have Heavenly Lord and Dijun come here?\We are here to discuss your marriage arrangement with Qing Qiu. response:	Your Majesty suddenly bestowed marriage onto me.
context: I have been discussing the matter of the Mermaid Clan with Third Uncle.\I have neglected to sleep and eat properly.\Very good.\This is what the future Heavenly Lord should be doing.\- However, you must remember to rest. - Yes.\Why have Heavenly Lord and Dijun come here?\We are here to discuss your marriage arrangement with Qing Qiu.\Your Majesty suddenly bestowed marriage onto me. response:	In order to appease Fox King, I did not say much.
context: I have neglected to sleep and eat properly.\Very good.\This is what the future Heavenly Lord should be doing.\- However, you must remember to rest. - Yes.\Why have Heavenly Lord and Dijun come here?\We are here to discuss your marriage arrangement with Qing Qiu.\Your Majesty suddenly bestowed marriage onto me.\In order to appease Fox King, I did not say much. response:	Today, aside from Your Majesty and I, only Dijun and Third Uncle are present.
context: Very good.\This is what the future Heavenly Lord should be doing.\- However, you must remember to rest. - Yes.\Why have Heavenly Lord and Dijun come here?\We are here to discuss your marriage arrangement with Qing Qiu.\Your Majesty suddenly bestowed marriage onto me.\In order to appease Fox King, I did not say much.\Today, aside from Your Majesty and I, only Dijun and Third Uncle are present. response:	I would like to speak freely.
context: This is what the future Heavenly Lord should be doing.\- However, you must remember to rest. - Yes.\Why have Heavenly Lord and Dijun come here?\We are here to discuss your marriage arrangement with Qing Qiu.\Your Majesty suddenly bestowed marriage onto me.\In order to appease Fox King, I did not say much.\Today, aside from Your Majesty and I, only Dijun and Third Uncle are present.\I would like to speak freely. response:	What is it?
context: - However, you must remember to rest. - Yes.\Why have Heavenly Lord and Dijun come here?\We are here to discuss your marriage arrangement with Qing Qiu.\Your Majesty suddenly bestowed marriage onto me.\In order to appease Fox King, I did not say much.\Today, aside from Your Majesty and I, only Dijun and Third Uncle are present.\I would like to speak freely.\What is it? response:	Are you unsatisfied with this engagement?
context: Why have Heavenly Lord and Dijun come here?\We are here to discuss your marriage arrangement with Qing Qiu.\Your Majesty suddenly bestowed marriage onto me.\In order to appease Fox King, I did not say much.\Today, aside from Your Majesty and I, only Dijun and Third Uncle are present.\I would like to speak freely.\What is it?\Are you unsatisfied with this engagement? response:	That is not the case.
context: We are here to discuss your marriage arrangement with Qing Qiu.\Your Majesty suddenly bestowed marriage onto me.\In order to appease Fox King, I did not say much.\Today, aside from Your Majesty and I, only Dijun and Third Uncle are present.\I would like to speak freely.\What is it?\Are you unsatisfied with this engagement?\That is not the case. response:	Your Majesty, when I was young, Father often told me
context: Your Majesty suddenly bestowed marriage onto me.\In order to appease Fox King, I did not say much.\Today, aside from Your Majesty and I, only Dijun and Third Uncle are present.\I would like to speak freely.\What is it?\Are you unsatisfied with this engagement?\That is not the case.\Your Majesty, when I was young, Father often told me response:	I will be succeeding the position of Heavenly Lord.
context: In order to appease Fox King, I did not say much.\Today, aside from Your Majesty and I, only Dijun and Third Uncle are present.\I would like to speak freely.\What is it?\Are you unsatisfied with this engagement?\That is not the case.\Your Majesty, when I was young, Father often told me\I will be succeeding the position of Heavenly Lord. response:	And I am not like the average person.
context: Today, aside from Your Majesty and I, only Dijun and Third Uncle are present.\I would like to speak freely.\What is it?\Are you unsatisfied with this engagement?\That is not the case.\Your Majesty, when I was young, Father often told me\I will be succeeding the position of Heavenly Lord.\And I am not like the average person. response:	When Second Uncle Sang Ji was born
context: I would like to speak freely.\What is it?\Are you unsatisfied with this engagement?\That is not the case.\Your Majesty, when I was young, Father often told me\I will be succeeding the position of Heavenly Lord.\And I am not like the average person.\When Second Uncle Sang Ji was born response:	36 rainbow birds sang and flew circles in the sky.
context: What is it?\Are you unsatisfied with this engagement?\That is not the case.\Your Majesty, when I was young, Father often told me\I will be succeeding the position of Heavenly Lord.\And I am not like the average person.\When Second Uncle Sang Ji was born\36 rainbow birds sang and flew circles in the sky. response:	When I was born, there were 72 rainbow birds to celebrate my arrival.
context: Are you unsatisfied with this engagement?\That is not the case.\Your Majesty, when I was young, Father often told me\I will be succeeding the position of Heavenly Lord.\And I am not like the average person.\When Second Uncle Sang Ji was born\36 rainbow birds sang and flew circles in the sky.\When I was born, there were 72 rainbow birds to celebrate my arrival. response:	Your Majesty even granted me the status of heir apparent
