context: Hey, wake up. response:	I picked her up on the northern front.
context: I will submit a daily report.\While we didn't find his body,\we did find his ID tag\under the debris.\And so, he was deemed missing in action.\Gilbert is no longer...\Today is Thanksgiving.\This city was occupied by Gardarik forces for three years, response:	but they were finally liberated.
context: While we didn't find his body,\we did find his ID tag\under the debris.\And so, he was deemed missing in action.\Gilbert is no longer...\Today is Thanksgiving.\This city was occupied by Gardarik forces for three years,\but they were finally liberated. response:	Violet,
context: we did find his ID tag\under the debris.\And so, he was deemed missing in action.\Gilbert is no longer...\Today is Thanksgiving.\This city was occupied by Gardarik forces for three years,\but they were finally liberated.\Violet, response:	you did this.
context: under the debris.\And so, he was deemed missing in action.\Gilbert is no longer...\Today is Thanksgiving.\This city was occupied by Gardarik forces for three years,\but they were finally liberated.\Violet,\you did this. response:	There's a Thanksgiving tradition here in Machtig
context: And so, he was deemed missing in action.\Gilbert is no longer...\Today is Thanksgiving.\This city was occupied by Gardarik forces for three years,\but they were finally liberated.\Violet,\you did this.\There's a Thanksgiving tradition here in Machtig response:	to give gifts to those you are thankful to.
context: Gilbert is no longer...\Today is Thanksgiving.\This city was occupied by Gardarik forces for three years,\but they were finally liberated.\Violet,\you did this.\There's a Thanksgiving tradition here in Machtig\to give gifts to those you are thankful to. response:	Violet.
context: Today is Thanksgiving.\This city was occupied by Gardarik forces for three years,\but they were finally liberated.\Violet,\you did this.\There's a Thanksgiving tradition here in Machtig\to give gifts to those you are thankful to.\Violet. response:	Is there anything that you want?
context: This city was occupied by Gardarik forces for three years,\but they were finally liberated.\Violet,\you did this.\There's a Thanksgiving tradition here in Machtig\to give gifts to those you are thankful to.\Violet.\Is there anything that you want? response:	Something I want?
context: but they were finally liberated.\Violet,\you did this.\There's a Thanksgiving tradition here in Machtig\to give gifts to those you are thankful to.\Violet.\Is there anything that you want?\Something I want? response:	Yes. Tell me something you want.
context: Violet,\you did this.\There's a Thanksgiving tradition here in Machtig\to give gifts to those you are thankful to.\Violet.\Is there anything that you want?\Something I want?\Yes. Tell me something you want. response:	Yes, sir. If that is your order.
context: you did this.\There's a Thanksgiving tradition here in Machtig\to give gifts to those you are thankful to.\Violet.\Is there anything that you want?\Something I want?\Yes. Tell me something you want.\Yes, sir. If that is your order. response:	It's not an order.
context: There's a Thanksgiving tradition here in Machtig\to give gifts to those you are thankful to.\Violet.\Is there anything that you want?\Something I want?\Yes. Tell me something you want.\Yes, sir. If that is your order.\It's not an order. response:	I want to express my thanks to you.
context: to give gifts to those you are thankful to.\Violet.\Is there anything that you want?\Something I want?\Yes. Tell me something you want.\Yes, sir. If that is your order.\It's not an order.\I want to express my thanks to you. response:	Thank me?
context: Violet.\Is there anything that you want?\Something I want?\Yes. Tell me something you want.\Yes, sir. If that is your order.\It's not an order.\I want to express my thanks to you.\Thank me? response:	That's right. For all the fight...
context: Is there anything that you want?\Something I want?\Yes. Tell me something you want.\Yes, sir. If that is your order.\It's not an order.\I want to express my thanks to you.\Thank me?\That's right. For all the fight... response:	No.
context: Something I want?\Yes. Tell me something you want.\Yes, sir. If that is your order.\It's not an order.\I want to express my thanks to you.\Thank me?\That's right. For all the fight...\No. response:	Let's take a little walk.
context: Yes. Tell me something you want.\Yes, sir. If that is your order.\It's not an order.\I want to express my thanks to you.\Thank me?\That's right. For all the fight...\No.\Let's take a little walk. response:	Major.
context: Yes, sir. If that is your order.\It's not an order.\I want to express my thanks to you.\Thank me?\That's right. For all the fight...\No.\Let's take a little walk.\Major. response:	What am I supposed to want?
context: It's not an order.\I want to express my thanks to you.\Thank me?\That's right. For all the fight...\No.\Let's take a little walk.\Major.\What am I supposed to want? response:	Let's see.
context: I want to express my thanks to you.\Thank me?\That's right. For all the fight...\No.\Let's take a little walk.\Major.\What am I supposed to want?\Let's see. response:	A girl your age would want dresses or accessories.
context: Thank me?\That's right. For all the fight...\No.\Let's take a little walk.\Major.\What am I supposed to want?\Let's see.\A girl your age would want dresses or accessories. response:	Yes.
context: That's right. For all the fight...\No.\Let's take a little walk.\Major.\What am I supposed to want?\Let's see.\A girl your age would want dresses or accessories.\Yes. response:	In that case, I wish for dresses and accessories.
context: No.\Let's take a little walk.\Major.\What am I supposed to want?\Let's see.\A girl your age would want dresses or accessories.\Yes.\In that case, I wish for dresses and accessories. response:	What's wrong?
context: Let's take a little walk.\Major.\What am I supposed to want?\Let's see.\A girl your age would want dresses or accessories.\Yes.\In that case, I wish for dresses and accessories.\What's wrong? response:	I see your eyes.
context: Major.\What am I supposed to want?\Let's see.\A girl your age would want dresses or accessories.\Yes.\In that case, I wish for dresses and accessories.\What's wrong?\I see your eyes. response:	This is the same color as your eyes.
context: What am I supposed to want?\Let's see.\A girl your age would want dresses or accessories.\Yes.\In that case, I wish for dresses and accessories.\What's wrong?\I see your eyes.\This is the same color as your eyes. response:	What is this feeling...
context: Let's see.\A girl your age would want dresses or accessories.\Yes.\In that case, I wish for dresses and accessories.\What's wrong?\I see your eyes.\This is the same color as your eyes.\What is this feeling... response:	I feel...
context: A girl your age would want dresses or accessories.\Yes.\In that case, I wish for dresses and accessories.\What's wrong?\I see your eyes.\This is the same color as your eyes.\What is this feeling...\I feel... response:	when I look at this?
context: Yes.\In that case, I wish for dresses and accessories.\What's wrong?\I see your eyes.\This is the same color as your eyes.\What is this feeling...\I feel...\when I look at this? response:	It's a beautiful brooch, isn't it?
context: In that case, I wish for dresses and accessories.\What's wrong?\I see your eyes.\This is the same color as your eyes.\What is this feeling...\I feel...\when I look at this?\It's a beautiful brooch, isn't it? response:	Beautiful?
context: What's wrong?\I see your eyes.\This is the same color as your eyes.\What is this feeling...\I feel...\when I look at this?\It's a beautiful brooch, isn't it?\Beautiful? response:	Yes.
context: I see your eyes.\This is the same color as your eyes.\What is this feeling...\I feel...\when I look at this?\It's a beautiful brooch, isn't it?\Beautiful?\Yes. response:	I've never heard of the word beautiful until now.
context: This is the same color as your eyes.\What is this feeling...\I feel...\when I look at this?\It's a beautiful brooch, isn't it?\Beautiful?\Yes.\I've never heard of the word beautiful until now. response:	Is it similar to the word pretty?
context: What is this feeling...\I feel...\when I look at this?\It's a beautiful brooch, isn't it?\Beautiful?\Yes.\I've never heard of the word beautiful until now.\Is it similar to the word pretty? response:	Yes, I'd say so.
context: I feel...\when I look at this?\It's a beautiful brooch, isn't it?\Beautiful?\Yes.\I've never heard of the word beautiful until now.\Is it similar to the word pretty?\Yes, I'd say so. response:	Are you sure you didn't want one that matches your eyes?
context: when I look at this?\It's a beautiful brooch, isn't it?\Beautiful?\Yes.\I've never heard of the word beautiful until now.\Is it similar to the word pretty?\Yes, I'd say so.\Are you sure you didn't want one that matches your eyes? response:	Yes, this was the most beautiful one.
context: It's a beautiful brooch, isn't it?\Beautiful?\Yes.\I've never heard of the word beautiful until now.\Is it similar to the word pretty?\Yes, I'd say so.\Are you sure you didn't want one that matches your eyes?\Yes, this was the most beautiful one. response:	I did not know the word, which is why I've never said it before.
context: Beautiful?\Yes.\I've never heard of the word beautiful until now.\Is it similar to the word pretty?\Yes, I'd say so.\Are you sure you didn't want one that matches your eyes?\Yes, this was the most beautiful one.\I did not know the word, which is why I've never said it before. response:	But your eyes were beautiful from the moment we met.
context: Yes.\I've never heard of the word beautiful until now.\Is it similar to the word pretty?\Yes, I'd say so.\Are you sure you didn't want one that matches your eyes?\Yes, this was the most beautiful one.\I did not know the word, which is why I've never said it before.\But your eyes were beautiful from the moment we met. response:	Major.
context: I've never heard of the word beautiful until now.\Is it similar to the word pretty?\Yes, I'd say so.\Are you sure you didn't want one that matches your eyes?\Yes, this was the most beautiful one.\I did not know the word, which is why I've never said it before.\But your eyes were beautiful from the moment we met.\Major. response:	-The brooch. -Yes, sir.
context: Is it similar to the word pretty?\Yes, I'd say so.\Are you sure you didn't want one that matches your eyes?\Yes, this was the most beautiful one.\I did not know the word, which is why I've never said it before.\But your eyes were beautiful from the moment we met.\Major.\-The brooch. -Yes, sir. response:	Thank you.
context: Yes, I'd say so.\Are you sure you didn't want one that matches your eyes?\Yes, this was the most beautiful one.\I did not know the word, which is why I've never said it before.\But your eyes were beautiful from the moment we met.\Major.\-The brooch. -Yes, sir.\Thank you. response:	Thank you very much.
context: Are you sure you didn't want one that matches your eyes?\Yes, this was the most beautiful one.\I did not know the word, which is why I've never said it before.\But your eyes were beautiful from the moment we met.\Major.\-The brooch. -Yes, sir.\Thank you.\Thank you very much. response:	WESTERN FRONT OBERGERG
context: Yes, this was the most beautiful one.\I did not know the word, which is why I've never said it before.\But your eyes were beautiful from the moment we met.\Major.\-The brooch. -Yes, sir.\Thank you.\Thank you very much.\WESTERN FRONT OBERGERG response:	LEIDENSCHAFTLICH ARMY FRONT LINE HEADQUARTERS
context: I did not know the word, which is why I've never said it before.\But your eyes were beautiful from the moment we met.\Major.\-The brooch. -Yes, sir.\Thank you.\Thank you very much.\WESTERN FRONT OBERGERG\LEIDENSCHAFTLICH ARMY FRONT LINE HEADQUARTERS response:	The Gardariks pulled back from the west coast.
context: But your eyes were beautiful from the moment we met.\Major.\-The brooch. -Yes, sir.\Thank you.\Thank you very much.\WESTERN FRONT OBERGERG\LEIDENSCHAFTLICH ARMY FRONT LINE HEADQUARTERS\The Gardariks pulled back from the west coast. response:	Do you think we'll be home by spring?
context: Major.\-The brooch. -Yes, sir.\Thank you.\Thank you very much.\WESTERN FRONT OBERGERG\LEIDENSCHAFTLICH ARMY FRONT LINE HEADQUARTERS\The Gardariks pulled back from the west coast.\Do you think we'll be home by spring? response:	Yeah, let's all make it home together.
context: -The brooch. -Yes, sir.\Thank you.\Thank you very much.\WESTERN FRONT OBERGERG\LEIDENSCHAFTLICH ARMY FRONT LINE HEADQUARTERS\The Gardariks pulled back from the west coast.\Do you think we'll be home by spring?\Yeah, let's all make it home together. response:	Gilbert!
context: Thank you.\Thank you very much.\WESTERN FRONT OBERGERG\LEIDENSCHAFTLICH ARMY FRONT LINE HEADQUARTERS\The Gardariks pulled back from the west coast.\Do you think we'll be home by spring?\Yeah, let's all make it home together.\Gilbert! response:	It's been a while.
context: Thank you very much.\WESTERN FRONT OBERGERG\LEIDENSCHAFTLICH ARMY FRONT LINE HEADQUARTERS\The Gardariks pulled back from the west coast.\Do you think we'll be home by spring?\Yeah, let's all make it home together.\Gilbert!\It's been a while. response:	Lieutenant Colonel Hodgins!
context: WESTERN FRONT OBERGERG\LEIDENSCHAFTLICH ARMY FRONT LINE HEADQUARTERS\The Gardariks pulled back from the west coast.\Do you think we'll be home by spring?\Yeah, let's all make it home together.\Gilbert!\It's been a while.\Lieutenant Colonel Hodgins! response:	You don't need to call me that.
context: LEIDENSCHAFTLICH ARMY FRONT LINE HEADQUARTERS\The Gardariks pulled back from the west coast.\Do you think we'll be home by spring?\Yeah, let's all make it home together.\Gilbert!\It's been a while.\Lieutenant Colonel Hodgins!\You don't need to call me that. response:	Yes, I do.
context: The Gardariks pulled back from the west coast.\Do you think we'll be home by spring?\Yeah, let's all make it home together.\Gilbert!\It's been a while.\Lieutenant Colonel Hodgins!\You don't need to call me that.\Yes, I do. response:	You have the higher rank.
context: Do you think we'll be home by spring?\Yeah, let's all make it home together.\Gilbert!\It's been a while.\Lieutenant Colonel Hodgins!\You don't need to call me that.\Yes, I do.\You have the higher rank. response:	It's strange how your blunt attitude seems so endearing now.
context: Yeah, let's all make it home together.\Gilbert!\It's been a while.\Lieutenant Colonel Hodgins!\You don't need to call me that.\Yes, I do.\You have the higher rank.\It's strange how your blunt attitude seems so endearing now. response:	You haven't changed either. Even after becoming a lieutenant colonel.
context: Gilbert!\It's been a while.\Lieutenant Colonel Hodgins!\You don't need to call me that.\Yes, I do.\You have the higher rank.\It's strange how your blunt attitude seems so endearing now.\You haven't changed either. Even after becoming a lieutenant colonel. response:	In my case,
context: It's been a while.\Lieutenant Colonel Hodgins!\You don't need to call me that.\Yes, I do.\You have the higher rank.\It's strange how your blunt attitude seems so endearing now.\You haven't changed either. Even after becoming a lieutenant colonel.\In my case, response:	it's because they kept sending me to places we could win without fighting.
context: Lieutenant Colonel Hodgins!\You don't need to call me that.\Yes, I do.\You have the higher rank.\It's strange how your blunt attitude seems so endearing now.\You haven't changed either. Even after becoming a lieutenant colonel.\In my case,\it's because they kept sending me to places we could win without fighting. response:	Your family is an important financier of our military.
context: You don't need to call me that.\Yes, I do.\You have the higher rank.\It's strange how your blunt attitude seems so endearing now.\You haven't changed either. Even after becoming a lieutenant colonel.\In my case,\it's because they kept sending me to places we could win without fighting.\Your family is an important financier of our military. response:	You can't blame headquarters for keeping you safe.
context: Yes, I do.\You have the higher rank.\It's strange how your blunt attitude seems so endearing now.\You haven't changed either. Even after becoming a lieutenant colonel.\In my case,\it's because they kept sending me to places we could win without fighting.\Your family is an important financier of our military.\You can't blame headquarters for keeping you safe. response:	Still, I don't feel good being promoted like this.
context: You have the higher rank.\It's strange how your blunt attitude seems so endearing now.\You haven't changed either. Even after becoming a lieutenant colonel.\In my case,\it's because they kept sending me to places we could win without fighting.\Your family is an important financier of our military.\You can't blame headquarters for keeping you safe.\Still, I don't feel good being promoted like this. response:	Anyway, what about you? How have you been?
context: It's strange how your blunt attitude seems so endearing now.\You haven't changed either. Even after becoming a lieutenant colonel.\In my case,\it's because they kept sending me to places we could win without fighting.\Your family is an important financier of our military.\You can't blame headquarters for keeping you safe.\Still, I don't feel good being promoted like this.\Anyway, what about you? How have you been? response:	Eating enough food? I hope you're getting enough sleep.
context: You haven't changed either. Even after becoming a lieutenant colonel.\In my case,\it's because they kept sending me to places we could win without fighting.\Your family is an important financier of our military.\You can't blame headquarters for keeping you safe.\Still, I don't feel good being promoted like this.\Anyway, what about you? How have you been?\Eating enough food? I hope you're getting enough sleep. response:	You can relax, he is only joking around.
context: In my case,\it's because they kept sending me to places we could win without fighting.\Your family is an important financier of our military.\You can't blame headquarters for keeping you safe.\Still, I don't feel good being promoted like this.\Anyway, what about you? How have you been?\Eating enough food? I hope you're getting enough sleep.\You can relax, he is only joking around. response:	He may be older than me,
context: it's because they kept sending me to places we could win without fighting.\Your family is an important financier of our military.\You can't blame headquarters for keeping you safe.\Still, I don't feel good being promoted like this.\Anyway, what about you? How have you been?\Eating enough food? I hope you're getting enough sleep.\You can relax, he is only joking around.\He may be older than me, response:	but we were in the same class in officer school.
context: Your family is an important financier of our military.\You can't blame headquarters for keeping you safe.\Still, I don't feel good being promoted like this.\Anyway, what about you? How have you been?\Eating enough food? I hope you're getting enough sleep.\You can relax, he is only joking around.\He may be older than me,\but we were in the same class in officer school. response:	I've seen her at the training ground before.
context: You can't blame headquarters for keeping you safe.\Still, I don't feel good being promoted like this.\Anyway, what about you? How have you been?\Eating enough food? I hope you're getting enough sleep.\You can relax, he is only joking around.\He may be older than me,\but we were in the same class in officer school.\I've seen her at the training ground before. response:	You still had her by your side?
context: Still, I don't feel good being promoted like this.\Anyway, what about you? How have you been?\Eating enough food? I hope you're getting enough sleep.\You can relax, he is only joking around.\He may be older than me,\but we were in the same class in officer school.\I've seen her at the training ground before.\You still had her by your side? response:	Isn't she the one who wreaked havoc in Capria?
context: Anyway, what about you? How have you been?\Eating enough food? I hope you're getting enough sleep.\You can relax, he is only joking around.\He may be older than me,\but we were in the same class in officer school.\I've seen her at the training ground before.\You still had her by your side?\Isn't she the one who wreaked havoc in Capria? response:	There are rumors going around that she's your weapon.
context: Eating enough food? I hope you're getting enough sleep.\You can relax, he is only joking around.\He may be older than me,\but we were in the same class in officer school.\I've seen her at the training ground before.\You still had her by your side?\Isn't she the one who wreaked havoc in Capria?\There are rumors going around that she's your weapon. response:	You should make her do something else.
context: You can relax, he is only joking around.\He may be older than me,\but we were in the same class in officer school.\I've seen her at the training ground before.\You still had her by your side?\Isn't she the one who wreaked havoc in Capria?\There are rumors going around that she's your weapon.\You should make her do something else. response:	Sorry about that. Um...
context: He may be older than me,\but we were in the same class in officer school.\I've seen her at the training ground before.\You still had her by your side?\Isn't she the one who wreaked havoc in Capria?\There are rumors going around that she's your weapon.\You should make her do something else.\Sorry about that. Um... response:	She's Violet.
context: but we were in the same class in officer school.\I've seen her at the training ground before.\You still had her by your side?\Isn't she the one who wreaked havoc in Capria?\There are rumors going around that she's your weapon.\You should make her do something else.\Sorry about that. Um...\She's Violet. response:	She didn't have a name, so, I gave her one.
context: I've seen her at the training ground before.\You still had her by your side?\Isn't she the one who wreaked havoc in Capria?\There are rumors going around that she's your weapon.\You should make her do something else.\Sorry about that. Um...\She's Violet.\She didn't have a name, so, I gave her one. response:	Are you also using her for Operation Regain Intense?
context: You still had her by your side?\Isn't she the one who wreaked havoc in Capria?\There are rumors going around that she's your weapon.\You should make her do something else.\Sorry about that. Um...\She's Violet.\She didn't have a name, so, I gave her one.\Are you also using her for Operation Regain Intense? response:	If this operation succeeds, the enemy will crumble.
context: Isn't she the one who wreaked havoc in Capria?\There are rumors going around that she's your weapon.\You should make her do something else.\Sorry about that. Um...\She's Violet.\She didn't have a name, so, I gave her one.\Are you also using her for Operation Regain Intense?\If this operation succeeds, the enemy will crumble. response:	It will likely be the final fight.
context: There are rumors going around that she's your weapon.\You should make her do something else.\Sorry about that. Um...\She's Violet.\She didn't have a name, so, I gave her one.\Are you also using her for Operation Regain Intense?\If this operation succeeds, the enemy will crumble.\It will likely be the final fight. response:	Yes.
context: You should make her do something else.\Sorry about that. Um...\She's Violet.\She didn't have a name, so, I gave her one.\Are you also using her for Operation Regain Intense?\If this operation succeeds, the enemy will crumble.\It will likely be the final fight.\Yes. response:	You know, once this war is over,
context: Sorry about that. Um...\She's Violet.\She didn't have a name, so, I gave her one.\Are you also using her for Operation Regain Intense?\If this operation succeeds, the enemy will crumble.\It will likely be the final fight.\Yes.\You know, once this war is over, response:	I'm thinking about quitting the army and starting a company.
context: She's Violet.\She didn't have a name, so, I gave her one.\Are you also using her for Operation Regain Intense?\If this operation succeeds, the enemy will crumble.\It will likely be the final fight.\Yes.\You know, once this war is over,\I'm thinking about quitting the army and starting a company. response:	A company?
context: She didn't have a name, so, I gave her one.\Are you also using her for Operation Regain Intense?\If this operation succeeds, the enemy will crumble.\It will likely be the final fight.\Yes.\You know, once this war is over,\I'm thinking about quitting the army and starting a company.\A company? response:	I'll hire you when I do.
context: Are you also using her for Operation Regain Intense?\If this operation succeeds, the enemy will crumble.\It will likely be the final fight.\Yes.\You know, once this war is over,\I'm thinking about quitting the army and starting a company.\A company?\I'll hire you when I do. response:	I don't like the idea of working under you.
context: If this operation succeeds, the enemy will crumble.\It will likely be the final fight.\Yes.\You know, once this war is over,\I'm thinking about quitting the army and starting a company.\A company?\I'll hire you when I do.\I don't like the idea of working under you. response:	Then I guess I'll hire Violet instead.
context: It will likely be the final fight.\Yes.\You know, once this war is over,\I'm thinking about quitting the army and starting a company.\A company?\I'll hire you when I do.\I don't like the idea of working under you.\Then I guess I'll hire Violet instead. response:	You know...
context: Yes.\You know, once this war is over,\I'm thinking about quitting the army and starting a company.\A company?\I'll hire you when I do.\I don't like the idea of working under you.\Then I guess I'll hire Violet instead.\You know... response:	that might be a good idea.
context: You know, once this war is over,\I'm thinking about quitting the army and starting a company.\A company?\I'll hire you when I do.\I don't like the idea of working under you.\Then I guess I'll hire Violet instead.\You know...\that might be a good idea. response:	Huddle up!
context: I'm thinking about quitting the army and starting a company.\A company?\I'll hire you when I do.\I don't like the idea of working under you.\Then I guess I'll hire Violet instead.\You know...\that might be a good idea.\Huddle up! response:	Major.
context: A company?\I'll hire you when I do.\I don't like the idea of working under you.\Then I guess I'll hire Violet instead.\You know...\that might be a good idea.\Huddle up!\Major. response:	What is it?
context: I'll hire you when I do.\I don't like the idea of working under you.\Then I guess I'll hire Violet instead.\You know...\that might be a good idea.\Huddle up!\Major.\What is it? response:	-Do you no longer need me? -What are you talking about?
context: I don't like the idea of working under you.\Then I guess I'll hire Violet instead.\You know...\that might be a good idea.\Huddle up!\Major.\What is it?\-Do you no longer need me? -What are you talking about? response:	After I am dismissed,
context: Then I guess I'll hire Violet instead.\You know...\that might be a good idea.\Huddle up!\Major.\What is it?\-Do you no longer need me? -What are you talking about?\After I am dismissed, response:	will I be transferred to Lieutenant Colonel Hodgins' command?
context: You know...\that might be a good idea.\Huddle up!\Major.\What is it?\-Do you no longer need me? -What are you talking about?\After I am dismissed,\will I be transferred to Lieutenant Colonel Hodgins' command? response:	Will I never receive any orders from you again, major?
context: that might be a good idea.\Huddle up!\Major.\What is it?\-Do you no longer need me? -What are you talking about?\After I am dismissed,\will I be transferred to Lieutenant Colonel Hodgins' command?\Will I never receive any orders from you again, major? response:	You've done nothing wrong.
context: Huddle up!\Major.\What is it?\-Do you no longer need me? -What are you talking about?\After I am dismissed,\will I be transferred to Lieutenant Colonel Hodgins' command?\Will I never receive any orders from you again, major?\You've done nothing wrong. response:	We're going into battle in a few hours. We can talk about this later.
context: Major.\What is it?\-Do you no longer need me? -What are you talking about?\After I am dismissed,\will I be transferred to Lieutenant Colonel Hodgins' command?\Will I never receive any orders from you again, major?\You've done nothing wrong.\We're going into battle in a few hours. We can talk about this later. response:	This is the plan.
context: What is it?\-Do you no longer need me? -What are you talking about?\After I am dismissed,\will I be transferred to Lieutenant Colonel Hodgins' command?\Will I never receive any orders from you again, major?\You've done nothing wrong.\We're going into battle in a few hours. We can talk about this later.\This is the plan. response:	The enemy's main headquarters is located in Intense, here.
context: -Do you no longer need me? -What are you talking about?\After I am dismissed,\will I be transferred to Lieutenant Colonel Hodgins' command?\Will I never receive any orders from you again, major?\You've done nothing wrong.\We're going into battle in a few hours. We can talk about this later.\This is the plan.\The enemy's main headquarters is located in Intense, here. response:	It's surrounded by cliffs, making it a natural fortress.
context: After I am dismissed,\will I be transferred to Lieutenant Colonel Hodgins' command?\Will I never receive any orders from you again, major?\You've done nothing wrong.\We're going into battle in a few hours. We can talk about this later.\This is the plan.\The enemy's main headquarters is located in Intense, here.\It's surrounded by cliffs, making it a natural fortress. response:	Attacking from the front will be too difficult.
context: will I be transferred to Lieutenant Colonel Hodgins' command?\Will I never receive any orders from you again, major?\You've done nothing wrong.\We're going into battle in a few hours. We can talk about this later.\This is the plan.\The enemy's main headquarters is located in Intense, here.\It's surrounded by cliffs, making it a natural fortress.\Attacking from the front will be too difficult. response:	So, our artillery will bombard the enemy first.
context: Will I never receive any orders from you again, major?\You've done nothing wrong.\We're going into battle in a few hours. We can talk about this later.\This is the plan.\The enemy's main headquarters is located in Intense, here.\It's surrounded by cliffs, making it a natural fortress.\Attacking from the front will be too difficult.\So, our artillery will bombard the enemy first. response:	While the enemy is distracted,
context: You've done nothing wrong.\We're going into battle in a few hours. We can talk about this later.\This is the plan.\The enemy's main headquarters is located in Intense, here.\It's surrounded by cliffs, making it a natural fortress.\Attacking from the front will be too difficult.\So, our artillery will bombard the enemy first.\While the enemy is distracted, response:	we'll use the sewers to infiltrate Intense,
context: We're going into battle in a few hours. We can talk about this later.\This is the plan.\The enemy's main headquarters is located in Intense, here.\It's surrounded by cliffs, making it a natural fortress.\Attacking from the front will be too difficult.\So, our artillery will bombard the enemy first.\While the enemy is distracted,\we'll use the sewers to infiltrate Intense, response:	rush to the cathedral, and take control of their headquarters.
context: This is the plan.\The enemy's main headquarters is located in Intense, here.\It's surrounded by cliffs, making it a natural fortress.\Attacking from the front will be too difficult.\So, our artillery will bombard the enemy first.\While the enemy is distracted,\we'll use the sewers to infiltrate Intense,\rush to the cathedral, and take control of their headquarters. response:	After we do, we will send up a flare
context: The enemy's main headquarters is located in Intense, here.\It's surrounded by cliffs, making it a natural fortress.\Attacking from the front will be too difficult.\So, our artillery will bombard the enemy first.\While the enemy is distracted,\we'll use the sewers to infiltrate Intense,\rush to the cathedral, and take control of their headquarters.\After we do, we will send up a flare response:	to signal our reinforcements to charge, and our operation is complete.
context: It's surrounded by cliffs, making it a natural fortress.\Attacking from the front will be too difficult.\So, our artillery will bombard the enemy first.\While the enemy is distracted,\we'll use the sewers to infiltrate Intense,\rush to the cathedral, and take control of their headquarters.\After we do, we will send up a flare\to signal our reinforcements to charge, and our operation is complete. response:	-Understood? -Yes, sir!
context: Attacking from the front will be too difficult.\So, our artillery will bombard the enemy first.\While the enemy is distracted,\we'll use the sewers to infiltrate Intense,\rush to the cathedral, and take control of their headquarters.\After we do, we will send up a flare\to signal our reinforcements to charge, and our operation is complete.\-Understood? -Yes, sir! response:	Five minutes until artillery.
context: So, our artillery will bombard the enemy first.\While the enemy is distracted,\we'll use the sewers to infiltrate Intense,\rush to the cathedral, and take control of their headquarters.\After we do, we will send up a flare\to signal our reinforcements to charge, and our operation is complete.\-Understood? -Yes, sir!\Five minutes until artillery. response:	Okay, go!
context: While the enemy is distracted,\we'll use the sewers to infiltrate Intense,\rush to the cathedral, and take control of their headquarters.\After we do, we will send up a flare\to signal our reinforcements to charge, and our operation is complete.\-Understood? -Yes, sir!\Five minutes until artillery.\Okay, go! response:	Fire artillery.
context: we'll use the sewers to infiltrate Intense,\rush to the cathedral, and take control of their headquarters.\After we do, we will send up a flare\to signal our reinforcements to charge, and our operation is complete.\-Understood? -Yes, sir!\Five minutes until artillery.\Okay, go!\Fire artillery. response:	Fire artillery!
context: rush to the cathedral, and take control of their headquarters.\After we do, we will send up a flare\to signal our reinforcements to charge, and our operation is complete.\-Understood? -Yes, sir!\Five minutes until artillery.\Okay, go!\Fire artillery.\Fire artillery! response:	Fire!
context: After we do, we will send up a flare\to signal our reinforcements to charge, and our operation is complete.\-Understood? -Yes, sir!\Five minutes until artillery.\Okay, go!\Fire artillery.\Fire artillery!\Fire! response:	Follow her!
context: to signal our reinforcements to charge, and our operation is complete.\-Understood? -Yes, sir!\Five minutes until artillery.\Okay, go!\Fire artillery.\Fire artillery!\Fire!\Follow her! response:	All squads, report!
context: -Understood? -Yes, sir!\Five minutes until artillery.\Okay, go!\Fire artillery.\Fire artillery!\Fire!\Follow her!\All squads, report! response:	Squad 1 has lost three!
context: Five minutes until artillery.\Okay, go!\Fire artillery.\Fire artillery!\Fire!\Follow her!\All squads, report!\Squad 1 has lost three! response:	Squad 2 is mostly intact!
context: Okay, go!\Fire artillery.\Fire artillery!\Fire!\Follow her!\All squads, report!\Squad 1 has lost three!\Squad 2 is mostly intact! response:	Squads 3 and 4 have lost half our men! We're going to need help!
context: Fire artillery.\Fire artillery!\Fire!\Follow her!\All squads, report!\Squad 1 has lost three!\Squad 2 is mostly intact!\Squads 3 and 4 have lost half our men! We're going to need help! response:	Okay, Squads 1 and 2 will secure the perimeter
context: Fire artillery!\Fire!\Follow her!\All squads, report!\Squad 1 has lost three!\Squad 2 is mostly intact!\Squads 3 and 4 have lost half our men! We're going to need help!\Okay, Squads 1 and 2 will secure the perimeter response:	and draw the enemy reinforcements in.
context: Fire!\Follow her!\All squads, report!\Squad 1 has lost three!\Squad 2 is mostly intact!\Squads 3 and 4 have lost half our men! We're going to need help!\Okay, Squads 1 and 2 will secure the perimeter\and draw the enemy reinforcements in. response:	Everyone left in Squads 3 and 4 will take control of the cathedral with me!
context: Follow her!\All squads, report!\Squad 1 has lost three!\Squad 2 is mostly intact!\Squads 3 and 4 have lost half our men! We're going to need help!\Okay, Squads 1 and 2 will secure the perimeter\and draw the enemy reinforcements in.\Everyone left in Squads 3 and 4 will take control of the cathedral with me! response:	-Let's go! -Yes, sir!
context: All squads, report!\Squad 1 has lost three!\Squad 2 is mostly intact!\Squads 3 and 4 have lost half our men! We're going to need help!\Okay, Squads 1 and 2 will secure the perimeter\and draw the enemy reinforcements in.\Everyone left in Squads 3 and 4 will take control of the cathedral with me!\-Let's go! -Yes, sir! response:	Fire!
