context: Yo! Over here. response:	Sorry for calling you out on such short notice.
context: Don't.\I didn't want you to go back then either.\Back then?\I'm going to tell you something terrible about myself now.\Huh?\Back then, I was actually relieved.\You said that you didn't like Menma.\It's horrible of me, but I was actually kind of happy. response:	But...
context: I didn't want you to go back then either.\Back then?\I'm going to tell you something terrible about myself now.\Huh?\Back then, I was actually relieved.\You said that you didn't like Menma.\It's horrible of me, but I was actually kind of happy.\But... response:	When you left like that...
context: Back then?\I'm going to tell you something terrible about myself now.\Huh?\Back then, I was actually relieved.\You said that you didn't like Menma.\It's horrible of me, but I was actually kind of happy.\But...\When you left like that... response:	It was the same as you saying you loved her.
context: I'm going to tell you something terrible about myself now.\Huh?\Back then, I was actually relieved.\You said that you didn't like Menma.\It's horrible of me, but I was actually kind of happy.\But...\When you left like that...\It was the same as you saying you loved her. response:	That moment has pained me ever since.
context: Huh?\Back then, I was actually relieved.\You said that you didn't like Menma.\It's horrible of me, but I was actually kind of happy.\But...\When you left like that...\It was the same as you saying you loved her.\That moment has pained me ever since. response:	I couldn't forgive myself for being happy then.
context: Back then, I was actually relieved.\You said that you didn't like Menma.\It's horrible of me, but I was actually kind of happy.\But...\When you left like that...\It was the same as you saying you loved her.\That moment has pained me ever since.\I couldn't forgive myself for being happy then. response:	Or for hurting Menma, and for how it all ended.
context: You said that you didn't like Menma.\It's horrible of me, but I was actually kind of happy.\But...\When you left like that...\It was the same as you saying you loved her.\That moment has pained me ever since.\I couldn't forgive myself for being happy then.\Or for hurting Menma, and for how it all ended. response:	And I... I couldn't forgive myself for liking you.
context: It's horrible of me, but I was actually kind of happy.\But...\When you left like that...\It was the same as you saying you loved her.\That moment has pained me ever since.\I couldn't forgive myself for being happy then.\Or for hurting Menma, and for how it all ended.\And I... I couldn't forgive myself for liking you. response:	But it turns out that I... I really...
context: But...\When you left like that...\It was the same as you saying you loved her.\That moment has pained me ever since.\I couldn't forgive myself for being happy then.\Or for hurting Menma, and for how it all ended.\And I... I couldn't forgive myself for liking you.\But it turns out that I... I really... response:	You're still going?
context: When you left like that...\It was the same as you saying you loved her.\That moment has pained me ever since.\I couldn't forgive myself for being happy then.\Or for hurting Menma, and for how it all ended.\And I... I couldn't forgive myself for liking you.\But it turns out that I... I really...\You're still going? response:	You're being strange!
context: It was the same as you saying you loved her.\That moment has pained me ever since.\I couldn't forgive myself for being happy then.\Or for hurting Menma, and for how it all ended.\And I... I couldn't forgive myself for liking you.\But it turns out that I... I really...\You're still going?\You're being strange! response:	Say that Menma really is at your house, if you grant her wish, won't she disappear?
context: That moment has pained me ever since.\I couldn't forgive myself for being happy then.\Or for hurting Menma, and for how it all ended.\And I... I couldn't forgive myself for liking you.\But it turns out that I... I really...\You're still going?\You're being strange!\Say that Menma really is at your house, if you grant her wish, won't she disappear? response:	Are you fine with her disappearing, even though you like her?
context: I couldn't forgive myself for being happy then.\Or for hurting Menma, and for how it all ended.\And I... I couldn't forgive myself for liking you.\But it turns out that I... I really...\You're still going?\You're being strange!\Say that Menma really is at your house, if you grant her wish, won't she disappear?\Are you fine with her disappearing, even though you like her? response:	Jintan you're an...
context: Or for hurting Menma, and for how it all ended.\And I... I couldn't forgive myself for liking you.\But it turns out that I... I really...\You're still going?\You're being strange!\Say that Menma really is at your house, if you grant her wish, won't she disappear?\Are you fine with her disappearing, even though you like her?\Jintan you're an... response:	Idiot!
context: And I... I couldn't forgive myself for liking you.\But it turns out that I... I really...\You're still going?\You're being strange!\Say that Menma really is at your house, if you grant her wish, won't she disappear?\Are you fine with her disappearing, even though you like her?\Jintan you're an...\Idiot! response:	I'm such an idiot.
context: But it turns out that I... I really...\You're still going?\You're being strange!\Say that Menma really is at your house, if you grant her wish, won't she disappear?\Are you fine with her disappearing, even though you like her?\Jintan you're an...\Idiot!\I'm such an idiot. response:	I'm home.
context: You're still going?\You're being strange!\Say that Menma really is at your house, if you grant her wish, won't she disappear?\Are you fine with her disappearing, even though you like her?\Jintan you're an...\Idiot!\I'm such an idiot.\I'm home. response:	Was she waiting for me?
context: You're being strange!\Say that Menma really is at your house, if you grant her wish, won't she disappear?\Are you fine with her disappearing, even though you like her?\Jintan you're an...\Idiot!\I'm such an idiot.\I'm home.\Was she waiting for me? response:	Your nails are pitch black!
context: Say that Menma really is at your house, if you grant her wish, won't she disappear?\Are you fine with her disappearing, even though you like her?\Jintan you're an...\Idiot!\I'm such an idiot.\I'm home.\Was she waiting for me?\Your nails are pitch black! response:	I'll clean them off with toothpicks!
context: Are you fine with her disappearing, even though you like her?\Jintan you're an...\Idiot!\I'm such an idiot.\I'm home.\Was she waiting for me?\Your nails are pitch black!\I'll clean them off with toothpicks! response:	You really don't have to.
context: Jintan you're an...\Idiot!\I'm such an idiot.\I'm home.\Was she waiting for me?\Your nails are pitch black!\I'll clean them off with toothpicks!\You really don't have to. response:	I'll clean them!
context: Idiot!\I'm such an idiot.\I'm home.\Was she waiting for me?\Your nails are pitch black!\I'll clean them off with toothpicks!\You really don't have to.\I'll clean them! response:	I know. Once I grant her wish, Menma will...
context: I'm such an idiot.\I'm home.\Was she waiting for me?\Your nails are pitch black!\I'll clean them off with toothpicks!\You really don't have to.\I'll clean them!\I know. Once I grant her wish, Menma will... response:	Ouch.
context: I'm home.\Was she waiting for me?\Your nails are pitch black!\I'll clean them off with toothpicks!\You really don't have to.\I'll clean them!\I know. Once I grant her wish, Menma will...\Ouch. response:	Sorry about that, bear it for just a bit more.
context: Was she waiting for me?\Your nails are pitch black!\I'll clean them off with toothpicks!\You really don't have to.\I'll clean them!\I know. Once I grant her wish, Menma will...\Ouch.\Sorry about that, bear it for just a bit more. response:	But if that's what Menma wants...
context: Your nails are pitch black!\I'll clean them off with toothpicks!\You really don't have to.\I'll clean them!\I know. Once I grant her wish, Menma will...\Ouch.\Sorry about that, bear it for just a bit more.\But if that's what Menma wants... response:	If that's the way it is, I'll...
context: I'll clean them off with toothpicks!\You really don't have to.\I'll clean them!\I know. Once I grant her wish, Menma will...\Ouch.\Sorry about that, bear it for just a bit more.\But if that's what Menma wants...\If that's the way it is, I'll... response:	Jintan?
context: You really don't have to.\I'll clean them!\I know. Once I grant her wish, Menma will...\Ouch.\Sorry about that, bear it for just a bit more.\But if that's what Menma wants...\If that's the way it is, I'll...\Jintan? response:	What's wrong? Did it hurt that much?
context: I'll clean them!\I know. Once I grant her wish, Menma will...\Ouch.\Sorry about that, bear it for just a bit more.\But if that's what Menma wants...\If that's the way it is, I'll...\Jintan?\What's wrong? Did it hurt that much? response:	No I... I remembered The Dog of Flanders.
context: I know. Once I grant her wish, Menma will...\Ouch.\Sorry about that, bear it for just a bit more.\But if that's what Menma wants...\If that's the way it is, I'll...\Jintan?\What's wrong? Did it hurt that much?\No I... I remembered The Dog of Flanders. response:	Huh?
context: Ouch.\Sorry about that, bear it for just a bit more.\But if that's what Menma wants...\If that's the way it is, I'll...\Jintan?\What's wrong? Did it hurt that much?\No I... I remembered The Dog of Flanders.\Huh? response:	I was thinking about Patrasche.
context: Sorry about that, bear it for just a bit more.\But if that's what Menma wants...\If that's the way it is, I'll...\Jintan?\What's wrong? Did it hurt that much?\No I... I remembered The Dog of Flanders.\Huh?\I was thinking about Patrasche. response:	Patrasche?
context: But if that's what Menma wants...\If that's the way it is, I'll...\Jintan?\What's wrong? Did it hurt that much?\No I... I remembered The Dog of Flanders.\Huh?\I was thinking about Patrasche.\Patrasche? response:	They were showing a rebroadcast of The Dog of Flanders a while back...
context: If that's the way it is, I'll...\Jintan?\What's wrong? Did it hurt that much?\No I... I remembered The Dog of Flanders.\Huh?\I was thinking about Patrasche.\Patrasche?\They were showing a rebroadcast of The Dog of Flanders a while back... response:	What am I saying? This is such a crappy lie.
context: Jintan?\What's wrong? Did it hurt that much?\No I... I remembered The Dog of Flanders.\Huh?\I was thinking about Patrasche.\Patrasche?\They were showing a rebroadcast of The Dog of Flanders a while back...\What am I saying? This is such a crappy lie. response:	But...
context: What's wrong? Did it hurt that much?\No I... I remembered The Dog of Flanders.\Huh?\I was thinking about Patrasche.\Patrasche?\They were showing a rebroadcast of The Dog of Flanders a while back...\What am I saying? This is such a crappy lie.\But... response:	Jintan.
context: No I... I remembered The Dog of Flanders.\Huh?\I was thinking about Patrasche.\Patrasche?\They were showing a rebroadcast of The Dog of Flanders a while back...\What am I saying? This is such a crappy lie.\But...\Jintan. response:	Jintan! I'm sure that Patrasche was happy!
context: Huh?\I was thinking about Patrasche.\Patrasche?\They were showing a rebroadcast of The Dog of Flanders a while back...\What am I saying? This is such a crappy lie.\But...\Jintan.\Jintan! I'm sure that Patrasche was happy! response:	Yeah.
context: I was thinking about Patrasche.\Patrasche?\They were showing a rebroadcast of The Dog of Flanders a while back...\What am I saying? This is such a crappy lie.\But...\Jintan.\Jintan! I'm sure that Patrasche was happy!\Yeah. response:	Because Nello was really, really nice to him.
context: Patrasche?\They were showing a rebroadcast of The Dog of Flanders a while back...\What am I saying? This is such a crappy lie.\But...\Jintan.\Jintan! I'm sure that Patrasche was happy!\Yeah.\Because Nello was really, really nice to him. response:	They were friends. So it's fine right?
context: They were showing a rebroadcast of The Dog of Flanders a while back...\What am I saying? This is such a crappy lie.\But...\Jintan.\Jintan! I'm sure that Patrasche was happy!\Yeah.\Because Nello was really, really nice to him.\They were friends. So it's fine right? response:	Yeah. Yeah.
context: What am I saying? This is such a crappy lie.\But...\Jintan.\Jintan! I'm sure that Patrasche was happy!\Yeah.\Because Nello was really, really nice to him.\They were friends. So it's fine right?\Yeah. Yeah. response:	Menma.
context: But...\Jintan.\Jintan! I'm sure that Patrasche was happy!\Yeah.\Because Nello was really, really nice to him.\They were friends. So it's fine right?\Yeah. Yeah.\Menma. response:	Menma's mother continues to hate us because she lost Menma.
context: Jintan.\Jintan! I'm sure that Patrasche was happy!\Yeah.\Because Nello was really, really nice to him.\They were friends. So it's fine right?\Yeah. Yeah.\Menma.\Menma's mother continues to hate us because she lost Menma. response:	Anaru continues blame herself.
context: Jintan! I'm sure that Patrasche was happy!\Yeah.\Because Nello was really, really nice to him.\They were friends. So it's fine right?\Yeah. Yeah.\Menma.\Menma's mother continues to hate us because she lost Menma.\Anaru continues blame herself. response:	And Yukiatsu too.
context: Yeah.\Because Nello was really, really nice to him.\They were friends. So it's fine right?\Yeah. Yeah.\Menma.\Menma's mother continues to hate us because she lost Menma.\Anaru continues blame herself.\And Yukiatsu too. response:	And probably Tsuruko as well.
context: Because Nello was really, really nice to him.\They were friends. So it's fine right?\Yeah. Yeah.\Menma.\Menma's mother continues to hate us because she lost Menma.\Anaru continues blame herself.\And Yukiatsu too.\And probably Tsuruko as well. response:	And even Poppo.
context: They were friends. So it's fine right?\Yeah. Yeah.\Menma.\Menma's mother continues to hate us because she lost Menma.\Anaru continues blame herself.\And Yukiatsu too.\And probably Tsuruko as well.\And even Poppo. response:	No one is being saved from their sense of guilt.
context: Yeah. Yeah.\Menma.\Menma's mother continues to hate us because she lost Menma.\Anaru continues blame herself.\And Yukiatsu too.\And probably Tsuruko as well.\And even Poppo.\No one is being saved from their sense of guilt. response:	I can see Menma.
context: Menma.\Menma's mother continues to hate us because she lost Menma.\Anaru continues blame herself.\And Yukiatsu too.\And probably Tsuruko as well.\And even Poppo.\No one is being saved from their sense of guilt.\I can see Menma. response:	I'm the only being saved by Menma.
context: Menma's mother continues to hate us because she lost Menma.\Anaru continues blame herself.\And Yukiatsu too.\And probably Tsuruko as well.\And even Poppo.\No one is being saved from their sense of guilt.\I can see Menma.\I'm the only being saved by Menma. response:	That's so...
context: Anaru continues blame herself.\And Yukiatsu too.\And probably Tsuruko as well.\And even Poppo.\No one is being saved from their sense of guilt.\I can see Menma.\I'm the only being saved by Menma.\That's so... response:	That's so unfair.
context: And Yukiatsu too.\And probably Tsuruko as well.\And even Poppo.\No one is being saved from their sense of guilt.\I can see Menma.\I'm the only being saved by Menma.\That's so...\That's so unfair. response:	Good morning.
context: And probably Tsuruko as well.\And even Poppo.\No one is being saved from their sense of guilt.\I can see Menma.\I'm the only being saved by Menma.\That's so...\That's so unfair.\Good morning. response:	It's this late?
context: And even Poppo.\No one is being saved from their sense of guilt.\I can see Menma.\I'm the only being saved by Menma.\That's so...\That's so unfair.\Good morning.\It's this late? response:	I have to get to work...
context: No one is being saved from their sense of guilt.\I can see Menma.\I'm the only being saved by Menma.\That's so...\That's so unfair.\Good morning.\It's this late?\I have to get to work... response:	I mean, school...
context: I can see Menma.\I'm the only being saved by Menma.\That's so...\That's so unfair.\Good morning.\It's this late?\I have to get to work...\I mean, school... response:	Oh, you're going to school?
context: I'm the only being saved by Menma.\That's so...\That's so unfair.\Good morning.\It's this late?\I have to get to work...\I mean, school...\Oh, you're going to school? response:	Today is your mother's...
context: That's so...\That's so unfair.\Good morning.\It's this late?\I have to get to work...\I mean, school...\Oh, you're going to school?\Today is your mother's... response:	Yeah. I'll go.
context: That's so unfair.\Good morning.\It's this late?\I have to get to work...\I mean, school...\Oh, you're going to school?\Today is your mother's...\Yeah. I'll go. response:	Wait for me.
context: Good morning.\It's this late?\I have to get to work...\I mean, school...\Oh, you're going to school?\Today is your mother's...\Yeah. I'll go.\Wait for me. response:	I'll be downstairs.
context: It's this late?\I have to get to work...\I mean, school...\Oh, you're going to school?\Today is your mother's...\Yeah. I'll go.\Wait for me.\I'll be downstairs. response:	If I'm the only one who can see Menma,
context: I have to get to work...\I mean, school...\Oh, you're going to school?\Today is your mother's...\Yeah. I'll go.\Wait for me.\I'll be downstairs.\If I'm the only one who can see Menma, response:	then I have a duty to fulfill her wish.
context: I mean, school...\Oh, you're going to school?\Today is your mother's...\Yeah. I'll go.\Wait for me.\I'll be downstairs.\If I'm the only one who can see Menma,\then I have a duty to fulfill her wish. response:	It's rusted over.
context: Oh, you're going to school?\Today is your mother's...\Yeah. I'll go.\Wait for me.\I'll be downstairs.\If I'm the only one who can see Menma,\then I have a duty to fulfill her wish.\It's rusted over. response:	There we go.
context: Today is your mother's...\Yeah. I'll go.\Wait for me.\I'll be downstairs.\If I'm the only one who can see Menma,\then I have a duty to fulfill her wish.\It's rusted over.\There we go. response:	Good morning.
context: Yeah. I'll go.\Wait for me.\I'll be downstairs.\If I'm the only one who can see Menma,\then I have a duty to fulfill her wish.\It's rusted over.\There we go.\Good morning. response:	Let's go.
context: Wait for me.\I'll be downstairs.\If I'm the only one who can see Menma,\then I have a duty to fulfill her wish.\It's rusted over.\There we go.\Good morning.\Let's go. response:	Dad.
context: I'll be downstairs.\If I'm the only one who can see Menma,\then I have a duty to fulfill her wish.\It's rusted over.\There we go.\Good morning.\Let's go.\Dad. response:	He didn't say a thing about me not going to school.
context: If I'm the only one who can see Menma,\then I have a duty to fulfill her wish.\It's rusted over.\There we go.\Good morning.\Let's go.\Dad.\He didn't say a thing about me not going to school. response:	I thought that maybe he'd gotten fed up with me.
context: then I have a duty to fulfill her wish.\It's rusted over.\There we go.\Good morning.\Let's go.\Dad.\He didn't say a thing about me not going to school.\I thought that maybe he'd gotten fed up with me. response:	But..
context: It's rusted over.\There we go.\Good morning.\Let's go.\Dad.\He didn't say a thing about me not going to school.\I thought that maybe he'd gotten fed up with me.\But.. response:	But a parent...
context: There we go.\Good morning.\Let's go.\Dad.\He didn't say a thing about me not going to school.\I thought that maybe he'd gotten fed up with me.\But..\But a parent... response:	Hey.
context: Good morning.\Let's go.\Dad.\He didn't say a thing about me not going to school.\I thought that maybe he'd gotten fed up with me.\But..\But a parent...\Hey. response:	I'm sorry.
context: Let's go.\Dad.\He didn't say a thing about me not going to school.\I thought that maybe he'd gotten fed up with me.\But..\But a parent...\Hey.\I'm sorry. response:	About what?
context: Dad.\He didn't say a thing about me not going to school.\I thought that maybe he'd gotten fed up with me.\But..\But a parent...\Hey.\I'm sorry.\About what? response:	Oh, if it's about your job then don't worry.
context: He didn't say a thing about me not going to school.\I thought that maybe he'd gotten fed up with me.\But..\But a parent...\Hey.\I'm sorry.\About what?\Oh, if it's about your job then don't worry. response:	You knew about that?
context: I thought that maybe he'd gotten fed up with me.\But..\But a parent...\Hey.\I'm sorry.\About what?\Oh, if it's about your job then don't worry.\You knew about that? response:	Oh, no way, what is it then?
context: But..\But a parent...\Hey.\I'm sorry.\About what?\Oh, if it's about your job then don't worry.\You knew about that?\Oh, no way, what is it then? response:	Oh, about going to the Honmas? Which one is it? Neither of those?
context: But a parent...\Hey.\I'm sorry.\About what?\Oh, if it's about your job then don't worry.\You knew about that?\Oh, no way, what is it then?\Oh, about going to the Honmas? Which one is it? Neither of those? response:	You know about everything.
context: Hey.\I'm sorry.\About what?\Oh, if it's about your job then don't worry.\You knew about that?\Oh, no way, what is it then?\Oh, about going to the Honmas? Which one is it? Neither of those?\You know about everything. response:	I don't know anything.
context: I'm sorry.\About what?\Oh, if it's about your job then don't worry.\You knew about that?\Oh, no way, what is it then?\Oh, about going to the Honmas? Which one is it? Neither of those?\You know about everything.\I don't know anything. response:	After all, I couldn't tell what you were apologizing about.
context: About what?\Oh, if it's about your job then don't worry.\You knew about that?\Oh, no way, what is it then?\Oh, about going to the Honmas? Which one is it? Neither of those?\You know about everything.\I don't know anything.\After all, I couldn't tell what you were apologizing about. response:	So what is it?
context: Oh, if it's about your job then don't worry.\You knew about that?\Oh, no way, what is it then?\Oh, about going to the Honmas? Which one is it? Neither of those?\You know about everything.\I don't know anything.\After all, I couldn't tell what you were apologizing about.\So what is it? response:	It's nothing.
context: You knew about that?\Oh, no way, what is it then?\Oh, about going to the Honmas? Which one is it? Neither of those?\You know about everything.\I don't know anything.\After all, I couldn't tell what you were apologizing about.\So what is it?\It's nothing. response:	Bring that incense over here.
context: Oh, no way, what is it then?\Oh, about going to the Honmas? Which one is it? Neither of those?\You know about everything.\I don't know anything.\After all, I couldn't tell what you were apologizing about.\So what is it?\It's nothing.\Bring that incense over here. response:	Sure.
context: Oh, about going to the Honmas? Which one is it? Neither of those?\You know about everything.\I don't know anything.\After all, I couldn't tell what you were apologizing about.\So what is it?\It's nothing.\Bring that incense over here.\Sure. response:	You can't underestimate a parent.
context: You know about everything.\I don't know anything.\After all, I couldn't tell what you were apologizing about.\So what is it?\It's nothing.\Bring that incense over here.\Sure.\You can't underestimate a parent. response:	I can't believe Jintan left without even saying good morning.
context: I don't know anything.\After all, I couldn't tell what you were apologizing about.\So what is it?\It's nothing.\Bring that incense over here.\Sure.\You can't underestimate a parent.\I can't believe Jintan left without even saying good morning. response:	That's Poppo's!
context: After all, I couldn't tell what you were apologizing about.\So what is it?\It's nothing.\Bring that incense over here.\Sure.\You can't underestimate a parent.\I can't believe Jintan left without even saying good morning.\That's Poppo's! response:	Good afternoon!
context: So what is it?\It's nothing.\Bring that incense over here.\Sure.\You can't underestimate a parent.\I can't believe Jintan left without even saying good morning.\That's Poppo's!\Good afternoon! response:	No matter how Menma's mom reacted, we can't leave Jintan to do everything on his own.
context: It's nothing.\Bring that incense over here.\Sure.\You can't underestimate a parent.\I can't believe Jintan left without even saying good morning.\That's Poppo's!\Good afternoon!\No matter how Menma's mom reacted, we can't leave Jintan to do everything on his own. response:	Hey Poppo.
context: Bring that incense over here.\Sure.\You can't underestimate a parent.\I can't believe Jintan left without even saying good morning.\That's Poppo's!\Good afternoon!\No matter how Menma's mom reacted, we can't leave Jintan to do everything on his own.\Hey Poppo. response:	And here I'd thought the Super Peace Busters had finally gotten back together.
context: Sure.\You can't underestimate a parent.\I can't believe Jintan left without even saying good morning.\That's Poppo's!\Good afternoon!\No matter how Menma's mom reacted, we can't leave Jintan to do everything on his own.\Hey Poppo.\And here I'd thought the Super Peace Busters had finally gotten back together. response:	Did you have a fight? About what?
context: You can't underestimate a parent.\I can't believe Jintan left without even saying good morning.\That's Poppo's!\Good afternoon!\No matter how Menma's mom reacted, we can't leave Jintan to do everything on his own.\Hey Poppo.\And here I'd thought the Super Peace Busters had finally gotten back together.\Did you have a fight? About what? response:	So I believe in Menma.
context: I can't believe Jintan left without even saying good morning.\That's Poppo's!\Good afternoon!\No matter how Menma's mom reacted, we can't leave Jintan to do everything on his own.\Hey Poppo.\And here I'd thought the Super Peace Busters had finally gotten back together.\Did you have a fight? About what?\So I believe in Menma. response:	Even if Jintan is the only one who can see her, and even if no one else believes in her, I'll...
context: That's Poppo's!\Good afternoon!\No matter how Menma's mom reacted, we can't leave Jintan to do everything on his own.\Hey Poppo.\And here I'd thought the Super Peace Busters had finally gotten back together.\Did you have a fight? About what?\So I believe in Menma.\Even if Jintan is the only one who can see her, and even if no one else believes in her, I'll... response:	What's up?
context: Good afternoon!\No matter how Menma's mom reacted, we can't leave Jintan to do everything on his own.\Hey Poppo.\And here I'd thought the Super Peace Busters had finally gotten back together.\Did you have a fight? About what?\So I believe in Menma.\Even if Jintan is the only one who can see her, and even if no one else believes in her, I'll...\What's up? response:	What? You're getting silent phone calls?
context: No matter how Menma's mom reacted, we can't leave Jintan to do everything on his own.\Hey Poppo.\And here I'd thought the Super Peace Busters had finally gotten back together.\Did you have a fight? About what?\So I believe in Menma.\Even if Jintan is the only one who can see her, and even if no one else believes in her, I'll...\What's up?\What? You're getting silent phone calls? response:	Yeah.
context: Hey Poppo.\And here I'd thought the Super Peace Busters had finally gotten back together.\Did you have a fight? About what?\So I believe in Menma.\Even if Jintan is the only one who can see her, and even if no one else believes in her, I'll...\What's up?\What? You're getting silent phone calls?\Yeah. response:	Hey, Yadomi is at work right?
context: And here I'd thought the Super Peace Busters had finally gotten back together.\Did you have a fight? About what?\So I believe in Menma.\Even if Jintan is the only one who can see her, and even if no one else believes in her, I'll...\What's up?\What? You're getting silent phone calls?\Yeah.\Hey, Yadomi is at work right? response:	I don't know. You don't think he is?
context: Did you have a fight? About what?\So I believe in Menma.\Even if Jintan is the only one who can see her, and even if no one else believes in her, I'll...\What's up?\What? You're getting silent phone calls?\Yeah.\Hey, Yadomi is at work right?\I don't know. You don't think he is? response:	The caller ID showed Yadomi's home phone number.
context: So I believe in Menma.\Even if Jintan is the only one who can see her, and even if no one else believes in her, I'll...\What's up?\What? You're getting silent phone calls?\Yeah.\Hey, Yadomi is at work right?\I don't know. You don't think he is?\The caller ID showed Yadomi's home phone number. response:	Yadomi is making prank calls?
context: Even if Jintan is the only one who can see her, and even if no one else believes in her, I'll...\What's up?\What? You're getting silent phone calls?\Yeah.\Hey, Yadomi is at work right?\I don't know. You don't think he is?\The caller ID showed Yadomi's home phone number.\Yadomi is making prank calls? response:	There was a kind of scraping, sandy noise.
context: What's up?\What? You're getting silent phone calls?\Yeah.\Hey, Yadomi is at work right?\I don't know. You don't think he is?\The caller ID showed Yadomi's home phone number.\Yadomi is making prank calls?\There was a kind of scraping, sandy noise. response:	This might sound silly, but what if it wasn't Yadomi...
context: What? You're getting silent phone calls?\Yeah.\Hey, Yadomi is at work right?\I don't know. You don't think he is?\The caller ID showed Yadomi's home phone number.\Yadomi is making prank calls?\There was a kind of scraping, sandy noise.\This might sound silly, but what if it wasn't Yadomi... response:	Huh?
context: Yeah.\Hey, Yadomi is at work right?\I don't know. You don't think he is?\The caller ID showed Yadomi's home phone number.\Yadomi is making prank calls?\There was a kind of scraping, sandy noise.\This might sound silly, but what if it wasn't Yadomi...\Huh? response:	Yukiatsu?
context: Hey, Yadomi is at work right?\I don't know. You don't think he is?\The caller ID showed Yadomi's home phone number.\Yadomi is making prank calls?\There was a kind of scraping, sandy noise.\This might sound silly, but what if it wasn't Yadomi...\Huh?\Yukiatsu? response:	I wish Anjou wouldn't take days off without saying anything.
context: I don't know. You don't think he is?\The caller ID showed Yadomi's home phone number.\Yadomi is making prank calls?\There was a kind of scraping, sandy noise.\This might sound silly, but what if it wasn't Yadomi...\Huh?\Yukiatsu?\I wish Anjou wouldn't take days off without saying anything. response:	Yeah.
context: The caller ID showed Yadomi's home phone number.\Yadomi is making prank calls?\There was a kind of scraping, sandy noise.\This might sound silly, but what if it wasn't Yadomi...\Huh?\Yukiatsu?\I wish Anjou wouldn't take days off without saying anything.\Yeah. response:	Did she say anything to you?
context: Yadomi is making prank calls?\There was a kind of scraping, sandy noise.\This might sound silly, but what if it wasn't Yadomi...\Huh?\Yukiatsu?\I wish Anjou wouldn't take days off without saying anything.\Yeah.\Did she say anything to you? response:	No, sorry.
context: There was a kind of scraping, sandy noise.\This might sound silly, but what if it wasn't Yadomi...\Huh?\Yukiatsu?\I wish Anjou wouldn't take days off without saying anything.\Yeah.\Did she say anything to you?\No, sorry. response:	Really? Dang.
context: This might sound silly, but what if it wasn't Yadomi...\Huh?\Yukiatsu?\I wish Anjou wouldn't take days off without saying anything.\Yeah.\Did she say anything to you?\No, sorry.\Really? Dang. response:	I had plans for muscle party with everyone from the gym today.
context: Huh?\Yukiatsu?\I wish Anjou wouldn't take days off without saying anything.\Yeah.\Did she say anything to you?\No, sorry.\Really? Dang.\I had plans for muscle party with everyone from the gym today. response:	I wonder how I should act towards Anaru.
context: Yukiatsu?\I wish Anjou wouldn't take days off without saying anything.\Yeah.\Did she say anything to you?\No, sorry.\Really? Dang.\I had plans for muscle party with everyone from the gym today.\I wonder how I should act towards Anaru. response:	When I see her next time.
context: I wish Anjou wouldn't take days off without saying anything.\Yeah.\Did she say anything to you?\No, sorry.\Really? Dang.\I had plans for muscle party with everyone from the gym today.\I wonder how I should act towards Anaru.\When I see her next time. response:	Umm...
context: Yeah.\Did she say anything to you?\No, sorry.\Really? Dang.\I had plans for muscle party with everyone from the gym today.\I wonder how I should act towards Anaru.\When I see her next time.\Umm... response:	I'm sorry about what happened.
context: Did she say anything to you?\No, sorry.\Really? Dang.\I had plans for muscle party with everyone from the gym today.\I wonder how I should act towards Anaru.\When I see her next time.\Umm...\I'm sorry about what happened. response:	No, I'm the one who should be sorry for intruding on your home...
context: No, sorry.\Really? Dang.\I had plans for muscle party with everyone from the gym today.\I wonder how I should act towards Anaru.\When I see her next time.\Umm...\I'm sorry about what happened.\No, I'm the one who should be sorry for intruding on your home... response:	My parents are abnormal.
context: Really? Dang.\I had plans for muscle party with everyone from the gym today.\I wonder how I should act towards Anaru.\When I see her next time.\Umm...\I'm sorry about what happened.\No, I'm the one who should be sorry for intruding on your home...\My parents are abnormal. response:	My mom usually doesn't leave the house.
context: I had plans for muscle party with everyone from the gym today.\I wonder how I should act towards Anaru.\When I see her next time.\Umm...\I'm sorry about what happened.\No, I'm the one who should be sorry for intruding on your home...\My parents are abnormal.\My mom usually doesn't leave the house. response:	I think she doesn't want to see other people.
context: I wonder how I should act towards Anaru.\When I see her next time.\Umm...\I'm sorry about what happened.\No, I'm the one who should be sorry for intruding on your home...\My parents are abnormal.\My mom usually doesn't leave the house.\I think she doesn't want to see other people. response:	I think it's hard for her because my sister passed away.
context: When I see her next time.\Umm...\I'm sorry about what happened.\No, I'm the one who should be sorry for intruding on your home...\My parents are abnormal.\My mom usually doesn't leave the house.\I think she doesn't want to see other people.\I think it's hard for her because my sister passed away. response:	But it's creepy.
context: Umm...\I'm sorry about what happened.\No, I'm the one who should be sorry for intruding on your home...\My parents are abnormal.\My mom usually doesn't leave the house.\I think she doesn't want to see other people.\I think it's hard for her because my sister passed away.\But it's creepy. response:	Or how could I put it... it's embarrassing to have a mother like that.
context: I'm sorry about what happened.\No, I'm the one who should be sorry for intruding on your home...\My parents are abnormal.\My mom usually doesn't leave the house.\I think she doesn't want to see other people.\I think it's hard for her because my sister passed away.\But it's creepy.\Or how could I put it... it's embarrassing to have a mother like that. response:	What in the world are parents thinking.
context: No, I'm the one who should be sorry for intruding on your home...\My parents are abnormal.\My mom usually doesn't leave the house.\I think she doesn't want to see other people.\I think it's hard for her because my sister passed away.\But it's creepy.\Or how could I put it... it's embarrassing to have a mother like that.\What in the world are parents thinking. response:	Huh?
