context: Two more. No... response:	I'm pumped.
context: Kikui's Inagaki is already 500 meters ahead.\Kansei has suddenly hit the brakes.\Brother?\Yokohama and Jonan Bunka are catching up from behind.\Will he be able to stay ahead of them?\Tokyo-Hakone Round-Trip College Ekiden Race\No, it's just a matter of time.\Section 5 response:	He seems to be having some kind of problem.
context: Kansei has suddenly hit the brakes.\Brother?\Yokohama and Jonan Bunka are catching up from behind.\Will he be able to stay ahead of them?\Tokyo-Hakone Round-Trip College Ekiden Race\No, it's just a matter of time.\Section 5\He seems to be having some kind of problem. response:	Kansei, you can do it!
context: Brother?\Yokohama and Jonan Bunka are catching up from behind.\Will he be able to stay ahead of them?\Tokyo-Hakone Round-Trip College Ekiden Race\No, it's just a matter of time.\Section 5\He seems to be having some kind of problem.\Kansei, you can do it! response:	It wouldn't surprise us if he stopped anytime.
context: Yokohama and Jonan Bunka are catching up from behind.\Will he be able to stay ahead of them?\Tokyo-Hakone Round-Trip College Ekiden Race\No, it's just a matter of time.\Section 5\He seems to be having some kind of problem.\Kansei, you can do it!\It wouldn't surprise us if he stopped anytime. response:	You can do it!
context: Will he be able to stay ahead of them?\Tokyo-Hakone Round-Trip College Ekiden Race\No, it's just a matter of time.\Section 5\He seems to be having some kind of problem.\Kansei, you can do it!\It wouldn't surprise us if he stopped anytime.\You can do it! response:	Will he be able to make it over the mountains of Hakone?
context: Tokyo-Hakone Round-Trip College Ekiden Race\No, it's just a matter of time.\Section 5\He seems to be having some kind of problem.\Kansei, you can do it!\It wouldn't surprise us if he stopped anytime.\You can do it!\Will he be able to make it over the mountains of Hakone? response:	Shindo, go is a challenging game.
context: No, it's just a matter of time.\Section 5\He seems to be having some kind of problem.\Kansei, you can do it!\It wouldn't surprise us if he stopped anytime.\You can do it!\Will he be able to make it over the mountains of Hakone?\Shindo, go is a challenging game. response:	The stronger you are, the more you value the way you lose.
context: Section 5\He seems to be having some kind of problem.\Kansei, you can do it!\It wouldn't surprise us if he stopped anytime.\You can do it!\Will he be able to make it over the mountains of Hakone?\Shindo, go is a challenging game.\The stronger you are, the more you value the way you lose. response:	How you recognize your loss and resign is key.
context: He seems to be having some kind of problem.\Kansei, you can do it!\It wouldn't surprise us if he stopped anytime.\You can do it!\Will he be able to make it over the mountains of Hakone?\Shindo, go is a challenging game.\The stronger you are, the more you value the way you lose.\How you recognize your loss and resign is key. response:	No one blames the challenger for resigning or mocks him for running away.
context: Kansei, you can do it!\It wouldn't surprise us if he stopped anytime.\You can do it!\Will he be able to make it over the mountains of Hakone?\Shindo, go is a challenging game.\The stronger you are, the more you value the way you lose.\How you recognize your loss and resign is key.\No one blames the challenger for resigning or mocks him for running away. response:	If anything, they praise him for securing an escape route.
context: It wouldn't surprise us if he stopped anytime.\You can do it!\Will he be able to make it over the mountains of Hakone?\Shindo, go is a challenging game.\The stronger you are, the more you value the way you lose.\How you recognize your loss and resign is key.\No one blames the challenger for resigning or mocks him for running away.\If anything, they praise him for securing an escape route. response:	It's because everyone knows that man was fighting to win
context: You can do it!\Will he be able to make it over the mountains of Hakone?\Shindo, go is a challenging game.\The stronger you are, the more you value the way you lose.\How you recognize your loss and resign is key.\No one blames the challenger for resigning or mocks him for running away.\If anything, they praise him for securing an escape route.\It's because everyone knows that man was fighting to win response:	until the very end.
context: Will he be able to make it over the mountains of Hakone?\Shindo, go is a challenging game.\The stronger you are, the more you value the way you lose.\How you recognize your loss and resign is key.\No one blames the challenger for resigning or mocks him for running away.\If anything, they praise him for securing an escape route.\It's because everyone knows that man was fighting to win\until the very end. response:	Shindo, raise your hand if you can't keep going.
context: Shindo, go is a challenging game.\The stronger you are, the more you value the way you lose.\How you recognize your loss and resign is key.\No one blames the challenger for resigning or mocks him for running away.\If anything, they praise him for securing an escape route.\It's because everyone knows that man was fighting to win\until the very end.\Shindo, raise your hand if you can't keep going. response:	I'll stop you immediately.
context: The stronger you are, the more you value the way you lose.\How you recognize your loss and resign is key.\No one blames the challenger for resigning or mocks him for running away.\If anything, they praise him for securing an escape route.\It's because everyone knows that man was fighting to win\until the very end.\Shindo, raise your hand if you can't keep going.\I'll stop you immediately. response:	The lead runners are approaching the finish line at Lake Ashi.
context: How you recognize your loss and resign is key.\No one blames the challenger for resigning or mocks him for running away.\If anything, they praise him for securing an escape route.\It's because everyone knows that man was fighting to win\until the very end.\Shindo, raise your hand if you can't keep going.\I'll stop you immediately.\The lead runners are approaching the finish line at Lake Ashi. response:	Their first first-half victory in four years is right before their eyes.
context: No one blames the challenger for resigning or mocks him for running away.\If anything, they praise him for securing an escape route.\It's because everyone knows that man was fighting to win\until the very end.\Shindo, raise your hand if you can't keep going.\I'll stop you immediately.\The lead runners are approaching the finish line at Lake Ashi.\Their first first-half victory in four years is right before their eyes. response:	Tokyo-Hakone Round-Trip College Ekiden Race
context: If anything, they praise him for securing an escape route.\It's because everyone knows that man was fighting to win\until the very end.\Shindo, raise your hand if you can't keep going.\I'll stop you immediately.\The lead runners are approaching the finish line at Lake Ashi.\Their first first-half victory in four years is right before their eyes.\Tokyo-Hakone Round-Trip College Ekiden Race response:	A new god has descended upon Hakone!
context: It's because everyone knows that man was fighting to win\until the very end.\Shindo, raise your hand if you can't keep going.\I'll stop you immediately.\The lead runners are approaching the finish line at Lake Ashi.\Their first first-half victory in four years is right before their eyes.\Tokyo-Hakone Round-Trip College Ekiden Race\A new god has descended upon Hakone! response:	Boso second-year Yanase Wataru finishes in a new section record!
context: until the very end.\Shindo, raise your hand if you can't keep going.\I'll stop you immediately.\The lead runners are approaching the finish line at Lake Ashi.\Their first first-half victory in four years is right before their eyes.\Tokyo-Hakone Round-Trip College Ekiden Race\A new god has descended upon Hakone!\Boso second-year Yanase Wataru finishes in a new section record! response:	Boso wins the first half!
context: Shindo, raise your hand if you can't keep going.\I'll stop you immediately.\The lead runners are approaching the finish line at Lake Ashi.\Their first first-half victory in four years is right before their eyes.\Tokyo-Hakone Round-Trip College Ekiden Race\A new god has descended upon Hakone!\Boso second-year Yanase Wataru finishes in a new section record!\Boso wins the first half! response:	I'm here with Kansei.
context: I'll stop you immediately.\The lead runners are approaching the finish line at Lake Ashi.\Their first first-half victory in four years is right before their eyes.\Tokyo-Hakone Round-Trip College Ekiden Race\A new god has descended upon Hakone!\Boso second-year Yanase Wataru finishes in a new section record!\Boso wins the first half!\I'm here with Kansei. response:	Kansei's Coach Tazaki has gotten out of the car.
context: The lead runners are approaching the finish line at Lake Ashi.\Their first first-half victory in four years is right before their eyes.\Tokyo-Hakone Round-Trip College Ekiden Race\A new god has descended upon Hakone!\Boso second-year Yanase Wataru finishes in a new section record!\Boso wins the first half!\I'm here with Kansei.\Kansei's Coach Tazaki has gotten out of the car. response:	Will he stop Sugiyama and forfeit the race?
context: Their first first-half victory in four years is right before their eyes.\Tokyo-Hakone Round-Trip College Ekiden Race\A new god has descended upon Hakone!\Boso second-year Yanase Wataru finishes in a new section record!\Boso wins the first half!\I'm here with Kansei.\Kansei's Coach Tazaki has gotten out of the car.\Will he stop Sugiyama and forfeit the race? response:	Oh, no!
context: Tokyo-Hakone Round-Trip College Ekiden Race\A new god has descended upon Hakone!\Boso second-year Yanase Wataru finishes in a new section record!\Boso wins the first half!\I'm here with Kansei.\Kansei's Coach Tazaki has gotten out of the car.\Will he stop Sugiyama and forfeit the race?\Oh, no! response:	He's stopped! Sugiyama has finally stopped!
context: A new god has descended upon Hakone!\Boso second-year Yanase Wataru finishes in a new section record!\Boso wins the first half!\I'm here with Kansei.\Kansei's Coach Tazaki has gotten out of the car.\Will he stop Sugiyama and forfeit the race?\Oh, no!\He's stopped! Sugiyama has finally stopped! response:	That's enough. You did well.
context: Boso second-year Yanase Wataru finishes in a new section record!\Boso wins the first half!\I'm here with Kansei.\Kansei's Coach Tazaki has gotten out of the car.\Will he stop Sugiyama and forfeit the race?\Oh, no!\He's stopped! Sugiyama has finally stopped!\That's enough. You did well. response:	No!
context: Boso wins the first half!\I'm here with Kansei.\Kansei's Coach Tazaki has gotten out of the car.\Will he stop Sugiyama and forfeit the race?\Oh, no!\He's stopped! Sugiyama has finally stopped!\That's enough. You did well.\No! response:	Hey.
context: I'm here with Kansei.\Kansei's Coach Tazaki has gotten out of the car.\Will he stop Sugiyama and forfeit the race?\Oh, no!\He's stopped! Sugiyama has finally stopped!\That's enough. You did well.\No!\Hey. response:	Waiting...
context: Kansei's Coach Tazaki has gotten out of the car.\Will he stop Sugiyama and forfeit the race?\Oh, no!\He's stopped! Sugiyama has finally stopped!\That's enough. You did well.\No!\Hey.\Waiting... response:	They're all waiting for me...
context: Will he stop Sugiyama and forfeit the race?\Oh, no!\He's stopped! Sugiyama has finally stopped!\That's enough. You did well.\No!\Hey.\Waiting...\They're all waiting for me... response:	Why are we so desperate to keep running?
context: Oh, no!\He's stopped! Sugiyama has finally stopped!\That's enough. You did well.\No!\Hey.\Waiting...\They're all waiting for me...\Why are we so desperate to keep running? response:	Why can't we stop doing something so painful and difficult?
context: He's stopped! Sugiyama has finally stopped!\That's enough. You did well.\No!\Hey.\Waiting...\They're all waiting for me...\Why are we so desperate to keep running?\Why can't we stop doing something so painful and difficult? response:	For our friends. For our goals. For ourselves.
context: That's enough. You did well.\No!\Hey.\Waiting...\They're all waiting for me...\Why are we so desperate to keep running?\Why can't we stop doing something so painful and difficult?\For our friends. For our goals. For ourselves. response:	Stubbornness and pride.
context: No!\Hey.\Waiting...\They're all waiting for me...\Why are we so desperate to keep running?\Why can't we stop doing something so painful and difficult?\For our friends. For our goals. For ourselves.\Stubbornness and pride. response:	I don't know. I doubt anyone knows.
context: Hey.\Waiting...\They're all waiting for me...\Why are we so desperate to keep running?\Why can't we stop doing something so painful and difficult?\For our friends. For our goals. For ourselves.\Stubbornness and pride.\I don't know. I doubt anyone knows. response:	That's why we can't look away.
context: Waiting...\They're all waiting for me...\Why are we so desperate to keep running?\Why can't we stop doing something so painful and difficult?\For our friends. For our goals. For ourselves.\Stubbornness and pride.\I don't know. I doubt anyone knows.\That's why we can't look away. response:	That's why it sticks in our hearts.
context: They're all waiting for me...\Why are we so desperate to keep running?\Why can't we stop doing something so painful and difficult?\For our friends. For our goals. For ourselves.\Stubbornness and pride.\I don't know. I doubt anyone knows.\That's why we can't look away.\That's why it sticks in our hearts. response:	Shindo!
context: Why are we so desperate to keep running?\Why can't we stop doing something so painful and difficult?\For our friends. For our goals. For ourselves.\Stubbornness and pride.\I don't know. I doubt anyone knows.\That's why we can't look away.\That's why it sticks in our hearts.\Shindo! response:	Ashihara Inn
context: Why can't we stop doing something so painful and difficult?\For our friends. For our goals. For ourselves.\Stubbornness and pride.\I don't know. I doubt anyone knows.\That's why we can't look away.\That's why it sticks in our hearts.\Shindo!\Ashihara Inn response:	Kansei's Sugiyama Takashi is experiencing difficulties in Section 5.
context: For our friends. For our goals. For ourselves.\Stubbornness and pride.\I don't know. I doubt anyone knows.\That's why we can't look away.\That's why it sticks in our hearts.\Shindo!\Ashihara Inn\Kansei's Sugiyama Takashi is experiencing difficulties in Section 5. response:	Tokyo-Hakone Round-Trip College Ekiden Race
context: Stubbornness and pride.\I don't know. I doubt anyone knows.\That's why we can't look away.\That's why it sticks in our hearts.\Shindo!\Ashihara Inn\Kansei's Sugiyama Takashi is experiencing difficulties in Section 5.\Tokyo-Hakone Round-Trip College Ekiden Race response:	Hakone Lake Ashi
context: I don't know. I doubt anyone knows.\That's why we can't look away.\That's why it sticks in our hearts.\Shindo!\Ashihara Inn\Kansei's Sugiyama Takashi is experiencing difficulties in Section 5.\Tokyo-Hakone Round-Trip College Ekiden Race\Hakone Lake Ashi response:	While periodically stopping, he brushes off his coach's attempts to stop him
context: That's why we can't look away.\That's why it sticks in our hearts.\Shindo!\Ashihara Inn\Kansei's Sugiyama Takashi is experiencing difficulties in Section 5.\Tokyo-Hakone Round-Trip College Ekiden Race\Hakone Lake Ashi\While periodically stopping, he brushes off his coach's attempts to stop him response:	and finishes all 20.7 kilometers of Section 5.
context: That's why it sticks in our hearts.\Shindo!\Ashihara Inn\Kansei's Sugiyama Takashi is experiencing difficulties in Section 5.\Tokyo-Hakone Round-Trip College Ekiden Race\Hakone Lake Ashi\While periodically stopping, he brushes off his coach's attempts to stop him\and finishes all 20.7 kilometers of Section 5. response:	Sugiyama is greeted by a continuous wave of cheers
context: Shindo!\Ashihara Inn\Kansei's Sugiyama Takashi is experiencing difficulties in Section 5.\Tokyo-Hakone Round-Trip College Ekiden Race\Hakone Lake Ashi\While periodically stopping, he brushes off his coach's attempts to stop him\and finishes all 20.7 kilometers of Section 5.\Sugiyama is greeted by a continuous wave of cheers response:	First Half 20th Kansei University
context: Ashihara Inn\Kansei's Sugiyama Takashi is experiencing difficulties in Section 5.\Tokyo-Hakone Round-Trip College Ekiden Race\Hakone Lake Ashi\While periodically stopping, he brushes off his coach's attempts to stop him\and finishes all 20.7 kilometers of Section 5.\Sugiyama is greeted by a continuous wave of cheers\First Half 20th Kansei University response:	after demonstrating that he has the strongest will in the country.
context: Kansei's Sugiyama Takashi is experiencing difficulties in Section 5.\Tokyo-Hakone Round-Trip College Ekiden Race\Hakone Lake Ashi\While periodically stopping, he brushes off his coach's attempts to stop him\and finishes all 20.7 kilometers of Section 5.\Sugiyama is greeted by a continuous wave of cheers\First Half 20th Kansei University\after demonstrating that he has the strongest will in the country. response:	We've already called your family.
context: Tokyo-Hakone Round-Trip College Ekiden Race\Hakone Lake Ashi\While periodically stopping, he brushes off his coach's attempts to stop him\and finishes all 20.7 kilometers of Section 5.\Sugiyama is greeted by a continuous wave of cheers\First Half 20th Kansei University\after demonstrating that he has the strongest will in the country.\We've already called your family. response:	They said they'd come take care of you, but we politely declined their offer.
context: Hakone Lake Ashi\While periodically stopping, he brushes off his coach's attempts to stop him\and finishes all 20.7 kilometers of Section 5.\Sugiyama is greeted by a continuous wave of cheers\First Half 20th Kansei University\after demonstrating that he has the strongest will in the country.\We've already called your family.\They said they'd come take care of you, but we politely declined their offer. response:	Shindo finished his section, but tomorrow will be a difficult battle.
context: While periodically stopping, he brushes off his coach's attempts to stop him\and finishes all 20.7 kilometers of Section 5.\Sugiyama is greeted by a continuous wave of cheers\First Half 20th Kansei University\after demonstrating that he has the strongest will in the country.\We've already called your family.\They said they'd come take care of you, but we politely declined their offer.\Shindo finished his section, but tomorrow will be a difficult battle. response:	It won't be!
context: and finishes all 20.7 kilometers of Section 5.\Sugiyama is greeted by a continuous wave of cheers\First Half 20th Kansei University\after demonstrating that he has the strongest will in the country.\We've already called your family.\They said they'd come take care of you, but we politely declined their offer.\Shindo finished his section, but tomorrow will be a difficult battle.\It won't be! response:	Because you'll run?
context: Sugiyama is greeted by a continuous wave of cheers\First Half 20th Kansei University\after demonstrating that he has the strongest will in the country.\We've already called your family.\They said they'd come take care of you, but we politely declined their offer.\Shindo finished his section, but tomorrow will be a difficult battle.\It won't be!\Because you'll run? response:	I'm glad you're confident, but sometimes making it to the end isn't good enough.
context: First Half 20th Kansei University\after demonstrating that he has the strongest will in the country.\We've already called your family.\They said they'd come take care of you, but we politely declined their offer.\Shindo finished his section, but tomorrow will be a difficult battle.\It won't be!\Because you'll run?\I'm glad you're confident, but sometimes making it to the end isn't good enough. response:	Tomorrow, I won't let you boys expose yourselves to the same kind of danger.
context: after demonstrating that he has the strongest will in the country.\We've already called your family.\They said they'd come take care of you, but we politely declined their offer.\Shindo finished his section, but tomorrow will be a difficult battle.\It won't be!\Because you'll run?\I'm glad you're confident, but sometimes making it to the end isn't good enough.\Tomorrow, I won't let you boys expose yourselves to the same kind of danger. response:	We'll be fully prepared for tomorrow.
context: We've already called your family.\They said they'd come take care of you, but we politely declined their offer.\Shindo finished his section, but tomorrow will be a difficult battle.\It won't be!\Because you'll run?\I'm glad you're confident, but sometimes making it to the end isn't good enough.\Tomorrow, I won't let you boys expose yourselves to the same kind of danger.\We'll be fully prepared for tomorrow. response:	Switching our focus to that comes first.
context: They said they'd come take care of you, but we politely declined their offer.\Shindo finished his section, but tomorrow will be a difficult battle.\It won't be!\Because you'll run?\I'm glad you're confident, but sometimes making it to the end isn't good enough.\Tomorrow, I won't let you boys expose yourselves to the same kind of danger.\We'll be fully prepared for tomorrow.\Switching our focus to that comes first. response:	Yes, sir.
context: Shindo finished his section, but tomorrow will be a difficult battle.\It won't be!\Because you'll run?\I'm glad you're confident, but sometimes making it to the end isn't good enough.\Tomorrow, I won't let you boys expose yourselves to the same kind of danger.\We'll be fully prepared for tomorrow.\Switching our focus to that comes first.\Yes, sir. response:	I'm sorry.
context: It won't be!\Because you'll run?\I'm glad you're confident, but sometimes making it to the end isn't good enough.\Tomorrow, I won't let you boys expose yourselves to the same kind of danger.\We'll be fully prepared for tomorrow.\Switching our focus to that comes first.\Yes, sir.\I'm sorry. response:	Once you've prepared for tomorrow, call the others.
context: Because you'll run?\I'm glad you're confident, but sometimes making it to the end isn't good enough.\Tomorrow, I won't let you boys expose yourselves to the same kind of danger.\We'll be fully prepared for tomorrow.\Switching our focus to that comes first.\Yes, sir.\I'm sorry.\Once you've prepared for tomorrow, call the others. response:	You haven't yet, right?
context: I'm glad you're confident, but sometimes making it to the end isn't good enough.\Tomorrow, I won't let you boys expose yourselves to the same kind of danger.\We'll be fully prepared for tomorrow.\Switching our focus to that comes first.\Yes, sir.\I'm sorry.\Once you've prepared for tomorrow, call the others.\You haven't yet, right? response:	They must be anxious.
context: Tomorrow, I won't let you boys expose yourselves to the same kind of danger.\We'll be fully prepared for tomorrow.\Switching our focus to that comes first.\Yes, sir.\I'm sorry.\Once you've prepared for tomorrow, call the others.\You haven't yet, right?\They must be anxious. response:	Go ahead.
context: We'll be fully prepared for tomorrow.\Switching our focus to that comes first.\Yes, sir.\I'm sorry.\Once you've prepared for tomorrow, call the others.\You haven't yet, right?\They must be anxious.\Go ahead. response:	Nice work.
context: Switching our focus to that comes first.\Yes, sir.\I'm sorry.\Once you've prepared for tomorrow, call the others.\You haven't yet, right?\They must be anxious.\Go ahead.\Nice work. response:	Shindo!
context: Yes, sir.\I'm sorry.\Once you've prepared for tomorrow, call the others.\You haven't yet, right?\They must be anxious.\Go ahead.\Nice work.\Shindo! response:	Musa, there's no point in getting any closer!
context: I'm sorry.\Once you've prepared for tomorrow, call the others.\You haven't yet, right?\They must be anxious.\Go ahead.\Nice work.\Shindo!\Musa, there's no point in getting any closer! response:	You'll be fine as long as you're not dead, Shindo!
context: Once you've prepared for tomorrow, call the others.\You haven't yet, right?\They must be anxious.\Go ahead.\Nice work.\Shindo!\Musa, there's no point in getting any closer!\You'll be fine as long as you're not dead, Shindo! response:	Guys.
context: You haven't yet, right?\They must be anxious.\Go ahead.\Nice work.\Shindo!\Musa, there's no point in getting any closer!\You'll be fine as long as you're not dead, Shindo!\Guys. response:	You worked hard today.
context: They must be anxious.\Go ahead.\Nice work.\Shindo!\Musa, there's no point in getting any closer!\You'll be fine as long as you're not dead, Shindo!\Guys.\You worked hard today. response:	We'll have more chances tomorrow!
context: Go ahead.\Nice work.\Shindo!\Musa, there's no point in getting any closer!\You'll be fine as long as you're not dead, Shindo!\Guys.\You worked hard today.\We'll have more chances tomorrow! response:	Yeah!
context: Nice work.\Shindo!\Musa, there's no point in getting any closer!\You'll be fine as long as you're not dead, Shindo!\Guys.\You worked hard today.\We'll have more chances tomorrow!\Yeah! response:	Who was that?
context: Shindo!\Musa, there's no point in getting any closer!\You'll be fine as long as you're not dead, Shindo!\Guys.\You worked hard today.\We'll have more chances tomorrow!\Yeah!\Who was that? response:	Probably King.
context: Musa, there's no point in getting any closer!\You'll be fine as long as you're not dead, Shindo!\Guys.\You worked hard today.\We'll have more chances tomorrow!\Yeah!\Who was that?\Probably King. response:	What does that mean?
context: You'll be fine as long as you're not dead, Shindo!\Guys.\You worked hard today.\We'll have more chances tomorrow!\Yeah!\Who was that?\Probably King.\What does that mean? response:	Shut up. Be quiet.
context: Guys.\You worked hard today.\We'll have more chances tomorrow!\Yeah!\Who was that?\Probably King.\What does that mean?\Shut up. Be quiet. response:	If you're running tomorrow, stay warm while you sleep and don't overeat.
context: You worked hard today.\We'll have more chances tomorrow!\Yeah!\Who was that?\Probably King.\What does that mean?\Shut up. Be quiet.\If you're running tomorrow, stay warm while you sleep and don't overeat. response:	That's all.
context: We'll have more chances tomorrow!\Yeah!\Who was that?\Probably King.\What does that mean?\Shut up. Be quiet.\If you're running tomorrow, stay warm while you sleep and don't overeat.\That's all. response:	That's all?!
context: Yeah!\Who was that?\Probably King.\What does that mean?\Shut up. Be quiet.\If you're running tomorrow, stay warm while you sleep and don't overeat.\That's all.\That's all?! response:	Don't you have any more helpful advice?
context: Who was that?\Probably King.\What does that mean?\Shut up. Be quiet.\If you're running tomorrow, stay warm while you sleep and don't overeat.\That's all.\That's all?!\Don't you have any more helpful advice? response:	No.
context: Probably King.\What does that mean?\Shut up. Be quiet.\If you're running tomorrow, stay warm while you sleep and don't overeat.\That's all.\That's all?!\Don't you have any more helpful advice?\No. response:	Hey!
context: What does that mean?\Shut up. Be quiet.\If you're running tomorrow, stay warm while you sleep and don't overeat.\That's all.\That's all?!\Don't you have any more helpful advice?\No.\Hey! response:	It'll be over after tomorrow.
context: Shut up. Be quiet.\If you're running tomorrow, stay warm while you sleep and don't overeat.\That's all.\That's all?!\Don't you have any more helpful advice?\No.\Hey!\It'll be over after tomorrow. response:	All we can do is focus, so we can give everything we've got.
context: If you're running tomorrow, stay warm while you sleep and don't overeat.\That's all.\That's all?!\Don't you have any more helpful advice?\No.\Hey!\It'll be over after tomorrow.\All we can do is focus, so we can give everything we've got. response:	Excuse me. Why don't we do that?
context: That's all.\That's all?!\Don't you have any more helpful advice?\No.\Hey!\It'll be over after tomorrow.\All we can do is focus, so we can give everything we've got.\Excuse me. Why don't we do that? response:	The mountains of Hakone are?
context: That's all?!\Don't you have any more helpful advice?\No.\Hey!\It'll be over after tomorrow.\All we can do is focus, so we can give everything we've got.\Excuse me. Why don't we do that?\The mountains of Hakone are? response:	I'm sure yours will feel the most authentic.
context: Don't you have any more helpful advice?\No.\Hey!\It'll be over after tomorrow.\All we can do is focus, so we can give everything we've got.\Excuse me. Why don't we do that?\The mountains of Hakone are?\I'm sure yours will feel the most authentic. response:	Let's do it.
context: No.\Hey!\It'll be over after tomorrow.\All we can do is focus, so we can give everything we've got.\Excuse me. Why don't we do that?\The mountains of Hakone are?\I'm sure yours will feel the most authentic.\Let's do it. response:	The mountains of Hakone are?
context: Hey!\It'll be over after tomorrow.\All we can do is focus, so we can give everything we've got.\Excuse me. Why don't we do that?\The mountains of Hakone are?\I'm sure yours will feel the most authentic.\Let's do it.\The mountains of Hakone are? response:	The steepest in the world!
context: It'll be over after tomorrow.\All we can do is focus, so we can give everything we've got.\Excuse me. Why don't we do that?\The mountains of Hakone are?\I'm sure yours will feel the most authentic.\Let's do it.\The mountains of Hakone are?\The steepest in the world! response:	It might snow tomorrow.
context: All we can do is focus, so we can give everything we've got.\Excuse me. Why don't we do that?\The mountains of Hakone are?\I'm sure yours will feel the most authentic.\Let's do it.\The mountains of Hakone are?\The steepest in the world!\It might snow tomorrow. response:	Kakeru.
context: Excuse me. Why don't we do that?\The mountains of Hakone are?\I'm sure yours will feel the most authentic.\Let's do it.\The mountains of Hakone are?\The steepest in the world!\It might snow tomorrow.\Kakeru. response:	Was that your parents' idea?
context: The mountains of Hakone are?\I'm sure yours will feel the most authentic.\Let's do it.\The mountains of Hakone are?\The steepest in the world!\It might snow tomorrow.\Kakeru.\Was that your parents' idea? response:	You mean my name? Yes.
context: I'm sure yours will feel the most authentic.\Let's do it.\The mountains of Hakone are?\The steepest in the world!\It might snow tomorrow.\Kakeru.\Was that your parents' idea?\You mean my name? Yes. response:	My father ran track.
context: Let's do it.\The mountains of Hakone are?\The steepest in the world!\It might snow tomorrow.\Kakeru.\Was that your parents' idea?\You mean my name? Yes.\My father ran track. response:	Did your father push you towards running, too?
context: The mountains of Hakone are?\The steepest in the world!\It might snow tomorrow.\Kakeru.\Was that your parents' idea?\You mean my name? Yes.\My father ran track.\Did your father push you towards running, too? response:	No. Our communication was never...
context: The steepest in the world!\It might snow tomorrow.\Kakeru.\Was that your parents' idea?\You mean my name? Yes.\My father ran track.\Did your father push you towards running, too?\No. Our communication was never... response:	Wait! Why do you ask?
context: It might snow tomorrow.\Kakeru.\Was that your parents' idea?\You mean my name? Yes.\My father ran track.\Did your father push you towards running, too?\No. Our communication was never...\Wait! Why do you ask? response:	My father is a high school track coach.
context: Kakeru.\Was that your parents' idea?\You mean my name? Yes.\My father ran track.\Did your father push you towards running, too?\No. Our communication was never...\Wait! Why do you ask?\My father is a high school track coach. response:	I was one of his runners.
context: Was that your parents' idea?\You mean my name? Yes.\My father ran track.\Did your father push you towards running, too?\No. Our communication was never...\Wait! Why do you ask?\My father is a high school track coach.\I was one of his runners. response:	He's not a bad person. He just loves track to a fault.
context: You mean my name? Yes.\My father ran track.\Did your father push you towards running, too?\No. Our communication was never...\Wait! Why do you ask?\My father is a high school track coach.\I was one of his runners.\He's not a bad person. He just loves track to a fault. response:	I didn't have time to think while under his total supervision,
context: My father ran track.\Did your father push you towards running, too?\No. Our communication was never...\Wait! Why do you ask?\My father is a high school track coach.\I was one of his runners.\He's not a bad person. He just loves track to a fault.\I didn't have time to think while under his total supervision, response:	and I ran every day.
context: Did your father push you towards running, too?\No. Our communication was never...\Wait! Why do you ask?\My father is a high school track coach.\I was one of his runners.\He's not a bad person. He just loves track to a fault.\I didn't have time to think while under his total supervision,\and I ran every day. response:	Eventually, I broke.
context: No. Our communication was never...\Wait! Why do you ask?\My father is a high school track coach.\I was one of his runners.\He's not a bad person. He just loves track to a fault.\I didn't have time to think while under his total supervision,\and I ran every day.\Eventually, I broke. response:	But...
context: Wait! Why do you ask?\My father is a high school track coach.\I was one of his runners.\He's not a bad person. He just loves track to a fault.\I didn't have time to think while under his total supervision,\and I ran every day.\Eventually, I broke.\But... response:	Unable to run for the first time, I genuinely wanted to run.
context: My father is a high school track coach.\I was one of his runners.\He's not a bad person. He just loves track to a fault.\I didn't have time to think while under his total supervision,\and I ran every day.\Eventually, I broke.\But...\Unable to run for the first time, I genuinely wanted to run. response:	Chikusei-so
context: I was one of his runners.\He's not a bad person. He just loves track to a fault.\I didn't have time to think while under his total supervision,\and I ran every day.\Eventually, I broke.\But...\Unable to run for the first time, I genuinely wanted to run.\Chikusei-so response:	This time, I'll share a dream with teammates who earnestly want to run.
context: He's not a bad person. He just loves track to a fault.\I didn't have time to think while under his total supervision,\and I ran every day.\Eventually, I broke.\But...\Unable to run for the first time, I genuinely wanted to run.\Chikusei-so\This time, I'll share a dream with teammates who earnestly want to run. response:	Whether they're weak or amateurs,
context: I didn't have time to think while under his total supervision,\and I ran every day.\Eventually, I broke.\But...\Unable to run for the first time, I genuinely wanted to run.\Chikusei-so\This time, I'll share a dream with teammates who earnestly want to run.\Whether they're weak or amateurs, response:	as long as they've got talent and passion, I'm sure they can run.
context: and I ran every day.\Eventually, I broke.\But...\Unable to run for the first time, I genuinely wanted to run.\Chikusei-so\This time, I'll share a dream with teammates who earnestly want to run.\Whether they're weak or amateurs,\as long as they've got talent and passion, I'm sure they can run. response:	For that, I bent everyone to my will.
context: Eventually, I broke.\But...\Unable to run for the first time, I genuinely wanted to run.\Chikusei-so\This time, I'll share a dream with teammates who earnestly want to run.\Whether they're weak or amateurs,\as long as they've got talent and passion, I'm sure they can run.\For that, I bent everyone to my will. response:	We knew there was only ten of us.
context: But...\Unable to run for the first time, I genuinely wanted to run.\Chikusei-so\This time, I'll share a dream with teammates who earnestly want to run.\Whether they're weak or amateurs,\as long as they've got talent and passion, I'm sure they can run.\For that, I bent everyone to my will.\We knew there was only ten of us. response:	But we're more than ten.
