context: Shuichi response:	Hey, are we there yet?
context: Two eggs, yolks still runny.\Yeah.\Our next story.\A new hotspot has shown up in Hokubi City.\I'm leaving.\Oh, the opening ceremony.\Morning.\Maeyama Observatory response:	I hope we're in the same class.
context: Yeah.\Our next story.\A new hotspot has shown up in Hokubi City.\I'm leaving.\Oh, the opening ceremony.\Morning.\Maeyama Observatory\I hope we're in the same class. response:	Yeah.
context: Our next story.\A new hotspot has shown up in Hokubi City.\I'm leaving.\Oh, the opening ceremony.\Morning.\Maeyama Observatory\I hope we're in the same class.\Yeah. response:	I'm sure we will be.
context: A new hotspot has shown up in Hokubi City.\I'm leaving.\Oh, the opening ceremony.\Morning.\Maeyama Observatory\I hope we're in the same class.\Yeah.\I'm sure we will be. response:	I'm Komiya Nonoka.
context: I'm leaving.\Oh, the opening ceremony.\Morning.\Maeyama Observatory\I hope we're in the same class.\Yeah.\I'm sure we will be.\I'm Komiya Nonoka. response:	Nice to meet you.
context: Oh, the opening ceremony.\Morning.\Maeyama Observatory\I hope we're in the same class.\Yeah.\I'm sure we will be.\I'm Komiya Nonoka.\Nice to meet you. response:	Yes.
context: Morning.\Maeyama Observatory\I hope we're in the same class.\Yeah.\I'm sure we will be.\I'm Komiya Nonoka.\Nice to meet you.\Yes. response:	Komiya-san moved here from Tokyo because of her father's work.
context: Maeyama Observatory\I hope we're in the same class.\Yeah.\I'm sure we will be.\I'm Komiya Nonoka.\Nice to meet you.\Yes.\Komiya-san moved here from Tokyo because of her father's work. response:	Everyone, be good to her.
context: I hope we're in the same class.\Yeah.\I'm sure we will be.\I'm Komiya Nonoka.\Nice to meet you.\Yes.\Komiya-san moved here from Tokyo because of her father's work.\Everyone, be good to her. response:	Komiya-san, your seat is in the far back of the second row.
context: Yeah.\I'm sure we will be.\I'm Komiya Nonoka.\Nice to meet you.\Yes.\Komiya-san moved here from Tokyo because of her father's work.\Everyone, be good to her.\Komiya-san, your seat is in the far back of the second row. response:	Oh, good.
context: I'm sure we will be.\I'm Komiya Nonoka.\Nice to meet you.\Yes.\Komiya-san moved here from Tokyo because of her father's work.\Everyone, be good to her.\Komiya-san, your seat is in the far back of the second row.\Oh, good. response:	I was looking for you.
context: I'm Komiya Nonoka.\Nice to meet you.\Yes.\Komiya-san moved here from Tokyo because of her father's work.\Everyone, be good to her.\Komiya-san, your seat is in the far back of the second row.\Oh, good.\I was looking for you. response:	Too bad we weren't in the same class.
context: Nice to meet you.\Yes.\Komiya-san moved here from Tokyo because of her father's work.\Everyone, be good to her.\Komiya-san, your seat is in the far back of the second row.\Oh, good.\I was looking for you.\Too bad we weren't in the same class. response:	Oh, yeah. Now that Nonoka's back,
context: Yes.\Komiya-san moved here from Tokyo because of her father's work.\Everyone, be good to her.\Komiya-san, your seat is in the far back of the second row.\Oh, good.\I was looking for you.\Too bad we weren't in the same class.\Oh, yeah. Now that Nonoka's back, response:	why don't we go hang out somewhere?
context: Komiya-san moved here from Tokyo because of her father's work.\Everyone, be good to her.\Komiya-san, your seat is in the far back of the second row.\Oh, good.\I was looking for you.\Too bad we weren't in the same class.\Oh, yeah. Now that Nonoka's back,\why don't we go hang out somewhere? response:	Um... I want to talk to you guys.
context: Everyone, be good to her.\Komiya-san, your seat is in the far back of the second row.\Oh, good.\I was looking for you.\Too bad we weren't in the same class.\Oh, yeah. Now that Nonoka's back,\why don't we go hang out somewhere?\Um... I want to talk to you guys. response:	About the observatory.
context: Komiya-san, your seat is in the far back of the second row.\Oh, good.\I was looking for you.\Too bad we weren't in the same class.\Oh, yeah. Now that Nonoka's back,\why don't we go hang out somewhere?\Um... I want to talk to you guys.\About the observatory. response:	Sure, okay.
context: Oh, good.\I was looking for you.\Too bad we weren't in the same class.\Oh, yeah. Now that Nonoka's back,\why don't we go hang out somewhere?\Um... I want to talk to you guys.\About the observatory.\Sure, okay. response:	Do you want me to call Souta, too, then?
context: I was looking for you.\Too bad we weren't in the same class.\Oh, yeah. Now that Nonoka's back,\why don't we go hang out somewhere?\Um... I want to talk to you guys.\About the observatory.\Sure, okay.\Do you want me to call Souta, too, then? response:	Thanks.
context: Too bad we weren't in the same class.\Oh, yeah. Now that Nonoka's back,\why don't we go hang out somewhere?\Um... I want to talk to you guys.\About the observatory.\Sure, okay.\Do you want me to call Souta, too, then?\Thanks. response:	We want to know what you've been up to, too.
context: Oh, yeah. Now that Nonoka's back,\why don't we go hang out somewhere?\Um... I want to talk to you guys.\About the observatory.\Sure, okay.\Do you want me to call Souta, too, then?\Thanks.\We want to know what you've been up to, too. response:	Oh, and Shione.
context: why don't we go hang out somewhere?\Um... I want to talk to you guys.\About the observatory.\Sure, okay.\Do you want me to call Souta, too, then?\Thanks.\We want to know what you've been up to, too.\Oh, and Shione. response:	Shione?
context: Um... I want to talk to you guys.\About the observatory.\Sure, okay.\Do you want me to call Souta, too, then?\Thanks.\We want to know what you've been up to, too.\Oh, and Shione.\Shione? response:	Do you know which class she's in?
context: About the observatory.\Sure, okay.\Do you want me to call Souta, too, then?\Thanks.\We want to know what you've been up to, too.\Oh, and Shione.\Shione?\Do you know which class she's in? response:	Not in this school.
context: Sure, okay.\Do you want me to call Souta, too, then?\Thanks.\We want to know what you've been up to, too.\Oh, and Shione.\Shione?\Do you know which class she's in?\Not in this school. response:	Oh, hello.
context: Do you want me to call Souta, too, then?\Thanks.\We want to know what you've been up to, too.\Oh, and Shione.\Shione?\Do you know which class she's in?\Not in this school.\Oh, hello. response:	Souta, you're free right now, aren't you?
context: Thanks.\We want to know what you've been up to, too.\Oh, and Shione.\Shione?\Do you know which class she's in?\Not in this school.\Oh, hello.\Souta, you're free right now, aren't you? response:	She moved away during elementary school.
context: We want to know what you've been up to, too.\Oh, and Shione.\Shione?\Do you know which class she's in?\Not in this school.\Oh, hello.\Souta, you're free right now, aren't you?\She moved away during elementary school. response:	Shione's always wanted to see you.
context: Oh, and Shione.\Shione?\Do you know which class she's in?\Not in this school.\Oh, hello.\Souta, you're free right now, aren't you?\She moved away during elementary school.\Shione's always wanted to see you. response:	Sorry, um...
context: Shione?\Do you know which class she's in?\Not in this school.\Oh, hello.\Souta, you're free right now, aren't you?\She moved away during elementary school.\Shione's always wanted to see you.\Sorry, um... response:	Do you have her contact info?
context: Do you know which class she's in?\Not in this school.\Oh, hello.\Souta, you're free right now, aren't you?\She moved away during elementary school.\Shione's always wanted to see you.\Sorry, um...\Do you have her contact info? response:	No.
context: Not in this school.\Oh, hello.\Souta, you're free right now, aren't you?\She moved away during elementary school.\Shione's always wanted to see you.\Sorry, um...\Do you have her contact info?\No. response:	Yeah.
context: Oh, hello.\Souta, you're free right now, aren't you?\She moved away during elementary school.\Shione's always wanted to see you.\Sorry, um...\Do you have her contact info?\No.\Yeah. response:	So we're going to hang out.
context: Souta, you're free right now, aren't you?\She moved away during elementary school.\Shione's always wanted to see you.\Sorry, um...\Do you have her contact info?\No.\Yeah.\So we're going to hang out. response:	Noel?
context: She moved away during elementary school.\Shione's always wanted to see you.\Sorry, um...\Do you have her contact info?\No.\Yeah.\So we're going to hang out.\Noel? response:	The five of us did try to call a saucer when we were kids.
context: Shione's always wanted to see you.\Sorry, um...\Do you have her contact info?\No.\Yeah.\So we're going to hang out.\Noel?\The five of us did try to call a saucer when we were kids. response:	You might not recall now,
context: Sorry, um...\Do you have her contact info?\No.\Yeah.\So we're going to hang out.\Noel?\The five of us did try to call a saucer when we were kids.\You might not recall now, response:	but in the city I know, there was a saucer above the lake
context: Do you have her contact info?\No.\Yeah.\So we're going to hang out.\Noel?\The five of us did try to call a saucer when we were kids.\You might not recall now,\but in the city I know, there was a saucer above the lake response:	and a girl named Noel.
context: No.\Yeah.\So we're going to hang out.\Noel?\The five of us did try to call a saucer when we were kids.\You might not recall now,\but in the city I know, there was a saucer above the lake\and a girl named Noel. response:	Are you saying we've forgotten about it?
context: Yeah.\So we're going to hang out.\Noel?\The five of us did try to call a saucer when we were kids.\You might not recall now,\but in the city I know, there was a saucer above the lake\and a girl named Noel.\Are you saying we've forgotten about it? response:	You've all seen the city with the saucer, too.
context: So we're going to hang out.\Noel?\The five of us did try to call a saucer when we were kids.\You might not recall now,\but in the city I know, there was a saucer above the lake\and a girl named Noel.\Are you saying we've forgotten about it?\You've all seen the city with the saucer, too. response:	You're an important part of our time at the observatory,
context: Noel?\The five of us did try to call a saucer when we were kids.\You might not recall now,\but in the city I know, there was a saucer above the lake\and a girl named Noel.\Are you saying we've forgotten about it?\You've all seen the city with the saucer, too.\You're an important part of our time at the observatory, response:	and you're a precious friend to us now, too.
context: The five of us did try to call a saucer when we were kids.\You might not recall now,\but in the city I know, there was a saucer above the lake\and a girl named Noel.\Are you saying we've forgotten about it?\You've all seen the city with the saucer, too.\You're an important part of our time at the observatory,\and you're a precious friend to us now, too. response:	So I want to believe you.
context: You might not recall now,\but in the city I know, there was a saucer above the lake\and a girl named Noel.\Are you saying we've forgotten about it?\You've all seen the city with the saucer, too.\You're an important part of our time at the observatory,\and you're a precious friend to us now, too.\So I want to believe you. response:	But...
context: but in the city I know, there was a saucer above the lake\and a girl named Noel.\Are you saying we've forgotten about it?\You've all seen the city with the saucer, too.\You're an important part of our time at the observatory,\and you're a precious friend to us now, too.\So I want to believe you.\But... response:	I've always thought it'd be nice if a saucer came down
context: and a girl named Noel.\Are you saying we've forgotten about it?\You've all seen the city with the saucer, too.\You're an important part of our time at the observatory,\and you're a precious friend to us now, too.\So I want to believe you.\But...\I've always thought it'd be nice if a saucer came down response:	and granted our wishes, too.
context: Are you saying we've forgotten about it?\You've all seen the city with the saucer, too.\You're an important part of our time at the observatory,\and you're a precious friend to us now, too.\So I want to believe you.\But...\I've always thought it'd be nice if a saucer came down\and granted our wishes, too. response:	So I want to believe you.
context: You've all seen the city with the saucer, too.\You're an important part of our time at the observatory,\and you're a precious friend to us now, too.\So I want to believe you.\But...\I've always thought it'd be nice if a saucer came down\and granted our wishes, too.\So I want to believe you. response:	Sorry.
context: You're an important part of our time at the observatory,\and you're a precious friend to us now, too.\So I want to believe you.\But...\I've always thought it'd be nice if a saucer came down\and granted our wishes, too.\So I want to believe you.\Sorry. response:	It doesn't matter what.
context: and you're a precious friend to us now, too.\So I want to believe you.\But...\I've always thought it'd be nice if a saucer came down\and granted our wishes, too.\So I want to believe you.\Sorry.\It doesn't matter what. response:	Something about Noel.
context: So I want to believe you.\But...\I've always thought it'd be nice if a saucer came down\and granted our wishes, too.\So I want to believe you.\Sorry.\It doesn't matter what.\Something about Noel. response:	Something about the time we spent with her.
context: But...\I've always thought it'd be nice if a saucer came down\and granted our wishes, too.\So I want to believe you.\Sorry.\It doesn't matter what.\Something about Noel.\Something about the time we spent with her. response:	Her words, her expressions.
context: I've always thought it'd be nice if a saucer came down\and granted our wishes, too.\So I want to believe you.\Sorry.\It doesn't matter what.\Something about Noel.\Something about the time we spent with her.\Her words, her expressions. response:	Please remember something, even just a little.
context: and granted our wishes, too.\So I want to believe you.\Sorry.\It doesn't matter what.\Something about Noel.\Something about the time we spent with her.\Her words, her expressions.\Please remember something, even just a little. response:	Please!
context: So I want to believe you.\Sorry.\It doesn't matter what.\Something about Noel.\Something about the time we spent with her.\Her words, her expressions.\Please remember something, even just a little.\Please! response:	Otherwise Noel will...
context: Sorry.\It doesn't matter what.\Something about Noel.\Something about the time we spent with her.\Her words, her expressions.\Please remember something, even just a little.\Please!\Otherwise Noel will... response:	I don't want to be so harsh,
context: It doesn't matter what.\Something about Noel.\Something about the time we spent with her.\Her words, her expressions.\Please remember something, even just a little.\Please!\Otherwise Noel will...\I don't want to be so harsh, response:	but maybe you're just imagining it.
context: Something about Noel.\Something about the time we spent with her.\Her words, her expressions.\Please remember something, even just a little.\Please!\Otherwise Noel will...\I don't want to be so harsh,\but maybe you're just imagining it. response:	You're the only one that remembers
context: Something about the time we spent with her.\Her words, her expressions.\Please remember something, even just a little.\Please!\Otherwise Noel will...\I don't want to be so harsh,\but maybe you're just imagining it.\You're the only one that remembers response:	this Noel, aren't you?
context: Her words, her expressions.\Please remember something, even just a little.\Please!\Otherwise Noel will...\I don't want to be so harsh,\but maybe you're just imagining it.\You're the only one that remembers\this Noel, aren't you? response:	Well...
context: Please remember something, even just a little.\Please!\Otherwise Noel will...\I don't want to be so harsh,\but maybe you're just imagining it.\You're the only one that remembers\this Noel, aren't you?\Well... response:	Oh, you mean in your dream.
context: Please!\Otherwise Noel will...\I don't want to be so harsh,\but maybe you're just imagining it.\You're the only one that remembers\this Noel, aren't you?\Well...\Oh, you mean in your dream. response:	That's not it.
context: Otherwise Noel will...\I don't want to be so harsh,\but maybe you're just imagining it.\You're the only one that remembers\this Noel, aren't you?\Well...\Oh, you mean in your dream.\That's not it. response:	Noel worked really hard to grant our wishes.
context: I don't want to be so harsh,\but maybe you're just imagining it.\You're the only one that remembers\this Noel, aren't you?\Well...\Oh, you mean in your dream.\That's not it.\Noel worked really hard to grant our wishes. response:	Mine, and yours, too.
context: but maybe you're just imagining it.\You're the only one that remembers\this Noel, aren't you?\Well...\Oh, you mean in your dream.\That's not it.\Noel worked really hard to grant our wishes.\Mine, and yours, too. response:	You've all seen her...
context: You're the only one that remembers\this Noel, aren't you?\Well...\Oh, you mean in your dream.\That's not it.\Noel worked really hard to grant our wishes.\Mine, and yours, too.\You've all seen her... response:	Sorry, I don't think there's any point talking about this any more.
context: this Noel, aren't you?\Well...\Oh, you mean in your dream.\That's not it.\Noel worked really hard to grant our wishes.\Mine, and yours, too.\You've all seen her...\Sorry, I don't think there's any point talking about this any more. response:	Come on, Souta, you don't have to say it like that.
context: Well...\Oh, you mean in your dream.\That's not it.\Noel worked really hard to grant our wishes.\Mine, and yours, too.\You've all seen her...\Sorry, I don't think there's any point talking about this any more.\Come on, Souta, you don't have to say it like that. response:	Souta's right.
context: Oh, you mean in your dream.\That's not it.\Noel worked really hard to grant our wishes.\Mine, and yours, too.\You've all seen her...\Sorry, I don't think there's any point talking about this any more.\Come on, Souta, you don't have to say it like that.\Souta's right. response:	Sorry.
context: That's not it.\Noel worked really hard to grant our wishes.\Mine, and yours, too.\You've all seen her...\Sorry, I don't think there's any point talking about this any more.\Come on, Souta, you don't have to say it like that.\Souta's right.\Sorry. response:	Let me be alone for a while.
context: Noel worked really hard to grant our wishes.\Mine, and yours, too.\You've all seen her...\Sorry, I don't think there's any point talking about this any more.\Come on, Souta, you don't have to say it like that.\Souta's right.\Sorry.\Let me be alone for a while. response:	Nonoka.
context: Mine, and yours, too.\You've all seen her...\Sorry, I don't think there's any point talking about this any more.\Come on, Souta, you don't have to say it like that.\Souta's right.\Sorry.\Let me be alone for a while.\Nonoka. response:	Don't worry.
context: You've all seen her...\Sorry, I don't think there's any point talking about this any more.\Come on, Souta, you don't have to say it like that.\Souta's right.\Sorry.\Let me be alone for a while.\Nonoka.\Don't worry. response:	Mom...
context: Sorry, I don't think there's any point talking about this any more.\Come on, Souta, you don't have to say it like that.\Souta's right.\Sorry.\Let me be alone for a while.\Nonoka.\Don't worry.\Mom... response:	Does Noel really exist?!
context: Come on, Souta, you don't have to say it like that.\Souta's right.\Sorry.\Let me be alone for a while.\Nonoka.\Don't worry.\Mom...\Does Noel really exist?! response:	Keep Out
context: Souta's right.\Sorry.\Let me be alone for a while.\Nonoka.\Don't worry.\Mom...\Does Noel really exist?!\Keep Out response:	If I'm the only one that remembers Noel,
context: Sorry.\Let me be alone for a while.\Nonoka.\Don't worry.\Mom...\Does Noel really exist?!\Keep Out\If I'm the only one that remembers Noel, response:	then if I forget Noel,
context: Let me be alone for a while.\Nonoka.\Don't worry.\Mom...\Does Noel really exist?!\Keep Out\If I'm the only one that remembers Noel,\then if I forget Noel, response:	she'll really disappear.
context: Nonoka.\Don't worry.\Mom...\Does Noel really exist?!\Keep Out\If I'm the only one that remembers Noel,\then if I forget Noel,\she'll really disappear. response:	So
context: Don't worry.\Mom...\Does Noel really exist?!\Keep Out\If I'm the only one that remembers Noel,\then if I forget Noel,\she'll really disappear.\So response:	I'm going to record everything I know about Noel.
context: Mom...\Does Noel really exist?!\Keep Out\If I'm the only one that remembers Noel,\then if I forget Noel,\she'll really disappear.\So\I'm going to record everything I know about Noel. response:	Huh?
context: Does Noel really exist?!\Keep Out\If I'm the only one that remembers Noel,\then if I forget Noel,\she'll really disappear.\So\I'm going to record everything I know about Noel.\Huh? response:	It should go further.
context: Keep Out\If I'm the only one that remembers Noel,\then if I forget Noel,\she'll really disappear.\So\I'm going to record everything I know about Noel.\Huh?\It should go further. response:	What am I missing?
context: If I'm the only one that remembers Noel,\then if I forget Noel,\she'll really disappear.\So\I'm going to record everything I know about Noel.\Huh?\It should go further.\What am I missing? response:	Dammit.
context: then if I forget Noel,\she'll really disappear.\So\I'm going to record everything I know about Noel.\Huh?\It should go further.\What am I missing?\Dammit. response:	Why am I so frustrated?
context: she'll really disappear.\So\I'm going to record everything I know about Noel.\Huh?\It should go further.\What am I missing?\Dammit.\Why am I so frustrated? response:	Shiihara Market
context: So\I'm going to record everything I know about Noel.\Huh?\It should go further.\What am I missing?\Dammit.\Why am I so frustrated?\Shiihara Market response:	Hey, you've been watching over this city.
context: I'm going to record everything I know about Noel.\Huh?\It should go further.\What am I missing?\Dammit.\Why am I so frustrated?\Shiihara Market\Hey, you've been watching over this city. response:	You'd know, right?
context: Huh?\It should go further.\What am I missing?\Dammit.\Why am I so frustrated?\Shiihara Market\Hey, you've been watching over this city.\You'd know, right? response:	Something important that I might have lost.
context: It should go further.\What am I missing?\Dammit.\Why am I so frustrated?\Shiihara Market\Hey, you've been watching over this city.\You'd know, right?\Something important that I might have lost. response:	Noel.
context: What am I missing?\Dammit.\Why am I so frustrated?\Shiihara Market\Hey, you've been watching over this city.\You'd know, right?\Something important that I might have lost.\Noel. response:	I miss you.
context: Dammit.\Why am I so frustrated?\Shiihara Market\Hey, you've been watching over this city.\You'd know, right?\Something important that I might have lost.\Noel.\I miss you. response:	Noel, I miss you!
context: Why am I so frustrated?\Shiihara Market\Hey, you've been watching over this city.\You'd know, right?\Something important that I might have lost.\Noel.\I miss you.\Noel, I miss you! response:	Please, come out!
context: Shiihara Market\Hey, you've been watching over this city.\You'd know, right?\Something important that I might have lost.\Noel.\I miss you.\Noel, I miss you!\Please, come out! response:	Smile again!
context: Hey, you've been watching over this city.\You'd know, right?\Something important that I might have lost.\Noel.\I miss you.\Noel, I miss you!\Please, come out!\Smile again! response:	Noel!
context: You'd know, right?\Something important that I might have lost.\Noel.\I miss you.\Noel, I miss you!\Please, come out!\Smile again!\Noel! response:	Could that even happen?
context: Something important that I might have lost.\Noel.\I miss you.\Noel, I miss you!\Please, come out!\Smile again!\Noel!\Could that even happen? response:	Could it really all have been a dream?
context: Noel.\I miss you.\Noel, I miss you!\Please, come out!\Smile again!\Noel!\Could that even happen?\Could it really all have been a dream? response:	Could Noel really not exist?
context: I miss you.\Noel, I miss you!\Please, come out!\Smile again!\Noel!\Could that even happen?\Could it really all have been a dream?\Could Noel really not exist? response:	Could it really be?
context: Noel, I miss you!\Please, come out!\Smile again!\Noel!\Could that even happen?\Could it really all have been a dream?\Could Noel really not exist?\Could it really be? response:	Could it really be?
context: Please, come out!\Smile again!\Noel!\Could that even happen?\Could it really all have been a dream?\Could Noel really not exist?\Could it really be?\Could it really be? response:	Shione.
context: Smile again!\Noel!\Could that even happen?\Could it really all have been a dream?\Could Noel really not exist?\Could it really be?\Could it really be?\Shione. response:	Long time.
context: Noel!\Could that even happen?\Could it really all have been a dream?\Could Noel really not exist?\Could it really be?\Could it really be?\Shione.\Long time. response:	Yeah, seven years, I think.
context: Could that even happen?\Could it really all have been a dream?\Could Noel really not exist?\Could it really be?\Could it really be?\Shione.\Long time.\Yeah, seven years, I think. response:	Do you remember when we were kids here?
context: Could it really all have been a dream?\Could Noel really not exist?\Could it really be?\Could it really be?\Shione.\Long time.\Yeah, seven years, I think.\Do you remember when we were kids here? response:	What I remember...
context: Could Noel really not exist?\Could it really be?\Could it really be?\Shione.\Long time.\Yeah, seven years, I think.\Do you remember when we were kids here?\What I remember... response:	What I remember are that girl's tears on the night of the meteor shower.
context: Could it really be?\Could it really be?\Shione.\Long time.\Yeah, seven years, I think.\Do you remember when we were kids here?\What I remember...\What I remember are that girl's tears on the night of the meteor shower. response:	That girl...
context: Could it really be?\Shione.\Long time.\Yeah, seven years, I think.\Do you remember when we were kids here?\What I remember...\What I remember are that girl's tears on the night of the meteor shower.\That girl... response:	Noel didn't like seeing you like that.
context: Shione.\Long time.\Yeah, seven years, I think.\Do you remember when we were kids here?\What I remember...\What I remember are that girl's tears on the night of the meteor shower.\That girl...\Noel didn't like seeing you like that. response:	Yeah.
context: Long time.\Yeah, seven years, I think.\Do you remember when we were kids here?\What I remember...\What I remember are that girl's tears on the night of the meteor shower.\That girl...\Noel didn't like seeing you like that.\Yeah. response:	Yeah.
context: Yeah, seven years, I think.\Do you remember when we were kids here?\What I remember...\What I remember are that girl's tears on the night of the meteor shower.\That girl...\Noel didn't like seeing you like that.\Yeah.\Yeah. response:	From the Starting Sky
context: Do you remember when we were kids here?\What I remember...\What I remember are that girl's tears on the night of the meteor shower.\That girl...\Noel didn't like seeing you like that.\Yeah.\Yeah.\From the Starting Sky response:	Next episode of Celestial Method : From the Starting Sky.
