context: Are you ok? response:	Yeah' I'm just a little sleepy'
context: But at that time,\neither Yue or Kero were able to move.\And the only one who could do\such a thing to them was Clow,\Kero said.\But'\Kero-san'\But Clow has passed away a long time ago. response:	Eriol'
context: neither Yue or Kero were able to move.\And the only one who could do\such a thing to them was Clow,\Kero said.\But'\Kero-san'\But Clow has passed away a long time ago.\Eriol' response:	Sakura
context: And the only one who could do\such a thing to them was Clow,\Kero said.\But'\Kero-san'\But Clow has passed away a long time ago.\Eriol'\Sakura response:	Did you notice I was watching?
context: such a thing to them was Clow,\Kero said.\But'\Kero-san'\But Clow has passed away a long time ago.\Eriol'\Sakura\Did you notice I was watching? response:	You play very well.
context: Kero said.\But'\Kero-san'\But Clow has passed away a long time ago.\Eriol'\Sakura\Did you notice I was watching?\You play very well. response:	Thank you very much!
context: But'\Kero-san'\But Clow has passed away a long time ago.\Eriol'\Sakura\Did you notice I was watching?\You play very well.\Thank you very much! response:	Oh, this is the song
context: Kero-san'\But Clow has passed away a long time ago.\Eriol'\Sakura\Did you notice I was watching?\You play very well.\Thank you very much!\Oh, this is the song response:	Tomoyo has been practising in the choir.
context: But Clow has passed away a long time ago.\Eriol'\Sakura\Did you notice I was watching?\You play very well.\Thank you very much!\Oh, this is the song\Tomoyo has been practising in the choir. response:	Tomoyo
context: Eriol'\Sakura\Did you notice I was watching?\You play very well.\Thank you very much!\Oh, this is the song\Tomoyo has been practising in the choir.\Tomoyo response:	That's wonderful!
context: Sakura\Did you notice I was watching?\You play very well.\Thank you very much!\Oh, this is the song\Tomoyo has been practising in the choir.\Tomoyo\That's wonderful! response:	I heard you were practicing the song and I remembered it.
context: Did you notice I was watching?\You play very well.\Thank you very much!\Oh, this is the song\Tomoyo has been practising in the choir.\Tomoyo\That's wonderful!\I heard you were practicing the song and I remembered it. response:	You have a wonderful voice.
context: You play very well.\Thank you very much!\Oh, this is the song\Tomoyo has been practising in the choir.\Tomoyo\That's wonderful!\I heard you were practicing the song and I remembered it.\You have a wonderful voice. response:	Thank you very much.
context: Thank you very much!\Oh, this is the song\Tomoyo has been practising in the choir.\Tomoyo\That's wonderful!\I heard you were practicing the song and I remembered it.\You have a wonderful voice.\Thank you very much. response:	That's right! Tomoyo,
context: Oh, this is the song\Tomoyo has been practising in the choir.\Tomoyo\That's wonderful!\I heard you were practicing the song and I remembered it.\You have a wonderful voice.\Thank you very much.\That's right! Tomoyo, response:	how about you sing while accompanied by Eriol?
context: Tomoyo has been practising in the choir.\Tomoyo\That's wonderful!\I heard you were practicing the song and I remembered it.\You have a wonderful voice.\Thank you very much.\That's right! Tomoyo,\how about you sing while accompanied by Eriol? response:	' Now?' You can't?
context: Tomoyo\That's wonderful!\I heard you were practicing the song and I remembered it.\You have a wonderful voice.\Thank you very much.\That's right! Tomoyo,\how about you sing while accompanied by Eriol?\' Now?' You can't? response:	I don't mind.
context: That's wonderful!\I heard you were practicing the song and I remembered it.\You have a wonderful voice.\Thank you very much.\That's right! Tomoyo,\how about you sing while accompanied by Eriol?\' Now?' You can't?\I don't mind. response:	=When I am lonely,=
context: I heard you were practicing the song and I remembered it.\You have a wonderful voice.\Thank you very much.\That's right! Tomoyo,\how about you sing while accompanied by Eriol?\' Now?' You can't?\I don't mind.\=When I am lonely,= response:	=I seek warmth=
context: You have a wonderful voice.\Thank you very much.\That's right! Tomoyo,\how about you sing while accompanied by Eriol?\' Now?' You can't?\I don't mind.\=When I am lonely,=\=I seek warmth= response:	=I trace far into the distance=
context: Thank you very much.\That's right! Tomoyo,\how about you sing while accompanied by Eriol?\' Now?' You can't?\I don't mind.\=When I am lonely,=\=I seek warmth=\=I trace far into the distance= response:	=my dear memories=
context: That's right! Tomoyo,\how about you sing while accompanied by Eriol?\' Now?' You can't?\I don't mind.\=When I am lonely,=\=I seek warmth=\=I trace far into the distance=\=my dear memories= response:	=Holding her=
context: how about you sing while accompanied by Eriol?\' Now?' You can't?\I don't mind.\=When I am lonely,=\=I seek warmth=\=I trace far into the distance=\=my dear memories=\=Holding her= response:	=beloved child in her arms,=
context: ' Now?' You can't?\I don't mind.\=When I am lonely,=\=I seek warmth=\=I trace far into the distance=\=my dear memories=\=Holding her=\=beloved child in her arms,= response:	=a mother sings=
context: I don't mind.\=When I am lonely,=\=I seek warmth=\=I trace far into the distance=\=my dear memories=\=Holding her=\=beloved child in her arms,=\=a mother sings= response:	=a lullaby under the sun=
context: =When I am lonely,=\=I seek warmth=\=I trace far into the distance=\=my dear memories=\=Holding her=\=beloved child in her arms,=\=a mother sings=\=a lullaby under the sun= response:	=Someday,=
context: =I seek warmth=\=I trace far into the distance=\=my dear memories=\=Holding her=\=beloved child in her arms,=\=a mother sings=\=a lullaby under the sun=\=Someday,= response:	=in the clear blue sky,=
context: =I trace far into the distance=\=my dear memories=\=Holding her=\=beloved child in her arms,=\=a mother sings=\=a lullaby under the sun=\=Someday,=\=in the clear blue sky,= response:	=everyone can fly freely=
context: =my dear memories=\=Holding her=\=beloved child in her arms,=\=a mother sings=\=a lullaby under the sun=\=Someday,=\=in the clear blue sky,=\=everyone can fly freely= response:	=as high as possible.=
context: =Holding her=\=beloved child in her arms,=\=a mother sings=\=a lullaby under the sun=\=Someday,=\=in the clear blue sky,=\=everyone can fly freely=\=as high as possible.= response:	=Fly freely'=
context: =beloved child in her arms,=\=a mother sings=\=a lullaby under the sun=\=Someday,=\=in the clear blue sky,=\=everyone can fly freely=\=as high as possible.=\=Fly freely'= response:	=With flowers blooming=
context: =a mother sings=\=a lullaby under the sun=\=Someday,=\=in the clear blue sky,=\=everyone can fly freely=\=as high as possible.=\=Fly freely'=\=With flowers blooming= response:	=in those hearts.=
context: =a lullaby under the sun=\=Someday,=\=in the clear blue sky,=\=everyone can fly freely=\=as high as possible.=\=Fly freely'=\=With flowers blooming=\=in those hearts.= response:	Awesome! Awesome!
context: =Someday,=\=in the clear blue sky,=\=everyone can fly freely=\=as high as possible.=\=Fly freely'=\=With flowers blooming=\=in those hearts.=\Awesome! Awesome! response:	That's wonderful, Tomoyo!
context: =in the clear blue sky,=\=everyone can fly freely=\=as high as possible.=\=Fly freely'=\=With flowers blooming=\=in those hearts.=\Awesome! Awesome!\That's wonderful, Tomoyo! response:	Eriol too, thank you!
context: =everyone can fly freely=\=as high as possible.=\=Fly freely'=\=With flowers blooming=\=in those hearts.=\Awesome! Awesome!\That's wonderful, Tomoyo!\Eriol too, thank you! response:	You are not leaving yet?
context: =as high as possible.=\=Fly freely'=\=With flowers blooming=\=in those hearts.=\Awesome! Awesome!\That's wonderful, Tomoyo!\Eriol too, thank you!\You are not leaving yet? response:	I was thinking of going home with Tomoyo.
context: =Fly freely'=\=With flowers blooming=\=in those hearts.=\Awesome! Awesome!\That's wonderful, Tomoyo!\Eriol too, thank you!\You are not leaving yet?\I was thinking of going home with Tomoyo. response:	Daidouji is still in the music Room?
context: =With flowers blooming=\=in those hearts.=\Awesome! Awesome!\That's wonderful, Tomoyo!\Eriol too, thank you!\You are not leaving yet?\I was thinking of going home with Tomoyo.\Daidouji is still in the music Room? response:	She's practicing for the next competition.
context: =in those hearts.=\Awesome! Awesome!\That's wonderful, Tomoyo!\Eriol too, thank you!\You are not leaving yet?\I was thinking of going home with Tomoyo.\Daidouji is still in the music Room?\She's practicing for the next competition. response:	She's staying really late to practise.
context: Awesome! Awesome!\That's wonderful, Tomoyo!\Eriol too, thank you!\You are not leaving yet?\I was thinking of going home with Tomoyo.\Daidouji is still in the music Room?\She's practicing for the next competition.\She's staying really late to practise. response:	No one is here anymore.
context: That's wonderful, Tomoyo!\Eriol too, thank you!\You are not leaving yet?\I was thinking of going home with Tomoyo.\Daidouji is still in the music Room?\She's practicing for the next competition.\She's staying really late to practise.\No one is here anymore. response:	It's a solo competition.
context: Eriol too, thank you!\You are not leaving yet?\I was thinking of going home with Tomoyo.\Daidouji is still in the music Room?\She's practicing for the next competition.\She's staying really late to practise.\No one is here anymore.\It's a solo competition. response:	I heard the song during lunch break.
context: You are not leaving yet?\I was thinking of going home with Tomoyo.\Daidouji is still in the music Room?\She's practicing for the next competition.\She's staying really late to practise.\No one is here anymore.\It's a solo competition.\I heard the song during lunch break. response:	It was a really beautiful song.
context: I was thinking of going home with Tomoyo.\Daidouji is still in the music Room?\She's practicing for the next competition.\She's staying really late to practise.\No one is here anymore.\It's a solo competition.\I heard the song during lunch break.\It was a really beautiful song. response:	Eriol was playing the piano for her'
context: Daidouji is still in the music Room?\She's practicing for the next competition.\She's staying really late to practise.\No one is here anymore.\It's a solo competition.\I heard the song during lunch break.\It was a really beautiful song.\Eriol was playing the piano for her' response:	It was wonderful.
context: She's practicing for the next competition.\She's staying really late to practise.\No one is here anymore.\It's a solo competition.\I heard the song during lunch break.\It was a really beautiful song.\Eriol was playing the piano for her'\It was wonderful. response:	What's matter?
context: She's staying really late to practise.\No one is here anymore.\It's a solo competition.\I heard the song during lunch break.\It was a really beautiful song.\Eriol was playing the piano for her'\It was wonderful.\What's matter? response:	Nothing.
context: No one is here anymore.\It's a solo competition.\I heard the song during lunch break.\It was a really beautiful song.\Eriol was playing the piano for her'\It was wonderful.\What's matter?\Nothing. response:	Did Kerberos say anything after that?
context: It's a solo competition.\I heard the song during lunch break.\It was a really beautiful song.\Eriol was playing the piano for her'\It was wonderful.\What's matter?\Nothing.\Did Kerberos say anything after that? response:	About Clow?
context: I heard the song during lunch break.\It was a really beautiful song.\Eriol was playing the piano for her'\It was wonderful.\What's matter?\Nothing.\Did Kerberos say anything after that?\About Clow? response:	Kero said he didn't know either.
context: It was a really beautiful song.\Eriol was playing the piano for her'\It was wonderful.\What's matter?\Nothing.\Did Kerberos say anything after that?\About Clow?\Kero said he didn't know either. response:	because Clow
context: Eriol was playing the piano for her'\It was wonderful.\What's matter?\Nothing.\Did Kerberos say anything after that?\About Clow?\Kero said he didn't know either.\because Clow response:	should have already passed away long time ago.
context: It was wonderful.\What's matter?\Nothing.\Did Kerberos say anything after that?\About Clow?\Kero said he didn't know either.\because Clow\should have already passed away long time ago. response:	What in the world is happening'
context: What's matter?\Nothing.\Did Kerberos say anything after that?\About Clow?\Kero said he didn't know either.\because Clow\should have already passed away long time ago.\What in the world is happening' response:	It is Tomoyo's voice'
context: Nothing.\Did Kerberos say anything after that?\About Clow?\Kero said he didn't know either.\because Clow\should have already passed away long time ago.\What in the world is happening'\It is Tomoyo's voice' response:	Tomoyo!!
context: Did Kerberos say anything after that?\About Clow?\Kero said he didn't know either.\because Clow\should have already passed away long time ago.\What in the world is happening'\It is Tomoyo's voice'\Tomoyo!! response:	Sakura!
context: About Clow?\Kero said he didn't know either.\because Clow\should have already passed away long time ago.\What in the world is happening'\It is Tomoyo's voice'\Tomoyo!!\Sakura! response:	' What happened?' The piano suddenly'
context: Kero said he didn't know either.\because Clow\should have already passed away long time ago.\What in the world is happening'\It is Tomoyo's voice'\Tomoyo!!\Sakura!\' What happened?' The piano suddenly' response:	WATCH OUT!!
context: because Clow\should have already passed away long time ago.\What in the world is happening'\It is Tomoyo's voice'\Tomoyo!!\Sakura!\' What happened?' The piano suddenly'\WATCH OUT!! response:	Why did the piano move all of a sudden?
context: should have already passed away long time ago.\What in the world is happening'\It is Tomoyo's voice'\Tomoyo!!\Sakura!\' What happened?' The piano suddenly'\WATCH OUT!!\Why did the piano move all of a sudden? response:	Clow's aura'
context: What in the world is happening'\It is Tomoyo's voice'\Tomoyo!!\Sakura!\' What happened?' The piano suddenly'\WATCH OUT!!\Why did the piano move all of a sudden?\Clow's aura' response:	Sakura'
context: It is Tomoyo's voice'\Tomoyo!!\Sakura!\' What happened?' The piano suddenly'\WATCH OUT!!\Why did the piano move all of a sudden?\Clow's aura'\Sakura' response:	Watch out!!
context: Tomoyo!!\Sakura!\' What happened?' The piano suddenly'\WATCH OUT!!\Why did the piano move all of a sudden?\Clow's aura'\Sakura'\Watch out!! response:	Get out of here!
context: Sakura!\' What happened?' The piano suddenly'\WATCH OUT!!\Why did the piano move all of a sudden?\Clow's aura'\Sakura'\Watch out!!\Get out of here! response:	We can't get away if we stay in the room!
context: ' What happened?' The piano suddenly'\WATCH OUT!!\Why did the piano move all of a sudden?\Clow's aura'\Sakura'\Watch out!!\Get out of here!\We can't get away if we stay in the room! response:	' Right. Tomoyo!' Okay.
context: WATCH OUT!!\Why did the piano move all of a sudden?\Clow's aura'\Sakura'\Watch out!!\Get out of here!\We can't get away if we stay in the room!\' Right. Tomoyo!' Okay. response:	Hurry up.
context: Why did the piano move all of a sudden?\Clow's aura'\Sakura'\Watch out!!\Get out of here!\We can't get away if we stay in the room!\' Right. Tomoyo!' Okay.\Hurry up. response:	Did the piano just move all of a sudden?
context: Clow's aura'\Sakura'\Watch out!!\Get out of here!\We can't get away if we stay in the room!\' Right. Tomoyo!' Okay.\Hurry up.\Did the piano just move all of a sudden? response:	I started to practise the song for the next competition,
context: Sakura'\Watch out!!\Get out of here!\We can't get away if we stay in the room!\' Right. Tomoyo!' Okay.\Hurry up.\Did the piano just move all of a sudden?\I started to practise the song for the next competition, response:	and suddenly'
context: Watch out!!\Get out of here!\We can't get away if we stay in the room!\' Right. Tomoyo!' Okay.\Hurry up.\Did the piano just move all of a sudden?\I started to practise the song for the next competition,\and suddenly' response:	King of Thunder, DESCEND!!
context: Get out of here!\We can't get away if we stay in the room!\' Right. Tomoyo!' Okay.\Hurry up.\Did the piano just move all of a sudden?\I started to practise the song for the next competition,\and suddenly'\King of Thunder, DESCEND!! response:	' Thanks.' I wonder if we are ok now.
context: We can't get away if we stay in the room!\' Right. Tomoyo!' Okay.\Hurry up.\Did the piano just move all of a sudden?\I started to practise the song for the next competition,\and suddenly'\King of Thunder, DESCEND!!\' Thanks.' I wonder if we are ok now. response:	It's moving again.
context: ' Right. Tomoyo!' Okay.\Hurry up.\Did the piano just move all of a sudden?\I started to practise the song for the next competition,\and suddenly'\King of Thunder, DESCEND!!\' Thanks.' I wonder if we are ok now.\It's moving again. response:	It simply looks like it would not let me go'
context: Hurry up.\Did the piano just move all of a sudden?\I started to practise the song for the next competition,\and suddenly'\King of Thunder, DESCEND!!\' Thanks.' I wonder if we are ok now.\It's moving again.\It simply looks like it would not let me go' response:	I see.
context: Did the piano just move all of a sudden?\I started to practise the song for the next competition,\and suddenly'\King of Thunder, DESCEND!!\' Thanks.' I wonder if we are ok now.\It's moving again.\It simply looks like it would not let me go'\I see. response:	Tomoyo, would you help me with this?
context: I started to practise the song for the next competition,\and suddenly'\King of Thunder, DESCEND!!\' Thanks.' I wonder if we are ok now.\It's moving again.\It simply looks like it would not let me go'\I see.\Tomoyo, would you help me with this? response:	Yes!
context: and suddenly'\King of Thunder, DESCEND!!\' Thanks.' I wonder if we are ok now.\It's moving again.\It simply looks like it would not let me go'\I see.\Tomoyo, would you help me with this?\Yes! response:	We might be able to do something.
context: King of Thunder, DESCEND!!\' Thanks.' I wonder if we are ok now.\It's moving again.\It simply looks like it would not let me go'\I see.\Tomoyo, would you help me with this?\Yes!\We might be able to do something. response:	=When I am lonely,=
context: ' Thanks.' I wonder if we are ok now.\It's moving again.\It simply looks like it would not let me go'\I see.\Tomoyo, would you help me with this?\Yes!\We might be able to do something.\=When I am lonely,= response:	=I seek warmth=
context: It's moving again.\It simply looks like it would not let me go'\I see.\Tomoyo, would you help me with this?\Yes!\We might be able to do something.\=When I am lonely,=\=I seek warmth= response:	=I trace far into the distance=
context: It simply looks like it would not let me go'\I see.\Tomoyo, would you help me with this?\Yes!\We might be able to do something.\=When I am lonely,=\=I seek warmth=\=I trace far into the distance= response:	=my dear memories.=
context: I see.\Tomoyo, would you help me with this?\Yes!\We might be able to do something.\=When I am lonely,=\=I seek warmth=\=I trace far into the distance=\=my dear memories.= response:	=Holding her=
context: Tomoyo, would you help me with this?\Yes!\We might be able to do something.\=When I am lonely,=\=I seek warmth=\=I trace far into the distance=\=my dear memories.=\=Holding her= response:	=beloved child in her arms=
context: Yes!\We might be able to do something.\=When I am lonely,=\=I seek warmth=\=I trace far into the distance=\=my dear memories.=\=Holding her=\=beloved child in her arms= response:	=a mother sings=
context: We might be able to do something.\=When I am lonely,=\=I seek warmth=\=I trace far into the distance=\=my dear memories.=\=Holding her=\=beloved child in her arms=\=a mother sings= response:	=a lullaby=
context: =When I am lonely,=\=I seek warmth=\=I trace far into the distance=\=my dear memories.=\=Holding her=\=beloved child in her arms=\=a mother sings=\=a lullaby= response:	=under the sun.=
context: =I seek warmth=\=I trace far into the distance=\=my dear memories.=\=Holding her=\=beloved child in her arms=\=a mother sings=\=a lullaby=\=under the sun.= response:	=On the cheek of the infant playing= =in the dreamland'=
context: =I trace far into the distance=\=my dear memories.=\=Holding her=\=beloved child in her arms=\=a mother sings=\=a lullaby=\=under the sun.=\=On the cheek of the infant playing= =in the dreamland'= response:	='are the dimples of happiness'=
context: =my dear memories.=\=Holding her=\=beloved child in her arms=\=a mother sings=\=a lullaby=\=under the sun.=\=On the cheek of the infant playing= =in the dreamland'=\='are the dimples of happiness'= response:	It is coming.
context: =Holding her=\=beloved child in her arms=\=a mother sings=\=a lullaby=\=under the sun.=\=On the cheek of the infant playing= =in the dreamland'=\='are the dimples of happiness'=\It is coming. response:	O Key which hides the power of the stars,
context: =beloved child in her arms=\=a mother sings=\=a lullaby=\=under the sun.=\=On the cheek of the infant playing= =in the dreamland'=\='are the dimples of happiness'=\It is coming.\O Key which hides the power of the stars, response:	reveal thy true form before me.
context: =a mother sings=\=a lullaby=\=under the sun.=\=On the cheek of the infant playing= =in the dreamland'=\='are the dimples of happiness'=\It is coming.\O Key which hides the power of the stars,\reveal thy true form before me. response:	I, Sakura, command thee under contract.
context: =a lullaby=\=under the sun.=\=On the cheek of the infant playing= =in the dreamland'=\='are the dimples of happiness'=\It is coming.\O Key which hides the power of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract. response:	Release!
context: =under the sun.=\=On the cheek of the infant playing= =in the dreamland'=\='are the dimples of happiness'=\It is coming.\O Key which hides the power of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release! response:	' It is here.' Right!
context: =On the cheek of the infant playing= =in the dreamland'=\='are the dimples of happiness'=\It is coming.\O Key which hides the power of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\' It is here.' Right! response:	O Card created by Clow,
context: ='are the dimples of happiness'=\It is coming.\O Key which hides the power of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\' It is here.' Right!\O Card created by Clow, response:	discard thine old form and be reborn.
context: It is coming.\O Key which hides the power of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\' It is here.' Right!\O Card created by Clow,\discard thine old form and be reborn. response:	Under the name of Sakura, thy new Mistress.
context: O Key which hides the power of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\' It is here.' Right!\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress. response:	Song!
context: reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\' It is here.' Right!\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Song! response:	=Even after woken up from the dream,=
context: I, Sakura, command thee under contract.\Release!\' It is here.' Right!\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Song!\=Even after woken up from the dream,= response:	=there is still a smile.=
context: Release!\' It is here.' Right!\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Song!\=Even after woken up from the dream,=\=there is still a smile.= response:	=Such as seed of kindness=
context: ' It is here.' Right!\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Song!\=Even after woken up from the dream,=\=there is still a smile.=\=Such as seed of kindness= response:	=remains in the heart=
context: O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Song!\=Even after woken up from the dream,=\=there is still a smile.=\=Such as seed of kindness=\=remains in the heart= response:	=When a nervous heart'=
context: discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Song!\=Even after woken up from the dream,=\=there is still a smile.=\=Such as seed of kindness=\=remains in the heart=\=When a nervous heart'= response:	=It's better'=
context: Under the name of Sakura, thy new Mistress.\Song!\=Even after woken up from the dream,=\=there is still a smile.=\=Such as seed of kindness=\=remains in the heart=\=When a nervous heart'=\=It's better'= response:	It is not moving.
context: Song!\=Even after woken up from the dream,=\=there is still a smile.=\=Such as seed of kindness=\=remains in the heart=\=When a nervous heart'=\=It's better'=\It is not moving. response:	Thank Gooddness.
context: =Even after woken up from the dream,=\=there is still a smile.=\=Such as seed of kindness=\=remains in the heart=\=When a nervous heart'=\=It's better'=\It is not moving.\Thank Gooddness. response:	Song turned into a Sakura Card too!
context: =there is still a smile.=\=Such as seed of kindness=\=remains in the heart=\=When a nervous heart'=\=It's better'=\It is not moving.\Thank Gooddness.\Song turned into a Sakura Card too! response:	Just now,
context: =Such as seed of kindness=\=remains in the heart=\=When a nervous heart'=\=It's better'=\It is not moving.\Thank Gooddness.\Song turned into a Sakura Card too!\Just now, response:	I'm sure I sensed Clow's aura'
context: =remains in the heart=\=When a nervous heart'=\=It's better'=\It is not moving.\Thank Gooddness.\Song turned into a Sakura Card too!\Just now,\I'm sure I sensed Clow's aura' response:	Sakura
context: =When a nervous heart'=\=It's better'=\It is not moving.\Thank Gooddness.\Song turned into a Sakura Card too!\Just now,\I'm sure I sensed Clow's aura'\Sakura response:	Sakura!
context: =It's better'=\It is not moving.\Thank Gooddness.\Song turned into a Sakura Card too!\Just now,\I'm sure I sensed Clow's aura'\Sakura\Sakura! response:	Hey! Hang in there!
context: It is not moving.\Thank Gooddness.\Song turned into a Sakura Card too!\Just now,\I'm sure I sensed Clow's aura'\Sakura\Sakura!\Hey! Hang in there! response:	Things seem to be getting interesting.
