context: Reflection Room 1 response:	They finally let us go...
context: What's wrong?\I like Mapo tofu?\Well, even if you ask me...\I never realized it.\Tachibana - san.\What are you doing at this time of day?\Can't you tell?\We're eating. response:	Eating during breaktime is a violation of school regulations.
context: I like Mapo tofu?\Well, even if you ask me...\I never realized it.\Tachibana - san.\What are you doing at this time of day?\Can't you tell?\We're eating.\Eating during breaktime is a violation of school regulations. response:	I forgot.
context: Well, even if you ask me...\I never realized it.\Tachibana - san.\What are you doing at this time of day?\Can't you tell?\We're eating.\Eating during breaktime is a violation of school regulations.\I forgot. response:	That's right, it's a violation of school regulations...
context: I never realized it.\Tachibana - san.\What are you doing at this time of day?\Can't you tell?\We're eating.\Eating during breaktime is a violation of school regulations.\I forgot.\That's right, it's a violation of school regulations... response:	I forgot.
context: Tachibana - san.\What are you doing at this time of day?\Can't you tell?\We're eating.\Eating during breaktime is a violation of school regulations.\I forgot.\That's right, it's a violation of school regulations...\I forgot. response:	There's no mistaking that she knew.
context: What are you doing at this time of day?\Can't you tell?\We're eating.\Eating during breaktime is a violation of school regulations.\I forgot.\That's right, it's a violation of school regulations...\I forgot.\There's no mistaking that she knew. response:	It's pretty scary what her favorite food can do to her!
context: Can't you tell?\We're eating.\Eating during breaktime is a violation of school regulations.\I forgot.\That's right, it's a violation of school regulations...\I forgot.\There's no mistaking that she knew.\It's pretty scary what her favorite food can do to her! response:	Take them.
context: We're eating.\Eating during breaktime is a violation of school regulations.\I forgot.\That's right, it's a violation of school regulations...\I forgot.\There's no mistaking that she knew.\It's pretty scary what her favorite food can do to her!\Take them. response:	Dammit!
context: Eating during breaktime is a violation of school regulations.\I forgot.\That's right, it's a violation of school regulations...\I forgot.\There's no mistaking that she knew.\It's pretty scary what her favorite food can do to her!\Take them.\Dammit! response:	Simply eating Mapo tofu during breaktime shouldn't warrant this!
context: I forgot.\That's right, it's a violation of school regulations...\I forgot.\There's no mistaking that she knew.\It's pretty scary what her favorite food can do to her!\Take them.\Dammit!\Simply eating Mapo tofu during breaktime shouldn't warrant this! response:	And where is this, anyway?
context: That's right, it's a violation of school regulations...\I forgot.\There's no mistaking that she knew.\It's pretty scary what her favorite food can do to her!\Take them.\Dammit!\Simply eating Mapo tofu during breaktime shouldn't warrant this!\And where is this, anyway? response:	It's like a prison!
context: I forgot.\There's no mistaking that she knew.\It's pretty scary what her favorite food can do to her!\Take them.\Dammit!\Simply eating Mapo tofu during breaktime shouldn't warrant this!\And where is this, anyway?\It's like a prison! response:	I'm sleepy.
context: There's no mistaking that she knew.\It's pretty scary what her favorite food can do to her!\Take them.\Dammit!\Simply eating Mapo tofu during breaktime shouldn't warrant this!\And where is this, anyway?\It's like a prison!\I'm sleepy. response:	I'm going to sleep.
context: It's pretty scary what her favorite food can do to her!\Take them.\Dammit!\Simply eating Mapo tofu during breaktime shouldn't warrant this!\And where is this, anyway?\It's like a prison!\I'm sleepy.\I'm going to sleep. response:	Hey, this isn't the time to do that!
context: Take them.\Dammit!\Simply eating Mapo tofu during breaktime shouldn't warrant this!\And where is this, anyway?\It's like a prison!\I'm sleepy.\I'm going to sleep.\Hey, this isn't the time to do that! response:	What else can we do?
context: Dammit!\Simply eating Mapo tofu during breaktime shouldn't warrant this!\And where is this, anyway?\It's like a prison!\I'm sleepy.\I'm going to sleep.\Hey, this isn't the time to do that!\What else can we do? response:	Doesn't this seem strange to you?
context: Simply eating Mapo tofu during breaktime shouldn't warrant this!\And where is this, anyway?\It's like a prison!\I'm sleepy.\I'm going to sleep.\Hey, this isn't the time to do that!\What else can we do?\Doesn't this seem strange to you? response:	Throwing us into this jailroom?
context: And where is this, anyway?\It's like a prison!\I'm sleepy.\I'm going to sleep.\Hey, this isn't the time to do that!\What else can we do?\Doesn't this seem strange to you?\Throwing us into this jailroom? response:	We're supposed to reflect on our actions, so there's no helping that.
context: It's like a prison!\I'm sleepy.\I'm going to sleep.\Hey, this isn't the time to do that!\What else can we do?\Doesn't this seem strange to you?\Throwing us into this jailroom?\We're supposed to reflect on our actions, so there's no helping that. response:	Still!
context: I'm sleepy.\I'm going to sleep.\Hey, this isn't the time to do that!\What else can we do?\Doesn't this seem strange to you?\Throwing us into this jailroom?\We're supposed to reflect on our actions, so there's no helping that.\Still! response:	How can you sleep in this sort of situation?
context: I'm going to sleep.\Hey, this isn't the time to do that!\What else can we do?\Doesn't this seem strange to you?\Throwing us into this jailroom?\We're supposed to reflect on our actions, so there's no helping that.\Still!\How can you sleep in this sort of situation? response:	Good night.
context: Hey, this isn't the time to do that!\What else can we do?\Doesn't this seem strange to you?\Throwing us into this jailroom?\We're supposed to reflect on our actions, so there's no helping that.\Still!\How can you sleep in this sort of situation?\Good night. response:	She seriously went to sleep.
context: What else can we do?\Doesn't this seem strange to you?\Throwing us into this jailroom?\We're supposed to reflect on our actions, so there's no helping that.\Still!\How can you sleep in this sort of situation?\Good night.\She seriously went to sleep. response:	What was that sound?
context: Doesn't this seem strange to you?\Throwing us into this jailroom?\We're supposed to reflect on our actions, so there's no helping that.\Still!\How can you sleep in this sort of situation?\Good night.\She seriously went to sleep.\What was that sound? response:	An earthquake?
context: Throwing us into this jailroom?\We're supposed to reflect on our actions, so there's no helping that.\Still!\How can you sleep in this sort of situation?\Good night.\She seriously went to sleep.\What was that sound?\An earthquake? response:	A battle?
context: We're supposed to reflect on our actions, so there's no helping that.\Still!\How can you sleep in this sort of situation?\Good night.\She seriously went to sleep.\What was that sound?\An earthquake?\A battle? response:	They're here to save
context: Still!\How can you sleep in this sort of situation?\Good night.\She seriously went to sleep.\What was that sound?\An earthquake?\A battle?\They're here to save response:	Oh right!
context: How can you sleep in this sort of situation?\Good night.\She seriously went to sleep.\What was that sound?\An earthquake?\A battle?\They're here to save\Oh right! response:	I had this!
context: Good night.\She seriously went to sleep.\What was that sound?\An earthquake?\A battle?\They're here to save\Oh right!\I had this! response:	Yuri, we're trapped!
context: She seriously went to sleep.\What was that sound?\An earthquake?\A battle?\They're here to save\Oh right!\I had this!\Yuri, we're trapped! response:	It's broken...
context: What was that sound?\An earthquake?\A battle?\They're here to save\Oh right!\I had this!\Yuri, we're trapped!\It's broken... response:	Piece of trash!
context: An earthquake?\A battle?\They're here to save\Oh right!\I had this!\Yuri, we're trapped!\It's broken...\Piece of trash! response:	Otonashi - kun?
context: A battle?\They're here to save\Oh right!\I had this!\Yuri, we're trapped!\It's broken...\Piece of trash!\Otonashi - kun? response:	Can you hear me?
context: They're here to save\Oh right!\I had this!\Yuri, we're trapped!\It's broken...\Piece of trash!\Otonashi - kun?\Can you hear me? response:	Otonashi - kun!
context: Oh right!\I had this!\Yuri, we're trapped!\It's broken...\Piece of trash!\Otonashi - kun?\Can you hear me?\Otonashi - kun! response:	I can hear you!
context: I had this!\Yuri, we're trapped!\It's broken...\Piece of trash!\Otonashi - kun?\Can you hear me?\Otonashi - kun!\I can hear you! response:	Hear me out and believe what I'm about to tell you, Otonashi - kun.
context: Yuri, we're trapped!\It's broken...\Piece of trash!\Otonashi - kun?\Can you hear me?\Otonashi - kun!\I can hear you!\Hear me out and believe what I'm about to tell you, Otonashi - kun. response:	Listen carefully, Naoi Ayato isn't an NPC.
context: It's broken...\Piece of trash!\Otonashi - kun?\Can you hear me?\Otonashi - kun!\I can hear you!\Hear me out and believe what I'm about to tell you, Otonashi - kun.\Listen carefully, Naoi Ayato isn't an NPC. response:	He has a soul.
context: Piece of trash!\Otonashi - kun?\Can you hear me?\Otonashi - kun!\I can hear you!\Hear me out and believe what I'm about to tell you, Otonashi - kun.\Listen carefully, Naoi Ayato isn't an NPC.\He has a soul. response:	He's a human just like us!
context: Otonashi - kun?\Can you hear me?\Otonashi - kun!\I can hear you!\Hear me out and believe what I'm about to tell you, Otonashi - kun.\Listen carefully, Naoi Ayato isn't an NPC.\He has a soul.\He's a human just like us! response:	No way...
context: Can you hear me?\Otonashi - kun!\I can hear you!\Hear me out and believe what I'm about to tell you, Otonashi - kun.\Listen carefully, Naoi Ayato isn't an NPC.\He has a soul.\He's a human just like us!\No way... response:	It makes sense.
context: Otonashi - kun!\I can hear you!\Hear me out and believe what I'm about to tell you, Otonashi - kun.\Listen carefully, Naoi Ayato isn't an NPC.\He has a soul.\He's a human just like us!\No way...\It makes sense. response:	As the former vice - president, he was supposed to be a paragon of student life.
context: I can hear you!\Hear me out and believe what I'm about to tell you, Otonashi - kun.\Listen carefully, Naoi Ayato isn't an NPC.\He has a soul.\He's a human just like us!\No way...\It makes sense.\As the former vice - president, he was supposed to be a paragon of student life. response:	If that were the case, he should have accepted his life and disappeared.
context: Hear me out and believe what I'm about to tell you, Otonashi - kun.\Listen carefully, Naoi Ayato isn't an NPC.\He has a soul.\He's a human just like us!\No way...\It makes sense.\As the former vice - president, he was supposed to be a paragon of student life.\If that were the case, he should have accepted his life and disappeared. response:	But I discovered that he'd been beating up ordinary students under the table.
context: Listen carefully, Naoi Ayato isn't an NPC.\He has a soul.\He's a human just like us!\No way...\It makes sense.\As the former vice - president, he was supposed to be a paragon of student life.\If that were the case, he should have accepted his life and disappeared.\But I discovered that he'd been beating up ordinary students under the table. response:	He acted like an exemplary student publicly, but in the shadows he was doing terrible things.
context: He has a soul.\He's a human just like us!\No way...\It makes sense.\As the former vice - president, he was supposed to be a paragon of student life.\If that were the case, he should have accepted his life and disappeared.\But I discovered that he'd been beating up ordinary students under the table.\He acted like an exemplary student publicly, but in the shadows he was doing terrible things. response:	That's how he maintained his balance in this world.
context: He's a human just like us!\No way...\It makes sense.\As the former vice - president, he was supposed to be a paragon of student life.\If that were the case, he should have accepted his life and disappeared.\But I discovered that he'd been beating up ordinary students under the table.\He acted like an exemplary student publicly, but in the shadows he was doing terrible things.\That's how he maintained his balance in this world. response:	No way...
context: No way...\It makes sense.\As the former vice - president, he was supposed to be a paragon of student life.\If that were the case, he should have accepted his life and disappeared.\But I discovered that he'd been beating up ordinary students under the table.\He acted like an exemplary student publicly, but in the shadows he was doing terrible things.\That's how he maintained his balance in this world.\No way... response:	And when Angel lost her position, he obtained the freedom to do what he wants with this world.
context: It makes sense.\As the former vice - president, he was supposed to be a paragon of student life.\If that were the case, he should have accepted his life and disappeared.\But I discovered that he'd been beating up ordinary students under the table.\He acted like an exemplary student publicly, but in the shadows he was doing terrible things.\That's how he maintained his balance in this world.\No way...\And when Angel lost her position, he obtained the freedom to do what he wants with this world. response:	I don't know what his objective is yet, but we've started battle against him.
context: As the former vice - president, he was supposed to be a paragon of student life.\If that were the case, he should have accepted his life and disappeared.\But I discovered that he'd been beating up ordinary students under the table.\He acted like an exemplary student publicly, but in the shadows he was doing terrible things.\That's how he maintained his balance in this world.\No way...\And when Angel lost her position, he obtained the freedom to do what he wants with this world.\I don't know what his objective is yet, but we've started battle against him. response:	It's a terrible fight like you've never seen.
context: If that were the case, he should have accepted his life and disappeared.\But I discovered that he'd been beating up ordinary students under the table.\He acted like an exemplary student publicly, but in the shadows he was doing terrible things.\That's how he maintained his balance in this world.\No way...\And when Angel lost her position, he obtained the freedom to do what he wants with this world.\I don't know what his objective is yet, but we've started battle against him.\It's a terrible fight like you've never seen. response:	He knows we won't harm ordinary students, so he's using them as shields and hostages.
context: But I discovered that he'd been beating up ordinary students under the table.\He acted like an exemplary student publicly, but in the shadows he was doing terrible things.\That's how he maintained his balance in this world.\No way...\And when Angel lost her position, he obtained the freedom to do what he wants with this world.\I don't know what his objective is yet, but we've started battle against him.\It's a terrible fight like you've never seen.\He knows we won't harm ordinary students, so he's using them as shields and hostages. response:	We have no choice but to submit.
context: He acted like an exemplary student publicly, but in the shadows he was doing terrible things.\That's how he maintained his balance in this world.\No way...\And when Angel lost her position, he obtained the freedom to do what he wants with this world.\I don't know what his objective is yet, but we've started battle against him.\It's a terrible fight like you've never seen.\He knows we won't harm ordinary students, so he's using them as shields and hostages.\We have no choice but to submit. response:	It's turned into a one - sided massacre.
context: That's how he maintained his balance in this world.\No way...\And when Angel lost her position, he obtained the freedom to do what he wants with this world.\I don't know what his objective is yet, but we've started battle against him.\It's a terrible fight like you've never seen.\He knows we won't harm ordinary students, so he's using them as shields and hostages.\We have no choice but to submit.\It's turned into a one - sided massacre. response:	Our friends are falling one after another.
context: No way...\And when Angel lost her position, he obtained the freedom to do what he wants with this world.\I don't know what his objective is yet, but we've started battle against him.\It's a terrible fight like you've never seen.\He knows we won't harm ordinary students, so he's using them as shields and hostages.\We have no choice but to submit.\It's turned into a one - sided massacre.\Our friends are falling one after another. response:	I think Angel's been imprisoned somewhere.
context: And when Angel lost her position, he obtained the freedom to do what he wants with this world.\I don't know what his objective is yet, but we've started battle against him.\It's a terrible fight like you've never seen.\He knows we won't harm ordinary students, so he's using them as shields and hostages.\We have no choice but to submit.\It's turned into a one - sided massacre.\Our friends are falling one after another.\I think Angel's been imprisoned somewhere. response:	We went to the reflection room to find her, but she wasn't there.
context: I don't know what his objective is yet, but we've started battle against him.\It's a terrible fight like you've never seen.\He knows we won't harm ordinary students, so he's using them as shields and hostages.\We have no choice but to submit.\It's turned into a one - sided massacre.\Our friends are falling one after another.\I think Angel's been imprisoned somewhere.\We went to the reflection room to find her, but she wasn't there. response:	I think they put her in a different place, one not so easy to release her from.
context: It's a terrible fight like you've never seen.\He knows we won't harm ordinary students, so he's using them as shields and hostages.\We have no choice but to submit.\It's turned into a one - sided massacre.\Our friends are falling one after another.\I think Angel's been imprisoned somewhere.\We went to the reflection room to find her, but she wasn't there.\I think they put her in a different place, one not so easy to release her from. response:	And so I thought, maybe you're with her right now?
context: He knows we won't harm ordinary students, so he's using them as shields and hostages.\We have no choice but to submit.\It's turned into a one - sided massacre.\Our friends are falling one after another.\I think Angel's been imprisoned somewhere.\We went to the reflection room to find her, but she wasn't there.\I think they put her in a different place, one not so easy to release her from.\And so I thought, maybe you're with her right now? response:	Otonashi - kun...
context: We have no choice but to submit.\It's turned into a one - sided massacre.\Our friends are falling one after another.\I think Angel's been imprisoned somewhere.\We went to the reflection room to find her, but she wasn't there.\I think they put her in a different place, one not so easy to release her from.\And so I thought, maybe you're with her right now?\Otonashi - kun... response:	Get Angel out.
context: It's turned into a one - sided massacre.\Our friends are falling one after another.\I think Angel's been imprisoned somewhere.\We went to the reflection room to find her, but she wasn't there.\I think they put her in a different place, one not so easy to release her from.\And so I thought, maybe you're with her right now?\Otonashi - kun...\Get Angel out. response:	We need her to stop this terrible fight.
context: Our friends are falling one after another.\I think Angel's been imprisoned somewhere.\We went to the reflection room to find her, but she wasn't there.\I think they put her in a different place, one not so easy to release her from.\And so I thought, maybe you're with her right now?\Otonashi - kun...\Get Angel out.\We need her to stop this terrible fight. response:	There's no time left.
context: I think Angel's been imprisoned somewhere.\We went to the reflection room to find her, but she wasn't there.\I think they put her in a different place, one not so easy to release her from.\And so I thought, maybe you're with her right now?\Otonashi - kun...\Get Angel out.\We need her to stop this terrible fight.\There's no time left. response:	Come to the grounds.
context: We went to the reflection room to find her, but she wasn't there.\I think they put her in a different place, one not so easy to release her from.\And so I thought, maybe you're with her right now?\Otonashi - kun...\Get Angel out.\We need her to stop this terrible fight.\There's no time left.\Come to the grounds. response:	I'm heading out now too.
context: I think they put her in a different place, one not so easy to release her from.\And so I thought, maybe you're with her right now?\Otonashi - kun...\Get Angel out.\We need her to stop this terrible fight.\There's no time left.\Come to the grounds.\I'm heading out now too. response:	Be careful!
context: And so I thought, maybe you're with her right now?\Otonashi - kun...\Get Angel out.\We need her to stop this terrible fight.\There's no time left.\Come to the grounds.\I'm heading out now too.\Be careful! response:	Dammit!
context: Otonashi - kun...\Get Angel out.\We need her to stop this terrible fight.\There's no time left.\Come to the grounds.\I'm heading out now too.\Be careful!\Dammit! response:	Why am I here at a time like this?
context: Get Angel out.\We need her to stop this terrible fight.\There's no time left.\Come to the grounds.\I'm heading out now too.\Be careful!\Dammit!\Why am I here at a time like this? response:	Wake up, Tachibana!
context: We need her to stop this terrible fight.\There's no time left.\Come to the grounds.\I'm heading out now too.\Be careful!\Dammit!\Why am I here at a time like this?\Wake up, Tachibana! response:	Help us!
context: There's no time left.\Come to the grounds.\I'm heading out now too.\Be careful!\Dammit!\Why am I here at a time like this?\Wake up, Tachibana!\Help us! response:	My friends are in trouble!
context: Come to the grounds.\I'm heading out now too.\Be careful!\Dammit!\Why am I here at a time like this?\Wake up, Tachibana!\Help us!\My friends are in trouble! response:	That's a strange thing to say.
context: I'm heading out now too.\Be careful!\Dammit!\Why am I here at a time like this?\Wake up, Tachibana!\Help us!\My friends are in trouble!\That's a strange thing to say. response:	Aren't we the ones in trouble?
context: Be careful!\Dammit!\Why am I here at a time like this?\Wake up, Tachibana!\Help us!\My friends are in trouble!\That's a strange thing to say.\Aren't we the ones in trouble? response:	Yeah, I know that well enough.
context: Dammit!\Why am I here at a time like this?\Wake up, Tachibana!\Help us!\My friends are in trouble!\That's a strange thing to say.\Aren't we the ones in trouble?\Yeah, I know that well enough. response:	But I'm sure you can do it!
context: Why am I here at a time like this?\Wake up, Tachibana!\Help us!\My friends are in trouble!\That's a strange thing to say.\Aren't we the ones in trouble?\Yeah, I know that well enough.\But I'm sure you can do it! response:	Please!
context: Wake up, Tachibana!\Help us!\My friends are in trouble!\That's a strange thing to say.\Aren't we the ones in trouble?\Yeah, I know that well enough.\But I'm sure you can do it!\Please! response:	Everyone's counting on you!
context: Help us!\My friends are in trouble!\That's a strange thing to say.\Aren't we the ones in trouble?\Yeah, I know that well enough.\But I'm sure you can do it!\Please!\Everyone's counting on you! response:	Guard Skill: Hand Sonic.
context: My friends are in trouble!\That's a strange thing to say.\Aren't we the ones in trouble?\Yeah, I know that well enough.\But I'm sure you can do it!\Please!\Everyone's counting on you!\Guard Skill: Hand Sonic. response:	Can you get through the door with that?
context: That's a strange thing to say.\Aren't we the ones in trouble?\Yeah, I know that well enough.\But I'm sure you can do it!\Please!\Everyone's counting on you!\Guard Skill: Hand Sonic.\Can you get through the door with that? response:	No good, huh...
context: Aren't we the ones in trouble?\Yeah, I know that well enough.\But I'm sure you can do it!\Please!\Everyone's counting on you!\Guard Skill: Hand Sonic.\Can you get through the door with that?\No good, huh... response:	I didn't create it with offense in mind.
context: Yeah, I know that well enough.\But I'm sure you can do it!\Please!\Everyone's counting on you!\Guard Skill: Hand Sonic.\Can you get through the door with that?\No good, huh...\I didn't create it with offense in mind. response:	It's meant for self - defense.
context: But I'm sure you can do it!\Please!\Everyone's counting on you!\Guard Skill: Hand Sonic.\Can you get through the door with that?\No good, huh...\I didn't create it with offense in mind.\It's meant for self - defense. response:	Self - defense?
context: Please!\Everyone's counting on you!\Guard Skill: Hand Sonic.\Can you get through the door with that?\No good, huh...\I didn't create it with offense in mind.\It's meant for self - defense.\Self - defense? response:	Didn't create it with...
context: Everyone's counting on you!\Guard Skill: Hand Sonic.\Can you get through the door with that?\No good, huh...\I didn't create it with offense in mind.\It's meant for self - defense.\Self - defense?\Didn't create it with... response:	Oh yeah!
context: Guard Skill: Hand Sonic.\Can you get through the door with that?\No good, huh...\I didn't create it with offense in mind.\It's meant for self - defense.\Self - defense?\Didn't create it with...\Oh yeah! response:	Do you remember when we first met?
context: Can you get through the door with that?\No good, huh...\I didn't create it with offense in mind.\It's meant for self - defense.\Self - defense?\Didn't create it with...\Oh yeah!\Do you remember when we first met? response:	You stabbed me through the heart and killed me.
context: No good, huh...\I didn't create it with offense in mind.\It's meant for self - defense.\Self - defense?\Didn't create it with...\Oh yeah!\Do you remember when we first met?\You stabbed me through the heart and killed me. response:	Because you asked something weird.
context: I didn't create it with offense in mind.\It's meant for self - defense.\Self - defense?\Didn't create it with...\Oh yeah!\Do you remember when we first met?\You stabbed me through the heart and killed me.\Because you asked something weird. response:	Yeah, but I mistook you for an enemy because of that.
context: It's meant for self - defense.\Self - defense?\Didn't create it with...\Oh yeah!\Do you remember when we first met?\You stabbed me through the heart and killed me.\Because you asked something weird.\Yeah, but I mistook you for an enemy because of that. response:	I don't have my memories,
context: Self - defense?\Didn't create it with...\Oh yeah!\Do you remember when we first met?\You stabbed me through the heart and killed me.\Because you asked something weird.\Yeah, but I mistook you for an enemy because of that.\I don't have my memories, response:	so I don't really have any reason to fight you.
context: Didn't create it with...\Oh yeah!\Do you remember when we first met?\You stabbed me through the heart and killed me.\Because you asked something weird.\Yeah, but I mistook you for an enemy because of that.\I don't have my memories,\so I don't really have any reason to fight you. response:	If I still had my memories...
context: Oh yeah!\Do you remember when we first met?\You stabbed me through the heart and killed me.\Because you asked something weird.\Yeah, but I mistook you for an enemy because of that.\I don't have my memories,\so I don't really have any reason to fight you.\If I still had my memories... response:	If I hadn't asked you that stupid question...
context: Do you remember when we first met?\You stabbed me through the heart and killed me.\Because you asked something weird.\Yeah, but I mistook you for an enemy because of that.\I don't have my memories,\so I don't really have any reason to fight you.\If I still had my memories...\If I hadn't asked you that stupid question... response:	Maybe I'd be your friend in this world.
context: You stabbed me through the heart and killed me.\Because you asked something weird.\Yeah, but I mistook you for an enemy because of that.\I don't have my memories,\so I don't really have any reason to fight you.\If I still had my memories...\If I hadn't asked you that stupid question...\Maybe I'd be your friend in this world. response:	There's no one like that.
context: Because you asked something weird.\Yeah, but I mistook you for an enemy because of that.\I don't have my memories,\so I don't really have any reason to fight you.\If I still had my memories...\If I hadn't asked you that stupid question...\Maybe I'd be your friend in this world.\There's no one like that. response:	It's fine if there are, right?
context: Yeah, but I mistook you for an enemy because of that.\I don't have my memories,\so I don't really have any reason to fight you.\If I still had my memories...\If I hadn't asked you that stupid question...\Maybe I'd be your friend in this world.\There's no one like that.\It's fine if there are, right? response:	There are none.
context: I don't have my memories,\so I don't really have any reason to fight you.\If I still had my memories...\If I hadn't asked you that stupid question...\Maybe I'd be your friend in this world.\There's no one like that.\It's fine if there are, right?\There are none. response:	Even if there were, they'd all disappear.
context: so I don't really have any reason to fight you.\If I still had my memories...\If I hadn't asked you that stupid question...\Maybe I'd be your friend in this world.\There's no one like that.\It's fine if there are, right?\There are none.\Even if there were, they'd all disappear. response:	I see...
context: If I still had my memories...\If I hadn't asked you that stupid question...\Maybe I'd be your friend in this world.\There's no one like that.\It's fine if there are, right?\There are none.\Even if there were, they'd all disappear.\I see... response:	Anyone who befriends her would live a normal school life and eventually disappear from this world...
context: If I hadn't asked you that stupid question...\Maybe I'd be your friend in this world.\There's no one like that.\It's fine if there are, right?\There are none.\Even if there were, they'd all disappear.\I see...\Anyone who befriends her would live a normal school life and eventually disappear from this world... response:	I see.
context: Maybe I'd be your friend in this world.\There's no one like that.\It's fine if there are, right?\There are none.\Even if there were, they'd all disappear.\I see...\Anyone who befriends her would live a normal school life and eventually disappear from this world...\I see. response:	It's almost funny.
context: There's no one like that.\It's fine if there are, right?\There are none.\Even if there were, they'd all disappear.\I see...\Anyone who befriends her would live a normal school life and eventually disappear from this world...\I see.\It's almost funny. response:	That's just too sad, too pitiful...
context: It's fine if there are, right?\There are none.\Even if there were, they'd all disappear.\I see...\Anyone who befriends her would live a normal school life and eventually disappear from this world...\I see.\It's almost funny.\That's just too sad, too pitiful... response:	What kind of system is this?
context: There are none.\Even if there were, they'd all disappear.\I see...\Anyone who befriends her would live a normal school life and eventually disappear from this world...\I see.\It's almost funny.\That's just too sad, too pitiful...\What kind of system is this? response:	Hand sonic, version 2.
context: Even if there were, they'd all disappear.\I see...\Anyone who befriends her would live a normal school life and eventually disappear from this world...\I see.\It's almost funny.\That's just too sad, too pitiful...\What kind of system is this?\Hand sonic, version 2. response:	It's a thinner form for higher speed.
context: I see...\Anyone who befriends her would live a normal school life and eventually disappear from this world...\I see.\It's almost funny.\That's just too sad, too pitiful...\What kind of system is this?\Hand sonic, version 2.\It's a thinner form for higher speed. response:	Version 3.
context: Anyone who befriends her would live a normal school life and eventually disappear from this world...\I see.\It's almost funny.\That's just too sad, too pitiful...\What kind of system is this?\Hand sonic, version 2.\It's a thinner form for higher speed.\Version 3. response:	Inelegant, isn't it?
context: I see.\It's almost funny.\That's just too sad, too pitiful...\What kind of system is this?\Hand sonic, version 2.\It's a thinner form for higher speed.\Version 3.\Inelegant, isn't it? response:	It's pretty cool!
context: It's almost funny.\That's just too sad, too pitiful...\What kind of system is this?\Hand sonic, version 2.\It's a thinner form for higher speed.\Version 3.\Inelegant, isn't it?\It's pretty cool! response:	But I can't open the door with this either.
context: That's just too sad, too pitiful...\What kind of system is this?\Hand sonic, version 2.\It's a thinner form for higher speed.\Version 3.\Inelegant, isn't it?\It's pretty cool!\But I can't open the door with this either. response:	Does it have any other forms?
context: What kind of system is this?\Hand sonic, version 2.\It's a thinner form for higher speed.\Version 3.\Inelegant, isn't it?\It's pretty cool!\But I can't open the door with this either.\Does it have any other forms? response:	Yes, version 4.
context: Hand sonic, version 2.\It's a thinner form for higher speed.\Version 3.\Inelegant, isn't it?\It's pretty cool!\But I can't open the door with this either.\Does it have any other forms?\Yes, version 4. response:	I tried to shape it like a flower, but maybe it looks too cute?
context: It's a thinner form for higher speed.\Version 3.\Inelegant, isn't it?\It's pretty cool!\But I can't open the door with this either.\Does it have any other forms?\Yes, version 4.\I tried to shape it like a flower, but maybe it looks too cute? response:	No, it looks pretty threatening...
context: Version 3.\Inelegant, isn't it?\It's pretty cool!\But I can't open the door with this either.\Does it have any other forms?\Yes, version 4.\I tried to shape it like a flower, but maybe it looks too cute?\No, it looks pretty threatening... response:	That might work...
context: Inelegant, isn't it?\It's pretty cool!\But I can't open the door with this either.\Does it have any other forms?\Yes, version 4.\I tried to shape it like a flower, but maybe it looks too cute?\No, it looks pretty threatening...\That might work... response:	Could you try something?
context: It's pretty cool!\But I can't open the door with this either.\Does it have any other forms?\Yes, version 4.\I tried to shape it like a flower, but maybe it looks too cute?\No, it looks pretty threatening...\That might work...\Could you try something? response:	Hand sonic version 2.
context: But I can't open the door with this either.\Does it have any other forms?\Yes, version 4.\I tried to shape it like a flower, but maybe it looks too cute?\No, it looks pretty threatening...\That might work...\Could you try something?\Hand sonic version 2. response:	Version 3.
context: Does it have any other forms?\Yes, version 4.\I tried to shape it like a flower, but maybe it looks too cute?\No, it looks pretty threatening...\That might work...\Could you try something?\Hand sonic version 2.\Version 3. response:	Version 4.
context: Yes, version 4.\I tried to shape it like a flower, but maybe it looks too cute?\No, it looks pretty threatening...\That might work...\Could you try something?\Hand sonic version 2.\Version 3.\Version 4. response:	It'll work!
context: I tried to shape it like a flower, but maybe it looks too cute?\No, it looks pretty threatening...\That might work...\Could you try something?\Hand sonic version 2.\Version 3.\Version 4.\It'll work! response:	Let's hurry!
context: No, it looks pretty threatening...\That might work...\Could you try something?\Hand sonic version 2.\Version 3.\Version 4.\It'll work!\Let's hurry! response:	What on earth is this...
context: That might work...\Could you try something?\Hand sonic version 2.\Version 3.\Version 4.\It'll work!\Let's hurry!\What on earth is this... response:	Hinata!
context: Could you try something?\Hand sonic version 2.\Version 3.\Version 4.\It'll work!\Let's hurry!\What on earth is this...\Hinata! response:	Are you okay? Hinata!
context: Hand sonic version 2.\Version 3.\Version 4.\It'll work!\Let's hurry!\What on earth is this...\Hinata!\Are you okay? Hinata! response:	Running straight to me first...
context: Version 3.\Version 4.\It'll work!\Let's hurry!\What on earth is this...\Hinata!\Are you okay? Hinata!\Running straight to me first... response:	Are you...
context: Version 4.\It'll work!\Let's hurry!\What on earth is this...\Hinata!\Are you okay? Hinata!\Running straight to me first...\Are you... response:	Now's not the time for jokes!
context: It'll work!\Let's hurry!\What on earth is this...\Hinata!\Are you okay? Hinata!\Running straight to me first...\Are you...\Now's not the time for jokes! response:	How did you get out of there?
context: Let's hurry!\What on earth is this...\Hinata!\Are you okay? Hinata!\Running straight to me first...\Are you...\Now's not the time for jokes!\How did you get out of there? response:	I broke the door.
