context: A healthy soul... response:	Are you alright, Sid-kun?
context: Someone's there.\This soul...\There's no mistake about it.\This obscene and horrible sensation...\Papa.\Obscene and horrible sensation?\Pretty amazing that you were able to get out of that magic.\I'm known to be the fastest one to chase a woman's ass. response:	As expected...
context: This soul...\There's no mistake about it.\This obscene and horrible sensation...\Papa.\Obscene and horrible sensation?\Pretty amazing that you were able to get out of that magic.\I'm known to be the fastest one to chase a woman's ass.\As expected... response:	But that's a relief...
context: There's no mistake about it.\This obscene and horrible sensation...\Papa.\Obscene and horrible sensation?\Pretty amazing that you were able to get out of that magic.\I'm known to be the fastest one to chase a woman's ass.\As expected...\But that's a relief... response:	I was worried about how far I could go without a weapon...
context: This obscene and horrible sensation...\Papa.\Obscene and horrible sensation?\Pretty amazing that you were able to get out of that magic.\I'm known to be the fastest one to chase a woman's ass.\As expected...\But that's a relief...\I was worried about how far I could go without a weapon... response:	Senpai, up ahead?
context: Papa.\Obscene and horrible sensation?\Pretty amazing that you were able to get out of that magic.\I'm known to be the fastest one to chase a woman's ass.\As expected...\But that's a relief...\I was worried about how far I could go without a weapon...\Senpai, up ahead? response:	Yeah, they're waiting.
context: Obscene and horrible sensation?\Pretty amazing that you were able to get out of that magic.\I'm known to be the fastest one to chase a woman's ass.\As expected...\But that's a relief...\I was worried about how far I could go without a weapon...\Senpai, up ahead?\Yeah, they're waiting. response:	Everyone...
context: Pretty amazing that you were able to get out of that magic.\I'm known to be the fastest one to chase a woman's ass.\As expected...\But that's a relief...\I was worried about how far I could go without a weapon...\Senpai, up ahead?\Yeah, they're waiting.\Everyone... response:	From here on there's no telling what could happen.
context: I'm known to be the fastest one to chase a woman's ass.\As expected...\But that's a relief...\I was worried about how far I could go without a weapon...\Senpai, up ahead?\Yeah, they're waiting.\Everyone...\From here on there's no telling what could happen. response:	The weapons must not return to their human form no matter what.
context: As expected...\But that's a relief...\I was worried about how far I could go without a weapon...\Senpai, up ahead?\Yeah, they're waiting.\Everyone...\From here on there's no telling what could happen.\The weapons must not return to their human form no matter what. response:	There's a chance that a single attack may take your life.
context: But that's a relief...\I was worried about how far I could go without a weapon...\Senpai, up ahead?\Yeah, they're waiting.\Everyone...\From here on there's no telling what could happen.\The weapons must not return to their human form no matter what.\There's a chance that a single attack may take your life. response:	Yes.
context: I was worried about how far I could go without a weapon...\Senpai, up ahead?\Yeah, they're waiting.\Everyone...\From here on there's no telling what could happen.\The weapons must not return to their human form no matter what.\There's a chance that a single attack may take your life.\Yes. response:	Yes.
context: Senpai, up ahead?\Yeah, they're waiting.\Everyone...\From here on there's no telling what could happen.\The weapons must not return to their human form no matter what.\There's a chance that a single attack may take your life.\Yes.\Yes. response:	Yes!
context: Yeah, they're waiting.\Everyone...\From here on there's no telling what could happen.\The weapons must not return to their human form no matter what.\There's a chance that a single attack may take your life.\Yes.\Yes.\Yes! response:	They're waiting ahead of this? Aren't they headed to the Kishin?
context: Everyone...\From here on there's no telling what could happen.\The weapons must not return to their human form no matter what.\There's a chance that a single attack may take your life.\Yes.\Yes.\Yes!\They're waiting ahead of this? Aren't they headed to the Kishin? response:	They're waiting ahead of this? Aren't they headed to the Kishin?
context: From here on there's no telling what could happen.\The weapons must not return to their human form no matter what.\There's a chance that a single attack may take your life.\Yes.\Yes.\Yes!\They're waiting ahead of this? Aren't they headed to the Kishin?\They're waiting ahead of this? Aren't they headed to the Kishin? response:	No, they shouldn't all be headed there...
context: The weapons must not return to their human form no matter what.\There's a chance that a single attack may take your life.\Yes.\Yes.\Yes!\They're waiting ahead of this? Aren't they headed to the Kishin?\They're waiting ahead of this? Aren't they headed to the Kishin?\No, they shouldn't all be headed there... response:	Oi, can't you hear something?
context: There's a chance that a single attack may take your life.\Yes.\Yes.\Yes!\They're waiting ahead of this? Aren't they headed to the Kishin?\They're waiting ahead of this? Aren't they headed to the Kishin?\No, they shouldn't all be headed there...\Oi, can't you hear something? response:	Really?
context: Yes.\Yes.\Yes!\They're waiting ahead of this? Aren't they headed to the Kishin?\They're waiting ahead of this? Aren't they headed to the Kishin?\No, they shouldn't all be headed there...\Oi, can't you hear something?\Really? response:	I can hear it...
context: Yes.\Yes!\They're waiting ahead of this? Aren't they headed to the Kishin?\They're waiting ahead of this? Aren't they headed to the Kishin?\No, they shouldn't all be headed there...\Oi, can't you hear something?\Really?\I can hear it... response:	It seems like footsteps.
context: Yes!\They're waiting ahead of this? Aren't they headed to the Kishin?\They're waiting ahead of this? Aren't they headed to the Kishin?\No, they shouldn't all be headed there...\Oi, can't you hear something?\Really?\I can hear it...\It seems like footsteps. response:	Yeah, looks like they're finally coming.
context: They're waiting ahead of this? Aren't they headed to the Kishin?\They're waiting ahead of this? Aren't they headed to the Kishin?\No, they shouldn't all be headed there...\Oi, can't you hear something?\Really?\I can hear it...\It seems like footsteps.\Yeah, looks like they're finally coming. response:	Who could it be?
context: They're waiting ahead of this? Aren't they headed to the Kishin?\No, they shouldn't all be headed there...\Oi, can't you hear something?\Really?\I can hear it...\It seems like footsteps.\Yeah, looks like they're finally coming.\Who could it be? response:	One who's confident of not being ganged up on...
context: No, they shouldn't all be headed there...\Oi, can't you hear something?\Really?\I can hear it...\It seems like footsteps.\Yeah, looks like they're finally coming.\Who could it be?\One who's confident of not being ganged up on... response:	And is also able to attack and hold back those few enemies.
context: Oi, can't you hear something?\Really?\I can hear it...\It seems like footsteps.\Yeah, looks like they're finally coming.\Who could it be?\One who's confident of not being ganged up on...\And is also able to attack and hold back those few enemies. response:	I figured it would be you guys.
context: Really?\I can hear it...\It seems like footsteps.\Yeah, looks like they're finally coming.\Who could it be?\One who's confident of not being ganged up on...\And is also able to attack and hold back those few enemies.\I figured it would be you guys. response:	I'm going to give you guys a little plan of mine.
context: I can hear it...\It seems like footsteps.\Yeah, looks like they're finally coming.\Who could it be?\One who's confident of not being ganged up on...\And is also able to attack and hold back those few enemies.\I figured it would be you guys.\I'm going to give you guys a little plan of mine. response:	I can somewhat predict this plan of theirs.
context: It seems like footsteps.\Yeah, looks like they're finally coming.\Who could it be?\One who's confident of not being ganged up on...\And is also able to attack and hold back those few enemies.\I figured it would be you guys.\I'm going to give you guys a little plan of mine.\I can somewhat predict this plan of theirs. response:	The first one to prevent us from going on is Medusa.
context: Yeah, looks like they're finally coming.\Who could it be?\One who's confident of not being ganged up on...\And is also able to attack and hold back those few enemies.\I figured it would be you guys.\I'm going to give you guys a little plan of mine.\I can somewhat predict this plan of theirs.\The first one to prevent us from going on is Medusa. response:	And once you pass her there's the second obstacle, the Devil Sword.
context: Who could it be?\One who's confident of not being ganged up on...\And is also able to attack and hold back those few enemies.\I figured it would be you guys.\I'm going to give you guys a little plan of mine.\I can somewhat predict this plan of theirs.\The first one to prevent us from going on is Medusa.\And once you pass her there's the second obstacle, the Devil Sword. response:	And the remaining two should be heading toward the Kishin.
context: One who's confident of not being ganged up on...\And is also able to attack and hold back those few enemies.\I figured it would be you guys.\I'm going to give you guys a little plan of mine.\I can somewhat predict this plan of theirs.\The first one to prevent us from going on is Medusa.\And once you pass her there's the second obstacle, the Devil Sword.\And the remaining two should be heading toward the Kishin. response:	The werewolf Maka met before should be using...
context: And is also able to attack and hold back those few enemies.\I figured it would be you guys.\I'm going to give you guys a little plan of mine.\I can somewhat predict this plan of theirs.\The first one to prevent us from going on is Medusa.\And once you pass her there's the second obstacle, the Devil Sword.\And the remaining two should be heading toward the Kishin.\The werewolf Maka met before should be using... response:	So for the moves that we will be making...
context: I figured it would be you guys.\I'm going to give you guys a little plan of mine.\I can somewhat predict this plan of theirs.\The first one to prevent us from going on is Medusa.\And once you pass her there's the second obstacle, the Devil Sword.\And the remaining two should be heading toward the Kishin.\The werewolf Maka met before should be using...\So for the moves that we will be making... response:	First I will take care of Medusa.
context: I'm going to give you guys a little plan of mine.\I can somewhat predict this plan of theirs.\The first one to prevent us from going on is Medusa.\And once you pass her there's the second obstacle, the Devil Sword.\And the remaining two should be heading toward the Kishin.\The werewolf Maka met before should be using...\So for the moves that we will be making...\First I will take care of Medusa. response:	The three of you pass Medusa as soon as possible.
context: I can somewhat predict this plan of theirs.\The first one to prevent us from going on is Medusa.\And once you pass her there's the second obstacle, the Devil Sword.\And the remaining two should be heading toward the Kishin.\The werewolf Maka met before should be using...\So for the moves that we will be making...\First I will take care of Medusa.\The three of you pass Medusa as soon as possible. response:	Out of all of us, the one with the most mobility is Kid-kun.
context: The first one to prevent us from going on is Medusa.\And once you pass her there's the second obstacle, the Devil Sword.\And the remaining two should be heading toward the Kishin.\The werewolf Maka met before should be using...\So for the moves that we will be making...\First I will take care of Medusa.\The three of you pass Medusa as soon as possible.\Out of all of us, the one with the most mobility is Kid-kun. response:	You will be going after the two heading toward the Kishin.
context: And once you pass her there's the second obstacle, the Devil Sword.\And the remaining two should be heading toward the Kishin.\The werewolf Maka met before should be using...\So for the moves that we will be making...\First I will take care of Medusa.\The three of you pass Medusa as soon as possible.\Out of all of us, the one with the most mobility is Kid-kun.\You will be going after the two heading toward the Kishin. response:	Understood.
context: And the remaining two should be heading toward the Kishin.\The werewolf Maka met before should be using...\So for the moves that we will be making...\First I will take care of Medusa.\The three of you pass Medusa as soon as possible.\Out of all of us, the one with the most mobility is Kid-kun.\You will be going after the two heading toward the Kishin.\Understood. response:	Black Star's job is to hold down the Devil Sword so Kid and Maka can go on.
context: The werewolf Maka met before should be using...\So for the moves that we will be making...\First I will take care of Medusa.\The three of you pass Medusa as soon as possible.\Out of all of us, the one with the most mobility is Kid-kun.\You will be going after the two heading toward the Kishin.\Understood.\Black Star's job is to hold down the Devil Sword so Kid and Maka can go on. response:	Since you're good at pounding soul waves, you're the only one who can damage her.
context: So for the moves that we will be making...\First I will take care of Medusa.\The three of you pass Medusa as soon as possible.\Out of all of us, the one with the most mobility is Kid-kun.\You will be going after the two heading toward the Kishin.\Understood.\Black Star's job is to hold down the Devil Sword so Kid and Maka can go on.\Since you're good at pounding soul waves, you're the only one who can damage her. response:	Yeah.
context: First I will take care of Medusa.\The three of you pass Medusa as soon as possible.\Out of all of us, the one with the most mobility is Kid-kun.\You will be going after the two heading toward the Kishin.\Understood.\Black Star's job is to hold down the Devil Sword so Kid and Maka can go on.\Since you're good at pounding soul waves, you're the only one who can damage her.\Yeah. response:	And Maka.
context: The three of you pass Medusa as soon as possible.\Out of all of us, the one with the most mobility is Kid-kun.\You will be going after the two heading toward the Kishin.\Understood.\Black Star's job is to hold down the Devil Sword so Kid and Maka can go on.\Since you're good at pounding soul waves, you're the only one who can damage her.\Yeah.\And Maka. response:	You'll pass both Medusa and the Evil Sword, catch up with Kid,
context: Out of all of us, the one with the most mobility is Kid-kun.\You will be going after the two heading toward the Kishin.\Understood.\Black Star's job is to hold down the Devil Sword so Kid and Maka can go on.\Since you're good at pounding soul waves, you're the only one who can damage her.\Yeah.\And Maka.\You'll pass both Medusa and the Evil Sword, catch up with Kid, response:	Yes.
context: You will be going after the two heading toward the Kishin.\Understood.\Black Star's job is to hold down the Devil Sword so Kid and Maka can go on.\Since you're good at pounding soul waves, you're the only one who can damage her.\Yeah.\And Maka.\You'll pass both Medusa and the Evil Sword, catch up with Kid,\Yes. response:	Finally, everyone...
context: Understood.\Black Star's job is to hold down the Devil Sword so Kid and Maka can go on.\Since you're good at pounding soul waves, you're the only one who can damage her.\Yeah.\And Maka.\You'll pass both Medusa and the Evil Sword, catch up with Kid,\Yes.\Finally, everyone... response:	Keep this in mind...
context: Black Star's job is to hold down the Devil Sword so Kid and Maka can go on.\Since you're good at pounding soul waves, you're the only one who can damage her.\Yeah.\And Maka.\You'll pass both Medusa and the Evil Sword, catch up with Kid,\Yes.\Finally, everyone...\Keep this in mind... response:	Don't lose your life.
context: Since you're good at pounding soul waves, you're the only one who can damage her.\Yeah.\And Maka.\You'll pass both Medusa and the Evil Sword, catch up with Kid,\Yes.\Finally, everyone...\Keep this in mind...\Don't lose your life. response:	Got that?
context: Yeah.\And Maka.\You'll pass both Medusa and the Evil Sword, catch up with Kid,\Yes.\Finally, everyone...\Keep this in mind...\Don't lose your life.\Got that? response:	Yes!
context: And Maka.\You'll pass both Medusa and the Evil Sword, catch up with Kid,\Yes.\Finally, everyone...\Keep this in mind...\Don't lose your life.\Got that?\Yes! response:	A strategy meeting right in front of the enemy?
context: You'll pass both Medusa and the Evil Sword, catch up with Kid,\Yes.\Finally, everyone...\Keep this in mind...\Don't lose your life.\Got that?\Yes!\A strategy meeting right in front of the enemy? response:	I can hear it loud and clear.
context: Yes.\Finally, everyone...\Keep this in mind...\Don't lose your life.\Got that?\Yes!\A strategy meeting right in front of the enemy?\I can hear it loud and clear. response:	My, you're Shibusen's nurse, right?
context: Finally, everyone...\Keep this in mind...\Don't lose your life.\Got that?\Yes!\A strategy meeting right in front of the enemy?\I can hear it loud and clear.\My, you're Shibusen's nurse, right? response:	You wise guy...
context: Keep this in mind...\Don't lose your life.\Got that?\Yes!\A strategy meeting right in front of the enemy?\I can hear it loud and clear.\My, you're Shibusen's nurse, right?\You wise guy... response:	Very well...
context: Don't lose your life.\Got that?\Yes!\A strategy meeting right in front of the enemy?\I can hear it loud and clear.\My, you're Shibusen's nurse, right?\You wise guy...\Very well... response:	Shall we begin?
context: Got that?\Yes!\A strategy meeting right in front of the enemy?\I can hear it loud and clear.\My, you're Shibusen's nurse, right?\You wise guy...\Very well...\Shall we begin? response:	Nake, Snake, Cobra, Cobabara...
context: Yes!\A strategy meeting right in front of the enemy?\I can hear it loud and clear.\My, you're Shibusen's nurse, right?\You wise guy...\Very well...\Shall we begin?\Nake, Snake, Cobra, Cobabara... response:	Nake, Snake, Cobra, Cobabara...
context: A strategy meeting right in front of the enemy?\I can hear it loud and clear.\My, you're Shibusen's nurse, right?\You wise guy...\Very well...\Shall we begin?\Nake, Snake, Cobra, Cobabara...\Nake, Snake, Cobra, Cobabara... response:	Now listen, you don't have to try and all go at once...
context: I can hear it loud and clear.\My, you're Shibusen's nurse, right?\You wise guy...\Very well...\Shall we begin?\Nake, Snake, Cobra, Cobabara...\Nake, Snake, Cobra, Cobabara...\Now listen, you don't have to try and all go at once... response:	An opening will definitely come.
context: My, you're Shibusen's nurse, right?\You wise guy...\Very well...\Shall we begin?\Nake, Snake, Cobra, Cobabara...\Nake, Snake, Cobra, Cobabara...\Now listen, you don't have to try and all go at once...\An opening will definitely come. response:	Don't rush it, keep calm.
context: You wise guy...\Very well...\Shall we begin?\Nake, Snake, Cobra, Cobabara...\Nake, Snake, Cobra, Cobabara...\Now listen, you don't have to try and all go at once...\An opening will definitely come.\Don't rush it, keep calm. response:	Here it comes!
context: Very well...\Shall we begin?\Nake, Snake, Cobra, Cobabara...\Nake, Snake, Cobra, Cobabara...\Now listen, you don't have to try and all go at once...\An opening will definitely come.\Don't rush it, keep calm.\Here it comes! response:	Vector Arrow!
context: Shall we begin?\Nake, Snake, Cobra, Cobabara...\Nake, Snake, Cobra, Cobabara...\Now listen, you don't have to try and all go at once...\An opening will definitely come.\Don't rush it, keep calm.\Here it comes!\Vector Arrow! response:	Great calculation!
context: Nake, Snake, Cobra, Cobabara...\Nake, Snake, Cobra, Cobabara...\Now listen, you don't have to try and all go at once...\An opening will definitely come.\Don't rush it, keep calm.\Here it comes!\Vector Arrow!\Great calculation! response:	This is good magic to hold back a few people.
context: Nake, Snake, Cobra, Cobabara...\Now listen, you don't have to try and all go at once...\An opening will definitely come.\Don't rush it, keep calm.\Here it comes!\Vector Arrow!\Great calculation!\This is good magic to hold back a few people. response:	Plus its power is stronger than the last time.
context: Now listen, you don't have to try and all go at once...\An opening will definitely come.\Don't rush it, keep calm.\Here it comes!\Vector Arrow!\Great calculation!\This is good magic to hold back a few people.\Plus its power is stronger than the last time. response:	Liz, if you're scared, go to sleep!
context: An opening will definitely come.\Don't rush it, keep calm.\Here it comes!\Vector Arrow!\Great calculation!\This is good magic to hold back a few people.\Plus its power is stronger than the last time.\Liz, if you're scared, go to sleep! response:	Yeah.
context: Don't rush it, keep calm.\Here it comes!\Vector Arrow!\Great calculation!\This is good magic to hold back a few people.\Plus its power is stronger than the last time.\Liz, if you're scared, go to sleep!\Yeah. response:	I'm not going to hold back!
context: Here it comes!\Vector Arrow!\Great calculation!\This is good magic to hold back a few people.\Plus its power is stronger than the last time.\Liz, if you're scared, go to sleep!\Yeah.\I'm not going to hold back! response:	Tsubaki, Demon Blade mode!
context: Vector Arrow!\Great calculation!\This is good magic to hold back a few people.\Plus its power is stronger than the last time.\Liz, if you're scared, go to sleep!\Yeah.\I'm not going to hold back!\Tsubaki, Demon Blade mode! response:	Yes!
context: Great calculation!\This is good magic to hold back a few people.\Plus its power is stronger than the last time.\Liz, if you're scared, go to sleep!\Yeah.\I'm not going to hold back!\Tsubaki, Demon Blade mode!\Yes! response:	Impertinent kids are to be punished!
context: This is good magic to hold back a few people.\Plus its power is stronger than the last time.\Liz, if you're scared, go to sleep!\Yeah.\I'm not going to hold back!\Tsubaki, Demon Blade mode!\Yes!\Impertinent kids are to be punished! response:	Death Slide!
context: Plus its power is stronger than the last time.\Liz, if you're scared, go to sleep!\Yeah.\I'm not going to hold back!\Tsubaki, Demon Blade mode!\Yes!\Impertinent kids are to be punished!\Death Slide! response:	Alright!
context: Liz, if you're scared, go to sleep!\Yeah.\I'm not going to hold back!\Tsubaki, Demon Blade mode!\Yes!\Impertinent kids are to be punished!\Death Slide!\Alright! response:	We're through!
context: Yeah.\I'm not going to hold back!\Tsubaki, Demon Blade mode!\Yes!\Impertinent kids are to be punished!\Death Slide!\Alright!\We're through! response:	Maka, Black Star, I'll be going on ahead.
context: I'm not going to hold back!\Tsubaki, Demon Blade mode!\Yes!\Impertinent kids are to be punished!\Death Slide!\Alright!\We're through!\Maka, Black Star, I'll be going on ahead. response:	Tsubaki!
context: Tsubaki, Demon Blade mode!\Yes!\Impertinent kids are to be punished!\Death Slide!\Alright!\We're through!\Maka, Black Star, I'll be going on ahead.\Tsubaki! response:	Yes!
context: Yes!\Impertinent kids are to be punished!\Death Slide!\Alright!\We're through!\Maka, Black Star, I'll be going on ahead.\Tsubaki!\Yes! response:	Damn it!
context: Impertinent kids are to be punished!\Death Slide!\Alright!\We're through!\Maka, Black Star, I'll be going on ahead.\Tsubaki!\Yes!\Damn it! response:	Two of them got through?
context: Death Slide!\Alright!\We're through!\Maka, Black Star, I'll be going on ahead.\Tsubaki!\Yes!\Damn it!\Two of them got through? response:	Release Demon Blade mode!
context: Alright!\We're through!\Maka, Black Star, I'll be going on ahead.\Tsubaki!\Yes!\Damn it!\Two of them got through?\Release Demon Blade mode! response:	I gotta hurry on ahead.
context: We're through!\Maka, Black Star, I'll be going on ahead.\Tsubaki!\Yes!\Damn it!\Two of them got through?\Release Demon Blade mode!\I gotta hurry on ahead. response:	Maka, let's follow them!
context: Maka, Black Star, I'll be going on ahead.\Tsubaki!\Yes!\Damn it!\Two of them got through?\Release Demon Blade mode!\I gotta hurry on ahead.\Maka, let's follow them! response:	Yeah!
context: Tsubaki!\Yes!\Damn it!\Two of them got through?\Release Demon Blade mode!\I gotta hurry on ahead.\Maka, let's follow them!\Yeah! response:	All vectors to Maka!
context: Yes!\Damn it!\Two of them got through?\Release Demon Blade mode!\I gotta hurry on ahead.\Maka, let's follow them!\Yeah!\All vectors to Maka! response:	I've seen the movement of this magic before.
context: Damn it!\Two of them got through?\Release Demon Blade mode!\I gotta hurry on ahead.\Maka, let's follow them!\Yeah!\All vectors to Maka!\I've seen the movement of this magic before. response:	Besides...
context: Two of them got through?\Release Demon Blade mode!\I gotta hurry on ahead.\Maka, let's follow them!\Yeah!\All vectors to Maka!\I've seen the movement of this magic before.\Besides... response:	My path was decided from the beginning.
context: Release Demon Blade mode!\I gotta hurry on ahead.\Maka, let's follow them!\Yeah!\All vectors to Maka!\I've seen the movement of this magic before.\Besides...\My path was decided from the beginning. response:	Going through the center!
context: I gotta hurry on ahead.\Maka, let's follow them!\Yeah!\All vectors to Maka!\I've seen the movement of this magic before.\Besides...\My path was decided from the beginning.\Going through the center! response:	Vector Arrows...
context: Maka, let's follow them!\Yeah!\All vectors to Maka!\I've seen the movement of this magic before.\Besides...\My path was decided from the beginning.\Going through the center!\Vector Arrows... response:	If there's a way through them then the middle is the best choice.
context: Yeah!\All vectors to Maka!\I've seen the movement of this magic before.\Besides...\My path was decided from the beginning.\Going through the center!\Vector Arrows...\If there's a way through them then the middle is the best choice. response:	But the center is also where one will feel the arrows' pressure the most.
context: All vectors to Maka!\I've seen the movement of this magic before.\Besides...\My path was decided from the beginning.\Going through the center!\Vector Arrows...\If there's a way through them then the middle is the best choice.\But the center is also where one will feel the arrows' pressure the most. response:	Even a small hesitation could mean losing your life.
context: I've seen the movement of this magic before.\Besides...\My path was decided from the beginning.\Going through the center!\Vector Arrows...\If there's a way through them then the middle is the best choice.\But the center is also where one will feel the arrows' pressure the most.\Even a small hesitation could mean losing your life. response:	If one doesn't make it past them before the arrows gather, it's fatal.
context: Besides...\My path was decided from the beginning.\Going through the center!\Vector Arrows...\If there's a way through them then the middle is the best choice.\But the center is also where one will feel the arrows' pressure the most.\Even a small hesitation could mean losing your life.\If one doesn't make it past them before the arrows gather, it's fatal. response:	Focus only on running!
context: My path was decided from the beginning.\Going through the center!\Vector Arrows...\If there's a way through them then the middle is the best choice.\But the center is also where one will feel the arrows' pressure the most.\Even a small hesitation could mean losing your life.\If one doesn't make it past them before the arrows gather, it's fatal.\Focus only on running! response:	Accelerate to my fullest!
context: Going through the center!\Vector Arrows...\If there's a way through them then the middle is the best choice.\But the center is also where one will feel the arrows' pressure the most.\Even a small hesitation could mean losing your life.\If one doesn't make it past them before the arrows gather, it's fatal.\Focus only on running!\Accelerate to my fullest! response:	Cutting your sense of vision to overcome the fear?
context: Vector Arrows...\If there's a way through them then the middle is the best choice.\But the center is also where one will feel the arrows' pressure the most.\Even a small hesitation could mean losing your life.\If one doesn't make it past them before the arrows gather, it's fatal.\Focus only on running!\Accelerate to my fullest!\Cutting your sense of vision to overcome the fear? response:	The arrows' sounds are getting closer.
context: If there's a way through them then the middle is the best choice.\But the center is also where one will feel the arrows' pressure the most.\Even a small hesitation could mean losing your life.\If one doesn't make it past them before the arrows gather, it's fatal.\Focus only on running!\Accelerate to my fullest!\Cutting your sense of vision to overcome the fear?\The arrows' sounds are getting closer. response:	Maka!
context: But the center is also where one will feel the arrows' pressure the most.\Even a small hesitation could mean losing your life.\If one doesn't make it past them before the arrows gather, it's fatal.\Focus only on running!\Accelerate to my fullest!\Cutting your sense of vision to overcome the fear?\The arrows' sounds are getting closer.\Maka! response:	Dammit, the worst case scenario is being created.
context: Even a small hesitation could mean losing your life.\If one doesn't make it past them before the arrows gather, it's fatal.\Focus only on running!\Accelerate to my fullest!\Cutting your sense of vision to overcome the fear?\The arrows' sounds are getting closer.\Maka!\Dammit, the worst case scenario is being created. response:	My legs feel so heavy because I'm afraid.
context: If one doesn't make it past them before the arrows gather, it's fatal.\Focus only on running!\Accelerate to my fullest!\Cutting your sense of vision to overcome the fear?\The arrows' sounds are getting closer.\Maka!\Dammit, the worst case scenario is being created.\My legs feel so heavy because I'm afraid. response:	No! That's why I can give it my all!
context: Focus only on running!\Accelerate to my fullest!\Cutting your sense of vision to overcome the fear?\The arrows' sounds are getting closer.\Maka!\Dammit, the worst case scenario is being created.\My legs feel so heavy because I'm afraid.\No! That's why I can give it my all! response:	Speed up!
context: Accelerate to my fullest!\Cutting your sense of vision to overcome the fear?\The arrows' sounds are getting closer.\Maka!\Dammit, the worst case scenario is being created.\My legs feel so heavy because I'm afraid.\No! That's why I can give it my all!\Speed up! response:	I won't lose!!
context: Cutting your sense of vision to overcome the fear?\The arrows' sounds are getting closer.\Maka!\Dammit, the worst case scenario is being created.\My legs feel so heavy because I'm afraid.\No! That's why I can give it my all!\Speed up!\I won't lose!! response:	Well, isn't this interesting?
context: The arrows' sounds are getting closer.\Maka!\Dammit, the worst case scenario is being created.\My legs feel so heavy because I'm afraid.\No! That's why I can give it my all!\Speed up!\I won't lose!!\Well, isn't this interesting? response:	I won't let you...
context: Maka!\Dammit, the worst case scenario is being created.\My legs feel so heavy because I'm afraid.\No! That's why I can give it my all!\Speed up!\I won't lose!!\Well, isn't this interesting?\I won't let you... response:	Soul Purge!
context: Dammit, the worst case scenario is being created.\My legs feel so heavy because I'm afraid.\No! That's why I can give it my all!\Speed up!\I won't lose!!\Well, isn't this interesting?\I won't let you...\Soul Purge! response:	Your opponent is none but me.
context: My legs feel so heavy because I'm afraid.\No! That's why I can give it my all!\Speed up!\I won't lose!!\Well, isn't this interesting?\I won't let you...\Soul Purge!\Your opponent is none but me. response:	Alright.
context: No! That's why I can give it my all!\Speed up!\I won't lose!!\Well, isn't this interesting?\I won't let you...\Soul Purge!\Your opponent is none but me.\Alright. response:	Let's catch up with them.
context: Speed up!\I won't lose!!\Well, isn't this interesting?\I won't let you...\Soul Purge!\Your opponent is none but me.\Alright.\Let's catch up with them. response:	Yeah.
context: I won't lose!!\Well, isn't this interesting?\I won't let you...\Soul Purge!\Your opponent is none but me.\Alright.\Let's catch up with them.\Yeah. response:	What a miscalculation...
context: Well, isn't this interesting?\I won't let you...\Soul Purge!\Your opponent is none but me.\Alright.\Let's catch up with them.\Yeah.\What a miscalculation... response:	I didn't think all three would pass.
context: I won't let you...\Soul Purge!\Your opponent is none but me.\Alright.\Let's catch up with them.\Yeah.\What a miscalculation...\I didn't think all three would pass. response:	But as long as I've held you, Stein, this plan is a success.
context: Soul Purge!\Your opponent is none but me.\Alright.\Let's catch up with them.\Yeah.\What a miscalculation...\I didn't think all three would pass.\But as long as I've held you, Stein, this plan is a success. response:	Even if the three of the go there, it won't be a problem.
context: Your opponent is none but me.\Alright.\Let's catch up with them.\Yeah.\What a miscalculation...\I didn't think all three would pass.\But as long as I've held you, Stein, this plan is a success.\Even if the three of the go there, it won't be a problem. response:	You're better off not underestimating them...
context: Alright.\Let's catch up with them.\Yeah.\What a miscalculation...\I didn't think all three would pass.\But as long as I've held you, Stein, this plan is a success.\Even if the three of the go there, it won't be a problem.\You're better off not underestimating them... response:	What have you been observing at Shibusen until now?
context: Let's catch up with them.\Yeah.\What a miscalculation...\I didn't think all three would pass.\But as long as I've held you, Stein, this plan is a success.\Even if the three of the go there, it won't be a problem.\You're better off not underestimating them...\What have you been observing at Shibusen until now? response:	Are you stupid or something?
context: Yeah.\What a miscalculation...\I didn't think all three would pass.\But as long as I've held you, Stein, this plan is a success.\Even if the three of the go there, it won't be a problem.\You're better off not underestimating them...\What have you been observing at Shibusen until now?\Are you stupid or something? response:	Youngster...
context: What a miscalculation...\I didn't think all three would pass.\But as long as I've held you, Stein, this plan is a success.\Even if the three of the go there, it won't be a problem.\You're better off not underestimating them...\What have you been observing at Shibusen until now?\Are you stupid or something?\Youngster... response:	Well, it's alright...
context: I didn't think all three would pass.\But as long as I've held you, Stein, this plan is a success.\Even if the three of the go there, it won't be a problem.\You're better off not underestimating them...\What have you been observing at Shibusen until now?\Are you stupid or something?\Youngster...\Well, it's alright... response:	The Devil Sword awaits them in the next place.
context: But as long as I've held you, Stein, this plan is a success.\Even if the three of the go there, it won't be a problem.\You're better off not underestimating them...\What have you been observing at Shibusen until now?\Are you stupid or something?\Youngster...\Well, it's alright...\The Devil Sword awaits them in the next place. response:	Uh?
context: Even if the three of the go there, it won't be a problem.\You're better off not underestimating them...\What have you been observing at Shibusen until now?\Are you stupid or something?\Youngster...\Well, it's alright...\The Devil Sword awaits them in the next place.\Uh? response:	Oi! Did something just pass by here really fast?
context: You're better off not underestimating them...\What have you been observing at Shibusen until now?\Are you stupid or something?\Youngster...\Well, it's alright...\The Devil Sword awaits them in the next place.\Uh?\Oi! Did something just pass by here really fast? response:	Yeah...
