context: My name is Furuya Hotaru. response:	Today is my first day of high school.
context: I ripped off Senpai's story...\Is that all you've got?\I feel like he taught me all kinds of stuff...\Mars!\I had delicious takoyaki while watching Mars.\My senpai, who just graduated, was, like,\Martians look like octopus, don't they?\So I made takoyaki as we watched Mars. response:	But Senpai stared at Mars the whole time,
context: Is that all you've got?\I feel like he taught me all kinds of stuff...\Mars!\I had delicious takoyaki while watching Mars.\My senpai, who just graduated, was, like,\Martians look like octopus, don't they?\So I made takoyaki as we watched Mars.\But Senpai stared at Mars the whole time, response:	so I scarfed them all down by myself.
context: I feel like he taught me all kinds of stuff...\Mars!\I had delicious takoyaki while watching Mars.\My senpai, who just graduated, was, like,\Martians look like octopus, don't they?\So I made takoyaki as we watched Mars.\But Senpai stared at Mars the whole time,\so I scarfed them all down by myself. response:	This isn't even about stars anymore.
context: Mars!\I had delicious takoyaki while watching Mars.\My senpai, who just graduated, was, like,\Martians look like octopus, don't they?\So I made takoyaki as we watched Mars.\But Senpai stared at Mars the whole time,\so I scarfed them all down by myself.\This isn't even about stars anymore. response:	She must really love the astronomy club.
context: I had delicious takoyaki while watching Mars.\My senpai, who just graduated, was, like,\Martians look like octopus, don't they?\So I made takoyaki as we watched Mars.\But Senpai stared at Mars the whole time,\so I scarfed them all down by myself.\This isn't even about stars anymore.\She must really love the astronomy club. response:	I wish I could be absorbed by something, the way she is.
context: My senpai, who just graduated, was, like,\Martians look like octopus, don't they?\So I made takoyaki as we watched Mars.\But Senpai stared at Mars the whole time,\so I scarfed them all down by myself.\This isn't even about stars anymore.\She must really love the astronomy club.\I wish I could be absorbed by something, the way she is. response:	Come on, Kaga-kun!
context: Martians look like octopus, don't they?\So I made takoyaki as we watched Mars.\But Senpai stared at Mars the whole time,\so I scarfed them all down by myself.\This isn't even about stars anymore.\She must really love the astronomy club.\I wish I could be absorbed by something, the way she is.\Come on, Kaga-kun! response:	I'm sure you'll enjoy it!
context: So I made takoyaki as we watched Mars.\But Senpai stared at Mars the whole time,\so I scarfed them all down by myself.\This isn't even about stars anymore.\She must really love the astronomy club.\I wish I could be absorbed by something, the way she is.\Come on, Kaga-kun!\I'm sure you'll enjoy it! response:	There isn't really anything that I'm drawn to.
context: But Senpai stared at Mars the whole time,\so I scarfed them all down by myself.\This isn't even about stars anymore.\She must really love the astronomy club.\I wish I could be absorbed by something, the way she is.\Come on, Kaga-kun!\I'm sure you'll enjoy it!\There isn't really anything that I'm drawn to. response:	I was sick of being such a boring person,
context: so I scarfed them all down by myself.\This isn't even about stars anymore.\She must really love the astronomy club.\I wish I could be absorbed by something, the way she is.\Come on, Kaga-kun!\I'm sure you'll enjoy it!\There isn't really anything that I'm drawn to.\I was sick of being such a boring person, response:	so I'd been looking for something to like.
context: This isn't even about stars anymore.\She must really love the astronomy club.\I wish I could be absorbed by something, the way she is.\Come on, Kaga-kun!\I'm sure you'll enjoy it!\There isn't really anything that I'm drawn to.\I was sick of being such a boring person,\so I'd been looking for something to like. response:	Is this what I've been looking for?
context: She must really love the astronomy club.\I wish I could be absorbed by something, the way she is.\Come on, Kaga-kun!\I'm sure you'll enjoy it!\There isn't really anything that I'm drawn to.\I was sick of being such a boring person,\so I'd been looking for something to like.\Is this what I've been looking for? response:	I don't know.
context: I wish I could be absorbed by something, the way she is.\Come on, Kaga-kun!\I'm sure you'll enjoy it!\There isn't really anything that I'm drawn to.\I was sick of being such a boring person,\so I'd been looking for something to like.\Is this what I've been looking for?\I don't know. response:	But I felt the need to see more of this smile.
context: Come on, Kaga-kun!\I'm sure you'll enjoy it!\There isn't really anything that I'm drawn to.\I was sick of being such a boring person,\so I'd been looking for something to like.\Is this what I've been looking for?\I don't know.\But I felt the need to see more of this smile. response:	Okay.
context: I'm sure you'll enjoy it!\There isn't really anything that I'm drawn to.\I was sick of being such a boring person,\so I'd been looking for something to like.\Is this what I've been looking for?\I don't know.\But I felt the need to see more of this smile.\Okay. response:	Spring
context: There isn't really anything that I'm drawn to.\I was sick of being such a boring person,\so I'd been looking for something to like.\Is this what I've been looking for?\I don't know.\But I felt the need to see more of this smile.\Okay.\Spring response:	Kamine sits next to me.
context: I was sick of being such a boring person,\so I'd been looking for something to like.\Is this what I've been looking for?\I don't know.\But I felt the need to see more of this smile.\Okay.\Spring\Kamine sits next to me. response:	She avoids me a lot.
context: so I'd been looking for something to like.\Is this what I've been looking for?\I don't know.\But I felt the need to see more of this smile.\Okay.\Spring\Kamine sits next to me.\She avoids me a lot. response:	Why?
context: Is this what I've been looking for?\I don't know.\But I felt the need to see more of this smile.\Okay.\Spring\Kamine sits next to me.\She avoids me a lot.\Why? response:	Why?
context: I don't know.\But I felt the need to see more of this smile.\Okay.\Spring\Kamine sits next to me.\She avoids me a lot.\Why?\Why? response:	Contact
context: But I felt the need to see more of this smile.\Okay.\Spring\Kamine sits next to me.\She avoids me a lot.\Why?\Why?\Contact response:	Kamine, aren't you going home?
context: Okay.\Spring\Kamine sits next to me.\She avoids me a lot.\Why?\Why?\Contact\Kamine, aren't you going home? response:	I-I will, soon.
context: Spring\Kamine sits next to me.\She avoids me a lot.\Why?\Why?\Contact\Kamine, aren't you going home?\I-I will, soon. response:	She won't even look at me.
context: Kamine sits next to me.\She avoids me a lot.\Why?\Why?\Contact\Kamine, aren't you going home?\I-I will, soon.\She won't even look at me. response:	Did I do something wrong?
context: She avoids me a lot.\Why?\Why?\Contact\Kamine, aren't you going home?\I-I will, soon.\She won't even look at me.\Did I do something wrong? response:	I'll just go home.
context: Why?\Why?\Contact\Kamine, aren't you going home?\I-I will, soon.\She won't even look at me.\Did I do something wrong?\I'll just go home. response:	G-Gouda-kun!
context: Why?\Contact\Kamine, aren't you going home?\I-I will, soon.\She won't even look at me.\Did I do something wrong?\I'll just go home.\G-Gouda-kun! response:	Wh-What's wrong?!
context: Contact\Kamine, aren't you going home?\I-I will, soon.\She won't even look at me.\Did I do something wrong?\I'll just go home.\G-Gouda-kun!\Wh-What's wrong?! response:	W-Well...
context: Kamine, aren't you going home?\I-I will, soon.\She won't even look at me.\Did I do something wrong?\I'll just go home.\G-Gouda-kun!\Wh-What's wrong?!\W-Well... response:	I just lost a contact lens.
context: I-I will, soon.\She won't even look at me.\Did I do something wrong?\I'll just go home.\G-Gouda-kun!\Wh-What's wrong?!\W-Well...\I just lost a contact lens. response:	So, um...
context: She won't even look at me.\Did I do something wrong?\I'll just go home.\G-Gouda-kun!\Wh-What's wrong?!\W-Well...\I just lost a contact lens.\So, um... response:	I see.
context: Did I do something wrong?\I'll just go home.\G-Gouda-kun!\Wh-What's wrong?!\W-Well...\I just lost a contact lens.\So, um...\I see. response:	I'll take care not to step on it.
context: I'll just go home.\G-Gouda-kun!\Wh-What's wrong?!\W-Well...\I just lost a contact lens.\So, um...\I see.\I'll take care not to step on it. response:	Don't worry.
context: G-Gouda-kun!\Wh-What's wrong?!\W-Well...\I just lost a contact lens.\So, um...\I see.\I'll take care not to step on it.\Don't worry. response:	I want you to help me look for it!
context: Wh-What's wrong?!\W-Well...\I just lost a contact lens.\So, um...\I see.\I'll take care not to step on it.\Don't worry.\I want you to help me look for it! response:	All right.
context: W-Well...\I just lost a contact lens.\So, um...\I see.\I'll take care not to step on it.\Don't worry.\I want you to help me look for it!\All right. response:	Let's look for it.
context: I just lost a contact lens.\So, um...\I see.\I'll take care not to step on it.\Don't worry.\I want you to help me look for it!\All right.\Let's look for it. response:	I guess she doesn't really hate me.
context: So, um...\I see.\I'll take care not to step on it.\Don't worry.\I want you to help me look for it!\All right.\Let's look for it.\I guess she doesn't really hate me. response:	Do you lose your contacts often?
context: I see.\I'll take care not to step on it.\Don't worry.\I want you to help me look for it!\All right.\Let's look for it.\I guess she doesn't really hate me.\Do you lose your contacts often? response:	Sometimes.
context: I'll take care not to step on it.\Don't worry.\I want you to help me look for it!\All right.\Let's look for it.\I guess she doesn't really hate me.\Do you lose your contacts often?\Sometimes. response:	Like when I wipe away my sweat.
context: Don't worry.\I want you to help me look for it!\All right.\Let's look for it.\I guess she doesn't really hate me.\Do you lose your contacts often?\Sometimes.\Like when I wipe away my sweat. response:	You are sweating a lot.
context: I want you to help me look for it!\All right.\Let's look for it.\I guess she doesn't really hate me.\Do you lose your contacts often?\Sometimes.\Like when I wipe away my sweat.\You are sweating a lot. response:	Kamine, is there something that you want to tell me?
context: All right.\Let's look for it.\I guess she doesn't really hate me.\Do you lose your contacts often?\Sometimes.\Like when I wipe away my sweat.\You are sweating a lot.\Kamine, is there something that you want to tell me? response:	I intend to answer to your wishes to the best of my ability.
context: Let's look for it.\I guess she doesn't really hate me.\Do you lose your contacts often?\Sometimes.\Like when I wipe away my sweat.\You are sweating a lot.\Kamine, is there something that you want to tell me?\I intend to answer to your wishes to the best of my ability. response:	So you can tell me anything.
context: I guess she doesn't really hate me.\Do you lose your contacts often?\Sometimes.\Like when I wipe away my sweat.\You are sweating a lot.\Kamine, is there something that you want to tell me?\I intend to answer to your wishes to the best of my ability.\So you can tell me anything. response:	You must already know,
context: Do you lose your contacts often?\Sometimes.\Like when I wipe away my sweat.\You are sweating a lot.\Kamine, is there something that you want to tell me?\I intend to answer to your wishes to the best of my ability.\So you can tell me anything.\You must already know, response:	considering what you've said.
context: Sometimes.\Like when I wipe away my sweat.\You are sweating a lot.\Kamine, is there something that you want to tell me?\I intend to answer to your wishes to the best of my ability.\So you can tell me anything.\You must already know,\considering what you've said. response:	I'm not sure what you might mean.
context: Like when I wipe away my sweat.\You are sweating a lot.\Kamine, is there something that you want to tell me?\I intend to answer to your wishes to the best of my ability.\So you can tell me anything.\You must already know,\considering what you've said.\I'm not sure what you might mean. response:	Did I do something?
context: You are sweating a lot.\Kamine, is there something that you want to tell me?\I intend to answer to your wishes to the best of my ability.\So you can tell me anything.\You must already know,\considering what you've said.\I'm not sure what you might mean.\Did I do something? response:	Remember how you lent me your notebook
context: Kamine, is there something that you want to tell me?\I intend to answer to your wishes to the best of my ability.\So you can tell me anything.\You must already know,\considering what you've said.\I'm not sure what you might mean.\Did I do something?\Remember how you lent me your notebook response:	when I was having a hard time seeing in class because of my eyesight?
context: I intend to answer to your wishes to the best of my ability.\So you can tell me anything.\You must already know,\considering what you've said.\I'm not sure what you might mean.\Did I do something?\Remember how you lent me your notebook\when I was having a hard time seeing in class because of my eyesight? response:	What about that?
context: So you can tell me anything.\You must already know,\considering what you've said.\I'm not sure what you might mean.\Did I do something?\Remember how you lent me your notebook\when I was having a hard time seeing in class because of my eyesight?\What about that? response:	I mean, you're so kind.
context: You must already know,\considering what you've said.\I'm not sure what you might mean.\Did I do something?\Remember how you lent me your notebook\when I was having a hard time seeing in class because of my eyesight?\What about that?\I mean, you're so kind. response:	I guess that was uncalled for.
context: considering what you've said.\I'm not sure what you might mean.\Did I do something?\Remember how you lent me your notebook\when I was having a hard time seeing in class because of my eyesight?\What about that?\I mean, you're so kind.\I guess that was uncalled for. response:	Sorry, I didn't notice.
context: I'm not sure what you might mean.\Did I do something?\Remember how you lent me your notebook\when I was having a hard time seeing in class because of my eyesight?\What about that?\I mean, you're so kind.\I guess that was uncalled for.\Sorry, I didn't notice. response:	No, you don't need to apologize.
context: Did I do something?\Remember how you lent me your notebook\when I was having a hard time seeing in class because of my eyesight?\What about that?\I mean, you're so kind.\I guess that was uncalled for.\Sorry, I didn't notice.\No, you don't need to apologize. response:	Let's find your contact.
context: Remember how you lent me your notebook\when I was having a hard time seeing in class because of my eyesight?\What about that?\I mean, you're so kind.\I guess that was uncalled for.\Sorry, I didn't notice.\No, you don't need to apologize.\Let's find your contact. response:	If I can at least find it for you...
context: when I was having a hard time seeing in class because of my eyesight?\What about that?\I mean, you're so kind.\I guess that was uncalled for.\Sorry, I didn't notice.\No, you don't need to apologize.\Let's find your contact.\If I can at least find it for you... response:	Gouda-kun.
context: What about that?\I mean, you're so kind.\I guess that was uncalled for.\Sorry, I didn't notice.\No, you don't need to apologize.\Let's find your contact.\If I can at least find it for you...\Gouda-kun. response:	Did you find it?
context: I mean, you're so kind.\I guess that was uncalled for.\Sorry, I didn't notice.\No, you don't need to apologize.\Let's find your contact.\If I can at least find it for you...\Gouda-kun.\Did you find it? response:	What's your answer?
context: I guess that was uncalled for.\Sorry, I didn't notice.\No, you don't need to apologize.\Let's find your contact.\If I can at least find it for you...\Gouda-kun.\Did you find it?\What's your answer? response:	My answer?
context: Sorry, I didn't notice.\No, you don't need to apologize.\Let's find your contact.\If I can at least find it for you...\Gouda-kun.\Did you find it?\What's your answer?\My answer? response:	Nothing.
context: No, you don't need to apologize.\Let's find your contact.\If I can at least find it for you...\Gouda-kun.\Did you find it?\What's your answer?\My answer?\Nothing. response:	I just wanted to tell you how I feel.
context: Let's find your contact.\If I can at least find it for you...\Gouda-kun.\Did you find it?\What's your answer?\My answer?\Nothing.\I just wanted to tell you how I feel. response:	Are you asking me to own up?
context: If I can at least find it for you...\Gouda-kun.\Did you find it?\What's your answer?\My answer?\Nothing.\I just wanted to tell you how I feel.\Are you asking me to own up? response:	No way.
context: Gouda-kun.\Did you find it?\What's your answer?\My answer?\Nothing.\I just wanted to tell you how I feel.\Are you asking me to own up?\No way. response:	I just want to know how you feel.
context: Did you find it?\What's your answer?\My answer?\Nothing.\I just wanted to tell you how I feel.\Are you asking me to own up?\No way.\I just want to know how you feel. response:	All right, if that'll make you feel better.
context: What's your answer?\My answer?\Nothing.\I just wanted to tell you how I feel.\Are you asking me to own up?\No way.\I just want to know how you feel.\All right, if that'll make you feel better. response:	I'm sorry.
context: My answer?\Nothing.\I just wanted to tell you how I feel.\Are you asking me to own up?\No way.\I just want to know how you feel.\All right, if that'll make you feel better.\I'm sorry. response:	It's me, not you.
context: Nothing.\I just wanted to tell you how I feel.\Are you asking me to own up?\No way.\I just want to know how you feel.\All right, if that'll make you feel better.\I'm sorry.\It's me, not you. response:	Honestly, it's not easy for me to understand how girls feel.
context: I just wanted to tell you how I feel.\Are you asking me to own up?\No way.\I just want to know how you feel.\All right, if that'll make you feel better.\I'm sorry.\It's me, not you.\Honestly, it's not easy for me to understand how girls feel. response:	No, it's fine.
context: Are you asking me to own up?\No way.\I just want to know how you feel.\All right, if that'll make you feel better.\I'm sorry.\It's me, not you.\Honestly, it's not easy for me to understand how girls feel.\No, it's fine. response:	I'll surely cause you more trouble if I were to be near you.
context: No way.\I just want to know how you feel.\All right, if that'll make you feel better.\I'm sorry.\It's me, not you.\Honestly, it's not easy for me to understand how girls feel.\No, it's fine.\I'll surely cause you more trouble if I were to be near you. response:	If you'll accept me nonetheless, then please.
context: I just want to know how you feel.\All right, if that'll make you feel better.\I'm sorry.\It's me, not you.\Honestly, it's not easy for me to understand how girls feel.\No, it's fine.\I'll surely cause you more trouble if I were to be near you.\If you'll accept me nonetheless, then please. response:	I found your contact!
context: All right, if that'll make you feel better.\I'm sorry.\It's me, not you.\Honestly, it's not easy for me to understand how girls feel.\No, it's fine.\I'll surely cause you more trouble if I were to be near you.\If you'll accept me nonetheless, then please.\I found your contact! response:	Why are you crying?
context: I'm sorry.\It's me, not you.\Honestly, it's not easy for me to understand how girls feel.\No, it's fine.\I'll surely cause you more trouble if I were to be near you.\If you'll accept me nonetheless, then please.\I found your contact!\Why are you crying? response:	Does that mean you'll go out with me?
context: It's me, not you.\Honestly, it's not easy for me to understand how girls feel.\No, it's fine.\I'll surely cause you more trouble if I were to be near you.\If you'll accept me nonetheless, then please.\I found your contact!\Why are you crying?\Does that mean you'll go out with me? response:	Go out?
context: Honestly, it's not easy for me to understand how girls feel.\No, it's fine.\I'll surely cause you more trouble if I were to be near you.\If you'll accept me nonetheless, then please.\I found your contact!\Why are you crying?\Does that mean you'll go out with me?\Go out? response:	Of course, that was implied by what I just said.
context: No, it's fine.\I'll surely cause you more trouble if I were to be near you.\If you'll accept me nonetheless, then please.\I found your contact!\Why are you crying?\Does that mean you'll go out with me?\Go out?\Of course, that was implied by what I just said. response:	Thank you!
context: I'll surely cause you more trouble if I were to be near you.\If you'll accept me nonetheless, then please.\I found your contact!\Why are you crying?\Does that mean you'll go out with me?\Go out?\Of course, that was implied by what I just said.\Thank you! response:	Are you all right? Kamine?
context: If you'll accept me nonetheless, then please.\I found your contact!\Why are you crying?\Does that mean you'll go out with me?\Go out?\Of course, that was implied by what I just said.\Thank you!\Are you all right? Kamine? response:	Am I crazy?
context: I found your contact!\Why are you crying?\Does that mean you'll go out with me?\Go out?\Of course, that was implied by what I just said.\Thank you!\Are you all right? Kamine?\Am I crazy? response:	No, I'm sorry, too.
context: Why are you crying?\Does that mean you'll go out with me?\Go out?\Of course, that was implied by what I just said.\Thank you!\Are you all right? Kamine?\Am I crazy?\No, I'm sorry, too. response:	I still haven't confessed properly, have I?
context: Does that mean you'll go out with me?\Go out?\Of course, that was implied by what I just said.\Thank you!\Are you all right? Kamine?\Am I crazy?\No, I'm sorry, too.\I still haven't confessed properly, have I? response:	What?
context: Go out?\Of course, that was implied by what I just said.\Thank you!\Are you all right? Kamine?\Am I crazy?\No, I'm sorry, too.\I still haven't confessed properly, have I?\What? response:	If there's something you want to tell me, go ahead.
context: Of course, that was implied by what I just said.\Thank you!\Are you all right? Kamine?\Am I crazy?\No, I'm sorry, too.\I still haven't confessed properly, have I?\What?\If there's something you want to tell me, go ahead. response:	I like you.
context: Thank you!\Are you all right? Kamine?\Am I crazy?\No, I'm sorry, too.\I still haven't confessed properly, have I?\What?\If there's something you want to tell me, go ahead.\I like you. response:	It wasn't supposed to rain.
context: Are you all right? Kamine?\Am I crazy?\No, I'm sorry, too.\I still haven't confessed properly, have I?\What?\If there's something you want to tell me, go ahead.\I like you.\It wasn't supposed to rain. response:	Takano.
context: Am I crazy?\No, I'm sorry, too.\I still haven't confessed properly, have I?\What?\If there's something you want to tell me, go ahead.\I like you.\It wasn't supposed to rain.\Takano. response:	No umbrella?
context: No, I'm sorry, too.\I still haven't confessed properly, have I?\What?\If there's something you want to tell me, go ahead.\I like you.\It wasn't supposed to rain.\Takano.\No umbrella? response:	Sugawara-kun is in my class.
context: I still haven't confessed properly, have I?\What?\If there's something you want to tell me, go ahead.\I like you.\It wasn't supposed to rain.\Takano.\No umbrella?\Sugawara-kun is in my class. response:	Rain
context: What?\If there's something you want to tell me, go ahead.\I like you.\It wasn't supposed to rain.\Takano.\No umbrella?\Sugawara-kun is in my class.\Rain response:	I've never really talked to him before.
context: If there's something you want to tell me, go ahead.\I like you.\It wasn't supposed to rain.\Takano.\No umbrella?\Sugawara-kun is in my class.\Rain\I've never really talked to him before. response:	Have mine.
context: I like you.\It wasn't supposed to rain.\Takano.\No umbrella?\Sugawara-kun is in my class.\Rain\I've never really talked to him before.\Have mine. response:	I'll run.
context: It wasn't supposed to rain.\Takano.\No umbrella?\Sugawara-kun is in my class.\Rain\I've never really talked to him before.\Have mine.\I'll run. response:	But...
context: Takano.\No umbrella?\Sugawara-kun is in my class.\Rain\I've never really talked to him before.\Have mine.\I'll run.\But... response:	I felt bad, so we walked home together part way.
context: No umbrella?\Sugawara-kun is in my class.\Rain\I've never really talked to him before.\Have mine.\I'll run.\But...\I felt bad, so we walked home together part way. response:	Sorry.
context: Sugawara-kun is in my class.\Rain\I've never really talked to him before.\Have mine.\I'll run.\But...\I felt bad, so we walked home together part way.\Sorry. response:	It must be embarrassing, walking home with a girl.
context: Rain\I've never really talked to him before.\Have mine.\I'll run.\But...\I felt bad, so we walked home together part way.\Sorry.\It must be embarrassing, walking home with a girl. response:	N-No, it's fine.
context: I've never really talked to him before.\Have mine.\I'll run.\But...\I felt bad, so we walked home together part way.\Sorry.\It must be embarrassing, walking home with a girl.\N-No, it's fine. response:	Not with you.
context: Have mine.\I'll run.\But...\I felt bad, so we walked home together part way.\Sorry.\It must be embarrassing, walking home with a girl.\N-No, it's fine.\Not with you. response:	I guess he means no one would suspect anything if it's just me.
context: I'll run.\But...\I felt bad, so we walked home together part way.\Sorry.\It must be embarrassing, walking home with a girl.\N-No, it's fine.\Not with you.\I guess he means no one would suspect anything if it's just me. response:	That's good.
context: But...\I felt bad, so we walked home together part way.\Sorry.\It must be embarrassing, walking home with a girl.\N-No, it's fine.\Not with you.\I guess he means no one would suspect anything if it's just me.\That's good. response:	Your shoulder's getting wet.
context: I felt bad, so we walked home together part way.\Sorry.\It must be embarrassing, walking home with a girl.\N-No, it's fine.\Not with you.\I guess he means no one would suspect anything if it's just me.\That's good.\Your shoulder's getting wet. response:	Don't worry about me.
context: Sorry.\It must be embarrassing, walking home with a girl.\N-No, it's fine.\Not with you.\I guess he means no one would suspect anything if it's just me.\That's good.\Your shoulder's getting wet.\Don't worry about me. response:	Come closer, then.
context: It must be embarrassing, walking home with a girl.\N-No, it's fine.\Not with you.\I guess he means no one would suspect anything if it's just me.\That's good.\Your shoulder's getting wet.\Don't worry about me.\Come closer, then. response:	Sorry.
context: N-No, it's fine.\Not with you.\I guess he means no one would suspect anything if it's just me.\That's good.\Your shoulder's getting wet.\Don't worry about me.\Come closer, then.\Sorry. response:	A little closer.
context: Not with you.\I guess he means no one would suspect anything if it's just me.\That's good.\Your shoulder's getting wet.\Don't worry about me.\Come closer, then.\Sorry.\A little closer. response:	A-Aren't you embarrassed doing this with a guy?
context: I guess he means no one would suspect anything if it's just me.\That's good.\Your shoulder's getting wet.\Don't worry about me.\Come closer, then.\Sorry.\A little closer.\A-Aren't you embarrassed doing this with a guy? response:	Not really.
context: That's good.\Your shoulder's getting wet.\Don't worry about me.\Come closer, then.\Sorry.\A little closer.\A-Aren't you embarrassed doing this with a guy?\Not really. response:	No one's looking.
context: Your shoulder's getting wet.\Don't worry about me.\Come closer, then.\Sorry.\A little closer.\A-Aren't you embarrassed doing this with a guy?\Not really.\No one's looking. response:	B-But I mean, what if your crush saw you or something?
context: Don't worry about me.\Come closer, then.\Sorry.\A little closer.\A-Aren't you embarrassed doing this with a guy?\Not really.\No one's looking.\B-But I mean, what if your crush saw you or something? response:	I don't really have one.
context: Come closer, then.\Sorry.\A little closer.\A-Aren't you embarrassed doing this with a guy?\Not really.\No one's looking.\B-But I mean, what if your crush saw you or something?\I don't really have one. response:	Why are you grinning?
context: Sorry.\A little closer.\A-Aren't you embarrassed doing this with a guy?\Not really.\No one's looking.\B-But I mean, what if your crush saw you or something?\I don't really have one.\Why are you grinning? response:	I don't know much about dating.
context: A little closer.\A-Aren't you embarrassed doing this with a guy?\Not really.\No one's looking.\B-But I mean, what if your crush saw you or something?\I don't really have one.\Why are you grinning?\I don't know much about dating. response:	What if someone confessed to you, then?
context: A-Aren't you embarrassed doing this with a guy?\Not really.\No one's looking.\B-But I mean, what if your crush saw you or something?\I don't really have one.\Why are you grinning?\I don't know much about dating.\What if someone confessed to you, then? response:	No one would do that.
context: Not really.\No one's looking.\B-But I mean, what if your crush saw you or something?\I don't really have one.\Why are you grinning?\I don't know much about dating.\What if someone confessed to you, then?\No one would do that. response:	Hypothetically.
context: No one's looking.\B-But I mean, what if your crush saw you or something?\I don't really have one.\Why are you grinning?\I don't know much about dating.\What if someone confessed to you, then?\No one would do that.\Hypothetically. response:	What if someone confessed to you?
context: B-But I mean, what if your crush saw you or something?\I don't really have one.\Why are you grinning?\I don't know much about dating.\What if someone confessed to you, then?\No one would do that.\Hypothetically.\What if someone confessed to you? response:	I think I'd turn them down.
context: I don't really have one.\Why are you grinning?\I don't know much about dating.\What if someone confessed to you, then?\No one would do that.\Hypothetically.\What if someone confessed to you?\I think I'd turn them down. response:	Wh-Why?
context: Why are you grinning?\I don't know much about dating.\What if someone confessed to you, then?\No one would do that.\Hypothetically.\What if someone confessed to you?\I think I'd turn them down.\Wh-Why? response:	There has to be something wrong with anyone who'd confess to me.
context: I don't know much about dating.\What if someone confessed to you, then?\No one would do that.\Hypothetically.\What if someone confessed to you?\I think I'd turn them down.\Wh-Why?\There has to be something wrong with anyone who'd confess to me. response:	I'm not cute. I'm gloomy.
context: What if someone confessed to you, then?\No one would do that.\Hypothetically.\What if someone confessed to you?\I think I'd turn them down.\Wh-Why?\There has to be something wrong with anyone who'd confess to me.\I'm not cute. I'm gloomy. response:	Th-That's not true.
context: No one would do that.\Hypothetically.\What if someone confessed to you?\I think I'd turn them down.\Wh-Why?\There has to be something wrong with anyone who'd confess to me.\I'm not cute. I'm gloomy.\Th-That's not true. response:	You're always helping people clean,
context: Hypothetically.\What if someone confessed to you?\I think I'd turn them down.\Wh-Why?\There has to be something wrong with anyone who'd confess to me.\I'm not cute. I'm gloomy.\Th-That's not true.\You're always helping people clean, response:	and you take care of the pupfish.
context: What if someone confessed to you?\I think I'd turn them down.\Wh-Why?\There has to be something wrong with anyone who'd confess to me.\I'm not cute. I'm gloomy.\Th-That's not true.\You're always helping people clean,\and you take care of the pupfish. response:	I know.
context: I think I'd turn them down.\Wh-Why?\There has to be something wrong with anyone who'd confess to me.\I'm not cute. I'm gloomy.\Th-That's not true.\You're always helping people clean,\and you take care of the pupfish.\I know. response:	That's why I...
context: Wh-Why?\There has to be something wrong with anyone who'd confess to me.\I'm not cute. I'm gloomy.\Th-That's not true.\You're always helping people clean,\and you take care of the pupfish.\I know.\That's why I... response:	I'm taking the bus here.
context: There has to be something wrong with anyone who'd confess to me.\I'm not cute. I'm gloomy.\Th-That's not true.\You're always helping people clean,\and you take care of the pupfish.\I know.\That's why I...\I'm taking the bus here. response:	Weren't you about to say something?
context: I'm not cute. I'm gloomy.\Th-That's not true.\You're always helping people clean,\and you take care of the pupfish.\I know.\That's why I...\I'm taking the bus here.\Weren't you about to say something? response:	Oh, no, it was nothing.
context: Th-That's not true.\You're always helping people clean,\and you take care of the pupfish.\I know.\That's why I...\I'm taking the bus here.\Weren't you about to say something?\Oh, no, it was nothing. response:	Okay.
context: You're always helping people clean,\and you take care of the pupfish.\I know.\That's why I...\I'm taking the bus here.\Weren't you about to say something?\Oh, no, it was nothing.\Okay. response:	See you.
context: and you take care of the pupfish.\I know.\That's why I...\I'm taking the bus here.\Weren't you about to say something?\Oh, no, it was nothing.\Okay.\See you. response:	Dating, huh?
context: I know.\That's why I...\I'm taking the bus here.\Weren't you about to say something?\Oh, no, it was nothing.\Okay.\See you.\Dating, huh? response:	I don't think I can.
context: That's why I...\I'm taking the bus here.\Weren't you about to say something?\Oh, no, it was nothing.\Okay.\See you.\Dating, huh?\I don't think I can. response:	Sugawara-kun's really nice.
context: I'm taking the bus here.\Weren't you about to say something?\Oh, no, it was nothing.\Okay.\See you.\Dating, huh?\I don't think I can.\Sugawara-kun's really nice. response:	I'm sure he's popular.
context: Weren't you about to say something?\Oh, no, it was nothing.\Okay.\See you.\Dating, huh?\I don't think I can.\Sugawara-kun's really nice.\I'm sure he's popular. response:	Huh?
context: Oh, no, it was nothing.\Okay.\See you.\Dating, huh?\I don't think I can.\Sugawara-kun's really nice.\I'm sure he's popular.\Huh? response:	What's wrong?
context: Okay.\See you.\Dating, huh?\I don't think I can.\Sugawara-kun's really nice.\I'm sure he's popular.\Huh?\What's wrong? response:	I was about to say something.
context: See you.\Dating, huh?\I don't think I can.\Sugawara-kun's really nice.\I'm sure he's popular.\Huh?\What's wrong?\I was about to say something. response:	I figured I'd finish saying it.
context: Dating, huh?\I don't think I can.\Sugawara-kun's really nice.\I'm sure he's popular.\Huh?\What's wrong?\I was about to say something.\I figured I'd finish saying it. response:	S-So, um, Takano...
context: I don't think I can.\Sugawara-kun's really nice.\I'm sure he's popular.\Huh?\What's wrong?\I was about to say something.\I figured I'd finish saying it.\S-So, um, Takano... response:	I-I like you.
context: Sugawara-kun's really nice.\I'm sure he's popular.\Huh?\What's wrong?\I was about to say something.\I figured I'd finish saying it.\S-So, um, Takano...\I-I like you. response:	Thanks.
