context: My Lord, Xuan Nu fled to Yingzhou yesterday. response:	She has a mortal with her.
context: Please?\All right.\Great.\This is the Yan Zhi I like.\Go to bed. I'll be on watch.\The four mythical beasts Hundun, Qiongqi, Taowu, and Taotie\inherited half of Heavenly Father's powers.\They are very ferocious. response:	Common deities wouldn't dare go near them.
context: All right.\Great.\This is the Yan Zhi I like.\Go to bed. I'll be on watch.\The four mythical beasts Hundun, Qiongqi, Taowu, and Taotie\inherited half of Heavenly Father's powers.\They are very ferocious.\Common deities wouldn't dare go near them. response:	Really? Is it that scary?
context: Great.\This is the Yan Zhi I like.\Go to bed. I'll be on watch.\The four mythical beasts Hundun, Qiongqi, Taowu, and Taotie\inherited half of Heavenly Father's powers.\They are very ferocious.\Common deities wouldn't dare go near them.\Really? Is it that scary? response:	That's good. I'll get to meet them today.
context: This is the Yan Zhi I like.\Go to bed. I'll be on watch.\The four mythical beasts Hundun, Qiongqi, Taowu, and Taotie\inherited half of Heavenly Father's powers.\They are very ferocious.\Common deities wouldn't dare go near them.\Really? Is it that scary?\That's good. I'll get to meet them today. response:	There's a celestial shield here that traps the four beasts in.
context: Go to bed. I'll be on watch.\The four mythical beasts Hundun, Qiongqi, Taowu, and Taotie\inherited half of Heavenly Father's powers.\They are very ferocious.\Common deities wouldn't dare go near them.\Really? Is it that scary?\That's good. I'll get to meet them today.\There's a celestial shield here that traps the four beasts in. response:	They can't get in and out freely.
context: The four mythical beasts Hundun, Qiongqi, Taowu, and Taotie\inherited half of Heavenly Father's powers.\They are very ferocious.\Common deities wouldn't dare go near them.\Really? Is it that scary?\That's good. I'll get to meet them today.\There's a celestial shield here that traps the four beasts in.\They can't get in and out freely. response:	However, once we get inside this cave nothing can stop them.
context: inherited half of Heavenly Father's powers.\They are very ferocious.\Common deities wouldn't dare go near them.\Really? Is it that scary?\That's good. I'll get to meet them today.\There's a celestial shield here that traps the four beasts in.\They can't get in and out freely.\However, once we get inside this cave nothing can stop them. response:	Therefore... wait for me outside the cave.
context: They are very ferocious.\Common deities wouldn't dare go near them.\Really? Is it that scary?\That's good. I'll get to meet them today.\There's a celestial shield here that traps the four beasts in.\They can't get in and out freely.\However, once we get inside this cave nothing can stop them.\Therefore... wait for me outside the cave. response:	No matter what happens and matter what sounds you hear
context: Common deities wouldn't dare go near them.\Really? Is it that scary?\That's good. I'll get to meet them today.\There's a celestial shield here that traps the four beasts in.\They can't get in and out freely.\However, once we get inside this cave nothing can stop them.\Therefore... wait for me outside the cave.\No matter what happens and matter what sounds you hear response:	don't go in there.
context: Really? Is it that scary?\That's good. I'll get to meet them today.\There's a celestial shield here that traps the four beasts in.\They can't get in and out freely.\However, once we get inside this cave nothing can stop them.\Therefore... wait for me outside the cave.\No matter what happens and matter what sounds you hear\don't go in there. response:	If I don't get out before dusk take my second sister-in-law away.
context: That's good. I'll get to meet them today.\There's a celestial shield here that traps the four beasts in.\They can't get in and out freely.\However, once we get inside this cave nothing can stop them.\Therefore... wait for me outside the cave.\No matter what happens and matter what sounds you hear\don't go in there.\If I don't get out before dusk take my second sister-in-law away. response:	You're going in there alone?
context: There's a celestial shield here that traps the four beasts in.\They can't get in and out freely.\However, once we get inside this cave nothing can stop them.\Therefore... wait for me outside the cave.\No matter what happens and matter what sounds you hear\don't go in there.\If I don't get out before dusk take my second sister-in-law away.\You're going in there alone? response:	Exactly.
context: They can't get in and out freely.\However, once we get inside this cave nothing can stop them.\Therefore... wait for me outside the cave.\No matter what happens and matter what sounds you hear\don't go in there.\If I don't get out before dusk take my second sister-in-law away.\You're going in there alone?\Exactly. response:	I'm going in alone.
context: However, once we get inside this cave nothing can stop them.\Therefore... wait for me outside the cave.\No matter what happens and matter what sounds you hear\don't go in there.\If I don't get out before dusk take my second sister-in-law away.\You're going in there alone?\Exactly.\I'm going in alone. response:	My second sister-in-law doesn't see very well.
context: Therefore... wait for me outside the cave.\No matter what happens and matter what sounds you hear\don't go in there.\If I don't get out before dusk take my second sister-in-law away.\You're going in there alone?\Exactly.\I'm going in alone.\My second sister-in-law doesn't see very well. response:	It's too dangerous to leave her outside alone.
context: No matter what happens and matter what sounds you hear\don't go in there.\If I don't get out before dusk take my second sister-in-law away.\You're going in there alone?\Exactly.\I'm going in alone.\My second sister-in-law doesn't see very well.\It's too dangerous to leave her outside alone. response:	Constable, I'll leave my sister-in-law to you.
context: don't go in there.\If I don't get out before dusk take my second sister-in-law away.\You're going in there alone?\Exactly.\I'm going in alone.\My second sister-in-law doesn't see very well.\It's too dangerous to leave her outside alone.\Constable, I'll leave my sister-in-law to you. response:	Sister-in-law, wait here for me.
context: If I don't get out before dusk take my second sister-in-law away.\You're going in there alone?\Exactly.\I'm going in alone.\My second sister-in-law doesn't see very well.\It's too dangerous to leave her outside alone.\Constable, I'll leave my sister-in-law to you.\Sister-in-law, wait here for me. response:	I'll get the divine fungal grass to save your child.
context: You're going in there alone?\Exactly.\I'm going in alone.\My second sister-in-law doesn't see very well.\It's too dangerous to leave her outside alone.\Constable, I'll leave my sister-in-law to you.\Sister-in-law, wait here for me.\I'll get the divine fungal grass to save your child. response:	Yan Zhi!
context: Exactly.\I'm going in alone.\My second sister-in-law doesn't see very well.\It's too dangerous to leave her outside alone.\Constable, I'll leave my sister-in-law to you.\Sister-in-law, wait here for me.\I'll get the divine fungal grass to save your child.\Yan Zhi! response:	She's seeking her doom.
context: I'm going in alone.\My second sister-in-law doesn't see very well.\It's too dangerous to leave her outside alone.\Constable, I'll leave my sister-in-law to you.\Sister-in-law, wait here for me.\I'll get the divine fungal grass to save your child.\Yan Zhi!\She's seeking her doom. response:	Listen, stay here.
context: My second sister-in-law doesn't see very well.\It's too dangerous to leave her outside alone.\Constable, I'll leave my sister-in-law to you.\Sister-in-law, wait here for me.\I'll get the divine fungal grass to save your child.\Yan Zhi!\She's seeking her doom.\Listen, stay here. response:	Don't go anywhere if you want to stay alive.
context: It's too dangerous to leave her outside alone.\Constable, I'll leave my sister-in-law to you.\Sister-in-law, wait here for me.\I'll get the divine fungal grass to save your child.\Yan Zhi!\She's seeking her doom.\Listen, stay here.\Don't go anywhere if you want to stay alive. response:	No, I have to get the divine fungal grass myself.
context: Constable, I'll leave my sister-in-law to you.\Sister-in-law, wait here for me.\I'll get the divine fungal grass to save your child.\Yan Zhi!\She's seeking her doom.\Listen, stay here.\Don't go anywhere if you want to stay alive.\No, I have to get the divine fungal grass myself. response:	Didn't I tell you to stay outside the cave?
context: Sister-in-law, wait here for me.\I'll get the divine fungal grass to save your child.\Yan Zhi!\She's seeking her doom.\Listen, stay here.\Don't go anywhere if you want to stay alive.\No, I have to get the divine fungal grass myself.\Didn't I tell you to stay outside the cave? response:	Are you joking? I'm a man.
context: I'll get the divine fungal grass to save your child.\Yan Zhi!\She's seeking her doom.\Listen, stay here.\Don't go anywhere if you want to stay alive.\No, I have to get the divine fungal grass myself.\Didn't I tell you to stay outside the cave?\Are you joking? I'm a man. response:	How can I wait outside the cave?
context: Yan Zhi!\She's seeking her doom.\Listen, stay here.\Don't go anywhere if you want to stay alive.\No, I have to get the divine fungal grass myself.\Didn't I tell you to stay outside the cave?\Are you joking? I'm a man.\How can I wait outside the cave? response:	Quickly! Take my sister-in-law away!
context: She's seeking her doom.\Listen, stay here.\Don't go anywhere if you want to stay alive.\No, I have to get the divine fungal grass myself.\Didn't I tell you to stay outside the cave?\Are you joking? I'm a man.\How can I wait outside the cave?\Quickly! Take my sister-in-law away! response:	The four mythical beasts aren't as easy to deal with as you think!
context: Listen, stay here.\Don't go anywhere if you want to stay alive.\No, I have to get the divine fungal grass myself.\Didn't I tell you to stay outside the cave?\Are you joking? I'm a man.\How can I wait outside the cave?\Quickly! Take my sister-in-law away!\The four mythical beasts aren't as easy to deal with as you think! response:	Beasts!
context: Don't go anywhere if you want to stay alive.\No, I have to get the divine fungal grass myself.\Didn't I tell you to stay outside the cave?\Are you joking? I'm a man.\How can I wait outside the cave?\Quickly! Take my sister-in-law away!\The four mythical beasts aren't as easy to deal with as you think!\Beasts! response:	Listen up!
context: No, I have to get the divine fungal grass myself.\Didn't I tell you to stay outside the cave?\Are you joking? I'm a man.\How can I wait outside the cave?\Quickly! Take my sister-in-law away!\The four mythical beasts aren't as easy to deal with as you think!\Beasts!\Listen up! response:	I'm the 16th disciple of Kunlun Mountain, Zi Lan!
context: Didn't I tell you to stay outside the cave?\Are you joking? I'm a man.\How can I wait outside the cave?\Quickly! Take my sister-in-law away!\The four mythical beasts aren't as easy to deal with as you think!\Beasts!\Listen up!\I'm the 16th disciple of Kunlun Mountain, Zi Lan! response:	As long as I'm here don't dream of hurting anyone!
context: Are you joking? I'm a man.\How can I wait outside the cave?\Quickly! Take my sister-in-law away!\The four mythical beasts aren't as easy to deal with as you think!\Beasts!\Listen up!\I'm the 16th disciple of Kunlun Mountain, Zi Lan!\As long as I'm here don't dream of hurting anyone! response:	This is bad!
context: How can I wait outside the cave?\Quickly! Take my sister-in-law away!\The four mythical beasts aren't as easy to deal with as you think!\Beasts!\Listen up!\I'm the 16th disciple of Kunlun Mountain, Zi Lan!\As long as I'm here don't dream of hurting anyone!\This is bad! response:	Yan Zhi has provoked the four mythical beasts!
context: Quickly! Take my sister-in-law away!\The four mythical beasts aren't as easy to deal with as you think!\Beasts!\Listen up!\I'm the 16th disciple of Kunlun Mountain, Zi Lan!\As long as I'm here don't dream of hurting anyone!\This is bad!\Yan Zhi has provoked the four mythical beasts! response:	Protect Ghost Lord!
context: The four mythical beasts aren't as easy to deal with as you think!\Beasts!\Listen up!\I'm the 16th disciple of Kunlun Mountain, Zi Lan!\As long as I'm here don't dream of hurting anyone!\This is bad!\Yan Zhi has provoked the four mythical beasts!\Protect Ghost Lord! response:	Yan Zhi!
context: Beasts!\Listen up!\I'm the 16th disciple of Kunlun Mountain, Zi Lan!\As long as I'm here don't dream of hurting anyone!\This is bad!\Yan Zhi has provoked the four mythical beasts!\Protect Ghost Lord!\Yan Zhi! response:	Li Jing!
context: Listen up!\I'm the 16th disciple of Kunlun Mountain, Zi Lan!\As long as I'm here don't dream of hurting anyone!\This is bad!\Yan Zhi has provoked the four mythical beasts!\Protect Ghost Lord!\Yan Zhi!\Li Jing! response:	Escape now while your guards are still alive!
context: I'm the 16th disciple of Kunlun Mountain, Zi Lan!\As long as I'm here don't dream of hurting anyone!\This is bad!\Yan Zhi has provoked the four mythical beasts!\Protect Ghost Lord!\Yan Zhi!\Li Jing!\Escape now while your guards are still alive! response:	Do you not know the powers these beasts possess?
context: As long as I'm here don't dream of hurting anyone!\This is bad!\Yan Zhi has provoked the four mythical beasts!\Protect Ghost Lord!\Yan Zhi!\Li Jing!\Escape now while your guards are still alive!\Do you not know the powers these beasts possess? response:	Even if there were ten of you you couldn't escape from them!
context: This is bad!\Yan Zhi has provoked the four mythical beasts!\Protect Ghost Lord!\Yan Zhi!\Li Jing!\Escape now while your guards are still alive!\Do you not know the powers these beasts possess?\Even if there were ten of you you couldn't escape from them! response:	You!
context: Yan Zhi has provoked the four mythical beasts!\Protect Ghost Lord!\Yan Zhi!\Li Jing!\Escape now while your guards are still alive!\Do you not know the powers these beasts possess?\Even if there were ten of you you couldn't escape from them!\You! response:	My Lord!
context: Protect Ghost Lord!\Yan Zhi!\Li Jing!\Escape now while your guards are still alive!\Do you not know the powers these beasts possess?\Even if there were ten of you you couldn't escape from them!\You!\My Lord! response:	Is it Your Lordship?
context: Yan Zhi!\Li Jing!\Escape now while your guards are still alive!\Do you not know the powers these beasts possess?\Even if there were ten of you you couldn't escape from them!\You!\My Lord!\Is it Your Lordship? response:	You're also here for the divine fungal grass to save our child?
context: Li Jing!\Escape now while your guards are still alive!\Do you not know the powers these beasts possess?\Even if there were ten of you you couldn't escape from them!\You!\My Lord!\Is it Your Lordship?\You're also here for the divine fungal grass to save our child? response:	Forget about that grass!
context: Escape now while your guards are still alive!\Do you not know the powers these beasts possess?\Even if there were ten of you you couldn't escape from them!\You!\My Lord!\Is it Your Lordship?\You're also here for the divine fungal grass to save our child?\Forget about that grass! response:	Get the women out of here!
context: Do you not know the powers these beasts possess?\Even if there were ten of you you couldn't escape from them!\You!\My Lord!\Is it Your Lordship?\You're also here for the divine fungal grass to save our child?\Forget about that grass!\Get the women out of here! response:	If it weren't for your sister I would, but I don't need you to save me!
context: Even if there were ten of you you couldn't escape from them!\You!\My Lord!\Is it Your Lordship?\You're also here for the divine fungal grass to save our child?\Forget about that grass!\Get the women out of here!\If it weren't for your sister I would, but I don't need you to save me! response:	Let's go. I'll get you both out of here.
context: You!\My Lord!\Is it Your Lordship?\You're also here for the divine fungal grass to save our child?\Forget about that grass!\Get the women out of here!\If it weren't for your sister I would, but I don't need you to save me!\Let's go. I'll get you both out of here. response:	No!
context: My Lord!\Is it Your Lordship?\You're also here for the divine fungal grass to save our child?\Forget about that grass!\Get the women out of here!\If it weren't for your sister I would, but I don't need you to save me!\Let's go. I'll get you both out of here.\No! response:	The divine fungal grass is here!
context: Is it Your Lordship?\You're also here for the divine fungal grass to save our child?\Forget about that grass!\Get the women out of here!\If it weren't for your sister I would, but I don't need you to save me!\Let's go. I'll get you both out of here.\No!\The divine fungal grass is here! response:	I won't leave!
context: You're also here for the divine fungal grass to save our child?\Forget about that grass!\Get the women out of here!\If it weren't for your sister I would, but I don't need you to save me!\Let's go. I'll get you both out of here.\No!\The divine fungal grass is here!\I won't leave! response:	I have to save my son!
context: Forget about that grass!\Get the women out of here!\If it weren't for your sister I would, but I don't need you to save me!\Let's go. I'll get you both out of here.\No!\The divine fungal grass is here!\I won't leave!\I have to save my son! response:	I have to save my son!
context: Get the women out of here!\If it weren't for your sister I would, but I don't need you to save me!\Let's go. I'll get you both out of here.\No!\The divine fungal grass is here!\I won't leave!\I have to save my son!\I have to save my son! response:	Do whatever you please.
context: If it weren't for your sister I would, but I don't need you to save me!\Let's go. I'll get you both out of here.\No!\The divine fungal grass is here!\I won't leave!\I have to save my son!\I have to save my son!\Do whatever you please. response:	Try to get killed quickly.
context: Let's go. I'll get you both out of here.\No!\The divine fungal grass is here!\I won't leave!\I have to save my son!\I have to save my son!\Do whatever you please.\Try to get killed quickly. response:	It seems that no one survived.
context: No!\The divine fungal grass is here!\I won't leave!\I have to save my son!\I have to save my son!\Do whatever you please.\Try to get killed quickly.\It seems that no one survived. response:	Crown Prince?
context: The divine fungal grass is here!\I won't leave!\I have to save my son!\I have to save my son!\Do whatever you please.\Try to get killed quickly.\It seems that no one survived.\Crown Prince? response:	What are you doing here?
context: I won't leave!\I have to save my son!\I have to save my son!\Do whatever you please.\Try to get killed quickly.\It seems that no one survived.\Crown Prince?\What are you doing here? response:	Who disturbed the four beasts?
context: I have to save my son!\I have to save my son!\Do whatever you please.\Try to get killed quickly.\It seems that no one survived.\Crown Prince?\What are you doing here?\Who disturbed the four beasts? response:	It's the Ghost Tribe.
context: I have to save my son!\Do whatever you please.\Try to get killed quickly.\It seems that no one survived.\Crown Prince?\What are you doing here?\Who disturbed the four beasts?\It's the Ghost Tribe. response:	They are here for the divine fungal grass to save a child.
context: Do whatever you please.\Try to get killed quickly.\It seems that no one survived.\Crown Prince?\What are you doing here?\Who disturbed the four beasts?\It's the Ghost Tribe.\They are here for the divine fungal grass to save a child. response:	Ghost Tribe? Who is it?
context: Try to get killed quickly.\It seems that no one survived.\Crown Prince?\What are you doing here?\Who disturbed the four beasts?\It's the Ghost Tribe.\They are here for the divine fungal grass to save a child.\Ghost Tribe? Who is it? response:	Both the Ghost Lord and Ghost Queen are in there.
context: It seems that no one survived.\Crown Prince?\What are you doing here?\Who disturbed the four beasts?\It's the Ghost Tribe.\They are here for the divine fungal grass to save a child.\Ghost Tribe? Who is it?\Both the Ghost Lord and Ghost Queen are in there. response:	Leave now!
context: Crown Prince?\What are you doing here?\Who disturbed the four beasts?\It's the Ghost Tribe.\They are here for the divine fungal grass to save a child.\Ghost Tribe? Who is it?\Both the Ghost Lord and Ghost Queen are in there.\Leave now! response:	Run!
context: What are you doing here?\Who disturbed the four beasts?\It's the Ghost Tribe.\They are here for the divine fungal grass to save a child.\Ghost Tribe? Who is it?\Both the Ghost Lord and Ghost Queen are in there.\Leave now!\Run! response:	Let's go!
context: Who disturbed the four beasts?\It's the Ghost Tribe.\They are here for the divine fungal grass to save a child.\Ghost Tribe? Who is it?\Both the Ghost Lord and Ghost Queen are in there.\Leave now!\Run!\Let's go! response:	I won't leave!
context: It's the Ghost Tribe.\They are here for the divine fungal grass to save a child.\Ghost Tribe? Who is it?\Both the Ghost Lord and Ghost Queen are in there.\Leave now!\Run!\Let's go!\I won't leave! response:	Why are you still here?
context: They are here for the divine fungal grass to save a child.\Ghost Tribe? Who is it?\Both the Ghost Lord and Ghost Queen are in there.\Leave now!\Run!\Let's go!\I won't leave!\Why are you still here? response:	Leave now!
context: Ghost Tribe? Who is it?\Both the Ghost Lord and Ghost Queen are in there.\Leave now!\Run!\Let's go!\I won't leave!\Why are you still here?\Leave now! response:	I won't leave!
context: Both the Ghost Lord and Ghost Queen are in there.\Leave now!\Run!\Let's go!\I won't leave!\Why are you still here?\Leave now!\I won't leave! response:	The divine fungal grass belongs to my son! I need to save him!
context: Leave now!\Run!\Let's go!\I won't leave!\Why are you still here?\Leave now!\I won't leave!\The divine fungal grass belongs to my son! I need to save him! response:	- You... - I won't leave...
context: Run!\Let's go!\I won't leave!\Why are you still here?\Leave now!\I won't leave!\The divine fungal grass belongs to my son! I need to save him!\- You... - I won't leave... response:	Come with me.
context: Let's go!\I won't leave!\Why are you still here?\Leave now!\I won't leave!\The divine fungal grass belongs to my son! I need to save him!\- You... - I won't leave...\Come with me. response:	What is Your Highness going to do?
context: I won't leave!\Why are you still here?\Leave now!\I won't leave!\The divine fungal grass belongs to my son! I need to save him!\- You... - I won't leave...\Come with me.\What is Your Highness going to do? response:	I am going to sink Yingzhou of the Eastern Sea
context: Why are you still here?\Leave now!\I won't leave!\The divine fungal grass belongs to my son! I need to save him!\- You... - I won't leave...\Come with me.\What is Your Highness going to do?\I am going to sink Yingzhou of the Eastern Sea response:	to wipe out all traces of the divine fungal grass.
context: Leave now!\I won't leave!\The divine fungal grass belongs to my son! I need to save him!\- You... - I won't leave...\Come with me.\What is Your Highness going to do?\I am going to sink Yingzhou of the Eastern Sea\to wipe out all traces of the divine fungal grass. response:	Crown Prince!
context: I won't leave!\The divine fungal grass belongs to my son! I need to save him!\- You... - I won't leave...\Come with me.\What is Your Highness going to do?\I am going to sink Yingzhou of the Eastern Sea\to wipe out all traces of the divine fungal grass.\Crown Prince! response:	Please bestow a blade of the divine fungal grass.
context: The divine fungal grass belongs to my son! I need to save him!\- You... - I won't leave...\Come with me.\What is Your Highness going to do?\I am going to sink Yingzhou of the Eastern Sea\to wipe out all traces of the divine fungal grass.\Crown Prince!\Please bestow a blade of the divine fungal grass. response:	You couldn't use it anyway.
context: - You... - I won't leave...\Come with me.\What is Your Highness going to do?\I am going to sink Yingzhou of the Eastern Sea\to wipe out all traces of the divine fungal grass.\Crown Prince!\Please bestow a blade of the divine fungal grass.\You couldn't use it anyway. response:	It's a sacred item of the Celestial Tribe.
context: Come with me.\What is Your Highness going to do?\I am going to sink Yingzhou of the Eastern Sea\to wipe out all traces of the divine fungal grass.\Crown Prince!\Please bestow a blade of the divine fungal grass.\You couldn't use it anyway.\It's a sacred item of the Celestial Tribe. response:	I know but this child is a half-blooded celestial tribesman.
context: What is Your Highness going to do?\I am going to sink Yingzhou of the Eastern Sea\to wipe out all traces of the divine fungal grass.\Crown Prince!\Please bestow a blade of the divine fungal grass.\You couldn't use it anyway.\It's a sacred item of the Celestial Tribe.\I know but this child is a half-blooded celestial tribesman. response:	I think that it might work on him.
context: I am going to sink Yingzhou of the Eastern Sea\to wipe out all traces of the divine fungal grass.\Crown Prince!\Please bestow a blade of the divine fungal grass.\You couldn't use it anyway.\It's a sacred item of the Celestial Tribe.\I know but this child is a half-blooded celestial tribesman.\I think that it might work on him. response:	Crown Prince, for the sake of 70,000 years of friendship between our tribes
context: to wipe out all traces of the divine fungal grass.\Crown Prince!\Please bestow a blade of the divine fungal grass.\You couldn't use it anyway.\It's a sacred item of the Celestial Tribe.\I know but this child is a half-blooded celestial tribesman.\I think that it might work on him.\Crown Prince, for the sake of 70,000 years of friendship between our tribes response:	please bestow a blade of the divine fungal grass to that child.
context: Crown Prince!\Please bestow a blade of the divine fungal grass.\You couldn't use it anyway.\It's a sacred item of the Celestial Tribe.\I know but this child is a half-blooded celestial tribesman.\I think that it might work on him.\Crown Prince, for the sake of 70,000 years of friendship between our tribes\please bestow a blade of the divine fungal grass to that child. response:	I know that Yingzhou of the Eastern Sea is now destroyed
context: Please bestow a blade of the divine fungal grass.\You couldn't use it anyway.\It's a sacred item of the Celestial Tribe.\I know but this child is a half-blooded celestial tribesman.\I think that it might work on him.\Crown Prince, for the sake of 70,000 years of friendship between our tribes\please bestow a blade of the divine fungal grass to that child.\I know that Yingzhou of the Eastern Sea is now destroyed response:	and the divine fungal grass no longer exists.
context: You couldn't use it anyway.\It's a sacred item of the Celestial Tribe.\I know but this child is a half-blooded celestial tribesman.\I think that it might work on him.\Crown Prince, for the sake of 70,000 years of friendship between our tribes\please bestow a blade of the divine fungal grass to that child.\I know that Yingzhou of the Eastern Sea is now destroyed\and the divine fungal grass no longer exists. response:	What you now hold in your hand might be that child's last hope.
context: It's a sacred item of the Celestial Tribe.\I know but this child is a half-blooded celestial tribesman.\I think that it might work on him.\Crown Prince, for the sake of 70,000 years of friendship between our tribes\please bestow a blade of the divine fungal grass to that child.\I know that Yingzhou of the Eastern Sea is now destroyed\and the divine fungal grass no longer exists.\What you now hold in your hand might be that child's last hope. response:	Thank you, Crown Prince!
context: I know but this child is a half-blooded celestial tribesman.\I think that it might work on him.\Crown Prince, for the sake of 70,000 years of friendship between our tribes\please bestow a blade of the divine fungal grass to that child.\I know that Yingzhou of the Eastern Sea is now destroyed\and the divine fungal grass no longer exists.\What you now hold in your hand might be that child's last hope.\Thank you, Crown Prince! response:	Brother Li Jing, I've asked Crown Prince for a blade of the divine fungal grass.
context: I think that it might work on him.\Crown Prince, for the sake of 70,000 years of friendship between our tribes\please bestow a blade of the divine fungal grass to that child.\I know that Yingzhou of the Eastern Sea is now destroyed\and the divine fungal grass no longer exists.\What you now hold in your hand might be that child's last hope.\Thank you, Crown Prince!\Brother Li Jing, I've asked Crown Prince for a blade of the divine fungal grass. response:	Try and see if it can revive your son.
context: Crown Prince, for the sake of 70,000 years of friendship between our tribes\please bestow a blade of the divine fungal grass to that child.\I know that Yingzhou of the Eastern Sea is now destroyed\and the divine fungal grass no longer exists.\What you now hold in your hand might be that child's last hope.\Thank you, Crown Prince!\Brother Li Jing, I've asked Crown Prince for a blade of the divine fungal grass.\Try and see if it can revive your son. response:	Second Sister-in-law, she's...
context: please bestow a blade of the divine fungal grass to that child.\I know that Yingzhou of the Eastern Sea is now destroyed\and the divine fungal grass no longer exists.\What you now hold in your hand might be that child's last hope.\Thank you, Crown Prince!\Brother Li Jing, I've asked Crown Prince for a blade of the divine fungal grass.\Try and see if it can revive your son.\Second Sister-in-law, she's... response:	You're awake?
context: I know that Yingzhou of the Eastern Sea is now destroyed\and the divine fungal grass no longer exists.\What you now hold in your hand might be that child's last hope.\Thank you, Crown Prince!\Brother Li Jing, I've asked Crown Prince for a blade of the divine fungal grass.\Try and see if it can revive your son.\Second Sister-in-law, she's...\You're awake? response:	Yes, that divine fungal grass is for our son.
context: and the divine fungal grass no longer exists.\What you now hold in your hand might be that child's last hope.\Thank you, Crown Prince!\Brother Li Jing, I've asked Crown Prince for a blade of the divine fungal grass.\Try and see if it can revive your son.\Second Sister-in-law, she's...\You're awake?\Yes, that divine fungal grass is for our son. response:	My Lord...
context: What you now hold in your hand might be that child's last hope.\Thank you, Crown Prince!\Brother Li Jing, I've asked Crown Prince for a blade of the divine fungal grass.\Try and see if it can revive your son.\Second Sister-in-law, she's...\You're awake?\Yes, that divine fungal grass is for our son.\My Lord... response:	Don't say a word.
context: Thank you, Crown Prince!\Brother Li Jing, I've asked Crown Prince for a blade of the divine fungal grass.\Try and see if it can revive your son.\Second Sister-in-law, she's...\You're awake?\Yes, that divine fungal grass is for our son.\My Lord...\Don't say a word. response:	I'll take you to Grand Ziming Palace and you'll get better soon.
context: Brother Li Jing, I've asked Crown Prince for a blade of the divine fungal grass.\Try and see if it can revive your son.\Second Sister-in-law, she's...\You're awake?\Yes, that divine fungal grass is for our son.\My Lord...\Don't say a word.\I'll take you to Grand Ziming Palace and you'll get better soon. response:	Very soon.
context: Try and see if it can revive your son.\Second Sister-in-law, she's...\You're awake?\Yes, that divine fungal grass is for our son.\My Lord...\Don't say a word.\I'll take you to Grand Ziming Palace and you'll get better soon.\Very soon. response:	Back in the cave of Kunlun Mountain, I really...
context: Second Sister-in-law, she's...\You're awake?\Yes, that divine fungal grass is for our son.\My Lord...\Don't say a word.\I'll take you to Grand Ziming Palace and you'll get better soon.\Very soon.\Back in the cave of Kunlun Mountain, I really... response:	I know...
context: You're awake?\Yes, that divine fungal grass is for our son.\My Lord...\Don't say a word.\I'll take you to Grand Ziming Palace and you'll get better soon.\Very soon.\Back in the cave of Kunlun Mountain, I really...\I know... response:	Xuan Nu, after 70,000 years
context: Yes, that divine fungal grass is for our son.\My Lord...\Don't say a word.\I'll take you to Grand Ziming Palace and you'll get better soon.\Very soon.\Back in the cave of Kunlun Mountain, I really...\I know...\Xuan Nu, after 70,000 years response:	I've finally remembered your true face.
context: My Lord...\Don't say a word.\I'll take you to Grand Ziming Palace and you'll get better soon.\Very soon.\Back in the cave of Kunlun Mountain, I really...\I know...\Xuan Nu, after 70,000 years\I've finally remembered your true face. response:	What a ridiculous couple we are.
context: Don't say a word.\I'll take you to Grand Ziming Palace and you'll get better soon.\Very soon.\Back in the cave of Kunlun Mountain, I really...\I know...\Xuan Nu, after 70,000 years\I've finally remembered your true face.\What a ridiculous couple we are. response:	How pathetic.
context: I'll take you to Grand Ziming Palace and you'll get better soon.\Very soon.\Back in the cave of Kunlun Mountain, I really...\I know...\Xuan Nu, after 70,000 years\I've finally remembered your true face.\What a ridiculous couple we are.\How pathetic. response:	Brother Li Jing...
context: Very soon.\Back in the cave of Kunlun Mountain, I really...\I know...\Xuan Nu, after 70,000 years\I've finally remembered your true face.\What a ridiculous couple we are.\How pathetic.\Brother Li Jing... response:	Where has the Crown Prince gone?
context: Back in the cave of Kunlun Mountain, I really...\I know...\Xuan Nu, after 70,000 years\I've finally remembered your true face.\What a ridiculous couple we are.\How pathetic.\Brother Li Jing...\Where has the Crown Prince gone? response:	He went toward the valley.
context: I know...\Xuan Nu, after 70,000 years\I've finally remembered your true face.\What a ridiculous couple we are.\How pathetic.\Brother Li Jing...\Where has the Crown Prince gone?\He went toward the valley. response:	Crown Prince.
context: Xuan Nu, after 70,000 years\I've finally remembered your true face.\What a ridiculous couple we are.\How pathetic.\Brother Li Jing...\Where has the Crown Prince gone?\He went toward the valley.\Crown Prince. response:	I've given the divine fungal grass to your sister.
context: I've finally remembered your true face.\What a ridiculous couple we are.\How pathetic.\Brother Li Jing...\Where has the Crown Prince gone?\He went toward the valley.\Crown Prince.\I've given the divine fungal grass to your sister. response:	I wonder what brings you here?
context: What a ridiculous couple we are.\How pathetic.\Brother Li Jing...\Where has the Crown Prince gone?\He went toward the valley.\Crown Prince.\I've given the divine fungal grass to your sister.\I wonder what brings you here? response:	Crown Prince.
context: How pathetic.\Brother Li Jing...\Where has the Crown Prince gone?\He went toward the valley.\Crown Prince.\I've given the divine fungal grass to your sister.\I wonder what brings you here?\Crown Prince. response:	Could you tell me who you're going to save with the divine fungal grass?
