context: Why are you going through Reiko's belongings? response:	Looking for something?
context: Yeah.\Mikuri was the one who got angry, though.\And you like that Youkai Mikuri, don't you?\I love Mikuri!\But Mikuri said that he hates me,\and that he doesn't want to see me again.\Did you do something bad?\So you don't remember? response:	Then why is Mikuri so angry with you?
context: Mikuri was the one who got angry, though.\And you like that Youkai Mikuri, don't you?\I love Mikuri!\But Mikuri said that he hates me,\and that he doesn't want to see me again.\Did you do something bad?\So you don't remember?\Then why is Mikuri so angry with you? response:	I sort of understand why Mikuri is angry now.
context: And you like that Youkai Mikuri, don't you?\I love Mikuri!\But Mikuri said that he hates me,\and that he doesn't want to see me again.\Did you do something bad?\So you don't remember?\Then why is Mikuri so angry with you?\I sort of understand why Mikuri is angry now. response:	What should I do, Reiko?
context: I love Mikuri!\But Mikuri said that he hates me,\and that he doesn't want to see me again.\Did you do something bad?\So you don't remember?\Then why is Mikuri so angry with you?\I sort of understand why Mikuri is angry now.\What should I do, Reiko? response:	Where is he right now?
context: But Mikuri said that he hates me,\and that he doesn't want to see me again.\Did you do something bad?\So you don't remember?\Then why is Mikuri so angry with you?\I sort of understand why Mikuri is angry now.\What should I do, Reiko?\Where is he right now? response:	At Kiriganuma.
context: and that he doesn't want to see me again.\Did you do something bad?\So you don't remember?\Then why is Mikuri so angry with you?\I sort of understand why Mikuri is angry now.\What should I do, Reiko?\Where is he right now?\At Kiriganuma. response:	Kiriganuma?
context: Did you do something bad?\So you don't remember?\Then why is Mikuri so angry with you?\I sort of understand why Mikuri is angry now.\What should I do, Reiko?\Where is he right now?\At Kiriganuma.\Kiriganuma? response:	The place by the next station?
context: So you don't remember?\Then why is Mikuri so angry with you?\I sort of understand why Mikuri is angry now.\What should I do, Reiko?\Where is he right now?\At Kiriganuma.\Kiriganuma?\The place by the next station? response:	Yeah.
context: Then why is Mikuri so angry with you?\I sort of understand why Mikuri is angry now.\What should I do, Reiko?\Where is he right now?\At Kiriganuma.\Kiriganuma?\The place by the next station?\Yeah. response:	All right.
context: I sort of understand why Mikuri is angry now.\What should I do, Reiko?\Where is he right now?\At Kiriganuma.\Kiriganuma?\The place by the next station?\Yeah.\All right. response:	I'll go with you, then.
context: What should I do, Reiko?\Where is he right now?\At Kiriganuma.\Kiriganuma?\The place by the next station?\Yeah.\All right.\I'll go with you, then. response:	Just leave it to me!
context: Where is he right now?\At Kiriganuma.\Kiriganuma?\The place by the next station?\Yeah.\All right.\I'll go with you, then.\Just leave it to me! response:	The sun is already setting today,
context: At Kiriganuma.\Kiriganuma?\The place by the next station?\Yeah.\All right.\I'll go with you, then.\Just leave it to me!\The sun is already setting today, response:	so let's meet here again tomorrow.
context: Kiriganuma?\The place by the next station?\Yeah.\All right.\I'll go with you, then.\Just leave it to me!\The sun is already setting today,\so let's meet here again tomorrow. response:	Thank you, Reiko!
context: The place by the next station?\Yeah.\All right.\I'll go with you, then.\Just leave it to me!\The sun is already setting today,\so let's meet here again tomorrow.\Thank you, Reiko! response:	That tickles!
context: Yeah.\All right.\I'll go with you, then.\Just leave it to me!\The sun is already setting today,\so let's meet here again tomorrow.\Thank you, Reiko!\That tickles! response:	Hey, Santo!
context: All right.\I'll go with you, then.\Just leave it to me!\The sun is already setting today,\so let's meet here again tomorrow.\Thank you, Reiko!\That tickles!\Hey, Santo! response:	But she couldn't keep her promise.
context: I'll go with you, then.\Just leave it to me!\The sun is already setting today,\so let's meet here again tomorrow.\Thank you, Reiko!\That tickles!\Hey, Santo!\But she couldn't keep her promise. response:	I'm sure there was some reason why she couldn't come.
context: Just leave it to me!\The sun is already setting today,\so let's meet here again tomorrow.\Thank you, Reiko!\That tickles!\Hey, Santo!\But she couldn't keep her promise.\I'm sure there was some reason why she couldn't come. response:	Do you plan on going?
context: The sun is already setting today,\so let's meet here again tomorrow.\Thank you, Reiko!\That tickles!\Hey, Santo!\But she couldn't keep her promise.\I'm sure there was some reason why she couldn't come.\Do you plan on going? response:	He might not be waiting anymore.
context: so let's meet here again tomorrow.\Thank you, Reiko!\That tickles!\Hey, Santo!\But she couldn't keep her promise.\I'm sure there was some reason why she couldn't come.\Do you plan on going?\He might not be waiting anymore. response:	We won't know unless we go.
context: Thank you, Reiko!\That tickles!\Hey, Santo!\But she couldn't keep her promise.\I'm sure there was some reason why she couldn't come.\Do you plan on going?\He might not be waiting anymore.\We won't know unless we go. response:	I'm going.
context: That tickles!\Hey, Santo!\But she couldn't keep her promise.\I'm sure there was some reason why she couldn't come.\Do you plan on going?\He might not be waiting anymore.\We won't know unless we go.\I'm going. response:	I want to do what Reiko-san left behind.
context: Hey, Santo!\But she couldn't keep her promise.\I'm sure there was some reason why she couldn't come.\Do you plan on going?\He might not be waiting anymore.\We won't know unless we go.\I'm going.\I want to do what Reiko-san left behind. response:	The sun is already setting, though.
context: But she couldn't keep her promise.\I'm sure there was some reason why she couldn't come.\Do you plan on going?\He might not be waiting anymore.\We won't know unless we go.\I'm going.\I want to do what Reiko-san left behind.\The sun is already setting, though. response:	I'll come by after school tomorrow.
context: I'm sure there was some reason why she couldn't come.\Do you plan on going?\He might not be waiting anymore.\We won't know unless we go.\I'm going.\I want to do what Reiko-san left behind.\The sun is already setting, though.\I'll come by after school tomorrow. response:	Tomorrow?
context: Do you plan on going?\He might not be waiting anymore.\We won't know unless we go.\I'm going.\I want to do what Reiko-san left behind.\The sun is already setting, though.\I'll come by after school tomorrow.\Tomorrow? response:	Okay, we'll go right now.
context: He might not be waiting anymore.\We won't know unless we go.\I'm going.\I want to do what Reiko-san left behind.\The sun is already setting, though.\I'll come by after school tomorrow.\Tomorrow?\Okay, we'll go right now. response:	You're an idiot, making promises without thinking things through.
context: We won't know unless we go.\I'm going.\I want to do what Reiko-san left behind.\The sun is already setting, though.\I'll come by after school tomorrow.\Tomorrow?\Okay, we'll go right now.\You're an idiot, making promises without thinking things through. response:	There aren't any buses that pass by Kiriganuma.
context: I'm going.\I want to do what Reiko-san left behind.\The sun is already setting, though.\I'll come by after school tomorrow.\Tomorrow?\Okay, we'll go right now.\You're an idiot, making promises without thinking things through.\There aren't any buses that pass by Kiriganuma. response:	How long do you think it'll take to walk there?
context: I want to do what Reiko-san left behind.\The sun is already setting, though.\I'll come by after school tomorrow.\Tomorrow?\Okay, we'll go right now.\You're an idiot, making promises without thinking things through.\There aren't any buses that pass by Kiriganuma.\How long do you think it'll take to walk there? response:	The sun will set by then for sure.
context: The sun is already setting, though.\I'll come by after school tomorrow.\Tomorrow?\Okay, we'll go right now.\You're an idiot, making promises without thinking things through.\There aren't any buses that pass by Kiriganuma.\How long do you think it'll take to walk there?\The sun will set by then for sure. response:	It looks like there's no point in persuading you.
context: I'll come by after school tomorrow.\Tomorrow?\Okay, we'll go right now.\You're an idiot, making promises without thinking things through.\There aren't any buses that pass by Kiriganuma.\How long do you think it'll take to walk there?\The sun will set by then for sure.\It looks like there's no point in persuading you. response:	Hey, Santo.
context: Tomorrow?\Okay, we'll go right now.\You're an idiot, making promises without thinking things through.\There aren't any buses that pass by Kiriganuma.\How long do you think it'll take to walk there?\The sun will set by then for sure.\It looks like there's no point in persuading you.\Hey, Santo. response:	If Reiko couldn't come, couldn't you have gone by yourself?
context: Okay, we'll go right now.\You're an idiot, making promises without thinking things through.\There aren't any buses that pass by Kiriganuma.\How long do you think it'll take to walk there?\The sun will set by then for sure.\It looks like there's no point in persuading you.\Hey, Santo.\If Reiko couldn't come, couldn't you have gone by yourself? response:	Why did you wait all this time?
context: You're an idiot, making promises without thinking things through.\There aren't any buses that pass by Kiriganuma.\How long do you think it'll take to walk there?\The sun will set by then for sure.\It looks like there's no point in persuading you.\Hey, Santo.\If Reiko couldn't come, couldn't you have gone by yourself?\Why did you wait all this time? response:	Because I made a promise!
context: There aren't any buses that pass by Kiriganuma.\How long do you think it'll take to walk there?\The sun will set by then for sure.\It looks like there's no point in persuading you.\Hey, Santo.\If Reiko couldn't come, couldn't you have gone by yourself?\Why did you wait all this time?\Because I made a promise! response:	I was an idiot to ask.
context: How long do you think it'll take to walk there?\The sun will set by then for sure.\It looks like there's no point in persuading you.\Hey, Santo.\If Reiko couldn't come, couldn't you have gone by yourself?\Why did you wait all this time?\Because I made a promise!\I was an idiot to ask. response:	It's getting chilly.
context: The sun will set by then for sure.\It looks like there's no point in persuading you.\Hey, Santo.\If Reiko couldn't come, couldn't you have gone by yourself?\Why did you wait all this time?\Because I made a promise!\I was an idiot to ask.\It's getting chilly. response:	The mountain winds are coming down.
context: It looks like there's no point in persuading you.\Hey, Santo.\If Reiko couldn't come, couldn't you have gone by yourself?\Why did you wait all this time?\Because I made a promise!\I was an idiot to ask.\It's getting chilly.\The mountain winds are coming down. response:	Hey, Santo.
context: Hey, Santo.\If Reiko couldn't come, couldn't you have gone by yourself?\Why did you wait all this time?\Because I made a promise!\I was an idiot to ask.\It's getting chilly.\The mountain winds are coming down.\Hey, Santo. response:	Hey!
context: If Reiko couldn't come, couldn't you have gone by yourself?\Why did you wait all this time?\Because I made a promise!\I was an idiot to ask.\It's getting chilly.\The mountain winds are coming down.\Hey, Santo.\Hey! response:	Well, these kinds of people can be seen as charming or annoying.
context: Why did you wait all this time?\Because I made a promise!\I was an idiot to ask.\It's getting chilly.\The mountain winds are coming down.\Hey, Santo.\Hey!\Well, these kinds of people can be seen as charming or annoying. response:	Santo.
context: Because I made a promise!\I was an idiot to ask.\It's getting chilly.\The mountain winds are coming down.\Hey, Santo.\Hey!\Well, these kinds of people can be seen as charming or annoying.\Santo. response:	What are you going to say when you see Mikuri?
context: I was an idiot to ask.\It's getting chilly.\The mountain winds are coming down.\Hey, Santo.\Hey!\Well, these kinds of people can be seen as charming or annoying.\Santo.\What are you going to say when you see Mikuri? response:	What? You haven't thought about it?
context: It's getting chilly.\The mountain winds are coming down.\Hey, Santo.\Hey!\Well, these kinds of people can be seen as charming or annoying.\Santo.\What are you going to say when you see Mikuri?\What? You haven't thought about it? response:	If you want to make up, you have to say something.
context: The mountain winds are coming down.\Hey, Santo.\Hey!\Well, these kinds of people can be seen as charming or annoying.\Santo.\What are you going to say when you see Mikuri?\What? You haven't thought about it?\If you want to make up, you have to say something. response:	Say something?
context: Hey, Santo.\Hey!\Well, these kinds of people can be seen as charming or annoying.\Santo.\What are you going to say when you see Mikuri?\What? You haven't thought about it?\If you want to make up, you have to say something.\Say something? response:	Maybe it's better if they don't meet.
context: Hey!\Well, these kinds of people can be seen as charming or annoying.\Santo.\What are you going to say when you see Mikuri?\What? You haven't thought about it?\If you want to make up, you have to say something.\Say something?\Maybe it's better if they don't meet. response:	It might just be troublesome once he's back.
context: Well, these kinds of people can be seen as charming or annoying.\Santo.\What are you going to say when you see Mikuri?\What? You haven't thought about it?\If you want to make up, you have to say something.\Say something?\Maybe it's better if they don't meet.\It might just be troublesome once he's back. response:	Well, we can't do that.
context: Santo.\What are you going to say when you see Mikuri?\What? You haven't thought about it?\If you want to make up, you have to say something.\Say something?\Maybe it's better if they don't meet.\It might just be troublesome once he's back.\Well, we can't do that. response:	Santo.
context: What are you going to say when you see Mikuri?\What? You haven't thought about it?\If you want to make up, you have to say something.\Say something?\Maybe it's better if they don't meet.\It might just be troublesome once he's back.\Well, we can't do that.\Santo. response:	Think of something to say before we get there.
context: What? You haven't thought about it?\If you want to make up, you have to say something.\Say something?\Maybe it's better if they don't meet.\It might just be troublesome once he's back.\Well, we can't do that.\Santo.\Think of something to say before we get there. response:	Okay!
context: If you want to make up, you have to say something.\Say something?\Maybe it's better if they don't meet.\It might just be troublesome once he's back.\Well, we can't do that.\Santo.\Think of something to say before we get there.\Okay! response:	Here!
context: Say something?\Maybe it's better if they don't meet.\It might just be troublesome once he's back.\Well, we can't do that.\Santo.\Think of something to say before we get there.\Okay!\Here! response:	I don't want it!
context: Maybe it's better if they don't meet.\It might just be troublesome once he's back.\Well, we can't do that.\Santo.\Think of something to say before we get there.\Okay!\Here!\I don't want it! response:	This is...
context: It might just be troublesome once he's back.\Well, we can't do that.\Santo.\Think of something to say before we get there.\Okay!\Here!\I don't want it!\This is... response:	An earthquake?
context: Well, we can't do that.\Santo.\Think of something to say before we get there.\Okay!\Here!\I don't want it!\This is...\An earthquake? response:	I sense malice.
context: Santo.\Think of something to say before we get there.\Okay!\Here!\I don't want it!\This is...\An earthquake?\I sense malice. response:	Malice?
context: Think of something to say before we get there.\Okay!\Here!\I don't want it!\This is...\An earthquake?\I sense malice.\Malice? response:	Santo!
context: Okay!\Here!\I don't want it!\This is...\An earthquake?\I sense malice.\Malice?\Santo! response:	Unforgivable! Unforgivable!
context: Here!\I don't want it!\This is...\An earthquake?\I sense malice.\Malice?\Santo!\Unforgivable! Unforgivable! response:	Natsume!
context: I don't want it!\This is...\An earthquake?\I sense malice.\Malice?\Santo!\Unforgivable! Unforgivable!\Natsume! response:	Sensei!
context: This is...\An earthquake?\I sense malice.\Malice?\Santo!\Unforgivable! Unforgivable!\Natsume!\Sensei! response:	Grab on!
context: An earthquake?\I sense malice.\Malice?\Santo!\Unforgivable! Unforgivable!\Natsume!\Sensei!\Grab on! response:	Sensei, what was that?
context: I sense malice.\Malice?\Santo!\Unforgivable! Unforgivable!\Natsume!\Sensei!\Grab on!\Sensei, what was that? response:	It was after Santo.
context: Malice?\Santo!\Unforgivable! Unforgivable!\Natsume!\Sensei!\Grab on!\Sensei, what was that?\It was after Santo. response:	Why?
context: Santo!\Unforgivable! Unforgivable!\Natsume!\Sensei!\Grab on!\Sensei, what was that?\It was after Santo.\Why? response:	Mikuri seems to be possessed by the earth spirits.
context: Unforgivable! Unforgivable!\Natsume!\Sensei!\Grab on!\Sensei, what was that?\It was after Santo.\Why?\Mikuri seems to be possessed by the earth spirits. response:	By the earth spirits?
context: Natsume!\Sensei!\Grab on!\Sensei, what was that?\It was after Santo.\Why?\Mikuri seems to be possessed by the earth spirits.\By the earth spirits? response:	They feed off of anger and hatred.
context: Sensei!\Grab on!\Sensei, what was that?\It was after Santo.\Why?\Mikuri seems to be possessed by the earth spirits.\By the earth spirits?\They feed off of anger and hatred. response:	Mikuri!
context: Grab on!\Sensei, what was that?\It was after Santo.\Why?\Mikuri seems to be possessed by the earth spirits.\By the earth spirits?\They feed off of anger and hatred.\Mikuri! response:	Did Mikuri hate Santo that much?
context: Sensei, what was that?\It was after Santo.\Why?\Mikuri seems to be possessed by the earth spirits.\By the earth spirits?\They feed off of anger and hatred.\Mikuri!\Did Mikuri hate Santo that much? response:	It'd be safer if we don't go and see him.
context: It was after Santo.\Why?\Mikuri seems to be possessed by the earth spirits.\By the earth spirits?\They feed off of anger and hatred.\Mikuri!\Did Mikuri hate Santo that much?\It'd be safer if we don't go and see him. response:	What do you want to do, Natsume?
context: Why?\Mikuri seems to be possessed by the earth spirits.\By the earth spirits?\They feed off of anger and hatred.\Mikuri!\Did Mikuri hate Santo that much?\It'd be safer if we don't go and see him.\What do you want to do, Natsume? response:	Mikuri!
context: Mikuri seems to be possessed by the earth spirits.\By the earth spirits?\They feed off of anger and hatred.\Mikuri!\Did Mikuri hate Santo that much?\It'd be safer if we don't go and see him.\What do you want to do, Natsume?\Mikuri! response:	Let's go.
context: By the earth spirits?\They feed off of anger and hatred.\Mikuri!\Did Mikuri hate Santo that much?\It'd be safer if we don't go and see him.\What do you want to do, Natsume?\Mikuri!\Let's go. response:	I don't care what happens, then.
context: They feed off of anger and hatred.\Mikuri!\Did Mikuri hate Santo that much?\It'd be safer if we don't go and see him.\What do you want to do, Natsume?\Mikuri!\Let's go.\I don't care what happens, then. response:	Go, Nyanko-sensei!
context: Mikuri!\Did Mikuri hate Santo that much?\It'd be safer if we don't go and see him.\What do you want to do, Natsume?\Mikuri!\Let's go.\I don't care what happens, then.\Go, Nyanko-sensei! response:	Damn idiot!
context: Did Mikuri hate Santo that much?\It'd be safer if we don't go and see him.\What do you want to do, Natsume?\Mikuri!\Let's go.\I don't care what happens, then.\Go, Nyanko-sensei!\Damn idiot! response:	It's cold.
context: It'd be safer if we don't go and see him.\What do you want to do, Natsume?\Mikuri!\Let's go.\I don't care what happens, then.\Go, Nyanko-sensei!\Damn idiot!\It's cold. response:	It's almost like it's not even summer.
context: What do you want to do, Natsume?\Mikuri!\Let's go.\I don't care what happens, then.\Go, Nyanko-sensei!\Damn idiot!\It's cold.\It's almost like it's not even summer. response:	It's not the mountain winds.
context: Mikuri!\Let's go.\I don't care what happens, then.\Go, Nyanko-sensei!\Damn idiot!\It's cold.\It's almost like it's not even summer.\It's not the mountain winds. response:	It must be because of the malice.
context: Let's go.\I don't care what happens, then.\Go, Nyanko-sensei!\Damn idiot!\It's cold.\It's almost like it's not even summer.\It's not the mountain winds.\It must be because of the malice. response:	Mikuri! Come on out!
context: I don't care what happens, then.\Go, Nyanko-sensei!\Damn idiot!\It's cold.\It's almost like it's not even summer.\It's not the mountain winds.\It must be because of the malice.\Mikuri! Come on out! response:	Mikuri!
context: Go, Nyanko-sensei!\Damn idiot!\It's cold.\It's almost like it's not even summer.\It's not the mountain winds.\It must be because of the malice.\Mikuri! Come on out!\Mikuri! response:	We need to talk!
context: Damn idiot!\It's cold.\It's almost like it's not even summer.\It's not the mountain winds.\It must be because of the malice.\Mikuri! Come on out!\Mikuri!\We need to talk! response:	Santo, what does Mikuri look like?
context: It's cold.\It's almost like it's not even summer.\It's not the mountain winds.\It must be because of the malice.\Mikuri! Come on out!\Mikuri!\We need to talk!\Santo, what does Mikuri look like? response:	Um...
context: It's almost like it's not even summer.\It's not the mountain winds.\It must be because of the malice.\Mikuri! Come on out!\Mikuri!\We need to talk!\Santo, what does Mikuri look like?\Um... response:	He's small.
context: It's not the mountain winds.\It must be because of the malice.\Mikuri! Come on out!\Mikuri!\We need to talk!\Santo, what does Mikuri look like?\Um...\He's small. response:	Small?
context: It must be because of the malice.\Mikuri! Come on out!\Mikuri!\We need to talk!\Santo, what does Mikuri look like?\Um...\He's small.\Small? response:	How small?
context: Mikuri! Come on out!\Mikuri!\We need to talk!\Santo, what does Mikuri look like?\Um...\He's small.\Small?\How small? response:	Is he that small?
context: Mikuri!\We need to talk!\Santo, what does Mikuri look like?\Um...\He's small.\Small?\How small?\Is he that small? response:	About that small?
context: We need to talk!\Santo, what does Mikuri look like?\Um...\He's small.\Small?\How small?\Is he that small?\About that small? response:	This is no time to be joking around.
context: Santo, what does Mikuri look like?\Um...\He's small.\Small?\How small?\Is he that small?\About that small?\This is no time to be joking around. response:	Something's here, Natsume!
context: Um...\He's small.\Small?\How small?\Is he that small?\About that small?\This is no time to be joking around.\Something's here, Natsume! response:	Be careful!
context: He's small.\Small?\How small?\Is he that small?\About that small?\This is no time to be joking around.\Something's here, Natsume!\Be careful! response:	Show yourself!
context: Small?\How small?\Is he that small?\About that small?\This is no time to be joking around.\Something's here, Natsume!\Be careful!\Show yourself! response:	A catfish?
context: How small?\Is he that small?\About that small?\This is no time to be joking around.\Something's here, Natsume!\Be careful!\Show yourself!\A catfish? response:	Mikuri...
context: Is he that small?\About that small?\This is no time to be joking around.\Something's here, Natsume!\Be careful!\Show yourself!\A catfish?\Mikuri... response:	That's Mikuri?
context: About that small?\This is no time to be joking around.\Something's here, Natsume!\Be careful!\Show yourself!\A catfish?\Mikuri...\That's Mikuri? response:	He's huge!
context: This is no time to be joking around.\Something's here, Natsume!\Be careful!\Show yourself!\A catfish?\Mikuri...\That's Mikuri?\He's huge! response:	What do you want to do, Natsume?
context: Something's here, Natsume!\Be careful!\Show yourself!\A catfish?\Mikuri...\That's Mikuri?\He's huge!\What do you want to do, Natsume? response:	Want to talk to him?
context: Be careful!\Show yourself!\A catfish?\Mikuri...\That's Mikuri?\He's huge!\What do you want to do, Natsume?\Want to talk to him? response:	Who do you think I am?
context: Show yourself!\A catfish?\Mikuri...\That's Mikuri?\He's huge!\What do you want to do, Natsume?\Want to talk to him?\Who do you think I am? response:	Sensei!
context: A catfish?\Mikuri...\That's Mikuri?\He's huge!\What do you want to do, Natsume?\Want to talk to him?\Who do you think I am?\Sensei! response:	You're Natsume Reiko, aren't you?
context: Mikuri...\That's Mikuri?\He's huge!\What do you want to do, Natsume?\Want to talk to him?\Who do you think I am?\Sensei!\You're Natsume Reiko, aren't you? response:	Thank you for coming.
context: That's Mikuri?\He's huge!\What do you want to do, Natsume?\Want to talk to him?\Who do you think I am?\Sensei!\You're Natsume Reiko, aren't you?\Thank you for coming. response:	Give me the Book of Friends.
context: He's huge!\What do you want to do, Natsume?\Want to talk to him?\Who do you think I am?\Sensei!\You're Natsume Reiko, aren't you?\Thank you for coming.\Give me the Book of Friends. response:	I see, the Book of Friends is in there.
context: What do you want to do, Natsume?\Want to talk to him?\Who do you think I am?\Sensei!\You're Natsume Reiko, aren't you?\Thank you for coming.\Give me the Book of Friends.\I see, the Book of Friends is in there. response:	What are you doing?
context: Want to talk to him?\Who do you think I am?\Sensei!\You're Natsume Reiko, aren't you?\Thank you for coming.\Give me the Book of Friends.\I see, the Book of Friends is in there.\What are you doing? response:	This is Reiko's!
context: Who do you think I am?\Sensei!\You're Natsume Reiko, aren't you?\Thank you for coming.\Give me the Book of Friends.\I see, the Book of Friends is in there.\What are you doing?\This is Reiko's! response:	Hand it over, you fool!
context: Sensei!\You're Natsume Reiko, aren't you?\Thank you for coming.\Give me the Book of Friends.\I see, the Book of Friends is in there.\What are you doing?\This is Reiko's!\Hand it over, you fool! response:	Mikuri!
context: You're Natsume Reiko, aren't you?\Thank you for coming.\Give me the Book of Friends.\I see, the Book of Friends is in there.\What are you doing?\This is Reiko's!\Hand it over, you fool!\Mikuri! response:	Mikuri! It's me! Santo!
context: Thank you for coming.\Give me the Book of Friends.\I see, the Book of Friends is in there.\What are you doing?\This is Reiko's!\Hand it over, you fool!\Mikuri!\Mikuri! It's me! Santo! response:	I'm sorry! Please, come to your senses!
context: Give me the Book of Friends.\I see, the Book of Friends is in there.\What are you doing?\This is Reiko's!\Hand it over, you fool!\Mikuri!\Mikuri! It's me! Santo!\I'm sorry! Please, come to your senses! response:	Come back, Mikuri! Please!
context: I see, the Book of Friends is in there.\What are you doing?\This is Reiko's!\Hand it over, you fool!\Mikuri!\Mikuri! It's me! Santo!\I'm sorry! Please, come to your senses!\Come back, Mikuri! Please! response:	Santo...
context: What are you doing?\This is Reiko's!\Hand it over, you fool!\Mikuri!\Mikuri! It's me! Santo!\I'm sorry! Please, come to your senses!\Come back, Mikuri! Please!\Santo... response:	Give me the Book of Friends!
context: This is Reiko's!\Hand it over, you fool!\Mikuri!\Mikuri! It's me! Santo!\I'm sorry! Please, come to your senses!\Come back, Mikuri! Please!\Santo...\Give me the Book of Friends! response:	No! I won't!
context: Hand it over, you fool!\Mikuri!\Mikuri! It's me! Santo!\I'm sorry! Please, come to your senses!\Come back, Mikuri! Please!\Santo...\Give me the Book of Friends!\No! I won't! response:	Give it!
context: Mikuri!\Mikuri! It's me! Santo!\I'm sorry! Please, come to your senses!\Come back, Mikuri! Please!\Santo...\Give me the Book of Friends!\No! I won't!\Give it! response:	He did it.
context: Mikuri! It's me! Santo!\I'm sorry! Please, come to your senses!\Come back, Mikuri! Please!\Santo...\Give me the Book of Friends!\No! I won't!\Give it!\He did it. response:	Are you okay, Natsume?
context: I'm sorry! Please, come to your senses!\Come back, Mikuri! Please!\Santo...\Give me the Book of Friends!\No! I won't!\Give it!\He did it.\Are you okay, Natsume? response:	Yeah.
context: Come back, Mikuri! Please!\Santo...\Give me the Book of Friends!\No! I won't!\Give it!\He did it.\Are you okay, Natsume?\Yeah. response:	Here.
context: Santo...\Give me the Book of Friends!\No! I won't!\Give it!\He did it.\Are you okay, Natsume?\Yeah.\Here. response:	Thanks.
context: Give me the Book of Friends!\No! I won't!\Give it!\He did it.\Are you okay, Natsume?\Yeah.\Here.\Thanks. response:	Where's Mikuri?
context: No! I won't!\Give it!\He did it.\Are you okay, Natsume?\Yeah.\Here.\Thanks.\Where's Mikuri? response:	It's sad, but he disappeared along with the earth spirits to the bottom of the swamp.
context: Give it!\He did it.\Are you okay, Natsume?\Yeah.\Here.\Thanks.\Where's Mikuri?\It's sad, but he disappeared along with the earth spirits to the bottom of the swamp. response:	Santo...
context: He did it.\Are you okay, Natsume?\Yeah.\Here.\Thanks.\Where's Mikuri?\It's sad, but he disappeared along with the earth spirits to the bottom of the swamp.\Santo... response:	Geez, what's going on?
context: Are you okay, Natsume?\Yeah.\Here.\Thanks.\Where's Mikuri?\It's sad, but he disappeared along with the earth spirits to the bottom of the swamp.\Santo...\Geez, what's going on? response:	Santo! What are you doing?
context: Yeah.\Here.\Thanks.\Where's Mikuri?\It's sad, but he disappeared along with the earth spirits to the bottom of the swamp.\Santo...\Geez, what's going on?\Santo! What are you doing? response:	Mikuri!
context: Here.\Thanks.\Where's Mikuri?\It's sad, but he disappeared along with the earth spirits to the bottom of the swamp.\Santo...\Geez, what's going on?\Santo! What are you doing?\Mikuri! response:	Hey, what are you doing, you idiot!? Let go!
context: Thanks.\Where's Mikuri?\It's sad, but he disappeared along with the earth spirits to the bottom of the swamp.\Santo...\Geez, what's going on?\Santo! What are you doing?\Mikuri!\Hey, what are you doing, you idiot!? Let go! response:	Hey, stop!
context: Where's Mikuri?\It's sad, but he disappeared along with the earth spirits to the bottom of the swamp.\Santo...\Geez, what's going on?\Santo! What are you doing?\Mikuri!\Hey, what are you doing, you idiot!? Let go!\Hey, stop! response:	Mikuri!
context: It's sad, but he disappeared along with the earth spirits to the bottom of the swamp.\Santo...\Geez, what's going on?\Santo! What are you doing?\Mikuri!\Hey, what are you doing, you idiot!? Let go!\Hey, stop!\Mikuri! response:	Stop!
context: Santo...\Geez, what's going on?\Santo! What are you doing?\Mikuri!\Hey, what are you doing, you idiot!? Let go!\Hey, stop!\Mikuri!\Stop! response:	This is creepy, so let go!
context: Geez, what's going on?\Santo! What are you doing?\Mikuri!\Hey, what are you doing, you idiot!? Let go!\Hey, stop!\Mikuri!\Stop!\This is creepy, so let go! response:	I said let go!
context: Santo! What are you doing?\Mikuri!\Hey, what are you doing, you idiot!? Let go!\Hey, stop!\Mikuri!\Stop!\This is creepy, so let go!\I said let go! response:	You had a fight because of Reiko?
context: Mikuri!\Hey, what are you doing, you idiot!? Let go!\Hey, stop!\Mikuri!\Stop!\This is creepy, so let go!\I said let go!\You had a fight because of Reiko? response:	Yeah, Natsume Reiko.
context: Hey, what are you doing, you idiot!? Let go!\Hey, stop!\Mikuri!\Stop!\This is creepy, so let go!\I said let go!\You had a fight because of Reiko?\Yeah, Natsume Reiko. response:	What do you mean by that?
context: Hey, stop!\Mikuri!\Stop!\This is creepy, so let go!\I said let go!\You had a fight because of Reiko?\Yeah, Natsume Reiko.\What do you mean by that? response:	His name.
context: Mikuri!\Stop!\This is creepy, so let go!\I said let go!\You had a fight because of Reiko?\Yeah, Natsume Reiko.\What do you mean by that?\His name. response:	He gave his precious name to Reiko.
context: Stop!\This is creepy, so let go!\I said let go!\You had a fight because of Reiko?\Yeah, Natsume Reiko.\What do you mean by that?\His name.\He gave his precious name to Reiko. response:	That's why I got angry.
context: This is creepy, so let go!\I said let go!\You had a fight because of Reiko?\Yeah, Natsume Reiko.\What do you mean by that?\His name.\He gave his precious name to Reiko.\That's why I got angry. response:	Don't you have any pride as an Ayakashi, you big fool?
context: I said let go!\You had a fight because of Reiko?\Yeah, Natsume Reiko.\What do you mean by that?\His name.\He gave his precious name to Reiko.\That's why I got angry.\Don't you have any pride as an Ayakashi, you big fool? response:	I didn't want to see your face again!
context: You had a fight because of Reiko?\Yeah, Natsume Reiko.\What do you mean by that?\His name.\He gave his precious name to Reiko.\That's why I got angry.\Don't you have any pride as an Ayakashi, you big fool?\I didn't want to see your face again! response:	And then you just show up like it's nothing!
