context: Used Bookstore Hitotose response:	And hup... and hup...
context: what brings you here, Yua-chan?\Oh, right, I came to lend you some DVDs.\Performances by my favorite small theater troupes,\and acting lessons on DVD!\Watch these and study them carefully.\Huh? I can borrow those?\Aren't they important to you?\I-It's no big deal! response:	If you don't get better, I'll have no competition.
context: Oh, right, I came to lend you some DVDs.\Performances by my favorite small theater troupes,\and acting lessons on DVD!\Watch these and study them carefully.\Huh? I can borrow those?\Aren't they important to you?\I-It's no big deal!\If you don't get better, I'll have no competition. response:	And as a fellow actress in the Hitotose Troupe...
context: Performances by my favorite small theater troupes,\and acting lessons on DVD!\Watch these and study them carefully.\Huh? I can borrow those?\Aren't they important to you?\I-It's no big deal!\If you don't get better, I'll have no competition.\And as a fellow actress in the Hitotose Troupe... response:	Thanks, Yua-chan!
context: and acting lessons on DVD!\Watch these and study them carefully.\Huh? I can borrow those?\Aren't they important to you?\I-It's no big deal!\If you don't get better, I'll have no competition.\And as a fellow actress in the Hitotose Troupe...\Thanks, Yua-chan! response:	D-Don't get the wrong idea, okay?!
context: Watch these and study them carefully.\Huh? I can borrow those?\Aren't they important to you?\I-It's no big deal!\If you don't get better, I'll have no competition.\And as a fellow actress in the Hitotose Troupe...\Thanks, Yua-chan!\D-Don't get the wrong idea, okay?! response:	It's not for you
context: Huh? I can borrow those?\Aren't they important to you?\I-It's no big deal!\If you don't get better, I'll have no competition.\And as a fellow actress in the Hitotose Troupe...\Thanks, Yua-chan!\D-Don't get the wrong idea, okay?!\It's not for you response:	You really are nice, Yua-chan!
context: Aren't they important to you?\I-It's no big deal!\If you don't get better, I'll have no competition.\And as a fellow actress in the Hitotose Troupe...\Thanks, Yua-chan!\D-Don't get the wrong idea, okay?!\It's not for you\You really are nice, Yua-chan! response:	I told you not to get the wrong idea!
context: I-It's no big deal!\If you don't get better, I'll have no competition.\And as a fellow actress in the Hitotose Troupe...\Thanks, Yua-chan!\D-Don't get the wrong idea, okay?!\It's not for you\You really are nice, Yua-chan!\I told you not to get the wrong idea! response:	They're more like a mother and child than fellow actresses.
context: If you don't get better, I'll have no competition.\And as a fellow actress in the Hitotose Troupe...\Thanks, Yua-chan!\D-Don't get the wrong idea, okay?!\It's not for you\You really are nice, Yua-chan!\I told you not to get the wrong idea!\They're more like a mother and child than fellow actresses. response:	Thanks!
context: And as a fellow actress in the Hitotose Troupe...\Thanks, Yua-chan!\D-Don't get the wrong idea, okay?!\It's not for you\You really are nice, Yua-chan!\I told you not to get the wrong idea!\They're more like a mother and child than fellow actresses.\Thanks! response:	Like I said, I'm not doing this for you!
context: Thanks, Yua-chan!\D-Don't get the wrong idea, okay?!\It's not for you\You really are nice, Yua-chan!\I told you not to get the wrong idea!\They're more like a mother and child than fellow actresses.\Thanks!\Like I said, I'm not doing this for you! response:	Yeah.
context: D-Don't get the wrong idea, okay?!\It's not for you\You really are nice, Yua-chan!\I told you not to get the wrong idea!\They're more like a mother and child than fellow actresses.\Thanks!\Like I said, I'm not doing this for you!\Yeah. response:	I'll be sure to watch them.
context: It's not for you\You really are nice, Yua-chan!\I told you not to get the wrong idea!\They're more like a mother and child than fellow actresses.\Thanks!\Like I said, I'm not doing this for you!\Yeah.\I'll be sure to watch them. response:	Today was a lot of fun. I even got to spend time with Yua-chan.
context: You really are nice, Yua-chan!\I told you not to get the wrong idea!\They're more like a mother and child than fellow actresses.\Thanks!\Like I said, I'm not doing this for you!\Yeah.\I'll be sure to watch them.\Today was a lot of fun. I even got to spend time with Yua-chan. response:	I can't believe she came to see me, even though it's summer break.
context: I told you not to get the wrong idea!\They're more like a mother and child than fellow actresses.\Thanks!\Like I said, I'm not doing this for you!\Yeah.\I'll be sure to watch them.\Today was a lot of fun. I even got to spend time with Yua-chan.\I can't believe she came to see me, even though it's summer break. response:	And as a fellow actress in the Hitotose Troupe...
context: They're more like a mother and child than fellow actresses.\Thanks!\Like I said, I'm not doing this for you!\Yeah.\I'll be sure to watch them.\Today was a lot of fun. I even got to spend time with Yua-chan.\I can't believe she came to see me, even though it's summer break.\And as a fellow actress in the Hitotose Troupe... response:	I'm so happy to be part of a group of friends who help each other.
context: Thanks!\Like I said, I'm not doing this for you!\Yeah.\I'll be sure to watch them.\Today was a lot of fun. I even got to spend time with Yua-chan.\I can't believe she came to see me, even though it's summer break.\And as a fellow actress in the Hitotose Troupe...\I'm so happy to be part of a group of friends who help each other. response:	It's too early to go to bed,
context: Like I said, I'm not doing this for you!\Yeah.\I'll be sure to watch them.\Today was a lot of fun. I even got to spend time with Yua-chan.\I can't believe she came to see me, even though it's summer break.\And as a fellow actress in the Hitotose Troupe...\I'm so happy to be part of a group of friends who help each other.\It's too early to go to bed, response:	so I'll watch just a little bit of the DVDs Yua-chan lent me.
context: Yeah.\I'll be sure to watch them.\Today was a lot of fun. I even got to spend time with Yua-chan.\I can't believe she came to see me, even though it's summer break.\And as a fellow actress in the Hitotose Troupe...\I'm so happy to be part of a group of friends who help each other.\It's too early to go to bed,\so I'll watch just a little bit of the DVDs Yua-chan lent me. response:	Huh...
context: I'll be sure to watch them.\Today was a lot of fun. I even got to spend time with Yua-chan.\I can't believe she came to see me, even though it's summer break.\And as a fellow actress in the Hitotose Troupe...\I'm so happy to be part of a group of friends who help each other.\It's too early to go to bed,\so I'll watch just a little bit of the DVDs Yua-chan lent me.\Huh... response:	I'll watch this and do my best to aim for the Suzuran stage!
context: Today was a lot of fun. I even got to spend time with Yua-chan.\I can't believe she came to see me, even though it's summer break.\And as a fellow actress in the Hitotose Troupe...\I'm so happy to be part of a group of friends who help each other.\It's too early to go to bed,\so I'll watch just a little bit of the DVDs Yua-chan lent me.\Huh...\I'll watch this and do my best to aim for the Suzuran stage! response:	Help me, Yua-chan!
context: I can't believe she came to see me, even though it's summer break.\And as a fellow actress in the Hitotose Troupe...\I'm so happy to be part of a group of friends who help each other.\It's too early to go to bed,\so I'll watch just a little bit of the DVDs Yua-chan lent me.\Huh...\I'll watch this and do my best to aim for the Suzuran stage!\Help me, Yua-chan! response:	You can't even play a DVD?!
context: And as a fellow actress in the Hitotose Troupe...\I'm so happy to be part of a group of friends who help each other.\It's too early to go to bed,\so I'll watch just a little bit of the DVDs Yua-chan lent me.\Huh...\I'll watch this and do my best to aim for the Suzuran stage!\Help me, Yua-chan!\You can't even play a DVD?! response:	Just how deep in the countryside did you live?!
context: I'm so happy to be part of a group of friends who help each other.\It's too early to go to bed,\so I'll watch just a little bit of the DVDs Yua-chan lent me.\Huh...\I'll watch this and do my best to aim for the Suzuran stage!\Help me, Yua-chan!\You can't even play a DVD?!\Just how deep in the countryside did you live?! response:	Coffee Shop
context: It's too early to go to bed,\so I'll watch just a little bit of the DVDs Yua-chan lent me.\Huh...\I'll watch this and do my best to aim for the Suzuran stage!\Help me, Yua-chan!\You can't even play a DVD?!\Just how deep in the countryside did you live?!\Coffee Shop response:	Help yourself to an open seat.
context: so I'll watch just a little bit of the DVDs Yua-chan lent me.\Huh...\I'll watch this and do my best to aim for the Suzuran stage!\Help me, Yua-chan!\You can't even play a DVD?!\Just how deep in the countryside did you live?!\Coffee Shop\Help yourself to an open seat. response:	Maybe I'll be able to manage today.
context: Huh...\I'll watch this and do my best to aim for the Suzuran stage!\Help me, Yua-chan!\You can't even play a DVD?!\Just how deep in the countryside did you live?!\Coffee Shop\Help yourself to an open seat.\Maybe I'll be able to manage today. response:	I have to do my best to help out after this, too.
context: I'll watch this and do my best to aim for the Suzuran stage!\Help me, Yua-chan!\You can't even play a DVD?!\Just how deep in the countryside did you live?!\Coffee Shop\Help yourself to an open seat.\Maybe I'll be able to manage today.\I have to do my best to help out after this, too. response:	Hina-chan!
context: Help me, Yua-chan!\You can't even play a DVD?!\Just how deep in the countryside did you live?!\Coffee Shop\Help yourself to an open seat.\Maybe I'll be able to manage today.\I have to do my best to help out after this, too.\Hina-chan! response:	Yes!
context: You can't even play a DVD?!\Just how deep in the countryside did you live?!\Coffee Shop\Help yourself to an open seat.\Maybe I'll be able to manage today.\I have to do my best to help out after this, too.\Hina-chan!\Yes! response:	Would you go and take the customer's order?
context: Just how deep in the countryside did you live?!\Coffee Shop\Help yourself to an open seat.\Maybe I'll be able to manage today.\I have to do my best to help out after this, too.\Hina-chan!\Yes!\Would you go and take the customer's order? response:	Okay.
context: Coffee Shop\Help yourself to an open seat.\Maybe I'll be able to manage today.\I have to do my best to help out after this, too.\Hina-chan!\Yes!\Would you go and take the customer's order?\Okay. response:	H-Have you decided wh-what you'd like to order?
context: Help yourself to an open seat.\Maybe I'll be able to manage today.\I have to do my best to help out after this, too.\Hina-chan!\Yes!\Would you go and take the customer's order?\Okay.\H-Have you decided wh-what you'd like to order? response:	Yes, thank you.
context: Maybe I'll be able to manage today.\I have to do my best to help out after this, too.\Hina-chan!\Yes!\Would you go and take the customer's order?\Okay.\H-Have you decided wh-what you'd like to order?\Yes, thank you. response:	You can do it, Hina-chan!
context: I have to do my best to help out after this, too.\Hina-chan!\Yes!\Would you go and take the customer's order?\Okay.\H-Have you decided wh-what you'd like to order?\Yes, thank you.\You can do it, Hina-chan! response:	W-Will that be all?
context: Hina-chan!\Yes!\Would you go and take the customer's order?\Okay.\H-Have you decided wh-what you'd like to order?\Yes, thank you.\You can do it, Hina-chan!\W-Will that be all? response:	Yes.
context: Yes!\Would you go and take the customer's order?\Okay.\H-Have you decided wh-what you'd like to order?\Yes, thank you.\You can do it, Hina-chan!\W-Will that be all?\Yes. response:	Th-Then please wait a... a... moment...
context: Would you go and take the customer's order?\Okay.\H-Have you decided wh-what you'd like to order?\Yes, thank you.\You can do it, Hina-chan!\W-Will that be all?\Yes.\Th-Then please wait a... a... moment... response:	H-Hina-chan!
context: Okay.\H-Have you decided wh-what you'd like to order?\Yes, thank you.\You can do it, Hina-chan!\W-Will that be all?\Yes.\Th-Then please wait a... a... moment...\H-Hina-chan! response:	A-Are you okay?!
context: H-Have you decided wh-what you'd like to order?\Yes, thank you.\You can do it, Hina-chan!\W-Will that be all?\Yes.\Th-Then please wait a... a... moment...\H-Hina-chan!\A-Are you okay?! response:	37.5 degrees...
context: Yes, thank you.\You can do it, Hina-chan!\W-Will that be all?\Yes.\Th-Then please wait a... a... moment...\H-Hina-chan!\A-Are you okay?!\37.5 degrees... response:	Looks like Hina-chan caught a cold.
context: You can do it, Hina-chan!\W-Will that be all?\Yes.\Th-Then please wait a... a... moment...\H-Hina-chan!\A-Are you okay?!\37.5 degrees...\Looks like Hina-chan caught a cold. response:	Do you think we should take her to a clinic?
context: W-Will that be all?\Yes.\Th-Then please wait a... a... moment...\H-Hina-chan!\A-Are you okay?!\37.5 degrees...\Looks like Hina-chan caught a cold.\Do you think we should take her to a clinic? response:	Maybe we should contact her parents, too!
context: Yes.\Th-Then please wait a... a... moment...\H-Hina-chan!\A-Are you okay?!\37.5 degrees...\Looks like Hina-chan caught a cold.\Do you think we should take her to a clinic?\Maybe we should contact her parents, too! response:	Calm down. It's just a mild fever.
context: Th-Then please wait a... a... moment...\H-Hina-chan!\A-Are you okay?!\37.5 degrees...\Looks like Hina-chan caught a cold.\Do you think we should take her to a clinic?\Maybe we should contact her parents, too!\Calm down. It's just a mild fever. response:	Let's just keep an eye on her.
context: H-Hina-chan!\A-Are you okay?!\37.5 degrees...\Looks like Hina-chan caught a cold.\Do you think we should take her to a clinic?\Maybe we should contact her parents, too!\Calm down. It's just a mild fever.\Let's just keep an eye on her. response:	You can go on and get back to work.
context: A-Are you okay?!\37.5 degrees...\Looks like Hina-chan caught a cold.\Do you think we should take her to a clinic?\Maybe we should contact her parents, too!\Calm down. It's just a mild fever.\Let's just keep an eye on her.\You can go on and get back to work. response:	I'll take care of her.
context: 37.5 degrees...\Looks like Hina-chan caught a cold.\Do you think we should take her to a clinic?\Maybe we should contact her parents, too!\Calm down. It's just a mild fever.\Let's just keep an eye on her.\You can go on and get back to work.\I'll take care of her. response:	O-Okay. Sorry I lost my cool.
context: Looks like Hina-chan caught a cold.\Do you think we should take her to a clinic?\Maybe we should contact her parents, too!\Calm down. It's just a mild fever.\Let's just keep an eye on her.\You can go on and get back to work.\I'll take care of her.\O-Okay. Sorry I lost my cool. response:	Is it true that Hina-chan passed out?!
context: Do you think we should take her to a clinic?\Maybe we should contact her parents, too!\Calm down. It's just a mild fever.\Let's just keep an eye on her.\You can go on and get back to work.\I'll take care of her.\O-Okay. Sorry I lost my cool.\Is it true that Hina-chan passed out?! response:	Sh-Should I call an ambulance?!
context: Maybe we should contact her parents, too!\Calm down. It's just a mild fever.\Let's just keep an eye on her.\You can go on and get back to work.\I'll take care of her.\O-Okay. Sorry I lost my cool.\Is it true that Hina-chan passed out?!\Sh-Should I call an ambulance?! response:	Or should I carry her myself?!
context: Calm down. It's just a mild fever.\Let's just keep an eye on her.\You can go on and get back to work.\I'll take care of her.\O-Okay. Sorry I lost my cool.\Is it true that Hina-chan passed out?!\Sh-Should I call an ambulance?!\Or should I carry her myself?! response:	You need to calm down, too, Kuu-chan.
context: Let's just keep an eye on her.\You can go on and get back to work.\I'll take care of her.\O-Okay. Sorry I lost my cool.\Is it true that Hina-chan passed out?!\Sh-Should I call an ambulance?!\Or should I carry her myself?!\You need to calm down, too, Kuu-chan. response:	Thank goodness! You're awake!
context: You can go on and get back to work.\I'll take care of her.\O-Okay. Sorry I lost my cool.\Is it true that Hina-chan passed out?!\Sh-Should I call an ambulance?!\Or should I carry her myself?!\You need to calm down, too, Kuu-chan.\Thank goodness! You're awake! response:	Kuu-chan... What did I...
context: I'll take care of her.\O-Okay. Sorry I lost my cool.\Is it true that Hina-chan passed out?!\Sh-Should I call an ambulance?!\Or should I carry her myself?!\You need to calm down, too, Kuu-chan.\Thank goodness! You're awake!\Kuu-chan... What did I... response:	You came down with a fever and passed out while waiting on a customer.
context: O-Okay. Sorry I lost my cool.\Is it true that Hina-chan passed out?!\Sh-Should I call an ambulance?!\Or should I carry her myself?!\You need to calm down, too, Kuu-chan.\Thank goodness! You're awake!\Kuu-chan... What did I...\You came down with a fever and passed out while waiting on a customer. response:	What? Who's working the coffee shop?
context: Is it true that Hina-chan passed out?!\Sh-Should I call an ambulance?!\Or should I carry her myself?!\You need to calm down, too, Kuu-chan.\Thank goodness! You're awake!\Kuu-chan... What did I...\You came down with a fever and passed out while waiting on a customer.\What? Who's working the coffee shop? response:	Mayu-chan is handling it on her own for now.
context: Sh-Should I call an ambulance?!\Or should I carry her myself?!\You need to calm down, too, Kuu-chan.\Thank goodness! You're awake!\Kuu-chan... What did I...\You came down with a fever and passed out while waiting on a customer.\What? Who's working the coffee shop?\Mayu-chan is handling it on her own for now. response:	I'll be going to help her later.
context: Or should I carry her myself?!\You need to calm down, too, Kuu-chan.\Thank goodness! You're awake!\Kuu-chan... What did I...\You came down with a fever and passed out while waiting on a customer.\What? Who's working the coffee shop?\Mayu-chan is handling it on her own for now.\I'll be going to help her later. response:	I-I'm sorry.
context: You need to calm down, too, Kuu-chan.\Thank goodness! You're awake!\Kuu-chan... What did I...\You came down with a fever and passed out while waiting on a customer.\What? Who's working the coffee shop?\Mayu-chan is handling it on her own for now.\I'll be going to help her later.\I-I'm sorry. response:	It's all because of me.
context: Thank goodness! You're awake!\Kuu-chan... What did I...\You came down with a fever and passed out while waiting on a customer.\What? Who's working the coffee shop?\Mayu-chan is handling it on her own for now.\I'll be going to help her later.\I-I'm sorry.\It's all because of me. response:	It's okay. Don't worry about a thing.
context: Kuu-chan... What did I...\You came down with a fever and passed out while waiting on a customer.\What? Who's working the coffee shop?\Mayu-chan is handling it on her own for now.\I'll be going to help her later.\I-I'm sorry.\It's all because of me.\It's okay. Don't worry about a thing. response:	Hina-chan, is there anything we can get for you?
context: You came down with a fever and passed out while waiting on a customer.\What? Who's working the coffee shop?\Mayu-chan is handling it on her own for now.\I'll be going to help her later.\I-I'm sorry.\It's all because of me.\It's okay. Don't worry about a thing.\Hina-chan, is there anything we can get for you? response:	I feel a little cold,
context: What? Who's working the coffee shop?\Mayu-chan is handling it on her own for now.\I'll be going to help her later.\I-I'm sorry.\It's all because of me.\It's okay. Don't worry about a thing.\Hina-chan, is there anything we can get for you?\I feel a little cold, response:	so something warm might be nice.
context: Mayu-chan is handling it on her own for now.\I'll be going to help her later.\I-I'm sorry.\It's all because of me.\It's okay. Don't worry about a thing.\Hina-chan, is there anything we can get for you?\I feel a little cold,\so something warm might be nice. response:	In that case, I'll warm you with my own body right now!
context: I'll be going to help her later.\I-I'm sorry.\It's all because of me.\It's okay. Don't worry about a thing.\Hina-chan, is there anything we can get for you?\I feel a little cold,\so something warm might be nice.\In that case, I'll warm you with my own body right now! response:	I'm warm-blooded!
context: I-I'm sorry.\It's all because of me.\It's okay. Don't worry about a thing.\Hina-chan, is there anything we can get for you?\I feel a little cold,\so something warm might be nice.\In that case, I'll warm you with my own body right now!\I'm warm-blooded! response:	How's that, Hina-chan?
context: It's all because of me.\It's okay. Don't worry about a thing.\Hina-chan, is there anything we can get for you?\I feel a little cold,\so something warm might be nice.\In that case, I'll warm you with my own body right now!\I'm warm-blooded!\How's that, Hina-chan? response:	Are you warm now?
context: It's okay. Don't worry about a thing.\Hina-chan, is there anything we can get for you?\I feel a little cold,\so something warm might be nice.\In that case, I'll warm you with my own body right now!\I'm warm-blooded!\How's that, Hina-chan?\Are you warm now? response:	Yeah, v-very warm...
context: Hina-chan, is there anything we can get for you?\I feel a little cold,\so something warm might be nice.\In that case, I'll warm you with my own body right now!\I'm warm-blooded!\How's that, Hina-chan?\Are you warm now?\Yeah, v-very warm... response:	You know you can't do that. We need to let her rest.
context: I feel a little cold,\so something warm might be nice.\In that case, I'll warm you with my own body right now!\I'm warm-blooded!\How's that, Hina-chan?\Are you warm now?\Yeah, v-very warm...\You know you can't do that. We need to let her rest. response:	H-Hina-chan, I'll be back later!
context: so something warm might be nice.\In that case, I'll warm you with my own body right now!\I'm warm-blooded!\How's that, Hina-chan?\Are you warm now?\Yeah, v-very warm...\You know you can't do that. We need to let her rest.\H-Hina-chan, I'll be back later! response:	Just hang tight!
context: In that case, I'll warm you with my own body right now!\I'm warm-blooded!\How's that, Hina-chan?\Are you warm now?\Yeah, v-very warm...\You know you can't do that. We need to let her rest.\H-Hina-chan, I'll be back later!\Just hang tight! response:	That surprised me.
context: I'm warm-blooded!\How's that, Hina-chan?\Are you warm now?\Yeah, v-very warm...\You know you can't do that. We need to let her rest.\H-Hina-chan, I'll be back later!\Just hang tight!\That surprised me. response:	Can I take your order?
context: How's that, Hina-chan?\Are you warm now?\Yeah, v-very warm...\You know you can't do that. We need to let her rest.\H-Hina-chan, I'll be back later!\Just hang tight!\That surprised me.\Can I take your order? response:	I'll clean that up right away!
context: Are you warm now?\Yeah, v-very warm...\You know you can't do that. We need to let her rest.\H-Hina-chan, I'll be back later!\Just hang tight!\That surprised me.\Can I take your order?\I'll clean that up right away! response:	Ta-da! You here, Hinako?
context: Yeah, v-very warm...\You know you can't do that. We need to let her rest.\H-Hina-chan, I'll be back later!\Just hang tight!\That surprised me.\Can I take your order?\I'll clean that up right away!\Ta-da! You here, Hinako? response:	Yua-sama brought more DVDs to lend you...
context: You know you can't do that. We need to let her rest.\H-Hina-chan, I'll be back later!\Just hang tight!\That surprised me.\Can I take your order?\I'll clean that up right away!\Ta-da! You here, Hinako?\Yua-sama brought more DVDs to lend you... response:	Oh, Yua-chan.
context: H-Hina-chan, I'll be back later!\Just hang tight!\That surprised me.\Can I take your order?\I'll clean that up right away!\Ta-da! You here, Hinako?\Yua-sama brought more DVDs to lend you...\Oh, Yua-chan. response:	What? Hinako caught a cold and passed out?
context: Just hang tight!\That surprised me.\Can I take your order?\I'll clean that up right away!\Ta-da! You here, Hinako?\Yua-sama brought more DVDs to lend you...\Oh, Yua-chan.\What? Hinako caught a cold and passed out? response:	Yes, so I'm looking up things that help with colds.
context: That surprised me.\Can I take your order?\I'll clean that up right away!\Ta-da! You here, Hinako?\Yua-sama brought more DVDs to lend you...\Oh, Yua-chan.\What? Hinako caught a cold and passed out?\Yes, so I'm looking up things that help with colds. response:	To cure a cold...
context: Can I take your order?\I'll clean that up right away!\Ta-da! You here, Hinako?\Yua-sama brought more DVDs to lend you...\Oh, Yua-chan.\What? Hinako caught a cold and passed out?\Yes, so I'm looking up things that help with colds.\To cure a cold... response:	Dictionary of Medicines
context: I'll clean that up right away!\Ta-da! You here, Hinako?\Yua-sama brought more DVDs to lend you...\Oh, Yua-chan.\What? Hinako caught a cold and passed out?\Yes, so I'm looking up things that help with colds.\To cure a cold...\Dictionary of Medicines response:	Of course! She needs medicine, right?
context: Ta-da! You here, Hinako?\Yua-sama brought more DVDs to lend you...\Oh, Yua-chan.\What? Hinako caught a cold and passed out?\Yes, so I'm looking up things that help with colds.\To cure a cold...\Dictionary of Medicines\Of course! She needs medicine, right? response:	We can cure Hina-chan with this!
context: Yua-sama brought more DVDs to lend you...\Oh, Yua-chan.\What? Hinako caught a cold and passed out?\Yes, so I'm looking up things that help with colds.\To cure a cold...\Dictionary of Medicines\Of course! She needs medicine, right?\We can cure Hina-chan with this! response:	Here we go...
context: Oh, Yua-chan.\What? Hinako caught a cold and passed out?\Yes, so I'm looking up things that help with colds.\To cure a cold...\Dictionary of Medicines\Of course! She needs medicine, right?\We can cure Hina-chan with this!\Here we go... response:	You're doing it wrong.
context: What? Hinako caught a cold and passed out?\Yes, so I'm looking up things that help with colds.\To cure a cold...\Dictionary of Medicines\Of course! She needs medicine, right?\We can cure Hina-chan with this!\Here we go...\You're doing it wrong. response:	Hina-chan, I brought something that'll help your cold!
context: Yes, so I'm looking up things that help with colds.\To cure a cold...\Dictionary of Medicines\Of course! She needs medicine, right?\We can cure Hina-chan with this!\Here we go...\You're doing it wrong.\Hina-chan, I brought something that'll help your cold! response:	Ta-da! Say goodbye to your cold with this!
context: To cure a cold...\Dictionary of Medicines\Of course! She needs medicine, right?\We can cure Hina-chan with this!\Here we go...\You're doing it wrong.\Hina-chan, I brought something that'll help your cold!\Ta-da! Say goodbye to your cold with this! response:	Huh? A green onion?
context: Dictionary of Medicines\Of course! She needs medicine, right?\We can cure Hina-chan with this!\Here we go...\You're doing it wrong.\Hina-chan, I brought something that'll help your cold!\Ta-da! Say goodbye to your cold with this!\Huh? A green onion? response:	Yeah. Apparently you wrap it around your neck.
context: Of course! She needs medicine, right?\We can cure Hina-chan with this!\Here we go...\You're doing it wrong.\Hina-chan, I brought something that'll help your cold!\Ta-da! Say goodbye to your cold with this!\Huh? A green onion?\Yeah. Apparently you wrap it around your neck. response:	So let's wrap it around your neck right now!
context: We can cure Hina-chan with this!\Here we go...\You're doing it wrong.\Hina-chan, I brought something that'll help your cold!\Ta-da! Say goodbye to your cold with this!\Huh? A green onion?\Yeah. Apparently you wrap it around your neck.\So let's wrap it around your neck right now! response:	Something just doesn't seem right...
context: Here we go...\You're doing it wrong.\Hina-chan, I brought something that'll help your cold!\Ta-da! Say goodbye to your cold with this!\Huh? A green onion?\Yeah. Apparently you wrap it around your neck.\So let's wrap it around your neck right now!\Something just doesn't seem right... response:	Yeah. It's bound to take at least that much.
context: You're doing it wrong.\Hina-chan, I brought something that'll help your cold!\Ta-da! Say goodbye to your cold with this!\Huh? A green onion?\Yeah. Apparently you wrap it around your neck.\So let's wrap it around your neck right now!\Something just doesn't seem right...\Yeah. It's bound to take at least that much. response:	I-Isn't that too many?
context: Hina-chan, I brought something that'll help your cold!\Ta-da! Say goodbye to your cold with this!\Huh? A green onion?\Yeah. Apparently you wrap it around your neck.\So let's wrap it around your neck right now!\Something just doesn't seem right...\Yeah. It's bound to take at least that much.\I-Isn't that too many? response:	The more, the better! Everyone knows that!
context: Ta-da! Say goodbye to your cold with this!\Huh? A green onion?\Yeah. Apparently you wrap it around your neck.\So let's wrap it around your neck right now!\Something just doesn't seem right...\Yeah. It's bound to take at least that much.\I-Isn't that too many?\The more, the better! Everyone knows that! response:	Even if she gets hungry and eats some,
context: Huh? A green onion?\Yeah. Apparently you wrap it around your neck.\So let's wrap it around your neck right now!\Something just doesn't seem right...\Yeah. It's bound to take at least that much.\I-Isn't that too many?\The more, the better! Everyone knows that!\Even if she gets hungry and eats some, response:	there's plenty to spare!
context: Yeah. Apparently you wrap it around your neck.\So let's wrap it around your neck right now!\Something just doesn't seem right...\Yeah. It's bound to take at least that much.\I-Isn't that too many?\The more, the better! Everyone knows that!\Even if she gets hungry and eats some,\there's plenty to spare! response:	Well, I guess you do have a point there...
context: So let's wrap it around your neck right now!\Something just doesn't seem right...\Yeah. It's bound to take at least that much.\I-Isn't that too many?\The more, the better! Everyone knows that!\Even if she gets hungry and eats some,\there's plenty to spare!\Well, I guess you do have a point there... response:	What else can we do?
context: Something just doesn't seem right...\Yeah. It's bound to take at least that much.\I-Isn't that too many?\The more, the better! Everyone knows that!\Even if she gets hungry and eats some,\there's plenty to spare!\Well, I guess you do have a point there...\What else can we do? response:	Oh, I know!
context: Yeah. It's bound to take at least that much.\I-Isn't that too many?\The more, the better! Everyone knows that!\Even if she gets hungry and eats some,\there's plenty to spare!\Well, I guess you do have a point there...\What else can we do?\Oh, I know! response:	They say that when you have a cold,
context: I-Isn't that too many?\The more, the better! Everyone knows that!\Even if she gets hungry and eats some,\there's plenty to spare!\Well, I guess you do have a point there...\What else can we do?\Oh, I know!\They say that when you have a cold, response:	you should sweat it out!
context: The more, the better! Everyone knows that!\Even if she gets hungry and eats some,\there's plenty to spare!\Well, I guess you do have a point there...\What else can we do?\Oh, I know!\They say that when you have a cold,\you should sweat it out! response:	What is all this?
context: Even if she gets hungry and eats some,\there's plenty to spare!\Well, I guess you do have a point there...\What else can we do?\Oh, I know!\They say that when you have a cold,\you should sweat it out!\What is all this? response:	Really, you two should know better.
context: there's plenty to spare!\Well, I guess you do have a point there...\What else can we do?\Oh, I know!\They say that when you have a cold,\you should sweat it out!\What is all this?\Really, you two should know better. response:	You made Hina-chan feel even worse.
context: Well, I guess you do have a point there...\What else can we do?\Oh, I know!\They say that when you have a cold,\you should sweat it out!\What is all this?\Really, you two should know better.\You made Hina-chan feel even worse. response:	We're sorry.
context: What else can we do?\Oh, I know!\They say that when you have a cold,\you should sweat it out!\What is all this?\Really, you two should know better.\You made Hina-chan feel even worse.\We're sorry. response:	I feel alive again.
context: Oh, I know!\They say that when you have a cold,\you should sweat it out!\What is all this?\Really, you two should know better.\You made Hina-chan feel even worse.\We're sorry.\I feel alive again. response:	Really? I'm glad.
context: They say that when you have a cold,\you should sweat it out!\What is all this?\Really, you two should know better.\You made Hina-chan feel even worse.\We're sorry.\I feel alive again.\Really? I'm glad. response:	Since you got sweaty,
context: you should sweat it out!\What is all this?\Really, you two should know better.\You made Hina-chan feel even worse.\We're sorry.\I feel alive again.\Really? I'm glad.\Since you got sweaty, response:	I'll wipe you down.
context: What is all this?\Really, you two should know better.\You made Hina-chan feel even worse.\We're sorry.\I feel alive again.\Really? I'm glad.\Since you got sweaty,\I'll wipe you down. response:	O-Okay...
context: Really, you two should know better.\You made Hina-chan feel even worse.\We're sorry.\I feel alive again.\Really? I'm glad.\Since you got sweaty,\I'll wipe you down.\O-Okay... response:	Sorry. Is it too cold?
context: You made Hina-chan feel even worse.\We're sorry.\I feel alive again.\Really? I'm glad.\Since you got sweaty,\I'll wipe you down.\O-Okay...\Sorry. Is it too cold? response:	N-No, it's fine...
context: We're sorry.\I feel alive again.\Really? I'm glad.\Since you got sweaty,\I'll wipe you down.\O-Okay...\Sorry. Is it too cold?\N-No, it's fine... response:	There, all done.
context: I feel alive again.\Really? I'm glad.\Since you got sweaty,\I'll wipe you down.\O-Okay...\Sorry. Is it too cold?\N-No, it's fine...\There, all done. response:	Th-Thank you.
