context: The Lord of Numinous Treasures' Heavens Spring response:	can heal a common wound in three to five days.
context: Although Qing Qiu replied saying that Bai Qian is still in meditation\the wedding mustn't be postponed.\I understand.\Bai Qian is the Fox King's only daughter.\She also inherited the position of Queen of the East.\She can't possibly be some mild-tempered woman.\Should she learn that you are expecting a child\and behave unreasonably you must learn to be tolerant. response:	Yes.
context: the wedding mustn't be postponed.\I understand.\Bai Qian is the Fox King's only daughter.\She also inherited the position of Queen of the East.\She can't possibly be some mild-tempered woman.\Should she learn that you are expecting a child\and behave unreasonably you must learn to be tolerant.\Yes. response:	Su Su.
context: I understand.\Bai Qian is the Fox King's only daughter.\She also inherited the position of Queen of the East.\She can't possibly be some mild-tempered woman.\Should she learn that you are expecting a child\and behave unreasonably you must learn to be tolerant.\Yes.\Su Su. response:	Heavenly Lord.
context: Bai Qian is the Fox King's only daughter.\She also inherited the position of Queen of the East.\She can't possibly be some mild-tempered woman.\Should she learn that you are expecting a child\and behave unreasonably you must learn to be tolerant.\Yes.\Su Su.\Heavenly Lord. response:	- Heavenly Lord. - Heavenly Lord.
context: She also inherited the position of Queen of the East.\She can't possibly be some mild-tempered woman.\Should she learn that you are expecting a child\and behave unreasonably you must learn to be tolerant.\Yes.\Su Su.\Heavenly Lord.\- Heavenly Lord. - Heavenly Lord. response:	What are you doing here?
context: She can't possibly be some mild-tempered woman.\Should she learn that you are expecting a child\and behave unreasonably you must learn to be tolerant.\Yes.\Su Su.\Heavenly Lord.\- Heavenly Lord. - Heavenly Lord.\What are you doing here? response:	Consort Le Xu is concerned that Su Su will be bored
context: Should she learn that you are expecting a child\and behave unreasonably you must learn to be tolerant.\Yes.\Su Su.\Heavenly Lord.\- Heavenly Lord. - Heavenly Lord.\What are you doing here?\Consort Le Xu is concerned that Su Su will be bored response:	staying in the Hall of Beautiful Youth
context: and behave unreasonably you must learn to be tolerant.\Yes.\Su Su.\Heavenly Lord.\- Heavenly Lord. - Heavenly Lord.\What are you doing here?\Consort Le Xu is concerned that Su Su will be bored\staying in the Hall of Beautiful Youth response:	so she asked me to show her around.
context: Yes.\Su Su.\Heavenly Lord.\- Heavenly Lord. - Heavenly Lord.\What are you doing here?\Consort Le Xu is concerned that Su Su will be bored\staying in the Hall of Beautiful Youth\so she asked me to show her around. response:	How can a mortal be present at the Lord of Numinous Treasures' assembly?
context: Su Su.\Heavenly Lord.\- Heavenly Lord. - Heavenly Lord.\What are you doing here?\Consort Le Xu is concerned that Su Su will be bored\staying in the Hall of Beautiful Youth\so she asked me to show her around.\How can a mortal be present at the Lord of Numinous Treasures' assembly? response:	If there's nothing else to do she'd better leave soon.
context: Heavenly Lord.\- Heavenly Lord. - Heavenly Lord.\What are you doing here?\Consort Le Xu is concerned that Su Su will be bored\staying in the Hall of Beautiful Youth\so she asked me to show her around.\How can a mortal be present at the Lord of Numinous Treasures' assembly?\If there's nothing else to do she'd better leave soon. response:	Yes.
context: - Heavenly Lord. - Heavenly Lord.\What are you doing here?\Consort Le Xu is concerned that Su Su will be bored\staying in the Hall of Beautiful Youth\so she asked me to show her around.\How can a mortal be present at the Lord of Numinous Treasures' assembly?\If there's nothing else to do she'd better leave soon.\Yes. response:	Su Su, don't worry.
context: What are you doing here?\Consort Le Xu is concerned that Su Su will be bored\staying in the Hall of Beautiful Youth\so she asked me to show her around.\How can a mortal be present at the Lord of Numinous Treasures' assembly?\If there's nothing else to do she'd better leave soon.\Yes.\Su Su, don't worry. response:	You have Ye Hua.
context: Consort Le Xu is concerned that Su Su will be bored\staying in the Hall of Beautiful Youth\so she asked me to show her around.\How can a mortal be present at the Lord of Numinous Treasures' assembly?\If there's nothing else to do she'd better leave soon.\Yes.\Su Su, don't worry.\You have Ye Hua. response:	The Heavenly Lord won't harm you.
context: staying in the Hall of Beautiful Youth\so she asked me to show her around.\How can a mortal be present at the Lord of Numinous Treasures' assembly?\If there's nothing else to do she'd better leave soon.\Yes.\Su Su, don't worry.\You have Ye Hua.\The Heavenly Lord won't harm you. response:	Why would you come here?
context: so she asked me to show her around.\How can a mortal be present at the Lord of Numinous Treasures' assembly?\If there's nothing else to do she'd better leave soon.\Yes.\Su Su, don't worry.\You have Ye Hua.\The Heavenly Lord won't harm you.\Why would you come here? response:	Ye Hua, I brought Su Su here.
context: How can a mortal be present at the Lord of Numinous Treasures' assembly?\If there's nothing else to do she'd better leave soon.\Yes.\Su Su, don't worry.\You have Ye Hua.\The Heavenly Lord won't harm you.\Why would you come here?\Ye Hua, I brought Su Su here. response:	Don't blame her.
context: If there's nothing else to do she'd better leave soon.\Yes.\Su Su, don't worry.\You have Ye Hua.\The Heavenly Lord won't harm you.\Why would you come here?\Ye Hua, I brought Su Su here.\Don't blame her. response:	It's best for the consort to steer clear of the affairs in Xiwu Palace.
context: Yes.\Su Su, don't worry.\You have Ye Hua.\The Heavenly Lord won't harm you.\Why would you come here?\Ye Hua, I brought Su Su here.\Don't blame her.\It's best for the consort to steer clear of the affairs in Xiwu Palace. response:	You're right.
context: Su Su, don't worry.\You have Ye Hua.\The Heavenly Lord won't harm you.\Why would you come here?\Ye Hua, I brought Su Su here.\Don't blame her.\It's best for the consort to steer clear of the affairs in Xiwu Palace.\You're right. response:	You're the Crown Prince of the Celestial Tribe.
context: You have Ye Hua.\The Heavenly Lord won't harm you.\Why would you come here?\Ye Hua, I brought Su Su here.\Don't blame her.\It's best for the consort to steer clear of the affairs in Xiwu Palace.\You're right.\You're the Crown Prince of the Celestial Tribe. response:	I am but one of the many consorts in the Heavenly Lord's harem.
context: The Heavenly Lord won't harm you.\Why would you come here?\Ye Hua, I brought Su Su here.\Don't blame her.\It's best for the consort to steer clear of the affairs in Xiwu Palace.\You're right.\You're the Crown Prince of the Celestial Tribe.\I am but one of the many consorts in the Heavenly Lord's harem. response:	I've been too meddlesome.
context: Why would you come here?\Ye Hua, I brought Su Su here.\Don't blame her.\It's best for the consort to steer clear of the affairs in Xiwu Palace.\You're right.\You're the Crown Prince of the Celestial Tribe.\I am but one of the many consorts in the Heavenly Lord's harem.\I've been too meddlesome. response:	Don't let her get close to you anymore.
context: Ye Hua, I brought Su Su here.\Don't blame her.\It's best for the consort to steer clear of the affairs in Xiwu Palace.\You're right.\You're the Crown Prince of the Celestial Tribe.\I am but one of the many consorts in the Heavenly Lord's harem.\I've been too meddlesome.\Don't let her get close to you anymore. response:	According to the rites of the Celestial Tribe
context: Don't blame her.\It's best for the consort to steer clear of the affairs in Xiwu Palace.\You're right.\You're the Crown Prince of the Celestial Tribe.\I am but one of the many consorts in the Heavenly Lord's harem.\I've been too meddlesome.\Don't let her get close to you anymore.\According to the rites of the Celestial Tribe response:	you shouldn't be here.
context: It's best for the consort to steer clear of the affairs in Xiwu Palace.\You're right.\You're the Crown Prince of the Celestial Tribe.\I am but one of the many consorts in the Heavenly Lord's harem.\I've been too meddlesome.\Don't let her get close to you anymore.\According to the rites of the Celestial Tribe\you shouldn't be here. response:	I'll get changed and escort you back.
context: You're right.\You're the Crown Prince of the Celestial Tribe.\I am but one of the many consorts in the Heavenly Lord's harem.\I've been too meddlesome.\Don't let her get close to you anymore.\According to the rites of the Celestial Tribe\you shouldn't be here.\I'll get changed and escort you back. response:	Take me with you!
context: You're the Crown Prince of the Celestial Tribe.\I am but one of the many consorts in the Heavenly Lord's harem.\I've been too meddlesome.\Don't let her get close to you anymore.\According to the rites of the Celestial Tribe\you shouldn't be here.\I'll get changed and escort you back.\Take me with you! response:	Please? Take me!
context: I am but one of the many consorts in the Heavenly Lord's harem.\I've been too meddlesome.\Don't let her get close to you anymore.\According to the rites of the Celestial Tribe\you shouldn't be here.\I'll get changed and escort you back.\Take me with you!\Please? Take me! response:	It won't be just the lords there, all the important deities will also be there.
context: I've been too meddlesome.\Don't let her get close to you anymore.\According to the rites of the Celestial Tribe\you shouldn't be here.\I'll get changed and escort you back.\Take me with you!\Please? Take me!\It won't be just the lords there, all the important deities will also be there. response:	How can I take you there when you were not invited?
context: Don't let her get close to you anymore.\According to the rites of the Celestial Tribe\you shouldn't be here.\I'll get changed and escort you back.\Take me with you!\Please? Take me!\It won't be just the lords there, all the important deities will also be there.\How can I take you there when you were not invited? response:	I'm a maid. I can just follow you in.
context: According to the rites of the Celestial Tribe\you shouldn't be here.\I'll get changed and escort you back.\Take me with you!\Please? Take me!\It won't be just the lords there, all the important deities will also be there.\How can I take you there when you were not invited?\I'm a maid. I can just follow you in. response:	Today, I'll be the Star Lord's maid.
context: you shouldn't be here.\I'll get changed and escort you back.\Take me with you!\Please? Take me!\It won't be just the lords there, all the important deities will also be there.\How can I take you there when you were not invited?\I'm a maid. I can just follow you in.\Today, I'll be the Star Lord's maid. response:	- I wouldn't dare. - You would.
context: I'll get changed and escort you back.\Take me with you!\Please? Take me!\It won't be just the lords there, all the important deities will also be there.\How can I take you there when you were not invited?\I'm a maid. I can just follow you in.\Today, I'll be the Star Lord's maid.\- I wouldn't dare. - You would. response:	- I wouldn't dare. - You would.
context: Take me with you!\Please? Take me!\It won't be just the lords there, all the important deities will also be there.\How can I take you there when you were not invited?\I'm a maid. I can just follow you in.\Today, I'll be the Star Lord's maid.\- I wouldn't dare. - You would.\- I wouldn't dare. - You would. response:	Shao Xing is with child.
context: Please? Take me!\It won't be just the lords there, all the important deities will also be there.\How can I take you there when you were not invited?\I'm a maid. I can just follow you in.\Today, I'll be the Star Lord's maid.\- I wouldn't dare. - You would.\- I wouldn't dare. - You would.\Shao Xing is with child. response:	I've brought her here today to ask Father to make a celestial decree
context: It won't be just the lords there, all the important deities will also be there.\How can I take you there when you were not invited?\I'm a maid. I can just follow you in.\Today, I'll be the Star Lord's maid.\- I wouldn't dare. - You would.\- I wouldn't dare. - You would.\Shao Xing is with child.\I've brought her here today to ask Father to make a celestial decree response:	so that I can confer on her a formal title.
context: How can I take you there when you were not invited?\I'm a maid. I can just follow you in.\Today, I'll be the Star Lord's maid.\- I wouldn't dare. - You would.\- I wouldn't dare. - You would.\Shao Xing is with child.\I've brought her here today to ask Father to make a celestial decree\so that I can confer on her a formal title. response:	You gave up a promising future because of her.
context: I'm a maid. I can just follow you in.\Today, I'll be the Star Lord's maid.\- I wouldn't dare. - You would.\- I wouldn't dare. - You would.\Shao Xing is with child.\I've brought her here today to ask Father to make a celestial decree\so that I can confer on her a formal title.\You gave up a promising future because of her. response:	I'm already disappointed in you.
context: Today, I'll be the Star Lord's maid.\- I wouldn't dare. - You would.\- I wouldn't dare. - You would.\Shao Xing is with child.\I've brought her here today to ask Father to make a celestial decree\so that I can confer on her a formal title.\You gave up a promising future because of her.\I'm already disappointed in you. response:	Yet you still dare to bring this woman to the Lord of Numinous Treasures' assembly.
context: - I wouldn't dare. - You would.\- I wouldn't dare. - You would.\Shao Xing is with child.\I've brought her here today to ask Father to make a celestial decree\so that I can confer on her a formal title.\You gave up a promising future because of her.\I'm already disappointed in you.\Yet you still dare to bring this woman to the Lord of Numinous Treasures' assembly. response:	Are you trying to remind me just how unfilial you are?
context: - I wouldn't dare. - You would.\Shao Xing is with child.\I've brought her here today to ask Father to make a celestial decree\so that I can confer on her a formal title.\You gave up a promising future because of her.\I'm already disappointed in you.\Yet you still dare to bring this woman to the Lord of Numinous Treasures' assembly.\Are you trying to remind me just how unfilial you are? response:	I hadn't thought it through.
context: Shao Xing is with child.\I've brought her here today to ask Father to make a celestial decree\so that I can confer on her a formal title.\You gave up a promising future because of her.\I'm already disappointed in you.\Yet you still dare to bring this woman to the Lord of Numinous Treasures' assembly.\Are you trying to remind me just how unfilial you are?\I hadn't thought it through. response:	Please don't be mad, Father.
context: I've brought her here today to ask Father to make a celestial decree\so that I can confer on her a formal title.\You gave up a promising future because of her.\I'm already disappointed in you.\Yet you still dare to bring this woman to the Lord of Numinous Treasures' assembly.\Are you trying to remind me just how unfilial you are?\I hadn't thought it through.\Please don't be mad, Father. response:	Please don't be mad, Father.
context: so that I can confer on her a formal title.\You gave up a promising future because of her.\I'm already disappointed in you.\Yet you still dare to bring this woman to the Lord of Numinous Treasures' assembly.\Are you trying to remind me just how unfilial you are?\I hadn't thought it through.\Please don't be mad, Father.\Please don't be mad, Father. response:	Step down now.
context: You gave up a promising future because of her.\I'm already disappointed in you.\Yet you still dare to bring this woman to the Lord of Numinous Treasures' assembly.\Are you trying to remind me just how unfilial you are?\I hadn't thought it through.\Please don't be mad, Father.\Please don't be mad, Father.\Step down now. response:	Don't disturb the Lord of Numinous Treasures' assembly.
context: I'm already disappointed in you.\Yet you still dare to bring this woman to the Lord of Numinous Treasures' assembly.\Are you trying to remind me just how unfilial you are?\I hadn't thought it through.\Please don't be mad, Father.\Please don't be mad, Father.\Step down now.\Don't disturb the Lord of Numinous Treasures' assembly. response:	This is bad! It's the Lord of Numinous Treasures' magical beast!
context: Yet you still dare to bring this woman to the Lord of Numinous Treasures' assembly.\Are you trying to remind me just how unfilial you are?\I hadn't thought it through.\Please don't be mad, Father.\Please don't be mad, Father.\Step down now.\Don't disturb the Lord of Numinous Treasures' assembly.\This is bad! It's the Lord of Numinous Treasures' magical beast! response:	Be careful, Father!
context: Are you trying to remind me just how unfilial you are?\I hadn't thought it through.\Please don't be mad, Father.\Please don't be mad, Father.\Step down now.\Don't disturb the Lord of Numinous Treasures' assembly.\This is bad! It's the Lord of Numinous Treasures' magical beast!\Be careful, Father! response:	Little Princess! Little Princess!
context: I hadn't thought it through.\Please don't be mad, Father.\Please don't be mad, Father.\Step down now.\Don't disturb the Lord of Numinous Treasures' assembly.\This is bad! It's the Lord of Numinous Treasures' magical beast!\Be careful, Father!\Little Princess! Little Princess! response:	This phoenix is still untamed.
context: Please don't be mad, Father.\Please don't be mad, Father.\Step down now.\Don't disturb the Lord of Numinous Treasures' assembly.\This is bad! It's the Lord of Numinous Treasures' magical beast!\Be careful, Father!\Little Princess! Little Princess!\This phoenix is still untamed. response:	Disperse!
context: Please don't be mad, Father.\Step down now.\Don't disturb the Lord of Numinous Treasures' assembly.\This is bad! It's the Lord of Numinous Treasures' magical beast!\Be careful, Father!\Little Princess! Little Princess!\This phoenix is still untamed.\Disperse! response:	Don't say a word.
context: Step down now.\Don't disturb the Lord of Numinous Treasures' assembly.\This is bad! It's the Lord of Numinous Treasures' magical beast!\Be careful, Father!\Little Princess! Little Princess!\This phoenix is still untamed.\Disperse!\Don't say a word. response:	My Lord.
context: Don't disturb the Lord of Numinous Treasures' assembly.\This is bad! It's the Lord of Numinous Treasures' magical beast!\Be careful, Father!\Little Princess! Little Princess!\This phoenix is still untamed.\Disperse!\Don't say a word.\My Lord. response:	What trouble did she get into?
context: This is bad! It's the Lord of Numinous Treasures' magical beast!\Be careful, Father!\Little Princess! Little Princess!\This phoenix is still untamed.\Disperse!\Don't say a word.\My Lord.\What trouble did she get into? response:	Why is she bleeding?
context: Be careful, Father!\Little Princess! Little Princess!\This phoenix is still untamed.\Disperse!\Don't say a word.\My Lord.\What trouble did she get into?\Why is she bleeding? response:	The Little Princess insisted on going to the assembly with me.
context: Little Princess! Little Princess!\This phoenix is still untamed.\Disperse!\Don't say a word.\My Lord.\What trouble did she get into?\Why is she bleeding?\The Little Princess insisted on going to the assembly with me. response:	Someone dropped Kunlun Mountain's Jade Purity Fan of Kunlun
context: This phoenix is still untamed.\Disperse!\Don't say a word.\My Lord.\What trouble did she get into?\Why is she bleeding?\The Little Princess insisted on going to the assembly with me.\Someone dropped Kunlun Mountain's Jade Purity Fan of Kunlun response:	and startled the Lord of Numinous Treasures' phoenix.
context: Disperse!\Don't say a word.\My Lord.\What trouble did she get into?\Why is she bleeding?\The Little Princess insisted on going to the assembly with me.\Someone dropped Kunlun Mountain's Jade Purity Fan of Kunlun\and startled the Lord of Numinous Treasures' phoenix. response:	The phoenix lost control and charged at the Little Princess.
context: Don't say a word.\My Lord.\What trouble did she get into?\Why is she bleeding?\The Little Princess insisted on going to the assembly with me.\Someone dropped Kunlun Mountain's Jade Purity Fan of Kunlun\and startled the Lord of Numinous Treasures' phoenix.\The phoenix lost control and charged at the Little Princess. response:	You are all to step out.
context: My Lord.\What trouble did she get into?\Why is she bleeding?\The Little Princess insisted on going to the assembly with me.\Someone dropped Kunlun Mountain's Jade Purity Fan of Kunlun\and startled the Lord of Numinous Treasures' phoenix.\The phoenix lost control and charged at the Little Princess.\You are all to step out. response:	- Yes. - Yes.
context: What trouble did she get into?\Why is she bleeding?\The Little Princess insisted on going to the assembly with me.\Someone dropped Kunlun Mountain's Jade Purity Fan of Kunlun\and startled the Lord of Numinous Treasures' phoenix.\The phoenix lost control and charged at the Little Princess.\You are all to step out.\- Yes. - Yes. response:	My Lord, allow me to take a look at this young lady.
context: Why is she bleeding?\The Little Princess insisted on going to the assembly with me.\Someone dropped Kunlun Mountain's Jade Purity Fan of Kunlun\and startled the Lord of Numinous Treasures' phoenix.\The phoenix lost control and charged at the Little Princess.\You are all to step out.\- Yes. - Yes.\My Lord, allow me to take a look at this young lady. response:	Step out.
context: The Little Princess insisted on going to the assembly with me.\Someone dropped Kunlun Mountain's Jade Purity Fan of Kunlun\and startled the Lord of Numinous Treasures' phoenix.\The phoenix lost control and charged at the Little Princess.\You are all to step out.\- Yes. - Yes.\My Lord, allow me to take a look at this young lady.\Step out. response:	Yes.
context: Someone dropped Kunlun Mountain's Jade Purity Fan of Kunlun\and startled the Lord of Numinous Treasures' phoenix.\The phoenix lost control and charged at the Little Princess.\You are all to step out.\- Yes. - Yes.\My Lord, allow me to take a look at this young lady.\Step out.\Yes. response:	I gave the Jade Purity Fan of Kunlun to Su Su.
context: and startled the Lord of Numinous Treasures' phoenix.\The phoenix lost control and charged at the Little Princess.\You are all to step out.\- Yes. - Yes.\My Lord, allow me to take a look at this young lady.\Step out.\Yes.\I gave the Jade Purity Fan of Kunlun to Su Su. response:	She didn't know that it's a magical artifact of Kunlun Mountain.
context: The phoenix lost control and charged at the Little Princess.\You are all to step out.\- Yes. - Yes.\My Lord, allow me to take a look at this young lady.\Step out.\Yes.\I gave the Jade Purity Fan of Kunlun to Su Su.\She didn't know that it's a magical artifact of Kunlun Mountain. response:	I thought that as a mortal
context: You are all to step out.\- Yes. - Yes.\My Lord, allow me to take a look at this young lady.\Step out.\Yes.\I gave the Jade Purity Fan of Kunlun to Su Su.\She didn't know that it's a magical artifact of Kunlun Mountain.\I thought that as a mortal response:	she wouldn't be able to wield a magical artifact
context: - Yes. - Yes.\My Lord, allow me to take a look at this young lady.\Step out.\Yes.\I gave the Jade Purity Fan of Kunlun to Su Su.\She didn't know that it's a magical artifact of Kunlun Mountain.\I thought that as a mortal\she wouldn't be able to wield a magical artifact response:	but I didn't expect it to stir up so much trouble.
context: My Lord, allow me to take a look at this young lady.\Step out.\Yes.\I gave the Jade Purity Fan of Kunlun to Su Su.\She didn't know that it's a magical artifact of Kunlun Mountain.\I thought that as a mortal\she wouldn't be able to wield a magical artifact\but I didn't expect it to stir up so much trouble. response:	I handled it poorly.
context: Step out.\Yes.\I gave the Jade Purity Fan of Kunlun to Su Su.\She didn't know that it's a magical artifact of Kunlun Mountain.\I thought that as a mortal\she wouldn't be able to wield a magical artifact\but I didn't expect it to stir up so much trouble.\I handled it poorly. response:	I'm willing to accept any punishment.
context: Yes.\I gave the Jade Purity Fan of Kunlun to Su Su.\She didn't know that it's a magical artifact of Kunlun Mountain.\I thought that as a mortal\she wouldn't be able to wield a magical artifact\but I didn't expect it to stir up so much trouble.\I handled it poorly.\I'm willing to accept any punishment. response:	Do you know who was injured?
context: I gave the Jade Purity Fan of Kunlun to Su Su.\She didn't know that it's a magical artifact of Kunlun Mountain.\I thought that as a mortal\she wouldn't be able to wield a magical artifact\but I didn't expect it to stir up so much trouble.\I handled it poorly.\I'm willing to accept any punishment.\Do you know who was injured? response:	I do not know.
context: She didn't know that it's a magical artifact of Kunlun Mountain.\I thought that as a mortal\she wouldn't be able to wield a magical artifact\but I didn't expect it to stir up so much trouble.\I handled it poorly.\I'm willing to accept any punishment.\Do you know who was injured?\I do not know. response:	It was Bai Qian's niece, Bai Feng Jiu!
context: I thought that as a mortal\she wouldn't be able to wield a magical artifact\but I didn't expect it to stir up so much trouble.\I handled it poorly.\I'm willing to accept any punishment.\Do you know who was injured?\I do not know.\It was Bai Qian's niece, Bai Feng Jiu! response:	Bai Qian has yet to marry into the Celestial Tribe
context: she wouldn't be able to wield a magical artifact\but I didn't expect it to stir up so much trouble.\I handled it poorly.\I'm willing to accept any punishment.\Do you know who was injured?\I do not know.\It was Bai Qian's niece, Bai Feng Jiu!\Bai Qian has yet to marry into the Celestial Tribe response:	and yet this mortal has already injured her niece!
context: but I didn't expect it to stir up so much trouble.\I handled it poorly.\I'm willing to accept any punishment.\Do you know who was injured?\I do not know.\It was Bai Qian's niece, Bai Feng Jiu!\Bai Qian has yet to marry into the Celestial Tribe\and yet this mortal has already injured her niece! response:	Should Qing Qiu blame us for it
context: I handled it poorly.\I'm willing to accept any punishment.\Do you know who was injured?\I do not know.\It was Bai Qian's niece, Bai Feng Jiu!\Bai Qian has yet to marry into the Celestial Tribe\and yet this mortal has already injured her niece!\Should Qing Qiu blame us for it response:	how would you have me respond to them?
context: I'm willing to accept any punishment.\Do you know who was injured?\I do not know.\It was Bai Qian's niece, Bai Feng Jiu!\Bai Qian has yet to marry into the Celestial Tribe\and yet this mortal has already injured her niece!\Should Qing Qiu blame us for it\how would you have me respond to them? response:	I'm willing to ask for their forgiveness in person.
context: Do you know who was injured?\I do not know.\It was Bai Qian's niece, Bai Feng Jiu!\Bai Qian has yet to marry into the Celestial Tribe\and yet this mortal has already injured her niece!\Should Qing Qiu blame us for it\how would you have me respond to them?\I'm willing to ask for their forgiveness in person. response:	Ask for forgiveness?
context: I do not know.\It was Bai Qian's niece, Bai Feng Jiu!\Bai Qian has yet to marry into the Celestial Tribe\and yet this mortal has already injured her niece!\Should Qing Qiu blame us for it\how would you have me respond to them?\I'm willing to ask for their forgiveness in person.\Ask for forgiveness? response:	- Get up. - Yes.
context: It was Bai Qian's niece, Bai Feng Jiu!\Bai Qian has yet to marry into the Celestial Tribe\and yet this mortal has already injured her niece!\Should Qing Qiu blame us for it\how would you have me respond to them?\I'm willing to ask for their forgiveness in person.\Ask for forgiveness?\- Get up. - Yes. response:	Your fault lies in negligence.
context: Bai Qian has yet to marry into the Celestial Tribe\and yet this mortal has already injured her niece!\Should Qing Qiu blame us for it\how would you have me respond to them?\I'm willing to ask for their forgiveness in person.\Ask for forgiveness?\- Get up. - Yes.\Your fault lies in negligence. response:	What about this mortal?
context: and yet this mortal has already injured her niece!\Should Qing Qiu blame us for it\how would you have me respond to them?\I'm willing to ask for their forgiveness in person.\Ask for forgiveness?\- Get up. - Yes.\Your fault lies in negligence.\What about this mortal? response:	I've been wronged.
context: Should Qing Qiu blame us for it\how would you have me respond to them?\I'm willing to ask for their forgiveness in person.\Ask for forgiveness?\- Get up. - Yes.\Your fault lies in negligence.\What about this mortal?\I've been wronged. response:	Heavenly Lord, please investigate this.
context: how would you have me respond to them?\I'm willing to ask for their forgiveness in person.\Ask for forgiveness?\- Get up. - Yes.\Your fault lies in negligence.\What about this mortal?\I've been wronged.\Heavenly Lord, please investigate this. response:	You were wronged?
context: I'm willing to ask for their forgiveness in person.\Ask for forgiveness?\- Get up. - Yes.\Your fault lies in negligence.\What about this mortal?\I've been wronged.\Heavenly Lord, please investigate this.\You were wronged? response:	I didn't know that the fan is a true magical artifact.
context: Ask for forgiveness?\- Get up. - Yes.\Your fault lies in negligence.\What about this mortal?\I've been wronged.\Heavenly Lord, please investigate this.\You were wronged?\I didn't know that the fan is a true magical artifact. response:	In the celestial regulations
context: - Get up. - Yes.\Your fault lies in negligence.\What about this mortal?\I've been wronged.\Heavenly Lord, please investigate this.\You were wronged?\I didn't know that the fan is a true magical artifact.\In the celestial regulations response:	one is not spared for one's ignorance.
context: Your fault lies in negligence.\What about this mortal?\I've been wronged.\Heavenly Lord, please investigate this.\You were wronged?\I didn't know that the fan is a true magical artifact.\In the celestial regulations\one is not spared for one's ignorance. response:	I didn't mean to barge in there.
context: What about this mortal?\I've been wronged.\Heavenly Lord, please investigate this.\You were wronged?\I didn't know that the fan is a true magical artifact.\In the celestial regulations\one is not spared for one's ignorance.\I didn't mean to barge in there. response:	Another celestial maid passed on a message.
context: I've been wronged.\Heavenly Lord, please investigate this.\You were wronged?\I didn't know that the fan is a true magical artifact.\In the celestial regulations\one is not spared for one's ignorance.\I didn't mean to barge in there.\Another celestial maid passed on a message. response:	She said that my mistress asked me to bring the fan to her.
context: Heavenly Lord, please investigate this.\You were wronged?\I didn't know that the fan is a true magical artifact.\In the celestial regulations\one is not spared for one's ignorance.\I didn't mean to barge in there.\Another celestial maid passed on a message.\She said that my mistress asked me to bring the fan to her. response:	Which maid?
context: You were wronged?\I didn't know that the fan is a true magical artifact.\In the celestial regulations\one is not spared for one's ignorance.\I didn't mean to barge in there.\Another celestial maid passed on a message.\She said that my mistress asked me to bring the fan to her.\Which maid? response:	Do you know her?
context: I didn't know that the fan is a true magical artifact.\In the celestial regulations\one is not spared for one's ignorance.\I didn't mean to barge in there.\Another celestial maid passed on a message.\She said that my mistress asked me to bring the fan to her.\Which maid?\Do you know her? response:	Heavenly Lord, please investigate this.
context: In the celestial regulations\one is not spared for one's ignorance.\I didn't mean to barge in there.\Another celestial maid passed on a message.\She said that my mistress asked me to bring the fan to her.\Which maid?\Do you know her?\Heavenly Lord, please investigate this. response:	I didn't send any message to Nai Nai.
context: one is not spared for one's ignorance.\I didn't mean to barge in there.\Another celestial maid passed on a message.\She said that my mistress asked me to bring the fan to her.\Which maid?\Do you know her?\Heavenly Lord, please investigate this.\I didn't send any message to Nai Nai. response:	Someone must have framed me.
context: I didn't mean to barge in there.\Another celestial maid passed on a message.\She said that my mistress asked me to bring the fan to her.\Which maid?\Do you know her?\Heavenly Lord, please investigate this.\I didn't send any message to Nai Nai.\Someone must have framed me. response:	Atrocious!
context: Another celestial maid passed on a message.\She said that my mistress asked me to bring the fan to her.\Which maid?\Do you know her?\Heavenly Lord, please investigate this.\I didn't send any message to Nai Nai.\Someone must have framed me.\Atrocious! response:	You're saying that a deity is out to frame a mortal?
context: She said that my mistress asked me to bring the fan to her.\Which maid?\Do you know her?\Heavenly Lord, please investigate this.\I didn't send any message to Nai Nai.\Someone must have framed me.\Atrocious!\You're saying that a deity is out to frame a mortal? response:	I don't mean to say so but you also heard her...
context: Which maid?\Do you know her?\Heavenly Lord, please investigate this.\I didn't send any message to Nai Nai.\Someone must have framed me.\Atrocious!\You're saying that a deity is out to frame a mortal?\I don't mean to say so but you also heard her... response:	That's enough!
context: Do you know her?\Heavenly Lord, please investigate this.\I didn't send any message to Nai Nai.\Someone must have framed me.\Atrocious!\You're saying that a deity is out to frame a mortal?\I don't mean to say so but you also heard her...\That's enough! response:	Su Su has offended you. Please forgive her.
context: Heavenly Lord, please investigate this.\I didn't send any message to Nai Nai.\Someone must have framed me.\Atrocious!\You're saying that a deity is out to frame a mortal?\I don't mean to say so but you also heard her...\That's enough!\Su Su has offended you. Please forgive her. response:	Father.
context: I didn't send any message to Nai Nai.\Someone must have framed me.\Atrocious!\You're saying that a deity is out to frame a mortal?\I don't mean to say so but you also heard her...\That's enough!\Su Su has offended you. Please forgive her.\Father. response:	The celestial maid from the Hall of Beautiful Youth
context: Someone must have framed me.\Atrocious!\You're saying that a deity is out to frame a mortal?\I don't mean to say so but you also heard her...\That's enough!\Su Su has offended you. Please forgive her.\Father.\The celestial maid from the Hall of Beautiful Youth response:	has only been recently promoted to serve in the Celestial Palace.
