context: I hope we can all be happy like this forever. response:	I'm coming!
context: Do you see the ghost of a planet too, Yurikano?\This was just sitting here offshore?\No, it had to sail here.\Sail? It's a ship?!\This way.\Madoka, I'm coming in.\Hey, Dad, you seen Madoka around?\Huh? I thought I heard her come in a while back. response:	Don't worry, Auntie.
context: This was just sitting here offshore?\No, it had to sail here.\Sail? It's a ship?!\This way.\Madoka, I'm coming in.\Hey, Dad, you seen Madoka around?\Huh? I thought I heard her come in a while back.\Don't worry, Auntie. response:	I won't let Madoka pilot a robot.
context: No, it had to sail here.\Sail? It's a ship?!\This way.\Madoka, I'm coming in.\Hey, Dad, you seen Madoka around?\Huh? I thought I heard her come in a while back.\Don't worry, Auntie.\I won't let Madoka pilot a robot. response:	Hello?
context: Sail? It's a ship?!\This way.\Madoka, I'm coming in.\Hey, Dad, you seen Madoka around?\Huh? I thought I heard her come in a while back.\Don't worry, Auntie.\I won't let Madoka pilot a robot.\Hello? response:	Where are you?
context: This way.\Madoka, I'm coming in.\Hey, Dad, you seen Madoka around?\Huh? I thought I heard her come in a while back.\Don't worry, Auntie.\I won't let Madoka pilot a robot.\Hello?\Where are you? response:	Your cousin's here!
context: Madoka, I'm coming in.\Hey, Dad, you seen Madoka around?\Huh? I thought I heard her come in a while back.\Don't worry, Auntie.\I won't let Madoka pilot a robot.\Hello?\Where are you?\Your cousin's here! response:	Dammit!
context: Hey, Dad, you seen Madoka around?\Huh? I thought I heard her come in a while back.\Don't worry, Auntie.\I won't let Madoka pilot a robot.\Hello?\Where are you?\Your cousin's here!\Dammit! response:	That's the robot?
context: Huh? I thought I heard her come in a while back.\Don't worry, Auntie.\I won't let Madoka pilot a robot.\Hello?\Where are you?\Your cousin's here!\Dammit!\That's the robot? response:	Yes.
context: Don't worry, Auntie.\I won't let Madoka pilot a robot.\Hello?\Where are you?\Your cousin's here!\Dammit!\That's the robot?\Yes. response:	I thought it was gonna be...
context: I won't let Madoka pilot a robot.\Hello?\Where are you?\Your cousin's here!\Dammit!\That's the robot?\Yes.\I thought it was gonna be... response:	You know, like this?
context: Hello?\Where are you?\Your cousin's here!\Dammit!\That's the robot?\Yes.\I thought it was gonna be...\You know, like this? response:	It's pretty, though.
context: Where are you?\Your cousin's here!\Dammit!\That's the robot?\Yes.\I thought it was gonna be...\You know, like this?\It's pretty, though. response:	Huh?
context: Your cousin's here!\Dammit!\That's the robot?\Yes.\I thought it was gonna be...\You know, like this?\It's pretty, though.\Huh? response:	This looks familiar.
context: Dammit!\That's the robot?\Yes.\I thought it was gonna be...\You know, like this?\It's pretty, though.\Huh?\This looks familiar. response:	What was that?
context: That's the robot?\Yes.\I thought it was gonna be...\You know, like this?\It's pretty, though.\Huh?\This looks familiar.\What was that? response:	Demetria.
context: Yes.\I thought it was gonna be...\You know, like this?\It's pretty, though.\Huh?\This looks familiar.\What was that?\Demetria. response:	Enemy at 2 o'clock, range 7000 meters.
context: I thought it was gonna be...\You know, like this?\It's pretty, though.\Huh?\This looks familiar.\What was that?\Demetria.\Enemy at 2 o'clock, range 7000 meters. response:	All ships, prepare to intercept!
context: You know, like this?\It's pretty, though.\Huh?\This looks familiar.\What was that?\Demetria.\Enemy at 2 o'clock, range 7000 meters.\All ships, prepare to intercept! response:	Fire!
context: It's pretty, though.\Huh?\This looks familiar.\What was that?\Demetria.\Enemy at 2 o'clock, range 7000 meters.\All ships, prepare to intercept!\Fire! response:	Long ago, you made a promise with this robot.
context: Huh?\This looks familiar.\What was that?\Demetria.\Enemy at 2 o'clock, range 7000 meters.\All ships, prepare to intercept!\Fire!\Long ago, you made a promise with this robot. response:	That someday, if necessary, you would unite your hearts as one.
context: This looks familiar.\What was that?\Demetria.\Enemy at 2 o'clock, range 7000 meters.\All ships, prepare to intercept!\Fire!\Long ago, you made a promise with this robot.\That someday, if necessary, you would unite your hearts as one. response:	As comrades.
context: What was that?\Demetria.\Enemy at 2 o'clock, range 7000 meters.\All ships, prepare to intercept!\Fire!\Long ago, you made a promise with this robot.\That someday, if necessary, you would unite your hearts as one.\As comrades. response:	Comrades...
context: Demetria.\Enemy at 2 o'clock, range 7000 meters.\All ships, prepare to intercept!\Fire!\Long ago, you made a promise with this robot.\That someday, if necessary, you would unite your hearts as one.\As comrades.\Comrades... response:	This is...
context: Enemy at 2 o'clock, range 7000 meters.\All ships, prepare to intercept!\Fire!\Long ago, you made a promise with this robot.\That someday, if necessary, you would unite your hearts as one.\As comrades.\Comrades...\This is... response:	The enemy believes that this robot holds immense power.
context: All ships, prepare to intercept!\Fire!\Long ago, you made a promise with this robot.\That someday, if necessary, you would unite your hearts as one.\As comrades.\Comrades...\This is...\The enemy believes that this robot holds immense power. response:	Lan...
context: Fire!\Long ago, you made a promise with this robot.\That someday, if necessary, you would unite your hearts as one.\As comrades.\Comrades...\This is...\The enemy believes that this robot holds immense power.\Lan... response:	Who are you?
context: Long ago, you made a promise with this robot.\That someday, if necessary, you would unite your hearts as one.\As comrades.\Comrades...\This is...\The enemy believes that this robot holds immense power.\Lan...\Who are you? response:	L'Egalite has sent me to protect both you and that robot.
context: That someday, if necessary, you would unite your hearts as one.\As comrades.\Comrades...\This is...\The enemy believes that this robot holds immense power.\Lan...\Who are you?\L'Egalite has sent me to protect both you and that robot. response:	Sent me... From space.
context: As comrades.\Comrades...\This is...\The enemy believes that this robot holds immense power.\Lan...\Who are you?\L'Egalite has sent me to protect both you and that robot.\Sent me... From space. response:	From space?! You mean you're
context: Comrades...\This is...\The enemy believes that this robot holds immense power.\Lan...\Who are you?\L'Egalite has sent me to protect both you and that robot.\Sent me... From space.\From space?! You mean you're response:	Take-me-to-your-leader!
context: This is...\The enemy believes that this robot holds immense power.\Lan...\Who are you?\L'Egalite has sent me to protect both you and that robot.\Sent me... From space.\From space?! You mean you're\Take-me-to-your-leader! response:	Yep.
context: The enemy believes that this robot holds immense power.\Lan...\Who are you?\L'Egalite has sent me to protect both you and that robot.\Sent me... From space.\From space?! You mean you're\Take-me-to-your-leader!\Yep. response:	Continue fire!
context: Lan...\Who are you?\L'Egalite has sent me to protect both you and that robot.\Sent me... From space.\From space?! You mean you're\Take-me-to-your-leader!\Yep.\Continue fire! response:	Don't hold up until that butler gives the word.
context: Who are you?\L'Egalite has sent me to protect both you and that robot.\Sent me... From space.\From space?! You mean you're\Take-me-to-your-leader!\Yep.\Continue fire!\Don't hold up until that butler gives the word. response:	Izo... Are you seriously?
context: L'Egalite has sent me to protect both you and that robot.\Sent me... From space.\From space?! You mean you're\Take-me-to-your-leader!\Yep.\Continue fire!\Don't hold up until that butler gives the word.\Izo... Are you seriously? response:	What's wrong?
context: Sent me... From space.\From space?! You mean you're\Take-me-to-your-leader!\Yep.\Continue fire!\Don't hold up until that butler gives the word.\Izo... Are you seriously?\What's wrong? response:	Izo?
context: From space?! You mean you're\Take-me-to-your-leader!\Yep.\Continue fire!\Don't hold up until that butler gives the word.\Izo... Are you seriously?\What's wrong?\Izo? response:	Then that's
context: Take-me-to-your-leader!\Yep.\Continue fire!\Don't hold up until that butler gives the word.\Izo... Are you seriously?\What's wrong?\Izo?\Then that's response:	Array!
context: Yep.\Continue fire!\Don't hold up until that butler gives the word.\Izo... Are you seriously?\What's wrong?\Izo?\Then that's\Array! response:	I can't!
context: Continue fire!\Don't hold up until that butler gives the word.\Izo... Are you seriously?\What's wrong?\Izo?\Then that's\Array!\I can't! response:	Why?
context: Don't hold up until that butler gives the word.\Izo... Are you seriously?\What's wrong?\Izo?\Then that's\Array!\I can't!\Why? response:	All I can ride is a bike!
context: Izo... Are you seriously?\What's wrong?\Izo?\Then that's\Array!\I can't!\Why?\All I can ride is a bike! response:	We'll handle the piloting.
context: What's wrong?\Izo?\Then that's\Array!\I can't!\Why?\All I can ride is a bike!\We'll handle the piloting. response:	You just have to sit in the cockpit.
context: Izo?\Then that's\Array!\I can't!\Why?\All I can ride is a bike!\We'll handle the piloting.\You just have to sit in the cockpit. response:	That's all?
context: Then that's\Array!\I can't!\Why?\All I can ride is a bike!\We'll handle the piloting.\You just have to sit in the cockpit.\That's all? response:	That's all.
context: Array!\I can't!\Why?\All I can ride is a bike!\We'll handle the piloting.\You just have to sit in the cockpit.\That's all?\That's all. response:	So you'll be in trouble if I don't?
context: I can't!\Why?\All I can ride is a bike!\We'll handle the piloting.\You just have to sit in the cockpit.\That's all?\That's all.\So you'll be in trouble if I don't? response:	Yes.
context: Why?\All I can ride is a bike!\We'll handle the piloting.\You just have to sit in the cockpit.\That's all?\That's all.\So you'll be in trouble if I don't?\Yes. response:	When did you arrive in Kamogawa?
context: All I can ride is a bike!\We'll handle the piloting.\You just have to sit in the cockpit.\That's all?\That's all.\So you'll be in trouble if I don't?\Yes.\When did you arrive in Kamogawa? response:	Yesterday.
context: We'll handle the piloting.\You just have to sit in the cockpit.\That's all?\That's all.\So you'll be in trouble if I don't?\Yes.\When did you arrive in Kamogawa?\Yesterday. response:	So you've never seen all the wonderful things it has to offer?
context: You just have to sit in the cockpit.\That's all?\That's all.\So you'll be in trouble if I don't?\Yes.\When did you arrive in Kamogawa?\Yesterday.\So you've never seen all the wonderful things it has to offer? response:	Right...
context: That's all?\That's all.\So you'll be in trouble if I don't?\Yes.\When did you arrive in Kamogawa?\Yesterday.\So you've never seen all the wonderful things it has to offer?\Right... response:	Then...
context: That's all.\So you'll be in trouble if I don't?\Yes.\When did you arrive in Kamogawa?\Yesterday.\So you've never seen all the wonderful things it has to offer?\Right...\Then... response:	I've gotta do it!
context: So you'll be in trouble if I don't?\Yes.\When did you arrive in Kamogawa?\Yesterday.\So you've never seen all the wonderful things it has to offer?\Right...\Then...\I've gotta do it! response:	Was that?!
context: Yes.\When did you arrive in Kamogawa?\Yesterday.\So you've never seen all the wonderful things it has to offer?\Right...\Then...\I've gotta do it!\Was that?! response:	What's going on?!
context: When did you arrive in Kamogawa?\Yesterday.\So you've never seen all the wonderful things it has to offer?\Right...\Then...\I've gotta do it!\Was that?!\What's going on?! response:	Where's Madoka?!
context: Yesterday.\So you've never seen all the wonderful things it has to offer?\Right...\Then...\I've gotta do it!\Was that?!\What's going on?!\Where's Madoka?! response:	Sota!
context: So you've never seen all the wonderful things it has to offer?\Right...\Then...\I've gotta do it!\Was that?!\What's going on?!\Where's Madoka?!\Sota! response:	She's in that robot that just took off!
context: Right...\Then...\I've gotta do it!\Was that?!\What's going on?!\Where's Madoka?!\Sota!\She's in that robot that just took off! response:	How's the pilot doing?
context: Then...\I've gotta do it!\Was that?!\What's going on?!\Where's Madoka?!\Sota!\She's in that robot that just took off!\How's the pilot doing? response:	She seems to be quite excited.
context: I've gotta do it!\Was that?!\What's going on?!\Where's Madoka?!\Sota!\She's in that robot that just took off!\How's the pilot doing?\She seems to be quite excited. response:	Shall I patch her in?
context: Was that?!\What's going on?!\Where's Madoka?!\Sota!\She's in that robot that just took off!\How's the pilot doing?\She seems to be quite excited.\Shall I patch her in? response:	No thanks.
context: What's going on?!\Where's Madoka?!\Sota!\She's in that robot that just took off!\How's the pilot doing?\She seems to be quite excited.\Shall I patch her in?\No thanks. response:	It's under remote control anyway.
context: Where's Madoka?!\Sota!\She's in that robot that just took off!\How's the pilot doing?\She seems to be quite excited.\Shall I patch her in?\No thanks.\It's under remote control anyway. response:	Just tell her to keep a hold of herself, no matter what happens.
context: Sota!\She's in that robot that just took off!\How's the pilot doing?\She seems to be quite excited.\Shall I patch her in?\No thanks.\It's under remote control anyway.\Just tell her to keep a hold of herself, no matter what happens. response:	You know, like her.
context: She's in that robot that just took off!\How's the pilot doing?\She seems to be quite excited.\Shall I patch her in?\No thanks.\It's under remote control anyway.\Just tell her to keep a hold of herself, no matter what happens.\You know, like her. response:	It's coming straight at us! Is it trying to ram it?!
context: How's the pilot doing?\She seems to be quite excited.\Shall I patch her in?\No thanks.\It's under remote control anyway.\Just tell her to keep a hold of herself, no matter what happens.\You know, like her.\It's coming straight at us! Is it trying to ram it?! response:	Madoka!
context: She seems to be quite excited.\Shall I patch her in?\No thanks.\It's under remote control anyway.\Just tell her to keep a hold of herself, no matter what happens.\You know, like her.\It's coming straight at us! Is it trying to ram it?!\Madoka! response:	This isn't working!
context: Shall I patch her in?\No thanks.\It's under remote control anyway.\Just tell her to keep a hold of herself, no matter what happens.\You know, like her.\It's coming straight at us! Is it trying to ram it?!\Madoka!\This isn't working! response:	Here's where it gets fun.
context: No thanks.\It's under remote control anyway.\Just tell her to keep a hold of herself, no matter what happens.\You know, like her.\It's coming straight at us! Is it trying to ram it?!\Madoka!\This isn't working!\Here's where it gets fun. response:	Yes.
context: It's under remote control anyway.\Just tell her to keep a hold of herself, no matter what happens.\You know, like her.\It's coming straight at us! Is it trying to ram it?!\Madoka!\This isn't working!\Here's where it gets fun.\Yes. response:	Sorry guys, I messed up pretty badly!
context: Just tell her to keep a hold of herself, no matter what happens.\You know, like her.\It's coming straight at us! Is it trying to ram it?!\Madoka!\This isn't working!\Here's where it gets fun.\Yes.\Sorry guys, I messed up pretty badly! response:	Hello? Anyone?
context: You know, like her.\It's coming straight at us! Is it trying to ram it?!\Madoka!\This isn't working!\Here's where it gets fun.\Yes.\Sorry guys, I messed up pretty badly!\Hello? Anyone? response:	No way!
context: It's coming straight at us! Is it trying to ram it?!\Madoka!\This isn't working!\Here's where it gets fun.\Yes.\Sorry guys, I messed up pretty badly!\Hello? Anyone?\No way! response:	If I could just pilot it myself...
context: Madoka!\This isn't working!\Here's where it gets fun.\Yes.\Sorry guys, I messed up pretty badly!\Hello? Anyone?\No way!\If I could just pilot it myself... response:	Yeah!
context: This isn't working!\Here's where it gets fun.\Yes.\Sorry guys, I messed up pretty badly!\Hello? Anyone?\No way!\If I could just pilot it myself...\Yeah! response:	This feels icky!
context: Here's where it gets fun.\Yes.\Sorry guys, I messed up pretty badly!\Hello? Anyone?\No way!\If I could just pilot it myself...\Yeah!\This feels icky! response:	Huh? What?!
context: Yes.\Sorry guys, I messed up pretty badly!\Hello? Anyone?\No way!\If I could just pilot it myself...\Yeah!\This feels icky!\Huh? What?! response:	It punched through a subspace field?!
context: Sorry guys, I messed up pretty badly!\Hello? Anyone?\No way!\If I could just pilot it myself...\Yeah!\This feels icky!\Huh? What?!\It punched through a subspace field?! response:	Is that the legendary?!
context: Hello? Anyone?\No way!\If I could just pilot it myself...\Yeah!\This feels icky!\Huh? What?!\It punched through a subspace field?!\Is that the legendary?! response:	Vox!
context: No way!\If I could just pilot it myself...\Yeah!\This feels icky!\Huh? What?!\It punched through a subspace field?!\Is that the legendary?!\Vox! response:	You're not too shabby at kendo.
context: If I could just pilot it myself...\Yeah!\This feels icky!\Huh? What?!\It punched through a subspace field?!\Is that the legendary?!\Vox!\You're not too shabby at kendo. response:	But let me show you how it's really done!
context: Yeah!\This feels icky!\Huh? What?!\It punched through a subspace field?!\Is that the legendary?!\Vox!\You're not too shabby at kendo.\But let me show you how it's really done! response:	One! Two! Three!
context: This feels icky!\Huh? What?!\It punched through a subspace field?!\Is that the legendary?!\Vox!\You're not too shabby at kendo.\But let me show you how it's really done!\One! Two! Three! response:	Perfect!
context: Huh? What?!\It punched through a subspace field?!\Is that the legendary?!\Vox!\You're not too shabby at kendo.\But let me show you how it's really done!\One! Two! Three!\Perfect! response:	All right, that's done!
context: It punched through a subspace field?!\Is that the legendary?!\Vox!\You're not too shabby at kendo.\But let me show you how it's really done!\One! Two! Three!\Perfect!\All right, that's done! response:	Lan, why don't we get something to eat?
context: Is that the legendary?!\Vox!\You're not too shabby at kendo.\But let me show you how it's really done!\One! Two! Three!\Perfect!\All right, that's done!\Lan, why don't we get something to eat? response:	Sanga-yaki? Kamogawa soup? We've got wonderful sushi too!
context: Vox!\You're not too shabby at kendo.\But let me show you how it's really done!\One! Two! Three!\Perfect!\All right, that's done!\Lan, why don't we get something to eat?\Sanga-yaki? Kamogawa soup? We've got wonderful sushi too! response:	I want my wife's home cooking.
context: You're not too shabby at kendo.\But let me show you how it's really done!\One! Two! Three!\Perfect!\All right, that's done!\Lan, why don't we get something to eat?\Sanga-yaki? Kamogawa soup? We've got wonderful sushi too!\I want my wife's home cooking. response:	I'm not your wife.
context: But let me show you how it's really done!\One! Two! Three!\Perfect!\All right, that's done!\Lan, why don't we get something to eat?\Sanga-yaki? Kamogawa soup? We've got wonderful sushi too!\I want my wife's home cooking.\I'm not your wife. response:	Really?
context: One! Two! Three!\Perfect!\All right, that's done!\Lan, why don't we get something to eat?\Sanga-yaki? Kamogawa soup? We've got wonderful sushi too!\I want my wife's home cooking.\I'm not your wife.\Really? response:	Yes! Really!
context: Perfect!\All right, that's done!\Lan, why don't we get something to eat?\Sanga-yaki? Kamogawa soup? We've got wonderful sushi too!\I want my wife's home cooking.\I'm not your wife.\Really?\Yes! Really! response:	Whatever, I'll just have my uncle fix something up.
context: All right, that's done!\Lan, why don't we get something to eat?\Sanga-yaki? Kamogawa soup? We've got wonderful sushi too!\I want my wife's home cooking.\I'm not your wife.\Really?\Yes! Really!\Whatever, I'll just have my uncle fix something up. response:	Let's go!
context: Lan, why don't we get something to eat?\Sanga-yaki? Kamogawa soup? We've got wonderful sushi too!\I want my wife's home cooking.\I'm not your wife.\Really?\Yes! Really!\Whatever, I'll just have my uncle fix something up.\Let's go! response:	Comin' right up!
context: Sanga-yaki? Kamogawa soup? We've got wonderful sushi too!\I want my wife's home cooking.\I'm not your wife.\Really?\Yes! Really!\Whatever, I'll just have my uncle fix something up.\Let's go!\Comin' right up! response:	Kamokawa Spirit
context: I want my wife's home cooking.\I'm not your wife.\Really?\Yes! Really!\Whatever, I'll just have my uncle fix something up.\Let's go!\Comin' right up!\Kamokawa Spirit response:	Who was that?!
