context: He's overworked. response:	He had an anemia attack, but he didn't faint.
context: Hurry up!\Bathroom\S-Save me...\Musa!\I-I'm sorry. Maybe it wasn't to their tastes.\What do you two think?\It's good.\I'm glad. response:	Whenever I cook at home, everyone says it's good.
context: Bathroom\S-Save me...\Musa!\I-I'm sorry. Maybe it wasn't to their tastes.\What do you two think?\It's good.\I'm glad.\Whenever I cook at home, everyone says it's good. response:	My dad cries every time he eats it.
context: S-Save me...\Musa!\I-I'm sorry. Maybe it wasn't to their tastes.\What do you two think?\It's good.\I'm glad.\Whenever I cook at home, everyone says it's good.\My dad cries every time he eats it. response:	Really?
context: Musa!\I-I'm sorry. Maybe it wasn't to their tastes.\What do you two think?\It's good.\I'm glad.\Whenever I cook at home, everyone says it's good.\My dad cries every time he eats it.\Really? response:	He must be better after a full day of rest.
context: I-I'm sorry. Maybe it wasn't to their tastes.\What do you two think?\It's good.\I'm glad.\Whenever I cook at home, everyone says it's good.\My dad cries every time he eats it.\Really?\He must be better after a full day of rest. response:	Complete and Total Rest
context: What do you two think?\It's good.\I'm glad.\Whenever I cook at home, everyone says it's good.\My dad cries every time he eats it.\Really?\He must be better after a full day of rest.\Complete and Total Rest response:	Joji Jota
context: It's good.\I'm glad.\Whenever I cook at home, everyone says it's good.\My dad cries every time he eats it.\Really?\He must be better after a full day of rest.\Complete and Total Rest\Joji Jota response:	Excuse the intrusion.
context: I'm glad.\Whenever I cook at home, everyone says it's good.\My dad cries every time he eats it.\Really?\He must be better after a full day of rest.\Complete and Total Rest\Joji Jota\Excuse the intrusion. response:	Haiji?
context: Whenever I cook at home, everyone says it's good.\My dad cries every time he eats it.\Really?\He must be better after a full day of rest.\Complete and Total Rest\Joji Jota\Excuse the intrusion.\Haiji? response:	He vanished?!
context: My dad cries every time he eats it.\Really?\He must be better after a full day of rest.\Complete and Total Rest\Joji Jota\Excuse the intrusion.\Haiji?\He vanished?! response:	How?
context: Really?\He must be better after a full day of rest.\Complete and Total Rest\Joji Jota\Excuse the intrusion.\Haiji?\He vanished?!\How? response:	We missed something.
context: He must be better after a full day of rest.\Complete and Total Rest\Joji Jota\Excuse the intrusion.\Haiji?\He vanished?!\How?\We missed something. response:	Unbelievably enough,
context: Complete and Total Rest\Joji Jota\Excuse the intrusion.\Haiji?\He vanished?!\How?\We missed something.\Unbelievably enough, response:	there was a window in his room!
context: Joji Jota\Excuse the intrusion.\Haiji?\He vanished?!\How?\We missed something.\Unbelievably enough,\there was a window in his room! response:	Oh...
context: Excuse the intrusion.\Haiji?\He vanished?!\How?\We missed something.\Unbelievably enough,\there was a window in his room!\Oh... response:	In other words, Haiji opened the window and used it to get outside.
context: Haiji?\He vanished?!\How?\We missed something.\Unbelievably enough,\there was a window in his room!\Oh...\In other words, Haiji opened the window and used it to get outside. response:	His room's on the first floor. It must've been easy.
context: He vanished?!\How?\We missed something.\Unbelievably enough,\there was a window in his room!\Oh...\In other words, Haiji opened the window and used it to get outside.\His room's on the first floor. It must've been easy. response:	We were stupid to let them handle it.
context: How?\We missed something.\Unbelievably enough,\there was a window in his room!\Oh...\In other words, Haiji opened the window and used it to get outside.\His room's on the first floor. It must've been easy.\We were stupid to let them handle it. response:	What? Why?
context: We missed something.\Unbelievably enough,\there was a window in his room!\Oh...\In other words, Haiji opened the window and used it to get outside.\His room's on the first floor. It must've been easy.\We were stupid to let them handle it.\What? Why? response:	Where did he go?
context: Unbelievably enough,\there was a window in his room!\Oh...\In other words, Haiji opened the window and used it to get outside.\His room's on the first floor. It must've been easy.\We were stupid to let them handle it.\What? Why?\Where did he go? response:	I don't know.
context: there was a window in his room!\Oh...\In other words, Haiji opened the window and used it to get outside.\His room's on the first floor. It must've been easy.\We were stupid to let them handle it.\What? Why?\Where did he go?\I don't know. response:	He finished the ochazuke we left in his room this morning.
context: Oh...\In other words, Haiji opened the window and used it to get outside.\His room's on the first floor. It must've been easy.\We were stupid to let them handle it.\What? Why?\Where did he go?\I don't know.\He finished the ochazuke we left in his room this morning. response:	So, he's well enough to eat and escape through a window?
context: In other words, Haiji opened the window and used it to get outside.\His room's on the first floor. It must've been easy.\We were stupid to let them handle it.\What? Why?\Where did he go?\I don't know.\He finished the ochazuke we left in his room this morning.\So, he's well enough to eat and escape through a window? response:	Then he must be fine.
context: His room's on the first floor. It must've been easy.\We were stupid to let them handle it.\What? Why?\Where did he go?\I don't know.\He finished the ochazuke we left in his room this morning.\So, he's well enough to eat and escape through a window?\Then he must be fine. response:	It's over.
context: We were stupid to let them handle it.\What? Why?\Where did he go?\I don't know.\He finished the ochazuke we left in his room this morning.\So, he's well enough to eat and escape through a window?\Then he must be fine.\It's over. response:	You didn't need to come all the way here.
context: What? Why?\Where did he go?\I don't know.\He finished the ochazuke we left in his room this morning.\So, he's well enough to eat and escape through a window?\Then he must be fine.\It's over.\You didn't need to come all the way here. response:	It's fine. Thank you.
context: Where did he go?\I don't know.\He finished the ochazuke we left in his room this morning.\So, he's well enough to eat and escape through a window?\Then he must be fine.\It's over.\You didn't need to come all the way here.\It's fine. Thank you. response:	Hey. I came to thank him for yesterday.
context: I don't know.\He finished the ochazuke we left in his room this morning.\So, he's well enough to eat and escape through a window?\Then he must be fine.\It's over.\You didn't need to come all the way here.\It's fine. Thank you.\Hey. I came to thank him for yesterday. response:	You're a fine man.
context: He finished the ochazuke we left in his room this morning.\So, he's well enough to eat and escape through a window?\Then he must be fine.\It's over.\You didn't need to come all the way here.\It's fine. Thank you.\Hey. I came to thank him for yesterday.\You're a fine man. response:	Right?
context: So, he's well enough to eat and escape through a window?\Then he must be fine.\It's over.\You didn't need to come all the way here.\It's fine. Thank you.\Hey. I came to thank him for yesterday.\You're a fine man.\Right? response:	What? Oh, no.
context: Then he must be fine.\It's over.\You didn't need to come all the way here.\It's fine. Thank you.\Hey. I came to thank him for yesterday.\You're a fine man.\Right?\What? Oh, no. response:	You totally lost that argument.
context: It's over.\You didn't need to come all the way here.\It's fine. Thank you.\Hey. I came to thank him for yesterday.\You're a fine man.\Right?\What? Oh, no.\You totally lost that argument. response:	It's no laughing matter.
context: You didn't need to come all the way here.\It's fine. Thank you.\Hey. I came to thank him for yesterday.\You're a fine man.\Right?\What? Oh, no.\You totally lost that argument.\It's no laughing matter. response:	There's no beating Prince when it comes to sophistry.
context: It's fine. Thank you.\Hey. I came to thank him for yesterday.\You're a fine man.\Right?\What? Oh, no.\You totally lost that argument.\It's no laughing matter.\There's no beating Prince when it comes to sophistry. response:	Not that it is.
context: Hey. I came to thank him for yesterday.\You're a fine man.\Right?\What? Oh, no.\You totally lost that argument.\It's no laughing matter.\There's no beating Prince when it comes to sophistry.\Not that it is. response:	Try talking at my speed, huh?
context: You're a fine man.\Right?\What? Oh, no.\You totally lost that argument.\It's no laughing matter.\There's no beating Prince when it comes to sophistry.\Not that it is.\Try talking at my speed, huh? response:	Will he be all right?
context: Right?\What? Oh, no.\You totally lost that argument.\It's no laughing matter.\There's no beating Prince when it comes to sophistry.\Not that it is.\Try talking at my speed, huh?\Will he be all right? response:	Prince.
context: What? Oh, no.\You totally lost that argument.\It's no laughing matter.\There's no beating Prince when it comes to sophistry.\Not that it is.\Try talking at my speed, huh?\Will he be all right?\Prince. response:	I got a proper look for the first time today, but he has no form at all.
context: You totally lost that argument.\It's no laughing matter.\There's no beating Prince when it comes to sophistry.\Not that it is.\Try talking at my speed, huh?\Will he be all right?\Prince.\I got a proper look for the first time today, but he has no form at all. response:	He needs to be corrected.
context: It's no laughing matter.\There's no beating Prince when it comes to sophistry.\Not that it is.\Try talking at my speed, huh?\Will he be all right?\Prince.\I got a proper look for the first time today, but he has no form at all.\He needs to be corrected. response:	You got a proper look for the first time, huh?
context: There's no beating Prince when it comes to sophistry.\Not that it is.\Try talking at my speed, huh?\Will he be all right?\Prince.\I got a proper look for the first time today, but he has no form at all.\He needs to be corrected.\You got a proper look for the first time, huh? response:	I'm not criticizing you. You had your own problems.
context: Not that it is.\Try talking at my speed, huh?\Will he be all right?\Prince.\I got a proper look for the first time today, but he has no form at all.\He needs to be corrected.\You got a proper look for the first time, huh?\I'm not criticizing you. You had your own problems. response:	But I think he was watching you and waiting to see when you'd look his way.
context: Try talking at my speed, huh?\Will he be all right?\Prince.\I got a proper look for the first time today, but he has no form at all.\He needs to be corrected.\You got a proper look for the first time, huh?\I'm not criticizing you. You had your own problems.\But I think he was watching you and waiting to see when you'd look his way. response:	You're always facing forwards.
context: Will he be all right?\Prince.\I got a proper look for the first time today, but he has no form at all.\He needs to be corrected.\You got a proper look for the first time, huh?\I'm not criticizing you. You had your own problems.\But I think he was watching you and waiting to see when you'd look his way.\You're always facing forwards. response:	Prince isn't the only one.
context: Prince.\I got a proper look for the first time today, but he has no form at all.\He needs to be corrected.\You got a proper look for the first time, huh?\I'm not criticizing you. You had your own problems.\But I think he was watching you and waiting to see when you'd look his way.\You're always facing forwards.\Prince isn't the only one. response:	Everyone else is running behind you.
context: I got a proper look for the first time today, but he has no form at all.\He needs to be corrected.\You got a proper look for the first time, huh?\I'm not criticizing you. You had your own problems.\But I think he was watching you and waiting to see when you'd look his way.\You're always facing forwards.\Prince isn't the only one.\Everyone else is running behind you. response:	Until you turn around, you'll never see them from where you are.
context: He needs to be corrected.\You got a proper look for the first time, huh?\I'm not criticizing you. You had your own problems.\But I think he was watching you and waiting to see when you'd look his way.\You're always facing forwards.\Prince isn't the only one.\Everyone else is running behind you.\Until you turn around, you'll never see them from where you are. response:	You won't see who is running where and how.
context: You got a proper look for the first time, huh?\I'm not criticizing you. You had your own problems.\But I think he was watching you and waiting to see when you'd look his way.\You're always facing forwards.\Prince isn't the only one.\Everyone else is running behind you.\Until you turn around, you'll never see them from where you are.\You won't see who is running where and how. response:	Let's go home.
context: I'm not criticizing you. You had your own problems.\But I think he was watching you and waiting to see when you'd look his way.\You're always facing forwards.\Prince isn't the only one.\Everyone else is running behind you.\Until you turn around, you'll never see them from where you are.\You won't see who is running where and how.\Let's go home. response:	I've only had ochazuke to eat today.
context: But I think he was watching you and waiting to see when you'd look his way.\You're always facing forwards.\Prince isn't the only one.\Everyone else is running behind you.\Until you turn around, you'll never see them from where you are.\You won't see who is running where and how.\Let's go home.\I've only had ochazuke to eat today. response:	I think I might get even more sick.
context: You're always facing forwards.\Prince isn't the only one.\Everyone else is running behind you.\Until you turn around, you'll never see them from where you are.\You won't see who is running where and how.\Let's go home.\I've only had ochazuke to eat today.\I think I might get even more sick. response:	We can finally eat a decent meal.
context: Prince isn't the only one.\Everyone else is running behind you.\Until you turn around, you'll never see them from where you are.\You won't see who is running where and how.\Let's go home.\I've only had ochazuke to eat today.\I think I might get even more sick.\We can finally eat a decent meal. response:	Sorry for making you guys worry.
context: Everyone else is running behind you.\Until you turn around, you'll never see them from where you are.\You won't see who is running where and how.\Let's go home.\I've only had ochazuke to eat today.\I think I might get even more sick.\We can finally eat a decent meal.\Sorry for making you guys worry. response:	Don't be shy. Eat all you want today.
context: Until you turn around, you'll never see them from where you are.\You won't see who is running where and how.\Let's go home.\I've only had ochazuke to eat today.\I think I might get even more sick.\We can finally eat a decent meal.\Sorry for making you guys worry.\Don't be shy. Eat all you want today. response:	Haiji!
context: You won't see who is running where and how.\Let's go home.\I've only had ochazuke to eat today.\I think I might get even more sick.\We can finally eat a decent meal.\Sorry for making you guys worry.\Don't be shy. Eat all you want today.\Haiji! response:	By the way,
context: Let's go home.\I've only had ochazuke to eat today.\I think I might get even more sick.\We can finally eat a decent meal.\Sorry for making you guys worry.\Don't be shy. Eat all you want today.\Haiji!\By the way, response:	I heard Hana made breakfast.
context: I've only had ochazuke to eat today.\I think I might get even more sick.\We can finally eat a decent meal.\Sorry for making you guys worry.\Don't be shy. Eat all you want today.\Haiji!\By the way,\I heard Hana made breakfast. response:	She even brought her own ingredients.
context: I think I might get even more sick.\We can finally eat a decent meal.\Sorry for making you guys worry.\Don't be shy. Eat all you want today.\Haiji!\By the way,\I heard Hana made breakfast.\She even brought her own ingredients. response:	I'd better thank her later.
context: We can finally eat a decent meal.\Sorry for making you guys worry.\Don't be shy. Eat all you want today.\Haiji!\By the way,\I heard Hana made breakfast.\She even brought her own ingredients.\I'd better thank her later. response:	Huh?
context: Sorry for making you guys worry.\Don't be shy. Eat all you want today.\Haiji!\By the way,\I heard Hana made breakfast.\She even brought her own ingredients.\I'd better thank her later.\Huh? response:	What's wrong, guys?
context: Don't be shy. Eat all you want today.\Haiji!\By the way,\I heard Hana made breakfast.\She even brought her own ingredients.\I'd better thank her later.\Huh?\What's wrong, guys? response:	204 Do Not Enter
context: Haiji!\By the way,\I heard Hana made breakfast.\She even brought her own ingredients.\I'd better thank her later.\Huh?\What's wrong, guys?\204 Do Not Enter response:	What?
context: By the way,\I heard Hana made breakfast.\She even brought her own ingredients.\I'd better thank her later.\Huh?\What's wrong, guys?\204 Do Not Enter\What? response:	I said, could you lend me some comics you recommend?
context: I heard Hana made breakfast.\She even brought her own ingredients.\I'd better thank her later.\Huh?\What's wrong, guys?\204 Do Not Enter\What?\I said, could you lend me some comics you recommend? response:	No, II don't have anything in my room.
context: She even brought her own ingredients.\I'd better thank her later.\Huh?\What's wrong, guys?\204 Do Not Enter\What?\I said, could you lend me some comics you recommend?\No, II don't have anything in my room. response:	I thought once in a while...
context: I'd better thank her later.\Huh?\What's wrong, guys?\204 Do Not Enter\What?\I said, could you lend me some comics you recommend?\No, II don't have anything in my room.\I thought once in a while... response:	Do you mind romance?
context: Huh?\What's wrong, guys?\204 Do Not Enter\What?\I said, could you lend me some comics you recommend?\No, II don't have anything in my room.\I thought once in a while...\Do you mind romance? response:	What?
context: What's wrong, guys?\204 Do Not Enter\What?\I said, could you lend me some comics you recommend?\No, II don't have anything in my room.\I thought once in a while...\Do you mind romance?\What? response:	You're really good at that.
context: 204 Do Not Enter\What?\I said, could you lend me some comics you recommend?\No, II don't have anything in my room.\I thought once in a while...\Do you mind romance?\What?\You're really good at that. response:	Really? It's pretty hard to keep it steady.
context: What?\I said, could you lend me some comics you recommend?\No, II don't have anything in my room.\I thought once in a while...\Do you mind romance?\What?\You're really good at that.\Really? It's pretty hard to keep it steady. response:	That's it!
context: I said, could you lend me some comics you recommend?\No, II don't have anything in my room.\I thought once in a while...\Do you mind romance?\What?\You're really good at that.\Really? It's pretty hard to keep it steady.\That's it! response:	Huh?
context: No, II don't have anything in my room.\I thought once in a while...\Do you mind romance?\What?\You're really good at that.\Really? It's pretty hard to keep it steady.\That's it!\Huh? response:	You're making fun of me, aren't you?
context: I thought once in a while...\Do you mind romance?\What?\You're really good at that.\Really? It's pretty hard to keep it steady.\That's it!\Huh?\You're making fun of me, aren't you? response:	No, I'm serious.
context: Do you mind romance?\What?\You're really good at that.\Really? It's pretty hard to keep it steady.\That's it!\Huh?\You're making fun of me, aren't you?\No, I'm serious. response:	What? You're going to run like that?
context: What?\You're really good at that.\Really? It's pretty hard to keep it steady.\That's it!\Huh?\You're making fun of me, aren't you?\No, I'm serious.\What? You're going to run like that? response:	It's dangerous.
context: You're really good at that.\Really? It's pretty hard to keep it steady.\That's it!\Huh?\You're making fun of me, aren't you?\No, I'm serious.\What? You're going to run like that?\It's dangerous. response:	It'll be fine. I just want to try it for a bit.
context: Really? It's pretty hard to keep it steady.\That's it!\Huh?\You're making fun of me, aren't you?\No, I'm serious.\What? You're going to run like that?\It's dangerous.\It'll be fine. I just want to try it for a bit. response:	Then, I'll lead the way.
context: That's it!\Huh?\You're making fun of me, aren't you?\No, I'm serious.\What? You're going to run like that?\It's dangerous.\It'll be fine. I just want to try it for a bit.\Then, I'll lead the way. response:	Please do.
context: Huh?\You're making fun of me, aren't you?\No, I'm serious.\What? You're going to run like that?\It's dangerous.\It'll be fine. I just want to try it for a bit.\Then, I'll lead the way.\Please do. response:	That's it. That's it, Prince.
context: You're making fun of me, aren't you?\No, I'm serious.\What? You're going to run like that?\It's dangerous.\It'll be fine. I just want to try it for a bit.\Then, I'll lead the way.\Please do.\That's it. That's it, Prince. response:	Hijiki
context: No, I'm serious.\What? You're going to run like that?\It's dangerous.\It'll be fine. I just want to try it for a bit.\Then, I'll lead the way.\Please do.\That's it. That's it, Prince.\Hijiki response:	Normally, you look down when you read comics.
context: What? You're going to run like that?\It's dangerous.\It'll be fine. I just want to try it for a bit.\Then, I'll lead the way.\Please do.\That's it. That's it, Prince.\Hijiki\Normally, you look down when you read comics. response:	But when you're on the treadmill,
context: It's dangerous.\It'll be fine. I just want to try it for a bit.\Then, I'll lead the way.\Please do.\That's it. That's it, Prince.\Hijiki\Normally, you look down when you read comics.\But when you're on the treadmill, response:	you naturally look forwards since your comics are in front of you.
context: It'll be fine. I just want to try it for a bit.\Then, I'll lead the way.\Please do.\That's it. That's it, Prince.\Hijiki\Normally, you look down when you read comics.\But when you're on the treadmill,\you naturally look forwards since your comics are in front of you. response:	You stand up straighter than you do when you're just running.
context: Then, I'll lead the way.\Please do.\That's it. That's it, Prince.\Hijiki\Normally, you look down when you read comics.\But when you're on the treadmill,\you naturally look forwards since your comics are in front of you.\You stand up straighter than you do when you're just running. response:	It brings your center of gravity forwards.
context: Please do.\That's it. That's it, Prince.\Hijiki\Normally, you look down when you read comics.\But when you're on the treadmill,\you naturally look forwards since your comics are in front of you.\You stand up straighter than you do when you're just running.\It brings your center of gravity forwards. response:	What?
context: That's it. That's it, Prince.\Hijiki\Normally, you look down when you read comics.\But when you're on the treadmill,\you naturally look forwards since your comics are in front of you.\You stand up straighter than you do when you're just running.\It brings your center of gravity forwards.\What? response:	Good pace, right?
context: Hijiki\Normally, you look down when you read comics.\But when you're on the treadmill,\you naturally look forwards since your comics are in front of you.\You stand up straighter than you do when you're just running.\It brings your center of gravity forwards.\What?\Good pace, right? response:	Maybe.
context: Normally, you look down when you read comics.\But when you're on the treadmill,\you naturally look forwards since your comics are in front of you.\You stand up straighter than you do when you're just running.\It brings your center of gravity forwards.\What?\Good pace, right?\Maybe. response:	Then could you turn the pages, too?
context: But when you're on the treadmill,\you naturally look forwards since your comics are in front of you.\You stand up straighter than you do when you're just running.\It brings your center of gravity forwards.\What?\Good pace, right?\Maybe.\Then could you turn the pages, too? response:	And could I try something else?
context: you naturally look forwards since your comics are in front of you.\You stand up straighter than you do when you're just running.\It brings your center of gravity forwards.\What?\Good pace, right?\Maybe.\Then could you turn the pages, too?\And could I try something else? response:	This is amazing, Prince.
context: You stand up straighter than you do when you're just running.\It brings your center of gravity forwards.\What?\Good pace, right?\Maybe.\Then could you turn the pages, too?\And could I try something else?\This is amazing, Prince. response:	It's totally different.
context: It brings your center of gravity forwards.\What?\Good pace, right?\Maybe.\Then could you turn the pages, too?\And could I try something else?\This is amazing, Prince.\It's totally different. response:	You're totally different.
context: What?\Good pace, right?\Maybe.\Then could you turn the pages, too?\And could I try something else?\This is amazing, Prince.\It's totally different.\You're totally different. response:	With my bangs out of my face, I can see what's in front of me a lot better.
context: Good pace, right?\Maybe.\Then could you turn the pages, too?\And could I try something else?\This is amazing, Prince.\It's totally different.\You're totally different.\With my bangs out of my face, I can see what's in front of me a lot better. response:	Yes.
context: Maybe.\Then could you turn the pages, too?\And could I try something else?\This is amazing, Prince.\It's totally different.\You're totally different.\With my bangs out of my face, I can see what's in front of me a lot better.\Yes. response:	What have you been looking at until now?
context: Then could you turn the pages, too?\And could I try something else?\This is amazing, Prince.\It's totally different.\You're totally different.\With my bangs out of my face, I can see what's in front of me a lot better.\Yes.\What have you been looking at until now? response:	Try imagining a comic in front of you as you run.
context: And could I try something else?\This is amazing, Prince.\It's totally different.\You're totally different.\With my bangs out of my face, I can see what's in front of me a lot better.\Yes.\What have you been looking at until now?\Try imagining a comic in front of you as you run. response:	There's a lot I'd like to say about that.
context: This is amazing, Prince.\It's totally different.\You're totally different.\With my bangs out of my face, I can see what's in front of me a lot better.\Yes.\What have you been looking at until now?\Try imagining a comic in front of you as you run.\There's a lot I'd like to say about that. response:	I bet it'd be fun if you put bells in his hands.
context: It's totally different.\You're totally different.\With my bangs out of my face, I can see what's in front of me a lot better.\Yes.\What have you been looking at until now?\Try imagining a comic in front of you as you run.\There's a lot I'd like to say about that.\I bet it'd be fun if you put bells in his hands. response:	Why does he do that?
context: You're totally different.\With my bangs out of my face, I can see what's in front of me a lot better.\Yes.\What have you been looking at until now?\Try imagining a comic in front of you as you run.\There's a lot I'd like to say about that.\I bet it'd be fun if you put bells in his hands.\Why does he do that? response:	I know! It's like when he's reading comics!
context: With my bangs out of my face, I can see what's in front of me a lot better.\Yes.\What have you been looking at until now?\Try imagining a comic in front of you as you run.\There's a lot I'd like to say about that.\I bet it'd be fun if you put bells in his hands.\Why does he do that?\I know! It's like when he's reading comics! response:	Oh!
context: Yes.\What have you been looking at until now?\Try imagining a comic in front of you as you run.\There's a lot I'd like to say about that.\I bet it'd be fun if you put bells in his hands.\Why does he do that?\I know! It's like when he's reading comics!\Oh! response:	Yes. Prince's arms are fixed in a reading position even when he's running.
context: What have you been looking at until now?\Try imagining a comic in front of you as you run.\There's a lot I'd like to say about that.\I bet it'd be fun if you put bells in his hands.\Why does he do that?\I know! It's like when he's reading comics!\Oh!\Yes. Prince's arms are fixed in a reading position even when he's running. response:	Now that I think about it, I'm amazed he could run like that.
context: Try imagining a comic in front of you as you run.\There's a lot I'd like to say about that.\I bet it'd be fun if you put bells in his hands.\Why does he do that?\I know! It's like when he's reading comics!\Oh!\Yes. Prince's arms are fixed in a reading position even when he's running.\Now that I think about it, I'm amazed he could run like that. response:	Since we're not short-distance runners,
context: There's a lot I'd like to say about that.\I bet it'd be fun if you put bells in his hands.\Why does he do that?\I know! It's like when he's reading comics!\Oh!\Yes. Prince's arms are fixed in a reading position even when he's running.\Now that I think about it, I'm amazed he could run like that.\Since we're not short-distance runners, response:	there's no need for sweeping arm movements.
context: I bet it'd be fun if you put bells in his hands.\Why does he do that?\I know! It's like when he's reading comics!\Oh!\Yes. Prince's arms are fixed in a reading position even when he's running.\Now that I think about it, I'm amazed he could run like that.\Since we're not short-distance runners,\there's no need for sweeping arm movements. response:	But I'd like to fix his habit of holding them in place.
context: Why does he do that?\I know! It's like when he's reading comics!\Oh!\Yes. Prince's arms are fixed in a reading position even when he's running.\Now that I think about it, I'm amazed he could run like that.\Since we're not short-distance runners,\there's no need for sweeping arm movements.\But I'd like to fix his habit of holding them in place. response:	Hey, it's starting to look right.
context: I know! It's like when he's reading comics!\Oh!\Yes. Prince's arms are fixed in a reading position even when he's running.\Now that I think about it, I'm amazed he could run like that.\Since we're not short-distance runners,\there's no need for sweeping arm movements.\But I'd like to fix his habit of holding them in place.\Hey, it's starting to look right. response:	I can't wait to go back to my room and read!
context: Oh!\Yes. Prince's arms are fixed in a reading position even when he's running.\Now that I think about it, I'm amazed he could run like that.\Since we're not short-distance runners,\there's no need for sweeping arm movements.\But I'd like to fix his habit of holding them in place.\Hey, it's starting to look right.\I can't wait to go back to my room and read! response:	Imagine that as you run.
context: Yes. Prince's arms are fixed in a reading position even when he's running.\Now that I think about it, I'm amazed he could run like that.\Since we're not short-distance runners,\there's no need for sweeping arm movements.\But I'd like to fix his habit of holding them in place.\Hey, it's starting to look right.\I can't wait to go back to my room and read!\Imagine that as you run. response:	I can't wait to go back to my room and read.
context: Now that I think about it, I'm amazed he could run like that.\Since we're not short-distance runners,\there's no need for sweeping arm movements.\But I'd like to fix his habit of holding them in place.\Hey, it's starting to look right.\I can't wait to go back to my room and read!\Imagine that as you run.\I can't wait to go back to my room and read. response:	Yes, that's it. Keep it up.
context: Since we're not short-distance runners,\there's no need for sweeping arm movements.\But I'd like to fix his habit of holding them in place.\Hey, it's starting to look right.\I can't wait to go back to my room and read!\Imagine that as you run.\I can't wait to go back to my room and read.\Yes, that's it. Keep it up. response:	You've got your color back.
context: there's no need for sweeping arm movements.\But I'd like to fix his habit of holding them in place.\Hey, it's starting to look right.\I can't wait to go back to my room and read!\Imagine that as you run.\I can't wait to go back to my room and read.\Yes, that's it. Keep it up.\You've got your color back. response:	Huh?
context: But I'd like to fix his habit of holding them in place.\Hey, it's starting to look right.\I can't wait to go back to my room and read!\Imagine that as you run.\I can't wait to go back to my room and read.\Yes, that's it. Keep it up.\You've got your color back.\Huh? response:	I've been eating.
context: Hey, it's starting to look right.\I can't wait to go back to my room and read!\Imagine that as you run.\I can't wait to go back to my room and read.\Yes, that's it. Keep it up.\You've got your color back.\Huh?\I've been eating. response:	I don't want to make you worry unnecessarily.
context: I can't wait to go back to my room and read!\Imagine that as you run.\I can't wait to go back to my room and read.\Yes, that's it. Keep it up.\You've got your color back.\Huh?\I've been eating.\I don't want to make you worry unnecessarily. response:	Thank you.
context: Imagine that as you run.\I can't wait to go back to my room and read.\Yes, that's it. Keep it up.\You've got your color back.\Huh?\I've been eating.\I don't want to make you worry unnecessarily.\Thank you. response:	You don't miss a thing.
context: I can't wait to go back to my room and read.\Yes, that's it. Keep it up.\You've got your color back.\Huh?\I've been eating.\I don't want to make you worry unnecessarily.\Thank you.\You don't miss a thing. response:	What about them? You could've intervened anytime.
context: Yes, that's it. Keep it up.\You've got your color back.\Huh?\I've been eating.\I don't want to make you worry unnecessarily.\Thank you.\You don't miss a thing.\What about them? You could've intervened anytime. response:	Did you stay out of it because you knew this would happen?
context: You've got your color back.\Huh?\I've been eating.\I don't want to make you worry unnecessarily.\Thank you.\You don't miss a thing.\What about them? You could've intervened anytime.\Did you stay out of it because you knew this would happen? response:	No way.
context: Huh?\I've been eating.\I don't want to make you worry unnecessarily.\Thank you.\You don't miss a thing.\What about them? You could've intervened anytime.\Did you stay out of it because you knew this would happen?\No way. response:	I intended to fix things if I had to.
context: I've been eating.\I don't want to make you worry unnecessarily.\Thank you.\You don't miss a thing.\What about them? You could've intervened anytime.\Did you stay out of it because you knew this would happen?\No way.\I intended to fix things if I had to. response:	But I didn't think it'd ever really be his if he'd learned to run that way.
context: I don't want to make you worry unnecessarily.\Thank you.\You don't miss a thing.\What about them? You could've intervened anytime.\Did you stay out of it because you knew this would happen?\No way.\I intended to fix things if I had to.\But I didn't think it'd ever really be his if he'd learned to run that way. response:	It's truly a fortunate error.
context: Thank you.\You don't miss a thing.\What about them? You could've intervened anytime.\Did you stay out of it because you knew this would happen?\No way.\I intended to fix things if I had to.\But I didn't think it'd ever really be his if he'd learned to run that way.\It's truly a fortunate error. response:	I wish I could go back to my room and read!
context: You don't miss a thing.\What about them? You could've intervened anytime.\Did you stay out of it because you knew this would happen?\No way.\I intended to fix things if I had to.\But I didn't think it'd ever really be his if he'd learned to run that way.\It's truly a fortunate error.\I wish I could go back to my room and read! response:	Now you!
context: What about them? You could've intervened anytime.\Did you stay out of it because you knew this would happen?\No way.\I intended to fix things if I had to.\But I didn't think it'd ever really be his if he'd learned to run that way.\It's truly a fortunate error.\I wish I could go back to my room and read!\Now you! response:	I wish I could go back to my room and read!
context: Did you stay out of it because you knew this would happen?\No way.\I intended to fix things if I had to.\But I didn't think it'd ever really be his if he'd learned to run that way.\It's truly a fortunate error.\I wish I could go back to my room and read!\Now you!\I wish I could go back to my room and read! response:	Ow...
context: No way.\I intended to fix things if I had to.\But I didn't think it'd ever really be his if he'd learned to run that way.\It's truly a fortunate error.\I wish I could go back to my room and read!\Now you!\I wish I could go back to my room and read!\Ow... response:	Go, Prince!
context: I intended to fix things if I had to.\But I didn't think it'd ever really be his if he'd learned to run that way.\It's truly a fortunate error.\I wish I could go back to my room and read!\Now you!\I wish I could go back to my room and read!\Ow...\Go, Prince! response:	Final spurt!
context: But I didn't think it'd ever really be his if he'd learned to run that way.\It's truly a fortunate error.\I wish I could go back to my room and read!\Now you!\I wish I could go back to my room and read!\Ow...\Go, Prince!\Final spurt! response:	Prince!
