context: Water collects into stagnant pools. response:	I've always loved watching it spill out all at once.
context: You got scared?\You know. It's the thing I've always done...\Rin\When I try to join clubs, when I try to learn new things,\when I thought about taking the entrance exam for a really good school...\I always chicken out at the very last minute.\When I'm about to try something I've never done before,\I start thinking, What if it doesn't go well? response:	I really don't want to fail.
context: You know. It's the thing I've always done...\Rin\When I try to join clubs, when I try to learn new things,\when I thought about taking the entrance exam for a really good school...\I always chicken out at the very last minute.\When I'm about to try something I've never done before,\I start thinking, What if it doesn't go well?\I really don't want to fail. response:	What if I end up regretting it?
context: Rin\When I try to join clubs, when I try to learn new things,\when I thought about taking the entrance exam for a really good school...\I always chicken out at the very last minute.\When I'm about to try something I've never done before,\I start thinking, What if it doesn't go well?\I really don't want to fail.\What if I end up regretting it? response:	When the moment comes, every single time...
context: When I try to join clubs, when I try to learn new things,\when I thought about taking the entrance exam for a really good school...\I always chicken out at the very last minute.\When I'm about to try something I've never done before,\I start thinking, What if it doesn't go well?\I really don't want to fail.\What if I end up regretting it?\When the moment comes, every single time... response:	Rin
context: when I thought about taking the entrance exam for a really good school...\I always chicken out at the very last minute.\When I'm about to try something I've never done before,\I start thinking, What if it doesn't go well?\I really don't want to fail.\What if I end up regretting it?\When the moment comes, every single time...\Rin response:	Hurry!
context: I always chicken out at the very last minute.\When I'm about to try something I've never done before,\I start thinking, What if it doesn't go well?\I really don't want to fail.\What if I end up regretting it?\When the moment comes, every single time...\Rin\Hurry! response:	Want to eat
context: When I'm about to try something I've never done before,\I start thinking, What if it doesn't go well?\I really don't want to fail.\What if I end up regretting it?\When the moment comes, every single time...\Rin\Hurry!\Want to eat response:	Well, I don't think that's necessarily a bad thing.
context: I start thinking, What if it doesn't go well?\I really don't want to fail.\What if I end up regretting it?\When the moment comes, every single time...\Rin\Hurry!\Want to eat\Well, I don't think that's necessarily a bad thing. response:	I hate it, though.
context: I really don't want to fail.\What if I end up regretting it?\When the moment comes, every single time...\Rin\Hurry!\Want to eat\Well, I don't think that's necessarily a bad thing.\I hate it, though. response:	I'll be back by curfew
context: What if I end up regretting it?\When the moment comes, every single time...\Rin\Hurry!\Want to eat\Well, I don't think that's necessarily a bad thing.\I hate it, though.\I'll be back by curfew response:	I made the usual
context: When the moment comes, every single time...\Rin\Hurry!\Want to eat\Well, I don't think that's necessarily a bad thing.\I hate it, though.\I'll be back by curfew\I made the usual response:	I really hate that part of me.
context: Rin\Hurry!\Want to eat\Well, I don't think that's necessarily a bad thing.\I hate it, though.\I'll be back by curfew\I made the usual\I really hate that part of me. response:	See you.
context: Hurry!\Want to eat\Well, I don't think that's necessarily a bad thing.\I hate it, though.\I'll be back by curfew\I made the usual\I really hate that part of me.\See you. response:	Sure.
context: Want to eat\Well, I don't think that's necessarily a bad thing.\I hate it, though.\I'll be back by curfew\I made the usual\I really hate that part of me.\See you.\Sure. response:	Next time, want to hang out somewhere?
context: Well, I don't think that's necessarily a bad thing.\I hate it, though.\I'll be back by curfew\I made the usual\I really hate that part of me.\See you.\Sure.\Next time, want to hang out somewhere? response:	Sure!
context: I hate it, though.\I'll be back by curfew\I made the usual\I really hate that part of me.\See you.\Sure.\Next time, want to hang out somewhere?\Sure! response:	Hey, you dropped this!
context: I'll be back by curfew\I made the usual\I really hate that part of me.\See you.\Sure.\Next time, want to hang out somewhere?\Sure!\Hey, you dropped this! response:	Yen
context: I made the usual\I really hate that part of me.\See you.\Sure.\Next time, want to hang out somewhere?\Sure!\Hey, you dropped this!\Yen response:	Are you kidding me?
context: I really hate that part of me.\See you.\Sure.\Next time, want to hang out somewhere?\Sure!\Hey, you dropped this!\Yen\Are you kidding me? response:	How much is there?
context: See you.\Sure.\Next time, want to hang out somewhere?\Sure!\Hey, you dropped this!\Yen\Are you kidding me?\How much is there? response:	I counted... it was exactly one million!
context: Sure.\Next time, want to hang out somewhere?\Sure!\Hey, you dropped this!\Yen\Are you kidding me?\How much is there?\I counted... it was exactly one million! response:	A million?!
context: Next time, want to hang out somewhere?\Sure!\Hey, you dropped this!\Yen\Are you kidding me?\How much is there?\I counted... it was exactly one million!\A million?! response:	Why did you keep it? Why didn't you take it to the police?
context: Sure!\Hey, you dropped this!\Yen\Are you kidding me?\How much is there?\I counted... it was exactly one million!\A million?!\Why did you keep it? Why didn't you take it to the police? response:	I freaked out!
context: Hey, you dropped this!\Yen\Are you kidding me?\How much is there?\I counted... it was exactly one million!\A million?!\Why did you keep it? Why didn't you take it to the police?\I freaked out! response:	Sure you did...
context: Yen\Are you kidding me?\How much is there?\I counted... it was exactly one million!\A million?!\Why did you keep it? Why didn't you take it to the police?\I freaked out!\Sure you did... response:	I'm serious! I seriously freaked out!
context: Are you kidding me?\How much is there?\I counted... it was exactly one million!\A million?!\Why did you keep it? Why didn't you take it to the police?\I freaked out!\Sure you did...\I'm serious! I seriously freaked out! response:	And I think... the person who dropped it was wearing a uniform for our school.
context: How much is there?\I counted... it was exactly one million!\A million?!\Why did you keep it? Why didn't you take it to the police?\I freaked out!\Sure you did...\I'm serious! I seriously freaked out!\And I think... the person who dropped it was wearing a uniform for our school. response:	What year?
context: I counted... it was exactly one million!\A million?!\Why did you keep it? Why didn't you take it to the police?\I freaked out!\Sure you did...\I'm serious! I seriously freaked out!\And I think... the person who dropped it was wearing a uniform for our school.\What year? response:	I'm not sure...
context: A million?!\Why did you keep it? Why didn't you take it to the police?\I freaked out!\Sure you did...\I'm serious! I seriously freaked out!\And I think... the person who dropped it was wearing a uniform for our school.\What year?\I'm not sure... response:	I only caught a glimpse of her from behind.
context: Why did you keep it? Why didn't you take it to the police?\I freaked out!\Sure you did...\I'm serious! I seriously freaked out!\And I think... the person who dropped it was wearing a uniform for our school.\What year?\I'm not sure...\I only caught a glimpse of her from behind. response:	See her?
context: I freaked out!\Sure you did...\I'm serious! I seriously freaked out!\And I think... the person who dropped it was wearing a uniform for our school.\What year?\I'm not sure...\I only caught a glimpse of her from behind.\See her? response:	I don't... think so.
context: Sure you did...\I'm serious! I seriously freaked out!\And I think... the person who dropped it was wearing a uniform for our school.\What year?\I'm not sure...\I only caught a glimpse of her from behind.\See her?\I don't... think so. response:	Her hair was about as long as that girl's, and I think she was pretty.
context: I'm serious! I seriously freaked out!\And I think... the person who dropped it was wearing a uniform for our school.\What year?\I'm not sure...\I only caught a glimpse of her from behind.\See her?\I don't... think so.\Her hair was about as long as that girl's, and I think she was pretty. response:	Anything else?
context: And I think... the person who dropped it was wearing a uniform for our school.\What year?\I'm not sure...\I only caught a glimpse of her from behind.\See her?\I don't... think so.\Her hair was about as long as that girl's, and I think she was pretty.\Anything else? response:	She smelled good. Conditioner, maybe?
context: What year?\I'm not sure...\I only caught a glimpse of her from behind.\See her?\I don't... think so.\Her hair was about as long as that girl's, and I think she was pretty.\Anything else?\She smelled good. Conditioner, maybe? response:	Not much to go on...
context: I'm not sure...\I only caught a glimpse of her from behind.\See her?\I don't... think so.\Her hair was about as long as that girl's, and I think she was pretty.\Anything else?\She smelled good. Conditioner, maybe?\Not much to go on... response:	Well, it's okay.
context: I only caught a glimpse of her from behind.\See her?\I don't... think so.\Her hair was about as long as that girl's, and I think she was pretty.\Anything else?\She smelled good. Conditioner, maybe?\Not much to go on...\Well, it's okay. response:	I don't think there are many girls with hair that long.
context: See her?\I don't... think so.\Her hair was about as long as that girl's, and I think she was pretty.\Anything else?\She smelled good. Conditioner, maybe?\Not much to go on...\Well, it's okay.\I don't think there are many girls with hair that long. response:	I'm going to check the first-year classrooms.
context: I don't... think so.\Her hair was about as long as that girl's, and I think she was pretty.\Anything else?\She smelled good. Conditioner, maybe?\Not much to go on...\Well, it's okay.\I don't think there are many girls with hair that long.\I'm going to check the first-year classrooms. response:	Okay...
context: Her hair was about as long as that girl's, and I think she was pretty.\Anything else?\She smelled good. Conditioner, maybe?\Not much to go on...\Well, it's okay.\I don't think there are many girls with hair that long.\I'm going to check the first-year classrooms.\Okay... response:	Ethics
context: Anything else?\She smelled good. Conditioner, maybe?\Not much to go on...\Well, it's okay.\I don't think there are many girls with hair that long.\I'm going to check the first-year classrooms.\Okay...\Ethics response:	I need to calm down...
context: She smelled good. Conditioner, maybe?\Not much to go on...\Well, it's okay.\I don't think there are many girls with hair that long.\I'm going to check the first-year classrooms.\Okay...\Ethics\I need to calm down... response:	That smell...
context: Not much to go on...\Well, it's okay.\I don't think there are many girls with hair that long.\I'm going to check the first-year classrooms.\Okay...\Ethics\I need to calm down...\That smell... response:	A million...
context: Well, it's okay.\I don't think there are many girls with hair that long.\I'm going to check the first-year classrooms.\Okay...\Ethics\I need to calm down...\That smell...\A million... response:	A million... yen.
context: I don't think there are many girls with hair that long.\I'm going to check the first-year classrooms.\Okay...\Ethics\I need to calm down...\That smell...\A million...\A million... yen. response:	A million...
context: I'm going to check the first-year classrooms.\Okay...\Ethics\I need to calm down...\That smell...\A million...\A million... yen.\A million... response:	Yen!
context: Okay...\Ethics\I need to calm down...\That smell...\A million...\A million... yen.\A million...\Yen! response:	Open and close doors
context: Ethics\I need to calm down...\That smell...\A million...\A million... yen.\A million...\Yen!\Open and close doors response:	QUIETLY
context: I need to calm down...\That smell...\A million...\A million... yen.\A million...\Yen!\Open and close doors\QUIETLY response:	What do you want?
context: That smell...\A million...\A million... yen.\A million...\Yen!\Open and close doors\QUIETLY\What do you want? response:	Year 1 Class 1
context: A million...\A million... yen.\A million...\Yen!\Open and close doors\QUIETLY\What do you want?\Year 1 Class 1 response:	What do you want?
context: A million... yen.\A million...\Yen!\Open and close doors\QUIETLY\What do you want?\Year 1 Class 1\What do you want? response:	Oh... actually...
context: A million...\Yen!\Open and close doors\QUIETLY\What do you want?\Year 1 Class 1\What do you want?\Oh... actually... response:	Um...
context: Yen!\Open and close doors\QUIETLY\What do you want?\Year 1 Class 1\What do you want?\Oh... actually...\Um... response:	That's...
context: Open and close doors\QUIETLY\What do you want?\Year 1 Class 1\What do you want?\Oh... actually...\Um...\That's... response:	Uh, Yesterday, I...
context: QUIETLY\What do you want?\Year 1 Class 1\What do you want?\Oh... actually...\Um...\That's...\Uh, Yesterday, I... response:	No, I didn't steal it! I just happened to
context: What do you want?\Year 1 Class 1\What do you want?\Oh... actually...\Um...\That's...\Uh, Yesterday, I...\No, I didn't steal it! I just happened to response:	Thank you.
context: Year 1 Class 1\What do you want?\Oh... actually...\Um...\That's...\Uh, Yesterday, I...\No, I didn't steal it! I just happened to\Thank you. response:	Thank you!
context: What do you want?\Oh... actually...\Um...\That's...\Uh, Yesterday, I...\No, I didn't steal it! I just happened to\Thank you.\Thank you! response:	Thank you!
context: Oh... actually...\Um...\That's...\Uh, Yesterday, I...\No, I didn't steal it! I just happened to\Thank you.\Thank you!\Thank you! response:	Closed
context: Um...\That's...\Uh, Yesterday, I...\No, I didn't steal it! I just happened to\Thank you.\Thank you!\Thank you!\Closed response:	Antarctica?
context: That's...\Uh, Yesterday, I...\No, I didn't steal it! I just happened to\Thank you.\Thank you!\Thank you!\Closed\Antarctica? response:	A Place Further Than the Universe Kobuchizawa Takako
context: Uh, Yesterday, I...\No, I didn't steal it! I just happened to\Thank you.\Thank you!\Thank you!\Closed\Antarctica?\A Place Further Than the Universe Kobuchizawa Takako response:	My mother wrote this book.
context: No, I didn't steal it! I just happened to\Thank you.\Thank you!\Thank you!\Closed\Antarctica?\A Place Further Than the Universe Kobuchizawa Takako\My mother wrote this book. response:	She was a member of an Antarctic research expedition.
context: Thank you.\Thank you!\Thank you!\Closed\Antarctica?\A Place Further Than the Universe Kobuchizawa Takako\My mother wrote this book.\She was a member of an Antarctic research expedition. response:	She went missing when I was in middle school, though...
context: Thank you!\Thank you!\Closed\Antarctica?\A Place Further Than the Universe Kobuchizawa Takako\My mother wrote this book.\She was a member of an Antarctic research expedition.\She went missing when I was in middle school, though... response:	I see.
context: Thank you!\Closed\Antarctica?\A Place Further Than the Universe Kobuchizawa Takako\My mother wrote this book.\She was a member of an Antarctic research expedition.\She went missing when I was in middle school, though...\I see. response:	They never found her,
context: Closed\Antarctica?\A Place Further Than the Universe Kobuchizawa Takako\My mother wrote this book.\She was a member of an Antarctic research expedition.\She went missing when I was in middle school, though...\I see.\They never found her, response:	and she didn't leave much behind for me,
context: Antarctica?\A Place Further Than the Universe Kobuchizawa Takako\My mother wrote this book.\She was a member of an Antarctic research expedition.\She went missing when I was in middle school, though...\I see.\They never found her,\and she didn't leave much behind for me, response:	so I'm going to go and find her.
context: A Place Further Than the Universe Kobuchizawa Takako\My mother wrote this book.\She was a member of an Antarctic research expedition.\She went missing when I was in middle school, though...\I see.\They never found her,\and she didn't leave much behind for me,\so I'm going to go and find her. response:	To Antarctica? Can you even do that?
context: My mother wrote this book.\She was a member of an Antarctic research expedition.\She went missing when I was in middle school, though...\I see.\They never found her,\and she didn't leave much behind for me,\so I'm going to go and find her.\To Antarctica? Can you even do that? response:	That's what everyone says.
context: She was a member of an Antarctic research expedition.\She went missing when I was in middle school, though...\I see.\They never found her,\and she didn't leave much behind for me,\so I'm going to go and find her.\To Antarctica? Can you even do that?\That's what everyone says. response:	Year 2 Class 2 We're All In This Together
context: She went missing when I was in middle school, though...\I see.\They never found her,\and she didn't leave much behind for me,\so I'm going to go and find her.\To Antarctica? Can you even do that?\That's what everyone says.\Year 2 Class 2 We're All In This Together response:	My grandma, my friends,
context: I see.\They never found her,\and she didn't leave much behind for me,\so I'm going to go and find her.\To Antarctica? Can you even do that?\That's what everyone says.\Year 2 Class 2 We're All In This Together\My grandma, my friends, response:	my teachers, my upperclassmen, and my neighbors...
context: They never found her,\and she didn't leave much behind for me,\so I'm going to go and find her.\To Antarctica? Can you even do that?\That's what everyone says.\Year 2 Class 2 We're All In This Together\My grandma, my friends,\my teachers, my upperclassmen, and my neighbors... response:	New Club Formation Application Club Name: Antarctica Club Primary Purpose: To go to Antarctica Club Activity Details: Train and study to go to Antarctica. Go to Antarctica. Member names: President: 2-2 Kobuchizawa Shirase Vice President: 2-2 Kobuchizawa Shirase (Must have 4) 2-2 Kobuchizawa Shirase 2-2 Kobuchizawa Shirase
context: and she didn't leave much behind for me,\so I'm going to go and find her.\To Antarctica? Can you even do that?\That's what everyone says.\Year 2 Class 2 We're All In This Together\My grandma, my friends,\my teachers, my upperclassmen, and my neighbors...\New Club Formation Application Club Name: Antarctica Club Primary Purpose: To go to Antarctica Club Activity Details: Train and study to go to Antarctica. Go to Antarctica. Member names: President: 2-2 Kobuchizawa Shirase Vice President: 2-2 Kobuchizawa Shirase (Must have 4) 2-2 Kobuchizawa Shirase 2-2 Kobuchizawa Shirase response:	You really think they'll let a child do that?
context: so I'm going to go and find her.\To Antarctica? Can you even do that?\That's what everyone says.\Year 2 Class 2 We're All In This Together\My grandma, my friends,\my teachers, my upperclassmen, and my neighbors...\New Club Formation Application Club Name: Antarctica Club Primary Purpose: To go to Antarctica Club Activity Details: Train and study to go to Antarctica. Go to Antarctica. Member names: President: 2-2 Kobuchizawa Shirase Vice President: 2-2 Kobuchizawa Shirase (Must have 4) 2-2 Kobuchizawa Shirase 2-2 Kobuchizawa Shirase\You really think they'll let a child do that? response:	Don't you realize how much that would cost?
context: To Antarctica? Can you even do that?\That's what everyone says.\Year 2 Class 2 We're All In This Together\My grandma, my friends,\my teachers, my upperclassmen, and my neighbors...\New Club Formation Application Club Name: Antarctica Club Primary Purpose: To go to Antarctica Club Activity Details: Train and study to go to Antarctica. Go to Antarctica. Member names: President: 2-2 Kobuchizawa Shirase Vice President: 2-2 Kobuchizawa Shirase (Must have 4) 2-2 Kobuchizawa Shirase 2-2 Kobuchizawa Shirase\You really think they'll let a child do that?\Don't you realize how much that would cost? response:	And that's what the million was for?
context: That's what everyone says.\Year 2 Class 2 We're All In This Together\My grandma, my friends,\my teachers, my upperclassmen, and my neighbors...\New Club Formation Application Club Name: Antarctica Club Primary Purpose: To go to Antarctica Club Activity Details: Train and study to go to Antarctica. Go to Antarctica. Member names: President: 2-2 Kobuchizawa Shirase Vice President: 2-2 Kobuchizawa Shirase (Must have 4) 2-2 Kobuchizawa Shirase 2-2 Kobuchizawa Shirase\You really think they'll let a child do that?\Don't you realize how much that would cost?\And that's what the million was for? response:	I've been working part-time jobs.
context: Year 2 Class 2 We're All In This Together\My grandma, my friends,\my teachers, my upperclassmen, and my neighbors...\New Club Formation Application Club Name: Antarctica Club Primary Purpose: To go to Antarctica Club Activity Details: Train and study to go to Antarctica. Go to Antarctica. Member names: President: 2-2 Kobuchizawa Shirase Vice President: 2-2 Kobuchizawa Shirase (Must have 4) 2-2 Kobuchizawa Shirase 2-2 Kobuchizawa Shirase\You really think they'll let a child do that?\Don't you realize how much that would cost?\And that's what the million was for?\I've been working part-time jobs. response:	I'm going to go.
context: My grandma, my friends,\my teachers, my upperclassmen, and my neighbors...\New Club Formation Application Club Name: Antarctica Club Primary Purpose: To go to Antarctica Club Activity Details: Train and study to go to Antarctica. Go to Antarctica. Member names: President: 2-2 Kobuchizawa Shirase Vice President: 2-2 Kobuchizawa Shirase (Must have 4) 2-2 Kobuchizawa Shirase 2-2 Kobuchizawa Shirase\You really think they'll let a child do that?\Don't you realize how much that would cost?\And that's what the million was for?\I've been working part-time jobs.\I'm going to go. response:	I'll go, then rub it in the faces of everyone who said I couldn't.
context: my teachers, my upperclassmen, and my neighbors...\New Club Formation Application Club Name: Antarctica Club Primary Purpose: To go to Antarctica Club Activity Details: Train and study to go to Antarctica. Go to Antarctica. Member names: President: 2-2 Kobuchizawa Shirase Vice President: 2-2 Kobuchizawa Shirase (Must have 4) 2-2 Kobuchizawa Shirase 2-2 Kobuchizawa Shirase\You really think they'll let a child do that?\Don't you realize how much that would cost?\And that's what the million was for?\I've been working part-time jobs.\I'm going to go.\I'll go, then rub it in the faces of everyone who said I couldn't. response:	After I finished my entrance exams and got into high school, I made up my mind.
context: New Club Formation Application Club Name: Antarctica Club Primary Purpose: To go to Antarctica Club Activity Details: Train and study to go to Antarctica. Go to Antarctica. Member names: President: 2-2 Kobuchizawa Shirase Vice President: 2-2 Kobuchizawa Shirase (Must have 4) 2-2 Kobuchizawa Shirase 2-2 Kobuchizawa Shirase\You really think they'll let a child do that?\Don't you realize how much that would cost?\And that's what the million was for?\I've been working part-time jobs.\I'm going to go.\I'll go, then rub it in the faces of everyone who said I couldn't.\After I finished my entrance exams and got into high school, I made up my mind. response:	Antarctica, she said! Antarctica!
context: You really think they'll let a child do that?\Don't you realize how much that would cost?\And that's what the million was for?\I've been working part-time jobs.\I'm going to go.\I'll go, then rub it in the faces of everyone who said I couldn't.\After I finished my entrance exams and got into high school, I made up my mind.\Antarctica, she said! Antarctica! response:	Don't you think that's amazing?
context: Don't you realize how much that would cost?\And that's what the million was for?\I've been working part-time jobs.\I'm going to go.\I'll go, then rub it in the faces of everyone who said I couldn't.\After I finished my entrance exams and got into high school, I made up my mind.\Antarctica, she said! Antarctica!\Don't you think that's amazing? response:	The furthest ends of the Earth!
context: And that's what the million was for?\I've been working part-time jobs.\I'm going to go.\I'll go, then rub it in the faces of everyone who said I couldn't.\After I finished my entrance exams and got into high school, I made up my mind.\Antarctica, she said! Antarctica!\Don't you think that's amazing?\The furthest ends of the Earth! response:	That will be 566 yen.
context: I've been working part-time jobs.\I'm going to go.\I'll go, then rub it in the faces of everyone who said I couldn't.\After I finished my entrance exams and got into high school, I made up my mind.\Antarctica, she said! Antarctica!\Don't you think that's amazing?\The furthest ends of the Earth!\That will be 566 yen. response:	Kobuchizawa Shirase?
context: I'm going to go.\I'll go, then rub it in the faces of everyone who said I couldn't.\After I finished my entrance exams and got into high school, I made up my mind.\Antarctica, she said! Antarctica!\Don't you think that's amazing?\The furthest ends of the Earth!\That will be 566 yen.\Kobuchizawa Shirase? response:	Yeah! You know her, Megu-chan?
context: I'll go, then rub it in the faces of everyone who said I couldn't.\After I finished my entrance exams and got into high school, I made up my mind.\Antarctica, she said! Antarctica!\Don't you think that's amazing?\The furthest ends of the Earth!\That will be 566 yen.\Kobuchizawa Shirase?\Yeah! You know her, Megu-chan? response:	The girl in class 2 who they call Antarctica, right?
context: After I finished my entrance exams and got into high school, I made up my mind.\Antarctica, she said! Antarctica!\Don't you think that's amazing?\The furthest ends of the Earth!\That will be 566 yen.\Kobuchizawa Shirase?\Yeah! You know her, Megu-chan?\The girl in class 2 who they call Antarctica, right? response:	Antarctica?
context: Antarctica, she said! Antarctica!\Don't you think that's amazing?\The furthest ends of the Earth!\That will be 566 yen.\Kobuchizawa Shirase?\Yeah! You know her, Megu-chan?\The girl in class 2 who they call Antarctica, right?\Antarctica? response:	Coming Nationwide This Winter!!
context: Don't you think that's amazing?\The furthest ends of the Earth!\That will be 566 yen.\Kobuchizawa Shirase?\Yeah! You know her, Megu-chan?\The girl in class 2 who they call Antarctica, right?\Antarctica?\Coming Nationwide This Winter!! response:	Anniversary Collaboration Campaign
context: The furthest ends of the Earth!\That will be 566 yen.\Kobuchizawa Shirase?\Yeah! You know her, Megu-chan?\The girl in class 2 who they call Antarctica, right?\Antarctica?\Coming Nationwide This Winter!!\Anniversary Collaboration Campaign response:	She's pretty famous, you know.
context: That will be 566 yen.\Kobuchizawa Shirase?\Yeah! You know her, Megu-chan?\The girl in class 2 who they call Antarctica, right?\Antarctica?\Coming Nationwide This Winter!!\Anniversary Collaboration Campaign\She's pretty famous, you know. response:	Ever since she got to high school,
context: Kobuchizawa Shirase?\Yeah! You know her, Megu-chan?\The girl in class 2 who they call Antarctica, right?\Antarctica?\Coming Nationwide This Winter!!\Anniversary Collaboration Campaign\She's pretty famous, you know.\Ever since she got to high school, response:	she's talked about nothing but going to Antarctica.
context: Yeah! You know her, Megu-chan?\The girl in class 2 who they call Antarctica, right?\Antarctica?\Coming Nationwide This Winter!!\Anniversary Collaboration Campaign\She's pretty famous, you know.\Ever since she got to high school,\she's talked about nothing but going to Antarctica. response:	That is what she said...
context: The girl in class 2 who they call Antarctica, right?\Antarctica?\Coming Nationwide This Winter!!\Anniversary Collaboration Campaign\She's pretty famous, you know.\Ever since she got to high school,\she's talked about nothing but going to Antarctica.\That is what she said... response:	There's no way she's going, though.
context: Antarctica?\Coming Nationwide This Winter!!\Anniversary Collaboration Campaign\She's pretty famous, you know.\Ever since she got to high school,\she's talked about nothing but going to Antarctica.\That is what she said...\There's no way she's going, though. response:	But she has a million yen!
context: Coming Nationwide This Winter!!\Anniversary Collaboration Campaign\She's pretty famous, you know.\Ever since she got to high school,\she's talked about nothing but going to Antarctica.\That is what she said...\There's no way she's going, though.\But she has a million yen! response:	And she said she was totally going!
context: Anniversary Collaboration Campaign\She's pretty famous, you know.\Ever since she got to high school,\she's talked about nothing but going to Antarctica.\That is what she said...\There's no way she's going, though.\But she has a million yen!\And she said she was totally going! response:	She can't, though.
context: She's pretty famous, you know.\Ever since she got to high school,\she's talked about nothing but going to Antarctica.\That is what she said...\There's no way she's going, though.\But she has a million yen!\And she said she was totally going!\She can't, though. response:	Come on, it's Antarctica.
context: Ever since she got to high school,\she's talked about nothing but going to Antarctica.\That is what she said...\There's no way she's going, though.\But she has a million yen!\And she said she was totally going!\She can't, though.\Come on, it's Antarctica. response:	You'd need to be part of an expedition to go.
context: she's talked about nothing but going to Antarctica.\That is what she said...\There's no way she's going, though.\But she has a million yen!\And she said she was totally going!\She can't, though.\Come on, it's Antarctica.\You'd need to be part of an expedition to go. response:	Then, why?
context: That is what she said...\There's no way she's going, though.\But she has a million yen!\And she said she was totally going!\She can't, though.\Come on, it's Antarctica.\You'd need to be part of an expedition to go.\Then, why? response:	I dunno...
context: There's no way she's going, though.\But she has a million yen!\And she said she was totally going!\She can't, though.\Come on, it's Antarctica.\You'd need to be part of an expedition to go.\Then, why?\I dunno... response:	I mean, that's why people call her a weirdo.
context: But she has a million yen!\And she said she was totally going!\She can't, though.\Come on, it's Antarctica.\You'd need to be part of an expedition to go.\Then, why?\I dunno...\I mean, that's why people call her a weirdo. response:	She doesn't make any friends.
context: And she said she was totally going!\She can't, though.\Come on, it's Antarctica.\You'd need to be part of an expedition to go.\Then, why?\I dunno...\I mean, that's why people call her a weirdo.\She doesn't make any friends. response:	She spends all her time after school working and saving up money.
context: She can't, though.\Come on, it's Antarctica.\You'd need to be part of an expedition to go.\Then, why?\I dunno...\I mean, that's why people call her a weirdo.\She doesn't make any friends.\She spends all her time after school working and saving up money. response:	Wanna hang out somewhere?
context: Come on, it's Antarctica.\You'd need to be part of an expedition to go.\Then, why?\I dunno...\I mean, that's why people call her a weirdo.\She doesn't make any friends.\She spends all her time after school working and saving up money.\Wanna hang out somewhere? response:	Oh... not today.
context: You'd need to be part of an expedition to go.\Then, why?\I dunno...\I mean, that's why people call her a weirdo.\She doesn't make any friends.\She spends all her time after school working and saving up money.\Wanna hang out somewhere?\Oh... not today. response:	A Place Further Than the Universe
context: Then, why?\I dunno...\I mean, that's why people call her a weirdo.\She doesn't make any friends.\She spends all her time after school working and saving up money.\Wanna hang out somewhere?\Oh... not today.\A Place Further Than the Universe response:	There it is!
context: I dunno...\I mean, that's why people call her a weirdo.\She doesn't make any friends.\She spends all her time after school working and saving up money.\Wanna hang out somewhere?\Oh... not today.\A Place Further Than the Universe\There it is! response:	300 Social Sciences
context: I mean, that's why people call her a weirdo.\She doesn't make any friends.\She spends all her time after school working and saving up money.\Wanna hang out somewhere?\Oh... not today.\A Place Further Than the Universe\There it is!\300 Social Sciences response:	400 Natural Sciences 410 Math 420 Physics 430 Science 440 Astronomy 450 Earth Science 460 Biochemistry
context: She doesn't make any friends.\She spends all her time after school working and saving up money.\Wanna hang out somewhere?\Oh... not today.\A Place Further Than the Universe\There it is!\300 Social Sciences\400 Natural Sciences 410 Math 420 Physics 430 Science 440 Astronomy 450 Earth Science 460 Biochemistry response:	Excuse me, that's my bike.
context: She spends all her time after school working and saving up money.\Wanna hang out somewhere?\Oh... not today.\A Place Further Than the Universe\There it is!\300 Social Sciences\400 Natural Sciences 410 Math 420 Physics 430 Science 440 Astronomy 450 Earth Science 460 Biochemistry\Excuse me, that's my bike. response:	Oh, is it?
context: Wanna hang out somewhere?\Oh... not today.\A Place Further Than the Universe\There it is!\300 Social Sciences\400 Natural Sciences 410 Math 420 Physics 430 Science 440 Astronomy 450 Earth Science 460 Biochemistry\Excuse me, that's my bike.\Oh, is it? response:	The Antarctic Express?
context: Oh... not today.\A Place Further Than the Universe\There it is!\300 Social Sciences\400 Natural Sciences 410 Math 420 Physics 430 Science 440 Astronomy 450 Earth Science 460 Biochemistry\Excuse me, that's my bike.\Oh, is it?\The Antarctic Express? response:	Where's our payment?
context: A Place Further Than the Universe\There it is!\300 Social Sciences\400 Natural Sciences 410 Math 420 Physics 430 Science 440 Astronomy 450 Earth Science 460 Biochemistry\Excuse me, that's my bike.\Oh, is it?\The Antarctic Express?\Where's our payment? response:	We were making sure no one stole it.
context: There it is!\300 Social Sciences\400 Natural Sciences 410 Math 420 Physics 430 Science 440 Astronomy 450 Earth Science 460 Biochemistry\Excuse me, that's my bike.\Oh, is it?\The Antarctic Express?\Where's our payment?\We were making sure no one stole it. response:	We hear you've got some money on you.
context: 300 Social Sciences\400 Natural Sciences 410 Math 420 Physics 430 Science 440 Astronomy 450 Earth Science 460 Biochemistry\Excuse me, that's my bike.\Oh, is it?\The Antarctic Express?\Where's our payment?\We were making sure no one stole it.\We hear you've got some money on you. response:	Could you lend us a little? Just a little...
context: 400 Natural Sciences 410 Math 420 Physics 430 Science 440 Astronomy 450 Earth Science 460 Biochemistry\Excuse me, that's my bike.\Oh, is it?\The Antarctic Express?\Where's our payment?\We were making sure no one stole it.\We hear you've got some money on you.\Could you lend us a little? Just a little... response:	E-Excuse me!
