context: J To catch them is my real test J response:	J To train them is my cause J
context: Gee, I wonder what happened to Brock.\I wonder too.\Maybe the river carried him far away, all the way to the ocean.\Then some pirates spotted him and brought him aboard their ship.\And one of the pirates has a wooden leg.\-You have a crazy imagination. -Pikachu!\Then came the storm.\- Ahoy! - Huh? response:	Hey, Brock!
context: I wonder too.\Maybe the river carried him far away, all the way to the ocean.\Then some pirates spotted him and brought him aboard their ship.\And one of the pirates has a wooden leg.\-You have a crazy imagination. -Pikachu!\Then came the storm.\- Ahoy! - Huh?\Hey, Brock! response:	Why are you hanging around up in that tree?
context: Maybe the river carried him far away, all the way to the ocean.\Then some pirates spotted him and brought him aboard their ship.\And one of the pirates has a wooden leg.\-You have a crazy imagination. -Pikachu!\Then came the storm.\- Ahoy! - Huh?\Hey, Brock!\Why are you hanging around up in that tree? response:	Thanks, but maybe next time, you could let us down a little more gently.
context: Then some pirates spotted him and brought him aboard their ship.\And one of the pirates has a wooden leg.\-You have a crazy imagination. -Pikachu!\Then came the storm.\- Ahoy! - Huh?\Hey, Brock!\Why are you hanging around up in that tree?\Thanks, but maybe next time, you could let us down a little more gently. response:	Yeah, sure. Sorry.
context: And one of the pirates has a wooden leg.\-You have a crazy imagination. -Pikachu!\Then came the storm.\- Ahoy! - Huh?\Hey, Brock!\Why are you hanging around up in that tree?\Thanks, but maybe next time, you could let us down a little more gently.\Yeah, sure. Sorry. response:	We've been looking all over for you.
context: -You have a crazy imagination. -Pikachu!\Then came the storm.\- Ahoy! - Huh?\Hey, Brock!\Why are you hanging around up in that tree?\Thanks, but maybe next time, you could let us down a little more gently.\Yeah, sure. Sorry.\We've been looking all over for you. response:	We saw you fall into the river. Then what happened?
context: Then came the storm.\- Ahoy! - Huh?\Hey, Brock!\Why are you hanging around up in that tree?\Thanks, but maybe next time, you could let us down a little more gently.\Yeah, sure. Sorry.\We've been looking all over for you.\We saw you fall into the river. Then what happened? response:	Well, I was being washed away in the rapids.
context: - Ahoy! - Huh?\Hey, Brock!\Why are you hanging around up in that tree?\Thanks, but maybe next time, you could let us down a little more gently.\Yeah, sure. Sorry.\We've been looking all over for you.\We saw you fall into the river. Then what happened?\Well, I was being washed away in the rapids. response:	I've got you. Just hold on.
context: Hey, Brock!\Why are you hanging around up in that tree?\Thanks, but maybe next time, you could let us down a little more gently.\Yeah, sure. Sorry.\We've been looking all over for you.\We saw you fall into the river. Then what happened?\Well, I was being washed away in the rapids.\I've got you. Just hold on. response:	The girl who saved my life was incredibly beautiful.
context: Why are you hanging around up in that tree?\Thanks, but maybe next time, you could let us down a little more gently.\Yeah, sure. Sorry.\We've been looking all over for you.\We saw you fall into the river. Then what happened?\Well, I was being washed away in the rapids.\I've got you. Just hold on.\The girl who saved my life was incredibly beautiful. response:	Hm, a beautiful girl, huh? That's even better than pirates.
context: Thanks, but maybe next time, you could let us down a little more gently.\Yeah, sure. Sorry.\We've been looking all over for you.\We saw you fall into the river. Then what happened?\Well, I was being washed away in the rapids.\I've got you. Just hold on.\The girl who saved my life was incredibly beautiful.\Hm, a beautiful girl, huh? That's even better than pirates. response:	Unless, of course, she was really a pirate in disguise.
context: Yeah, sure. Sorry.\We've been looking all over for you.\We saw you fall into the river. Then what happened?\Well, I was being washed away in the rapids.\I've got you. Just hold on.\The girl who saved my life was incredibly beautiful.\Hm, a beautiful girl, huh? That's even better than pirates.\Unless, of course, she was really a pirate in disguise. response:	Maybe it's time to get a reality check.
context: We've been looking all over for you.\We saw you fall into the river. Then what happened?\Well, I was being washed away in the rapids.\I've got you. Just hold on.\The girl who saved my life was incredibly beautiful.\Hm, a beautiful girl, huh? That's even better than pirates.\Unless, of course, she was really a pirate in disguise.\Maybe it's time to get a reality check. response:	-Oh! -Melanie, this is Ash and Misty.
context: We saw you fall into the river. Then what happened?\Well, I was being washed away in the rapids.\I've got you. Just hold on.\The girl who saved my life was incredibly beautiful.\Hm, a beautiful girl, huh? That's even better than pirates.\Unless, of course, she was really a pirate in disguise.\Maybe it's time to get a reality check.\-Oh! -Melanie, this is Ash and Misty. response:	-Hello. -So you're Brock's friends.
context: Well, I was being washed away in the rapids.\I've got you. Just hold on.\The girl who saved my life was incredibly beautiful.\Hm, a beautiful girl, huh? That's even better than pirates.\Unless, of course, she was really a pirate in disguise.\Maybe it's time to get a reality check.\-Oh! -Melanie, this is Ash and Misty.\-Hello. -So you're Brock's friends. response:	-He told me all about you. -Great.
context: I've got you. Just hold on.\The girl who saved my life was incredibly beautiful.\Hm, a beautiful girl, huh? That's even better than pirates.\Unless, of course, she was really a pirate in disguise.\Maybe it's time to get a reality check.\-Oh! -Melanie, this is Ash and Misty.\-Hello. -So you're Brock's friends.\-He told me all about you. -Great. response:	Wow, look at that!
context: The girl who saved my life was incredibly beautiful.\Hm, a beautiful girl, huh? That's even better than pirates.\Unless, of course, she was really a pirate in disguise.\Maybe it's time to get a reality check.\-Oh! -Melanie, this is Ash and Misty.\-Hello. -So you're Brock's friends.\-He told me all about you. -Great.\Wow, look at that! response:	-Do all those Pokemon belong to you? - Oh, no.
context: Hm, a beautiful girl, huh? That's even better than pirates.\Unless, of course, she was really a pirate in disguise.\Maybe it's time to get a reality check.\-Oh! -Melanie, this is Ash and Misty.\-Hello. -So you're Brock's friends.\-He told me all about you. -Great.\Wow, look at that!\-Do all those Pokemon belong to you? - Oh, no. response:	This is a place where Pokemon are able to rest and relax.
context: Unless, of course, she was really a pirate in disguise.\Maybe it's time to get a reality check.\-Oh! -Melanie, this is Ash and Misty.\-Hello. -So you're Brock's friends.\-He told me all about you. -Great.\Wow, look at that!\-Do all those Pokemon belong to you? - Oh, no.\This is a place where Pokemon are able to rest and relax. response:	-Like summer camp? -Well, sort of, but all year long.
context: Maybe it's time to get a reality check.\-Oh! -Melanie, this is Ash and Misty.\-Hello. -So you're Brock's friends.\-He told me all about you. -Great.\Wow, look at that!\-Do all those Pokemon belong to you? - Oh, no.\This is a place where Pokemon are able to rest and relax.\-Like summer camp? -Well, sort of, but all year long. response:	You see, when Pokemon get abandoned or injured, they can come here.
context: -Oh! -Melanie, this is Ash and Misty.\-Hello. -So you're Brock's friends.\-He told me all about you. -Great.\Wow, look at that!\-Do all those Pokemon belong to you? - Oh, no.\This is a place where Pokemon are able to rest and relax.\-Like summer camp? -Well, sort of, but all year long.\You see, when Pokemon get abandoned or injured, they can come here. response:	Melanie takes care of them until they feel better. Then they leave.
context: -Hello. -So you're Brock's friends.\-He told me all about you. -Great.\Wow, look at that!\-Do all those Pokemon belong to you? - Oh, no.\This is a place where Pokemon are able to rest and relax.\-Like summer camp? -Well, sort of, but all year long.\You see, when Pokemon get abandoned or injured, they can come here.\Melanie takes care of them until they feel better. Then they leave. response:	So this is a Pokemon center and Melanie is a Pokemon doctor.
context: -He told me all about you. -Great.\Wow, look at that!\-Do all those Pokemon belong to you? - Oh, no.\This is a place where Pokemon are able to rest and relax.\-Like summer camp? -Well, sort of, but all year long.\You see, when Pokemon get abandoned or injured, they can come here.\Melanie takes care of them until they feel better. Then they leave.\So this is a Pokemon center and Melanie is a Pokemon doctor. response:	Oh, no. I'm not qualified to be a Pokemon doctor.
context: Wow, look at that!\-Do all those Pokemon belong to you? - Oh, no.\This is a place where Pokemon are able to rest and relax.\-Like summer camp? -Well, sort of, but all year long.\You see, when Pokemon get abandoned or injured, they can come here.\Melanie takes care of them until they feel better. Then they leave.\So this is a Pokemon center and Melanie is a Pokemon doctor.\Oh, no. I'm not qualified to be a Pokemon doctor. response:	-This is more like a Pokemon health spa. -Huh?
context: -Do all those Pokemon belong to you? - Oh, no.\This is a place where Pokemon are able to rest and relax.\-Like summer camp? -Well, sort of, but all year long.\You see, when Pokemon get abandoned or injured, they can come here.\Melanie takes care of them until they feel better. Then they leave.\So this is a Pokemon center and Melanie is a Pokemon doctor.\Oh, no. I'm not qualified to be a Pokemon doctor.\-This is more like a Pokemon health spa. -Huh? response:	Here, the Pokemon don't battle with one another.
context: This is a place where Pokemon are able to rest and relax.\-Like summer camp? -Well, sort of, but all year long.\You see, when Pokemon get abandoned or injured, they can come here.\Melanie takes care of them until they feel better. Then they leave.\So this is a Pokemon center and Melanie is a Pokemon doctor.\Oh, no. I'm not qualified to be a Pokemon doctor.\-This is more like a Pokemon health spa. -Huh?\Here, the Pokemon don't battle with one another. response:	They relax and try to enjoy themselves until they've recovered.
context: -Like summer camp? -Well, sort of, but all year long.\You see, when Pokemon get abandoned or injured, they can come here.\Melanie takes care of them until they feel better. Then they leave.\So this is a Pokemon center and Melanie is a Pokemon doctor.\Oh, no. I'm not qualified to be a Pokemon doctor.\-This is more like a Pokemon health spa. -Huh?\Here, the Pokemon don't battle with one another.\They relax and try to enjoy themselves until they've recovered. response:	Cool.
context: You see, when Pokemon get abandoned or injured, they can come here.\Melanie takes care of them until they feel better. Then they leave.\So this is a Pokemon center and Melanie is a Pokemon doctor.\Oh, no. I'm not qualified to be a Pokemon doctor.\-This is more like a Pokemon health spa. -Huh?\Here, the Pokemon don't battle with one another.\They relax and try to enjoy themselves until they've recovered.\Cool. response:	Melanie collects plants to use for medicine.
context: Melanie takes care of them until they feel better. Then they leave.\So this is a Pokemon center and Melanie is a Pokemon doctor.\Oh, no. I'm not qualified to be a Pokemon doctor.\-This is more like a Pokemon health spa. -Huh?\Here, the Pokemon don't battle with one another.\They relax and try to enjoy themselves until they've recovered.\Cool.\Melanie collects plants to use for medicine. response:	She knows all about which plants can help a Pokemon feel better
context: So this is a Pokemon center and Melanie is a Pokemon doctor.\Oh, no. I'm not qualified to be a Pokemon doctor.\-This is more like a Pokemon health spa. -Huh?\Here, the Pokemon don't battle with one another.\They relax and try to enjoy themselves until they've recovered.\Cool.\Melanie collects plants to use for medicine.\She knows all about which plants can help a Pokemon feel better response:	or grow stronger when it's too weak.
context: Oh, no. I'm not qualified to be a Pokemon doctor.\-This is more like a Pokemon health spa. -Huh?\Here, the Pokemon don't battle with one another.\They relax and try to enjoy themselves until they've recovered.\Cool.\Melanie collects plants to use for medicine.\She knows all about which plants can help a Pokemon feel better\or grow stronger when it's too weak. response:	So you and Melanie both love to take care of Pokemon.
context: -This is more like a Pokemon health spa. -Huh?\Here, the Pokemon don't battle with one another.\They relax and try to enjoy themselves until they've recovered.\Cool.\Melanie collects plants to use for medicine.\She knows all about which plants can help a Pokemon feel better\or grow stronger when it's too weak.\So you and Melanie both love to take care of Pokemon. response:	We do.
context: Here, the Pokemon don't battle with one another.\They relax and try to enjoy themselves until they've recovered.\Cool.\Melanie collects plants to use for medicine.\She knows all about which plants can help a Pokemon feel better\or grow stronger when it's too weak.\So you and Melanie both love to take care of Pokemon.\We do. response:	Well, it looks to me like there's something else Brock might love, heh.
context: They relax and try to enjoy themselves until they've recovered.\Cool.\Melanie collects plants to use for medicine.\She knows all about which plants can help a Pokemon feel better\or grow stronger when it's too weak.\So you and Melanie both love to take care of Pokemon.\We do.\Well, it looks to me like there's something else Brock might love, heh. response:	-Be quiet! She might hear you! -Heh.
context: Cool.\Melanie collects plants to use for medicine.\She knows all about which plants can help a Pokemon feel better\or grow stronger when it's too weak.\So you and Melanie both love to take care of Pokemon.\We do.\Well, it looks to me like there's something else Brock might love, heh.\-Be quiet! She might hear you! -Heh. response:	I wonder who put that net up in the tree.
context: Melanie collects plants to use for medicine.\She knows all about which plants can help a Pokemon feel better\or grow stronger when it's too weak.\So you and Melanie both love to take care of Pokemon.\We do.\Well, it looks to me like there's something else Brock might love, heh.\-Be quiet! She might hear you! -Heh.\I wonder who put that net up in the tree. response:	Probably the same person who dug the hole I fell into.
context: She knows all about which plants can help a Pokemon feel better\or grow stronger when it's too weak.\So you and Melanie both love to take care of Pokemon.\We do.\Well, it looks to me like there's something else Brock might love, heh.\-Be quiet! She might hear you! -Heh.\I wonder who put that net up in the tree.\Probably the same person who dug the hole I fell into. response:	I'm sorry. I was the one who set those traps.
context: or grow stronger when it's too weak.\So you and Melanie both love to take care of Pokemon.\We do.\Well, it looks to me like there's something else Brock might love, heh.\-Be quiet! She might hear you! -Heh.\I wonder who put that net up in the tree.\Probably the same person who dug the hole I fell into.\I'm sorry. I was the one who set those traps. response:	I wanted to catch Pokemon trainers before they reached the village.
context: So you and Melanie both love to take care of Pokemon.\We do.\Well, it looks to me like there's something else Brock might love, heh.\-Be quiet! She might hear you! -Heh.\I wonder who put that net up in the tree.\Probably the same person who dug the hole I fell into.\I'm sorry. I was the one who set those traps.\I wanted to catch Pokemon trainers before they reached the village. response:	Since you got caught, I guess they really worked, heh.
context: We do.\Well, it looks to me like there's something else Brock might love, heh.\-Be quiet! She might hear you! -Heh.\I wonder who put that net up in the tree.\Probably the same person who dug the hole I fell into.\I'm sorry. I was the one who set those traps.\I wanted to catch Pokemon trainers before they reached the village.\Since you got caught, I guess they really worked, heh. response:	-But why? -There are so many injured Pokemon here.
context: Well, it looks to me like there's something else Brock might love, heh.\-Be quiet! She might hear you! -Heh.\I wonder who put that net up in the tree.\Probably the same person who dug the hole I fell into.\I'm sorry. I was the one who set those traps.\I wanted to catch Pokemon trainers before they reached the village.\Since you got caught, I guess they really worked, heh.\-But why? -There are so many injured Pokemon here. response:	I have to protect them.
context: -Be quiet! She might hear you! -Heh.\I wonder who put that net up in the tree.\Probably the same person who dug the hole I fell into.\I'm sorry. I was the one who set those traps.\I wanted to catch Pokemon trainers before they reached the village.\Since you got caught, I guess they really worked, heh.\-But why? -There are so many injured Pokemon here.\I have to protect them. response:	-So the bridge was a trap too. -Yes.
context: I wonder who put that net up in the tree.\Probably the same person who dug the hole I fell into.\I'm sorry. I was the one who set those traps.\I wanted to catch Pokemon trainers before they reached the village.\Since you got caught, I guess they really worked, heh.\-But why? -There are so many injured Pokemon here.\I have to protect them.\-So the bridge was a trap too. -Yes. response:	Across this bridge lies a lifetime supply of Pokemon.
context: Probably the same person who dug the hole I fell into.\I'm sorry. I was the one who set those traps.\I wanted to catch Pokemon trainers before they reached the village.\Since you got caught, I guess they really worked, heh.\-But why? -There are so many injured Pokemon here.\I have to protect them.\-So the bridge was a trap too. -Yes.\Across this bridge lies a lifetime supply of Pokemon. response:	How are we ever going to carry them all?
context: I'm sorry. I was the one who set those traps.\I wanted to catch Pokemon trainers before they reached the village.\Since you got caught, I guess they really worked, heh.\-But why? -There are so many injured Pokemon here.\I have to protect them.\-So the bridge was a trap too. -Yes.\Across this bridge lies a lifetime supply of Pokemon.\How are we ever going to carry them all? response:	Don't worry, we'll cross that bridge when we come to it.
context: I wanted to catch Pokemon trainers before they reached the village.\Since you got caught, I guess they really worked, heh.\-But why? -There are so many injured Pokemon here.\I have to protect them.\-So the bridge was a trap too. -Yes.\Across this bridge lies a lifetime supply of Pokemon.\How are we ever going to carry them all?\Don't worry, we'll cross that bridge when we come to it. response:	I promised Melanie we wouldn't capture any Pokemon here.
context: Since you got caught, I guess they really worked, heh.\-But why? -There are so many injured Pokemon here.\I have to protect them.\-So the bridge was a trap too. -Yes.\Across this bridge lies a lifetime supply of Pokemon.\How are we ever going to carry them all?\Don't worry, we'll cross that bridge when we come to it.\I promised Melanie we wouldn't capture any Pokemon here. response:	And did you seal the promise with a kiss? Ow!
context: -But why? -There are so many injured Pokemon here.\I have to protect them.\-So the bridge was a trap too. -Yes.\Across this bridge lies a lifetime supply of Pokemon.\How are we ever going to carry them all?\Don't worry, we'll cross that bridge when we come to it.\I promised Melanie we wouldn't capture any Pokemon here.\And did you seal the promise with a kiss? Ow! response:	So that must mean you really do love her. Ow!
context: I have to protect them.\-So the bridge was a trap too. -Yes.\Across this bridge lies a lifetime supply of Pokemon.\How are we ever going to carry them all?\Don't worry, we'll cross that bridge when we come to it.\I promised Melanie we wouldn't capture any Pokemon here.\And did you seal the promise with a kiss? Ow!\So that must mean you really do love her. Ow! response:	Well, I guess I'll have to keep your promise.
context: -So the bridge was a trap too. -Yes.\Across this bridge lies a lifetime supply of Pokemon.\How are we ever going to carry them all?\Don't worry, we'll cross that bridge when we come to it.\I promised Melanie we wouldn't capture any Pokemon here.\And did you seal the promise with a kiss? Ow!\So that must mean you really do love her. Ow!\Well, I guess I'll have to keep your promise. response:	Only bad guys try to capture sick Pokemon.
context: Across this bridge lies a lifetime supply of Pokemon.\How are we ever going to carry them all?\Don't worry, we'll cross that bridge when we come to it.\I promised Melanie we wouldn't capture any Pokemon here.\And did you seal the promise with a kiss? Ow!\So that must mean you really do love her. Ow!\Well, I guess I'll have to keep your promise.\Only bad guys try to capture sick Pokemon. response:	But are those traps tough enough to keep robbers away from this place?
context: How are we ever going to carry them all?\Don't worry, we'll cross that bridge when we come to it.\I promised Melanie we wouldn't capture any Pokemon here.\And did you seal the promise with a kiss? Ow!\So that must mean you really do love her. Ow!\Well, I guess I'll have to keep your promise.\Only bad guys try to capture sick Pokemon.\But are those traps tough enough to keep robbers away from this place? response:	I mean, you'd have to be pretty stupid
context: Don't worry, we'll cross that bridge when we come to it.\I promised Melanie we wouldn't capture any Pokemon here.\And did you seal the promise with a kiss? Ow!\So that must mean you really do love her. Ow!\Well, I guess I'll have to keep your promise.\Only bad guys try to capture sick Pokemon.\But are those traps tough enough to keep robbers away from this place?\I mean, you'd have to be pretty stupid response:	-to fall into one of those holes. -Hey!
context: I promised Melanie we wouldn't capture any Pokemon here.\And did you seal the promise with a kiss? Ow!\So that must mean you really do love her. Ow!\Well, I guess I'll have to keep your promise.\Only bad guys try to capture sick Pokemon.\But are those traps tough enough to keep robbers away from this place?\I mean, you'd have to be pretty stupid\-to fall into one of those holes. -Hey! response:	This is the third hole we've fallen into.
context: And did you seal the promise with a kiss? Ow!\So that must mean you really do love her. Ow!\Well, I guess I'll have to keep your promise.\Only bad guys try to capture sick Pokemon.\But are those traps tough enough to keep robbers away from this place?\I mean, you'd have to be pretty stupid\-to fall into one of those holes. -Hey!\This is the third hole we've fallen into. response:	How come nobody ever falls into our traps but we always fall into theirs?
context: So that must mean you really do love her. Ow!\Well, I guess I'll have to keep your promise.\Only bad guys try to capture sick Pokemon.\But are those traps tough enough to keep robbers away from this place?\I mean, you'd have to be pretty stupid\-to fall into one of those holes. -Hey!\This is the third hole we've fallen into.\How come nobody ever falls into our traps but we always fall into theirs? response:	Well, this one was very cleverly hidden, well made, and-
context: Well, I guess I'll have to keep your promise.\Only bad guys try to capture sick Pokemon.\But are those traps tough enough to keep robbers away from this place?\I mean, you'd have to be pretty stupid\-to fall into one of those holes. -Hey!\This is the third hole we've fallen into.\How come nobody ever falls into our traps but we always fall into theirs?\Well, this one was very cleverly hidden, well made, and- response:	-I'm glad you're enjoying it so much! -Meowth!
context: Only bad guys try to capture sick Pokemon.\But are those traps tough enough to keep robbers away from this place?\I mean, you'd have to be pretty stupid\-to fall into one of those holes. -Hey!\This is the third hole we've fallen into.\How come nobody ever falls into our traps but we always fall into theirs?\Well, this one was very cleverly hidden, well made, and-\-I'm glad you're enjoying it so much! -Meowth! response:	- Help me out! Help me out! - Get us out of here!
context: But are those traps tough enough to keep robbers away from this place?\I mean, you'd have to be pretty stupid\-to fall into one of those holes. -Hey!\This is the third hole we've fallen into.\How come nobody ever falls into our traps but we always fall into theirs?\Well, this one was very cleverly hidden, well made, and-\-I'm glad you're enjoying it so much! -Meowth!\- Help me out! Help me out! - Get us out of here! response:	Ouch, my tail! Let go! Stop pulling my tail!
context: I mean, you'd have to be pretty stupid\-to fall into one of those holes. -Hey!\This is the third hole we've fallen into.\How come nobody ever falls into our traps but we always fall into theirs?\Well, this one was very cleverly hidden, well made, and-\-I'm glad you're enjoying it so much! -Meowth!\- Help me out! Help me out! - Get us out of here!\Ouch, my tail! Let go! Stop pulling my tail! response:	Do you feel any better yet, Staryu?
context: -to fall into one of those holes. -Hey!\This is the third hole we've fallen into.\How come nobody ever falls into our traps but we always fall into theirs?\Well, this one was very cleverly hidden, well made, and-\-I'm glad you're enjoying it so much! -Meowth!\- Help me out! Help me out! - Get us out of here!\Ouch, my tail! Let go! Stop pulling my tail!\Do you feel any better yet, Staryu? response:	Sorry about what happened in the forest.
context: This is the third hole we've fallen into.\How come nobody ever falls into our traps but we always fall into theirs?\Well, this one was very cleverly hidden, well made, and-\-I'm glad you're enjoying it so much! -Meowth!\- Help me out! Help me out! - Get us out of here!\Ouch, my tail! Let go! Stop pulling my tail!\Do you feel any better yet, Staryu?\Sorry about what happened in the forest. response:	Oddish.
context: How come nobody ever falls into our traps but we always fall into theirs?\Well, this one was very cleverly hidden, well made, and-\-I'm glad you're enjoying it so much! -Meowth!\- Help me out! Help me out! - Get us out of here!\Ouch, my tail! Let go! Stop pulling my tail!\Do you feel any better yet, Staryu?\Sorry about what happened in the forest.\Oddish. response:	I shouldn't have surprised you like that, heh. You must've been scared.
context: Well, this one was very cleverly hidden, well made, and-\-I'm glad you're enjoying it so much! -Meowth!\- Help me out! Help me out! - Get us out of here!\Ouch, my tail! Let go! Stop pulling my tail!\Do you feel any better yet, Staryu?\Sorry about what happened in the forest.\Oddish.\I shouldn't have surprised you like that, heh. You must've been scared. response:	Oddish.
context: -I'm glad you're enjoying it so much! -Meowth!\- Help me out! Help me out! - Get us out of here!\Ouch, my tail! Let go! Stop pulling my tail!\Do you feel any better yet, Staryu?\Sorry about what happened in the forest.\Oddish.\I shouldn't have surprised you like that, heh. You must've been scared.\Oddish. response:	Melanie told me your old trainer got rid of you.
context: - Help me out! Help me out! - Get us out of here!\Ouch, my tail! Let go! Stop pulling my tail!\Do you feel any better yet, Staryu?\Sorry about what happened in the forest.\Oddish.\I shouldn't have surprised you like that, heh. You must've been scared.\Oddish.\Melanie told me your old trainer got rid of you. response:	Was it really because he thought you were too weak?
context: Ouch, my tail! Let go! Stop pulling my tail!\Do you feel any better yet, Staryu?\Sorry about what happened in the forest.\Oddish.\I shouldn't have surprised you like that, heh. You must've been scared.\Oddish.\Melanie told me your old trainer got rid of you.\Was it really because he thought you were too weak? response:	Oddish.
context: Do you feel any better yet, Staryu?\Sorry about what happened in the forest.\Oddish.\I shouldn't have surprised you like that, heh. You must've been scared.\Oddish.\Melanie told me your old trainer got rid of you.\Was it really because he thought you were too weak?\Oddish. response:	You know, some trainers can be insensitive.
context: Sorry about what happened in the forest.\Oddish.\I shouldn't have surprised you like that, heh. You must've been scared.\Oddish.\Melanie told me your old trainer got rid of you.\Was it really because he thought you were too weak?\Oddish.\You know, some trainers can be insensitive. response:	But not all of us are mean like that.
context: Oddish.\I shouldn't have surprised you like that, heh. You must've been scared.\Oddish.\Melanie told me your old trainer got rid of you.\Was it really because he thought you were too weak?\Oddish.\You know, some trainers can be insensitive.\But not all of us are mean like that. response:	You just need to find a trainer who understands you.
context: I shouldn't have surprised you like that, heh. You must've been scared.\Oddish.\Melanie told me your old trainer got rid of you.\Was it really because he thought you were too weak?\Oddish.\You know, some trainers can be insensitive.\But not all of us are mean like that.\You just need to find a trainer who understands you. response:	Anyway, I'm sorry for what I did and I hope we can become friends.
context: Oddish.\Melanie told me your old trainer got rid of you.\Was it really because he thought you were too weak?\Oddish.\You know, some trainers can be insensitive.\But not all of us are mean like that.\You just need to find a trainer who understands you.\Anyway, I'm sorry for what I did and I hope we can become friends. response:	Oddish.
context: Melanie told me your old trainer got rid of you.\Was it really because he thought you were too weak?\Oddish.\You know, some trainers can be insensitive.\But not all of us are mean like that.\You just need to find a trainer who understands you.\Anyway, I'm sorry for what I did and I hope we can become friends.\Oddish. response:	-Huh? -Oddish. Oddish.
context: Was it really because he thought you were too weak?\Oddish.\You know, some trainers can be insensitive.\But not all of us are mean like that.\You just need to find a trainer who understands you.\Anyway, I'm sorry for what I did and I hope we can become friends.\Oddish.\-Huh? -Oddish. Oddish. response:	You're sweet, Oddish. I am sorry.
context: Oddish.\You know, some trainers can be insensitive.\But not all of us are mean like that.\You just need to find a trainer who understands you.\Anyway, I'm sorry for what I did and I hope we can become friends.\Oddish.\-Huh? -Oddish. Oddish.\You're sweet, Oddish. I am sorry. response:	All I think about lately is winning. I hope I'm not becoming heartless.
context: You know, some trainers can be insensitive.\But not all of us are mean like that.\You just need to find a trainer who understands you.\Anyway, I'm sorry for what I did and I hope we can become friends.\Oddish.\-Huh? -Oddish. Oddish.\You're sweet, Oddish. I am sorry.\All I think about lately is winning. I hope I'm not becoming heartless. response:	-You were always heartless. -Mind your own business!
context: But not all of us are mean like that.\You just need to find a trainer who understands you.\Anyway, I'm sorry for what I did and I hope we can become friends.\Oddish.\-Huh? -Oddish. Oddish.\You're sweet, Oddish. I am sorry.\All I think about lately is winning. I hope I'm not becoming heartless.\-You were always heartless. -Mind your own business! response:	Bulbasaur!
context: You just need to find a trainer who understands you.\Anyway, I'm sorry for what I did and I hope we can become friends.\Oddish.\-Huh? -Oddish. Oddish.\You're sweet, Oddish. I am sorry.\All I think about lately is winning. I hope I'm not becoming heartless.\-You were always heartless. -Mind your own business!\Bulbasaur! response:	-Hey, it's rude to tackle people! -She's right.
context: Anyway, I'm sorry for what I did and I hope we can become friends.\Oddish.\-Huh? -Oddish. Oddish.\You're sweet, Oddish. I am sorry.\All I think about lately is winning. I hope I'm not becoming heartless.\-You were always heartless. -Mind your own business!\Bulbasaur!\-Hey, it's rude to tackle people! -She's right. response:	I know. You're just mad because I was going to beat you.
context: Oddish.\-Huh? -Oddish. Oddish.\You're sweet, Oddish. I am sorry.\All I think about lately is winning. I hope I'm not becoming heartless.\-You were always heartless. -Mind your own business!\Bulbasaur!\-Hey, it's rude to tackle people! -She's right.\I know. You're just mad because I was going to beat you. response:	-But you chickened out and ran off. -That must be it.
context: -Huh? -Oddish. Oddish.\You're sweet, Oddish. I am sorry.\All I think about lately is winning. I hope I'm not becoming heartless.\-You were always heartless. -Mind your own business!\Bulbasaur!\-Hey, it's rude to tackle people! -She's right.\I know. You're just mad because I was going to beat you.\-But you chickened out and ran off. -That must be it. response:	Then let's see how tough you really are.
context: You're sweet, Oddish. I am sorry.\All I think about lately is winning. I hope I'm not becoming heartless.\-You were always heartless. -Mind your own business!\Bulbasaur!\-Hey, it's rude to tackle people! -She's right.\I know. You're just mad because I was going to beat you.\-But you chickened out and ran off. -That must be it.\Then let's see how tough you really are. response:	- Please wait. Please. -Huh?
context: All I think about lately is winning. I hope I'm not becoming heartless.\-You were always heartless. -Mind your own business!\Bulbasaur!\-Hey, it's rude to tackle people! -She's right.\I know. You're just mad because I was going to beat you.\-But you chickened out and ran off. -That must be it.\Then let's see how tough you really are.\- Please wait. Please. -Huh? response:	Bulbasaur is only trying to protect Oddish.
context: -You were always heartless. -Mind your own business!\Bulbasaur!\-Hey, it's rude to tackle people! -She's right.\I know. You're just mad because I was going to beat you.\-But you chickened out and ran off. -That must be it.\Then let's see how tough you really are.\- Please wait. Please. -Huh?\Bulbasaur is only trying to protect Oddish. response:	Bulbasaur volunteered to guard our whole village.
context: Bulbasaur!\-Hey, it's rude to tackle people! -She's right.\I know. You're just mad because I was going to beat you.\-But you chickened out and ran off. -That must be it.\Then let's see how tough you really are.\- Please wait. Please. -Huh?\Bulbasaur is only trying to protect Oddish.\Bulbasaur volunteered to guard our whole village. response:	- Huh? -It protects all the injured Pokemon
context: -Hey, it's rude to tackle people! -She's right.\I know. You're just mad because I was going to beat you.\-But you chickened out and ran off. -That must be it.\Then let's see how tough you really are.\- Please wait. Please. -Huh?\Bulbasaur is only trying to protect Oddish.\Bulbasaur volunteered to guard our whole village.\- Huh? -It protects all the injured Pokemon response:	whenever enemies try to attack them.
context: I know. You're just mad because I was going to beat you.\-But you chickened out and ran off. -That must be it.\Then let's see how tough you really are.\- Please wait. Please. -Huh?\Bulbasaur is only trying to protect Oddish.\Bulbasaur volunteered to guard our whole village.\- Huh? -It protects all the injured Pokemon\whenever enemies try to attack them. response:	Oh.
