context: May 7th response:	After spending the rest of Golden Week studying with Oga Kazuomi and Onoya An (Support Division), Kaizaki Arata passed his fourth round of make-up tests.
context: we received word that they've picked Kaizaki Arata-san as subject no. 002.\And his support...\Change of support for the start of the Kanto Branch's subject no. 002 experiment.\Support: Yoake Ryo\It was you.\They said to start prepping at once.\You don't have time to mope!\Subject no. 002, Kaizaki Arata. response:	Onoya must be pissed at me.
context: And his support...\Change of support for the start of the Kanto Branch's subject no. 002 experiment.\Support: Yoake Ryo\It was you.\They said to start prepping at once.\You don't have time to mope!\Subject no. 002, Kaizaki Arata.\Onoya must be pissed at me. response:	She really wanted to support this test subject,
context: Change of support for the start of the Kanto Branch's subject no. 002 experiment.\Support: Yoake Ryo\It was you.\They said to start prepping at once.\You don't have time to mope!\Subject no. 002, Kaizaki Arata.\Onoya must be pissed at me.\She really wanted to support this test subject, response:	and I wound up snatching him anyway.
context: Support: Yoake Ryo\It was you.\They said to start prepping at once.\You don't have time to mope!\Subject no. 002, Kaizaki Arata.\Onoya must be pissed at me.\She really wanted to support this test subject,\and I wound up snatching him anyway. response:	But it's my job.
context: It was you.\They said to start prepping at once.\You don't have time to mope!\Subject no. 002, Kaizaki Arata.\Onoya must be pissed at me.\She really wanted to support this test subject,\and I wound up snatching him anyway.\But it's my job. response:	Gotta deal with it.
context: They said to start prepping at once.\You don't have time to mope!\Subject no. 002, Kaizaki Arata.\Onoya must be pissed at me.\She really wanted to support this test subject,\and I wound up snatching him anyway.\But it's my job.\Gotta deal with it. response:	Whoa, wai
context: You don't have time to mope!\Subject no. 002, Kaizaki Arata.\Onoya must be pissed at me.\She really wanted to support this test subject,\and I wound up snatching him anyway.\But it's my job.\Gotta deal with it.\Whoa, wai response:	How did my life turn out like this?
context: Subject no. 002, Kaizaki Arata.\Onoya must be pissed at me.\She really wanted to support this test subject,\and I wound up snatching him anyway.\But it's my job.\Gotta deal with it.\Whoa, wai\How did my life turn out like this? response:	Good evening.
context: Onoya must be pissed at me.\She really wanted to support this test subject,\and I wound up snatching him anyway.\But it's my job.\Gotta deal with it.\Whoa, wai\How did my life turn out like this?\Good evening. response:	Nice to meet you, Kaizaki Arata-san.
context: She really wanted to support this test subject,\and I wound up snatching him anyway.\But it's my job.\Gotta deal with it.\Whoa, wai\How did my life turn out like this?\Good evening.\Nice to meet you, Kaizaki Arata-san. response:	I'm Yoake Ryo, from the ReLIFE Laboratory.
context: and I wound up snatching him anyway.\But it's my job.\Gotta deal with it.\Whoa, wai\How did my life turn out like this?\Good evening.\Nice to meet you, Kaizaki Arata-san.\I'm Yoake Ryo, from the ReLIFE Laboratory. response:	Will you become a student for a year and see this as a chance to change your life?
context: But it's my job.\Gotta deal with it.\Whoa, wai\How did my life turn out like this?\Good evening.\Nice to meet you, Kaizaki Arata-san.\I'm Yoake Ryo, from the ReLIFE Laboratory.\Will you become a student for a year and see this as a chance to change your life? response:	Or will you get cold feet, back out, and keep living as a NEET?
context: Gotta deal with it.\Whoa, wai\How did my life turn out like this?\Good evening.\Nice to meet you, Kaizaki Arata-san.\I'm Yoake Ryo, from the ReLIFE Laboratory.\Will you become a student for a year and see this as a chance to change your life?\Or will you get cold feet, back out, and keep living as a NEET? response:	The choice is yours, Kaizaki-san.
context: Whoa, wai\How did my life turn out like this?\Good evening.\Nice to meet you, Kaizaki Arata-san.\I'm Yoake Ryo, from the ReLIFE Laboratory.\Will you become a student for a year and see this as a chance to change your life?\Or will you get cold feet, back out, and keep living as a NEET?\The choice is yours, Kaizaki-san. response:	It was rough on you, right?
context: How did my life turn out like this?\Good evening.\Nice to meet you, Kaizaki Arata-san.\I'm Yoake Ryo, from the ReLIFE Laboratory.\Will you become a student for a year and see this as a chance to change your life?\Or will you get cold feet, back out, and keep living as a NEET?\The choice is yours, Kaizaki-san.\It was rough on you, right? response:	Pretending you had a real job in front of your friends.
context: Good evening.\Nice to meet you, Kaizaki Arata-san.\I'm Yoake Ryo, from the ReLIFE Laboratory.\Will you become a student for a year and see this as a chance to change your life?\Or will you get cold feet, back out, and keep living as a NEET?\The choice is yours, Kaizaki-san.\It was rough on you, right?\Pretending you had a real job in front of your friends. response:	If you're ready to accept,
context: Nice to meet you, Kaizaki Arata-san.\I'm Yoake Ryo, from the ReLIFE Laboratory.\Will you become a student for a year and see this as a chance to change your life?\Or will you get cold feet, back out, and keep living as a NEET?\The choice is yours, Kaizaki-san.\It was rough on you, right?\Pretending you had a real job in front of your friends.\If you're ready to accept, response:	please sign the contract.
context: I'm Yoake Ryo, from the ReLIFE Laboratory.\Will you become a student for a year and see this as a chance to change your life?\Or will you get cold feet, back out, and keep living as a NEET?\The choice is yours, Kaizaki-san.\It was rough on you, right?\Pretending you had a real job in front of your friends.\If you're ready to accept,\please sign the contract. response:	Here's to a good ReLIFE.
context: Will you become a student for a year and see this as a chance to change your life?\Or will you get cold feet, back out, and keep living as a NEET?\The choice is yours, Kaizaki-san.\It was rough on you, right?\Pretending you had a real job in front of your friends.\If you're ready to accept,\please sign the contract.\Here's to a good ReLIFE. response:	This man...
context: Or will you get cold feet, back out, and keep living as a NEET?\The choice is yours, Kaizaki-san.\It was rough on you, right?\Pretending you had a real job in front of your friends.\If you're ready to accept,\please sign the contract.\Here's to a good ReLIFE.\This man... response:	I wonder...
context: The choice is yours, Kaizaki-san.\It was rough on you, right?\Pretending you had a real job in front of your friends.\If you're ready to accept,\please sign the contract.\Here's to a good ReLIFE.\This man...\I wonder... response:	What kind of ReLIFE will he show me?
context: It was rough on you, right?\Pretending you had a real job in front of your friends.\If you're ready to accept,\please sign the contract.\Here's to a good ReLIFE.\This man...\I wonder...\What kind of ReLIFE will he show me? response:	Coming!
context: Pretending you had a real job in front of your friends.\If you're ready to accept,\please sign the contract.\Here's to a good ReLIFE.\This man...\I wonder...\What kind of ReLIFE will he show me?\Coming! response:	You've got a lot of nerve making your senpai work like this, Onoya.
context: If you're ready to accept,\please sign the contract.\Here's to a good ReLIFE.\This man...\I wonder...\What kind of ReLIFE will he show me?\Coming!\You've got a lot of nerve making your senpai work like this, Onoya. response:	Sorry!
context: please sign the contract.\Here's to a good ReLIFE.\This man...\I wonder...\What kind of ReLIFE will he show me?\Coming!\You've got a lot of nerve making your senpai work like this, Onoya.\Sorry! response:	You were at the lab and coming here anyway,
context: Here's to a good ReLIFE.\This man...\I wonder...\What kind of ReLIFE will he show me?\Coming!\You've got a lot of nerve making your senpai work like this, Onoya.\Sorry!\You were at the lab and coming here anyway, response:	so I figured you could bring it while you were at it.
context: This man...\I wonder...\What kind of ReLIFE will he show me?\Coming!\You've got a lot of nerve making your senpai work like this, Onoya.\Sorry!\You were at the lab and coming here anyway,\so I figured you could bring it while you were at it. response:	It was too heavy and too far to bring while I was at it.
context: I wonder...\What kind of ReLIFE will he show me?\Coming!\You've got a lot of nerve making your senpai work like this, Onoya.\Sorry!\You were at the lab and coming here anyway,\so I figured you could bring it while you were at it.\It was too heavy and too far to bring while I was at it. response:	Well, come on in.
context: What kind of ReLIFE will he show me?\Coming!\You've got a lot of nerve making your senpai work like this, Onoya.\Sorry!\You were at the lab and coming here anyway,\so I figured you could bring it while you were at it.\It was too heavy and too far to bring while I was at it.\Well, come on in. response:	I'll make some coffee as a thank you.
context: Coming!\You've got a lot of nerve making your senpai work like this, Onoya.\Sorry!\You were at the lab and coming here anyway,\so I figured you could bring it while you were at it.\It was too heavy and too far to bring while I was at it.\Well, come on in.\I'll make some coffee as a thank you. response:	Support Division Onoya An Aoba High Uniform, Textbooks
context: You've got a lot of nerve making your senpai work like this, Onoya.\Sorry!\You were at the lab and coming here anyway,\so I figured you could bring it while you were at it.\It was too heavy and too far to bring while I was at it.\Well, come on in.\I'll make some coffee as a thank you.\Support Division Onoya An Aoba High Uniform, Textbooks response:	A sailor suit!
context: Sorry!\You were at the lab and coming here anyway,\so I figured you could bring it while you were at it.\It was too heavy and too far to bring while I was at it.\Well, come on in.\I'll make some coffee as a thank you.\Support Division Onoya An Aoba High Uniform, Textbooks\A sailor suit! response:	This takes me back!
context: You were at the lab and coming here anyway,\so I figured you could bring it while you were at it.\It was too heavy and too far to bring while I was at it.\Well, come on in.\I'll make some coffee as a thank you.\Support Division Onoya An Aoba High Uniform, Textbooks\A sailor suit!\This takes me back! response:	My actual high school also had sailor uniforms.
context: so I figured you could bring it while you were at it.\It was too heavy and too far to bring while I was at it.\Well, come on in.\I'll make some coffee as a thank you.\Support Division Onoya An Aoba High Uniform, Textbooks\A sailor suit!\This takes me back!\My actual high school also had sailor uniforms. response:	Never thought I'd wear one again at my age.
context: It was too heavy and too far to bring while I was at it.\Well, come on in.\I'll make some coffee as a thank you.\Support Division Onoya An Aoba High Uniform, Textbooks\A sailor suit!\This takes me back!\My actual high school also had sailor uniforms.\Never thought I'd wear one again at my age. response:	I know, right,
context: Well, come on in.\I'll make some coffee as a thank you.\Support Division Onoya An Aoba High Uniform, Textbooks\A sailor suit!\This takes me back!\My actual high school also had sailor uniforms.\Never thought I'd wear one again at my age.\I know, right, response:	old bag.
context: I'll make some coffee as a thank you.\Support Division Onoya An Aoba High Uniform, Textbooks\A sailor suit!\This takes me back!\My actual high school also had sailor uniforms.\Never thought I'd wear one again at my age.\I know, right,\old bag. response:	If I'm an old bag, that makes you a geezer.
context: Support Division Onoya An Aoba High Uniform, Textbooks\A sailor suit!\This takes me back!\My actual high school also had sailor uniforms.\Never thought I'd wear one again at my age.\I know, right,\old bag.\If I'm an old bag, that makes you a geezer. response:	I'm really looking forward to this!
context: A sailor suit!\This takes me back!\My actual high school also had sailor uniforms.\Never thought I'd wear one again at my age.\I know, right,\old bag.\If I'm an old bag, that makes you a geezer.\I'm really looking forward to this! response:	I never imagined that starting April,
context: This takes me back!\My actual high school also had sailor uniforms.\Never thought I'd wear one again at my age.\I know, right,\old bag.\If I'm an old bag, that makes you a geezer.\I'm really looking forward to this!\I never imagined that starting April, response:	I'd be in the same school
context: My actual high school also had sailor uniforms.\Never thought I'd wear one again at my age.\I know, right,\old bag.\If I'm an old bag, that makes you a geezer.\I'm really looking forward to this!\I never imagined that starting April,\I'd be in the same school response:	and same class as you!
context: Never thought I'd wear one again at my age.\I know, right,\old bag.\If I'm an old bag, that makes you a geezer.\I'm really looking forward to this!\I never imagined that starting April,\I'd be in the same school\and same class as you! response:	That's hilarious!
context: I know, right,\old bag.\If I'm an old bag, that makes you a geezer.\I'm really looking forward to this!\I never imagined that starting April,\I'd be in the same school\and same class as you!\That's hilarious! response:	How was Kaizaki-san?
context: old bag.\If I'm an old bag, that makes you a geezer.\I'm really looking forward to this!\I never imagined that starting April,\I'd be in the same school\and same class as you!\That's hilarious!\How was Kaizaki-san? response:	Huh?
context: If I'm an old bag, that makes you a geezer.\I'm really looking forward to this!\I never imagined that starting April,\I'd be in the same school\and same class as you!\That's hilarious!\How was Kaizaki-san?\Huh? response:	Subject no. 002, Kaizaki Arata-san!
context: I'm really looking forward to this!\I never imagined that starting April,\I'd be in the same school\and same class as you!\That's hilarious!\How was Kaizaki-san?\Huh?\Subject no. 002, Kaizaki Arata-san! response:	You met with him today, right?
context: I never imagined that starting April,\I'd be in the same school\and same class as you!\That's hilarious!\How was Kaizaki-san?\Huh?\Subject no. 002, Kaizaki Arata-san!\You met with him today, right? response:	He signed the contract.
context: I'd be in the same school\and same class as you!\That's hilarious!\How was Kaizaki-san?\Huh?\Subject no. 002, Kaizaki Arata-san!\You met with him today, right?\He signed the contract. response:	Think you'll work well with him?
context: and same class as you!\That's hilarious!\How was Kaizaki-san?\Huh?\Subject no. 002, Kaizaki Arata-san!\You met with him today, right?\He signed the contract.\Think you'll work well with him? response:	That's our job as support.
context: That's hilarious!\How was Kaizaki-san?\Huh?\Subject no. 002, Kaizaki Arata-san!\You met with him today, right?\He signed the contract.\Think you'll work well with him?\That's our job as support. response:	Damn right, Senpai!
context: How was Kaizaki-san?\Huh?\Subject no. 002, Kaizaki Arata-san!\You met with him today, right?\He signed the contract.\Think you'll work well with him?\That's our job as support.\Damn right, Senpai! response:	Man, you really get on my nerves.
context: Huh?\Subject no. 002, Kaizaki Arata-san!\You met with him today, right?\He signed the contract.\Think you'll work well with him?\That's our job as support.\Damn right, Senpai!\Man, you really get on my nerves. response:	Huh? Why?
context: Subject no. 002, Kaizaki Arata-san!\You met with him today, right?\He signed the contract.\Think you'll work well with him?\That's our job as support.\Damn right, Senpai!\Man, you really get on my nerves.\Huh? Why? response:	Well, you don't need to worry about Kaizaki-san.
context: You met with him today, right?\He signed the contract.\Think you'll work well with him?\That's our job as support.\Damn right, Senpai!\Man, you really get on my nerves.\Huh? Why?\Well, you don't need to worry about Kaizaki-san. response:	We already made sure his personality wouldn't be a problem.
context: He signed the contract.\Think you'll work well with him?\That's our job as support.\Damn right, Senpai!\Man, you really get on my nerves.\Huh? Why?\Well, you don't need to worry about Kaizaki-san.\We already made sure his personality wouldn't be a problem. response:	Yeah.
context: Think you'll work well with him?\That's our job as support.\Damn right, Senpai!\Man, you really get on my nerves.\Huh? Why?\Well, you don't need to worry about Kaizaki-san.\We already made sure his personality wouldn't be a problem.\Yeah. response:	But...
context: That's our job as support.\Damn right, Senpai!\Man, you really get on my nerves.\Huh? Why?\Well, you don't need to worry about Kaizaki-san.\We already made sure his personality wouldn't be a problem.\Yeah.\But... response:	I think people like that have problems that run deep.
context: Damn right, Senpai!\Man, you really get on my nerves.\Huh? Why?\Well, you don't need to worry about Kaizaki-san.\We already made sure his personality wouldn't be a problem.\Yeah.\But...\I think people like that have problems that run deep. response:	The trauma of thinking you might have been the reason
context: Man, you really get on my nerves.\Huh? Why?\Well, you don't need to worry about Kaizaki-san.\We already made sure his personality wouldn't be a problem.\Yeah.\But...\I think people like that have problems that run deep.\The trauma of thinking you might have been the reason response:	that you lost someone you cared about
context: Huh? Why?\Well, you don't need to worry about Kaizaki-san.\We already made sure his personality wouldn't be a problem.\Yeah.\But...\I think people like that have problems that run deep.\The trauma of thinking you might have been the reason\that you lost someone you cared about response:	doesn't go away easily.
context: Well, you don't need to worry about Kaizaki-san.\We already made sure his personality wouldn't be a problem.\Yeah.\But...\I think people like that have problems that run deep.\The trauma of thinking you might have been the reason\that you lost someone you cared about\doesn't go away easily. response:	Was there more I could have done?
context: We already made sure his personality wouldn't be a problem.\Yeah.\But...\I think people like that have problems that run deep.\The trauma of thinking you might have been the reason\that you lost someone you cared about\doesn't go away easily.\Was there more I could have done? response:	Perhaps I shouldn't have done anything at all?
context: Yeah.\But...\I think people like that have problems that run deep.\The trauma of thinking you might have been the reason\that you lost someone you cared about\doesn't go away easily.\Was there more I could have done?\Perhaps I shouldn't have done anything at all? response:	Now that he has no way of knowing for sure,
context: But...\I think people like that have problems that run deep.\The trauma of thinking you might have been the reason\that you lost someone you cared about\doesn't go away easily.\Was there more I could have done?\Perhaps I shouldn't have done anything at all?\Now that he has no way of knowing for sure, response:	Kaizaki-san has lost confidence in his social skills.
context: I think people like that have problems that run deep.\The trauma of thinking you might have been the reason\that you lost someone you cared about\doesn't go away easily.\Was there more I could have done?\Perhaps I shouldn't have done anything at all?\Now that he has no way of knowing for sure,\Kaizaki-san has lost confidence in his social skills. response:	Normally, he'd go way out on a limb for someone, but...
context: The trauma of thinking you might have been the reason\that you lost someone you cared about\doesn't go away easily.\Was there more I could have done?\Perhaps I shouldn't have done anything at all?\Now that he has no way of knowing for sure,\Kaizaki-san has lost confidence in his social skills.\Normally, he'd go way out on a limb for someone, but... response:	But isn't that what makes him perfect for ReLIFE?
context: that you lost someone you cared about\doesn't go away easily.\Was there more I could have done?\Perhaps I shouldn't have done anything at all?\Now that he has no way of knowing for sure,\Kaizaki-san has lost confidence in his social skills.\Normally, he'd go way out on a limb for someone, but...\But isn't that what makes him perfect for ReLIFE? response:	ReLIFE will help Kaizaki-san get his confidence back.
context: doesn't go away easily.\Was there more I could have done?\Perhaps I shouldn't have done anything at all?\Now that he has no way of knowing for sure,\Kaizaki-san has lost confidence in his social skills.\Normally, he'd go way out on a limb for someone, but...\But isn't that what makes him perfect for ReLIFE?\ReLIFE will help Kaizaki-san get his confidence back. response:	It'll be fine.
context: Was there more I could have done?\Perhaps I shouldn't have done anything at all?\Now that he has no way of knowing for sure,\Kaizaki-san has lost confidence in his social skills.\Normally, he'd go way out on a limb for someone, but...\But isn't that what makes him perfect for ReLIFE?\ReLIFE will help Kaizaki-san get his confidence back.\It'll be fine. response:	You guys can do it together.
context: Perhaps I shouldn't have done anything at all?\Now that he has no way of knowing for sure,\Kaizaki-san has lost confidence in his social skills.\Normally, he'd go way out on a limb for someone, but...\But isn't that what makes him perfect for ReLIFE?\ReLIFE will help Kaizaki-san get his confidence back.\It'll be fine.\You guys can do it together. response:	I sure hope so.
context: Now that he has no way of knowing for sure,\Kaizaki-san has lost confidence in his social skills.\Normally, he'd go way out on a limb for someone, but...\But isn't that what makes him perfect for ReLIFE?\ReLIFE will help Kaizaki-san get his confidence back.\It'll be fine.\You guys can do it together.\I sure hope so. response:	Onoya, you're really flattering me today.
context: Kaizaki-san has lost confidence in his social skills.\Normally, he'd go way out on a limb for someone, but...\But isn't that what makes him perfect for ReLIFE?\ReLIFE will help Kaizaki-san get his confidence back.\It'll be fine.\You guys can do it together.\I sure hope so.\Onoya, you're really flattering me today. response:	Huh? Am I?
context: Normally, he'd go way out on a limb for someone, but...\But isn't that what makes him perfect for ReLIFE?\ReLIFE will help Kaizaki-san get his confidence back.\It'll be fine.\You guys can do it together.\I sure hope so.\Onoya, you're really flattering me today.\Huh? Am I? response:	It's creepy.
context: But isn't that what makes him perfect for ReLIFE?\ReLIFE will help Kaizaki-san get his confidence back.\It'll be fine.\You guys can do it together.\I sure hope so.\Onoya, you're really flattering me today.\Huh? Am I?\It's creepy. response:	What? I'm just cheering you on!
context: ReLIFE will help Kaizaki-san get his confidence back.\It'll be fine.\You guys can do it together.\I sure hope so.\Onoya, you're really flattering me today.\Huh? Am I?\It's creepy.\What? I'm just cheering you on! response:	See? Creepy.
context: It'll be fine.\You guys can do it together.\I sure hope so.\Onoya, you're really flattering me today.\Huh? Am I?\It's creepy.\What? I'm just cheering you on!\See? Creepy. response:	You're so mean!
context: You guys can do it together.\I sure hope so.\Onoya, you're really flattering me today.\Huh? Am I?\It's creepy.\What? I'm just cheering you on!\See? Creepy.\You're so mean! response:	Hello, Kaizaki-san!
context: I sure hope so.\Onoya, you're really flattering me today.\Huh? Am I?\It's creepy.\What? I'm just cheering you on!\See? Creepy.\You're so mean!\Hello, Kaizaki-san! response:	What do you need this late?
context: Onoya, you're really flattering me today.\Huh? Am I?\It's creepy.\What? I'm just cheering you on!\See? Creepy.\You're so mean!\Hello, Kaizaki-san!\What do you need this late? response:	Sorry...
context: Huh? Am I?\It's creepy.\What? I'm just cheering you on!\See? Creepy.\You're so mean!\Hello, Kaizaki-san!\What do you need this late?\Sorry... response:	I need to talk to you about something.
context: It's creepy.\What? I'm just cheering you on!\See? Creepy.\You're so mean!\Hello, Kaizaki-san!\What do you need this late?\Sorry...\I need to talk to you about something. response:	Medicine to turn you back...?
context: What? I'm just cheering you on!\See? Creepy.\You're so mean!\Hello, Kaizaki-san!\What do you need this late?\Sorry...\I need to talk to you about something.\Medicine to turn you back...? response:	I let everyone know I wouldn't see'em for a year, but...
context: See? Creepy.\You're so mean!\Hello, Kaizaki-san!\What do you need this late?\Sorry...\I need to talk to you about something.\Medicine to turn you back...?\I let everyone know I wouldn't see'em for a year, but... response:	But I can't just call in to quit my job.
context: You're so mean!\Hello, Kaizaki-san!\What do you need this late?\Sorry...\I need to talk to you about something.\Medicine to turn you back...?\I let everyone know I wouldn't see'em for a year, but...\But I can't just call in to quit my job. response:	Just cut them loose.
context: Hello, Kaizaki-san!\What do you need this late?\Sorry...\I need to talk to you about something.\Medicine to turn you back...?\I let everyone know I wouldn't see'em for a year, but...\But I can't just call in to quit my job.\Just cut them loose. response:	I could never...!
context: What do you need this late?\Sorry...\I need to talk to you about something.\Medicine to turn you back...?\I let everyone know I wouldn't see'em for a year, but...\But I can't just call in to quit my job.\Just cut them loose.\I could never...! response:	What's wrong with you?
context: Sorry...\I need to talk to you about something.\Medicine to turn you back...?\I let everyone know I wouldn't see'em for a year, but...\But I can't just call in to quit my job.\Just cut them loose.\I could never...!\What's wrong with you? response:	Okay, got it.
context: I need to talk to you about something.\Medicine to turn you back...?\I let everyone know I wouldn't see'em for a year, but...\But I can't just call in to quit my job.\Just cut them loose.\I could never...!\What's wrong with you?\Okay, got it. response:	I'll request the medicine.
context: Medicine to turn you back...?\I let everyone know I wouldn't see'em for a year, but...\But I can't just call in to quit my job.\Just cut them loose.\I could never...!\What's wrong with you?\Okay, got it.\I'll request the medicine. response:	It'll be a day or two, though.
context: I let everyone know I wouldn't see'em for a year, but...\But I can't just call in to quit my job.\Just cut them loose.\I could never...!\What's wrong with you?\Okay, got it.\I'll request the medicine.\It'll be a day or two, though. response:	Okay, that's fine.
context: But I can't just call in to quit my job.\Just cut them loose.\I could never...!\What's wrong with you?\Okay, got it.\I'll request the medicine.\It'll be a day or two, though.\Okay, that's fine. response:	Goodbye, then.
context: Just cut them loose.\I could never...!\What's wrong with you?\Okay, got it.\I'll request the medicine.\It'll be a day or two, though.\Okay, that's fine.\Goodbye, then. response:	Research and Development
context: I could never...!\What's wrong with you?\Okay, got it.\I'll request the medicine.\It'll be a day or two, though.\Okay, that's fine.\Goodbye, then.\Research and Development response:	Hello!
context: What's wrong with you?\Okay, got it.\I'll request the medicine.\It'll be a day or two, though.\Okay, that's fine.\Goodbye, then.\Research and Development\Hello! response:	Amagase-san, I have a medicine request.
context: Okay, got it.\I'll request the medicine.\It'll be a day or two, though.\Okay, that's fine.\Goodbye, then.\Research and Development\Hello!\Amagase-san, I have a medicine request. response:	You're here a lot lately.
context: I'll request the medicine.\It'll be a day or two, though.\Okay, that's fine.\Goodbye, then.\Research and Development\Hello!\Amagase-san, I have a medicine request.\You're here a lot lately. response:	Doing all right, Yoake?
context: It'll be a day or two, though.\Okay, that's fine.\Goodbye, then.\Research and Development\Hello!\Amagase-san, I have a medicine request.\You're here a lot lately.\Doing all right, Yoake? response:	One present and one past for subject no. 002.
context: Okay, that's fine.\Goodbye, then.\Research and Development\Hello!\Amagase-san, I have a medicine request.\You're here a lot lately.\Doing all right, Yoake?\One present and one past for subject no. 002. response:	Medicine Request
context: Goodbye, then.\Research and Development\Hello!\Amagase-san, I have a medicine request.\You're here a lot lately.\Doing all right, Yoake?\One present and one past for subject no. 002.\Medicine Request response:	And one of each for you?
context: Research and Development\Hello!\Amagase-san, I have a medicine request.\You're here a lot lately.\Doing all right, Yoake?\One present and one past for subject no. 002.\Medicine Request\And one of each for you? response:	I'll meet the subject to hand over the medicine,
context: Hello!\Amagase-san, I have a medicine request.\You're here a lot lately.\Doing all right, Yoake?\One present and one past for subject no. 002.\Medicine Request\And one of each for you?\I'll meet the subject to hand over the medicine, response:	so I'd like to look my age.
context: Amagase-san, I have a medicine request.\You're here a lot lately.\Doing all right, Yoake?\One present and one past for subject no. 002.\Medicine Request\And one of each for you?\I'll meet the subject to hand over the medicine,\so I'd like to look my age. response:	Why bother?
context: You're here a lot lately.\Doing all right, Yoake?\One present and one past for subject no. 002.\Medicine Request\And one of each for you?\I'll meet the subject to hand over the medicine,\so I'd like to look my age.\Why bother? response:	Just go as you are.
context: Doing all right, Yoake?\One present and one past for subject no. 002.\Medicine Request\And one of each for you?\I'll meet the subject to hand over the medicine,\so I'd like to look my age.\Why bother?\Just go as you are. response:	No, no!
context: One present and one past for subject no. 002.\Medicine Request\And one of each for you?\I'll meet the subject to hand over the medicine,\so I'd like to look my age.\Why bother?\Just go as you are.\No, no! response:	I don't want him to see me like this
context: Medicine Request\And one of each for you?\I'll meet the subject to hand over the medicine,\so I'd like to look my age.\Why bother?\Just go as you are.\No, no!\I don't want him to see me like this response:	until I surprise him on the first day of school!
context: And one of each for you?\I'll meet the subject to hand over the medicine,\so I'd like to look my age.\Why bother?\Just go as you are.\No, no!\I don't want him to see me like this\until I surprise him on the first day of school! response:	I can't wait to see the look on his face!
context: I'll meet the subject to hand over the medicine,\so I'd like to look my age.\Why bother?\Just go as you are.\No, no!\I don't want him to see me like this\until I surprise him on the first day of school!\I can't wait to see the look on his face! response:	Well, that's the official reason.
context: so I'd like to look my age.\Why bother?\Just go as you are.\No, no!\I don't want him to see me like this\until I surprise him on the first day of school!\I can't wait to see the look on his face!\Well, that's the official reason. response:	I just think if he knows the support will be in class with him,
context: Why bother?\Just go as you are.\No, no!\I don't want him to see me like this\until I surprise him on the first day of school!\I can't wait to see the look on his face!\Well, that's the official reason.\I just think if he knows the support will be in class with him, response:	he won't stress about it enough.
context: Just go as you are.\No, no!\I don't want him to see me like this\until I surprise him on the first day of school!\I can't wait to see the look on his face!\Well, that's the official reason.\I just think if he knows the support will be in class with him,\he won't stress about it enough. response:	You've thought it through.
context: No, no!\I don't want him to see me like this\until I surprise him on the first day of school!\I can't wait to see the look on his face!\Well, that's the official reason.\I just think if he knows the support will be in class with him,\he won't stress about it enough.\You've thought it through. response:	That is my job.
context: I don't want him to see me like this\until I surprise him on the first day of school!\I can't wait to see the look on his face!\Well, that's the official reason.\I just think if he knows the support will be in class with him,\he won't stress about it enough.\You've thought it through.\That is my job. response:	I'll drop by tomorrow to pick them up.
context: until I surprise him on the first day of school!\I can't wait to see the look on his face!\Well, that's the official reason.\I just think if he knows the support will be in class with him,\he won't stress about it enough.\You've thought it through.\That is my job.\I'll drop by tomorrow to pick them up. response:	Thank you!
context: I can't wait to see the look on his face!\Well, that's the official reason.\I just think if he knows the support will be in class with him,\he won't stress about it enough.\You've thought it through.\That is my job.\I'll drop by tomorrow to pick them up.\Thank you! response:	Sure thing.
context: Well, that's the official reason.\I just think if he knows the support will be in class with him,\he won't stress about it enough.\You've thought it through.\That is my job.\I'll drop by tomorrow to pick them up.\Thank you!\Sure thing. response:	You look wiped.
context: I just think if he knows the support will be in class with him,\he won't stress about it enough.\You've thought it through.\That is my job.\I'll drop by tomorrow to pick them up.\Thank you!\Sure thing.\You look wiped. response:	Yeah... that was stressful.
context: he won't stress about it enough.\You've thought it through.\That is my job.\I'll drop by tomorrow to pick them up.\Thank you!\Sure thing.\You look wiped.\Yeah... that was stressful. response:	Stressful?
context: You've thought it through.\That is my job.\I'll drop by tomorrow to pick them up.\Thank you!\Sure thing.\You look wiped.\Yeah... that was stressful.\Stressful? response:	It was just a part-time job.
context: That is my job.\I'll drop by tomorrow to pick them up.\Thank you!\Sure thing.\You look wiped.\Yeah... that was stressful.\Stressful?\It was just a part-time job. response:	But the boss was nice. Helped me out a lot.
context: I'll drop by tomorrow to pick them up.\Thank you!\Sure thing.\You look wiped.\Yeah... that was stressful.\Stressful?\It was just a part-time job.\But the boss was nice. Helped me out a lot. response:	I feel guilty quitting.
context: Thank you!\Sure thing.\You look wiped.\Yeah... that was stressful.\Stressful?\It was just a part-time job.\But the boss was nice. Helped me out a lot.\I feel guilty quitting. response:	Thanks for going along with this.
context: Sure thing.\You look wiped.\Yeah... that was stressful.\Stressful?\It was just a part-time job.\But the boss was nice. Helped me out a lot.\I feel guilty quitting.\Thanks for going along with this. response:	Now I can go back to school without any regrets.
context: You look wiped.\Yeah... that was stressful.\Stressful?\It was just a part-time job.\But the boss was nice. Helped me out a lot.\I feel guilty quitting.\Thanks for going along with this.\Now I can go back to school without any regrets. response:	You're just gonna take it here?
context: Yeah... that was stressful.\Stressful?\It was just a part-time job.\But the boss was nice. Helped me out a lot.\I feel guilty quitting.\Thanks for going along with this.\Now I can go back to school without any regrets.\You're just gonna take it here? response:	Takes a while for it to kick in, right?
