context: And we broke response:	Everything that was right
context: What's wrong?\I think the mountain lord has passed away.\I'll go take a look around.\You stay here.\Did this happen because of me?\Didn't I tell you it was on its last legs?\However, its successor still hasn't appeared.\There's unrest in the mountains. response:	You should stay here.
context: I think the mountain lord has passed away.\I'll go take a look around.\You stay here.\Did this happen because of me?\Didn't I tell you it was on its last legs?\However, its successor still hasn't appeared.\There's unrest in the mountains.\You should stay here. response:	Got it?
context: I'll go take a look around.\You stay here.\Did this happen because of me?\Didn't I tell you it was on its last legs?\However, its successor still hasn't appeared.\There's unrest in the mountains.\You should stay here.\Got it? response:	What is that?
context: You stay here.\Did this happen because of me?\Didn't I tell you it was on its last legs?\However, its successor still hasn't appeared.\There's unrest in the mountains.\You should stay here.\Got it?\What is that? response:	Could it be...
context: Did this happen because of me?\Didn't I tell you it was on its last legs?\However, its successor still hasn't appeared.\There's unrest in the mountains.\You should stay here.\Got it?\What is that?\Could it be... response:	Does this egg... belong to the mountain lord?
context: Didn't I tell you it was on its last legs?\However, its successor still hasn't appeared.\There's unrest in the mountains.\You should stay here.\Got it?\What is that?\Could it be...\Does this egg... belong to the mountain lord? response:	Wow.
context: However, its successor still hasn't appeared.\There's unrest in the mountains.\You should stay here.\Got it?\What is that?\Could it be...\Does this egg... belong to the mountain lord?\Wow. response:	There's a successor after all.
context: There's unrest in the mountains.\You should stay here.\Got it?\What is that?\Could it be...\Does this egg... belong to the mountain lord?\Wow.\There's a successor after all. response:	All the mountain lord's power lies inside this little egg.
context: You should stay here.\Got it?\What is that?\Could it be...\Does this egg... belong to the mountain lord?\Wow.\There's a successor after all.\All the mountain lord's power lies inside this little egg. response:	It's the complete opposite of me.
context: Got it?\What is that?\Could it be...\Does this egg... belong to the mountain lord?\Wow.\There's a successor after all.\All the mountain lord's power lies inside this little egg.\It's the complete opposite of me. response:	It's... the chosen one.
context: What is that?\Could it be...\Does this egg... belong to the mountain lord?\Wow.\There's a successor after all.\All the mountain lord's power lies inside this little egg.\It's the complete opposite of me.\It's... the chosen one. response:	If I...
context: Could it be...\Does this egg... belong to the mountain lord?\Wow.\There's a successor after all.\All the mountain lord's power lies inside this little egg.\It's the complete opposite of me.\It's... the chosen one.\If I... response:	If I were to act right now, could I make its power mine?
context: Does this egg... belong to the mountain lord?\Wow.\There's a successor after all.\All the mountain lord's power lies inside this little egg.\It's the complete opposite of me.\It's... the chosen one.\If I...\If I were to act right now, could I make its power mine? response:	Don't be foolish.
context: Wow.\There's a successor after all.\All the mountain lord's power lies inside this little egg.\It's the complete opposite of me.\It's... the chosen one.\If I...\If I were to act right now, could I make its power mine?\Don't be foolish. response:	What the hell are you thinking?
context: There's a successor after all.\All the mountain lord's power lies inside this little egg.\It's the complete opposite of me.\It's... the chosen one.\If I...\If I were to act right now, could I make its power mine?\Don't be foolish.\What the hell are you thinking? response:	What the...
context: All the mountain lord's power lies inside this little egg.\It's the complete opposite of me.\It's... the chosen one.\If I...\If I were to act right now, could I make its power mine?\Don't be foolish.\What the hell are you thinking?\What the... response:	What's going on?
context: It's the complete opposite of me.\It's... the chosen one.\If I...\If I were to act right now, could I make its power mine?\Don't be foolish.\What the hell are you thinking?\What the...\What's going on? response:	What do I do?
context: It's... the chosen one.\If I...\If I were to act right now, could I make its power mine?\Don't be foolish.\What the hell are you thinking?\What the...\What's going on?\What do I do? response:	What should I...
context: If I...\If I were to act right now, could I make its power mine?\Don't be foolish.\What the hell are you thinking?\What the...\What's going on?\What do I do?\What should I... response:	Suguro.
context: If I were to act right now, could I make its power mine?\Don't be foolish.\What the hell are you thinking?\What the...\What's going on?\What do I do?\What should I...\Suguro. response:	Suguro!
context: Don't be foolish.\What the hell are you thinking?\What the...\What's going on?\What do I do?\What should I...\Suguro.\Suguro! response:	Its light is getting fainter.
context: What the hell are you thinking?\What the...\What's going on?\What do I do?\What should I...\Suguro.\Suguro!\Its light is getting fainter. response:	If I don't do something quick...
context: What the...\What's going on?\What do I do?\What should I...\Suguro.\Suguro!\Its light is getting fainter.\If I don't do something quick... response:	Mountain Lord?
context: What's going on?\What do I do?\What should I...\Suguro.\Suguro!\Its light is getting fainter.\If I don't do something quick...\Mountain Lord? response:	You're alive!
context: What do I do?\What should I...\Suguro.\Suguro!\Its light is getting fainter.\If I don't do something quick...\Mountain Lord?\You're alive! response:	Hey, please tell me what to do!
context: What should I...\Suguro.\Suguro!\Its light is getting fainter.\If I don't do something quick...\Mountain Lord?\You're alive!\Hey, please tell me what to do! response:	Wait!
context: Suguro.\Suguro!\Its light is getting fainter.\If I don't do something quick...\Mountain Lord?\You're alive!\Hey, please tell me what to do!\Wait! response:	Hey, come back!
context: Suguro!\Its light is getting fainter.\If I don't do something quick...\Mountain Lord?\You're alive!\Hey, please tell me what to do!\Wait!\Hey, come back! response:	You know everything, don't you?
context: Its light is getting fainter.\If I don't do something quick...\Mountain Lord?\You're alive!\Hey, please tell me what to do!\Wait!\Hey, come back!\You know everything, don't you? response:	Please, I'll do anything!
context: If I don't do something quick...\Mountain Lord?\You're alive!\Hey, please tell me what to do!\Wait!\Hey, come back!\You know everything, don't you?\Please, I'll do anything! response:	As long as I can fix this,
context: Mountain Lord?\You're alive!\Hey, please tell me what to do!\Wait!\Hey, come back!\You know everything, don't you?\Please, I'll do anything!\As long as I can fix this, response:	It doesn't matter what happens to me!
context: You're alive!\Hey, please tell me what to do!\Wait!\Hey, come back!\You know everything, don't you?\Please, I'll do anything!\As long as I can fix this,\It doesn't matter what happens to me! response:	The River of Light...
context: Hey, please tell me what to do!\Wait!\Hey, come back!\You know everything, don't you?\Please, I'll do anything!\As long as I can fix this,\It doesn't matter what happens to me!\The River of Light... response:	Mountain Lord!
context: Wait!\Hey, come back!\You know everything, don't you?\Please, I'll do anything!\As long as I can fix this,\It doesn't matter what happens to me!\The River of Light...\Mountain Lord! response:	Please wait!
context: Hey, come back!\You know everything, don't you?\Please, I'll do anything!\As long as I can fix this,\It doesn't matter what happens to me!\The River of Light...\Mountain Lord!\Please wait! response:	Oh no...
context: You know everything, don't you?\Please, I'll do anything!\As long as I can fix this,\It doesn't matter what happens to me!\The River of Light...\Mountain Lord!\Please wait!\Oh no... response:	If I...
context: Please, I'll do anything!\As long as I can fix this,\It doesn't matter what happens to me!\The River of Light...\Mountain Lord!\Please wait!\Oh no...\If I... response:	enter that place,
context: As long as I can fix this,\It doesn't matter what happens to me!\The River of Light...\Mountain Lord!\Please wait!\Oh no...\If I...\enter that place, response:	then I probably won't be able to come back.
context: It doesn't matter what happens to me!\The River of Light...\Mountain Lord!\Please wait!\Oh no...\If I...\enter that place,\then I probably won't be able to come back. response:	But that doesn't matter.
context: The River of Light...\Mountain Lord!\Please wait!\Oh no...\If I...\enter that place,\then I probably won't be able to come back.\But that doesn't matter. response:	I mean, it's not like I belong anywhere anyway.
context: Mountain Lord!\Please wait!\Oh no...\If I...\enter that place,\then I probably won't be able to come back.\But that doesn't matter.\I mean, it's not like I belong anywhere anyway. response:	The Tokoyami is struggling.
context: Please wait!\Oh no...\If I...\enter that place,\then I probably won't be able to come back.\But that doesn't matter.\I mean, it's not like I belong anywhere anyway.\The Tokoyami is struggling. response:	Stop!
context: Oh no...\If I...\enter that place,\then I probably won't be able to come back.\But that doesn't matter.\I mean, it's not like I belong anywhere anyway.\The Tokoyami is struggling.\Stop! response:	Why do you always get in my way?
context: If I...\enter that place,\then I probably won't be able to come back.\But that doesn't matter.\I mean, it's not like I belong anywhere anyway.\The Tokoyami is struggling.\Stop!\Why do you always get in my way? response:	I see.
context: enter that place,\then I probably won't be able to come back.\But that doesn't matter.\I mean, it's not like I belong anywhere anyway.\The Tokoyami is struggling.\Stop!\Why do you always get in my way?\I see. response:	You just want to live.
context: then I probably won't be able to come back.\But that doesn't matter.\I mean, it's not like I belong anywhere anyway.\The Tokoyami is struggling.\Stop!\Why do you always get in my way?\I see.\You just want to live. response:	Did it just tell me to go back?
context: But that doesn't matter.\I mean, it's not like I belong anywhere anyway.\The Tokoyami is struggling.\Stop!\Why do you always get in my way?\I see.\You just want to live.\Did it just tell me to go back? response:	Do I... even deserve to go back?
context: I mean, it's not like I belong anywhere anyway.\The Tokoyami is struggling.\Stop!\Why do you always get in my way?\I see.\You just want to live.\Did it just tell me to go back?\Do I... even deserve to go back? response:	Hey!
context: The Tokoyami is struggling.\Stop!\Why do you always get in my way?\I see.\You just want to live.\Did it just tell me to go back?\Do I... even deserve to go back?\Hey! response:	Ginko!
context: Stop!\Why do you always get in my way?\I see.\You just want to live.\Did it just tell me to go back?\Do I... even deserve to go back?\Hey!\Ginko! response:	Ginko!
context: Why do you always get in my way?\I see.\You just want to live.\Did it just tell me to go back?\Do I... even deserve to go back?\Hey!\Ginko!\Ginko! response:	You're...
context: I see.\You just want to live.\Did it just tell me to go back?\Do I... even deserve to go back?\Hey!\Ginko!\Ginko!\You're... response:	Are you okay?
context: You just want to live.\Did it just tell me to go back?\Do I... even deserve to go back?\Hey!\Ginko!\Ginko!\You're...\Are you okay? response:	Hey.
context: Did it just tell me to go back?\Do I... even deserve to go back?\Hey!\Ginko!\Ginko!\You're...\Are you okay?\Hey. response:	What happened?
context: Do I... even deserve to go back?\Hey!\Ginko!\Ginko!\You're...\Are you okay?\Hey.\What happened? response:	I see.
context: Hey!\Ginko!\Ginko!\You're...\Are you okay?\Hey.\What happened?\I see. response:	These mountains will have to shut down for the time being, then.
context: Ginko!\Ginko!\You're...\Are you okay?\Hey.\What happened?\I see.\These mountains will have to shut down for the time being, then. response:	Is the natural order gone forever?
context: Ginko!\You're...\Are you okay?\Hey.\What happened?\I see.\These mountains will have to shut down for the time being, then.\Is the natural order gone forever? response:	What's going to happen to these mountains?
context: You're...\Are you okay?\Hey.\What happened?\I see.\These mountains will have to shut down for the time being, then.\Is the natural order gone forever?\What's going to happen to these mountains? response:	What you saw back there was the natural order itself.
context: Are you okay?\Hey.\What happened?\I see.\These mountains will have to shut down for the time being, then.\Is the natural order gone forever?\What's going to happen to these mountains?\What you saw back there was the natural order itself. response:	If you think of the mountain lords as flowers blooming on the surface, what you saw are their roots.
context: Hey.\What happened?\I see.\These mountains will have to shut down for the time being, then.\Is the natural order gone forever?\What's going to happen to these mountains?\What you saw back there was the natural order itself.\If you think of the mountain lords as flowers blooming on the surface, what you saw are their roots. response:	Since they accepted the mountain lord's life,
context: What happened?\I see.\These mountains will have to shut down for the time being, then.\Is the natural order gone forever?\What's going to happen to these mountains?\What you saw back there was the natural order itself.\If you think of the mountain lords as flowers blooming on the surface, what you saw are their roots.\Since they accepted the mountain lord's life, response:	I'm certain another will appear again someday.
context: I see.\These mountains will have to shut down for the time being, then.\Is the natural order gone forever?\What's going to happen to these mountains?\What you saw back there was the natural order itself.\If you think of the mountain lords as flowers blooming on the surface, what you saw are their roots.\Since they accepted the mountain lord's life,\I'm certain another will appear again someday. response:	Now then, you should get ready to leave.
context: These mountains will have to shut down for the time being, then.\Is the natural order gone forever?\What's going to happen to these mountains?\What you saw back there was the natural order itself.\If you think of the mountain lords as flowers blooming on the surface, what you saw are their roots.\Since they accepted the mountain lord's life,\I'm certain another will appear again someday.\Now then, you should get ready to leave. response:	I can't forgive you for what you've done.
context: Is the natural order gone forever?\What's going to happen to these mountains?\What you saw back there was the natural order itself.\If you think of the mountain lords as flowers blooming on the surface, what you saw are their roots.\Since they accepted the mountain lord's life,\I'm certain another will appear again someday.\Now then, you should get ready to leave.\I can't forgive you for what you've done. response:	I hope I never see you again.
context: What's going to happen to these mountains?\What you saw back there was the natural order itself.\If you think of the mountain lords as flowers blooming on the surface, what you saw are their roots.\Since they accepted the mountain lord's life,\I'm certain another will appear again someday.\Now then, you should get ready to leave.\I can't forgive you for what you've done.\I hope I never see you again. response:	Might as well call it a day here.
context: What you saw back there was the natural order itself.\If you think of the mountain lords as flowers blooming on the surface, what you saw are their roots.\Since they accepted the mountain lord's life,\I'm certain another will appear again someday.\Now then, you should get ready to leave.\I can't forgive you for what you've done.\I hope I never see you again.\Might as well call it a day here. response:	I hope I never see you again.
context: If you think of the mountain lords as flowers blooming on the surface, what you saw are their roots.\Since they accepted the mountain lord's life,\I'm certain another will appear again someday.\Now then, you should get ready to leave.\I can't forgive you for what you've done.\I hope I never see you again.\Might as well call it a day here.\I hope I never see you again. response:	there is no place in this world where we don't belong.
context: Since they accepted the mountain lord's life,\I'm certain another will appear again someday.\Now then, you should get ready to leave.\I can't forgive you for what you've done.\I hope I never see you again.\Might as well call it a day here.\I hope I never see you again.\there is no place in this world where we don't belong. response:	That includes you.
context: I'm certain another will appear again someday.\Now then, you should get ready to leave.\I can't forgive you for what you've done.\I hope I never see you again.\Might as well call it a day here.\I hope I never see you again.\there is no place in this world where we don't belong.\That includes you. response:	The natural order let you come back.
context: Now then, you should get ready to leave.\I can't forgive you for what you've done.\I hope I never see you again.\Might as well call it a day here.\I hope I never see you again.\there is no place in this world where we don't belong.\That includes you.\The natural order let you come back. response:	No matter where you go, you'll always belong there.
context: I can't forgive you for what you've done.\I hope I never see you again.\Might as well call it a day here.\I hope I never see you again.\there is no place in this world where we don't belong.\That includes you.\The natural order let you come back.\No matter where you go, you'll always belong there. response:	The Cushion of Grass
context: I hope I never see you again.\Might as well call it a day here.\I hope I never see you again.\there is no place in this world where we don't belong.\That includes you.\The natural order let you come back.\No matter where you go, you'll always belong there.\The Cushion of Grass response:	The Fragrant
context: Might as well call it a day here.\I hope I never see you again.\there is no place in this world where we don't belong.\That includes you.\The natural order let you come back.\No matter where you go, you'll always belong there.\The Cushion of Grass\The Fragrant response:	Darkness
context: I hope I never see you again.\there is no place in this world where we don't belong.\That includes you.\The natural order let you come back.\No matter where you go, you'll always belong there.\The Cushion of Grass\The Fragrant\Darkness response:	The Fragrant Darkness.
