context: TS response:	Where did those monsters come from?
context: They want to protect the Scub Coral too.\I didn't ask you about that!\Truth, you're a Secret.\I've seen you in the Scub Coral.\Ten years ago on Okinawa, during the greatest Scub Burst that happened in history.\The Secret that emerged there was powerful.\But when the Quartz was taken away, the Secret lost its purpose.\To be accepted into this world, he then took on a human form. response:	That's me? And Johansson found me?
context: I didn't ask you about that!\Truth, you're a Secret.\I've seen you in the Scub Coral.\Ten years ago on Okinawa, during the greatest Scub Burst that happened in history.\The Secret that emerged there was powerful.\But when the Quartz was taken away, the Secret lost its purpose.\To be accepted into this world, he then took on a human form.\That's me? And Johansson found me? response:	But you gave me wings.
context: Truth, you're a Secret.\I've seen you in the Scub Coral.\Ten years ago on Okinawa, during the greatest Scub Burst that happened in history.\The Secret that emerged there was powerful.\But when the Quartz was taken away, the Secret lost its purpose.\To be accepted into this world, he then took on a human form.\That's me? And Johansson found me?\But you gave me wings. response:	You told me what I should do.
context: I've seen you in the Scub Coral.\Ten years ago on Okinawa, during the greatest Scub Burst that happened in history.\The Secret that emerged there was powerful.\But when the Quartz was taken away, the Secret lost its purpose.\To be accepted into this world, he then took on a human form.\That's me? And Johansson found me?\But you gave me wings.\You told me what I should do. response:	You told me to change the world.
context: Ten years ago on Okinawa, during the greatest Scub Burst that happened in history.\The Secret that emerged there was powerful.\But when the Quartz was taken away, the Secret lost its purpose.\To be accepted into this world, he then took on a human form.\That's me? And Johansson found me?\But you gave me wings.\You told me what I should do.\You told me to change the world. response:	By becoming one with the Scub Coral,
context: The Secret that emerged there was powerful.\But when the Quartz was taken away, the Secret lost its purpose.\To be accepted into this world, he then took on a human form.\That's me? And Johansson found me?\But you gave me wings.\You told me what I should do.\You told me to change the world.\By becoming one with the Scub Coral, response:	humans will be free and have limitless powers
context: But when the Quartz was taken away, the Secret lost its purpose.\To be accepted into this world, he then took on a human form.\That's me? And Johansson found me?\But you gave me wings.\You told me what I should do.\You told me to change the world.\By becoming one with the Scub Coral,\humans will be free and have limitless powers response:	Truth, you aren't just a Secret.
context: To be accepted into this world, he then took on a human form.\That's me? And Johansson found me?\But you gave me wings.\You told me what I should do.\You told me to change the world.\By becoming one with the Scub Coral,\humans will be free and have limitless powers\Truth, you aren't just a Secret. response:	You're the same as me.
context: That's me? And Johansson found me?\But you gave me wings.\You told me what I should do.\You told me to change the world.\By becoming one with the Scub Coral,\humans will be free and have limitless powers\Truth, you aren't just a Secret.\You're the same as me. response:	Arata Naru... I guided you, thinking that I could destroy the world using Secrets and the Scub Coral.
context: But you gave me wings.\You told me what I should do.\You told me to change the world.\By becoming one with the Scub Coral,\humans will be free and have limitless powers\Truth, you aren't just a Secret.\You're the same as me.\Arata Naru... I guided you, thinking that I could destroy the world using Secrets and the Scub Coral. response:	But...
context: You told me what I should do.\You told me to change the world.\By becoming one with the Scub Coral,\humans will be free and have limitless powers\Truth, you aren't just a Secret.\You're the same as me.\Arata Naru... I guided you, thinking that I could destroy the world using Secrets and the Scub Coral.\But... response:	You're the one who's actually guiding the way?
context: You told me to change the world.\By becoming one with the Scub Coral,\humans will be free and have limitless powers\Truth, you aren't just a Secret.\You're the same as me.\Arata Naru... I guided you, thinking that I could destroy the world using Secrets and the Scub Coral.\But...\You're the one who's actually guiding the way? response:	Ao couldn't have gotten that power without you.
context: By becoming one with the Scub Coral,\humans will be free and have limitless powers\Truth, you aren't just a Secret.\You're the same as me.\Arata Naru... I guided you, thinking that I could destroy the world using Secrets and the Scub Coral.\But...\You're the one who's actually guiding the way?\Ao couldn't have gotten that power without you. response:	The Firecracker...
context: humans will be free and have limitless powers\Truth, you aren't just a Secret.\You're the same as me.\Arata Naru... I guided you, thinking that I could destroy the world using Secrets and the Scub Coral.\But...\You're the one who's actually guiding the way?\Ao couldn't have gotten that power without you.\The Firecracker... response:	Another one of my forms.
context: Truth, you aren't just a Secret.\You're the same as me.\Arata Naru... I guided you, thinking that I could destroy the world using Secrets and the Scub Coral.\But...\You're the one who's actually guiding the way?\Ao couldn't have gotten that power without you.\The Firecracker...\Another one of my forms. response:	I can dictate the flow of electrons.
context: You're the same as me.\Arata Naru... I guided you, thinking that I could destroy the world using Secrets and the Scub Coral.\But...\You're the one who's actually guiding the way?\Ao couldn't have gotten that power without you.\The Firecracker...\Another one of my forms.\I can dictate the flow of electrons. response:	Is that a Secret power too?
context: Arata Naru... I guided you, thinking that I could destroy the world using Secrets and the Scub Coral.\But...\You're the one who's actually guiding the way?\Ao couldn't have gotten that power without you.\The Firecracker...\Another one of my forms.\I can dictate the flow of electrons.\Is that a Secret power too? response:	Even if we can't take all of the personnel on board,
context: But...\You're the one who's actually guiding the way?\Ao couldn't have gotten that power without you.\The Firecracker...\Another one of my forms.\I can dictate the flow of electrons.\Is that a Secret power too?\Even if we can't take all of the personnel on board, response:	at least the IFO teams could stay here.
context: You're the one who's actually guiding the way?\Ao couldn't have gotten that power without you.\The Firecracker...\Another one of my forms.\I can dictate the flow of electrons.\Is that a Secret power too?\Even if we can't take all of the personnel on board,\at least the IFO teams could stay here. response:	This has always been a safety arc in case something happens on the ground,
context: Ao couldn't have gotten that power without you.\The Firecracker...\Another one of my forms.\I can dictate the flow of electrons.\Is that a Secret power too?\Even if we can't take all of the personnel on board,\at least the IFO teams could stay here.\This has always been a safety arc in case something happens on the ground, response:	so there shouldn't be a problem.
context: The Firecracker...\Another one of my forms.\I can dictate the flow of electrons.\Is that a Secret power too?\Even if we can't take all of the personnel on board,\at least the IFO teams could stay here.\This has always been a safety arc in case something happens on the ground,\so there shouldn't be a problem. response:	Ao and the others are moving here?
context: Another one of my forms.\I can dictate the flow of electrons.\Is that a Secret power too?\Even if we can't take all of the personnel on board,\at least the IFO teams could stay here.\This has always been a safety arc in case something happens on the ground,\so there shouldn't be a problem.\Ao and the others are moving here? response:	It might come down to that.
context: I can dictate the flow of electrons.\Is that a Secret power too?\Even if we can't take all of the personnel on board,\at least the IFO teams could stay here.\This has always been a safety arc in case something happens on the ground,\so there shouldn't be a problem.\Ao and the others are moving here?\It might come down to that. response:	But what next? The president says we won't fight the Secrets anymore.
context: Is that a Secret power too?\Even if we can't take all of the personnel on board,\at least the IFO teams could stay here.\This has always been a safety arc in case something happens on the ground,\so there shouldn't be a problem.\Ao and the others are moving here?\It might come down to that.\But what next? The president says we won't fight the Secrets anymore. response:	We must avoid unnecessary conflicts
context: Even if we can't take all of the personnel on board,\at least the IFO teams could stay here.\This has always been a safety arc in case something happens on the ground,\so there shouldn't be a problem.\Ao and the others are moving here?\It might come down to that.\But what next? The president says we won't fight the Secrets anymore.\We must avoid unnecessary conflicts response:	Mama, we're on a collision course with a satellite.
context: at least the IFO teams could stay here.\This has always been a safety arc in case something happens on the ground,\so there shouldn't be a problem.\Ao and the others are moving here?\It might come down to that.\But what next? The president says we won't fight the Secrets anymore.\We must avoid unnecessary conflicts\Mama, we're on a collision course with a satellite. response:	Calculate an evasion course right away.
context: This has always been a safety arc in case something happens on the ground,\so there shouldn't be a problem.\Ao and the others are moving here?\It might come down to that.\But what next? The president says we won't fight the Secrets anymore.\We must avoid unnecessary conflicts\Mama, we're on a collision course with a satellite.\Calculate an evasion course right away. response:	It's impossible.
context: so there shouldn't be a problem.\Ao and the others are moving here?\It might come down to that.\But what next? The president says we won't fight the Secrets anymore.\We must avoid unnecessary conflicts\Mama, we're on a collision course with a satellite.\Calculate an evasion course right away.\It's impossible. response:	Multiple satellites have crashed into each other and created a cloud of debris.
context: Ao and the others are moving here?\It might come down to that.\But what next? The president says we won't fight the Secrets anymore.\We must avoid unnecessary conflicts\Mama, we're on a collision course with a satellite.\Calculate an evasion course right away.\It's impossible.\Multiple satellites have crashed into each other and created a cloud of debris. response:	We're entering a debris storm.
context: It might come down to that.\But what next? The president says we won't fight the Secrets anymore.\We must avoid unnecessary conflicts\Mama, we're on a collision course with a satellite.\Calculate an evasion course right away.\It's impossible.\Multiple satellites have crashed into each other and created a cloud of debris.\We're entering a debris storm. response:	A large number of satellites belonging to both the Allied Forces and the Americans have been destroyed.
context: But what next? The president says we won't fight the Secrets anymore.\We must avoid unnecessary conflicts\Mama, we're on a collision course with a satellite.\Calculate an evasion course right away.\It's impossible.\Multiple satellites have crashed into each other and created a cloud of debris.\We're entering a debris storm.\A large number of satellites belonging to both the Allied Forces and the Americans have been destroyed. response:	They're most likely attacked by Generation Bleu satellites.
context: We must avoid unnecessary conflicts\Mama, we're on a collision course with a satellite.\Calculate an evasion course right away.\It's impossible.\Multiple satellites have crashed into each other and created a cloud of debris.\We're entering a debris storm.\A large number of satellites belonging to both the Allied Forces and the Americans have been destroyed.\They're most likely attacked by Generation Bleu satellites. response:	As soldiers of the Allied Forces, we are going to siege their headquarters!
context: Mama, we're on a collision course with a satellite.\Calculate an evasion course right away.\It's impossible.\Multiple satellites have crashed into each other and created a cloud of debris.\We're entering a debris storm.\A large number of satellites belonging to both the Allied Forces and the Americans have been destroyed.\They're most likely attacked by Generation Bleu satellites.\As soldiers of the Allied Forces, we are going to siege their headquarters! response:	Maggie Kwan, how are you feeling?
context: Calculate an evasion course right away.\It's impossible.\Multiple satellites have crashed into each other and created a cloud of debris.\We're entering a debris storm.\A large number of satellites belonging to both the Allied Forces and the Americans have been destroyed.\They're most likely attacked by Generation Bleu satellites.\As soldiers of the Allied Forces, we are going to siege their headquarters!\Maggie Kwan, how are you feeling? response:	I'm feeling fine, sir.
context: It's impossible.\Multiple satellites have crashed into each other and created a cloud of debris.\We're entering a debris storm.\A large number of satellites belonging to both the Allied Forces and the Americans have been destroyed.\They're most likely attacked by Generation Bleu satellites.\As soldiers of the Allied Forces, we are going to siege their headquarters!\Maggie Kwan, how are you feeling?\I'm feeling fine, sir. response:	Sir, the Generation Bleu IFO pilots are those kids, am I correct?
context: Multiple satellites have crashed into each other and created a cloud of debris.\We're entering a debris storm.\A large number of satellites belonging to both the Allied Forces and the Americans have been destroyed.\They're most likely attacked by Generation Bleu satellites.\As soldiers of the Allied Forces, we are going to siege their headquarters!\Maggie Kwan, how are you feeling?\I'm feeling fine, sir.\Sir, the Generation Bleu IFO pilots are those kids, am I correct? response:	Yeah.
context: We're entering a debris storm.\A large number of satellites belonging to both the Allied Forces and the Americans have been destroyed.\They're most likely attacked by Generation Bleu satellites.\As soldiers of the Allied Forces, we are going to siege their headquarters!\Maggie Kwan, how are you feeling?\I'm feeling fine, sir.\Sir, the Generation Bleu IFO pilots are those kids, am I correct?\Yeah. response:	Are we fighting them?
context: A large number of satellites belonging to both the Allied Forces and the Americans have been destroyed.\They're most likely attacked by Generation Bleu satellites.\As soldiers of the Allied Forces, we are going to siege their headquarters!\Maggie Kwan, how are you feeling?\I'm feeling fine, sir.\Sir, the Generation Bleu IFO pilots are those kids, am I correct?\Yeah.\Are we fighting them? response:	Using the reason that only children can pilot IFOs,
context: They're most likely attacked by Generation Bleu satellites.\As soldiers of the Allied Forces, we are going to siege their headquarters!\Maggie Kwan, how are you feeling?\I'm feeling fine, sir.\Sir, the Generation Bleu IFO pilots are those kids, am I correct?\Yeah.\Are we fighting them?\Using the reason that only children can pilot IFOs, response:	Generation Bleu may have mistreated those children.
context: As soldiers of the Allied Forces, we are going to siege their headquarters!\Maggie Kwan, how are you feeling?\I'm feeling fine, sir.\Sir, the Generation Bleu IFO pilots are those kids, am I correct?\Yeah.\Are we fighting them?\Using the reason that only children can pilot IFOs,\Generation Bleu may have mistreated those children. response:	Generation Bleu may have mistreated those children.
context: Maggie Kwan, how are you feeling?\I'm feeling fine, sir.\Sir, the Generation Bleu IFO pilots are those kids, am I correct?\Yeah.\Are we fighting them?\Using the reason that only children can pilot IFOs,\Generation Bleu may have mistreated those children.\Generation Bleu may have mistreated those children. response:	We want to bring them under the Allied Force's protection.
context: I'm feeling fine, sir.\Sir, the Generation Bleu IFO pilots are those kids, am I correct?\Yeah.\Are we fighting them?\Using the reason that only children can pilot IFOs,\Generation Bleu may have mistreated those children.\Generation Bleu may have mistreated those children.\We want to bring them under the Allied Force's protection. response:	I agree with that plan, sir.
context: Sir, the Generation Bleu IFO pilots are those kids, am I correct?\Yeah.\Are we fighting them?\Using the reason that only children can pilot IFOs,\Generation Bleu may have mistreated those children.\Generation Bleu may have mistreated those children.\We want to bring them under the Allied Force's protection.\I agree with that plan, sir. response:	The president won't take any actions, so I
context: Yeah.\Are we fighting them?\Using the reason that only children can pilot IFOs,\Generation Bleu may have mistreated those children.\Generation Bleu may have mistreated those children.\We want to bring them under the Allied Force's protection.\I agree with that plan, sir.\The president won't take any actions, so I response:	What are you doing?
context: Are we fighting them?\Using the reason that only children can pilot IFOs,\Generation Bleu may have mistreated those children.\Generation Bleu may have mistreated those children.\We want to bring them under the Allied Force's protection.\I agree with that plan, sir.\The president won't take any actions, so I\What are you doing? response:	I'm uninstalling the battle assist program.
context: Using the reason that only children can pilot IFOs,\Generation Bleu may have mistreated those children.\Generation Bleu may have mistreated those children.\We want to bring them under the Allied Force's protection.\I agree with that plan, sir.\The president won't take any actions, so I\What are you doing?\I'm uninstalling the battle assist program. response:	You're uninstalling Georg?
context: Generation Bleu may have mistreated those children.\Generation Bleu may have mistreated those children.\We want to bring them under the Allied Force's protection.\I agree with that plan, sir.\The president won't take any actions, so I\What are you doing?\I'm uninstalling the battle assist program.\You're uninstalling Georg? response:	What will happen if he's gone?
context: Generation Bleu may have mistreated those children.\We want to bring them under the Allied Force's protection.\I agree with that plan, sir.\The president won't take any actions, so I\What are you doing?\I'm uninstalling the battle assist program.\You're uninstalling Georg?\What will happen if he's gone? response:	Both the Triton and the IFOs require great movement precision and weapon controls.
context: We want to bring them under the Allied Force's protection.\I agree with that plan, sir.\The president won't take any actions, so I\What are you doing?\I'm uninstalling the battle assist program.\You're uninstalling Georg?\What will happen if he's gone?\Both the Triton and the IFOs require great movement precision and weapon controls. response:	In other words, they're useless without Georg.
context: I agree with that plan, sir.\The president won't take any actions, so I\What are you doing?\I'm uninstalling the battle assist program.\You're uninstalling Georg?\What will happen if he's gone?\Both the Triton and the IFOs require great movement precision and weapon controls.\In other words, they're useless without Georg. response:	Don't worry, I'm reverting to an earlier version.
context: The president won't take any actions, so I\What are you doing?\I'm uninstalling the battle assist program.\You're uninstalling Georg?\What will happen if he's gone?\Both the Triton and the IFOs require great movement precision and weapon controls.\In other words, they're useless without Georg.\Don't worry, I'm reverting to an earlier version. response:	It's just a temporary downgrade.
context: What are you doing?\I'm uninstalling the battle assist program.\You're uninstalling Georg?\What will happen if he's gone?\Both the Triton and the IFOs require great movement precision and weapon controls.\In other words, they're useless without Georg.\Don't worry, I'm reverting to an earlier version.\It's just a temporary downgrade. response:	Why would you do that?
context: I'm uninstalling the battle assist program.\You're uninstalling Georg?\What will happen if he's gone?\Both the Triton and the IFOs require great movement precision and weapon controls.\In other words, they're useless without Georg.\Don't worry, I'm reverting to an earlier version.\It's just a temporary downgrade.\Why would you do that? response:	To get rid of the virus you brought in.
context: You're uninstalling Georg?\What will happen if he's gone?\Both the Triton and the IFOs require great movement precision and weapon controls.\In other words, they're useless without Georg.\Don't worry, I'm reverting to an earlier version.\It's just a temporary downgrade.\Why would you do that?\To get rid of the virus you brought in. response:	You mean the Secret?
context: What will happen if he's gone?\Both the Triton and the IFOs require great movement precision and weapon controls.\In other words, they're useless without Georg.\Don't worry, I'm reverting to an earlier version.\It's just a temporary downgrade.\Why would you do that?\To get rid of the virus you brought in.\You mean the Secret? response:	Yeah.
context: Both the Triton and the IFOs require great movement precision and weapon controls.\In other words, they're useless without Georg.\Don't worry, I'm reverting to an earlier version.\It's just a temporary downgrade.\Why would you do that?\To get rid of the virus you brought in.\You mean the Secret?\Yeah. response:	In Japan, you connected the Secret to Georg.
context: In other words, they're useless without Georg.\Don't worry, I'm reverting to an earlier version.\It's just a temporary downgrade.\Why would you do that?\To get rid of the virus you brought in.\You mean the Secret?\Yeah.\In Japan, you connected the Secret to Georg. response:	At that moment, every instance of Georg was activated.
context: Don't worry, I'm reverting to an earlier version.\It's just a temporary downgrade.\Why would you do that?\To get rid of the virus you brought in.\You mean the Secret?\Yeah.\In Japan, you connected the Secret to Georg.\At that moment, every instance of Georg was activated. response:	This Georg is a different program because it contains the Secret's consciousness.
context: It's just a temporary downgrade.\Why would you do that?\To get rid of the virus you brought in.\You mean the Secret?\Yeah.\In Japan, you connected the Secret to Georg.\At that moment, every instance of Georg was activated.\This Georg is a different program because it contains the Secret's consciousness. response:	So there's no turning back if something goes wrong during a battle, huh?
context: Why would you do that?\To get rid of the virus you brought in.\You mean the Secret?\Yeah.\In Japan, you connected the Secret to Georg.\At that moment, every instance of Georg was activated.\This Georg is a different program because it contains the Secret's consciousness.\So there's no turning back if something goes wrong during a battle, huh? response:	Is that your decision?
context: To get rid of the virus you brought in.\You mean the Secret?\Yeah.\In Japan, you connected the Secret to Georg.\At that moment, every instance of Georg was activated.\This Georg is a different program because it contains the Secret's consciousness.\So there's no turning back if something goes wrong during a battle, huh?\Is that your decision? response:	Or did someone from above tell you do that?
context: You mean the Secret?\Yeah.\In Japan, you connected the Secret to Georg.\At that moment, every instance of Georg was activated.\This Georg is a different program because it contains the Secret's consciousness.\So there's no turning back if something goes wrong during a battle, huh?\Is that your decision?\Or did someone from above tell you do that? response:	It's the same either way!
context: Yeah.\In Japan, you connected the Secret to Georg.\At that moment, every instance of Georg was activated.\This Georg is a different program because it contains the Secret's consciousness.\So there's no turning back if something goes wrong during a battle, huh?\Is that your decision?\Or did someone from above tell you do that?\It's the same either way! response:	If they find out we've been infiltrated by a Secret,
context: In Japan, you connected the Secret to Georg.\At that moment, every instance of Georg was activated.\This Georg is a different program because it contains the Secret's consciousness.\So there's no turning back if something goes wrong during a battle, huh?\Is that your decision?\Or did someone from above tell you do that?\It's the same either way!\If they find out we've been infiltrated by a Secret, response:	we would never be able to negotiate with the Allied Forces!
context: At that moment, every instance of Georg was activated.\This Georg is a different program because it contains the Secret's consciousness.\So there's no turning back if something goes wrong during a battle, huh?\Is that your decision?\Or did someone from above tell you do that?\It's the same either way!\If they find out we've been infiltrated by a Secret,\we would never be able to negotiate with the Allied Forces! response:	The Big Blue World abandoned us!
context: This Georg is a different program because it contains the Secret's consciousness.\So there's no turning back if something goes wrong during a battle, huh?\Is that your decision?\Or did someone from above tell you do that?\It's the same either way!\If they find out we've been infiltrated by a Secret,\we would never be able to negotiate with the Allied Forces!\The Big Blue World abandoned us! response:	What else do you want to do?!
context: So there's no turning back if something goes wrong during a battle, huh?\Is that your decision?\Or did someone from above tell you do that?\It's the same either way!\If they find out we've been infiltrated by a Secret,\we would never be able to negotiate with the Allied Forces!\The Big Blue World abandoned us!\What else do you want to do?! response:	You can't say that for sure.
context: Is that your decision?\Or did someone from above tell you do that?\It's the same either way!\If they find out we've been infiltrated by a Secret,\we would never be able to negotiate with the Allied Forces!\The Big Blue World abandoned us!\What else do you want to do?!\You can't say that for sure. response:	I want to show the company that Generation Bleu is useful.
context: Or did someone from above tell you do that?\It's the same either way!\If they find out we've been infiltrated by a Secret,\we would never be able to negotiate with the Allied Forces!\The Big Blue World abandoned us!\What else do you want to do?!\You can't say that for sure.\I want to show the company that Generation Bleu is useful. response:	That's why I must eliminate all dangers.
context: It's the same either way!\If they find out we've been infiltrated by a Secret,\we would never be able to negotiate with the Allied Forces!\The Big Blue World abandoned us!\What else do you want to do?!\You can't say that for sure.\I want to show the company that Generation Bleu is useful.\That's why I must eliminate all dangers. response:	Dangers?
context: If they find out we've been infiltrated by a Secret,\we would never be able to negotiate with the Allied Forces!\The Big Blue World abandoned us!\What else do you want to do?!\You can't say that for sure.\I want to show the company that Generation Bleu is useful.\That's why I must eliminate all dangers.\Dangers? response:	Is it dangerous to talk with a Secret?
context: we would never be able to negotiate with the Allied Forces!\The Big Blue World abandoned us!\What else do you want to do?!\You can't say that for sure.\I want to show the company that Generation Bleu is useful.\That's why I must eliminate all dangers.\Dangers?\Is it dangerous to talk with a Secret? response:	We're founded to fight against Secrets.
context: The Big Blue World abandoned us!\What else do you want to do?!\You can't say that for sure.\I want to show the company that Generation Bleu is useful.\That's why I must eliminate all dangers.\Dangers?\Is it dangerous to talk with a Secret?\We're founded to fight against Secrets. response:	That was the only thing that kept this organization going!
context: What else do you want to do?!\You can't say that for sure.\I want to show the company that Generation Bleu is useful.\That's why I must eliminate all dangers.\Dangers?\Is it dangerous to talk with a Secret?\We're founded to fight against Secrets.\That was the only thing that kept this organization going! response:	Then what about Ivica?
context: You can't say that for sure.\I want to show the company that Generation Bleu is useful.\That's why I must eliminate all dangers.\Dangers?\Is it dangerous to talk with a Secret?\We're founded to fight against Secrets.\That was the only thing that kept this organization going!\Then what about Ivica? response:	Can you tell him to keep fighting?
context: I want to show the company that Generation Bleu is useful.\That's why I must eliminate all dangers.\Dangers?\Is it dangerous to talk with a Secret?\We're founded to fight against Secrets.\That was the only thing that kept this organization going!\Then what about Ivica?\Can you tell him to keep fighting? response:	That has nothing to do with this.
context: That's why I must eliminate all dangers.\Dangers?\Is it dangerous to talk with a Secret?\We're founded to fight against Secrets.\That was the only thing that kept this organization going!\Then what about Ivica?\Can you tell him to keep fighting?\That has nothing to do with this. response:	Yes, it does!
context: Dangers?\Is it dangerous to talk with a Secret?\We're founded to fight against Secrets.\That was the only thing that kept this organization going!\Then what about Ivica?\Can you tell him to keep fighting?\That has nothing to do with this.\Yes, it does! response:	This isn't about the company! I'm asking about you!
context: Is it dangerous to talk with a Secret?\We're founded to fight against Secrets.\That was the only thing that kept this organization going!\Then what about Ivica?\Can you tell him to keep fighting?\That has nothing to do with this.\Yes, it does!\This isn't about the company! I'm asking about you! response:	Here they come.
context: We're founded to fight against Secrets.\That was the only thing that kept this organization going!\Then what about Ivica?\Can you tell him to keep fighting?\That has nothing to do with this.\Yes, it does!\This isn't about the company! I'm asking about you!\Here they come. response:	The Poseidon was shot down.
context: That was the only thing that kept this organization going!\Then what about Ivica?\Can you tell him to keep fighting?\That has nothing to do with this.\Yes, it does!\This isn't about the company! I'm asking about you!\Here they come.\The Poseidon was shot down. response:	They'll pay for that.
context: Then what about Ivica?\Can you tell him to keep fighting?\That has nothing to do with this.\Yes, it does!\This isn't about the company! I'm asking about you!\Here they come.\The Poseidon was shot down.\They'll pay for that. response:	Is what I'm hearing about the Poseidon true?
context: Can you tell him to keep fighting?\That has nothing to do with this.\Yes, it does!\This isn't about the company! I'm asking about you!\Here they come.\The Poseidon was shot down.\They'll pay for that.\Is what I'm hearing about the Poseidon true? response:	I don't know.
context: That has nothing to do with this.\Yes, it does!\This isn't about the company! I'm asking about you!\Here they come.\The Poseidon was shot down.\They'll pay for that.\Is what I'm hearing about the Poseidon true?\I don't know. response:	But they'll pay.
context: Yes, it does!\This isn't about the company! I'm asking about you!\Here they come.\The Poseidon was shot down.\They'll pay for that.\Is what I'm hearing about the Poseidon true?\I don't know.\But they'll pay. response:	Compliant to the UN decision, the Allied Forces shall seize all the Quartz that Generation Bleu holds,
context: This isn't about the company! I'm asking about you!\Here they come.\The Poseidon was shot down.\They'll pay for that.\Is what I'm hearing about the Poseidon true?\I don't know.\But they'll pay.\Compliant to the UN decision, the Allied Forces shall seize all the Quartz that Generation Bleu holds, response:	as well as the weapon of mass destruction that's suspected to use them.
context: Here they come.\The Poseidon was shot down.\They'll pay for that.\Is what I'm hearing about the Poseidon true?\I don't know.\But they'll pay.\Compliant to the UN decision, the Allied Forces shall seize all the Quartz that Generation Bleu holds,\as well as the weapon of mass destruction that's suspected to use them. response:	We're going to forbid their usage of IFOs and other FPs.
context: The Poseidon was shot down.\They'll pay for that.\Is what I'm hearing about the Poseidon true?\I don't know.\But they'll pay.\Compliant to the UN decision, the Allied Forces shall seize all the Quartz that Generation Bleu holds,\as well as the weapon of mass destruction that's suspected to use them.\We're going to forbid their usage of IFOs and other FPs. response:	Generation Bleu has ceased operating as a company.
context: They'll pay for that.\Is what I'm hearing about the Poseidon true?\I don't know.\But they'll pay.\Compliant to the UN decision, the Allied Forces shall seize all the Quartz that Generation Bleu holds,\as well as the weapon of mass destruction that's suspected to use them.\We're going to forbid their usage of IFOs and other FPs.\Generation Bleu has ceased operating as a company. response:	All unrequired personnel are ordered to leave the headquarters.
context: Is what I'm hearing about the Poseidon true?\I don't know.\But they'll pay.\Compliant to the UN decision, the Allied Forces shall seize all the Quartz that Generation Bleu holds,\as well as the weapon of mass destruction that's suspected to use them.\We're going to forbid their usage of IFOs and other FPs.\Generation Bleu has ceased operating as a company.\All unrequired personnel are ordered to leave the headquarters. response:	Ao, where's the cannon?
context: I don't know.\But they'll pay.\Compliant to the UN decision, the Allied Forces shall seize all the Quartz that Generation Bleu holds,\as well as the weapon of mass destruction that's suspected to use them.\We're going to forbid their usage of IFOs and other FPs.\Generation Bleu has ceased operating as a company.\All unrequired personnel are ordered to leave the headquarters.\Ao, where's the cannon? response:	It's locked away underground.
context: But they'll pay.\Compliant to the UN decision, the Allied Forces shall seize all the Quartz that Generation Bleu holds,\as well as the weapon of mass destruction that's suspected to use them.\We're going to forbid their usage of IFOs and other FPs.\Generation Bleu has ceased operating as a company.\All unrequired personnel are ordered to leave the headquarters.\Ao, where's the cannon?\It's locked away underground. response:	There always seem to be stuff hidden under bases.
context: Compliant to the UN decision, the Allied Forces shall seize all the Quartz that Generation Bleu holds,\as well as the weapon of mass destruction that's suspected to use them.\We're going to forbid their usage of IFOs and other FPs.\Generation Bleu has ceased operating as a company.\All unrequired personnel are ordered to leave the headquarters.\Ao, where's the cannon?\It's locked away underground.\There always seem to be stuff hidden under bases. response:	Stuff like this.
context: as well as the weapon of mass destruction that's suspected to use them.\We're going to forbid their usage of IFOs and other FPs.\Generation Bleu has ceased operating as a company.\All unrequired personnel are ordered to leave the headquarters.\Ao, where's the cannon?\It's locked away underground.\There always seem to be stuff hidden under bases.\Stuff like this. response:	You don't want to fire it?
context: We're going to forbid their usage of IFOs and other FPs.\Generation Bleu has ceased operating as a company.\All unrequired personnel are ordered to leave the headquarters.\Ao, where's the cannon?\It's locked away underground.\There always seem to be stuff hidden under bases.\Stuff like this.\You don't want to fire it? response:	You wouldn't understand even if I explained.
context: Generation Bleu has ceased operating as a company.\All unrequired personnel are ordered to leave the headquarters.\Ao, where's the cannon?\It's locked away underground.\There always seem to be stuff hidden under bases.\Stuff like this.\You don't want to fire it?\You wouldn't understand even if I explained. response:	Nope, I understand.
context: All unrequired personnel are ordered to leave the headquarters.\Ao, where's the cannon?\It's locked away underground.\There always seem to be stuff hidden under bases.\Stuff like this.\You don't want to fire it?\You wouldn't understand even if I explained.\Nope, I understand. response:	Elena?
context: Ao, where's the cannon?\It's locked away underground.\There always seem to be stuff hidden under bases.\Stuff like this.\You don't want to fire it?\You wouldn't understand even if I explained.\Nope, I understand.\Elena? response:	If you fire that cannon, both Secrets and the Scub Coral will disappear.
context: It's locked away underground.\There always seem to be stuff hidden under bases.\Stuff like this.\You don't want to fire it?\You wouldn't understand even if I explained.\Nope, I understand.\Elena?\If you fire that cannon, both Secrets and the Scub Coral will disappear. response:	The world will change.
context: There always seem to be stuff hidden under bases.\Stuff like this.\You don't want to fire it?\You wouldn't understand even if I explained.\Nope, I understand.\Elena?\If you fire that cannon, both Secrets and the Scub Coral will disappear.\The world will change. response:	That's my world.
context: Stuff like this.\You don't want to fire it?\You wouldn't understand even if I explained.\Nope, I understand.\Elena?\If you fire that cannon, both Secrets and the Scub Coral will disappear.\The world will change.\That's my world. response:	Elena?
context: You don't want to fire it?\You wouldn't understand even if I explained.\Nope, I understand.\Elena?\If you fire that cannon, both Secrets and the Scub Coral will disappear.\The world will change.\That's my world.\Elena? response:	I'll be frank.
