context: I say yes response:	Stay with me
context: There we go.\Did he come all the way here just to meddle with Louise?\I'm sorry.\Are you all right?\Um, is there a shop called Charming Fairy Inn around here?\Eh? That'd be here.\That voice!\That voice! response:	Search that side!
context: Did he come all the way here just to meddle with Louise?\I'm sorry.\Are you all right?\Um, is there a shop called Charming Fairy Inn around here?\Eh? That'd be here.\That voice!\That voice!\Search that side! response:	She might have gone to the Kurdone alley.
context: I'm sorry.\Are you all right?\Um, is there a shop called Charming Fairy Inn around here?\Eh? That'd be here.\That voice!\That voice!\Search that side!\She might have gone to the Kurdone alley. response:	Make haste!
context: Are you all right?\Um, is there a shop called Charming Fairy Inn around here?\Eh? That'd be here.\That voice!\That voice!\Search that side!\She might have gone to the Kurdone alley.\Make haste! response:	This way, Your Highness.
context: Um, is there a shop called Charming Fairy Inn around here?\Eh? That'd be here.\That voice!\That voice!\Search that side!\She might have gone to the Kurdone alley.\Make haste!\This way, Your Highness. response:	I don't know what happened, but let me go get Louise.
context: Eh? That'd be here.\That voice!\That voice!\Search that side!\She might have gone to the Kurdone alley.\Make haste!\This way, Your Highness.\I don't know what happened, but let me go get Louise. response:	Please wait, Saito-san.
context: That voice!\That voice!\Search that side!\She might have gone to the Kurdone alley.\Make haste!\This way, Your Highness.\I don't know what happened, but let me go get Louise.\Please wait, Saito-san. response:	I'm here to borrow your strength.
context: That voice!\Search that side!\She might have gone to the Kurdone alley.\Make haste!\This way, Your Highness.\I don't know what happened, but let me go get Louise.\Please wait, Saito-san.\I'm here to borrow your strength. response:	M-Mine?
context: Search that side!\She might have gone to the Kurdone alley.\Make haste!\This way, Your Highness.\I don't know what happened, but let me go get Louise.\Please wait, Saito-san.\I'm here to borrow your strength.\M-Mine? response:	Please be my bodyguard for several hours.
context: She might have gone to the Kurdone alley.\Make haste!\This way, Your Highness.\I don't know what happened, but let me go get Louise.\Please wait, Saito-san.\I'm here to borrow your strength.\M-Mine?\Please be my bodyguard for several hours. response:	Why me?
context: Make haste!\This way, Your Highness.\I don't know what happened, but let me go get Louise.\Please wait, Saito-san.\I'm here to borrow your strength.\M-Mine?\Please be my bodyguard for several hours.\Why me? response:	You're the Queen, so shouldn't you have bodyguards who are more suitable than myself.
context: This way, Your Highness.\I don't know what happened, but let me go get Louise.\Please wait, Saito-san.\I'm here to borrow your strength.\M-Mine?\Please be my bodyguard for several hours.\Why me?\You're the Queen, so shouldn't you have bodyguards who are more suitable than myself. response:	I must act while undercover.
context: I don't know what happened, but let me go get Louise.\Please wait, Saito-san.\I'm here to borrow your strength.\M-Mine?\Please be my bodyguard for several hours.\Why me?\You're the Queen, so shouldn't you have bodyguards who are more suitable than myself.\I must act while undercover. response:	So this was why you told us to be here on standby?
context: Please wait, Saito-san.\I'm here to borrow your strength.\M-Mine?\Please be my bodyguard for several hours.\Why me?\You're the Queen, so shouldn't you have bodyguards who are more suitable than myself.\I must act while undercover.\So this was why you told us to be here on standby? response:	Okay. Since it's a request from none other than the Queen, I'll accept it.
context: I'm here to borrow your strength.\M-Mine?\Please be my bodyguard for several hours.\Why me?\You're the Queen, so shouldn't you have bodyguards who are more suitable than myself.\I must act while undercover.\So this was why you told us to be here on standby?\Okay. Since it's a request from none other than the Queen, I'll accept it. response:	It isn't anything dangerous, is it?
context: M-Mine?\Please be my bodyguard for several hours.\Why me?\You're the Queen, so shouldn't you have bodyguards who are more suitable than myself.\I must act while undercover.\So this was why you told us to be here on standby?\Okay. Since it's a request from none other than the Queen, I'll accept it.\It isn't anything dangerous, is it? response:	If I were to put you in danger, who knows what Louise would do to me later...
context: Please be my bodyguard for several hours.\Why me?\You're the Queen, so shouldn't you have bodyguards who are more suitable than myself.\I must act while undercover.\So this was why you told us to be here on standby?\Okay. Since it's a request from none other than the Queen, I'll accept it.\It isn't anything dangerous, is it?\If I were to put you in danger, who knows what Louise would do to me later... response:	D-Don't worry about that.
context: Why me?\You're the Queen, so shouldn't you have bodyguards who are more suitable than myself.\I must act while undercover.\So this was why you told us to be here on standby?\Okay. Since it's a request from none other than the Queen, I'll accept it.\It isn't anything dangerous, is it?\If I were to put you in danger, who knows what Louise would do to me later...\D-Don't worry about that. response:	Well, okay.
context: You're the Queen, so shouldn't you have bodyguards who are more suitable than myself.\I must act while undercover.\So this was why you told us to be here on standby?\Okay. Since it's a request from none other than the Queen, I'll accept it.\It isn't anything dangerous, is it?\If I were to put you in danger, who knows what Louise would do to me later...\D-Don't worry about that.\Well, okay. response:	Well then, let's make our way out.
context: I must act while undercover.\So this was why you told us to be here on standby?\Okay. Since it's a request from none other than the Queen, I'll accept it.\It isn't anything dangerous, is it?\If I were to put you in danger, who knows what Louise would do to me later...\D-Don't worry about that.\Well, okay.\Well then, let's make our way out. response:	The security guards will be here soon.
context: So this was why you told us to be here on standby?\Okay. Since it's a request from none other than the Queen, I'll accept it.\It isn't anything dangerous, is it?\If I were to put you in danger, who knows what Louise would do to me later...\D-Don't worry about that.\Well, okay.\Well then, let's make our way out.\The security guards will be here soon. response:	We can't stay here for too long.
context: Okay. Since it's a request from none other than the Queen, I'll accept it.\It isn't anything dangerous, is it?\If I were to put you in danger, who knows what Louise would do to me later...\D-Don't worry about that.\Well, okay.\Well then, let's make our way out.\The security guards will be here soon.\We can't stay here for too long. response:	Saito-san, could you lend me some clothes that would make me look like a plebeian?
context: It isn't anything dangerous, is it?\If I were to put you in danger, who knows what Louise would do to me later...\D-Don't worry about that.\Well, okay.\Well then, let's make our way out.\The security guards will be here soon.\We can't stay here for too long.\Saito-san, could you lend me some clothes that would make me look like a plebeian? response:	Y-Yes...
context: If I were to put you in danger, who knows what Louise would do to me later...\D-Don't worry about that.\Well, okay.\Well then, let's make our way out.\The security guards will be here soon.\We can't stay here for too long.\Saito-san, could you lend me some clothes that would make me look like a plebeian?\Y-Yes... response:	Louise's skirt is about the only thing we have here.
context: D-Don't worry about that.\Well, okay.\Well then, let's make our way out.\The security guards will be here soon.\We can't stay here for too long.\Saito-san, could you lend me some clothes that would make me look like a plebeian?\Y-Yes...\Louise's skirt is about the only thing we have here. response:	That'll do.
context: Well, okay.\Well then, let's make our way out.\The security guards will be here soon.\We can't stay here for too long.\Saito-san, could you lend me some clothes that would make me look like a plebeian?\Y-Yes...\Louise's skirt is about the only thing we have here.\That'll do. response:	Thank you very much.
context: Well then, let's make our way out.\The security guards will be here soon.\We can't stay here for too long.\Saito-san, could you lend me some clothes that would make me look like a plebeian?\Y-Yes...\Louise's skirt is about the only thing we have here.\That'll do.\Thank you very much. response:	Can I have those clothes?
context: The security guards will be here soon.\We can't stay here for too long.\Saito-san, could you lend me some clothes that would make me look like a plebeian?\Y-Yes...\Louise's skirt is about the only thing we have here.\That'll do.\Thank you very much.\Can I have those clothes? response:	H-Here.
context: We can't stay here for too long.\Saito-san, could you lend me some clothes that would make me look like a plebeian?\Y-Yes...\Louise's skirt is about the only thing we have here.\That'll do.\Thank you very much.\Can I have those clothes?\H-Here. response:	Can she even fit into Louise's clothes?
context: Saito-san, could you lend me some clothes that would make me look like a plebeian?\Y-Yes...\Louise's skirt is about the only thing we have here.\That'll do.\Thank you very much.\Can I have those clothes?\H-Here.\Can she even fit into Louise's clothes? response:	The shirt's a little small.
context: Y-Yes...\Louise's skirt is about the only thing we have here.\That'll do.\Thank you very much.\Can I have those clothes?\H-Here.\Can she even fit into Louise's clothes?\The shirt's a little small. response:	I knew it.
context: Louise's skirt is about the only thing we have here.\That'll do.\Thank you very much.\Can I have those clothes?\H-Here.\Can she even fit into Louise's clothes?\The shirt's a little small.\I knew it. response:	Cheers!
context: That'll do.\Thank you very much.\Can I have those clothes?\H-Here.\Can she even fit into Louise's clothes?\The shirt's a little small.\I knew it.\Cheers! response:	Where's Agnes?
context: Thank you very much.\Can I have those clothes?\H-Here.\Can she even fit into Louise's clothes?\The shirt's a little small.\I knew it.\Cheers!\Where's Agnes? response:	My dear fairies!
context: Can I have those clothes?\H-Here.\Can she even fit into Louise's clothes?\The shirt's a little small.\I knew it.\Cheers!\Where's Agnes?\My dear fairies! response:	The show's tonight, so let's close the shop early.
context: H-Here.\Can she even fit into Louise's clothes?\The shirt's a little small.\I knew it.\Cheers!\Where's Agnes?\My dear fairies!\The show's tonight, so let's close the shop early. response:	Yes!
context: Can she even fit into Louise's clothes?\The shirt's a little small.\I knew it.\Cheers!\Where's Agnes?\My dear fairies!\The show's tonight, so let's close the shop early.\Yes! response:	What? It's closing already?
context: The shirt's a little small.\I knew it.\Cheers!\Where's Agnes?\My dear fairies!\The show's tonight, so let's close the shop early.\Yes!\What? It's closing already? response:	Let's toast some more!
context: I knew it.\Cheers!\Where's Agnes?\My dear fairies!\The show's tonight, so let's close the shop early.\Yes!\What? It's closing already?\Let's toast some more! response:	We're closing.
context: Cheers!\Where's Agnes?\My dear fairies!\The show's tonight, so let's close the shop early.\Yes!\What? It's closing already?\Let's toast some more!\We're closing. response:	What, she never showed up.
context: Where's Agnes?\My dear fairies!\The show's tonight, so let's close the shop early.\Yes!\What? It's closing already?\Let's toast some more!\We're closing.\What, she never showed up. response:	Saito!
context: My dear fairies!\The show's tonight, so let's close the shop early.\Yes!\What? It's closing already?\Let's toast some more!\We're closing.\What, she never showed up.\Saito! response:	Saito?
context: The show's tonight, so let's close the shop early.\Yes!\What? It's closing already?\Let's toast some more!\We're closing.\What, she never showed up.\Saito!\Saito? response:	Identify yourselves and indicate your destination.
context: Yes!\What? It's closing already?\Let's toast some more!\We're closing.\What, she never showed up.\Saito!\Saito?\Identify yourselves and indicate your destination. response:	Take off your hood and show us your face.
context: What? It's closing already?\Let's toast some more!\We're closing.\What, she never showed up.\Saito!\Saito?\Identify yourselves and indicate your destination.\Take off your hood and show us your face. response:	Looks like they formed a security line.
context: Let's toast some more!\We're closing.\What, she never showed up.\Saito!\Saito?\Identify yourselves and indicate your destination.\Take off your hood and show us your face.\Looks like they formed a security line. response:	A search order has been issued to the soldiers for a missing aristocrat.
context: We're closing.\What, she never showed up.\Saito!\Saito?\Identify yourselves and indicate your destination.\Take off your hood and show us your face.\Looks like they formed a security line.\A search order has been issued to the soldiers for a missing aristocrat. response:	So, in other words, they're looking for you?
context: What, she never showed up.\Saito!\Saito?\Identify yourselves and indicate your destination.\Take off your hood and show us your face.\Looks like they formed a security line.\A search order has been issued to the soldiers for a missing aristocrat.\So, in other words, they're looking for you? response:	What should we do?
context: Saito!\Saito?\Identify yourselves and indicate your destination.\Take off your hood and show us your face.\Looks like they formed a security line.\A search order has been issued to the soldiers for a missing aristocrat.\So, in other words, they're looking for you?\What should we do? response:	They'll suspect us even more if we were to hide our faces.
context: Saito?\Identify yourselves and indicate your destination.\Take off your hood and show us your face.\Looks like they formed a security line.\A search order has been issued to the soldiers for a missing aristocrat.\So, in other words, they're looking for you?\What should we do?\They'll suspect us even more if we were to hide our faces. response:	Saito-san, please put your arm around my shoulder.
context: Identify yourselves and indicate your destination.\Take off your hood and show us your face.\Looks like they formed a security line.\A search order has been issued to the soldiers for a missing aristocrat.\So, in other words, they're looking for you?\What should we do?\They'll suspect us even more if we were to hide our faces.\Saito-san, please put your arm around my shoulder. response:	You can go now.
context: Take off your hood and show us your face.\Looks like they formed a security line.\A search order has been issued to the soldiers for a missing aristocrat.\So, in other words, they're looking for you?\What should we do?\They'll suspect us even more if we were to hide our faces.\Saito-san, please put your arm around my shoulder.\You can go now. response:	Um... I think we're really standing out.
context: Looks like they formed a security line.\A search order has been issued to the soldiers for a missing aristocrat.\So, in other words, they're looking for you?\What should we do?\They'll suspect us even more if we were to hide our faces.\Saito-san, please put your arm around my shoulder.\You can go now.\Um... I think we're really standing out. response:	Keep playing with me.
context: A search order has been issued to the soldiers for a missing aristocrat.\So, in other words, they're looking for you?\What should we do?\They'll suspect us even more if we were to hide our faces.\Saito-san, please put your arm around my shoulder.\You can go now.\Um... I think we're really standing out.\Keep playing with me. response:	But -
context: So, in other words, they're looking for you?\What should we do?\They'll suspect us even more if we were to hide our faces.\Saito-san, please put your arm around my shoulder.\You can go now.\Um... I think we're really standing out.\Keep playing with me.\But - response:	I'm in heaven.
context: What should we do?\They'll suspect us even more if we were to hide our faces.\Saito-san, please put your arm around my shoulder.\You can go now.\Um... I think we're really standing out.\Keep playing with me.\But -\I'm in heaven. response:	Search the other street!
context: They'll suspect us even more if we were to hide our faces.\Saito-san, please put your arm around my shoulder.\You can go now.\Um... I think we're really standing out.\Keep playing with me.\But -\I'm in heaven.\Search the other street! response:	Yeah!
context: Saito-san, please put your arm around my shoulder.\You can go now.\Um... I think we're really standing out.\Keep playing with me.\But -\I'm in heaven.\Search the other street!\Yeah! response:	Tell Lishman-dono that Agnes of Her Highness' Musketeer Force has arrived.
context: You can go now.\Um... I think we're really standing out.\Keep playing with me.\But -\I'm in heaven.\Search the other street!\Yeah!\Tell Lishman-dono that Agnes of Her Highness' Musketeer Force has arrived. response:	It's urgent news.
context: Um... I think we're really standing out.\Keep playing with me.\But -\I'm in heaven.\Search the other street!\Yeah!\Tell Lishman-dono that Agnes of Her Highness' Musketeer Force has arrived.\It's urgent news. response:	Please send me through.
context: Keep playing with me.\But -\I'm in heaven.\Search the other street!\Yeah!\Tell Lishman-dono that Agnes of Her Highness' Musketeer Force has arrived.\It's urgent news.\Please send me through. response:	Urgent news, you say?
context: But -\I'm in heaven.\Search the other street!\Yeah!\Tell Lishman-dono that Agnes of Her Highness' Musketeer Force has arrived.\It's urgent news.\Please send me through.\Urgent news, you say? response:	It must be an absolute emergency for the captain to come all the way to the Chair President of Legal Affair's house.
context: I'm in heaven.\Search the other street!\Yeah!\Tell Lishman-dono that Agnes of Her Highness' Musketeer Force has arrived.\It's urgent news.\Please send me through.\Urgent news, you say?\It must be an absolute emergency for the captain to come all the way to the Chair President of Legal Affair's house. response:	Her Highness has disappeared.
context: Search the other street!\Yeah!\Tell Lishman-dono that Agnes of Her Highness' Musketeer Force has arrived.\It's urgent news.\Please send me through.\Urgent news, you say?\It must be an absolute emergency for the captain to come all the way to the Chair President of Legal Affair's house.\Her Highness has disappeared. response:	What?
context: Yeah!\Tell Lishman-dono that Agnes of Her Highness' Musketeer Force has arrived.\It's urgent news.\Please send me through.\Urgent news, you say?\It must be an absolute emergency for the captain to come all the way to the Chair President of Legal Affair's house.\Her Highness has disappeared.\What? response:	Was she kidnapped?
context: Tell Lishman-dono that Agnes of Her Highness' Musketeer Force has arrived.\It's urgent news.\Please send me through.\Urgent news, you say?\It must be an absolute emergency for the captain to come all the way to the Chair President of Legal Affair's house.\Her Highness has disappeared.\What?\Was she kidnapped? response:	We're investigating.
context: It's urgent news.\Please send me through.\Urgent news, you say?\It must be an absolute emergency for the captain to come all the way to the Chair President of Legal Affair's house.\Her Highness has disappeared.\What?\Was she kidnapped?\We're investigating. response:	We just had a similar kidnapping case the other day.
context: Please send me through.\Urgent news, you say?\It must be an absolute emergency for the captain to come all the way to the Chair President of Legal Affair's house.\Her Highness has disappeared.\What?\Was she kidnapped?\We're investigating.\We just had a similar kidnapping case the other day. response:	Was your unit made to display incompetence?
context: Urgent news, you say?\It must be an absolute emergency for the captain to come all the way to the Chair President of Legal Affair's house.\Her Highness has disappeared.\What?\Was she kidnapped?\We're investigating.\We just had a similar kidnapping case the other day.\Was your unit made to display incompetence? response:	We are searching for her in order to not present ourselves as such.
context: It must be an absolute emergency for the captain to come all the way to the Chair President of Legal Affair's house.\Her Highness has disappeared.\What?\Was she kidnapped?\We're investigating.\We just had a similar kidnapping case the other day.\Was your unit made to display incompetence?\We are searching for her in order to not present ourselves as such. response:	We would like your permission to block off major roads and ports.
context: Her Highness has disappeared.\What?\Was she kidnapped?\We're investigating.\We just had a similar kidnapping case the other day.\Was your unit made to display incompetence?\We are searching for her in order to not present ourselves as such.\We would like your permission to block off major roads and ports. response:	Search for Her Highness with everything you've got.
context: What?\Was she kidnapped?\We're investigating.\We just had a similar kidnapping case the other day.\Was your unit made to display incompetence?\We are searching for her in order to not present ourselves as such.\We would like your permission to block off major roads and ports.\Search for Her Highness with everything you've got. response:	If you can't find her, by the name of Legal Affairs, I'll have you all.
context: Was she kidnapped?\We're investigating.\We just had a similar kidnapping case the other day.\Was your unit made to display incompetence?\We are searching for her in order to not present ourselves as such.\We would like your permission to block off major roads and ports.\Search for Her Highness with everything you've got.\If you can't find her, by the name of Legal Affairs, I'll have you all. response:	Yes, Sir!
context: We're investigating.\We just had a similar kidnapping case the other day.\Was your unit made to display incompetence?\We are searching for her in order to not present ourselves as such.\We would like your permission to block off major roads and ports.\Search for Her Highness with everything you've got.\If you can't find her, by the name of Legal Affairs, I'll have you all.\Yes, Sir! response:	Sir?
context: We just had a similar kidnapping case the other day.\Was your unit made to display incompetence?\We are searching for her in order to not present ourselves as such.\We would like your permission to block off major roads and ports.\Search for Her Highness with everything you've got.\If you can't find her, by the name of Legal Affairs, I'll have you all.\Yes, Sir!\Sir? response:	What?
context: Was your unit made to display incompetence?\We are searching for her in order to not present ourselves as such.\We would like your permission to block off major roads and ports.\Search for Her Highness with everything you've got.\If you can't find her, by the name of Legal Affairs, I'll have you all.\Yes, Sir!\Sir?\What? response:	I'm researching the case regarding the Protestants.
context: We are searching for her in order to not present ourselves as such.\We would like your permission to block off major roads and ports.\Search for Her Highness with everything you've got.\If you can't find her, by the name of Legal Affairs, I'll have you all.\Yes, Sir!\Sir?\What?\I'm researching the case regarding the Protestants. response:	I heard that you were involved in that case twenty years ago.
context: We would like your permission to block off major roads and ports.\Search for Her Highness with everything you've got.\If you can't find her, by the name of Legal Affairs, I'll have you all.\Yes, Sir!\Sir?\What?\I'm researching the case regarding the Protestants.\I heard that you were involved in that case twenty years ago. response:	You were the one who proposed the Massacre of Dungletale.
context: Search for Her Highness with everything you've got.\If you can't find her, by the name of Legal Affairs, I'll have you all.\Yes, Sir!\Sir?\What?\I'm researching the case regarding the Protestants.\I heard that you were involved in that case twenty years ago.\You were the one who proposed the Massacre of Dungletale. response:	Massacre?
context: If you can't find her, by the name of Legal Affairs, I'll have you all.\Yes, Sir!\Sir?\What?\I'm researching the case regarding the Protestants.\I heard that you were involved in that case twenty years ago.\You were the one who proposed the Massacre of Dungletale.\Massacre? response:	Don't make me the villain here.
context: Yes, Sir!\Sir?\What?\I'm researching the case regarding the Protestants.\I heard that you were involved in that case twenty years ago.\You were the one who proposed the Massacre of Dungletale.\Massacre?\Don't make me the villain here. response:	The people in the village were planning to overturn the country.
context: Sir?\What?\I'm researching the case regarding the Protestants.\I heard that you were involved in that case twenty years ago.\You were the one who proposed the Massacre of Dungletale.\Massacre?\Don't make me the villain here.\The people in the village were planning to overturn the country. response:	It was a justified mission of suppression.
context: What?\I'm researching the case regarding the Protestants.\I heard that you were involved in that case twenty years ago.\You were the one who proposed the Massacre of Dungletale.\Massacre?\Don't make me the villain here.\The people in the village were planning to overturn the country.\It was a justified mission of suppression. response:	Suppression. I see.
context: I'm researching the case regarding the Protestants.\I heard that you were involved in that case twenty years ago.\You were the one who proposed the Massacre of Dungletale.\Massacre?\Don't make me the villain here.\The people in the village were planning to overturn the country.\It was a justified mission of suppression.\Suppression. I see. response:	I'm searching for records of that instance, but I can't find them.
context: I heard that you were involved in that case twenty years ago.\You were the one who proposed the Massacre of Dungletale.\Massacre?\Don't make me the villain here.\The people in the village were planning to overturn the country.\It was a justified mission of suppression.\Suppression. I see.\I'm searching for records of that instance, but I can't find them. response:	You would know who the captain of that mission was, wouldn't you?
context: You were the one who proposed the Massacre of Dungletale.\Massacre?\Don't make me the villain here.\The people in the village were planning to overturn the country.\It was a justified mission of suppression.\Suppression. I see.\I'm searching for records of that instance, but I can't find them.\You would know who the captain of that mission was, wouldn't you? response:	I don't remember such a thing.
context: Massacre?\Don't make me the villain here.\The people in the village were planning to overturn the country.\It was a justified mission of suppression.\Suppression. I see.\I'm searching for records of that instance, but I can't find them.\You would know who the captain of that mission was, wouldn't you?\I don't remember such a thing. response:	Rather than what happened twenty years ago,
context: Don't make me the villain here.\The people in the village were planning to overturn the country.\It was a justified mission of suppression.\Suppression. I see.\I'm searching for records of that instance, but I can't find them.\You would know who the captain of that mission was, wouldn't you?\I don't remember such a thing.\Rather than what happened twenty years ago, response:	shouldn't you be prioritising the search for Her Highness?
context: The people in the village were planning to overturn the country.\It was a justified mission of suppression.\Suppression. I see.\I'm searching for records of that instance, but I can't find them.\You would know who the captain of that mission was, wouldn't you?\I don't remember such a thing.\Rather than what happened twenty years ago,\shouldn't you be prioritising the search for Her Highness? response:	Sorry to bother you.
context: It was a justified mission of suppression.\Suppression. I see.\I'm searching for records of that instance, but I can't find them.\You would know who the captain of that mission was, wouldn't you?\I don't remember such a thing.\Rather than what happened twenty years ago,\shouldn't you be prioritising the search for Her Highness?\Sorry to bother you. response:	Where did Saito go?
context: Suppression. I see.\I'm searching for records of that instance, but I can't find them.\You would know who the captain of that mission was, wouldn't you?\I don't remember such a thing.\Rather than what happened twenty years ago,\shouldn't you be prioritising the search for Her Highness?\Sorry to bother you.\Where did Saito go? response:	Is this room really acceptable for you?
context: I'm searching for records of that instance, but I can't find them.\You would know who the captain of that mission was, wouldn't you?\I don't remember such a thing.\Rather than what happened twenty years ago,\shouldn't you be prioritising the search for Her Highness?\Sorry to bother you.\Where did Saito go?\Is this room really acceptable for you? response:	Yes.
context: You would know who the captain of that mission was, wouldn't you?\I don't remember such a thing.\Rather than what happened twenty years ago,\shouldn't you be prioritising the search for Her Highness?\Sorry to bother you.\Where did Saito go?\Is this room really acceptable for you?\Yes. response:	But really, what horrible rain...
context: I don't remember such a thing.\Rather than what happened twenty years ago,\shouldn't you be prioritising the search for Her Highness?\Sorry to bother you.\Where did Saito go?\Is this room really acceptable for you?\Yes.\But really, what horrible rain... response:	Maybe it'll rain all night long at this rate...
context: Rather than what happened twenty years ago,\shouldn't you be prioritising the search for Her Highness?\Sorry to bother you.\Where did Saito go?\Is this room really acceptable for you?\Yes.\But really, what horrible rain...\Maybe it'll rain all night long at this rate... response:	Your Highness?
context: shouldn't you be prioritising the search for Her Highness?\Sorry to bother you.\Where did Saito go?\Is this room really acceptable for you?\Yes.\But really, what horrible rain...\Maybe it'll rain all night long at this rate...\Your Highness? response:	What's wrong?
context: Sorry to bother you.\Where did Saito go?\Is this room really acceptable for you?\Yes.\But really, what horrible rain...\Maybe it'll rain all night long at this rate...\Your Highness?\What's wrong? response:	I'm cold.
context: Where did Saito go?\Is this room really acceptable for you?\Yes.\But really, what horrible rain...\Maybe it'll rain all night long at this rate...\Your Highness?\What's wrong?\I'm cold. response:	Would you... hold my shoulders?
context: Is this room really acceptable for you?\Yes.\But really, what horrible rain...\Maybe it'll rain all night long at this rate...\Your Highness?\What's wrong?\I'm cold.\Would you... hold my shoulders? response:	She feels like ice...
context: Yes.\But really, what horrible rain...\Maybe it'll rain all night long at this rate...\Your Highness?\What's wrong?\I'm cold.\Would you... hold my shoulders?\She feels like ice... response:	Open up! We're from the castle!
context: But really, what horrible rain...\Maybe it'll rain all night long at this rate...\Your Highness?\What's wrong?\I'm cold.\Would you... hold my shoulders?\She feels like ice...\Open up! We're from the castle! response:	Your Highness!
context: Maybe it'll rain all night long at this rate...\Your Highness?\What's wrong?\I'm cold.\Would you... hold my shoulders?\She feels like ice...\Open up! We're from the castle!\Your Highness! response:	It's an emergency! We'll force it open if we must!
context: Your Highness?\What's wrong?\I'm cold.\Would you... hold my shoulders?\She feels like ice...\Open up! We're from the castle!\Your Highness!\It's an emergency! We'll force it open if we must! response:	We have no choice!
context: What's wrong?\I'm cold.\Would you... hold my shoulders?\She feels like ice...\Open up! We're from the castle!\Your Highness!\It's an emergency! We'll force it open if we must!\We have no choice! response:	Your Highness...
context: I'm cold.\Would you... hold my shoulders?\She feels like ice...\Open up! We're from the castle!\Your Highness!\It's an emergency! We'll force it open if we must!\We have no choice!\Your Highness... response:	Open up!
context: Would you... hold my shoulders?\She feels like ice...\Open up! We're from the castle!\Your Highness!\It's an emergency! We'll force it open if we must!\We have no choice!\Your Highness...\Open up! response:	Damn it, let's go.
context: She feels like ice...\Open up! We're from the castle!\Your Highness!\It's an emergency! We'll force it open if we must!\We have no choice!\Your Highness...\Open up!\Damn it, let's go. response:	Agnes?
context: Open up! We're from the castle!\Your Highness!\It's an emergency! We'll force it open if we must!\We have no choice!\Your Highness...\Open up!\Damn it, let's go.\Agnes? response:	It is you!
context: Your Highness!\It's an emergency! We'll force it open if we must!\We have no choice!\Your Highness...\Open up!\Damn it, let's go.\Agnes?\It is you! response:	What are you doing here?
context: It's an emergency! We'll force it open if we must!\We have no choice!\Your Highness...\Open up!\Damn it, let's go.\Agnes?\It is you!\What are you doing here? response:	There are so many soldiers out in the street, too.
context: We have no choice!\Your Highness...\Open up!\Damn it, let's go.\Agnes?\It is you!\What are you doing here?\There are so many soldiers out in the street, too. response:	What's going on?
context: Your Highness...\Open up!\Damn it, let's go.\Agnes?\It is you!\What are you doing here?\There are so many soldiers out in the street, too.\What's going on? response:	I don't have time to explain right now.
context: Open up!\Damn it, let's go.\Agnes?\It is you!\What are you doing here?\There are so many soldiers out in the street, too.\What's going on?\I don't have time to explain right now. response:	Come with me.
context: Damn it, let's go.\Agnes?\It is you!\What are you doing here?\There are so many soldiers out in the street, too.\What's going on?\I don't have time to explain right now.\Come with me. response:	Hey!
context: Agnes?\It is you!\What are you doing here?\There are so many soldiers out in the street, too.\What's going on?\I don't have time to explain right now.\Come with me.\Hey! response:	Let's go!
context: It is you!\What are you doing here?\There are so many soldiers out in the street, too.\What's going on?\I don't have time to explain right now.\Come with me.\Hey!\Let's go! response:	Hey, what's going on?
context: What are you doing here?\There are so many soldiers out in the street, too.\What's going on?\I don't have time to explain right now.\Come with me.\Hey!\Let's go!\Hey, what's going on? response:	Give me an explanation!
context: There are so many soldiers out in the street, too.\What's going on?\I don't have time to explain right now.\Come with me.\Hey!\Let's go!\Hey, what's going on?\Give me an explanation! response:	Be quiet.
context: What's going on?\I don't have time to explain right now.\Come with me.\Hey!\Let's go!\Hey, what's going on?\Give me an explanation!\Be quiet. response:	Master is waiting at the usual theatre.
context: I don't have time to explain right now.\Come with me.\Hey!\Let's go!\Hey, what's going on?\Give me an explanation!\Be quiet.\Master is waiting at the usual theatre. response:	Looks like the Queen has been kidnapped by someone.
context: Come with me.\Hey!\Let's go!\Hey, what's going on?\Give me an explanation!\Be quiet.\Master is waiting at the usual theatre.\Looks like the Queen has been kidnapped by someone. response:	What?!
context: Hey!\Let's go!\Hey, what's going on?\Give me an explanation!\Be quiet.\Master is waiting at the usual theatre.\Looks like the Queen has been kidnapped by someone.\What?! response:	What was that for?!
context: Let's go!\Hey, what's going on?\Give me an explanation!\Be quiet.\Master is waiting at the usual theatre.\Looks like the Queen has been kidnapped by someone.\What?!\What was that for?! response:	It's part of the mission!
context: Hey, what's going on?\Give me an explanation!\Be quiet.\Master is waiting at the usual theatre.\Looks like the Queen has been kidnapped by someone.\What?!\What was that for?!\It's part of the mission! response:	What mission?
context: Give me an explanation!\Be quiet.\Master is waiting at the usual theatre.\Looks like the Queen has been kidnapped by someone.\What?!\What was that for?!\It's part of the mission!\What mission? response:	Princess... what are we doing this for?
context: Be quiet.\Master is waiting at the usual theatre.\Looks like the Queen has been kidnapped by someone.\What?!\What was that for?!\It's part of the mission!\What mission?\Princess... what are we doing this for? response:	In order to lure out the traitor, we issued a false emergency stating that I went missing.
context: Master is waiting at the usual theatre.\Looks like the Queen has been kidnapped by someone.\What?!\What was that for?!\It's part of the mission!\What mission?\Princess... what are we doing this for?\In order to lure out the traitor, we issued a false emergency stating that I went missing. response:	However, they're unlikely to fall for misinformation so easily.
