context: Matsuoka Rin response:	Hello, everyone.
context: Hey! Put some more effort into it!\Nagisa, you're bending your knees too much.\You don't need such a powerful jump for a relay dive.\Makoto, your form is terrible!\You're not using your shoulders!\I'm glad that Goro-chan agreed to coach us,\but his training regimen is tough.\That's why everyone called him Goro the Demon. response:	Rei, if you can't coast into the wall, throw in one more kick!
context: Nagisa, you're bending your knees too much.\You don't need such a powerful jump for a relay dive.\Makoto, your form is terrible!\You're not using your shoulders!\I'm glad that Goro-chan agreed to coach us,\but his training regimen is tough.\That's why everyone called him Goro the Demon.\Rei, if you can't coast into the wall, throw in one more kick! response:	Not like that!
context: You don't need such a powerful jump for a relay dive.\Makoto, your form is terrible!\You're not using your shoulders!\I'm glad that Goro-chan agreed to coach us,\but his training regimen is tough.\That's why everyone called him Goro the Demon.\Rei, if you can't coast into the wall, throw in one more kick!\Not like that! response:	Haruka, watch your timing as you fall in!
context: Makoto, your form is terrible!\You're not using your shoulders!\I'm glad that Goro-chan agreed to coach us,\but his training regimen is tough.\That's why everyone called him Goro the Demon.\Rei, if you can't coast into the wall, throw in one more kick!\Not like that!\Haruka, watch your timing as you fall in! response:	No!
context: You're not using your shoulders!\I'm glad that Goro-chan agreed to coach us,\but his training regimen is tough.\That's why everyone called him Goro the Demon.\Rei, if you can't coast into the wall, throw in one more kick!\Not like that!\Haruka, watch your timing as you fall in!\No! response:	You have to watch Rei more closely!
context: I'm glad that Goro-chan agreed to coach us,\but his training regimen is tough.\That's why everyone called him Goro the Demon.\Rei, if you can't coast into the wall, throw in one more kick!\Not like that!\Haruka, watch your timing as you fall in!\No!\You have to watch Rei more closely! response:	Come on!
context: but his training regimen is tough.\That's why everyone called him Goro the Demon.\Rei, if you can't coast into the wall, throw in one more kick!\Not like that!\Haruka, watch your timing as you fall in!\No!\You have to watch Rei more closely!\Come on! response:	You guys don't know what you're doing.
context: That's why everyone called him Goro the Demon.\Rei, if you can't coast into the wall, throw in one more kick!\Not like that!\Haruka, watch your timing as you fall in!\No!\You have to watch Rei more closely!\Come on!\You guys don't know what you're doing. response:	You leave me no other choice.
context: Rei, if you can't coast into the wall, throw in one more kick!\Not like that!\Haruka, watch your timing as you fall in!\No!\You have to watch Rei more closely!\Come on!\You guys don't know what you're doing.\You leave me no other choice. response:	How do you like this?!
context: Not like that!\Haruka, watch your timing as you fall in!\No!\You have to watch Rei more closely!\Come on!\You guys don't know what you're doing.\You leave me no other choice.\How do you like this?! response:	I see.
context: Haruka, watch your timing as you fall in!\No!\You have to watch Rei more closely!\Come on!\You guys don't know what you're doing.\You leave me no other choice.\How do you like this?!\I see. response:	This lets them check their form from multiple angles.
context: No!\You have to watch Rei more closely!\Come on!\You guys don't know what you're doing.\You leave me no other choice.\How do you like this?!\I see.\This lets them check their form from multiple angles. response:	Haru-chan's being very proactive.
context: You have to watch Rei more closely!\Come on!\You guys don't know what you're doing.\You leave me no other choice.\How do you like this?!\I see.\This lets them check their form from multiple angles.\Haru-chan's being very proactive. response:	Yes, that's the way!
context: Come on!\You guys don't know what you're doing.\You leave me no other choice.\How do you like this?!\I see.\This lets them check their form from multiple angles.\Haru-chan's being very proactive.\Yes, that's the way! response:	What is it, Rei-chan?
context: You guys don't know what you're doing.\You leave me no other choice.\How do you like this?!\I see.\This lets them check their form from multiple angles.\Haru-chan's being very proactive.\Yes, that's the way!\What is it, Rei-chan? response:	His form may be perfect now,
context: You leave me no other choice.\How do you like this?!\I see.\This lets them check their form from multiple angles.\Haru-chan's being very proactive.\Yes, that's the way!\What is it, Rei-chan?\His form may be perfect now, response:	but this isn't the way I like to see Haruka-senpai swim.
context: How do you like this?!\I see.\This lets them check their form from multiple angles.\Haru-chan's being very proactive.\Yes, that's the way!\What is it, Rei-chan?\His form may be perfect now,\but this isn't the way I like to see Haruka-senpai swim. response:	It was more beautiful before.
context: I see.\This lets them check their form from multiple angles.\Haru-chan's being very proactive.\Yes, that's the way!\What is it, Rei-chan?\His form may be perfect now,\but this isn't the way I like to see Haruka-senpai swim.\It was more beautiful before. response:	Yeah, this place brings back memories.
context: This lets them check their form from multiple angles.\Haru-chan's being very proactive.\Yes, that's the way!\What is it, Rei-chan?\His form may be perfect now,\but this isn't the way I like to see Haruka-senpai swim.\It was more beautiful before.\Yeah, this place brings back memories. response:	The locker room hasn't changed one bit.
context: Haru-chan's being very proactive.\Yes, that's the way!\What is it, Rei-chan?\His form may be perfect now,\but this isn't the way I like to see Haruka-senpai swim.\It was more beautiful before.\Yeah, this place brings back memories.\The locker room hasn't changed one bit. response:	My message is still here!
context: Yes, that's the way!\What is it, Rei-chan?\His form may be perfect now,\but this isn't the way I like to see Haruka-senpai swim.\It was more beautiful before.\Yeah, this place brings back memories.\The locker room hasn't changed one bit.\My message is still here! response:	Forever Iwatobi!
context: What is it, Rei-chan?\His form may be perfect now,\but this isn't the way I like to see Haruka-senpai swim.\It was more beautiful before.\Yeah, this place brings back memories.\The locker room hasn't changed one bit.\My message is still here!\Forever Iwatobi! response:	Goro-chan, you spelled it wrong.
context: His form may be perfect now,\but this isn't the way I like to see Haruka-senpai swim.\It was more beautiful before.\Yeah, this place brings back memories.\The locker room hasn't changed one bit.\My message is still here!\Forever Iwatobi!\Goro-chan, you spelled it wrong. response:	I'm not that picky!
context: but this isn't the way I like to see Haruka-senpai swim.\It was more beautiful before.\Yeah, this place brings back memories.\The locker room hasn't changed one bit.\My message is still here!\Forever Iwatobi!\Goro-chan, you spelled it wrong.\I'm not that picky! response:	It doesn't affect his ability to coach.
context: It was more beautiful before.\Yeah, this place brings back memories.\The locker room hasn't changed one bit.\My message is still here!\Forever Iwatobi!\Goro-chan, you spelled it wrong.\I'm not that picky!\It doesn't affect his ability to coach. response:	That's true.
context: Yeah, this place brings back memories.\The locker room hasn't changed one bit.\My message is still here!\Forever Iwatobi!\Goro-chan, you spelled it wrong.\I'm not that picky!\It doesn't affect his ability to coach.\That's true. response:	Goro-chan's helped us improve our exchanges.
context: The locker room hasn't changed one bit.\My message is still here!\Forever Iwatobi!\Goro-chan, you spelled it wrong.\I'm not that picky!\It doesn't affect his ability to coach.\That's true.\Goro-chan's helped us improve our exchanges. response:	Yep.
context: My message is still here!\Forever Iwatobi!\Goro-chan, you spelled it wrong.\I'm not that picky!\It doesn't affect his ability to coach.\That's true.\Goro-chan's helped us improve our exchanges.\Yep. response:	Let's keep up the hard work,
context: Forever Iwatobi!\Goro-chan, you spelled it wrong.\I'm not that picky!\It doesn't affect his ability to coach.\That's true.\Goro-chan's helped us improve our exchanges.\Yep.\Let's keep up the hard work, response:	so we can face Rin again in the relay.
context: Goro-chan, you spelled it wrong.\I'm not that picky!\It doesn't affect his ability to coach.\That's true.\Goro-chan's helped us improve our exchanges.\Yep.\Let's keep up the hard work,\so we can face Rin again in the relay. response:	Yeah, that's the spirit!
context: I'm not that picky!\It doesn't affect his ability to coach.\That's true.\Goro-chan's helped us improve our exchanges.\Yep.\Let's keep up the hard work,\so we can face Rin again in the relay.\Yeah, that's the spirit! response:	Then it's time for me to get serious.
context: It doesn't affect his ability to coach.\That's true.\Goro-chan's helped us improve our exchanges.\Yep.\Let's keep up the hard work,\so we can face Rin again in the relay.\Yeah, that's the spirit!\Then it's time for me to get serious. response:	What?!
context: That's true.\Goro-chan's helped us improve our exchanges.\Yep.\Let's keep up the hard work,\so we can face Rin again in the relay.\Yeah, that's the spirit!\Then it's time for me to get serious.\What?! response:	I'll work you hard! Very hard!
context: Goro-chan's helped us improve our exchanges.\Yep.\Let's keep up the hard work,\so we can face Rin again in the relay.\Yeah, that's the spirit!\Then it's time for me to get serious.\What?!\I'll work you hard! Very hard! response:	What's wrong, Rei-chan?
context: Yep.\Let's keep up the hard work,\so we can face Rin again in the relay.\Yeah, that's the spirit!\Then it's time for me to get serious.\What?!\I'll work you hard! Very hard!\What's wrong, Rei-chan? response:	I don't understand.
context: Let's keep up the hard work,\so we can face Rin again in the relay.\Yeah, that's the spirit!\Then it's time for me to get serious.\What?!\I'll work you hard! Very hard!\What's wrong, Rei-chan?\I don't understand. response:	Don't understand what?
context: so we can face Rin again in the relay.\Yeah, that's the spirit!\Then it's time for me to get serious.\What?!\I'll work you hard! Very hard!\What's wrong, Rei-chan?\I don't understand.\Don't understand what? response:	Gou-san's brother.
context: Yeah, that's the spirit!\Then it's time for me to get serious.\What?!\I'll work you hard! Very hard!\What's wrong, Rei-chan?\I don't understand.\Don't understand what?\Gou-san's brother. response:	Why did he suddenly decide to swim the relay?
context: Then it's time for me to get serious.\What?!\I'll work you hard! Very hard!\What's wrong, Rei-chan?\I don't understand.\Don't understand what?\Gou-san's brother.\Why did he suddenly decide to swim the relay? response:	I'm not entirely sure,
context: What?!\I'll work you hard! Very hard!\What's wrong, Rei-chan?\I don't understand.\Don't understand what?\Gou-san's brother.\Why did he suddenly decide to swim the relay?\I'm not entirely sure, response:	but racing Rin-chan again has gotten Haru-chan motivated,
context: I'll work you hard! Very hard!\What's wrong, Rei-chan?\I don't understand.\Don't understand what?\Gou-san's brother.\Why did he suddenly decide to swim the relay?\I'm not entirely sure,\but racing Rin-chan again has gotten Haru-chan motivated, response:	so it's a good thing, right?
context: What's wrong, Rei-chan?\I don't understand.\Don't understand what?\Gou-san's brother.\Why did he suddenly decide to swim the relay?\I'm not entirely sure,\but racing Rin-chan again has gotten Haru-chan motivated,\so it's a good thing, right? response:	What if he loses again?
context: I don't understand.\Don't understand what?\Gou-san's brother.\Why did he suddenly decide to swim the relay?\I'm not entirely sure,\but racing Rin-chan again has gotten Haru-chan motivated,\so it's a good thing, right?\What if he loses again? response:	Winning isn't everything.
context: Don't understand what?\Gou-san's brother.\Why did he suddenly decide to swim the relay?\I'm not entirely sure,\but racing Rin-chan again has gotten Haru-chan motivated,\so it's a good thing, right?\What if he loses again?\Winning isn't everything. response:	You made me run around the summer festival
context: Gou-san's brother.\Why did he suddenly decide to swim the relay?\I'm not entirely sure,\but racing Rin-chan again has gotten Haru-chan motivated,\so it's a good thing, right?\What if he loses again?\Winning isn't everything.\You made me run around the summer festival response:	to make sure they wouldn't meet.
context: Why did he suddenly decide to swim the relay?\I'm not entirely sure,\but racing Rin-chan again has gotten Haru-chan motivated,\so it's a good thing, right?\What if he loses again?\Winning isn't everything.\You made me run around the summer festival\to make sure they wouldn't meet. response:	Detective Rei-chan did great work.
context: I'm not entirely sure,\but racing Rin-chan again has gotten Haru-chan motivated,\so it's a good thing, right?\What if he loses again?\Winning isn't everything.\You made me run around the summer festival\to make sure they wouldn't meet.\Detective Rei-chan did great work. response:	Stop joking around!
context: but racing Rin-chan again has gotten Haru-chan motivated,\so it's a good thing, right?\What if he loses again?\Winning isn't everything.\You made me run around the summer festival\to make sure they wouldn't meet.\Detective Rei-chan did great work.\Stop joking around! response:	Why does it matter who's swimming in their relay?
context: so it's a good thing, right?\What if he loses again?\Winning isn't everything.\You made me run around the summer festival\to make sure they wouldn't meet.\Detective Rei-chan did great work.\Stop joking around!\Why does it matter who's swimming in their relay? response:	Our goal is to make it to the nationals as the Iwatobi Swim Club.
context: What if he loses again?\Winning isn't everything.\You made me run around the summer festival\to make sure they wouldn't meet.\Detective Rei-chan did great work.\Stop joking around!\Why does it matter who's swimming in their relay?\Our goal is to make it to the nationals as the Iwatobi Swim Club. response:	I know.
context: Winning isn't everything.\You made me run around the summer festival\to make sure they wouldn't meet.\Detective Rei-chan did great work.\Stop joking around!\Why does it matter who's swimming in their relay?\Our goal is to make it to the nationals as the Iwatobi Swim Club.\I know. response:	But everybody keeps talking about Rin-chan.
context: You made me run around the summer festival\to make sure they wouldn't meet.\Detective Rei-chan did great work.\Stop joking around!\Why does it matter who's swimming in their relay?\Our goal is to make it to the nationals as the Iwatobi Swim Club.\I know.\But everybody keeps talking about Rin-chan. response:	I don't understand.
context: to make sure they wouldn't meet.\Detective Rei-chan did great work.\Stop joking around!\Why does it matter who's swimming in their relay?\Our goal is to make it to the nationals as the Iwatobi Swim Club.\I know.\But everybody keeps talking about Rin-chan.\I don't understand. response:	Sasabe
context: Detective Rei-chan did great work.\Stop joking around!\Why does it matter who's swimming in their relay?\Our goal is to make it to the nationals as the Iwatobi Swim Club.\I know.\But everybody keeps talking about Rin-chan.\I don't understand.\Sasabe response:	Excuse us!
context: Stop joking around!\Why does it matter who's swimming in their relay?\Our goal is to make it to the nationals as the Iwatobi Swim Club.\I know.\But everybody keeps talking about Rin-chan.\I don't understand.\Sasabe\Excuse us! response:	Oh, thanks for coming.
context: Why does it matter who's swimming in their relay?\Our goal is to make it to the nationals as the Iwatobi Swim Club.\I know.\But everybody keeps talking about Rin-chan.\I don't understand.\Sasabe\Excuse us!\Oh, thanks for coming. response:	Why are we having a hot pot in the middle of summer?
context: Our goal is to make it to the nationals as the Iwatobi Swim Club.\I know.\But everybody keeps talking about Rin-chan.\I don't understand.\Sasabe\Excuse us!\Oh, thanks for coming.\Why are we having a hot pot in the middle of summer? response:	Because that's what sports medicine recommends for swimmers.
context: I know.\But everybody keeps talking about Rin-chan.\I don't understand.\Sasabe\Excuse us!\Oh, thanks for coming.\Why are we having a hot pot in the middle of summer?\Because that's what sports medicine recommends for swimmers. response:	Hot...
context: But everybody keeps talking about Rin-chan.\I don't understand.\Sasabe\Excuse us!\Oh, thanks for coming.\Why are we having a hot pot in the middle of summer?\Because that's what sports medicine recommends for swimmers.\Hot... response:	This is my special Sasabe Hot Pot,
context: I don't understand.\Sasabe\Excuse us!\Oh, thanks for coming.\Why are we having a hot pot in the middle of summer?\Because that's what sports medicine recommends for swimmers.\Hot...\This is my special Sasabe Hot Pot, response:	with plenty of protein and minerals.
context: Sasabe\Excuse us!\Oh, thanks for coming.\Why are we having a hot pot in the middle of summer?\Because that's what sports medicine recommends for swimmers.\Hot...\This is my special Sasabe Hot Pot,\with plenty of protein and minerals. response:	Can you at least turn on the air conditioning?
context: Excuse us!\Oh, thanks for coming.\Why are we having a hot pot in the middle of summer?\Because that's what sports medicine recommends for swimmers.\Hot...\This is my special Sasabe Hot Pot,\with plenty of protein and minerals.\Can you at least turn on the air conditioning? response:	No such thing.
context: Oh, thanks for coming.\Why are we having a hot pot in the middle of summer?\Because that's what sports medicine recommends for swimmers.\Hot...\This is my special Sasabe Hot Pot,\with plenty of protein and minerals.\Can you at least turn on the air conditioning?\No such thing. response:	Can we not do this?
context: Why are we having a hot pot in the middle of summer?\Because that's what sports medicine recommends for swimmers.\Hot...\This is my special Sasabe Hot Pot,\with plenty of protein and minerals.\Can you at least turn on the air conditioning?\No such thing.\Can we not do this? response:	Why would you say that?
context: Because that's what sports medicine recommends for swimmers.\Hot...\This is my special Sasabe Hot Pot,\with plenty of protein and minerals.\Can you at least turn on the air conditioning?\No such thing.\Can we not do this?\Why would you say that? response:	I promise that it's good, so dig in.
context: Hot...\This is my special Sasabe Hot Pot,\with plenty of protein and minerals.\Can you at least turn on the air conditioning?\No such thing.\Can we not do this?\Why would you say that?\I promise that it's good, so dig in. response:	Wow, it really is good!
context: This is my special Sasabe Hot Pot,\with plenty of protein and minerals.\Can you at least turn on the air conditioning?\No such thing.\Can we not do this?\Why would you say that?\I promise that it's good, so dig in.\Wow, it really is good! response:	See? We came up with this when I was in the swim club.
context: with plenty of protein and minerals.\Can you at least turn on the air conditioning?\No such thing.\Can we not do this?\Why would you say that?\I promise that it's good, so dig in.\Wow, it really is good!\See? We came up with this when I was in the swim club. response:	Oh, this is a tomato hot pot.
context: Can you at least turn on the air conditioning?\No such thing.\Can we not do this?\Why would you say that?\I promise that it's good, so dig in.\Wow, it really is good!\See? We came up with this when I was in the swim club.\Oh, this is a tomato hot pot. response:	Right, you're a former Iwatobi Swim Club member, aren't you, Sasabe-san?
context: No such thing.\Can we not do this?\Why would you say that?\I promise that it's good, so dig in.\Wow, it really is good!\See? We came up with this when I was in the swim club.\Oh, this is a tomato hot pot.\Right, you're a former Iwatobi Swim Club member, aren't you, Sasabe-san? response:	Yes, and I was the last swim club member.
context: Can we not do this?\Why would you say that?\I promise that it's good, so dig in.\Wow, it really is good!\See? We came up with this when I was in the swim club.\Oh, this is a tomato hot pot.\Right, you're a former Iwatobi Swim Club member, aren't you, Sasabe-san?\Yes, and I was the last swim club member. response:	This really works up a sweat.
context: Why would you say that?\I promise that it's good, so dig in.\Wow, it really is good!\See? We came up with this when I was in the swim club.\Oh, this is a tomato hot pot.\Right, you're a former Iwatobi Swim Club member, aren't you, Sasabe-san?\Yes, and I was the last swim club member.\This really works up a sweat. response:	We couldn't find any new members
context: I promise that it's good, so dig in.\Wow, it really is good!\See? We came up with this when I was in the swim club.\Oh, this is a tomato hot pot.\Right, you're a former Iwatobi Swim Club member, aren't you, Sasabe-san?\Yes, and I was the last swim club member.\This really works up a sweat.\We couldn't find any new members response:	so it was abolished after I graduated.
context: Wow, it really is good!\See? We came up with this when I was in the swim club.\Oh, this is a tomato hot pot.\Right, you're a former Iwatobi Swim Club member, aren't you, Sasabe-san?\Yes, and I was the last swim club member.\This really works up a sweat.\We couldn't find any new members\so it was abolished after I graduated. response:	We brought the swim club back,
context: See? We came up with this when I was in the swim club.\Oh, this is a tomato hot pot.\Right, you're a former Iwatobi Swim Club member, aren't you, Sasabe-san?\Yes, and I was the last swim club member.\This really works up a sweat.\We couldn't find any new members\so it was abolished after I graduated.\We brought the swim club back, response:	so you should have been coaching us earlier.
context: Oh, this is a tomato hot pot.\Right, you're a former Iwatobi Swim Club member, aren't you, Sasabe-san?\Yes, and I was the last swim club member.\This really works up a sweat.\We couldn't find any new members\so it was abolished after I graduated.\We brought the swim club back,\so you should have been coaching us earlier. response:	Hey!
context: Right, you're a former Iwatobi Swim Club member, aren't you, Sasabe-san?\Yes, and I was the last swim club member.\This really works up a sweat.\We couldn't find any new members\so it was abolished after I graduated.\We brought the swim club back,\so you should have been coaching us earlier.\Hey! response:	I was busy with my pizza delivery job.
context: Yes, and I was the last swim club member.\This really works up a sweat.\We couldn't find any new members\so it was abolished after I graduated.\We brought the swim club back,\so you should have been coaching us earlier.\Hey!\I was busy with my pizza delivery job. response:	Here, there's rice inside.
context: This really works up a sweat.\We couldn't find any new members\so it was abolished after I graduated.\We brought the swim club back,\so you should have been coaching us earlier.\Hey!\I was busy with my pizza delivery job.\Here, there's rice inside. response:	Give it to me!
context: We couldn't find any new members\so it was abolished after I graduated.\We brought the swim club back,\so you should have been coaching us earlier.\Hey!\I was busy with my pizza delivery job.\Here, there's rice inside.\Give it to me! response:	Sorry, you okay?
context: so it was abolished after I graduated.\We brought the swim club back,\so you should have been coaching us earlier.\Hey!\I was busy with my pizza delivery job.\Here, there's rice inside.\Give it to me!\Sorry, you okay? response:	Oh, no.
context: We brought the swim club back,\so you should have been coaching us earlier.\Hey!\I was busy with my pizza delivery job.\Here, there's rice inside.\Give it to me!\Sorry, you okay?\Oh, no. response:	What are these?
context: so you should have been coaching us earlier.\Hey!\I was busy with my pizza delivery job.\Here, there's rice inside.\Give it to me!\Sorry, you okay?\Oh, no.\What are these? response:	Really old magazines?
context: Hey!\I was busy with my pizza delivery job.\Here, there's rice inside.\Give it to me!\Sorry, you okay?\Oh, no.\What are these?\Really old magazines? response:	Oh, it's okay.
context: I was busy with my pizza delivery job.\Here, there's rice inside.\Give it to me!\Sorry, you okay?\Oh, no.\What are these?\Really old magazines?\Oh, it's okay. response:	I'll clean it up.
context: Here, there's rice inside.\Give it to me!\Sorry, you okay?\Oh, no.\What are these?\Really old magazines?\Oh, it's okay.\I'll clean it up. response:	Water Fairy Marin
context: Give it to me!\Sorry, you okay?\Oh, no.\What are these?\Really old magazines?\Oh, it's okay.\I'll clean it up.\Water Fairy Marin response:	Coach Sasabe,
context: Sorry, you okay?\Oh, no.\What are these?\Really old magazines?\Oh, it's okay.\I'll clean it up.\Water Fairy Marin\Coach Sasabe, response:	are you the type who doesn't like to throw this stuff away?
context: Oh, no.\What are these?\Really old magazines?\Oh, it's okay.\I'll clean it up.\Water Fairy Marin\Coach Sasabe,\are you the type who doesn't like to throw this stuff away? response:	Here you go, Sasabe-san.
context: What are these?\Really old magazines?\Oh, it's okay.\I'll clean it up.\Water Fairy Marin\Coach Sasabe,\are you the type who doesn't like to throw this stuff away?\Here you go, Sasabe-san. response:	Ma
context: Really old magazines?\Oh, it's okay.\I'll clean it up.\Water Fairy Marin\Coach Sasabe,\are you the type who doesn't like to throw this stuff away?\Here you go, Sasabe-san.\Ma response:	Marin-chan...
context: Oh, it's okay.\I'll clean it up.\Water Fairy Marin\Coach Sasabe,\are you the type who doesn't like to throw this stuff away?\Here you go, Sasabe-san.\Ma\Marin-chan... response:	The crab's on fire!
context: I'll clean it up.\Water Fairy Marin\Coach Sasabe,\are you the type who doesn't like to throw this stuff away?\Here you go, Sasabe-san.\Ma\Marin-chan...\The crab's on fire! response:	It's lit now!
context: Water Fairy Marin\Coach Sasabe,\are you the type who doesn't like to throw this stuff away?\Here you go, Sasabe-san.\Ma\Marin-chan...\The crab's on fire!\It's lit now! response:	Look, Rei-chan!
context: Coach Sasabe,\are you the type who doesn't like to throw this stuff away?\Here you go, Sasabe-san.\Ma\Marin-chan...\The crab's on fire!\It's lit now!\Look, Rei-chan! response:	Don't point that at me!
context: are you the type who doesn't like to throw this stuff away?\Here you go, Sasabe-san.\Ma\Marin-chan...\The crab's on fire!\It's lit now!\Look, Rei-chan!\Don't point that at me! response:	I haven't done fireworks in a long time.
context: Here you go, Sasabe-san.\Ma\Marin-chan...\The crab's on fire!\It's lit now!\Look, Rei-chan!\Don't point that at me!\I haven't done fireworks in a long time. response:	Me neither.
context: Ma\Marin-chan...\The crab's on fire!\It's lit now!\Look, Rei-chan!\Don't point that at me!\I haven't done fireworks in a long time.\Me neither. response:	I-I was told that your previous job involved swimsuits,
context: Marin-chan...\The crab's on fire!\It's lit now!\Look, Rei-chan!\Don't point that at me!\I haven't done fireworks in a long time.\Me neither.\I-I was told that your previous job involved swimsuits, response:	but I never thought...
context: The crab's on fire!\It's lit now!\Look, Rei-chan!\Don't point that at me!\I haven't done fireworks in a long time.\Me neither.\I-I was told that your previous job involved swimsuits,\but I never thought... response:	No wonder you looked so familiar.
context: It's lit now!\Look, Rei-chan!\Don't point that at me!\I haven't done fireworks in a long time.\Me neither.\I-I was told that your previous job involved swimsuits,\but I never thought...\No wonder you looked so familiar. response:	I-I was a big fan, Marin-cha
context: Look, Rei-chan!\Don't point that at me!\I haven't done fireworks in a long time.\Me neither.\I-I was told that your previous job involved swimsuits,\but I never thought...\No wonder you looked so familiar.\I-I was a big fan, Marin-cha response:	Not another word on that topic.
context: Don't point that at me!\I haven't done fireworks in a long time.\Me neither.\I-I was told that your previous job involved swimsuits,\but I never thought...\No wonder you looked so familiar.\I-I was a big fan, Marin-cha\Not another word on that topic. response:	I'm sure you understand.
context: I haven't done fireworks in a long time.\Me neither.\I-I was told that your previous job involved swimsuits,\but I never thought...\No wonder you looked so familiar.\I-I was a big fan, Marin-cha\Not another word on that topic.\I'm sure you understand. response:	Y-Yes.
context: Me neither.\I-I was told that your previous job involved swimsuits,\but I never thought...\No wonder you looked so familiar.\I-I was a big fan, Marin-cha\Not another word on that topic.\I'm sure you understand.\Y-Yes. response:	What's this, Coach Sasabe?
context: I-I was told that your previous job involved swimsuits,\but I never thought...\No wonder you looked so familiar.\I-I was a big fan, Marin-cha\Not another word on that topic.\I'm sure you understand.\Y-Yes.\What's this, Coach Sasabe? response:	Huh? Huh? What's up?
context: but I never thought...\No wonder you looked so familiar.\I-I was a big fan, Marin-cha\Not another word on that topic.\I'm sure you understand.\Y-Yes.\What's this, Coach Sasabe?\Huh? Huh? What's up? response:	Did you find something?
context: No wonder you looked so familiar.\I-I was a big fan, Marin-cha\Not another word on that topic.\I'm sure you understand.\Y-Yes.\What's this, Coach Sasabe?\Huh? Huh? What's up?\Did you find something? response:	Hey, don't snoop around!
context: I-I was a big fan, Marin-cha\Not another word on that topic.\I'm sure you understand.\Y-Yes.\What's this, Coach Sasabe?\Huh? Huh? What's up?\Did you find something?\Hey, don't snoop around! response:	Wait, Matsuoka-san!
context: Not another word on that topic.\I'm sure you understand.\Y-Yes.\What's this, Coach Sasabe?\Huh? Huh? What's up?\Did you find something?\Hey, don't snoop around!\Wait, Matsuoka-san! response:	It's a photo album of the swimming club.
context: I'm sure you understand.\Y-Yes.\What's this, Coach Sasabe?\Huh? Huh? What's up?\Did you find something?\Hey, don't snoop around!\Wait, Matsuoka-san!\It's a photo album of the swimming club. response:	Oh!
context: Y-Yes.\What's this, Coach Sasabe?\Huh? Huh? What's up?\Did you find something?\Hey, don't snoop around!\Wait, Matsuoka-san!\It's a photo album of the swimming club.\Oh! response:	These bring back memories!
context: What's this, Coach Sasabe?\Huh? Huh? What's up?\Did you find something?\Hey, don't snoop around!\Wait, Matsuoka-san!\It's a photo album of the swimming club.\Oh!\These bring back memories! response:	There's Gou-chan!
context: Huh? Huh? What's up?\Did you find something?\Hey, don't snoop around!\Wait, Matsuoka-san!\It's a photo album of the swimming club.\Oh!\These bring back memories!\There's Gou-chan! response:	This is when we had a barbeque behind the club.
context: Did you find something?\Hey, don't snoop around!\Wait, Matsuoka-san!\It's a photo album of the swimming club.\Oh!\These bring back memories!\There's Gou-chan!\This is when we had a barbeque behind the club. response:	What? Nobody told me about that.
context: Hey, don't snoop around!\Wait, Matsuoka-san!\It's a photo album of the swimming club.\Oh!\These bring back memories!\There's Gou-chan!\This is when we had a barbeque behind the club.\What? Nobody told me about that. response:	It was before Rin-chan transferred.
context: Wait, Matsuoka-san!\It's a photo album of the swimming club.\Oh!\These bring back memories!\There's Gou-chan!\This is when we had a barbeque behind the club.\What? Nobody told me about that.\It was before Rin-chan transferred. response:	Nanase-kun looked so mature even then.
context: It's a photo album of the swimming club.\Oh!\These bring back memories!\There's Gou-chan!\This is when we had a barbeque behind the club.\What? Nobody told me about that.\It was before Rin-chan transferred.\Nanase-kun looked so mature even then. response:	You're supposed to smile for pictures.
context: Oh!\These bring back memories!\There's Gou-chan!\This is when we had a barbeque behind the club.\What? Nobody told me about that.\It was before Rin-chan transferred.\Nanase-kun looked so mature even then.\You're supposed to smile for pictures. response:	Haru-chan is always smiling on the inside.
context: These bring back memories!\There's Gou-chan!\This is when we had a barbeque behind the club.\What? Nobody told me about that.\It was before Rin-chan transferred.\Nanase-kun looked so mature even then.\You're supposed to smile for pictures.\Haru-chan is always smiling on the inside. response:	This is from the summer tournament when we were in fifth grade.
context: There's Gou-chan!\This is when we had a barbeque behind the club.\What? Nobody told me about that.\It was before Rin-chan transferred.\Nanase-kun looked so mature even then.\You're supposed to smile for pictures.\Haru-chan is always smiling on the inside.\This is from the summer tournament when we were in fifth grade. response:	Award
context: This is when we had a barbeque behind the club.\What? Nobody told me about that.\It was before Rin-chan transferred.\Nanase-kun looked so mature even then.\You're supposed to smile for pictures.\Haru-chan is always smiling on the inside.\This is from the summer tournament when we were in fifth grade.\Award response:	1st Place
context: What? Nobody told me about that.\It was before Rin-chan transferred.\Nanase-kun looked so mature even then.\You're supposed to smile for pictures.\Haru-chan is always smiling on the inside.\This is from the summer tournament when we were in fifth grade.\Award\1st Place response:	Haru-chan won then too, didn't he?
context: It was before Rin-chan transferred.\Nanase-kun looked so mature even then.\You're supposed to smile for pictures.\Haru-chan is always smiling on the inside.\This is from the summer tournament when we were in fifth grade.\Award\1st Place\Haru-chan won then too, didn't he? response:	Huh?
context: Nanase-kun looked so mature even then.\You're supposed to smile for pictures.\Haru-chan is always smiling on the inside.\This is from the summer tournament when we were in fifth grade.\Award\1st Place\Haru-chan won then too, didn't he?\Huh? response:	Is that my brother?
