context: Happily, painfully... You're shining. response:	Glittering, shimmering...
context: They're afraid of us because they can't sign contracts,\which makes sense.\An existence with newly acquired powers has emerged.\An existence fit to establish a new world order.\Is that part of Amber's manifesto?\Amber wouldn't say something like that.\I was told that the tragedy that took place in South America had to be repeated in this city.\Why? response:	I don't know,
context: which makes sense.\An existence with newly acquired powers has emerged.\An existence fit to establish a new world order.\Is that part of Amber's manifesto?\Amber wouldn't say something like that.\I was told that the tragedy that took place in South America had to be repeated in this city.\Why?\I don't know, response:	but it must be important since Amber was the one who said it.
context: An existence with newly acquired powers has emerged.\An existence fit to establish a new world order.\Is that part of Amber's manifesto?\Amber wouldn't say something like that.\I was told that the tragedy that took place in South America had to be repeated in this city.\Why?\I don't know,\but it must be important since Amber was the one who said it. response:	You'd probably understand.
context: An existence fit to establish a new world order.\Is that part of Amber's manifesto?\Amber wouldn't say something like that.\I was told that the tragedy that took place in South America had to be repeated in this city.\Why?\I don't know,\but it must be important since Amber was the one who said it.\You'd probably understand. response:	The reason for our group's conception and course of action.
context: Is that part of Amber's manifesto?\Amber wouldn't say something like that.\I was told that the tragedy that took place in South America had to be repeated in this city.\Why?\I don't know,\but it must be important since Amber was the one who said it.\You'd probably understand.\The reason for our group's conception and course of action. response:	We, the Evening Primrose, invite you.
context: Amber wouldn't say something like that.\I was told that the tragedy that took place in South America had to be repeated in this city.\Why?\I don't know,\but it must be important since Amber was the one who said it.\You'd probably understand.\The reason for our group's conception and course of action.\We, the Evening Primrose, invite you. response:	Come with us.
context: I was told that the tragedy that took place in South America had to be repeated in this city.\Why?\I don't know,\but it must be important since Amber was the one who said it.\You'd probably understand.\The reason for our group's conception and course of action.\We, the Evening Primrose, invite you.\Come with us. response:	What kind of benefits do I receive if I join your little club?
context: Why?\I don't know,\but it must be important since Amber was the one who said it.\You'd probably understand.\The reason for our group's conception and course of action.\We, the Evening Primrose, invite you.\Come with us.\What kind of benefits do I receive if I join your little club? response:	The future.
context: I don't know,\but it must be important since Amber was the one who said it.\You'd probably understand.\The reason for our group's conception and course of action.\We, the Evening Primrose, invite you.\Come with us.\What kind of benefits do I receive if I join your little club?\The future. response:	In your situation, you don't have much of a choice.
context: but it must be important since Amber was the one who said it.\You'd probably understand.\The reason for our group's conception and course of action.\We, the Evening Primrose, invite you.\Come with us.\What kind of benefits do I receive if I join your little club?\The future.\In your situation, you don't have much of a choice. response:	Decide rationally, November 11.
context: You'd probably understand.\The reason for our group's conception and course of action.\We, the Evening Primrose, invite you.\Come with us.\What kind of benefits do I receive if I join your little club?\The future.\In your situation, you don't have much of a choice.\Decide rationally, November 11. response:	Oh, pardon me. I just remembered saying the same thing to a certain contractor.
context: The reason for our group's conception and course of action.\We, the Evening Primrose, invite you.\Come with us.\What kind of benefits do I receive if I join your little club?\The future.\In your situation, you don't have much of a choice.\Decide rationally, November 11.\Oh, pardon me. I just remembered saying the same thing to a certain contractor. response:	What do you think he did?
context: We, the Evening Primrose, invite you.\Come with us.\What kind of benefits do I receive if I join your little club?\The future.\In your situation, you don't have much of a choice.\Decide rationally, November 11.\Oh, pardon me. I just remembered saying the same thing to a certain contractor.\What do you think he did? response:	He attacked me with everything he had,
context: Come with us.\What kind of benefits do I receive if I join your little club?\The future.\In your situation, you don't have much of a choice.\Decide rationally, November 11.\Oh, pardon me. I just remembered saying the same thing to a certain contractor.\What do you think he did?\He attacked me with everything he had, response:	even though he only had a slight chance to win.
context: What kind of benefits do I receive if I join your little club?\The future.\In your situation, you don't have much of a choice.\Decide rationally, November 11.\Oh, pardon me. I just remembered saying the same thing to a certain contractor.\What do you think he did?\He attacked me with everything he had,\even though he only had a slight chance to win. response:	I couldn't rationalize why a contractor like that would exist.
context: The future.\In your situation, you don't have much of a choice.\Decide rationally, November 11.\Oh, pardon me. I just remembered saying the same thing to a certain contractor.\What do you think he did?\He attacked me with everything he had,\even though he only had a slight chance to win.\I couldn't rationalize why a contractor like that would exist. response:	His train of thought and principles of life... The more I thought about it, the more I became confused.
context: In your situation, you don't have much of a choice.\Decide rationally, November 11.\Oh, pardon me. I just remembered saying the same thing to a certain contractor.\What do you think he did?\He attacked me with everything he had,\even though he only had a slight chance to win.\I couldn't rationalize why a contractor like that would exist.\His train of thought and principles of life... The more I thought about it, the more I became confused. response:	How touching. Are you going to follow his example?
context: Decide rationally, November 11.\Oh, pardon me. I just remembered saying the same thing to a certain contractor.\What do you think he did?\He attacked me with everything he had,\even though he only had a slight chance to win.\I couldn't rationalize why a contractor like that would exist.\His train of thought and principles of life... The more I thought about it, the more I became confused.\How touching. Are you going to follow his example? response:	No, I take pride in being a contractor.
context: Oh, pardon me. I just remembered saying the same thing to a certain contractor.\What do you think he did?\He attacked me with everything he had,\even though he only had a slight chance to win.\I couldn't rationalize why a contractor like that would exist.\His train of thought and principles of life... The more I thought about it, the more I became confused.\How touching. Are you going to follow his example?\No, I take pride in being a contractor. response:	That's why I've come to a rational decision.
context: What do you think he did?\He attacked me with everything he had,\even though he only had a slight chance to win.\I couldn't rationalize why a contractor like that would exist.\His train of thought and principles of life... The more I thought about it, the more I became confused.\How touching. Are you going to follow his example?\No, I take pride in being a contractor.\That's why I've come to a rational decision. response:	What's that?
context: He attacked me with everything he had,\even though he only had a slight chance to win.\I couldn't rationalize why a contractor like that would exist.\His train of thought and principles of life... The more I thought about it, the more I became confused.\How touching. Are you going to follow his example?\No, I take pride in being a contractor.\That's why I've come to a rational decision.\What's that? response:	I refuse.
context: even though he only had a slight chance to win.\I couldn't rationalize why a contractor like that would exist.\His train of thought and principles of life... The more I thought about it, the more I became confused.\How touching. Are you going to follow his example?\No, I take pride in being a contractor.\That's why I've come to a rational decision.\What's that?\I refuse. response:	Freeze! Don't move!
context: I couldn't rationalize why a contractor like that would exist.\His train of thought and principles of life... The more I thought about it, the more I became confused.\How touching. Are you going to follow his example?\No, I take pride in being a contractor.\That's why I've come to a rational decision.\What's that?\I refuse.\Freeze! Don't move! response:	Slowly put your hands behind your head.
context: His train of thought and principles of life... The more I thought about it, the more I became confused.\How touching. Are you going to follow his example?\No, I take pride in being a contractor.\That's why I've come to a rational decision.\What's that?\I refuse.\Freeze! Don't move!\Slowly put your hands behind your head. response:	You're like a knight in shining armor, Misaki.
context: How touching. Are you going to follow his example?\No, I take pride in being a contractor.\That's why I've come to a rational decision.\What's that?\I refuse.\Freeze! Don't move!\Slowly put your hands behind your head.\You're like a knight in shining armor, Misaki. response:	Who are they?
context: No, I take pride in being a contractor.\That's why I've come to a rational decision.\What's that?\I refuse.\Freeze! Don't move!\Slowly put your hands behind your head.\You're like a knight in shining armor, Misaki.\Who are they? response:	The ones responsible for the explosions.
context: That's why I've come to a rational decision.\What's that?\I refuse.\Freeze! Don't move!\Slowly put your hands behind your head.\You're like a knight in shining armor, Misaki.\Who are they?\The ones responsible for the explosions. response:	I'm glad you're not hurt.
context: What's that?\I refuse.\Freeze! Don't move!\Slowly put your hands behind your head.\You're like a knight in shining armor, Misaki.\Who are they?\The ones responsible for the explosions.\I'm glad you're not hurt. response:	Your partner led me here.
context: I refuse.\Freeze! Don't move!\Slowly put your hands behind your head.\You're like a knight in shining armor, Misaki.\Who are they?\The ones responsible for the explosions.\I'm glad you're not hurt.\Your partner led me here. response:	Partner?
context: Freeze! Don't move!\Slowly put your hands behind your head.\You're like a knight in shining armor, Misaki.\Who are they?\The ones responsible for the explosions.\I'm glad you're not hurt.\Your partner led me here.\Partner? response:	Yes, July-kun.
context: Slowly put your hands behind your head.\You're like a knight in shining armor, Misaki.\Who are they?\The ones responsible for the explosions.\I'm glad you're not hurt.\Your partner led me here.\Partner?\Yes, July-kun. response:	You'll definitely come to us.
context: You're like a knight in shining armor, Misaki.\Who are they?\The ones responsible for the explosions.\I'm glad you're not hurt.\Your partner led me here.\Partner?\Yes, July-kun.\You'll definitely come to us. response:	You'll definitely seek us out.
context: Who are they?\The ones responsible for the explosions.\I'm glad you're not hurt.\Your partner led me here.\Partner?\Yes, July-kun.\You'll definitely come to us.\You'll definitely seek us out. response:	Shining across the Milky Way... Yearning, yet distraught.
context: The ones responsible for the explosions.\I'm glad you're not hurt.\Your partner led me here.\Partner?\Yes, July-kun.\You'll definitely come to us.\You'll definitely seek us out.\Shining across the Milky Way... Yearning, yet distraught. response:	If that is what fate has decided, I will not hinder you.
context: I'm glad you're not hurt.\Your partner led me here.\Partner?\Yes, July-kun.\You'll definitely come to us.\You'll definitely seek us out.\Shining across the Milky Way... Yearning, yet distraught.\If that is what fate has decided, I will not hinder you. response:	Nobody will.
context: Your partner led me here.\Partner?\Yes, July-kun.\You'll definitely come to us.\You'll definitely seek us out.\Shining across the Milky Way... Yearning, yet distraught.\If that is what fate has decided, I will not hinder you.\Nobody will. response:	I couldn't make him join us.
context: Partner?\Yes, July-kun.\You'll definitely come to us.\You'll definitely seek us out.\Shining across the Milky Way... Yearning, yet distraught.\If that is what fate has decided, I will not hinder you.\Nobody will.\I couldn't make him join us. response:	I have to apologize.
context: Yes, July-kun.\You'll definitely come to us.\You'll definitely seek us out.\Shining across the Milky Way... Yearning, yet distraught.\If that is what fate has decided, I will not hinder you.\Nobody will.\I couldn't make him join us.\I have to apologize. response:	Where is Amber?
context: You'll definitely come to us.\You'll definitely seek us out.\Shining across the Milky Way... Yearning, yet distraught.\If that is what fate has decided, I will not hinder you.\Nobody will.\I couldn't make him join us.\I have to apologize.\Where is Amber? response:	I already told you. She's waiting for the final key.
context: You'll definitely seek us out.\Shining across the Milky Way... Yearning, yet distraught.\If that is what fate has decided, I will not hinder you.\Nobody will.\I couldn't make him join us.\I have to apologize.\Where is Amber?\I already told you. She's waiting for the final key. response:	Who could she be waiting for while leaving me behind?
context: Shining across the Milky Way... Yearning, yet distraught.\If that is what fate has decided, I will not hinder you.\Nobody will.\I couldn't make him join us.\I have to apologize.\Where is Amber?\I already told you. She's waiting for the final key.\Who could she be waiting for while leaving me behind? response:	Is it someone that important?
context: If that is what fate has decided, I will not hinder you.\Nobody will.\I couldn't make him join us.\I have to apologize.\Where is Amber?\I already told you. She's waiting for the final key.\Who could she be waiting for while leaving me behind?\Is it someone that important? response:	Maybe...
context: Nobody will.\I couldn't make him join us.\I have to apologize.\Where is Amber?\I already told you. She's waiting for the final key.\Who could she be waiting for while leaving me behind?\Is it someone that important?\Maybe... response:	There's no need for you to know.
context: I couldn't make him join us.\I have to apologize.\Where is Amber?\I already told you. She's waiting for the final key.\Who could she be waiting for while leaving me behind?\Is it someone that important?\Maybe...\There's no need for you to know. response:	Tell me!
context: I have to apologize.\Where is Amber?\I already told you. She's waiting for the final key.\Who could she be waiting for while leaving me behind?\Is it someone that important?\Maybe...\There's no need for you to know.\Tell me! response:	I'll tell her what happened.
context: Where is Amber?\I already told you. She's waiting for the final key.\Who could she be waiting for while leaving me behind?\Is it someone that important?\Maybe...\There's no need for you to know.\Tell me!\I'll tell her what happened. response:	Head to the second meeting point. Got it?
context: I already told you. She's waiting for the final key.\Who could she be waiting for while leaving me behind?\Is it someone that important?\Maybe...\There's no need for you to know.\Tell me!\I'll tell her what happened.\Head to the second meeting point. Got it? response:	That was an order from Amber.
context: Who could she be waiting for while leaving me behind?\Is it someone that important?\Maybe...\There's no need for you to know.\Tell me!\I'll tell her what happened.\Head to the second meeting point. Got it?\That was an order from Amber. response:	There was one time when he actually laughed from the bottom of his heart.
context: Is it someone that important?\Maybe...\There's no need for you to know.\Tell me!\I'll tell her what happened.\Head to the second meeting point. Got it?\That was an order from Amber.\There was one time when he actually laughed from the bottom of his heart. response:	His sweet smile captivated me.
context: Maybe...\There's no need for you to know.\Tell me!\I'll tell her what happened.\Head to the second meeting point. Got it?\That was an order from Amber.\There was one time when he actually laughed from the bottom of his heart.\His sweet smile captivated me. response:	That's when I thought to myself,
context: There's no need for you to know.\Tell me!\I'll tell her what happened.\Head to the second meeting point. Got it?\That was an order from Amber.\There was one time when he actually laughed from the bottom of his heart.\His sweet smile captivated me.\That's when I thought to myself, response:	You really did it this time.
context: Tell me!\I'll tell her what happened.\Head to the second meeting point. Got it?\That was an order from Amber.\There was one time when he actually laughed from the bottom of his heart.\His sweet smile captivated me.\That's when I thought to myself,\You really did it this time. response:	I felt as if I could do anything for him.
context: I'll tell her what happened.\Head to the second meeting point. Got it?\That was an order from Amber.\There was one time when he actually laughed from the bottom of his heart.\His sweet smile captivated me.\That's when I thought to myself,\You really did it this time.\I felt as if I could do anything for him. response:	I'd do anything to see that smile again...
context: Head to the second meeting point. Got it?\That was an order from Amber.\There was one time when he actually laughed from the bottom of his heart.\His sweet smile captivated me.\That's when I thought to myself,\You really did it this time.\I felt as if I could do anything for him.\I'd do anything to see that smile again... response:	I'm sure you feel the same way.
context: That was an order from Amber.\There was one time when he actually laughed from the bottom of his heart.\His sweet smile captivated me.\That's when I thought to myself,\You really did it this time.\I felt as if I could do anything for him.\I'd do anything to see that smile again...\I'm sure you feel the same way. response:	Me?
context: There was one time when he actually laughed from the bottom of his heart.\His sweet smile captivated me.\That's when I thought to myself,\You really did it this time.\I felt as if I could do anything for him.\I'd do anything to see that smile again...\I'm sure you feel the same way.\Me? response:	Yes.
context: His sweet smile captivated me.\That's when I thought to myself,\You really did it this time.\I felt as if I could do anything for him.\I'd do anything to see that smile again...\I'm sure you feel the same way.\Me?\Yes. response:	Look after him, okay?
context: That's when I thought to myself,\You really did it this time.\I felt as if I could do anything for him.\I'd do anything to see that smile again...\I'm sure you feel the same way.\Me?\Yes.\Look after him, okay? response:	Li-san?
context: You really did it this time.\I felt as if I could do anything for him.\I'd do anything to see that smile again...\I'm sure you feel the same way.\Me?\Yes.\Look after him, okay?\Li-san? response:	What happened to you?
context: I felt as if I could do anything for him.\I'd do anything to see that smile again...\I'm sure you feel the same way.\Me?\Yes.\Look after him, okay?\Li-san?\What happened to you? response:	Where are you going?
context: I'd do anything to see that smile again...\I'm sure you feel the same way.\Me?\Yes.\Look after him, okay?\Li-san?\What happened to you?\Where are you going? response:	If you're going that way...
context: I'm sure you feel the same way.\Me?\Yes.\Look after him, okay?\Li-san?\What happened to you?\Where are you going?\If you're going that way... response:	You must be the one called Hei.
context: Me?\Yes.\Look after him, okay?\Li-san?\What happened to you?\Where are you going?\If you're going that way...\You must be the one called Hei. response:	Amber always talks about you.
context: Yes.\Look after him, okay?\Li-san?\What happened to you?\Where are you going?\If you're going that way...\You must be the one called Hei.\Amber always talks about you. response:	Thank you.
context: Look after him, okay?\Li-san?\What happened to you?\Where are you going?\If you're going that way...\You must be the one called Hei.\Amber always talks about you.\Thank you. response:	It was the first time I was able to say it without thinking.
context: Li-san?\What happened to you?\Where are you going?\If you're going that way...\You must be the one called Hei.\Amber always talks about you.\Thank you.\It was the first time I was able to say it without thinking. response:	That's why I was happy,
context: What happened to you?\Where are you going?\If you're going that way...\You must be the one called Hei.\Amber always talks about you.\Thank you.\It was the first time I was able to say it without thinking.\That's why I was happy, response:	but I'm not anymore.
context: Where are you going?\If you're going that way...\You must be the one called Hei.\Amber always talks about you.\Thank you.\It was the first time I was able to say it without thinking.\That's why I was happy,\but I'm not anymore. response:	This is what you would call jealousy, isn't it?
context: If you're going that way...\You must be the one called Hei.\Amber always talks about you.\Thank you.\It was the first time I was able to say it without thinking.\That's why I was happy,\but I'm not anymore.\This is what you would call jealousy, isn't it? response:	Amber always talks about you.
context: You must be the one called Hei.\Amber always talks about you.\Thank you.\It was the first time I was able to say it without thinking.\That's why I was happy,\but I'm not anymore.\This is what you would call jealousy, isn't it?\Amber always talks about you. response:	That's why I won't let you through.
context: Amber always talks about you.\Thank you.\It was the first time I was able to say it without thinking.\That's why I was happy,\but I'm not anymore.\This is what you would call jealousy, isn't it?\Amber always talks about you.\That's why I won't let you through. response:	I said I won't let you see her!
context: Thank you.\It was the first time I was able to say it without thinking.\That's why I was happy,\but I'm not anymore.\This is what you would call jealousy, isn't it?\Amber always talks about you.\That's why I won't let you through.\I said I won't let you see her! response:	I forgot to tell you something.
context: It was the first time I was able to say it without thinking.\That's why I was happy,\but I'm not anymore.\This is what you would call jealousy, isn't it?\Amber always talks about you.\That's why I won't let you through.\I said I won't let you see her!\I forgot to tell you something. response:	Good boys shouldn't be up this late.
context: That's why I was happy,\but I'm not anymore.\This is what you would call jealousy, isn't it?\Amber always talks about you.\That's why I won't let you through.\I said I won't let you see her!\I forgot to tell you something.\Good boys shouldn't be up this late. response:	Get out of my way!
context: but I'm not anymore.\This is what you would call jealousy, isn't it?\Amber always talks about you.\That's why I won't let you through.\I said I won't let you see her!\I forgot to tell you something.\Good boys shouldn't be up this late.\Get out of my way! response:	Go after the man who ran away.
context: This is what you would call jealousy, isn't it?\Amber always talks about you.\That's why I won't let you through.\I said I won't let you see her!\I forgot to tell you something.\Good boys shouldn't be up this late.\Get out of my way!\Go after the man who ran away. response:	That ability... He's the contractor you're looking for.
context: Amber always talks about you.\That's why I won't let you through.\I said I won't let you see her!\I forgot to tell you something.\Good boys shouldn't be up this late.\Get out of my way!\Go after the man who ran away.\That ability... He's the contractor you're looking for. response:	But...
context: That's why I won't let you through.\I said I won't let you see her!\I forgot to tell you something.\Good boys shouldn't be up this late.\Get out of my way!\Go after the man who ran away.\That ability... He's the contractor you're looking for.\But... response:	I have to teach that mischievous boy a lesson.
context: I said I won't let you see her!\I forgot to tell you something.\Good boys shouldn't be up this late.\Get out of my way!\Go after the man who ran away.\That ability... He's the contractor you're looking for.\But...\I have to teach that mischievous boy a lesson. response:	Don't worry. July's by my side.
context: I forgot to tell you something.\Good boys shouldn't be up this late.\Get out of my way!\Go after the man who ran away.\That ability... He's the contractor you're looking for.\But...\I have to teach that mischievous boy a lesson.\Don't worry. July's by my side. response:	Hurry, Misaki.
context: Good boys shouldn't be up this late.\Get out of my way!\Go after the man who ran away.\That ability... He's the contractor you're looking for.\But...\I have to teach that mischievous boy a lesson.\Don't worry. July's by my side.\Hurry, Misaki. response:	Come on.
context: Get out of my way!\Go after the man who ran away.\That ability... He's the contractor you're looking for.\But...\I have to teach that mischievous boy a lesson.\Don't worry. July's by my side.\Hurry, Misaki.\Come on. response:	If you want to fight me that badly,
context: Go after the man who ran away.\That ability... He's the contractor you're looking for.\But...\I have to teach that mischievous boy a lesson.\Don't worry. July's by my side.\Hurry, Misaki.\Come on.\If you want to fight me that badly, response:	come and get me!
context: That ability... He's the contractor you're looking for.\But...\I have to teach that mischievous boy a lesson.\Don't worry. July's by my side.\Hurry, Misaki.\Come on.\If you want to fight me that badly,\come and get me! response:	Prints.
context: But...\I have to teach that mischievous boy a lesson.\Don't worry. July's by my side.\Hurry, Misaki.\Come on.\If you want to fight me that badly,\come and get me!\Prints. response:	They're everywhere.
context: I have to teach that mischievous boy a lesson.\Don't worry. July's by my side.\Hurry, Misaki.\Come on.\If you want to fight me that badly,\come and get me!\Prints.\They're everywhere. response:	I set traps on everything you're capable of freezing.
context: Don't worry. July's by my side.\Hurry, Misaki.\Come on.\If you want to fight me that badly,\come and get me!\Prints.\They're everywhere.\I set traps on everything you're capable of freezing. response:	You won't be able to attack me.
context: Hurry, Misaki.\Come on.\If you want to fight me that badly,\come and get me!\Prints.\They're everywhere.\I set traps on everything you're capable of freezing.\You won't be able to attack me. response:	Come and get me if you can.
context: Come on.\If you want to fight me that badly,\come and get me!\Prints.\They're everywhere.\I set traps on everything you're capable of freezing.\You won't be able to attack me.\Come and get me if you can. response:	You're supposed to be an excellent contractor, aren't you?
context: If you want to fight me that badly,\come and get me!\Prints.\They're everywhere.\I set traps on everything you're capable of freezing.\You won't be able to attack me.\Come and get me if you can.\You're supposed to be an excellent contractor, aren't you? response:	I don't need you, Hei, or Amagiri.
context: come and get me!\Prints.\They're everywhere.\I set traps on everything you're capable of freezing.\You won't be able to attack me.\Come and get me if you can.\You're supposed to be an excellent contractor, aren't you?\I don't need you, Hei, or Amagiri. response:	I'm the contractor best suited for Amber.
context: Prints.\They're everywhere.\I set traps on everything you're capable of freezing.\You won't be able to attack me.\Come and get me if you can.\You're supposed to be an excellent contractor, aren't you?\I don't need you, Hei, or Amagiri.\I'm the contractor best suited for Amber. response:	But...
context: They're everywhere.\I set traps on everything you're capable of freezing.\You won't be able to attack me.\Come and get me if you can.\You're supposed to be an excellent contractor, aren't you?\I don't need you, Hei, or Amagiri.\I'm the contractor best suited for Amber.\But... response:	Show me! Prove that you're stronger than I am!
context: I set traps on everything you're capable of freezing.\You won't be able to attack me.\Come and get me if you can.\You're supposed to be an excellent contractor, aren't you?\I don't need you, Hei, or Amagiri.\I'm the contractor best suited for Amber.\But...\Show me! Prove that you're stronger than I am! response:	We can do it.
context: You won't be able to attack me.\Come and get me if you can.\You're supposed to be an excellent contractor, aren't you?\I don't need you, Hei, or Amagiri.\I'm the contractor best suited for Amber.\But...\Show me! Prove that you're stronger than I am!\We can do it. response:	See? I'm far better than he is.
context: Come and get me if you can.\You're supposed to be an excellent contractor, aren't you?\I don't need you, Hei, or Amagiri.\I'm the contractor best suited for Amber.\But...\Show me! Prove that you're stronger than I am!\We can do it.\See? I'm far better than he is. response:	You don't need anyone else, do you?
context: You're supposed to be an excellent contractor, aren't you?\I don't need you, Hei, or Amagiri.\I'm the contractor best suited for Amber.\But...\Show me! Prove that you're stronger than I am!\We can do it.\See? I'm far better than he is.\You don't need anyone else, do you? response:	I'm the best, aren't I?
context: I don't need you, Hei, or Amagiri.\I'm the contractor best suited for Amber.\But...\Show me! Prove that you're stronger than I am!\We can do it.\See? I'm far better than he is.\You don't need anyone else, do you?\I'm the best, aren't I? response:	Isn't that right, Amber?
context: I'm the contractor best suited for Amber.\But...\Show me! Prove that you're stronger than I am!\We can do it.\See? I'm far better than he is.\You don't need anyone else, do you?\I'm the best, aren't I?\Isn't that right, Amber? response:	He'll be here soon.
context: But...\Show me! Prove that you're stronger than I am!\We can do it.\See? I'm far better than he is.\You don't need anyone else, do you?\I'm the best, aren't I?\Isn't that right, Amber?\He'll be here soon. response:	See?
context: Show me! Prove that you're stronger than I am!\We can do it.\See? I'm far better than he is.\You don't need anyone else, do you?\I'm the best, aren't I?\Isn't that right, Amber?\He'll be here soon.\See? response:	Are you hurt? Let me see!
context: We can do it.\See? I'm far better than he is.\You don't need anyone else, do you?\I'm the best, aren't I?\Isn't that right, Amber?\He'll be here soon.\See?\Are you hurt? Let me see! response:	You've grown, Hei.
context: See? I'm far better than he is.\You don't need anyone else, do you?\I'm the best, aren't I?\Isn't that right, Amber?\He'll be here soon.\See?\Are you hurt? Let me see!\You've grown, Hei. response:	I don't have any intention of forgiving a traitor.
context: You don't need anyone else, do you?\I'm the best, aren't I?\Isn't that right, Amber?\He'll be here soon.\See?\Are you hurt? Let me see!\You've grown, Hei.\I don't have any intention of forgiving a traitor. response:	Before I kill you, there's something I need to ask.
context: I'm the best, aren't I?\Isn't that right, Amber?\He'll be here soon.\See?\Are you hurt? Let me see!\You've grown, Hei.\I don't have any intention of forgiving a traitor.\Before I kill you, there's something I need to ask. response:	What happened during that incident?
context: Isn't that right, Amber?\He'll be here soon.\See?\Are you hurt? Let me see!\You've grown, Hei.\I don't have any intention of forgiving a traitor.\Before I kill you, there's something I need to ask.\What happened during that incident? response:	Where did my sister go?
context: He'll be here soon.\See?\Are you hurt? Let me see!\You've grown, Hei.\I don't have any intention of forgiving a traitor.\Before I kill you, there's something I need to ask.\What happened during that incident?\Where did my sister go? response:	Don't you have anything to say before that?
context: See?\Are you hurt? Let me see!\You've grown, Hei.\I don't have any intention of forgiving a traitor.\Before I kill you, there's something I need to ask.\What happened during that incident?\Where did my sister go?\Don't you have anything to say before that? response:	Like it's been a while,
context: Are you hurt? Let me see!\You've grown, Hei.\I don't have any intention of forgiving a traitor.\Before I kill you, there's something I need to ask.\What happened during that incident?\Where did my sister go?\Don't you have anything to say before that?\Like it's been a while, response:	or you look as pretty as ever.
context: You've grown, Hei.\I don't have any intention of forgiving a traitor.\Before I kill you, there's something I need to ask.\What happened during that incident?\Where did my sister go?\Don't you have anything to say before that?\Like it's been a while,\or you look as pretty as ever. response:	Answer me, Amber!
context: I don't have any intention of forgiving a traitor.\Before I kill you, there's something I need to ask.\What happened during that incident?\Where did my sister go?\Don't you have anything to say before that?\Like it's been a while,\or you look as pretty as ever.\Answer me, Amber! response:	Do you want to see Pai?
context: Before I kill you, there's something I need to ask.\What happened during that incident?\Where did my sister go?\Don't you have anything to say before that?\Like it's been a while,\or you look as pretty as ever.\Answer me, Amber!\Do you want to see Pai? response:	Should I take you to her?
context: What happened during that incident?\Where did my sister go?\Don't you have anything to say before that?\Like it's been a while,\or you look as pretty as ever.\Answer me, Amber!\Do you want to see Pai?\Should I take you to her? response:	Where is she?
context: Where did my sister go?\Don't you have anything to say before that?\Like it's been a while,\or you look as pretty as ever.\Answer me, Amber!\Do you want to see Pai?\Should I take you to her?\Where is she? response:	Somewhere far, yet really close.
context: Don't you have anything to say before that?\Like it's been a while,\or you look as pretty as ever.\Answer me, Amber!\Do you want to see Pai?\Should I take you to her?\Where is she?\Somewhere far, yet really close. response:	Come with me, Hei.
context: Like it's been a while,\or you look as pretty as ever.\Answer me, Amber!\Do you want to see Pai?\Should I take you to her?\Where is she?\Somewhere far, yet really close.\Come with me, Hei. response:	If you do, I'll take you to her,
context: or you look as pretty as ever.\Answer me, Amber!\Do you want to see Pai?\Should I take you to her?\Where is she?\Somewhere far, yet really close.\Come with me, Hei.\If you do, I'll take you to her, response:	but the city lights might vanish.
context: Answer me, Amber!\Do you want to see Pai?\Should I take you to her?\Where is she?\Somewhere far, yet really close.\Come with me, Hei.\If you do, I'll take you to her,\but the city lights might vanish. response:	What are you going to do, Hei?
context: Do you want to see Pai?\Should I take you to her?\Where is she?\Somewhere far, yet really close.\Come with me, Hei.\If you do, I'll take you to her,\but the city lights might vanish.\What are you going to do, Hei? response:	Don't screw around with me.
context: Should I take you to her?\Where is she?\Somewhere far, yet really close.\Come with me, Hei.\If you do, I'll take you to her,\but the city lights might vanish.\What are you going to do, Hei?\Don't screw around with me. response:	Freeze!
context: Where is she?\Somewhere far, yet really close.\Come with me, Hei.\If you do, I'll take you to her,\but the city lights might vanish.\What are you going to do, Hei?\Don't screw around with me.\Freeze! response:	No...
context: Somewhere far, yet really close.\Come with me, Hei.\If you do, I'll take you to her,\but the city lights might vanish.\What are you going to do, Hei?\Don't screw around with me.\Freeze!\No... response:	Move, Amber!
context: Come with me, Hei.\If you do, I'll take you to her,\but the city lights might vanish.\What are you going to do, Hei?\Don't screw around with me.\Freeze!\No...\Move, Amber! response:	Hei, I've traveled very far,
context: If you do, I'll take you to her,\but the city lights might vanish.\What are you going to do, Hei?\Don't screw around with me.\Freeze!\No...\Move, Amber!\Hei, I've traveled very far, response:	even across the plane of time.
context: but the city lights might vanish.\What are you going to do, Hei?\Don't screw around with me.\Freeze!\No...\Move, Amber!\Hei, I've traveled very far,\even across the plane of time. response:	I wanted to see you ever since that day.
context: What are you going to do, Hei?\Don't screw around with me.\Freeze!\No...\Move, Amber!\Hei, I've traveled very far,\even across the plane of time.\I wanted to see you ever since that day. response:	Always, always...
context: Don't screw around with me.\Freeze!\No...\Move, Amber!\Hei, I've traveled very far,\even across the plane of time.\I wanted to see you ever since that day.\Always, always... response:	I've always wanted to see you.
context: Freeze!\No...\Move, Amber!\Hei, I've traveled very far,\even across the plane of time.\I wanted to see you ever since that day.\Always, always...\I've always wanted to see you. response:	See you later.
context: No...\Move, Amber!\Hei, I've traveled very far,\even across the plane of time.\I wanted to see you ever since that day.\Always, always...\I've always wanted to see you.\See you later. response:	Let's go.
context: Move, Amber!\Hei, I've traveled very far,\even across the plane of time.\I wanted to see you ever since that day.\Always, always...\I've always wanted to see you.\See you later.\Let's go. response:	There's a limit on your remuneration, so use it wisely!
