context: The first semester was about to end. response:	Finals and intramurals have ended.
context: Here's a thousand paper cranes.\I can't go to root for you myself...\Did you make all those yourself?\Yeah. I'm in charge while you're away!\I'll keep all the parasites away from Miyazawa!\I get the feeling that you're the worst parasite, but thanks.\How could you?!\You sure you want to say things like that? response:	I'm going with Miyazawa to the pool, after all, right?
context: I can't go to root for you myself...\Did you make all those yourself?\Yeah. I'm in charge while you're away!\I'll keep all the parasites away from Miyazawa!\I get the feeling that you're the worst parasite, but thanks.\How could you?!\You sure you want to say things like that?\I'm going with Miyazawa to the pool, after all, right? response:	Right.
context: Did you make all those yourself?\Yeah. I'm in charge while you're away!\I'll keep all the parasites away from Miyazawa!\I get the feeling that you're the worst parasite, but thanks.\How could you?!\You sure you want to say things like that?\I'm going with Miyazawa to the pool, after all, right?\Right. response:	What're you thinking, Miyazawa?!
context: Yeah. I'm in charge while you're away!\I'll keep all the parasites away from Miyazawa!\I get the feeling that you're the worst parasite, but thanks.\How could you?!\You sure you want to say things like that?\I'm going with Miyazawa to the pool, after all, right?\Right.\What're you thinking, Miyazawa?! response:	With this womanizer?!
context: I'll keep all the parasites away from Miyazawa!\I get the feeling that you're the worst parasite, but thanks.\How could you?!\You sure you want to say things like that?\I'm going with Miyazawa to the pool, after all, right?\Right.\What're you thinking, Miyazawa?!\With this womanizer?! response:	Where's your sense of modesty?!
context: I get the feeling that you're the worst parasite, but thanks.\How could you?!\You sure you want to say things like that?\I'm going with Miyazawa to the pool, after all, right?\Right.\What're you thinking, Miyazawa?!\With this womanizer?!\Where's your sense of modesty?! response:	What? My sisters are coming, too.
context: How could you?!\You sure you want to say things like that?\I'm going with Miyazawa to the pool, after all, right?\Right.\What're you thinking, Miyazawa?!\With this womanizer?!\Where's your sense of modesty?!\What? My sisters are coming, too. response:	He'll just be our escort.
context: You sure you want to say things like that?\I'm going with Miyazawa to the pool, after all, right?\Right.\What're you thinking, Miyazawa?!\With this womanizer?!\Where's your sense of modesty?!\What? My sisters are coming, too.\He'll just be our escort. response:	Oh, really?
context: I'm going with Miyazawa to the pool, after all, right?\Right.\What're you thinking, Miyazawa?!\With this womanizer?!\Where's your sense of modesty?!\What? My sisters are coming, too.\He'll just be our escort.\Oh, really? response:	I'm going to show Miyazawa my beautiful flesh that's hidden under my shirt.
context: Right.\What're you thinking, Miyazawa?!\With this womanizer?!\Where's your sense of modesty?!\What? My sisters are coming, too.\He'll just be our escort.\Oh, really?\I'm going to show Miyazawa my beautiful flesh that's hidden under my shirt. response:	My beautiful flesh glistening brightly under the summer sun...
context: What're you thinking, Miyazawa?!\With this womanizer?!\Where's your sense of modesty?!\What? My sisters are coming, too.\He'll just be our escort.\Oh, really?\I'm going to show Miyazawa my beautiful flesh that's hidden under my shirt.\My beautiful flesh glistening brightly under the summer sun... response:	Stop that!
context: With this womanizer?!\Where's your sense of modesty?!\What? My sisters are coming, too.\He'll just be our escort.\Oh, really?\I'm going to show Miyazawa my beautiful flesh that's hidden under my shirt.\My beautiful flesh glistening brightly under the summer sun...\Stop that! response:	Don't say it so disgustingly!
context: Where's your sense of modesty?!\What? My sisters are coming, too.\He'll just be our escort.\Oh, really?\I'm going to show Miyazawa my beautiful flesh that's hidden under my shirt.\My beautiful flesh glistening brightly under the summer sun...\Stop that!\Don't say it so disgustingly! response:	Well, good luck with your kendo practice.
context: What? My sisters are coming, too.\He'll just be our escort.\Oh, really?\I'm going to show Miyazawa my beautiful flesh that's hidden under my shirt.\My beautiful flesh glistening brightly under the summer sun...\Stop that!\Don't say it so disgustingly!\Well, good luck with your kendo practice. response:	Go enjoy the hot stinky prime of your youth,
context: He'll just be our escort.\Oh, really?\I'm going to show Miyazawa my beautiful flesh that's hidden under my shirt.\My beautiful flesh glistening brightly under the summer sun...\Stop that!\Don't say it so disgustingly!\Well, good luck with your kendo practice.\Go enjoy the hot stinky prime of your youth, response:	drenched in sweat under all that armor.
context: Oh, really?\I'm going to show Miyazawa my beautiful flesh that's hidden under my shirt.\My beautiful flesh glistening brightly under the summer sun...\Stop that!\Don't say it so disgustingly!\Well, good luck with your kendo practice.\Go enjoy the hot stinky prime of your youth,\drenched in sweat under all that armor. response:	Meanwhile, we'll be having fun.
context: I'm going to show Miyazawa my beautiful flesh that's hidden under my shirt.\My beautiful flesh glistening brightly under the summer sun...\Stop that!\Don't say it so disgustingly!\Well, good luck with your kendo practice.\Go enjoy the hot stinky prime of your youth,\drenched in sweat under all that armor.\Meanwhile, we'll be having fun. response:	He's actually defiant for a change.
context: My beautiful flesh glistening brightly under the summer sun...\Stop that!\Don't say it so disgustingly!\Well, good luck with your kendo practice.\Go enjoy the hot stinky prime of your youth,\drenched in sweat under all that armor.\Meanwhile, we'll be having fun.\He's actually defiant for a change. response:	It'll be lonely not being able to see her for a while.
context: Stop that!\Don't say it so disgustingly!\Well, good luck with your kendo practice.\Go enjoy the hot stinky prime of your youth,\drenched in sweat under all that armor.\Meanwhile, we'll be having fun.\He's actually defiant for a change.\It'll be lonely not being able to see her for a while. response:	But if so,
context: Don't say it so disgustingly!\Well, good luck with your kendo practice.\Go enjoy the hot stinky prime of your youth,\drenched in sweat under all that armor.\Meanwhile, we'll be having fun.\He's actually defiant for a change.\It'll be lonely not being able to see her for a while.\But if so, response:	I want to grow and come back as a better man.
context: Well, good luck with your kendo practice.\Go enjoy the hot stinky prime of your youth,\drenched in sweat under all that armor.\Meanwhile, we'll be having fun.\He's actually defiant for a change.\It'll be lonely not being able to see her for a while.\But if so,\I want to grow and come back as a better man. response:	So that Miyazawa will love me even more.
context: Go enjoy the hot stinky prime of your youth,\drenched in sweat under all that armor.\Meanwhile, we'll be having fun.\He's actually defiant for a change.\It'll be lonely not being able to see her for a while.\But if so,\I want to grow and come back as a better man.\So that Miyazawa will love me even more. response:	There she is!
context: drenched in sweat under all that armor.\Meanwhile, we'll be having fun.\He's actually defiant for a change.\It'll be lonely not being able to see her for a while.\But if so,\I want to grow and come back as a better man.\So that Miyazawa will love me even more.\There she is! response:	Hey, Yukino!
context: Meanwhile, we'll be having fun.\He's actually defiant for a change.\It'll be lonely not being able to see her for a while.\But if so,\I want to grow and come back as a better man.\So that Miyazawa will love me even more.\There she is!\Hey, Yukino! response:	Hey! You guys wait long?
context: He's actually defiant for a change.\It'll be lonely not being able to see her for a while.\But if so,\I want to grow and come back as a better man.\So that Miyazawa will love me even more.\There she is!\Hey, Yukino!\Hey! You guys wait long? response:	Nope, just got here.
context: It'll be lonely not being able to see her for a while.\But if so,\I want to grow and come back as a better man.\So that Miyazawa will love me even more.\There she is!\Hey, Yukino!\Hey! You guys wait long?\Nope, just got here. response:	Oh, good.
context: But if so,\I want to grow and come back as a better man.\So that Miyazawa will love me even more.\There she is!\Hey, Yukino!\Hey! You guys wait long?\Nope, just got here.\Oh, good. response:	I was meeting someone on the way here.
context: I want to grow and come back as a better man.\So that Miyazawa will love me even more.\There she is!\Hey, Yukino!\Hey! You guys wait long?\Nope, just got here.\Oh, good.\I was meeting someone on the way here. response:	Remember that I told you there was someone I wanted to invite?
context: So that Miyazawa will love me even more.\There she is!\Hey, Yukino!\Hey! You guys wait long?\Nope, just got here.\Oh, good.\I was meeting someone on the way here.\Remember that I told you there was someone I wanted to invite? response:	This is Isawa Maho. She's in my class.
context: There she is!\Hey, Yukino!\Hey! You guys wait long?\Nope, just got here.\Oh, good.\I was meeting someone on the way here.\Remember that I told you there was someone I wanted to invite?\This is Isawa Maho. She's in my class. response:	Hi.
context: Hey, Yukino!\Hey! You guys wait long?\Nope, just got here.\Oh, good.\I was meeting someone on the way here.\Remember that I told you there was someone I wanted to invite?\This is Isawa Maho. She's in my class.\Hi. response:	She's the freakin' mastermind behind the class plot to ignore you!
context: Hey! You guys wait long?\Nope, just got here.\Oh, good.\I was meeting someone on the way here.\Remember that I told you there was someone I wanted to invite?\This is Isawa Maho. She's in my class.\Hi.\She's the freakin' mastermind behind the class plot to ignore you! response:	What the hell's she doing here?!
context: Nope, just got here.\Oh, good.\I was meeting someone on the way here.\Remember that I told you there was someone I wanted to invite?\This is Isawa Maho. She's in my class.\Hi.\She's the freakin' mastermind behind the class plot to ignore you!\What the hell's she doing here?! response:	Get the hell outta here!
context: Oh, good.\I was meeting someone on the way here.\Remember that I told you there was someone I wanted to invite?\This is Isawa Maho. She's in my class.\Hi.\She's the freakin' mastermind behind the class plot to ignore you!\What the hell's she doing here?!\Get the hell outta here! response:	Oww...
context: I was meeting someone on the way here.\Remember that I told you there was someone I wanted to invite?\This is Isawa Maho. She's in my class.\Hi.\She's the freakin' mastermind behind the class plot to ignore you!\What the hell's she doing here?!\Get the hell outta here!\Oww... response:	Now, now, it's ok. We've made up already.
context: Remember that I told you there was someone I wanted to invite?\This is Isawa Maho. She's in my class.\Hi.\She's the freakin' mastermind behind the class plot to ignore you!\What the hell's she doing here?!\Get the hell outta here!\Oww...\Now, now, it's ok. We've made up already. response:	I don't know if I can trust her...
context: This is Isawa Maho. She's in my class.\Hi.\She's the freakin' mastermind behind the class plot to ignore you!\What the hell's she doing here?!\Get the hell outta here!\Oww...\Now, now, it's ok. We've made up already.\I don't know if I can trust her... response:	Why do I have to be here?
context: Hi.\She's the freakin' mastermind behind the class plot to ignore you!\What the hell's she doing here?!\Get the hell outta here!\Oww...\Now, now, it's ok. We've made up already.\I don't know if I can trust her...\Why do I have to be here? response:	Well, it's a great opportunity.
context: She's the freakin' mastermind behind the class plot to ignore you!\What the hell's she doing here?!\Get the hell outta here!\Oww...\Now, now, it's ok. We've made up already.\I don't know if I can trust her...\Why do I have to be here?\Well, it's a great opportunity. response:	Neither of us has had healthy relationships with friends up until now...
context: What the hell's she doing here?!\Get the hell outta here!\Oww...\Now, now, it's ok. We've made up already.\I don't know if I can trust her...\Why do I have to be here?\Well, it's a great opportunity.\Neither of us has had healthy relationships with friends up until now... response:	Damn. All right already.
context: Get the hell outta here!\Oww...\Now, now, it's ok. We've made up already.\I don't know if I can trust her...\Why do I have to be here?\Well, it's a great opportunity.\Neither of us has had healthy relationships with friends up until now...\Damn. All right already. response:	I don't really give a damn about that,
context: Oww...\Now, now, it's ok. We've made up already.\I don't know if I can trust her...\Why do I have to be here?\Well, it's a great opportunity.\Neither of us has had healthy relationships with friends up until now...\Damn. All right already.\I don't really give a damn about that, response:	but I owe you,
context: Now, now, it's ok. We've made up already.\I don't know if I can trust her...\Why do I have to be here?\Well, it's a great opportunity.\Neither of us has had healthy relationships with friends up until now...\Damn. All right already.\I don't really give a damn about that,\but I owe you, response:	so I'll at least hang with you.
context: I don't know if I can trust her...\Why do I have to be here?\Well, it's a great opportunity.\Neither of us has had healthy relationships with friends up until now...\Damn. All right already.\I don't really give a damn about that,\but I owe you,\so I'll at least hang with you. response:	Friendship!
context: Why do I have to be here?\Well, it's a great opportunity.\Neither of us has had healthy relationships with friends up until now...\Damn. All right already.\I don't really give a damn about that,\but I owe you,\so I'll at least hang with you.\Friendship! response:	Summer vacation's underway.
context: Well, it's a great opportunity.\Neither of us has had healthy relationships with friends up until now...\Damn. All right already.\I don't really give a damn about that,\but I owe you,\so I'll at least hang with you.\Friendship!\Summer vacation's underway. response:	The first semester, with its ups and downs...
context: Neither of us has had healthy relationships with friends up until now...\Damn. All right already.\I don't really give a damn about that,\but I owe you,\so I'll at least hang with you.\Friendship!\Summer vacation's underway.\The first semester, with its ups and downs... response:	Unfortunately,
context: Damn. All right already.\I don't really give a damn about that,\but I owe you,\so I'll at least hang with you.\Friendship!\Summer vacation's underway.\The first semester, with its ups and downs...\Unfortunately, response:	Arima has to practice for the Inter-High... *I'll be back on Aug. 5th.*
context: I don't really give a damn about that,\but I owe you,\so I'll at least hang with you.\Friendship!\Summer vacation's underway.\The first semester, with its ups and downs...\Unfortunately,\Arima has to practice for the Inter-High... *I'll be back on Aug. 5th.* response:	We'll do lots of stuff when I get back.
context: but I owe you,\so I'll at least hang with you.\Friendship!\Summer vacation's underway.\The first semester, with its ups and downs...\Unfortunately,\Arima has to practice for the Inter-High... *I'll be back on Aug. 5th.*\We'll do lots of stuff when I get back. response:	But I have friends now, and
context: so I'll at least hang with you.\Friendship!\Summer vacation's underway.\The first semester, with its ups and downs...\Unfortunately,\Arima has to practice for the Inter-High... *I'll be back on Aug. 5th.*\We'll do lots of stuff when I get back.\But I have friends now, and response:	I'm happy for the time being.
context: Friendship!\Summer vacation's underway.\The first semester, with its ups and downs...\Unfortunately,\Arima has to practice for the Inter-High... *I'll be back on Aug. 5th.*\We'll do lots of stuff when I get back.\But I have friends now, and\I'm happy for the time being. response:	Since Arima's doing his best,
context: Summer vacation's underway.\The first semester, with its ups and downs...\Unfortunately,\Arima has to practice for the Inter-High... *I'll be back on Aug. 5th.*\We'll do lots of stuff when I get back.\But I have friends now, and\I'm happy for the time being.\Since Arima's doing his best, response:	I'm going to try to
context: The first semester, with its ups and downs...\Unfortunately,\Arima has to practice for the Inter-High... *I'll be back on Aug. 5th.*\We'll do lots of stuff when I get back.\But I have friends now, and\I'm happy for the time being.\Since Arima's doing his best,\I'm going to try to response:	live my own time to the fullest.
context: Unfortunately,\Arima has to practice for the Inter-High... *I'll be back on Aug. 5th.*\We'll do lots of stuff when I get back.\But I have friends now, and\I'm happy for the time being.\Since Arima's doing his best,\I'm going to try to\live my own time to the fullest. response:	Sena, Sawada, yo!
context: Arima has to practice for the Inter-High... *I'll be back on Aug. 5th.*\We'll do lots of stuff when I get back.\But I have friends now, and\I'm happy for the time being.\Since Arima's doing his best,\I'm going to try to\live my own time to the fullest.\Sena, Sawada, yo! response:	Yo! Just call us Rika and Aya.
context: We'll do lots of stuff when I get back.\But I have friends now, and\I'm happy for the time being.\Since Arima's doing his best,\I'm going to try to\live my own time to the fullest.\Sena, Sawada, yo!\Yo! Just call us Rika and Aya. response:	These two seem to be the most normal.
context: But I have friends now, and\I'm happy for the time being.\Since Arima's doing his best,\I'm going to try to\live my own time to the fullest.\Sena, Sawada, yo!\Yo! Just call us Rika and Aya.\These two seem to be the most normal. response:	Shibahime sure is late.
context: I'm happy for the time being.\Since Arima's doing his best,\I'm going to try to\live my own time to the fullest.\Sena, Sawada, yo!\Yo! Just call us Rika and Aya.\These two seem to be the most normal.\Shibahime sure is late. response:	Smoking is bad. SMOKING IS BAD!
context: Since Arima's doing his best,\I'm going to try to\live my own time to the fullest.\Sena, Sawada, yo!\Yo! Just call us Rika and Aya.\These two seem to be the most normal.\Shibahime sure is late.\Smoking is bad. SMOKING IS BAD! response:	Thank goodness.
context: I'm going to try to\live my own time to the fullest.\Sena, Sawada, yo!\Yo! Just call us Rika and Aya.\These two seem to be the most normal.\Shibahime sure is late.\Smoking is bad. SMOKING IS BAD!\Thank goodness. response:	Aya simply wouldn't quit smoking.
context: live my own time to the fullest.\Sena, Sawada, yo!\Yo! Just call us Rika and Aya.\These two seem to be the most normal.\Shibahime sure is late.\Smoking is bad. SMOKING IS BAD!\Thank goodness.\Aya simply wouldn't quit smoking. response:	I'm glad we could be friends with such a responsible person like you.
context: Sena, Sawada, yo!\Yo! Just call us Rika and Aya.\These two seem to be the most normal.\Shibahime sure is late.\Smoking is bad. SMOKING IS BAD!\Thank goodness.\Aya simply wouldn't quit smoking.\I'm glad we could be friends with such a responsible person like you. response:	People who look normal are often more delinquent than the punks.
context: Yo! Just call us Rika and Aya.\These two seem to be the most normal.\Shibahime sure is late.\Smoking is bad. SMOKING IS BAD!\Thank goodness.\Aya simply wouldn't quit smoking.\I'm glad we could be friends with such a responsible person like you.\People who look normal are often more delinquent than the punks. response:	Still, Tsubasa's pretty late.
context: These two seem to be the most normal.\Shibahime sure is late.\Smoking is bad. SMOKING IS BAD!\Thank goodness.\Aya simply wouldn't quit smoking.\I'm glad we could be friends with such a responsible person like you.\People who look normal are often more delinquent than the punks.\Still, Tsubasa's pretty late. response:	She's been irresponsible lately...
context: Shibahime sure is late.\Smoking is bad. SMOKING IS BAD!\Thank goodness.\Aya simply wouldn't quit smoking.\I'm glad we could be friends with such a responsible person like you.\People who look normal are often more delinquent than the punks.\Still, Tsubasa's pretty late.\She's been irresponsible lately... response:	But I guess it can't be helped.
context: Smoking is bad. SMOKING IS BAD!\Thank goodness.\Aya simply wouldn't quit smoking.\I'm glad we could be friends with such a responsible person like you.\People who look normal are often more delinquent than the punks.\Still, Tsubasa's pretty late.\She's been irresponsible lately...\But I guess it can't be helped. response:	Here I am.
context: Thank goodness.\Aya simply wouldn't quit smoking.\I'm glad we could be friends with such a responsible person like you.\People who look normal are often more delinquent than the punks.\Still, Tsubasa's pretty late.\She's been irresponsible lately...\But I guess it can't be helped.\Here I am. response:	So...so...so...CUTE!
context: Aya simply wouldn't quit smoking.\I'm glad we could be friends with such a responsible person like you.\People who look normal are often more delinquent than the punks.\Still, Tsubasa's pretty late.\She's been irresponsible lately...\But I guess it can't be helped.\Here I am.\So...so...so...CUTE! response:	Will you go with me to some clothing stores later?
context: I'm glad we could be friends with such a responsible person like you.\People who look normal are often more delinquent than the punks.\Still, Tsubasa's pretty late.\She's been irresponsible lately...\But I guess it can't be helped.\Here I am.\So...so...so...CUTE!\Will you go with me to some clothing stores later? response:	There's all this clothing I want to have you try on and model for me!
context: People who look normal are often more delinquent than the punks.\Still, Tsubasa's pretty late.\She's been irresponsible lately...\But I guess it can't be helped.\Here I am.\So...so...so...CUTE!\Will you go with me to some clothing stores later?\There's all this clothing I want to have you try on and model for me! response:	There's quite a lot of homoerotic overtones.
context: Still, Tsubasa's pretty late.\She's been irresponsible lately...\But I guess it can't be helped.\Here I am.\So...so...so...CUTE!\Will you go with me to some clothing stores later?\There's all this clothing I want to have you try on and model for me!\There's quite a lot of homoerotic overtones. response:	Lets start our little bonding date,
context: She's been irresponsible lately...\But I guess it can't be helped.\Here I am.\So...so...so...CUTE!\Will you go with me to some clothing stores later?\There's all this clothing I want to have you try on and model for me!\There's quite a lot of homoerotic overtones.\Lets start our little bonding date, response:	and party ourselves silly!
context: But I guess it can't be helped.\Here I am.\So...so...so...CUTE!\Will you go with me to some clothing stores later?\There's all this clothing I want to have you try on and model for me!\There's quite a lot of homoerotic overtones.\Lets start our little bonding date,\and party ourselves silly! response:	We live hiding in the darkness.
context: Here I am.\So...so...so...CUTE!\Will you go with me to some clothing stores later?\There's all this clothing I want to have you try on and model for me!\There's quite a lot of homoerotic overtones.\Lets start our little bonding date,\and party ourselves silly!\We live hiding in the darkness. response:	We are monsters!
context: So...so...so...CUTE!\Will you go with me to some clothing stores later?\There's all this clothing I want to have you try on and model for me!\There's quite a lot of homoerotic overtones.\Lets start our little bonding date,\and party ourselves silly!\We live hiding in the darkness.\We are monsters! response:	We can't show ourselves to others...
context: Will you go with me to some clothing stores later?\There's all this clothing I want to have you try on and model for me!\There's quite a lot of homoerotic overtones.\Lets start our little bonding date,\and party ourselves silly!\We live hiding in the darkness.\We are monsters!\We can't show ourselves to others... response:	With these beastlike bodies...
context: There's all this clothing I want to have you try on and model for me!\There's quite a lot of homoerotic overtones.\Lets start our little bonding date,\and party ourselves silly!\We live hiding in the darkness.\We are monsters!\We can't show ourselves to others...\With these beastlike bodies... response:	I want to become human soon...
context: There's quite a lot of homoerotic overtones.\Lets start our little bonding date,\and party ourselves silly!\We live hiding in the darkness.\We are monsters!\We can't show ourselves to others...\With these beastlike bodies...\I want to become human soon... response:	Blow away this dark destiny...
context: Lets start our little bonding date,\and party ourselves silly!\We live hiding in the darkness.\We are monsters!\We can't show ourselves to others...\With these beastlike bodies...\I want to become human soon...\Blow away this dark destiny... response:	Bem...
context: and party ourselves silly!\We live hiding in the darkness.\We are monsters!\We can't show ourselves to others...\With these beastlike bodies...\I want to become human soon...\Blow away this dark destiny...\Bem... response:	Bela...
context: We live hiding in the darkness.\We are monsters!\We can't show ourselves to others...\With these beastlike bodies...\I want to become human soon...\Blow away this dark destiny...\Bem...\Bela... response:	Belo...
context: We are monsters!\We can't show ourselves to others...\With these beastlike bodies...\I want to become human soon...\Blow away this dark destiny...\Bem...\Bela...\Belo... response:	Monsters!
context: We can't show ourselves to others...\With these beastlike bodies...\I want to become human soon...\Blow away this dark destiny...\Bem...\Bela...\Belo...\Monsters! response:	Tsubasa, you like Totoro, right?
context: With these beastlike bodies...\I want to become human soon...\Blow away this dark destiny...\Bem...\Bela...\Belo...\Monsters!\Tsubasa, you like Totoro, right? response:	Yeah. Totoro?
context: I want to become human soon...\Blow away this dark destiny...\Bem...\Bela...\Belo...\Monsters!\Tsubasa, you like Totoro, right?\Yeah. Totoro? response:	Yeah, Totoro.
context: Blow away this dark destiny...\Bem...\Bela...\Belo...\Monsters!\Tsubasa, you like Totoro, right?\Yeah. Totoro?\Yeah, Totoro. response:	I just saw this huge Totoro doll walking off that way!
context: Bem...\Bela...\Belo...\Monsters!\Tsubasa, you like Totoro, right?\Yeah. Totoro?\Yeah, Totoro.\I just saw this huge Totoro doll walking off that way! response:	What?! A big Totoro? Really?!
context: Bela...\Belo...\Monsters!\Tsubasa, you like Totoro, right?\Yeah. Totoro?\Yeah, Totoro.\I just saw this huge Totoro doll walking off that way!\What?! A big Totoro? Really?! response:	You bet'cha.
context: Belo...\Monsters!\Tsubasa, you like Totoro, right?\Yeah. Totoro?\Yeah, Totoro.\I just saw this huge Totoro doll walking off that way!\What?! A big Totoro? Really?!\You bet'cha. response:	That sucker was huge!
context: Monsters!\Tsubasa, you like Totoro, right?\Yeah. Totoro?\Yeah, Totoro.\I just saw this huge Totoro doll walking off that way!\What?! A big Totoro? Really?!\You bet'cha.\That sucker was huge! response:	You want to see it?
context: Tsubasa, you like Totoro, right?\Yeah. Totoro?\Yeah, Totoro.\I just saw this huge Totoro doll walking off that way!\What?! A big Totoro? Really?!\You bet'cha.\That sucker was huge!\You want to see it? response:	Yeah, I do!
context: Yeah. Totoro?\Yeah, Totoro.\I just saw this huge Totoro doll walking off that way!\What?! A big Totoro? Really?!\You bet'cha.\That sucker was huge!\You want to see it?\Yeah, I do! response:	We better hurry an' go find it! We're gonna lose it!
context: Yeah, Totoro.\I just saw this huge Totoro doll walking off that way!\What?! A big Totoro? Really?!\You bet'cha.\That sucker was huge!\You want to see it?\Yeah, I do!\We better hurry an' go find it! We're gonna lose it! response:	Let's go!
context: I just saw this huge Totoro doll walking off that way!\What?! A big Totoro? Really?!\You bet'cha.\That sucker was huge!\You want to see it?\Yeah, I do!\We better hurry an' go find it! We're gonna lose it!\Let's go! response:	Hey, you two.
context: What?! A big Totoro? Really?!\You bet'cha.\That sucker was huge!\You want to see it?\Yeah, I do!\We better hurry an' go find it! We're gonna lose it!\Let's go!\Hey, you two. response:	Heh, she noticed.
context: You bet'cha.\That sucker was huge!\You want to see it?\Yeah, I do!\We better hurry an' go find it! We're gonna lose it!\Let's go!\Hey, you two.\Heh, she noticed. response:	Cut it out, that's mean!
context: That sucker was huge!\You want to see it?\Yeah, I do!\We better hurry an' go find it! We're gonna lose it!\Let's go!\Hey, you two.\Heh, she noticed.\Cut it out, that's mean! response:	This is friendship...?
context: You want to see it?\Yeah, I do!\We better hurry an' go find it! We're gonna lose it!\Let's go!\Hey, you two.\Heh, she noticed.\Cut it out, that's mean!\This is friendship...? response:	Thank you for waiting.
context: Yeah, I do!\We better hurry an' go find it! We're gonna lose it!\Let's go!\Hey, you two.\Heh, she noticed.\Cut it out, that's mean!\This is friendship...?\Thank you for waiting. response:	Here's a Bear Surprise Giant Parfait.
context: We better hurry an' go find it! We're gonna lose it!\Let's go!\Hey, you two.\Heh, she noticed.\Cut it out, that's mean!\This is friendship...?\Thank you for waiting.\Here's a Bear Surprise Giant Parfait. response:	We're sorry, Tsubasa. It's on us.
context: Let's go!\Hey, you two.\Heh, she noticed.\Cut it out, that's mean!\This is friendship...?\Thank you for waiting.\Here's a Bear Surprise Giant Parfait.\We're sorry, Tsubasa. It's on us. response:	Here, say ah...
context: Hey, you two.\Heh, she noticed.\Cut it out, that's mean!\This is friendship...?\Thank you for waiting.\Here's a Bear Surprise Giant Parfait.\We're sorry, Tsubasa. It's on us.\Here, say ah... response:	Here, have some of my cake.
context: Heh, she noticed.\Cut it out, that's mean!\This is friendship...?\Thank you for waiting.\Here's a Bear Surprise Giant Parfait.\We're sorry, Tsubasa. It's on us.\Here, say ah...\Here, have some of my cake. response:	Have some of my tea.
context: Cut it out, that's mean!\This is friendship...?\Thank you for waiting.\Here's a Bear Surprise Giant Parfait.\We're sorry, Tsubasa. It's on us.\Here, say ah...\Here, have some of my cake.\Have some of my tea. response:	And some coffee.
context: This is friendship...?\Thank you for waiting.\Here's a Bear Surprise Giant Parfait.\We're sorry, Tsubasa. It's on us.\Here, say ah...\Here, have some of my cake.\Have some of my tea.\And some coffee. response:	Whoa, Tsubasa's gone berserk!
context: Thank you for waiting.\Here's a Bear Surprise Giant Parfait.\We're sorry, Tsubasa. It's on us.\Here, say ah...\Here, have some of my cake.\Have some of my tea.\And some coffee.\Whoa, Tsubasa's gone berserk! response:	I'm beginning to see how these four operate.
context: Here's a Bear Surprise Giant Parfait.\We're sorry, Tsubasa. It's on us.\Here, say ah...\Here, have some of my cake.\Have some of my tea.\And some coffee.\Whoa, Tsubasa's gone berserk!\I'm beginning to see how these four operate. response:	You four all went to the same middle school, right?
context: We're sorry, Tsubasa. It's on us.\Here, say ah...\Here, have some of my cake.\Have some of my tea.\And some coffee.\Whoa, Tsubasa's gone berserk!\I'm beginning to see how these four operate.\You four all went to the same middle school, right? response:	That's right. Hatadai Jr. High.
context: Here, say ah...\Here, have some of my cake.\Have some of my tea.\And some coffee.\Whoa, Tsubasa's gone berserk!\I'm beginning to see how these four operate.\You four all went to the same middle school, right?\That's right. Hatadai Jr. High. response:	I'm from South Shirakawa Jr. High!
context: Here, have some of my cake.\Have some of my tea.\And some coffee.\Whoa, Tsubasa's gone berserk!\I'm beginning to see how these four operate.\You four all went to the same middle school, right?\That's right. Hatadai Jr. High.\I'm from South Shirakawa Jr. High! response:	Horikawa West Jr. High.
context: Have some of my tea.\And some coffee.\Whoa, Tsubasa's gone berserk!\I'm beginning to see how these four operate.\You four all went to the same middle school, right?\That's right. Hatadai Jr. High.\I'm from South Shirakawa Jr. High!\Horikawa West Jr. High. response:	How'd you all meet?
context: And some coffee.\Whoa, Tsubasa's gone berserk!\I'm beginning to see how these four operate.\You four all went to the same middle school, right?\That's right. Hatadai Jr. High.\I'm from South Shirakawa Jr. High!\Horikawa West Jr. High.\How'd you all meet? response:	To start with,
context: Whoa, Tsubasa's gone berserk!\I'm beginning to see how these four operate.\You four all went to the same middle school, right?\That's right. Hatadai Jr. High.\I'm from South Shirakawa Jr. High!\Horikawa West Jr. High.\How'd you all meet?\To start with, response:	Tsubasa and I haven't been able to get rid of each other since kindergarten.
context: I'm beginning to see how these four operate.\You four all went to the same middle school, right?\That's right. Hatadai Jr. High.\I'm from South Shirakawa Jr. High!\Horikawa West Jr. High.\How'd you all meet?\To start with,\Tsubasa and I haven't been able to get rid of each other since kindergarten. response:	And Rika's house is next to mine, so we've been friends since childhood.
context: You four all went to the same middle school, right?\That's right. Hatadai Jr. High.\I'm from South Shirakawa Jr. High!\Horikawa West Jr. High.\How'd you all meet?\To start with,\Tsubasa and I haven't been able to get rid of each other since kindergarten.\And Rika's house is next to mine, so we've been friends since childhood. response:	Tsubasa was really shy, even back then.
context: That's right. Hatadai Jr. High.\I'm from South Shirakawa Jr. High!\Horikawa West Jr. High.\How'd you all meet?\To start with,\Tsubasa and I haven't been able to get rid of each other since kindergarten.\And Rika's house is next to mine, so we've been friends since childhood.\Tsubasa was really shy, even back then. response:	You're really cute. You wanna play with some clay with me?
