context: 8:50 PM May 7 (Sunday) response:	Sorry! I overslept!
context: S-Sorry.\I wonder what happened to Yuri in Japan.\He used to hate practice.\He was arrogant about his abilities\because no one in his age group rivaled him.\But I think his face-off with Yuri Katsuki in Japan was his wake-up call.\This may make things interesting.\Hey! response:	Huh?
context: I wonder what happened to Yuri in Japan.\He used to hate practice.\He was arrogant about his abilities\because no one in his age group rivaled him.\But I think his face-off with Yuri Katsuki in Japan was his wake-up call.\This may make things interesting.\Hey!\Huh? response:	It's Lilia Baranovskaya!
context: He used to hate practice.\He was arrogant about his abilities\because no one in his age group rivaled him.\But I think his face-off with Yuri Katsuki in Japan was his wake-up call.\This may make things interesting.\Hey!\Huh?\It's Lilia Baranovskaya! response:	The former prima ballerina of the Bolshoi Ballet!
context: He was arrogant about his abilities\because no one in his age group rivaled him.\But I think his face-off with Yuri Katsuki in Japan was his wake-up call.\This may make things interesting.\Hey!\Huh?\It's Lilia Baranovskaya!\The former prima ballerina of the Bolshoi Ballet! response:	Thank you for coming, Lilia.
context: because no one in his age group rivaled him.\But I think his face-off with Yuri Katsuki in Japan was his wake-up call.\This may make things interesting.\Hey!\Huh?\It's Lilia Baranovskaya!\The former prima ballerina of the Bolshoi Ballet!\Thank you for coming, Lilia. response:	So which one is he?
context: But I think his face-off with Yuri Katsuki in Japan was his wake-up call.\This may make things interesting.\Hey!\Huh?\It's Lilia Baranovskaya!\The former prima ballerina of the Bolshoi Ballet!\Thank you for coming, Lilia.\So which one is he? response:	If I don't like what I see, I'll go home.
context: This may make things interesting.\Hey!\Huh?\It's Lilia Baranovskaya!\The former prima ballerina of the Bolshoi Ballet!\Thank you for coming, Lilia.\So which one is he?\If I don't like what I see, I'll go home. response:	Who's this hag?
context: Hey!\Huh?\It's Lilia Baranovskaya!\The former prima ballerina of the Bolshoi Ballet!\Thank you for coming, Lilia.\So which one is he?\If I don't like what I see, I'll go home.\Who's this hag? response:	No cavities.
context: Huh?\It's Lilia Baranovskaya!\The former prima ballerina of the Bolshoi Ballet!\Thank you for coming, Lilia.\So which one is he?\If I don't like what I see, I'll go home.\Who's this hag?\No cavities. response:	Ow, ow, ow!
context: It's Lilia Baranovskaya!\The former prima ballerina of the Bolshoi Ballet!\Thank you for coming, Lilia.\So which one is he?\If I don't like what I see, I'll go home.\Who's this hag?\No cavities.\Ow, ow, ow! response:	Physically, he's abysmal.
context: The former prima ballerina of the Bolshoi Ballet!\Thank you for coming, Lilia.\So which one is he?\If I don't like what I see, I'll go home.\Who's this hag?\No cavities.\Ow, ow, ow!\Physically, he's abysmal. response:	We start from square one with ballet lessons.
context: Thank you for coming, Lilia.\So which one is he?\If I don't like what I see, I'll go home.\Who's this hag?\No cavities.\Ow, ow, ow!\Physically, he's abysmal.\We start from square one with ballet lessons. response:	Do what you want.
context: So which one is he?\If I don't like what I see, I'll go home.\Who's this hag?\No cavities.\Ow, ow, ow!\Physically, he's abysmal.\We start from square one with ballet lessons.\Do what you want. response:	What the hell?!
context: If I don't like what I see, I'll go home.\Who's this hag?\No cavities.\Ow, ow, ow!\Physically, he's abysmal.\We start from square one with ballet lessons.\Do what you want.\What the hell?! response:	I will choreograph your free program.
context: Who's this hag?\No cavities.\Ow, ow, ow!\Physically, he's abysmal.\We start from square one with ballet lessons.\Do what you want.\What the hell?!\I will choreograph your free program. response:	First, I've decided on your next goal.
context: No cavities.\Ow, ow, ow!\Physically, he's abysmal.\We start from square one with ballet lessons.\Do what you want.\What the hell?!\I will choreograph your free program.\First, I've decided on your next goal. response:	Become this season's principal
context: Ow, ow, ow!\Physically, he's abysmal.\We start from square one with ballet lessons.\Do what you want.\What the hell?!\I will choreograph your free program.\First, I've decided on your next goal.\Become this season's principal response:	no, prima ballerina.
context: Physically, he's abysmal.\We start from square one with ballet lessons.\Do what you want.\What the hell?!\I will choreograph your free program.\First, I've decided on your next goal.\Become this season's principal\no, prima ballerina. response:	If you are willing to sell your soul to win.
context: We start from square one with ballet lessons.\Do what you want.\What the hell?!\I will choreograph your free program.\First, I've decided on your next goal.\Become this season's principal\no, prima ballerina.\If you are willing to sell your soul to win. response:	P-Prima ballerina?
context: Do what you want.\What the hell?!\I will choreograph your free program.\First, I've decided on your next goal.\Become this season's principal\no, prima ballerina.\If you are willing to sell your soul to win.\P-Prima ballerina? response:	If selling my soul is all it takes to win,
context: What the hell?!\I will choreograph your free program.\First, I've decided on your next goal.\Become this season's principal\no, prima ballerina.\If you are willing to sell your soul to win.\P-Prima ballerina?\If selling my soul is all it takes to win, response:	I'll give you my whole body, no holds barred.
context: I will choreograph your free program.\First, I've decided on your next goal.\Become this season's principal\no, prima ballerina.\If you are willing to sell your soul to win.\P-Prima ballerina?\If selling my soul is all it takes to win,\I'll give you my whole body, no holds barred. response:	I am Lilia Baranovskaya.
context: First, I've decided on your next goal.\Become this season's principal\no, prima ballerina.\If you are willing to sell your soul to win.\P-Prima ballerina?\If selling my soul is all it takes to win,\I'll give you my whole body, no holds barred.\I am Lilia Baranovskaya. response:	Go home and pack up your things.
context: Become this season's principal\no, prima ballerina.\If you are willing to sell your soul to win.\P-Prima ballerina?\If selling my soul is all it takes to win,\I'll give you my whole body, no holds barred.\I am Lilia Baranovskaya.\Go home and pack up your things. response:	You'll be living with me from now on to practice.
context: no, prima ballerina.\If you are willing to sell your soul to win.\P-Prima ballerina?\If selling my soul is all it takes to win,\I'll give you my whole body, no holds barred.\I am Lilia Baranovskaya.\Go home and pack up your things.\You'll be living with me from now on to practice. response:	With Yakov, too.
context: If you are willing to sell your soul to win.\P-Prima ballerina?\If selling my soul is all it takes to win,\I'll give you my whole body, no holds barred.\I am Lilia Baranovskaya.\Go home and pack up your things.\You'll be living with me from now on to practice.\With Yakov, too. response:	Lilia!
context: P-Prima ballerina?\If selling my soul is all it takes to win,\I'll give you my whole body, no holds barred.\I am Lilia Baranovskaya.\Go home and pack up your things.\You'll be living with me from now on to practice.\With Yakov, too.\Lilia! response:	Don't get me wrong, Yakov.
context: If selling my soul is all it takes to win,\I'll give you my whole body, no holds barred.\I am Lilia Baranovskaya.\Go home and pack up your things.\You'll be living with me from now on to practice.\With Yakov, too.\Lilia!\Don't get me wrong, Yakov. response:	I don't intend to get back together with you.
context: I'll give you my whole body, no holds barred.\I am Lilia Baranovskaya.\Go home and pack up your things.\You'll be living with me from now on to practice.\With Yakov, too.\Lilia!\Don't get me wrong, Yakov.\I don't intend to get back together with you. response:	Huh? What?
context: I am Lilia Baranovskaya.\Go home and pack up your things.\You'll be living with me from now on to practice.\With Yakov, too.\Lilia!\Don't get me wrong, Yakov.\I don't intend to get back together with you.\Huh? What? response:	I don't really get it,
context: Go home and pack up your things.\You'll be living with me from now on to practice.\With Yakov, too.\Lilia!\Don't get me wrong, Yakov.\I don't intend to get back together with you.\Huh? What?\I don't really get it, response:	but Yurio-kun's coach brought in his ex-wife.
context: You'll be living with me from now on to practice.\With Yakov, too.\Lilia!\Don't get me wrong, Yakov.\I don't intend to get back together with you.\Huh? What?\I don't really get it,\but Yurio-kun's coach brought in his ex-wife. response:	Now he's getting scolded by her day and night.
context: With Yakov, too.\Lilia!\Don't get me wrong, Yakov.\I don't intend to get back together with you.\Huh? What?\I don't really get it,\but Yurio-kun's coach brought in his ex-wife.\Now he's getting scolded by her day and night. response:	Huh, I see.
context: Lilia!\Don't get me wrong, Yakov.\I don't intend to get back together with you.\Huh? What?\I don't really get it,\but Yurio-kun's coach brought in his ex-wife.\Now he's getting scolded by her day and night.\Huh, I see. response:	Have you chosen the music for your free program, Yuri-kun?
context: Don't get me wrong, Yakov.\I don't intend to get back together with you.\Huh? What?\I don't really get it,\but Yurio-kun's coach brought in his ex-wife.\Now he's getting scolded by her day and night.\Huh, I see.\Have you chosen the music for your free program, Yuri-kun? response:	Oh, well, I had Victor listen to one...
context: I don't intend to get back together with you.\Huh? What?\I don't really get it,\but Yurio-kun's coach brought in his ex-wife.\Now he's getting scolded by her day and night.\Huh, I see.\Have you chosen the music for your free program, Yuri-kun?\Oh, well, I had Victor listen to one... response:	Oh, I see. So this is how it sounds.
context: Huh? What?\I don't really get it,\but Yurio-kun's coach brought in his ex-wife.\Now he's getting scolded by her day and night.\Huh, I see.\Have you chosen the music for your free program, Yuri-kun?\Oh, well, I had Victor listen to one...\Oh, I see. So this is how it sounds. response:	But his reaction was lukewarm.
context: I don't really get it,\but Yurio-kun's coach brought in his ex-wife.\Now he's getting scolded by her day and night.\Huh, I see.\Have you chosen the music for your free program, Yuri-kun?\Oh, well, I had Victor listen to one...\Oh, I see. So this is how it sounds.\But his reaction was lukewarm. response:	The Smackdown
context: but Yurio-kun's coach brought in his ex-wife.\Now he's getting scolded by her day and night.\Huh, I see.\Have you chosen the music for your free program, Yuri-kun?\Oh, well, I had Victor listen to one...\Oh, I see. So this is how it sounds.\But his reaction was lukewarm.\The Smackdown response:	You should think of other possibilities.
context: Now he's getting scolded by her day and night.\Huh, I see.\Have you chosen the music for your free program, Yuri-kun?\Oh, well, I had Victor listen to one...\Oh, I see. So this is how it sounds.\But his reaction was lukewarm.\The Smackdown\You should think of other possibilities. response:	My usual way was to have my coach pick something from what was available,
context: Huh, I see.\Have you chosen the music for your free program, Yuri-kun?\Oh, well, I had Victor listen to one...\Oh, I see. So this is how it sounds.\But his reaction was lukewarm.\The Smackdown\You should think of other possibilities.\My usual way was to have my coach pick something from what was available, response:	and to let him choreograph it, too.
context: Have you chosen the music for your free program, Yuri-kun?\Oh, well, I had Victor listen to one...\Oh, I see. So this is how it sounds.\But his reaction was lukewarm.\The Smackdown\You should think of other possibilities.\My usual way was to have my coach pick something from what was available,\and to let him choreograph it, too. response:	But Victor wasn't like that.
context: Oh, well, I had Victor listen to one...\Oh, I see. So this is how it sounds.\But his reaction was lukewarm.\The Smackdown\You should think of other possibilities.\My usual way was to have my coach pick something from what was available,\and to let him choreograph it, too.\But Victor wasn't like that. response:	He choreographed his own programs and had new music written to create stories.
context: Oh, I see. So this is how it sounds.\But his reaction was lukewarm.\The Smackdown\You should think of other possibilities.\My usual way was to have my coach pick something from what was available,\and to let him choreograph it, too.\But Victor wasn't like that.\He choreographed his own programs and had new music written to create stories. response:	I did dream about doing that myself someday, but...
context: But his reaction was lukewarm.\The Smackdown\You should think of other possibilities.\My usual way was to have my coach pick something from what was available,\and to let him choreograph it, too.\But Victor wasn't like that.\He choreographed his own programs and had new music written to create stories.\I did dream about doing that myself someday, but... response:	Oh, Phichit-kun...
context: The Smackdown\You should think of other possibilities.\My usual way was to have my coach pick something from what was available,\and to let him choreograph it, too.\But Victor wasn't like that.\He choreographed his own programs and had new music written to create stories.\I did dream about doing that myself someday, but...\Oh, Phichit-kun... response:	He's practicing back home in Thailand.
context: You should think of other possibilities.\My usual way was to have my coach pick something from what was available,\and to let him choreograph it, too.\But Victor wasn't like that.\He choreographed his own programs and had new music written to create stories.\I did dream about doing that myself someday, but...\Oh, Phichit-kun...\He's practicing back home in Thailand. response:	Hey, Phichit-kun?
context: My usual way was to have my coach pick something from what was available,\and to let him choreograph it, too.\But Victor wasn't like that.\He choreographed his own programs and had new music written to create stories.\I did dream about doing that myself someday, but...\Oh, Phichit-kun...\He's practicing back home in Thailand.\Hey, Phichit-kun? response:	Sawasdee krab.
context: and to let him choreograph it, too.\But Victor wasn't like that.\He choreographed his own programs and had new music written to create stories.\I did dream about doing that myself someday, but...\Oh, Phichit-kun...\He's practicing back home in Thailand.\Hey, Phichit-kun?\Sawasdee krab. response:	Yuri!
context: But Victor wasn't like that.\He choreographed his own programs and had new music written to create stories.\I did dream about doing that myself someday, but...\Oh, Phichit-kun...\He's practicing back home in Thailand.\Hey, Phichit-kun?\Sawasdee krab.\Yuri! response:	It's been a while. How have you been?
context: He choreographed his own programs and had new music written to create stories.\I did dream about doing that myself someday, but...\Oh, Phichit-kun...\He's practicing back home in Thailand.\Hey, Phichit-kun?\Sawasdee krab.\Yuri!\It's been a while. How have you been? response:	You're practicing back in Thailand, huh?
context: I did dream about doing that myself someday, but...\Oh, Phichit-kun...\He's practicing back home in Thailand.\Hey, Phichit-kun?\Sawasdee krab.\Yuri!\It's been a while. How have you been?\You're practicing back in Thailand, huh? response:	Yeah, Detroit's boring now that you're gone.
context: Oh, Phichit-kun...\He's practicing back home in Thailand.\Hey, Phichit-kun?\Sawasdee krab.\Yuri!\It's been a while. How have you been?\You're practicing back in Thailand, huh?\Yeah, Detroit's boring now that you're gone. response:	Oh, you should come visit Bangkok.
context: He's practicing back home in Thailand.\Hey, Phichit-kun?\Sawasdee krab.\Yuri!\It's been a while. How have you been?\You're practicing back in Thailand, huh?\Yeah, Detroit's boring now that you're gone.\Oh, you should come visit Bangkok. response:	I'll show you around.
context: Hey, Phichit-kun?\Sawasdee krab.\Yuri!\It's been a while. How have you been?\You're practicing back in Thailand, huh?\Yeah, Detroit's boring now that you're gone.\Oh, you should come visit Bangkok.\I'll show you around. response:	Khob khun, kup.
context: Sawasdee krab.\Yuri!\It's been a while. How have you been?\You're practicing back in Thailand, huh?\Yeah, Detroit's boring now that you're gone.\Oh, you should come visit Bangkok.\I'll show you around.\Khob khun, kup. response:	Hey, Phichit-kun, do you remember how I had a music demo made?
context: Yuri!\It's been a while. How have you been?\You're practicing back in Thailand, huh?\Yeah, Detroit's boring now that you're gone.\Oh, you should come visit Bangkok.\I'll show you around.\Khob khun, kup.\Hey, Phichit-kun, do you remember how I had a music demo made? response:	Oh, yeah!
context: It's been a while. How have you been?\You're practicing back in Thailand, huh?\Yeah, Detroit's boring now that you're gone.\Oh, you should come visit Bangkok.\I'll show you around.\Khob khun, kup.\Hey, Phichit-kun, do you remember how I had a music demo made?\Oh, yeah! response:	By the conservatory student?
context: You're practicing back in Thailand, huh?\Yeah, Detroit's boring now that you're gone.\Oh, you should come visit Bangkok.\I'll show you around.\Khob khun, kup.\Hey, Phichit-kun, do you remember how I had a music demo made?\Oh, yeah!\By the conservatory student? response:	You asked her to compose it, right?
context: Yeah, Detroit's boring now that you're gone.\Oh, you should come visit Bangkok.\I'll show you around.\Khob khun, kup.\Hey, Phichit-kun, do you remember how I had a music demo made?\Oh, yeah!\By the conservatory student?\You asked her to compose it, right? response:	Yeah. It got shelved in the end...
context: Oh, you should come visit Bangkok.\I'll show you around.\Khob khun, kup.\Hey, Phichit-kun, do you remember how I had a music demo made?\Oh, yeah!\By the conservatory student?\You asked her to compose it, right?\Yeah. It got shelved in the end... response:	Sorry, and after you spent time composing it...
context: I'll show you around.\Khob khun, kup.\Hey, Phichit-kun, do you remember how I had a music demo made?\Oh, yeah!\By the conservatory student?\You asked her to compose it, right?\Yeah. It got shelved in the end...\Sorry, and after you spent time composing it... response:	Oh, it's fine. Just keep it.
context: Khob khun, kup.\Hey, Phichit-kun, do you remember how I had a music demo made?\Oh, yeah!\By the conservatory student?\You asked her to compose it, right?\Yeah. It got shelved in the end...\Sorry, and after you spent time composing it...\Oh, it's fine. Just keep it. response:	Sorry.
context: Hey, Phichit-kun, do you remember how I had a music demo made?\Oh, yeah!\By the conservatory student?\You asked her to compose it, right?\Yeah. It got shelved in the end...\Sorry, and after you spent time composing it...\Oh, it's fine. Just keep it.\Sorry. response:	Things got awkward with her after that.
context: Oh, yeah!\By the conservatory student?\You asked her to compose it, right?\Yeah. It got shelved in the end...\Sorry, and after you spent time composing it...\Oh, it's fine. Just keep it.\Sorry.\Things got awkward with her after that. response:	Oh, I see...
context: By the conservatory student?\You asked her to compose it, right?\Yeah. It got shelved in the end...\Sorry, and after you spent time composing it...\Oh, it's fine. Just keep it.\Sorry.\Things got awkward with her after that.\Oh, I see... response:	I'll put out feelers to see where she is.
context: You asked her to compose it, right?\Yeah. It got shelved in the end...\Sorry, and after you spent time composing it...\Oh, it's fine. Just keep it.\Sorry.\Things got awkward with her after that.\Oh, I see...\I'll put out feelers to see where she is. response:	I'm sure she's not mad or anything.
context: Yeah. It got shelved in the end...\Sorry, and after you spent time composing it...\Oh, it's fine. Just keep it.\Sorry.\Things got awkward with her after that.\Oh, I see...\I'll put out feelers to see where she is.\I'm sure she's not mad or anything. response:	This piece has been bothering me for a while.
context: Sorry, and after you spent time composing it...\Oh, it's fine. Just keep it.\Sorry.\Things got awkward with her after that.\Oh, I see...\I'll put out feelers to see where she is.\I'm sure she's not mad or anything.\This piece has been bothering me for a while. response:	It really is a bit weak...
context: Oh, it's fine. Just keep it.\Sorry.\Things got awkward with her after that.\Oh, I see...\I'll put out feelers to see where she is.\I'm sure she's not mad or anything.\This piece has been bothering me for a while.\It really is a bit weak... response:	But I guess that makes sense.
context: Sorry.\Things got awkward with her after that.\Oh, I see...\I'll put out feelers to see where she is.\I'm sure she's not mad or anything.\This piece has been bothering me for a while.\It really is a bit weak...\But I guess that makes sense. response:	I asked her to compose a piece that'd express my whole career as a skater.
context: Things got awkward with her after that.\Oh, I see...\I'll put out feelers to see where she is.\I'm sure she's not mad or anything.\This piece has been bothering me for a while.\It really is a bit weak...\But I guess that makes sense.\I asked her to compose a piece that'd express my whole career as a skater. response:	She did capture it pretty well...
context: Oh, I see...\I'll put out feelers to see where she is.\I'm sure she's not mad or anything.\This piece has been bothering me for a while.\It really is a bit weak...\But I guess that makes sense.\I asked her to compose a piece that'd express my whole career as a skater.\She did capture it pretty well... response:	My underwhelming life in competitive figure skating.
context: I'll put out feelers to see where she is.\I'm sure she's not mad or anything.\This piece has been bothering me for a while.\It really is a bit weak...\But I guess that makes sense.\I asked her to compose a piece that'd express my whole career as a skater.\She did capture it pretty well...\My underwhelming life in competitive figure skating. response:	What should I have done differently?
context: I'm sure she's not mad or anything.\This piece has been bothering me for a while.\It really is a bit weak...\But I guess that makes sense.\I asked her to compose a piece that'd express my whole career as a skater.\She did capture it pretty well...\My underwhelming life in competitive figure skating.\What should I have done differently? response:	No! No!
context: This piece has been bothering me for a while.\It really is a bit weak...\But I guess that makes sense.\I asked her to compose a piece that'd express my whole career as a skater.\She did capture it pretty well...\My underwhelming life in competitive figure skating.\What should I have done differently?\No! No! response:	Not like that at all!
context: It really is a bit weak...\But I guess that makes sense.\I asked her to compose a piece that'd express my whole career as a skater.\She did capture it pretty well...\My underwhelming life in competitive figure skating.\What should I have done differently?\No! No!\Not like that at all! response:	Throw yourself away!
context: But I guess that makes sense.\I asked her to compose a piece that'd express my whole career as a skater.\She did capture it pretty well...\My underwhelming life in competitive figure skating.\What should I have done differently?\No! No!\Not like that at all!\Throw yourself away! response:	Your past self is dead!
context: I asked her to compose a piece that'd express my whole career as a skater.\She did capture it pretty well...\My underwhelming life in competitive figure skating.\What should I have done differently?\No! No!\Not like that at all!\Throw yourself away!\Your past self is dead! response:	People who can be reborn as many times as necessary are the strong ones.
context: She did capture it pretty well...\My underwhelming life in competitive figure skating.\What should I have done differently?\No! No!\Not like that at all!\Throw yourself away!\Your past self is dead!\People who can be reborn as many times as necessary are the strong ones. response:	What? You still haven't chosen the music?
context: My underwhelming life in competitive figure skating.\What should I have done differently?\No! No!\Not like that at all!\Throw yourself away!\Your past self is dead!\People who can be reborn as many times as necessary are the strong ones.\What? You still haven't chosen the music? response:	Why can't you trust your own decisions?
context: What should I have done differently?\No! No!\Not like that at all!\Throw yourself away!\Your past self is dead!\People who can be reborn as many times as necessary are the strong ones.\What? You still haven't chosen the music?\Why can't you trust your own decisions? response:	Just try to remember something, like when a girlfriend loved you.
context: No! No!\Not like that at all!\Throw yourself away!\Your past self is dead!\People who can be reborn as many times as necessary are the strong ones.\What? You still haven't chosen the music?\Why can't you trust your own decisions?\Just try to remember something, like when a girlfriend loved you. response:	Huh?!
context: Not like that at all!\Throw yourself away!\Your past self is dead!\People who can be reborn as many times as necessary are the strong ones.\What? You still haven't chosen the music?\Why can't you trust your own decisions?\Just try to remember something, like when a girlfriend loved you.\Huh?! response:	S-S-Sorry! Right now, it's just that I
context: Throw yourself away!\Your past self is dead!\People who can be reborn as many times as necessary are the strong ones.\What? You still haven't chosen the music?\Why can't you trust your own decisions?\Just try to remember something, like when a girlfriend loved you.\Huh?!\S-S-Sorry! Right now, it's just that I response:	Oh, right. You've never had a girlfriend.
context: Your past self is dead!\People who can be reborn as many times as necessary are the strong ones.\What? You still haven't chosen the music?\Why can't you trust your own decisions?\Just try to remember something, like when a girlfriend loved you.\Huh?!\S-S-Sorry! Right now, it's just that I\Oh, right. You've never had a girlfriend. response:	Yuri, let's go somewhere today.
context: People who can be reborn as many times as necessary are the strong ones.\What? You still haven't chosen the music?\Why can't you trust your own decisions?\Just try to remember something, like when a girlfriend loved you.\Huh?!\S-S-Sorry! Right now, it's just that I\Oh, right. You've never had a girlfriend.\Yuri, let's go somewhere today. response:	No, it's okay.
context: What? You still haven't chosen the music?\Why can't you trust your own decisions?\Just try to remember something, like when a girlfriend loved you.\Huh?!\S-S-Sorry! Right now, it's just that I\Oh, right. You've never had a girlfriend.\Yuri, let's go somewhere today.\No, it's okay. response:	Yuri, let's go take a bath.
context: Why can't you trust your own decisions?\Just try to remember something, like when a girlfriend loved you.\Huh?!\S-S-Sorry! Right now, it's just that I\Oh, right. You've never had a girlfriend.\Yuri, let's go somewhere today.\No, it's okay.\Yuri, let's go take a bath. response:	I'm going to sleep.
context: Just try to remember something, like when a girlfriend loved you.\Huh?!\S-S-Sorry! Right now, it's just that I\Oh, right. You've never had a girlfriend.\Yuri, let's go somewhere today.\No, it's okay.\Yuri, let's go take a bath.\I'm going to sleep. response:	Yuri, let's go to sleep together.
context: Huh?!\S-S-Sorry! Right now, it's just that I\Oh, right. You've never had a girlfriend.\Yuri, let's go somewhere today.\No, it's okay.\Yuri, let's go take a bath.\I'm going to sleep.\Yuri, let's go to sleep together. response:	I can't stand this guilt!
context: S-S-Sorry! Right now, it's just that I\Oh, right. You've never had a girlfriend.\Yuri, let's go somewhere today.\No, it's okay.\Yuri, let's go take a bath.\I'm going to sleep.\Yuri, let's go to sleep together.\I can't stand this guilt! response:	Good morning, Yuri.
context: Oh, right. You've never had a girlfriend.\Yuri, let's go somewhere today.\No, it's okay.\Yuri, let's go take a bath.\I'm going to sleep.\Yuri, let's go to sleep together.\I can't stand this guilt!\Good morning, Yuri. response:	Let's go to the ocean.
context: Yuri, let's go somewhere today.\No, it's okay.\Yuri, let's go take a bath.\I'm going to sleep.\Yuri, let's go to sleep together.\I can't stand this guilt!\Good morning, Yuri.\Let's go to the ocean. response:	Okay...
context: No, it's okay.\Yuri, let's go take a bath.\I'm going to sleep.\Yuri, let's go to sleep together.\I can't stand this guilt!\Good morning, Yuri.\Let's go to the ocean.\Okay... response:	Oh, seagulls.
context: Yuri, let's go take a bath.\I'm going to sleep.\Yuri, let's go to sleep together.\I can't stand this guilt!\Good morning, Yuri.\Let's go to the ocean.\Okay...\Oh, seagulls. response:	Black-tailed gulls.
context: I'm going to sleep.\Yuri, let's go to sleep together.\I can't stand this guilt!\Good morning, Yuri.\Let's go to the ocean.\Okay...\Oh, seagulls.\Black-tailed gulls. response:	Ever since I came here,
context: Yuri, let's go to sleep together.\I can't stand this guilt!\Good morning, Yuri.\Let's go to the ocean.\Okay...\Oh, seagulls.\Black-tailed gulls.\Ever since I came here, response:	I'm reminded of St. Petersburg when I hear seagulls in the early morning.
context: I can't stand this guilt!\Good morning, Yuri.\Let's go to the ocean.\Okay...\Oh, seagulls.\Black-tailed gulls.\Ever since I came here,\I'm reminded of St. Petersburg when I hear seagulls in the early morning. response:	I never thought I'd leave that city,
context: Good morning, Yuri.\Let's go to the ocean.\Okay...\Oh, seagulls.\Black-tailed gulls.\Ever since I came here,\I'm reminded of St. Petersburg when I hear seagulls in the early morning.\I never thought I'd leave that city, response:	so I never used to notice the seagulls' cries.
context: Let's go to the ocean.\Okay...\Oh, seagulls.\Black-tailed gulls.\Ever since I came here,\I'm reminded of St. Petersburg when I hear seagulls in the early morning.\I never thought I'd leave that city,\so I never used to notice the seagulls' cries. response:	Do you ever have times like that?
context: Okay...\Oh, seagulls.\Black-tailed gulls.\Ever since I came here,\I'm reminded of St. Petersburg when I hear seagulls in the early morning.\I never thought I'd leave that city,\so I never used to notice the seagulls' cries.\Do you ever have times like that? response:	There was a girl in Detroit who was really pushy and kept talking to me.
context: Oh, seagulls.\Black-tailed gulls.\Ever since I came here,\I'm reminded of St. Petersburg when I hear seagulls in the early morning.\I never thought I'd leave that city,\so I never used to notice the seagulls' cries.\Do you ever have times like that?\There was a girl in Detroit who was really pushy and kept talking to me. response:	One time, a rink mate got into an accident.
context: Black-tailed gulls.\Ever since I came here,\I'm reminded of St. Petersburg when I hear seagulls in the early morning.\I never thought I'd leave that city,\so I never used to notice the seagulls' cries.\Do you ever have times like that?\There was a girl in Detroit who was really pushy and kept talking to me.\One time, a rink mate got into an accident. response:	I was pretty torn up with worry...
context: Ever since I came here,\I'm reminded of St. Petersburg when I hear seagulls in the early morning.\I never thought I'd leave that city,\so I never used to notice the seagulls' cries.\Do you ever have times like that?\There was a girl in Detroit who was really pushy and kept talking to me.\One time, a rink mate got into an accident.\I was pretty torn up with worry... response:	I was in the hospital waiting room with that girl.
context: I'm reminded of St. Petersburg when I hear seagulls in the early morning.\I never thought I'd leave that city,\so I never used to notice the seagulls' cries.\Do you ever have times like that?\There was a girl in Detroit who was really pushy and kept talking to me.\One time, a rink mate got into an accident.\I was pretty torn up with worry...\I was in the hospital waiting room with that girl. response:	When she hugged me to comfort me,
context: I never thought I'd leave that city,\so I never used to notice the seagulls' cries.\Do you ever have times like that?\There was a girl in Detroit who was really pushy and kept talking to me.\One time, a rink mate got into an accident.\I was pretty torn up with worry...\I was in the hospital waiting room with that girl.\When she hugged me to comfort me, response:	I shoved her away without thinking about it.
context: so I never used to notice the seagulls' cries.\Do you ever have times like that?\There was a girl in Detroit who was really pushy and kept talking to me.\One time, a rink mate got into an accident.\I was pretty torn up with worry...\I was in the hospital waiting room with that girl.\When she hugged me to comfort me,\I shoved her away without thinking about it. response:	Wow, why?
context: Do you ever have times like that?\There was a girl in Detroit who was really pushy and kept talking to me.\One time, a rink mate got into an accident.\I was pretty torn up with worry...\I was in the hospital waiting room with that girl.\When she hugged me to comfort me,\I shoved her away without thinking about it.\Wow, why? response:	I didn't want her to think I was feeling unsettled.
context: There was a girl in Detroit who was really pushy and kept talking to me.\One time, a rink mate got into an accident.\I was pretty torn up with worry...\I was in the hospital waiting room with that girl.\When she hugged me to comfort me,\I shoved her away without thinking about it.\Wow, why?\I didn't want her to think I was feeling unsettled. response:	I felt like she was intruding on my feelings or something, and I hated it.
context: One time, a rink mate got into an accident.\I was pretty torn up with worry...\I was in the hospital waiting room with that girl.\When she hugged me to comfort me,\I shoved her away without thinking about it.\Wow, why?\I didn't want her to think I was feeling unsettled.\I felt like she was intruding on my feelings or something, and I hated it. response:	But then I realized that Minako-sensei, Nishigori, Yuko-chan, and my family
context: I was pretty torn up with worry...\I was in the hospital waiting room with that girl.\When she hugged me to comfort me,\I shoved her away without thinking about it.\Wow, why?\I didn't want her to think I was feeling unsettled.\I felt like she was intruding on my feelings or something, and I hated it.\But then I realized that Minako-sensei, Nishigori, Yuko-chan, and my family response:	never treated me like a weakling.
context: I was in the hospital waiting room with that girl.\When she hugged me to comfort me,\I shoved her away without thinking about it.\Wow, why?\I didn't want her to think I was feeling unsettled.\I felt like she was intruding on my feelings or something, and I hated it.\But then I realized that Minako-sensei, Nishigori, Yuko-chan, and my family\never treated me like a weakling. response:	They all had faith that I'd keep growing as a person,
context: When she hugged me to comfort me,\I shoved her away without thinking about it.\Wow, why?\I didn't want her to think I was feeling unsettled.\I felt like she was intruding on my feelings or something, and I hated it.\But then I realized that Minako-sensei, Nishigori, Yuko-chan, and my family\never treated me like a weakling.\They all had faith that I'd keep growing as a person, response:	and they never stepped over the line.
