context: Eren. response:	You're a man!
context: The Colossal Titan which destroyed the wall at Shiganshina District is a human possessing the ability to transform into a Titan, demonstrated by its intent to breach the wall with the purpose to exterminate humans.\Titans are not sent by the heavens to punish us for our sins, but invaders that must be driven back. Thus, we swear, by the blood our brothers and comrades have spilled waging war against this foe, we shall not relent our lands nor yield the fight.\Ymir...\Why did you come to us?\Oh, well...\It's because I'm an idiot.\I'll be your souvenir to take back home.\You can't just go back empty-handed. response:	Ymir...
context: Titans are not sent by the heavens to punish us for our sins, but invaders that must be driven back. Thus, we swear, by the blood our brothers and comrades have spilled waging war against this foe, we shall not relent our lands nor yield the fight.\Ymir...\Why did you come to us?\Oh, well...\It's because I'm an idiot.\I'll be your souvenir to take back home.\You can't just go back empty-handed.\Ymir... response:	If you hadn't come to bust up this wall...
context: Ymir...\Why did you come to us?\Oh, well...\It's because I'm an idiot.\I'll be your souvenir to take back home.\You can't just go back empty-handed.\Ymir...\If you hadn't come to bust up this wall... response:	All I'm doing...
context: Why did you come to us?\Oh, well...\It's because I'm an idiot.\I'll be your souvenir to take back home.\You can't just go back empty-handed.\Ymir...\If you hadn't come to bust up this wall...\All I'm doing... response:	Because I'm probably the only one that understands the situation you're in.
context: Oh, well...\It's because I'm an idiot.\I'll be your souvenir to take back home.\You can't just go back empty-handed.\Ymir...\If you hadn't come to bust up this wall...\All I'm doing...\Because I'm probably the only one that understands the situation you're in. response:	Thank you, Ymir.
context: It's because I'm an idiot.\I'll be your souvenir to take back home.\You can't just go back empty-handed.\Ymir...\If you hadn't come to bust up this wall...\All I'm doing...\Because I'm probably the only one that understands the situation you're in.\Thank you, Ymir. response:	I'm sorry...
context: I'll be your souvenir to take back home.\You can't just go back empty-handed.\Ymir...\If you hadn't come to bust up this wall...\All I'm doing...\Because I'm probably the only one that understands the situation you're in.\Thank you, Ymir.\I'm sorry... response:	No...
context: You can't just go back empty-handed.\Ymir...\If you hadn't come to bust up this wall...\All I'm doing...\Because I'm probably the only one that understands the situation you're in.\Thank you, Ymir.\I'm sorry...\No... response:	It wasn't so bad, you know... being a goddess for a while.
context: Ymir...\If you hadn't come to bust up this wall...\All I'm doing...\Because I'm probably the only one that understands the situation you're in.\Thank you, Ymir.\I'm sorry...\No...\It wasn't so bad, you know... being a goddess for a while. response:	With reports declaring the possibility that Wall Rose has been breached,
context: If you hadn't come to bust up this wall...\All I'm doing...\Because I'm probably the only one that understands the situation you're in.\Thank you, Ymir.\I'm sorry...\No...\It wasn't so bad, you know... being a goddess for a while.\With reports declaring the possibility that Wall Rose has been breached, response:	the citizens of Wall Rose were forced to take
context: All I'm doing...\Because I'm probably the only one that understands the situation you're in.\Thank you, Ymir.\I'm sorry...\No...\It wasn't so bad, you know... being a goddess for a while.\With reports declaring the possibility that Wall Rose has been breached,\the citizens of Wall Rose were forced to take response:	refuge in an underground city within Wall Sina.
context: Because I'm probably the only one that understands the situation you're in.\Thank you, Ymir.\I'm sorry...\No...\It wasn't so bad, you know... being a goddess for a while.\With reports declaring the possibility that Wall Rose has been breached,\the citizens of Wall Rose were forced to take\refuge in an underground city within Wall Sina. response:	However, with more than half the
context: Thank you, Ymir.\I'm sorry...\No...\It wasn't so bad, you know... being a goddess for a while.\With reports declaring the possibility that Wall Rose has been breached,\the citizens of Wall Rose were forced to take\refuge in an underground city within Wall Sina.\However, with more than half the response:	population surviving off food stockpiled for emergency,
context: I'm sorry...\No...\It wasn't so bad, you know... being a goddess for a while.\With reports declaring the possibility that Wall Rose has been breached,\the citizens of Wall Rose were forced to take\refuge in an underground city within Wall Sina.\However, with more than half the\population surviving off food stockpiled for emergency, response:	rations would last at most for a week.
context: No...\It wasn't so bad, you know... being a goddess for a while.\With reports declaring the possibility that Wall Rose has been breached,\the citizens of Wall Rose were forced to take\refuge in an underground city within Wall Sina.\However, with more than half the\population surviving off food stockpiled for emergency,\rations would last at most for a week. response:	Any longer than that, and people would turn on each other,
context: It wasn't so bad, you know... being a goddess for a while.\With reports declaring the possibility that Wall Rose has been breached,\the citizens of Wall Rose were forced to take\refuge in an underground city within Wall Sina.\However, with more than half the\population surviving off food stockpiled for emergency,\rations would last at most for a week.\Any longer than that, and people would turn on each other, response:	stealing and killing to survive.
context: With reports declaring the possibility that Wall Rose has been breached,\the citizens of Wall Rose were forced to take\refuge in an underground city within Wall Sina.\However, with more than half the\population surviving off food stockpiled for emergency,\rations would last at most for a week.\Any longer than that, and people would turn on each other,\stealing and killing to survive. response:	To stop this from happening, within one week from the initial outset,
context: the citizens of Wall Rose were forced to take\refuge in an underground city within Wall Sina.\However, with more than half the\population surviving off food stockpiled for emergency,\rations would last at most for a week.\Any longer than that, and people would turn on each other,\stealing and killing to survive.\To stop this from happening, within one week from the initial outset, response:	authorities declared that Wall Rose was secure.
context: refuge in an underground city within Wall Sina.\However, with more than half the\population surviving off food stockpiled for emergency,\rations would last at most for a week.\Any longer than that, and people would turn on each other,\stealing and killing to survive.\To stop this from happening, within one week from the initial outset,\authorities declared that Wall Rose was secure. response:	Trost District
context: However, with more than half the\population surviving off food stockpiled for emergency,\rations would last at most for a week.\Any longer than that, and people would turn on each other,\stealing and killing to survive.\To stop this from happening, within one week from the initial outset,\authorities declared that Wall Rose was secure.\Trost District response:	It's Hange.
context: population surviving off food stockpiled for emergency,\rations would last at most for a week.\Any longer than that, and people would turn on each other,\stealing and killing to survive.\To stop this from happening, within one week from the initial outset,\authorities declared that Wall Rose was secure.\Trost District\It's Hange. response:	Come in.
context: rations would last at most for a week.\Any longer than that, and people would turn on each other,\stealing and killing to survive.\To stop this from happening, within one week from the initial outset,\authorities declared that Wall Rose was secure.\Trost District\It's Hange.\Come in. response:	Pardon the interruption, Erwin.
context: Any longer than that, and people would turn on each other,\stealing and killing to survive.\To stop this from happening, within one week from the initial outset,\authorities declared that Wall Rose was secure.\Trost District\It's Hange.\Come in.\Pardon the interruption, Erwin. response:	I'm glad we came while you're here, Commander Pyxis.
context: stealing and killing to survive.\To stop this from happening, within one week from the initial outset,\authorities declared that Wall Rose was secure.\Trost District\It's Hange.\Come in.\Pardon the interruption, Erwin.\I'm glad we came while you're here, Commander Pyxis. response:	Good timing. This is...
context: To stop this from happening, within one week from the initial outset,\authorities declared that Wall Rose was secure.\Trost District\It's Hange.\Come in.\Pardon the interruption, Erwin.\I'm glad we came while you're here, Commander Pyxis.\Good timing. This is... response:	A Scout from the 104th. Conny Springer.
context: authorities declared that Wall Rose was secure.\Trost District\It's Hange.\Come in.\Pardon the interruption, Erwin.\I'm glad we came while you're here, Commander Pyxis.\Good timing. This is...\A Scout from the 104th. Conny Springer. response:	Conny comes from Ragako Village.
context: Trost District\It's Hange.\Come in.\Pardon the interruption, Erwin.\I'm glad we came while you're here, Commander Pyxis.\Good timing. This is...\A Scout from the 104th. Conny Springer.\Conny comes from Ragako Village. response:	The village the recent Titan invasion originated from?
context: It's Hange.\Come in.\Pardon the interruption, Erwin.\I'm glad we came while you're here, Commander Pyxis.\Good timing. This is...\A Scout from the 104th. Conny Springer.\Conny comes from Ragako Village.\The village the recent Titan invasion originated from? response:	Yes.
context: Come in.\Pardon the interruption, Erwin.\I'm glad we came while you're here, Commander Pyxis.\Good timing. This is...\A Scout from the 104th. Conny Springer.\Conny comes from Ragako Village.\The village the recent Titan invasion originated from?\Yes. response:	Actually, I confirmed with him the findings of our investigation on the village.
context: Pardon the interruption, Erwin.\I'm glad we came while you're here, Commander Pyxis.\Good timing. This is...\A Scout from the 104th. Conny Springer.\Conny comes from Ragako Village.\The village the recent Titan invasion originated from?\Yes.\Actually, I confirmed with him the findings of our investigation on the village. response:	This only brings further credibility to that hypothesis.
context: I'm glad we came while you're here, Commander Pyxis.\Good timing. This is...\A Scout from the 104th. Conny Springer.\Conny comes from Ragako Village.\The village the recent Titan invasion originated from?\Yes.\Actually, I confirmed with him the findings of our investigation on the village.\This only brings further credibility to that hypothesis. response:	He's come to report.
context: Good timing. This is...\A Scout from the 104th. Conny Springer.\Conny comes from Ragako Village.\The village the recent Titan invasion originated from?\Yes.\Actually, I confirmed with him the findings of our investigation on the village.\This only brings further credibility to that hypothesis.\He's come to report. response:	I was taken away...
context: A Scout from the 104th. Conny Springer.\Conny comes from Ragako Village.\The village the recent Titan invasion originated from?\Yes.\Actually, I confirmed with him the findings of our investigation on the village.\This only brings further credibility to that hypothesis.\He's come to report.\I was taken away... response:	And because of that, the Scouts lost more than half their veteran soldiers.
context: Conny comes from Ragako Village.\The village the recent Titan invasion originated from?\Yes.\Actually, I confirmed with him the findings of our investigation on the village.\This only brings further credibility to that hypothesis.\He's come to report.\I was taken away...\And because of that, the Scouts lost more than half their veteran soldiers. response:	Just to rescue me...
context: The village the recent Titan invasion originated from?\Yes.\Actually, I confirmed with him the findings of our investigation on the village.\This only brings further credibility to that hypothesis.\He's come to report.\I was taken away...\And because of that, the Scouts lost more than half their veteran soldiers.\Just to rescue me... response:	Still, there were no casualties on our way back.
context: Yes.\Actually, I confirmed with him the findings of our investigation on the village.\This only brings further credibility to that hypothesis.\He's come to report.\I was taken away...\And because of that, the Scouts lost more than half their veteran soldiers.\Just to rescue me...\Still, there were no casualties on our way back. response:	The Titans completely ignored us and ran off to chase Reiner and the others.
context: Actually, I confirmed with him the findings of our investigation on the village.\This only brings further credibility to that hypothesis.\He's come to report.\I was taken away...\And because of that, the Scouts lost more than half their veteran soldiers.\Just to rescue me...\Still, there were no casualties on our way back.\The Titans completely ignored us and ran off to chase Reiner and the others. response:	About that, Jean and I sat down to try and figure it out.
context: This only brings further credibility to that hypothesis.\He's come to report.\I was taken away...\And because of that, the Scouts lost more than half their veteran soldiers.\Just to rescue me...\Still, there were no casualties on our way back.\The Titans completely ignored us and ran off to chase Reiner and the others.\About that, Jean and I sat down to try and figure it out. response:	We have an idea what made the Titans act that way.
context: He's come to report.\I was taken away...\And because of that, the Scouts lost more than half their veteran soldiers.\Just to rescue me...\Still, there were no casualties on our way back.\The Titans completely ignored us and ran off to chase Reiner and the others.\About that, Jean and I sat down to try and figure it out.\We have an idea what made the Titans act that way. response:	It was you.
context: I was taken away...\And because of that, the Scouts lost more than half their veteran soldiers.\Just to rescue me...\Still, there were no casualties on our way back.\The Titans completely ignored us and ran off to chase Reiner and the others.\About that, Jean and I sat down to try and figure it out.\We have an idea what made the Titans act that way.\It was you. response:	Of course, that's just our theory.
context: And because of that, the Scouts lost more than half their veteran soldiers.\Just to rescue me...\Still, there were no casualties on our way back.\The Titans completely ignored us and ran off to chase Reiner and the others.\About that, Jean and I sat down to try and figure it out.\We have an idea what made the Titans act that way.\It was you.\Of course, that's just our theory. response:	But without assuming that, there's just no explaining what happened.
context: Just to rescue me...\Still, there were no casualties on our way back.\The Titans completely ignored us and ran off to chase Reiner and the others.\About that, Jean and I sat down to try and figure it out.\We have an idea what made the Titans act that way.\It was you.\Of course, that's just our theory.\But without assuming that, there's just no explaining what happened. response:	It's a tough spot to be in, Eren.
context: Still, there were no casualties on our way back.\The Titans completely ignored us and ran off to chase Reiner and the others.\About that, Jean and I sat down to try and figure it out.\We have an idea what made the Titans act that way.\It was you.\Of course, that's just our theory.\But without assuming that, there's just no explaining what happened.\It's a tough spot to be in, Eren. response:	Whether or not all those people died for nothing...
context: The Titans completely ignored us and ran off to chase Reiner and the others.\About that, Jean and I sat down to try and figure it out.\We have an idea what made the Titans act that way.\It was you.\Of course, that's just our theory.\But without assuming that, there's just no explaining what happened.\It's a tough spot to be in, Eren.\Whether or not all those people died for nothing... response:	If you're worth the price they paid, you better show it.
context: About that, Jean and I sat down to try and figure it out.\We have an idea what made the Titans act that way.\It was you.\Of course, that's just our theory.\But without assuming that, there's just no explaining what happened.\It's a tough spot to be in, Eren.\Whether or not all those people died for nothing...\If you're worth the price they paid, you better show it. response:	We don't have time to waste.
context: We have an idea what made the Titans act that way.\It was you.\Of course, that's just our theory.\But without assuming that, there's just no explaining what happened.\It's a tough spot to be in, Eren.\Whether or not all those people died for nothing...\If you're worth the price they paid, you better show it.\We don't have time to waste. response:	Yeah, you're absolutely right.
context: It was you.\Of course, that's just our theory.\But without assuming that, there's just no explaining what happened.\It's a tough spot to be in, Eren.\Whether or not all those people died for nothing...\If you're worth the price they paid, you better show it.\We don't have time to waste.\Yeah, you're absolutely right. response:	I've gotta do this.
context: Of course, that's just our theory.\But without assuming that, there's just no explaining what happened.\It's a tough spot to be in, Eren.\Whether or not all those people died for nothing...\If you're worth the price they paid, you better show it.\We don't have time to waste.\Yeah, you're absolutely right.\I've gotta do this. response:	I'll control the Titans.
context: But without assuming that, there's just no explaining what happened.\It's a tough spot to be in, Eren.\Whether or not all those people died for nothing...\If you're worth the price they paid, you better show it.\We don't have time to waste.\Yeah, you're absolutely right.\I've gotta do this.\I'll control the Titans. response:	I'll plug up Wall Maria.
context: It's a tough spot to be in, Eren.\Whether or not all those people died for nothing...\If you're worth the price they paid, you better show it.\We don't have time to waste.\Yeah, you're absolutely right.\I've gotta do this.\I'll control the Titans.\I'll plug up Wall Maria. response:	I'll capture Reiner and make him pay.
context: Whether or not all those people died for nothing...\If you're worth the price they paid, you better show it.\We don't have time to waste.\Yeah, you're absolutely right.\I've gotta do this.\I'll control the Titans.\I'll plug up Wall Maria.\I'll capture Reiner and make him pay. response:	That's what I've gotta do to atone for all those lives lost.
context: If you're worth the price they paid, you better show it.\We don't have time to waste.\Yeah, you're absolutely right.\I've gotta do this.\I'll control the Titans.\I'll plug up Wall Maria.\I'll capture Reiner and make him pay.\That's what I've gotta do to atone for all those lives lost. response:	Say again?
context: We don't have time to waste.\Yeah, you're absolutely right.\I've gotta do this.\I'll control the Titans.\I'll plug up Wall Maria.\I'll capture Reiner and make him pay.\That's what I've gotta do to atone for all those lives lost.\Say again? response:	The Titans responsible for this incident... were the citizens of Ragako?
context: Yeah, you're absolutely right.\I've gotta do this.\I'll control the Titans.\I'll plug up Wall Maria.\I'll capture Reiner and make him pay.\That's what I've gotta do to atone for all those lives lost.\Say again?\The Titans responsible for this incident... were the citizens of Ragako? response:	In other words, the true identity of Titans...
context: I've gotta do this.\I'll control the Titans.\I'll plug up Wall Maria.\I'll capture Reiner and make him pay.\That's what I've gotta do to atone for all those lives lost.\Say again?\The Titans responsible for this incident... were the citizens of Ragako?\In other words, the true identity of Titans... response:	We don't... have proof yet.
context: I'll control the Titans.\I'll plug up Wall Maria.\I'll capture Reiner and make him pay.\That's what I've gotta do to atone for all those lives lost.\Say again?\The Titans responsible for this incident... were the citizens of Ragako?\In other words, the true identity of Titans...\We don't... have proof yet. response:	So... you're telling me...
context: I'll plug up Wall Maria.\I'll capture Reiner and make him pay.\That's what I've gotta do to atone for all those lives lost.\Say again?\The Titans responsible for this incident... were the citizens of Ragako?\In other words, the true identity of Titans...\We don't... have proof yet.\So... you're telling me... response:	running around killing people?
context: I'll capture Reiner and make him pay.\That's what I've gotta do to atone for all those lives lost.\Say again?\The Titans responsible for this incident... were the citizens of Ragako?\In other words, the true identity of Titans...\We don't... have proof yet.\So... you're telling me...\running around killing people? response:	Is that right?
context: That's what I've gotta do to atone for all those lives lost.\Say again?\The Titans responsible for this incident... were the citizens of Ragako?\In other words, the true identity of Titans...\We don't... have proof yet.\So... you're telling me...\running around killing people?\Is that right? response:	I said we don't have proof yet.
context: Say again?\The Titans responsible for this incident... were the citizens of Ragako?\In other words, the true identity of Titans...\We don't... have proof yet.\So... you're telling me...\running around killing people?\Is that right?\I said we don't have proof yet. response:	Erwin.
context: The Titans responsible for this incident... were the citizens of Ragako?\In other words, the true identity of Titans...\We don't... have proof yet.\So... you're telling me...\running around killing people?\Is that right?\I said we don't have proof yet.\Erwin. response:	Hey. Tell me.
context: In other words, the true identity of Titans...\We don't... have proof yet.\So... you're telling me...\running around killing people?\Is that right?\I said we don't have proof yet.\Erwin.\Hey. Tell me. response:	The hell you smiling for?
context: We don't... have proof yet.\So... you're telling me...\running around killing people?\Is that right?\I said we don't have proof yet.\Erwin.\Hey. Tell me.\The hell you smiling for? response:	It's nothing.
context: So... you're telling me...\running around killing people?\Is that right?\I said we don't have proof yet.\Erwin.\Hey. Tell me.\The hell you smiling for?\It's nothing. response:	It's just...
context: running around killing people?\Is that right?\I said we don't have proof yet.\Erwin.\Hey. Tell me.\The hell you smiling for?\It's nothing.\It's just... response:	Just one step, huh?
context: Is that right?\I said we don't have proof yet.\Erwin.\Hey. Tell me.\The hell you smiling for?\It's nothing.\It's just...\Just one step, huh? response:	We'll run out of people before we learn the truth.
context: I said we don't have proof yet.\Erwin.\Hey. Tell me.\The hell you smiling for?\It's nothing.\It's just...\Just one step, huh?\We'll run out of people before we learn the truth. response:	It's not worth the cost.
context: Erwin.\Hey. Tell me.\The hell you smiling for?\It's nothing.\It's just...\Just one step, huh?\We'll run out of people before we learn the truth.\It's not worth the cost. response:	But it is a step towards the truth.
context: Hey. Tell me.\The hell you smiling for?\It's nothing.\It's just...\Just one step, huh?\We'll run out of people before we learn the truth.\It's not worth the cost.\But it is a step towards the truth. response:	One day, we'll break it down.
context: The hell you smiling for?\It's nothing.\It's just...\Just one step, huh?\We'll run out of people before we learn the truth.\It's not worth the cost.\But it is a step towards the truth.\One day, we'll break it down. response:	This wall hiding the truth...
context: It's nothing.\It's just...\Just one step, huh?\We'll run out of people before we learn the truth.\It's not worth the cost.\But it is a step towards the truth.\One day, we'll break it down.\This wall hiding the truth... response:	Not yet, eh?
