context: What a nice aroma' response:	So let's see if we did it right.
context: My dad likes sweets, so I make them fairly often.\Rika, your father is always overseas for work, isn't he?\Yes. My dad really likes strawberry shortcake.\Just like Mister Terada.\Yes, I've always thought\Mister Terada was like my dad'\Since he likes cake, after it's done,\you could take some to him. response:	That's right! Your cakes are always so delicious!
context: Rika, your father is always overseas for work, isn't he?\Yes. My dad really likes strawberry shortcake.\Just like Mister Terada.\Yes, I've always thought\Mister Terada was like my dad'\Since he likes cake, after it's done,\you could take some to him.\That's right! Your cakes are always so delicious! response:	OK.
context: Yes. My dad really likes strawberry shortcake.\Just like Mister Terada.\Yes, I've always thought\Mister Terada was like my dad'\Since he likes cake, after it's done,\you could take some to him.\That's right! Your cakes are always so delicious!\OK. response:	It turned out well today.
context: Just like Mister Terada.\Yes, I've always thought\Mister Terada was like my dad'\Since he likes cake, after it's done,\you could take some to him.\That's right! Your cakes are always so delicious!\OK.\It turned out well today. response:	I'm glad.
context: Yes, I've always thought\Mister Terada was like my dad'\Since he likes cake, after it's done,\you could take some to him.\That's right! Your cakes are always so delicious!\OK.\It turned out well today.\I'm glad. response:	Everyone did well today.
context: Mister Terada was like my dad'\Since he likes cake, after it's done,\you could take some to him.\That's right! Your cakes are always so delicious!\OK.\It turned out well today.\I'm glad.\Everyone did well today. response:	Well, let's sample our work!
context: Since he likes cake, after it's done,\you could take some to him.\That's right! Your cakes are always so delicious!\OK.\It turned out well today.\I'm glad.\Everyone did well today.\Well, let's sample our work! response:	Too sweet!
context: you could take some to him.\That's right! Your cakes are always so delicious!\OK.\It turned out well today.\I'm glad.\Everyone did well today.\Well, let's sample our work!\Too sweet! response:	It was REALLY sweet!
context: That's right! Your cakes are always so delicious!\OK.\It turned out well today.\I'm glad.\Everyone did well today.\Well, let's sample our work!\Too sweet!\It was REALLY sweet! response:	You sure you didn't just add too much sugar?
context: OK.\It turned out well today.\I'm glad.\Everyone did well today.\Well, let's sample our work!\Too sweet!\It was REALLY sweet!\You sure you didn't just add too much sugar? response:	Tomoyo was careful about how much she added.
context: It turned out well today.\I'm glad.\Everyone did well today.\Well, let's sample our work!\Too sweet!\It was REALLY sweet!\You sure you didn't just add too much sugar?\Tomoyo was careful about how much she added. response:	Besides, it's weird that everyone elses cakes ended up too sweet, too.
context: I'm glad.\Everyone did well today.\Well, let's sample our work!\Too sweet!\It was REALLY sweet!\You sure you didn't just add too much sugar?\Tomoyo was careful about how much she added.\Besides, it's weird that everyone elses cakes ended up too sweet, too. response:	Everyone makes mistakes'
context: Everyone did well today.\Well, let's sample our work!\Too sweet!\It was REALLY sweet!\You sure you didn't just add too much sugar?\Tomoyo was careful about how much she added.\Besides, it's weird that everyone elses cakes ended up too sweet, too.\Everyone makes mistakes' response:	I wonder if that's it'
context: Well, let's sample our work!\Too sweet!\It was REALLY sweet!\You sure you didn't just add too much sugar?\Tomoyo was careful about how much she added.\Besides, it's weird that everyone elses cakes ended up too sweet, too.\Everyone makes mistakes'\I wonder if that's it' response:	Anyway, since everyone blew it,
context: Too sweet!\It was REALLY sweet!\You sure you didn't just add too much sugar?\Tomoyo was careful about how much she added.\Besides, it's weird that everyone elses cakes ended up too sweet, too.\Everyone makes mistakes'\I wonder if that's it'\Anyway, since everyone blew it, response:	we're doing it over again next week.
context: It was REALLY sweet!\You sure you didn't just add too much sugar?\Tomoyo was careful about how much she added.\Besides, it's weird that everyone elses cakes ended up too sweet, too.\Everyone makes mistakes'\I wonder if that's it'\Anyway, since everyone blew it,\we're doing it over again next week. response:	You're pretty enthusiastic about that.
context: You sure you didn't just add too much sugar?\Tomoyo was careful about how much she added.\Besides, it's weird that everyone elses cakes ended up too sweet, too.\Everyone makes mistakes'\I wonder if that's it'\Anyway, since everyone blew it,\we're doing it over again next week.\You're pretty enthusiastic about that. response:	Because'
context: Tomoyo was careful about how much she added.\Besides, it's weird that everyone elses cakes ended up too sweet, too.\Everyone makes mistakes'\I wonder if that's it'\Anyway, since everyone blew it,\we're doing it over again next week.\You're pretty enthusiastic about that.\Because' response:	I'm going to give some to Yukito and Miss Mizuki!
context: Besides, it's weird that everyone elses cakes ended up too sweet, too.\Everyone makes mistakes'\I wonder if that's it'\Anyway, since everyone blew it,\we're doing it over again next week.\You're pretty enthusiastic about that.\Because'\I'm going to give some to Yukito and Miss Mizuki! response:	Don't forget to save some for me'
context: Everyone makes mistakes'\I wonder if that's it'\Anyway, since everyone blew it,\we're doing it over again next week.\You're pretty enthusiastic about that.\Because'\I'm going to give some to Yukito and Miss Mizuki!\Don't forget to save some for me' response:	Dinner time.
context: I wonder if that's it'\Anyway, since everyone blew it,\we're doing it over again next week.\You're pretty enthusiastic about that.\Because'\I'm going to give some to Yukito and Miss Mizuki!\Don't forget to save some for me'\Dinner time. response:	Chinese cooking I can master,
context: Anyway, since everyone blew it,\we're doing it over again next week.\You're pretty enthusiastic about that.\Because'\I'm going to give some to Yukito and Miss Mizuki!\Don't forget to save some for me'\Dinner time.\Chinese cooking I can master, response:	but why can't I make cakes?
context: we're doing it over again next week.\You're pretty enthusiastic about that.\Because'\I'm going to give some to Yukito and Miss Mizuki!\Don't forget to save some for me'\Dinner time.\Chinese cooking I can master,\but why can't I make cakes? response:	I wonder if I'll ever make a good cake.
context: You're pretty enthusiastic about that.\Because'\I'm going to give some to Yukito and Miss Mizuki!\Don't forget to save some for me'\Dinner time.\Chinese cooking I can master,\but why can't I make cakes?\I wonder if I'll ever make a good cake. response:	Oh well, I guess that's one thing I won't be able to do.
context: Because'\I'm going to give some to Yukito and Miss Mizuki!\Don't forget to save some for me'\Dinner time.\Chinese cooking I can master,\but why can't I make cakes?\I wonder if I'll ever make a good cake.\Oh well, I guess that's one thing I won't be able to do. response:	W' what?
context: I'm going to give some to Yukito and Miss Mizuki!\Don't forget to save some for me'\Dinner time.\Chinese cooking I can master,\but why can't I make cakes?\I wonder if I'll ever make a good cake.\Oh well, I guess that's one thing I won't be able to do.\W' what? response:	The cake failure wasn't your fault.
context: Don't forget to save some for me'\Dinner time.\Chinese cooking I can master,\but why can't I make cakes?\I wonder if I'll ever make a good cake.\Oh well, I guess that's one thing I won't be able to do.\W' what?\The cake failure wasn't your fault. response:	Shao Lan's such a nice guy.
context: Dinner time.\Chinese cooking I can master,\but why can't I make cakes?\I wonder if I'll ever make a good cake.\Oh well, I guess that's one thing I won't be able to do.\W' what?\The cake failure wasn't your fault.\Shao Lan's such a nice guy. response:	Alright, better study up so I can make one for Shao Lan to eat!
context: Chinese cooking I can master,\but why can't I make cakes?\I wonder if I'll ever make a good cake.\Oh well, I guess that's one thing I won't be able to do.\W' what?\The cake failure wasn't your fault.\Shao Lan's such a nice guy.\Alright, better study up so I can make one for Shao Lan to eat! response:	I will try my best.
context: but why can't I make cakes?\I wonder if I'll ever make a good cake.\Oh well, I guess that's one thing I won't be able to do.\W' what?\The cake failure wasn't your fault.\Shao Lan's such a nice guy.\Alright, better study up so I can make one for Shao Lan to eat!\I will try my best. response:	It'd be great if we could make something like this.
context: I wonder if I'll ever make a good cake.\Oh well, I guess that's one thing I won't be able to do.\W' what?\The cake failure wasn't your fault.\Shao Lan's such a nice guy.\Alright, better study up so I can make one for Shao Lan to eat!\I will try my best.\It'd be great if we could make something like this. response:	Yes, it would.
context: Oh well, I guess that's one thing I won't be able to do.\W' what?\The cake failure wasn't your fault.\Shao Lan's such a nice guy.\Alright, better study up so I can make one for Shao Lan to eat!\I will try my best.\It'd be great if we could make something like this.\Yes, it would. response:	This time, we'll get it right for sure!
context: W' what?\The cake failure wasn't your fault.\Shao Lan's such a nice guy.\Alright, better study up so I can make one for Shao Lan to eat!\I will try my best.\It'd be great if we could make something like this.\Yes, it would.\This time, we'll get it right for sure! response:	Right!
context: The cake failure wasn't your fault.\Shao Lan's such a nice guy.\Alright, better study up so I can make one for Shao Lan to eat!\I will try my best.\It'd be great if we could make something like this.\Yes, it would.\This time, we'll get it right for sure!\Right! response:	Li-kun.
context: Shao Lan's such a nice guy.\Alright, better study up so I can make one for Shao Lan to eat!\I will try my best.\It'd be great if we could make something like this.\Yes, it would.\This time, we'll get it right for sure!\Right!\Li-kun. response:	More research?
context: Alright, better study up so I can make one for Shao Lan to eat!\I will try my best.\It'd be great if we could make something like this.\Yes, it would.\This time, we'll get it right for sure!\Right!\Li-kun.\More research? response:	Something like that.
context: I will try my best.\It'd be great if we could make something like this.\Yes, it would.\This time, we'll get it right for sure!\Right!\Li-kun.\More research?\Something like that. response:	About those cakes last time'
context: It'd be great if we could make something like this.\Yes, it would.\This time, we'll get it right for sure!\Right!\Li-kun.\More research?\Something like that.\About those cakes last time' response:	Why did they all get so sweet?
context: Yes, it would.\This time, we'll get it right for sure!\Right!\Li-kun.\More research?\Something like that.\About those cakes last time'\Why did they all get so sweet? response:	What? Didn't you feel anything?
context: This time, we'll get it right for sure!\Right!\Li-kun.\More research?\Something like that.\About those cakes last time'\Why did they all get so sweet?\What? Didn't you feel anything? response:	'Anything?'
context: Right!\Li-kun.\More research?\Something like that.\About those cakes last time'\Why did they all get so sweet?\What? Didn't you feel anything?\'Anything?' response:	Hello there. Shopping?
context: Li-kun.\More research?\Something like that.\About those cakes last time'\Why did they all get so sweet?\What? Didn't you feel anything?\'Anything?'\Hello there. Shopping? response:	Yes. You too, Miss Mizuki?
context: More research?\Something like that.\About those cakes last time'\Why did they all get so sweet?\What? Didn't you feel anything?\'Anything?'\Hello there. Shopping?\Yes. You too, Miss Mizuki? response:	Yes, I was thinking I wanted to eat something sweet.
context: Something like that.\About those cakes last time'\Why did they all get so sweet?\What? Didn't you feel anything?\'Anything?'\Hello there. Shopping?\Yes. You too, Miss Mizuki?\Yes, I was thinking I wanted to eat something sweet. response:	Really?
context: About those cakes last time'\Why did they all get so sweet?\What? Didn't you feel anything?\'Anything?'\Hello there. Shopping?\Yes. You too, Miss Mizuki?\Yes, I was thinking I wanted to eat something sweet.\Really? response:	Oh yes,
context: Why did they all get so sweet?\What? Didn't you feel anything?\'Anything?'\Hello there. Shopping?\Yes. You too, Miss Mizuki?\Yes, I was thinking I wanted to eat something sweet.\Really?\Oh yes, response:	I heard you were going to do the cakes over again.
context: What? Didn't you feel anything?\'Anything?'\Hello there. Shopping?\Yes. You too, Miss Mizuki?\Yes, I was thinking I wanted to eat something sweet.\Really?\Oh yes,\I heard you were going to do the cakes over again. response:	Do your best.
context: 'Anything?'\Hello there. Shopping?\Yes. You too, Miss Mizuki?\Yes, I was thinking I wanted to eat something sweet.\Really?\Oh yes,\I heard you were going to do the cakes over again.\Do your best. response:	We will!
context: Hello there. Shopping?\Yes. You too, Miss Mizuki?\Yes, I was thinking I wanted to eat something sweet.\Really?\Oh yes,\I heard you were going to do the cakes over again.\Do your best.\We will! response:	Listen, listen!
context: Yes. You too, Miss Mizuki?\Yes, I was thinking I wanted to eat something sweet.\Really?\Oh yes,\I heard you were going to do the cakes over again.\Do your best.\We will!\Listen, listen! response:	The cakes another class made in Home Ec yesterday'
context: Yes, I was thinking I wanted to eat something sweet.\Really?\Oh yes,\I heard you were going to do the cakes over again.\Do your best.\We will!\Listen, listen!\The cakes another class made in Home Ec yesterday' response:	They ALL turned out too sweet!
context: Really?\Oh yes,\I heard you were going to do the cakes over again.\Do your best.\We will!\Listen, listen!\The cakes another class made in Home Ec yesterday'\They ALL turned out too sweet! response:	What?
context: Oh yes,\I heard you were going to do the cakes over again.\Do your best.\We will!\Listen, listen!\The cakes another class made in Home Ec yesterday'\They ALL turned out too sweet!\What? response:	What happened?
context: I heard you were going to do the cakes over again.\Do your best.\We will!\Listen, listen!\The cakes another class made in Home Ec yesterday'\They ALL turned out too sweet!\What?\What happened? response:	I wonder if something got in there.
context: Do your best.\We will!\Listen, listen!\The cakes another class made in Home Ec yesterday'\They ALL turned out too sweet!\What?\What happened?\I wonder if something got in there. response:	Something?
context: We will!\Listen, listen!\The cakes another class made in Home Ec yesterday'\They ALL turned out too sweet!\What?\What happened?\I wonder if something got in there.\Something? response:	It's just an idea.
context: Listen, listen!\The cakes another class made in Home Ec yesterday'\They ALL turned out too sweet!\What?\What happened?\I wonder if something got in there.\Something?\It's just an idea. response:	What kind of idea?
context: The cakes another class made in Home Ec yesterday'\They ALL turned out too sweet!\What?\What happened?\I wonder if something got in there.\Something?\It's just an idea.\What kind of idea? response:	An idea, you know!
context: They ALL turned out too sweet!\What?\What happened?\I wonder if something got in there.\Something?\It's just an idea.\What kind of idea?\An idea, you know! response:	Like maybe someone went inside'
context: What?\What happened?\I wonder if something got in there.\Something?\It's just an idea.\What kind of idea?\An idea, you know!\Like maybe someone went inside' response:	Could a Clow Card be responsible?
context: What happened?\I wonder if something got in there.\Something?\It's just an idea.\What kind of idea?\An idea, you know!\Like maybe someone went inside'\Could a Clow Card be responsible? response:	There!
context: I wonder if something got in there.\Something?\It's just an idea.\What kind of idea?\An idea, you know!\Like maybe someone went inside'\Could a Clow Card be responsible?\There! response:	Exactly 100 grams. No mistake.
context: Something?\It's just an idea.\What kind of idea?\An idea, you know!\Like maybe someone went inside'\Could a Clow Card be responsible?\There!\Exactly 100 grams. No mistake. response:	Will that be too sweet today?
context: It's just an idea.\What kind of idea?\An idea, you know!\Like maybe someone went inside'\Could a Clow Card be responsible?\There!\Exactly 100 grams. No mistake.\Will that be too sweet today? response:	All these sweets look so good'
context: What kind of idea?\An idea, you know!\Like maybe someone went inside'\Could a Clow Card be responsible?\There!\Exactly 100 grams. No mistake.\Will that be too sweet today?\All these sweets look so good' response:	Sweet. Too sweet.
context: An idea, you know!\Like maybe someone went inside'\Could a Clow Card be responsible?\There!\Exactly 100 grams. No mistake.\Will that be too sweet today?\All these sweets look so good'\Sweet. Too sweet. response:	Could it be that the cakes in Sakura's class'
context: Like maybe someone went inside'\Could a Clow Card be responsible?\There!\Exactly 100 grams. No mistake.\Will that be too sweet today?\All these sweets look so good'\Sweet. Too sweet.\Could it be that the cakes in Sakura's class' response:	A Clow Card's'
context: Could a Clow Card be responsible?\There!\Exactly 100 grams. No mistake.\Will that be too sweet today?\All these sweets look so good'\Sweet. Too sweet.\Could it be that the cakes in Sakura's class'\A Clow Card's' response:	'aura is here.
context: There!\Exactly 100 grams. No mistake.\Will that be too sweet today?\All these sweets look so good'\Sweet. Too sweet.\Could it be that the cakes in Sakura's class'\A Clow Card's'\'aura is here. response:	Hello? Kero?
context: Exactly 100 grams. No mistake.\Will that be too sweet today?\All these sweets look so good'\Sweet. Too sweet.\Could it be that the cakes in Sakura's class'\A Clow Card's'\'aura is here.\Hello? Kero? response:	It was probably'Sweet' that
context: Will that be too sweet today?\All these sweets look so good'\Sweet. Too sweet.\Could it be that the cakes in Sakura's class'\A Clow Card's'\'aura is here.\Hello? Kero?\It was probably'Sweet' that response:	Made all your cakes that way.
context: All these sweets look so good'\Sweet. Too sweet.\Could it be that the cakes in Sakura's class'\A Clow Card's'\'aura is here.\Hello? Kero?\It was probably'Sweet' that\Made all your cakes that way. response:	'Sweet?'
context: Sweet. Too sweet.\Could it be that the cakes in Sakura's class'\A Clow Card's'\'aura is here.\Hello? Kero?\It was probably'Sweet' that\Made all your cakes that way.\'Sweet?' response:	Right. It makes food and everything into sweets!
context: Could it be that the cakes in Sakura's class'\A Clow Card's'\'aura is here.\Hello? Kero?\It was probably'Sweet' that\Made all your cakes that way.\'Sweet?'\Right. It makes food and everything into sweets! response:	It loves things that are sweet to begin with, so that's why it picked the cakes!
context: A Clow Card's'\'aura is here.\Hello? Kero?\It was probably'Sweet' that\Made all your cakes that way.\'Sweet?'\Right. It makes food and everything into sweets!\It loves things that are sweet to begin with, so that's why it picked the cakes! response:	Anyway, it doesn't cause much trouble.
context: 'aura is here.\Hello? Kero?\It was probably'Sweet' that\Made all your cakes that way.\'Sweet?'\Right. It makes food and everything into sweets!\It loves things that are sweet to begin with, so that's why it picked the cakes!\Anyway, it doesn't cause much trouble. response:	Yes, it does! If the cakes turn out too sweet again, that'll be terrible!
context: Hello? Kero?\It was probably'Sweet' that\Made all your cakes that way.\'Sweet?'\Right. It makes food and everything into sweets!\It loves things that are sweet to begin with, so that's why it picked the cakes!\Anyway, it doesn't cause much trouble.\Yes, it does! If the cakes turn out too sweet again, that'll be terrible! response:	Li-kun.
context: It was probably'Sweet' that\Made all your cakes that way.\'Sweet?'\Right. It makes food and everything into sweets!\It loves things that are sweet to begin with, so that's why it picked the cakes!\Anyway, it doesn't cause much trouble.\Yes, it does! If the cakes turn out too sweet again, that'll be terrible!\Li-kun. response:	It really was the aura of a Clow Card.
context: Made all your cakes that way.\'Sweet?'\Right. It makes food and everything into sweets!\It loves things that are sweet to begin with, so that's why it picked the cakes!\Anyway, it doesn't cause much trouble.\Yes, it does! If the cakes turn out too sweet again, that'll be terrible!\Li-kun.\It really was the aura of a Clow Card. response:	Right.
context: 'Sweet?'\Right. It makes food and everything into sweets!\It loves things that are sweet to begin with, so that's why it picked the cakes!\Anyway, it doesn't cause much trouble.\Yes, it does! If the cakes turn out too sweet again, that'll be terrible!\Li-kun.\It really was the aura of a Clow Card.\Right. response:	It's somewhere in this classroom.
context: Right. It makes food and everything into sweets!\It loves things that are sweet to begin with, so that's why it picked the cakes!\Anyway, it doesn't cause much trouble.\Yes, it does! If the cakes turn out too sweet again, that'll be terrible!\Li-kun.\It really was the aura of a Clow Card.\Right.\It's somewhere in this classroom. response:	We have to find it before everyone comes back.
context: It loves things that are sweet to begin with, so that's why it picked the cakes!\Anyway, it doesn't cause much trouble.\Yes, it does! If the cakes turn out too sweet again, that'll be terrible!\Li-kun.\It really was the aura of a Clow Card.\Right.\It's somewhere in this classroom.\We have to find it before everyone comes back. response:	That's'!
context: Anyway, it doesn't cause much trouble.\Yes, it does! If the cakes turn out too sweet again, that'll be terrible!\Li-kun.\It really was the aura of a Clow Card.\Right.\It's somewhere in this classroom.\We have to find it before everyone comes back.\That's'! response:	It's doing something to the cake.
context: Yes, it does! If the cakes turn out too sweet again, that'll be terrible!\Li-kun.\It really was the aura of a Clow Card.\Right.\It's somewhere in this classroom.\We have to find it before everyone comes back.\That's'!\It's doing something to the cake. response:	Close the doors!
context: Li-kun.\It really was the aura of a Clow Card.\Right.\It's somewhere in this classroom.\We have to find it before everyone comes back.\That's'!\It's doing something to the cake.\Close the doors! response:	Yes.
context: It really was the aura of a Clow Card.\Right.\It's somewhere in this classroom.\We have to find it before everyone comes back.\That's'!\It's doing something to the cake.\Close the doors!\Yes. response:	Stop that! You're scaring it!
context: Right.\It's somewhere in this classroom.\We have to find it before everyone comes back.\That's'!\It's doing something to the cake.\Close the doors!\Yes.\Stop that! You're scaring it! response:	Li-kun'
context: It's somewhere in this classroom.\We have to find it before everyone comes back.\That's'!\It's doing something to the cake.\Close the doors!\Yes.\Stop that! You're scaring it!\Li-kun' response:	Sweet!
context: We have to find it before everyone comes back.\That's'!\It's doing something to the cake.\Close the doors!\Yes.\Stop that! You're scaring it!\Li-kun'\Sweet! response:	What the'?
context: That's'!\It's doing something to the cake.\Close the doors!\Yes.\Stop that! You're scaring it!\Li-kun'\Sweet!\What the'? response:	It's chocolate!
context: It's doing something to the cake.\Close the doors!\Yes.\Stop that! You're scaring it!\Li-kun'\Sweet!\What the'?\It's chocolate! response:	This isn't the time to be impressed!
context: Close the doors!\Yes.\Stop that! You're scaring it!\Li-kun'\Sweet!\What the'?\It's chocolate!\This isn't the time to be impressed! response:	What're you doing?
context: Yes.\Stop that! You're scaring it!\Li-kun'\Sweet!\What the'?\It's chocolate!\This isn't the time to be impressed!\What're you doing? response:	I'll trap it in here.
context: Stop that! You're scaring it!\Li-kun'\Sweet!\What the'?\It's chocolate!\This isn't the time to be impressed!\What're you doing?\I'll trap it in here. response:	You can't do that!
context: Li-kun'\Sweet!\What the'?\It's chocolate!\This isn't the time to be impressed!\What're you doing?\I'll trap it in here.\You can't do that! response:	This is your group's cake!
context: Sweet!\What the'?\It's chocolate!\This isn't the time to be impressed!\What're you doing?\I'll trap it in here.\You can't do that!\This is your group's cake! response:	Everyone'll be coming back soon!
context: What the'?\It's chocolate!\This isn't the time to be impressed!\What're you doing?\I'll trap it in here.\You can't do that!\This is your group's cake!\Everyone'll be coming back soon! response:	So it loves things that are sweet to begin with'
context: It's chocolate!\This isn't the time to be impressed!\What're you doing?\I'll trap it in here.\You can't do that!\This is your group's cake!\Everyone'll be coming back soon!\So it loves things that are sweet to begin with' response:	Salt? Why so much?
context: This isn't the time to be impressed!\What're you doing?\I'll trap it in here.\You can't do that!\This is your group's cake!\Everyone'll be coming back soon!\So it loves things that are sweet to begin with'\Salt? Why so much? response:	It's running away!
context: What're you doing?\I'll trap it in here.\You can't do that!\This is your group's cake!\Everyone'll be coming back soon!\So it loves things that are sweet to begin with'\Salt? Why so much?\It's running away! response:	Now!
context: I'll trap it in here.\You can't do that!\This is your group's cake!\Everyone'll be coming back soon!\So it loves things that are sweet to begin with'\Salt? Why so much?\It's running away!\Now! response:	Key which hides the power of darkness'
context: You can't do that!\This is your group's cake!\Everyone'll be coming back soon!\So it loves things that are sweet to begin with'\Salt? Why so much?\It's running away!\Now!\Key which hides the power of darkness' response:	'reveal thy true form to me.
context: This is your group's cake!\Everyone'll be coming back soon!\So it loves things that are sweet to begin with'\Salt? Why so much?\It's running away!\Now!\Key which hides the power of darkness'\'reveal thy true form to me. response:	By the covenant, I, Sakura, command thee.
context: Everyone'll be coming back soon!\So it loves things that are sweet to begin with'\Salt? Why so much?\It's running away!\Now!\Key which hides the power of darkness'\'reveal thy true form to me.\By the covenant, I, Sakura, command thee. response:	Release!
context: So it loves things that are sweet to begin with'\Salt? Why so much?\It's running away!\Now!\Key which hides the power of darkness'\'reveal thy true form to me.\By the covenant, I, Sakura, command thee.\Release! response:	Return to thy true form,
context: Salt? Why so much?\It's running away!\Now!\Key which hides the power of darkness'\'reveal thy true form to me.\By the covenant, I, Sakura, command thee.\Release!\Return to thy true form, response:	Clow Card!
context: It's running away!\Now!\Key which hides the power of darkness'\'reveal thy true form to me.\By the covenant, I, Sakura, command thee.\Release!\Return to thy true form,\Clow Card! response:	I think they'll turn out alright this time.
context: Now!\Key which hides the power of darkness'\'reveal thy true form to me.\By the covenant, I, Sakura, command thee.\Release!\Return to thy true form,\Clow Card!\I think they'll turn out alright this time. response:	Yeah.
context: Key which hides the power of darkness'\'reveal thy true form to me.\By the covenant, I, Sakura, command thee.\Release!\Return to thy true form,\Clow Card!\I think they'll turn out alright this time.\Yeah. response:	I wonder if Sakura will bring back some cake for me'
context: 'reveal thy true form to me.\By the covenant, I, Sakura, command thee.\Release!\Return to thy true form,\Clow Card!\I think they'll turn out alright this time.\Yeah.\I wonder if Sakura will bring back some cake for me' response:	So, let's see if we did it right this time.
context: By the covenant, I, Sakura, command thee.\Release!\Return to thy true form,\Clow Card!\I think they'll turn out alright this time.\Yeah.\I wonder if Sakura will bring back some cake for me'\So, let's see if we did it right this time. response:	Now, let's eat some and try it out.
context: Release!\Return to thy true form,\Clow Card!\I think they'll turn out alright this time.\Yeah.\I wonder if Sakura will bring back some cake for me'\So, let's see if we did it right this time.\Now, let's eat some and try it out. response:	Let's eat!
context: Return to thy true form,\Clow Card!\I think they'll turn out alright this time.\Yeah.\I wonder if Sakura will bring back some cake for me'\So, let's see if we did it right this time.\Now, let's eat some and try it out.\Let's eat! response:	Delicious!
context: Clow Card!\I think they'll turn out alright this time.\Yeah.\I wonder if Sakura will bring back some cake for me'\So, let's see if we did it right this time.\Now, let's eat some and try it out.\Let's eat!\Delicious! response:	It really is!
context: I think they'll turn out alright this time.\Yeah.\I wonder if Sakura will bring back some cake for me'\So, let's see if we did it right this time.\Now, let's eat some and try it out.\Let's eat!\Delicious!\It really is! response:	Shao Lan! Try some of this cake I made!
context: Yeah.\I wonder if Sakura will bring back some cake for me'\So, let's see if we did it right this time.\Now, let's eat some and try it out.\Let's eat!\Delicious!\It really is!\Shao Lan! Try some of this cake I made! response:	You can be the first!
context: I wonder if Sakura will bring back some cake for me'\So, let's see if we did it right this time.\Now, let's eat some and try it out.\Let's eat!\Delicious!\It really is!\Shao Lan! Try some of this cake I made!\You can be the first! response:	Dry!
context: So, let's see if we did it right this time.\Now, let's eat some and try it out.\Let's eat!\Delicious!\It really is!\Shao Lan! Try some of this cake I made!\You can be the first!\Dry! response:	It can't be'
context: Now, let's eat some and try it out.\Let's eat!\Delicious!\It really is!\Shao Lan! Try some of this cake I made!\You can be the first!\Dry!\It can't be' response:	'dry!
context: Let's eat!\Delicious!\It really is!\Shao Lan! Try some of this cake I made!\You can be the first!\Dry!\It can't be'\'dry! response:	You must have stirred the batter too much.
context: Delicious!\It really is!\Shao Lan! Try some of this cake I made!\You can be the first!\Dry!\It can't be'\'dry!\You must have stirred the batter too much. response:	Oh, how nice! Is this really for me?
context: It really is!\Shao Lan! Try some of this cake I made!\You can be the first!\Dry!\It can't be'\'dry!\You must have stirred the batter too much.\Oh, how nice! Is this really for me? response:	Yes.
context: Shao Lan! Try some of this cake I made!\You can be the first!\Dry!\It can't be'\'dry!\You must have stirred the batter too much.\Oh, how nice! Is this really for me?\Yes. response:	So it was a Clow Card's doing?
context: You can be the first!\Dry!\It can't be'\'dry!\You must have stirred the batter too much.\Oh, how nice! Is this really for me?\Yes.\So it was a Clow Card's doing? response:	Yep.
context: Dry!\It can't be'\'dry!\You must have stirred the batter too much.\Oh, how nice! Is this really for me?\Yes.\So it was a Clow Card's doing?\Yep. response:	Delicious.
context: It can't be'\'dry!\You must have stirred the batter too much.\Oh, how nice! Is this really for me?\Yes.\So it was a Clow Card's doing?\Yep.\Delicious. response:	Sasaki, you're a really good cook.
context: 'dry!\You must have stirred the batter too much.\Oh, how nice! Is this really for me?\Yes.\So it was a Clow Card's doing?\Yep.\Delicious.\Sasaki, you're a really good cook. response:	Oh, not really.
context: You must have stirred the batter too much.\Oh, how nice! Is this really for me?\Yes.\So it was a Clow Card's doing?\Yep.\Delicious.\Sasaki, you're a really good cook.\Oh, not really. response:	No, this cake is very good.
context: Oh, how nice! Is this really for me?\Yes.\So it was a Clow Card's doing?\Yep.\Delicious.\Sasaki, you're a really good cook.\Oh, not really.\No, this cake is very good. response:	This is really good, Sakura.
context: Yes.\So it was a Clow Card's doing?\Yep.\Delicious.\Sasaki, you're a really good cook.\Oh, not really.\No, this cake is very good.\This is really good, Sakura. response:	Not bad for something a monster made.
context: So it was a Clow Card's doing?\Yep.\Delicious.\Sasaki, you're a really good cook.\Oh, not really.\No, this cake is very good.\This is really good, Sakura.\Not bad for something a monster made. response:	Really, it's good.
context: Yep.\Delicious.\Sasaki, you're a really good cook.\Oh, not really.\No, this cake is very good.\This is really good, Sakura.\Not bad for something a monster made.\Really, it's good. response:	Thank you very much!
context: Delicious.\Sasaki, you're a really good cook.\Oh, not really.\No, this cake is very good.\This is really good, Sakura.\Not bad for something a monster made.\Really, it's good.\Thank you very much! response:	Good thing, huh?
context: Sasaki, you're a really good cook.\Oh, not really.\No, this cake is very good.\This is really good, Sakura.\Not bad for something a monster made.\Really, it's good.\Thank you very much!\Good thing, huh? response:	Yes!
context: Oh, not really.\No, this cake is very good.\This is really good, Sakura.\Not bad for something a monster made.\Really, it's good.\Thank you very much!\Good thing, huh?\Yes! response:	I'd eat this every day if I could.
context: No, this cake is very good.\This is really good, Sakura.\Not bad for something a monster made.\Really, it's good.\Thank you very much!\Good thing, huh?\Yes!\I'd eat this every day if I could. response:	Really?
context: This is really good, Sakura.\Not bad for something a monster made.\Really, it's good.\Thank you very much!\Good thing, huh?\Yes!\I'd eat this every day if I could.\Really? response:	Who is it?
context: Not bad for something a monster made.\Really, it's good.\Thank you very much!\Good thing, huh?\Yes!\I'd eat this every day if I could.\Really?\Who is it? response:	It's Mei Lin.
