context: Hatori response:	You're not going to regret this later, are you?
context: Adorable.\Adorable.\Our robin.\If you're going to become a mage, we'll give you all the help you need, my beloved.\Beloved?\Chise.\Are you all right?\You're not overheated? response:	Yes, I'm fine,
context: Adorable.\Our robin.\If you're going to become a mage, we'll give you all the help you need, my beloved.\Beloved?\Chise.\Are you all right?\You're not overheated?\Yes, I'm fine, response:	so you don't need to come in.
context: Our robin.\If you're going to become a mage, we'll give you all the help you need, my beloved.\Beloved?\Chise.\Are you all right?\You're not overheated?\Yes, I'm fine,\so you don't need to come in. response:	They're gone.
context: If you're going to become a mage, we'll give you all the help you need, my beloved.\Beloved?\Chise.\Are you all right?\You're not overheated?\Yes, I'm fine,\so you don't need to come in.\They're gone. response:	Have something to eat and drink so you can relax.
context: Beloved?\Chise.\Are you all right?\You're not overheated?\Yes, I'm fine,\so you don't need to come in.\They're gone.\Have something to eat and drink so you can relax. response:	You look like you have a lot of questions.
context: Chise.\Are you all right?\You're not overheated?\Yes, I'm fine,\so you don't need to come in.\They're gone.\Have something to eat and drink so you can relax.\You look like you have a lot of questions. response:	I'll try to answer your questions.
context: Are you all right?\You're not overheated?\Yes, I'm fine,\so you don't need to come in.\They're gone.\Have something to eat and drink so you can relax.\You look like you have a lot of questions.\I'll try to answer your questions. response:	It'll be like a bedtime story.
context: You're not overheated?\Yes, I'm fine,\so you don't need to come in.\They're gone.\Have something to eat and drink so you can relax.\You look like you have a lot of questions.\I'll try to answer your questions.\It'll be like a bedtime story. response:	Um, I saw fairies...
context: Yes, I'm fine,\so you don't need to come in.\They're gone.\Have something to eat and drink so you can relax.\You look like you have a lot of questions.\I'll try to answer your questions.\It'll be like a bedtime story.\Um, I saw fairies... response:	Ah, the ariels.
context: so you don't need to come in.\They're gone.\Have something to eat and drink so you can relax.\You look like you have a lot of questions.\I'll try to answer your questions.\It'll be like a bedtime story.\Um, I saw fairies...\Ah, the ariels. response:	They must have greeted you.
context: They're gone.\Have something to eat and drink so you can relax.\You look like you have a lot of questions.\I'll try to answer your questions.\It'll be like a bedtime story.\Um, I saw fairies...\Ah, the ariels.\They must have greeted you. response:	They're attracted to anything new.
context: Have something to eat and drink so you can relax.\You look like you have a lot of questions.\I'll try to answer your questions.\It'll be like a bedtime story.\Um, I saw fairies...\Ah, the ariels.\They must have greeted you.\They're attracted to anything new. response:	I see.
context: You look like you have a lot of questions.\I'll try to answer your questions.\It'll be like a bedtime story.\Um, I saw fairies...\Ah, the ariels.\They must have greeted you.\They're attracted to anything new.\I see. response:	Is it true that you're a mage?
context: I'll try to answer your questions.\It'll be like a bedtime story.\Um, I saw fairies...\Ah, the ariels.\They must have greeted you.\They're attracted to anything new.\I see.\Is it true that you're a mage? response:	It is true.
context: It'll be like a bedtime story.\Um, I saw fairies...\Ah, the ariels.\They must have greeted you.\They're attracted to anything new.\I see.\Is it true that you're a mage?\It is true. response:	So when you say apprentice...
context: Um, I saw fairies...\Ah, the ariels.\They must have greeted you.\They're attracted to anything new.\I see.\Is it true that you're a mage?\It is true.\So when you say apprentice... response:	I mean apprentice, my puppy.
context: Ah, the ariels.\They must have greeted you.\They're attracted to anything new.\I see.\Is it true that you're a mage?\It is true.\So when you say apprentice...\I mean apprentice, my puppy. response:	Sleigh Beggies are rare.
context: They must have greeted you.\They're attracted to anything new.\I see.\Is it true that you're a mage?\It is true.\So when you say apprentice...\I mean apprentice, my puppy.\Sleigh Beggies are rare. response:	I was very lucky today.
context: They're attracted to anything new.\I see.\Is it true that you're a mage?\It is true.\So when you say apprentice...\I mean apprentice, my puppy.\Sleigh Beggies are rare.\I was very lucky today. response:	What is this Sleigh Beggy?
context: I see.\Is it true that you're a mage?\It is true.\So when you say apprentice...\I mean apprentice, my puppy.\Sleigh Beggies are rare.\I was very lucky today.\What is this Sleigh Beggy? response:	If I had to choose a word, a queen bee.
context: Is it true that you're a mage?\It is true.\So when you say apprentice...\I mean apprentice, my puppy.\Sleigh Beggies are rare.\I was very lucky today.\What is this Sleigh Beggy?\If I had to choose a word, a queen bee. response:	Youor, your kind, Sleigh Beggies,
context: It is true.\So when you say apprentice...\I mean apprentice, my puppy.\Sleigh Beggies are rare.\I was very lucky today.\What is this Sleigh Beggy?\If I had to choose a word, a queen bee.\Youor, your kind, Sleigh Beggies, response:	are capable of attracting and binding all manner of things.
context: So when you say apprentice...\I mean apprentice, my puppy.\Sleigh Beggies are rare.\I was very lucky today.\What is this Sleigh Beggy?\If I had to choose a word, a queen bee.\Youor, your kind, Sleigh Beggies,\are capable of attracting and binding all manner of things. response:	Specifically, fairies and mysteries.
context: I mean apprentice, my puppy.\Sleigh Beggies are rare.\I was very lucky today.\What is this Sleigh Beggy?\If I had to choose a word, a queen bee.\Youor, your kind, Sleigh Beggies,\are capable of attracting and binding all manner of things.\Specifically, fairies and mysteries. response:	They're worker bees that are drawn to you whether the queen bee can see them or not.
context: Sleigh Beggies are rare.\I was very lucky today.\What is this Sleigh Beggy?\If I had to choose a word, a queen bee.\Youor, your kind, Sleigh Beggies,\are capable of attracting and binding all manner of things.\Specifically, fairies and mysteries.\They're worker bees that are drawn to you whether the queen bee can see them or not. response:	Even if she can't see them?
context: I was very lucky today.\What is this Sleigh Beggy?\If I had to choose a word, a queen bee.\Youor, your kind, Sleigh Beggies,\are capable of attracting and binding all manner of things.\Specifically, fairies and mysteries.\They're worker bees that are drawn to you whether the queen bee can see them or not.\Even if she can't see them? response:	It seems you can see them, but that's not common among your kind.
context: What is this Sleigh Beggy?\If I had to choose a word, a queen bee.\Youor, your kind, Sleigh Beggies,\are capable of attracting and binding all manner of things.\Specifically, fairies and mysteries.\They're worker bees that are drawn to you whether the queen bee can see them or not.\Even if she can't see them?\It seems you can see them, but that's not common among your kind. response:	They bring fortune and misfortune upon the queen bee.
context: If I had to choose a word, a queen bee.\Youor, your kind, Sleigh Beggies,\are capable of attracting and binding all manner of things.\Specifically, fairies and mysteries.\They're worker bees that are drawn to you whether the queen bee can see them or not.\Even if she can't see them?\It seems you can see them, but that's not common among your kind.\They bring fortune and misfortune upon the queen bee. response:	Misfortune?
context: Youor, your kind, Sleigh Beggies,\are capable of attracting and binding all manner of things.\Specifically, fairies and mysteries.\They're worker bees that are drawn to you whether the queen bee can see them or not.\Even if she can't see them?\It seems you can see them, but that's not common among your kind.\They bring fortune and misfortune upon the queen bee.\Misfortune? response:	Their kindness and favors don't necessarily benefit a human.
context: are capable of attracting and binding all manner of things.\Specifically, fairies and mysteries.\They're worker bees that are drawn to you whether the queen bee can see them or not.\Even if she can't see them?\It seems you can see them, but that's not common among your kind.\They bring fortune and misfortune upon the queen bee.\Misfortune?\Their kindness and favors don't necessarily benefit a human. response:	However, to be loved by them means that you'll never be without assistance.
context: Specifically, fairies and mysteries.\They're worker bees that are drawn to you whether the queen bee can see them or not.\Even if she can't see them?\It seems you can see them, but that's not common among your kind.\They bring fortune and misfortune upon the queen bee.\Misfortune?\Their kindness and favors don't necessarily benefit a human.\However, to be loved by them means that you'll never be without assistance. response:	You need their help to do magic, so it's an important trait to have.
context: They're worker bees that are drawn to you whether the queen bee can see them or not.\Even if she can't see them?\It seems you can see them, but that's not common among your kind.\They bring fortune and misfortune upon the queen bee.\Misfortune?\Their kindness and favors don't necessarily benefit a human.\However, to be loved by them means that you'll never be without assistance.\You need their help to do magic, so it's an important trait to have. response:	You'll surely become a great mage.
context: Even if she can't see them?\It seems you can see them, but that's not common among your kind.\They bring fortune and misfortune upon the queen bee.\Misfortune?\Their kindness and favors don't necessarily benefit a human.\However, to be loved by them means that you'll never be without assistance.\You need their help to do magic, so it's an important trait to have.\You'll surely become a great mage. response:	That doesn't mean I'll be ordering you around, though.
context: It seems you can see them, but that's not common among your kind.\They bring fortune and misfortune upon the queen bee.\Misfortune?\Their kindness and favors don't necessarily benefit a human.\However, to be loved by them means that you'll never be without assistance.\You need their help to do magic, so it's an important trait to have.\You'll surely become a great mage.\That doesn't mean I'll be ordering you around, though. response:	But I don't have any right to refuse, do I?
context: They bring fortune and misfortune upon the queen bee.\Misfortune?\Their kindness and favors don't necessarily benefit a human.\However, to be loved by them means that you'll never be without assistance.\You need their help to do magic, so it's an important trait to have.\You'll surely become a great mage.\That doesn't mean I'll be ordering you around, though.\But I don't have any right to refuse, do I? response:	Well, no.
context: Misfortune?\Their kindness and favors don't necessarily benefit a human.\However, to be loved by them means that you'll never be without assistance.\You need their help to do magic, so it's an important trait to have.\You'll surely become a great mage.\That doesn't mean I'll be ordering you around, though.\But I don't have any right to refuse, do I?\Well, no. response:	You're free to reconsider, though.
context: Their kindness and favors don't necessarily benefit a human.\However, to be loved by them means that you'll never be without assistance.\You need their help to do magic, so it's an important trait to have.\You'll surely become a great mage.\That doesn't mean I'll be ordering you around, though.\But I don't have any right to refuse, do I?\Well, no.\You're free to reconsider, though. response:	Becoming a mage is just one path of countless many.
context: However, to be loved by them means that you'll never be without assistance.\You need their help to do magic, so it's an important trait to have.\You'll surely become a great mage.\That doesn't mean I'll be ordering you around, though.\But I don't have any right to refuse, do I?\Well, no.\You're free to reconsider, though.\Becoming a mage is just one path of countless many. response:	You're like family to me now.
context: You need their help to do magic, so it's an important trait to have.\You'll surely become a great mage.\That doesn't mean I'll be ordering you around, though.\But I don't have any right to refuse, do I?\Well, no.\You're free to reconsider, though.\Becoming a mage is just one path of countless many.\You're like family to me now. response:	You can depend on me.
context: You'll surely become a great mage.\That doesn't mean I'll be ordering you around, though.\But I don't have any right to refuse, do I?\Well, no.\You're free to reconsider, though.\Becoming a mage is just one path of countless many.\You're like family to me now.\You can depend on me. response:	Family?
context: That doesn't mean I'll be ordering you around, though.\But I don't have any right to refuse, do I?\Well, no.\You're free to reconsider, though.\Becoming a mage is just one path of countless many.\You're like family to me now.\You can depend on me.\Family? response:	This is an adder stone.
context: But I don't have any right to refuse, do I?\Well, no.\You're free to reconsider, though.\Becoming a mage is just one path of countless many.\You're like family to me now.\You can depend on me.\Family?\This is an adder stone. response:	The hole formed naturally at the bottom of a river.
context: Well, no.\You're free to reconsider, though.\Becoming a mage is just one path of countless many.\You're like family to me now.\You can depend on me.\Family?\This is an adder stone.\The hole formed naturally at the bottom of a river. response:	It'll protect you.
context: You're free to reconsider, though.\Becoming a mage is just one path of countless many.\You're like family to me now.\You can depend on me.\Family?\This is an adder stone.\The hole formed naturally at the bottom of a river.\It'll protect you. response:	Have it.
context: Becoming a mage is just one path of countless many.\You're like family to me now.\You can depend on me.\Family?\This is an adder stone.\The hole formed naturally at the bottom of a river.\It'll protect you.\Have it. response:	Silver.
context: You're like family to me now.\You can depend on me.\Family?\This is an adder stone.\The hole formed naturally at the bottom of a river.\It'll protect you.\Have it.\Silver. response:	You must be tired,
context: You can depend on me.\Family?\This is an adder stone.\The hole formed naturally at the bottom of a river.\It'll protect you.\Have it.\Silver.\You must be tired, response:	so you should turn in for the day.
context: Family?\This is an adder stone.\The hole formed naturally at the bottom of a river.\It'll protect you.\Have it.\Silver.\You must be tired,\so you should turn in for the day. response:	Would you please show her to her room?
context: This is an adder stone.\The hole formed naturally at the bottom of a river.\It'll protect you.\Have it.\Silver.\You must be tired,\so you should turn in for the day.\Would you please show her to her room? response:	I even get a proper place to sleep.
context: The hole formed naturally at the bottom of a river.\It'll protect you.\Have it.\Silver.\You must be tired,\so you should turn in for the day.\Would you please show her to her room?\I even get a proper place to sleep. response:	Family...
context: It'll protect you.\Have it.\Silver.\You must be tired,\so you should turn in for the day.\Would you please show her to her room?\I even get a proper place to sleep.\Family... response:	It smells strange.
context: Have it.\Silver.\You must be tired,\so you should turn in for the day.\Would you please show her to her room?\I even get a proper place to sleep.\Family...\It smells strange. response:	Is it the scent of grass?
context: Silver.\You must be tired,\so you should turn in for the day.\Would you please show her to her room?\I even get a proper place to sleep.\Family...\It smells strange.\Is it the scent of grass? response:	Chise.
context: You must be tired,\so you should turn in for the day.\Would you please show her to her room?\I even get a proper place to sleep.\Family...\It smells strange.\Is it the scent of grass?\Chise. response:	Chise.
context: so you should turn in for the day.\Would you please show her to her room?\I even get a proper place to sleep.\Family...\It smells strange.\Is it the scent of grass?\Chise.\Chise. response:	Chise.
context: Would you please show her to her room?\I even get a proper place to sleep.\Family...\It smells strange.\Is it the scent of grass?\Chise.\Chise.\Chise. response:	Chise!
context: I even get a proper place to sleep.\Family...\It smells strange.\Is it the scent of grass?\Chise.\Chise.\Chise.\Chise! response:	You're the... um, neighbor.
context: Family...\It smells strange.\Is it the scent of grass?\Chise.\Chise.\Chise.\Chise!\You're the... um, neighbor. response:	Hey, why don't we go for a midnight walk?
context: It smells strange.\Is it the scent of grass?\Chise.\Chise.\Chise.\Chise!\You're the... um, neighbor.\Hey, why don't we go for a midnight walk? response:	There's a nice forest nearby.
context: Is it the scent of grass?\Chise.\Chise.\Chise.\Chise!\You're the... um, neighbor.\Hey, why don't we go for a midnight walk?\There's a nice forest nearby. response:	But...
context: Chise.\Chise.\Chise.\Chise!\You're the... um, neighbor.\Hey, why don't we go for a midnight walk?\There's a nice forest nearby.\But... response:	Come on, it'll be fine!
context: Chise.\Chise.\Chise!\You're the... um, neighbor.\Hey, why don't we go for a midnight walk?\There's a nice forest nearby.\But...\Come on, it'll be fine! response:	Just for a little bit.
context: Chise.\Chise!\You're the... um, neighbor.\Hey, why don't we go for a midnight walk?\There's a nice forest nearby.\But...\Come on, it'll be fine!\Just for a little bit. response:	Take a walk, tire yourself out a little and sleep well.
context: Chise!\You're the... um, neighbor.\Hey, why don't we go for a midnight walk?\There's a nice forest nearby.\But...\Come on, it'll be fine!\Just for a little bit.\Take a walk, tire yourself out a little and sleep well. response:	Let's go.
context: You're the... um, neighbor.\Hey, why don't we go for a midnight walk?\There's a nice forest nearby.\But...\Come on, it'll be fine!\Just for a little bit.\Take a walk, tire yourself out a little and sleep well.\Let's go. response:	What a hopeless child.
context: Hey, why don't we go for a midnight walk?\There's a nice forest nearby.\But...\Come on, it'll be fine!\Just for a little bit.\Take a walk, tire yourself out a little and sleep well.\Let's go.\What a hopeless child. response:	Well, it'll make for a good lesson.
context: There's a nice forest nearby.\But...\Come on, it'll be fine!\Just for a little bit.\Take a walk, tire yourself out a little and sleep well.\Let's go.\What a hopeless child.\Well, it'll make for a good lesson. response:	It's kind of bright.
context: But...\Come on, it'll be fine!\Just for a little bit.\Take a walk, tire yourself out a little and sleep well.\Let's go.\What a hopeless child.\Well, it'll make for a good lesson.\It's kind of bright. response:	It's the trail we leave after we've passed by.
context: Come on, it'll be fine!\Just for a little bit.\Take a walk, tire yourself out a little and sleep well.\Let's go.\What a hopeless child.\Well, it'll make for a good lesson.\It's kind of bright.\It's the trail we leave after we've passed by. response:	You can see that, too, huh?
context: Just for a little bit.\Take a walk, tire yourself out a little and sleep well.\Let's go.\What a hopeless child.\Well, it'll make for a good lesson.\It's kind of bright.\It's the trail we leave after we've passed by.\You can see that, too, huh? response:	Hey, Chise, what's your family like?
context: Take a walk, tire yourself out a little and sleep well.\Let's go.\What a hopeless child.\Well, it'll make for a good lesson.\It's kind of bright.\It's the trail we leave after we've passed by.\You can see that, too, huh?\Hey, Chise, what's your family like? response:	I don't have one.
context: Let's go.\What a hopeless child.\Well, it'll make for a good lesson.\It's kind of bright.\It's the trail we leave after we've passed by.\You can see that, too, huh?\Hey, Chise, what's your family like?\I don't have one. response:	I was taken in by a lot of different relatives.
context: What a hopeless child.\Well, it'll make for a good lesson.\It's kind of bright.\It's the trail we leave after we've passed by.\You can see that, too, huh?\Hey, Chise, what's your family like?\I don't have one.\I was taken in by a lot of different relatives. response:	Were those people kind?
context: Well, it'll make for a good lesson.\It's kind of bright.\It's the trail we leave after we've passed by.\You can see that, too, huh?\Hey, Chise, what's your family like?\I don't have one.\I was taken in by a lot of different relatives.\Were those people kind? response:	Chise?
context: It's kind of bright.\It's the trail we leave after we've passed by.\You can see that, too, huh?\Hey, Chise, what's your family like?\I don't have one.\I was taken in by a lot of different relatives.\Were those people kind?\Chise? response:	I might not have come here if I'd come to love them.
context: It's the trail we leave after we've passed by.\You can see that, too, huh?\Hey, Chise, what's your family like?\I don't have one.\I was taken in by a lot of different relatives.\Were those people kind?\Chise?\I might not have come here if I'd come to love them. response:	Oh?
context: You can see that, too, huh?\Hey, Chise, what's your family like?\I don't have one.\I was taken in by a lot of different relatives.\Were those people kind?\Chise?\I might not have come here if I'd come to love them.\Oh? response:	Hey, we've walked pretty far.
context: Hey, Chise, what's your family like?\I don't have one.\I was taken in by a lot of different relatives.\Were those people kind?\Chise?\I might not have come here if I'd come to love them.\Oh?\Hey, we've walked pretty far. response:	It's fine.
context: I don't have one.\I was taken in by a lot of different relatives.\Were those people kind?\Chise?\I might not have come here if I'd come to love them.\Oh?\Hey, we've walked pretty far.\It's fine. response:	We gotta go even further, if anything.
context: I was taken in by a lot of different relatives.\Were those people kind?\Chise?\I might not have come here if I'd come to love them.\Oh?\Hey, we've walked pretty far.\It's fine.\We gotta go even further, if anything. response:	After all, you don't need to go back anymore.
context: Were those people kind?\Chise?\I might not have come here if I'd come to love them.\Oh?\Hey, we've walked pretty far.\It's fine.\We gotta go even further, if anything.\After all, you don't need to go back anymore. response:	We finally duped the Thorn Mage.
context: Chise?\I might not have come here if I'd come to love them.\Oh?\Hey, we've walked pretty far.\It's fine.\We gotta go even further, if anything.\After all, you don't need to go back anymore.\We finally duped the Thorn Mage. response:	What are you talking about?
context: I might not have come here if I'd come to love them.\Oh?\Hey, we've walked pretty far.\It's fine.\We gotta go even further, if anything.\After all, you don't need to go back anymore.\We finally duped the Thorn Mage.\What are you talking about? response:	I need to take you back to our land, or the others will get angry at me.
context: Oh?\Hey, we've walked pretty far.\It's fine.\We gotta go even further, if anything.\After all, you don't need to go back anymore.\We finally duped the Thorn Mage.\What are you talking about?\I need to take you back to our land, or the others will get angry at me. response:	It'll be a lot easier than living in the human world.
context: Hey, we've walked pretty far.\It's fine.\We gotta go even further, if anything.\After all, you don't need to go back anymore.\We finally duped the Thorn Mage.\What are you talking about?\I need to take you back to our land, or the others will get angry at me.\It'll be a lot easier than living in the human world. response:	Don't worry.
context: It's fine.\We gotta go even further, if anything.\After all, you don't need to go back anymore.\We finally duped the Thorn Mage.\What are you talking about?\I need to take you back to our land, or the others will get angry at me.\It'll be a lot easier than living in the human world.\Don't worry. response:	Hey, it just happens to be open.
context: We gotta go even further, if anything.\After all, you don't need to go back anymore.\We finally duped the Thorn Mage.\What are you talking about?\I need to take you back to our land, or the others will get angry at me.\It'll be a lot easier than living in the human world.\Don't worry.\Hey, it just happens to be open. response:	The Fairy Kingdom is past here.
context: After all, you don't need to go back anymore.\We finally duped the Thorn Mage.\What are you talking about?\I need to take you back to our land, or the others will get angry at me.\It'll be a lot easier than living in the human world.\Don't worry.\Hey, it just happens to be open.\The Fairy Kingdom is past here. response:	A super fun world, just for you and us.
context: We finally duped the Thorn Mage.\What are you talking about?\I need to take you back to our land, or the others will get angry at me.\It'll be a lot easier than living in the human world.\Don't worry.\Hey, it just happens to be open.\The Fairy Kingdom is past here.\A super fun world, just for you and us. response:	W-Wait...
context: What are you talking about?\I need to take you back to our land, or the others will get angry at me.\It'll be a lot easier than living in the human world.\Don't worry.\Hey, it just happens to be open.\The Fairy Kingdom is past here.\A super fun world, just for you and us.\W-Wait... response:	Let's go.
context: I need to take you back to our land, or the others will get angry at me.\It'll be a lot easier than living in the human world.\Don't worry.\Hey, it just happens to be open.\The Fairy Kingdom is past here.\A super fun world, just for you and us.\W-Wait...\Let's go. response:	I-I'm going back.
context: It'll be a lot easier than living in the human world.\Don't worry.\Hey, it just happens to be open.\The Fairy Kingdom is past here.\A super fun world, just for you and us.\W-Wait...\Let's go.\I-I'm going back. response:	Oh? Back where?
context: Don't worry.\Hey, it just happens to be open.\The Fairy Kingdom is past here.\A super fun world, just for you and us.\W-Wait...\Let's go.\I-I'm going back.\Oh? Back where? response:	You don't even have family waiting for you.
context: Hey, it just happens to be open.\The Fairy Kingdom is past here.\A super fun world, just for you and us.\W-Wait...\Let's go.\I-I'm going back.\Oh? Back where?\You don't even have family waiting for you. response:	You might as well live a happy, giddy life on this side.
context: The Fairy Kingdom is past here.\A super fun world, just for you and us.\W-Wait...\Let's go.\I-I'm going back.\Oh? Back where?\You don't even have family waiting for you.\You might as well live a happy, giddy life on this side. response:	You're right.
context: A super fun world, just for you and us.\W-Wait...\Let's go.\I-I'm going back.\Oh? Back where?\You don't even have family waiting for you.\You might as well live a happy, giddy life on this side.\You're right. response:	I have no one.
context: W-Wait...\Let's go.\I-I'm going back.\Oh? Back where?\You don't even have family waiting for you.\You might as well live a happy, giddy life on this side.\You're right.\I have no one. response:	What's wrong, Chise?
context: Let's go.\I-I'm going back.\Oh? Back where?\You don't even have family waiting for you.\You might as well live a happy, giddy life on this side.\You're right.\I have no one.\What's wrong, Chise? response:	I can't.
context: I-I'm going back.\Oh? Back where?\You don't even have family waiting for you.\You might as well live a happy, giddy life on this side.\You're right.\I have no one.\What's wrong, Chise?\I can't. response:	I have to go home.
context: Oh? Back where?\You don't even have family waiting for you.\You might as well live a happy, giddy life on this side.\You're right.\I have no one.\What's wrong, Chise?\I can't.\I have to go home. response:	Why?
context: You don't even have family waiting for you.\You might as well live a happy, giddy life on this side.\You're right.\I have no one.\What's wrong, Chise?\I can't.\I have to go home.\Why? response:	There's no reason you have to go back to that house.
context: You might as well live a happy, giddy life on this side.\You're right.\I have no one.\What's wrong, Chise?\I can't.\I have to go home.\Why?\There's no reason you have to go back to that house. response:	No one ever told me that I could be there.
context: You're right.\I have no one.\What's wrong, Chise?\I can't.\I have to go home.\Why?\There's no reason you have to go back to that house.\No one ever told me that I could be there. response:	But that man told me...
context: I have no one.\What's wrong, Chise?\I can't.\I have to go home.\Why?\There's no reason you have to go back to that house.\No one ever told me that I could be there.\But that man told me... response:	Even if I'm just a toy,
context: What's wrong, Chise?\I can't.\I have to go home.\Why?\There's no reason you have to go back to that house.\No one ever told me that I could be there.\But that man told me...\Even if I'm just a toy, response:	even if he'll throw me out when he's bored of me,
context: I can't.\I have to go home.\Why?\There's no reason you have to go back to that house.\No one ever told me that I could be there.\But that man told me...\Even if I'm just a toy,\even if he'll throw me out when he's bored of me, response:	he told me I was family, even if it was just that once.
context: I have to go home.\Why?\There's no reason you have to go back to that house.\No one ever told me that I could be there.\But that man told me...\Even if I'm just a toy,\even if he'll throw me out when he's bored of me,\he told me I was family, even if it was just that once. response:	So...
context: Why?\There's no reason you have to go back to that house.\No one ever told me that I could be there.\But that man told me...\Even if I'm just a toy,\even if he'll throw me out when he's bored of me,\he told me I was family, even if it was just that once.\So... response:	It looks like my puppy has already learned where her den is.
context: There's no reason you have to go back to that house.\No one ever told me that I could be there.\But that man told me...\Even if I'm just a toy,\even if he'll throw me out when he's bored of me,\he told me I was family, even if it was just that once.\So...\It looks like my puppy has already learned where her den is. response:	Elias.
context: No one ever told me that I could be there.\But that man told me...\Even if I'm just a toy,\even if he'll throw me out when he's bored of me,\he told me I was family, even if it was just that once.\So...\It looks like my puppy has already learned where her den is.\Elias. response:	Curses! How did you know where we were?
context: But that man told me...\Even if I'm just a toy,\even if he'll throw me out when he's bored of me,\he told me I was family, even if it was just that once.\So...\It looks like my puppy has already learned where her den is.\Elias.\Curses! How did you know where we were? response:	She has a collar and a bell.
context: Even if I'm just a toy,\even if he'll throw me out when he's bored of me,\he told me I was family, even if it was just that once.\So...\It looks like my puppy has already learned where her den is.\Elias.\Curses! How did you know where we were?\She has a collar and a bell. response:	Be gone.
context: even if he'll throw me out when he's bored of me,\he told me I was family, even if it was just that once.\So...\It looks like my puppy has already learned where her den is.\Elias.\Curses! How did you know where we were?\She has a collar and a bell.\Be gone. response:	I'll forgive you just this once.
context: he told me I was family, even if it was just that once.\So...\It looks like my puppy has already learned where her den is.\Elias.\Curses! How did you know where we were?\She has a collar and a bell.\Be gone.\I'll forgive you just this once. response:	Next time, you'll be salamander food.
context: So...\It looks like my puppy has already learned where her den is.\Elias.\Curses! How did you know where we were?\She has a collar and a bell.\Be gone.\I'll forgive you just this once.\Next time, you'll be salamander food. response:	Let's see if a half-baked loser like you can protect our robin.
context: It looks like my puppy has already learned where her den is.\Elias.\Curses! How did you know where we were?\She has a collar and a bell.\Be gone.\I'll forgive you just this once.\Next time, you'll be salamander food.\Let's see if a half-baked loser like you can protect our robin. response:	You don't need to remind me.
context: Elias.\Curses! How did you know where we were?\She has a collar and a bell.\Be gone.\I'll forgive you just this once.\Next time, you'll be salamander food.\Let's see if a half-baked loser like you can protect our robin.\You don't need to remind me. response:	You can change your mind whenever you want, Chise.
context: Curses! How did you know where we were?\She has a collar and a bell.\Be gone.\I'll forgive you just this once.\Next time, you'll be salamander food.\Let's see if a half-baked loser like you can protect our robin.\You don't need to remind me.\You can change your mind whenever you want, Chise. response:	Chise.
context: She has a collar and a bell.\Be gone.\I'll forgive you just this once.\Next time, you'll be salamander food.\Let's see if a half-baked loser like you can protect our robin.\You don't need to remind me.\You can change your mind whenever you want, Chise.\Chise. response:	That was a good experience, was it not?
context: Be gone.\I'll forgive you just this once.\Next time, you'll be salamander food.\Let's see if a half-baked loser like you can protect our robin.\You don't need to remind me.\You can change your mind whenever you want, Chise.\Chise.\That was a good experience, was it not? response:	Many of them make a habit of seducing us with sweet words.
context: I'll forgive you just this once.\Next time, you'll be salamander food.\Let's see if a half-baked loser like you can protect our robin.\You don't need to remind me.\You can change your mind whenever you want, Chise.\Chise.\That was a good experience, was it not?\Many of them make a habit of seducing us with sweet words. response:	Be careful from now on.
context: Next time, you'll be salamander food.\Let's see if a half-baked loser like you can protect our robin.\You don't need to remind me.\You can change your mind whenever you want, Chise.\Chise.\That was a good experience, was it not?\Many of them make a habit of seducing us with sweet words.\Be careful from now on. response:	I'm... I'm sorry.
context: Let's see if a half-baked loser like you can protect our robin.\You don't need to remind me.\You can change your mind whenever you want, Chise.\Chise.\That was a good experience, was it not?\Many of them make a habit of seducing us with sweet words.\Be careful from now on.\I'm... I'm sorry. response:	No, I should have told you right away.
context: You don't need to remind me.\You can change your mind whenever you want, Chise.\Chise.\That was a good experience, was it not?\Many of them make a habit of seducing us with sweet words.\Be careful from now on.\I'm... I'm sorry.\No, I should have told you right away. response:	That's my duty to you, after all.
context: You can change your mind whenever you want, Chise.\Chise.\That was a good experience, was it not?\Many of them make a habit of seducing us with sweet words.\Be careful from now on.\I'm... I'm sorry.\No, I should have told you right away.\That's my duty to you, after all. response:	You're my apprentice.
context: Chise.\That was a good experience, was it not?\Many of them make a habit of seducing us with sweet words.\Be careful from now on.\I'm... I'm sorry.\No, I should have told you right away.\That's my duty to you, after all.\You're my apprentice. response:	Depend on me.
context: That was a good experience, was it not?\Many of them make a habit of seducing us with sweet words.\Be careful from now on.\I'm... I'm sorry.\No, I should have told you right away.\That's my duty to you, after all.\You're my apprentice.\Depend on me. response:	He's warm.
context: Many of them make a habit of seducing us with sweet words.\Be careful from now on.\I'm... I'm sorry.\No, I should have told you right away.\That's my duty to you, after all.\You're my apprentice.\Depend on me.\He's warm. response:	But it seems like he's tense
context: Be careful from now on.\I'm... I'm sorry.\No, I should have told you right away.\That's my duty to you, after all.\You're my apprentice.\Depend on me.\He's warm.\But it seems like he's tense response:	Wh-What are you doing?
context: I'm... I'm sorry.\No, I should have told you right away.\That's my duty to you, after all.\You're my apprentice.\Depend on me.\He's warm.\But it seems like he's tense\Wh-What are you doing? response:	It's easy to get lost in the forest at night.
context: No, I should have told you right away.\That's my duty to you, after all.\You're my apprentice.\Depend on me.\He's warm.\But it seems like he's tense\Wh-What are you doing?\It's easy to get lost in the forest at night. response:	Let's go home like this.
