context: This is Omi Jingu... response:	The mecca of karuta!
context: No more can we hear...\Shoot!\I need to help them relax!\Everyone!\One card at a time!\Yeah!\Chihaya?\It's hot. response:	This hakama is so hot.
context: Shoot!\I need to help them relax!\Everyone!\One card at a time!\Yeah!\Chihaya?\It's hot.\This hakama is so hot. response:	There's too much noise.
context: I need to help them relax!\Everyone!\One card at a time!\Yeah!\Chihaya?\It's hot.\This hakama is so hot.\There's too much noise. response:	Too many people.
context: Everyone!\One card at a time!\Yeah!\Chihaya?\It's hot.\This hakama is so hot.\There's too much noise.\Too many people. response:	Noisy...
context: One card at a time!\Yeah!\Chihaya?\It's hot.\This hakama is so hot.\There's too much noise.\Too many people.\Noisy... response:	Hot...
context: Yeah!\Chihaya?\It's hot.\This hakama is so hot.\There's too much noise.\Too many people.\Noisy...\Hot... response:	No, now I'm cold.
context: Chihaya?\It's hot.\This hakama is so hot.\There's too much noise.\Too many people.\Noisy...\Hot...\No, now I'm cold. response:	Why would you do this, God?
context: It's hot.\This hakama is so hot.\There's too much noise.\Too many people.\Noisy...\Hot...\No, now I'm cold.\Why would you do this, God? response:	Didn't I ask you
context: This hakama is so hot.\There's too much noise.\Too many people.\Noisy...\Hot...\No, now I'm cold.\Why would you do this, God?\Didn't I ask you response:	to keep us safe from any accidents?
context: There's too much noise.\Too many people.\Noisy...\Hot...\No, now I'm cold.\Why would you do this, God?\Didn't I ask you\to keep us safe from any accidents? response:	I wasn't asking for a miracle.
context: Too many people.\Noisy...\Hot...\No, now I'm cold.\Why would you do this, God?\Didn't I ask you\to keep us safe from any accidents?\I wasn't asking for a miracle. response:	I went the wrong way.
context: Noisy...\Hot...\No, now I'm cold.\Why would you do this, God?\Didn't I ask you\to keep us safe from any accidents?\I wasn't asking for a miracle.\I went the wrong way. response:	I've been here so many times, too.
context: Hot...\No, now I'm cold.\Why would you do this, God?\Didn't I ask you\to keep us safe from any accidents?\I wasn't asking for a miracle.\I went the wrong way.\I've been here so many times, too. response:	Oh, I always came by car.
context: No, now I'm cold.\Why would you do this, God?\Didn't I ask you\to keep us safe from any accidents?\I wasn't asking for a miracle.\I went the wrong way.\I've been here so many times, too.\Oh, I always came by car. response:	Paralyzed?
context: Why would you do this, God?\Didn't I ask you\to keep us safe from any accidents?\I wasn't asking for a miracle.\I went the wrong way.\I've been here so many times, too.\Oh, I always came by car.\Paralyzed? response:	Yes, he has trouble moving the right side of his body.
context: Didn't I ask you\to keep us safe from any accidents?\I wasn't asking for a miracle.\I went the wrong way.\I've been here so many times, too.\Oh, I always came by car.\Paralyzed?\Yes, he has trouble moving the right side of his body. response:	You might be in for a shock, Arata.
context: to keep us safe from any accidents?\I wasn't asking for a miracle.\I went the wrong way.\I've been here so many times, too.\Oh, I always came by car.\Paralyzed?\Yes, he has trouble moving the right side of his body.\You might be in for a shock, Arata. response:	Why? Grandpa's still Grandpa, right?
context: I wasn't asking for a miracle.\I went the wrong way.\I've been here so many times, too.\Oh, I always came by car.\Paralyzed?\Yes, he has trouble moving the right side of his body.\You might be in for a shock, Arata.\Why? Grandpa's still Grandpa, right? response:	Grandpa, Arata is here.
context: I went the wrong way.\I've been here so many times, too.\Oh, I always came by car.\Paralyzed?\Yes, he has trouble moving the right side of his body.\You might be in for a shock, Arata.\Why? Grandpa's still Grandpa, right?\Grandpa, Arata is here. response:	Oh, Arata...
context: I've been here so many times, too.\Oh, I always came by car.\Paralyzed?\Yes, he has trouble moving the right side of his body.\You might be in for a shock, Arata.\Why? Grandpa's still Grandpa, right?\Grandpa, Arata is here.\Oh, Arata... response:	Grandpa's still Grandpa!
context: Oh, I always came by car.\Paralyzed?\Yes, he has trouble moving the right side of his body.\You might be in for a shock, Arata.\Why? Grandpa's still Grandpa, right?\Grandpa, Arata is here.\Oh, Arata...\Grandpa's still Grandpa! response:	Arata, I have a new placement for you!
context: Paralyzed?\Yes, he has trouble moving the right side of his body.\You might be in for a shock, Arata.\Why? Grandpa's still Grandpa, right?\Grandpa, Arata is here.\Oh, Arata...\Grandpa's still Grandpa!\Arata, I have a new placement for you! response:	Huh?
context: Yes, he has trouble moving the right side of his body.\You might be in for a shock, Arata.\Why? Grandpa's still Grandpa, right?\Grandpa, Arata is here.\Oh, Arata...\Grandpa's still Grandpa!\Arata, I have a new placement for you!\Huh? response:	Bring paper quick!
context: You might be in for a shock, Arata.\Why? Grandpa's still Grandpa, right?\Grandpa, Arata is here.\Oh, Arata...\Grandpa's still Grandpa!\Arata, I have a new placement for you!\Huh?\Bring paper quick! response:	The cards are about to slide off!
context: Why? Grandpa's still Grandpa, right?\Grandpa, Arata is here.\Oh, Arata...\Grandpa's still Grandpa!\Arata, I have a new placement for you!\Huh?\Bring paper quick!\The cards are about to slide off! response:	Arata.
context: Grandpa, Arata is here.\Oh, Arata...\Grandpa's still Grandpa!\Arata, I have a new placement for you!\Huh?\Bring paper quick!\The cards are about to slide off!\Arata. response:	Huh?
context: Oh, Arata...\Grandpa's still Grandpa!\Arata, I have a new placement for you!\Huh?\Bring paper quick!\The cards are about to slide off!\Arata.\Huh? response:	Your grandpa isn't giving up yet.
context: Grandpa's still Grandpa!\Arata, I have a new placement for you!\Huh?\Bring paper quick!\The cards are about to slide off!\Arata.\Huh?\Your grandpa isn't giving up yet. response:	I'll learn to take cards with my left hand.
context: Arata, I have a new placement for you!\Huh?\Bring paper quick!\The cards are about to slide off!\Arata.\Huh?\Your grandpa isn't giving up yet.\I'll learn to take cards with my left hand. response:	Yeah!
context: Huh?\Bring paper quick!\The cards are about to slide off!\Arata.\Huh?\Your grandpa isn't giving up yet.\I'll learn to take cards with my left hand.\Yeah! response:	Ogura Hundred Poets Karuta Master and Queen Final
context: Bring paper quick!\The cards are about to slide off!\Arata.\Huh?\Your grandpa isn't giving up yet.\I'll learn to take cards with my left hand.\Yeah!\Ogura Hundred Poets Karuta Master and Queen Final response:	We are bringing you another
context: The cards are about to slide off!\Arata.\Huh?\Your grandpa isn't giving up yet.\I'll learn to take cards with my left hand.\Yeah!\Ogura Hundred Poets Karuta Master and Queen Final\We are bringing you another response:	live broadcast from Omi Jingu in Shiga.
context: Arata.\Huh?\Your grandpa isn't giving up yet.\I'll learn to take cards with my left hand.\Yeah!\Ogura Hundred Poets Karuta Master and Queen Final\We are bringing you another\live broadcast from Omi Jingu in Shiga. response:	The three-time reigning champion, Master Miki,
context: Huh?\Your grandpa isn't giving up yet.\I'll learn to take cards with my left hand.\Yeah!\Ogura Hundred Poets Karuta Master and Queen Final\We are bringing you another\live broadcast from Omi Jingu in Shiga.\The three-time reigning champion, Master Miki, response:	Hey, Grandpa. What's the Master final like?
context: Your grandpa isn't giving up yet.\I'll learn to take cards with my left hand.\Yeah!\Ogura Hundred Poets Karuta Master and Queen Final\We are bringing you another\live broadcast from Omi Jingu in Shiga.\The three-time reigning champion, Master Miki,\Hey, Grandpa. What's the Master final like? response:	will be facing the challenger Suo Hisashi.
context: I'll learn to take cards with my left hand.\Yeah!\Ogura Hundred Poets Karuta Master and Queen Final\We are bringing you another\live broadcast from Omi Jingu in Shiga.\The three-time reigning champion, Master Miki,\Hey, Grandpa. What's the Master final like?\will be facing the challenger Suo Hisashi. response:	Suo-san is currently attending college.
context: Yeah!\Ogura Hundred Poets Karuta Master and Queen Final\We are bringing you another\live broadcast from Omi Jingu in Shiga.\The three-time reigning champion, Master Miki,\Hey, Grandpa. What's the Master final like?\will be facing the challenger Suo Hisashi.\Suo-san is currently attending college. response:	Were you nervous?
context: Ogura Hundred Poets Karuta Master and Queen Final\We are bringing you another\live broadcast from Omi Jingu in Shiga.\The three-time reigning champion, Master Miki,\Hey, Grandpa. What's the Master final like?\will be facing the challenger Suo Hisashi.\Suo-san is currently attending college.\Were you nervous? response:	Not at all.
context: We are bringing you another\live broadcast from Omi Jingu in Shiga.\The three-time reigning champion, Master Miki,\Hey, Grandpa. What's the Master final like?\will be facing the challenger Suo Hisashi.\Suo-san is currently attending college.\Were you nervous?\Not at all. response:	They would make me pose for pictures before the match.
context: live broadcast from Omi Jingu in Shiga.\The three-time reigning champion, Master Miki,\Hey, Grandpa. What's the Master final like?\will be facing the challenger Suo Hisashi.\Suo-san is currently attending college.\Were you nervous?\Not at all.\They would make me pose for pictures before the match. response:	I felt like a superstar.
context: The three-time reigning champion, Master Miki,\Hey, Grandpa. What's the Master final like?\will be facing the challenger Suo Hisashi.\Suo-san is currently attending college.\Were you nervous?\Not at all.\They would make me pose for pictures before the match.\I felt like a superstar. response:	Oh...
context: Hey, Grandpa. What's the Master final like?\will be facing the challenger Suo Hisashi.\Suo-san is currently attending college.\Were you nervous?\Not at all.\They would make me pose for pictures before the match.\I felt like a superstar.\Oh... response:	Arata, picture yourself on that stage.
context: will be facing the challenger Suo Hisashi.\Suo-san is currently attending college.\Were you nervous?\Not at all.\They would make me pose for pictures before the match.\I felt like a superstar.\Oh...\Arata, picture yourself on that stage. response:	Sweating under the spotlights,
context: Suo-san is currently attending college.\Were you nervous?\Not at all.\They would make me pose for pictures before the match.\I felt like a superstar.\Oh...\Arata, picture yourself on that stage.\Sweating under the spotlights, response:	with everyone's eyes on you...
context: Were you nervous?\Not at all.\They would make me pose for pictures before the match.\I felt like a superstar.\Oh...\Arata, picture yourself on that stage.\Sweating under the spotlights,\with everyone's eyes on you... response:	Across from you will be the strongest karuta player in the world.
context: Not at all.\They would make me pose for pictures before the match.\I felt like a superstar.\Oh...\Arata, picture yourself on that stage.\Sweating under the spotlights,\with everyone's eyes on you...\Across from you will be the strongest karuta player in the world. response:	The only sound in Omi Learning Center
context: They would make me pose for pictures before the match.\I felt like a superstar.\Oh...\Arata, picture yourself on that stage.\Sweating under the spotlights,\with everyone's eyes on you...\Across from you will be the strongest karuta player in the world.\The only sound in Omi Learning Center response:	will be when hands strike the tatami mat.
context: I felt like a superstar.\Oh...\Arata, picture yourself on that stage.\Sweating under the spotlights,\with everyone's eyes on you...\Across from you will be the strongest karuta player in the world.\The only sound in Omi Learning Center\will be when hands strike the tatami mat. response:	Now picture yourself winning...
context: Oh...\Arata, picture yourself on that stage.\Sweating under the spotlights,\with everyone's eyes on you...\Across from you will be the strongest karuta player in the world.\The only sound in Omi Learning Center\will be when hands strike the tatami mat.\Now picture yourself winning... response:	I need to hurry home!
context: Arata, picture yourself on that stage.\Sweating under the spotlights,\with everyone's eyes on you...\Across from you will be the strongest karuta player in the world.\The only sound in Omi Learning Center\will be when hands strike the tatami mat.\Now picture yourself winning...\I need to hurry home! response:	Grandpa's waiting for me!
context: Sweating under the spotlights,\with everyone's eyes on you...\Across from you will be the strongest karuta player in the world.\The only sound in Omi Learning Center\will be when hands strike the tatami mat.\Now picture yourself winning...\I need to hurry home!\Grandpa's waiting for me! response:	Grandpa?!
context: with everyone's eyes on you...\Across from you will be the strongest karuta player in the world.\The only sound in Omi Learning Center\will be when hands strike the tatami mat.\Now picture yourself winning...\I need to hurry home!\Grandpa's waiting for me!\Grandpa?! response:	Wataya Hajime
context: Across from you will be the strongest karuta player in the world.\The only sound in Omi Learning Center\will be when hands strike the tatami mat.\Now picture yourself winning...\I need to hurry home!\Grandpa's waiting for me!\Grandpa?!\Wataya Hajime response:	It was just a slight relapse.
context: The only sound in Omi Learning Center\will be when hands strike the tatami mat.\Now picture yourself winning...\I need to hurry home!\Grandpa's waiting for me!\Grandpa?!\Wataya Hajime\It was just a slight relapse. response:	Your grandpa's heart is weak.
context: will be when hands strike the tatami mat.\Now picture yourself winning...\I need to hurry home!\Grandpa's waiting for me!\Grandpa?!\Wataya Hajime\It was just a slight relapse.\Your grandpa's heart is weak. response:	The doctors are going to monitor him tonight
context: Now picture yourself winning...\I need to hurry home!\Grandpa's waiting for me!\Grandpa?!\Wataya Hajime\It was just a slight relapse.\Your grandpa's heart is weak.\The doctors are going to monitor him tonight response:	and he should be released tomorrow.
context: I need to hurry home!\Grandpa's waiting for me!\Grandpa?!\Wataya Hajime\It was just a slight relapse.\Your grandpa's heart is weak.\The doctors are going to monitor him tonight\and he should be released tomorrow. response:	I see. I'm glad.
context: Grandpa's waiting for me!\Grandpa?!\Wataya Hajime\It was just a slight relapse.\Your grandpa's heart is weak.\The doctors are going to monitor him tonight\and he should be released tomorrow.\I see. I'm glad. response:	Grandpa, you gave me a real scare.
context: Grandpa?!\Wataya Hajime\It was just a slight relapse.\Your grandpa's heart is weak.\The doctors are going to monitor him tonight\and he should be released tomorrow.\I see. I'm glad.\Grandpa, you gave me a real scare. response:	When I saw the ambulance...
context: Wataya Hajime\It was just a slight relapse.\Your grandpa's heart is weak.\The doctors are going to monitor him tonight\and he should be released tomorrow.\I see. I'm glad.\Grandpa, you gave me a real scare.\When I saw the ambulance... response:	Who might you be?
context: It was just a slight relapse.\Your grandpa's heart is weak.\The doctors are going to monitor him tonight\and he should be released tomorrow.\I see. I'm glad.\Grandpa, you gave me a real scare.\When I saw the ambulance...\Who might you be? response:	His brain is shrinking.
context: Your grandpa's heart is weak.\The doctors are going to monitor him tonight\and he should be released tomorrow.\I see. I'm glad.\Grandpa, you gave me a real scare.\When I saw the ambulance...\Who might you be?\His brain is shrinking. response:	He appears to be suffering early stage dementia.
context: The doctors are going to monitor him tonight\and he should be released tomorrow.\I see. I'm glad.\Grandpa, you gave me a real scare.\When I saw the ambulance...\Who might you be?\His brain is shrinking.\He appears to be suffering early stage dementia. response:	No way...
context: and he should be released tomorrow.\I see. I'm glad.\Grandpa, you gave me a real scare.\When I saw the ambulance...\Who might you be?\His brain is shrinking.\He appears to be suffering early stage dementia.\No way... response:	are joined at river's end
context: I see. I'm glad.\Grandpa, you gave me a real scare.\When I saw the ambulance...\Who might you be?\His brain is shrinking.\He appears to be suffering early stage dementia.\No way...\are joined at river's end response:	Grandpa, do you recognize this?
context: Grandpa, you gave me a real scare.\When I saw the ambulance...\Who might you be?\His brain is shrinking.\He appears to be suffering early stage dementia.\No way...\are joined at river's end\Grandpa, do you recognize this? response:	What about this one?
context: When I saw the ambulance...\Who might you be?\His brain is shrinking.\He appears to be suffering early stage dementia.\No way...\are joined at river's end\Grandpa, do you recognize this?\What about this one? response:	Oh, what is that?
context: Who might you be?\His brain is shrinking.\He appears to be suffering early stage dementia.\No way...\are joined at river's end\Grandpa, do you recognize this?\What about this one?\Oh, what is that? response:	What is that?
context: His brain is shrinking.\He appears to be suffering early stage dementia.\No way...\are joined at river's end\Grandpa, do you recognize this?\What about this one?\Oh, what is that?\What is that? response:	This can't be real.
context: He appears to be suffering early stage dementia.\No way...\are joined at river's end\Grandpa, do you recognize this?\What about this one?\Oh, what is that?\What is that?\This can't be real. response:	Grandpa...
context: No way...\are joined at river's end\Grandpa, do you recognize this?\What about this one?\Oh, what is that?\What is that?\This can't be real.\Grandpa... response:	This can't be real.
context: are joined at river's end\Grandpa, do you recognize this?\What about this one?\Oh, what is that?\What is that?\This can't be real.\Grandpa...\This can't be real. response:	Grandpa!
context: Grandpa, do you recognize this?\What about this one?\Oh, what is that?\What is that?\This can't be real.\Grandpa...\This can't be real.\Grandpa! response:	Arata! Arata!
context: What about this one?\Oh, what is that?\What is that?\This can't be real.\Grandpa...\This can't be real.\Grandpa!\Arata! Arata! response:	Shoji won the tournament yesterday and made Class A!
context: Oh, what is that?\What is that?\This can't be real.\Grandpa...\This can't be real.\Grandpa!\Arata! Arata!\Shoji won the tournament yesterday and made Class A! response:	Huh?
context: What is that?\This can't be real.\Grandpa...\This can't be real.\Grandpa!\Arata! Arata!\Shoji won the tournament yesterday and made Class A!\Huh? response:	I was so sure that you would be the first!
context: This can't be real.\Grandpa...\This can't be real.\Grandpa!\Arata! Arata!\Shoji won the tournament yesterday and made Class A!\Huh?\I was so sure that you would be the first! response:	Oh, but you haven't been practicing or playing in any tournaments.
context: Grandpa...\This can't be real.\Grandpa!\Arata! Arata!\Shoji won the tournament yesterday and made Class A!\Huh?\I was so sure that you would be the first!\Oh, but you haven't been practicing or playing in any tournaments. response:	I guess it's couldn't be helped.
context: This can't be real.\Grandpa!\Arata! Arata!\Shoji won the tournament yesterday and made Class A!\Huh?\I was so sure that you would be the first!\Oh, but you haven't been practicing or playing in any tournaments.\I guess it's couldn't be helped. response:	Wataya!
context: Grandpa!\Arata! Arata!\Shoji won the tournament yesterday and made Class A!\Huh?\I was so sure that you would be the first!\Oh, but you haven't been practicing or playing in any tournaments.\I guess it's couldn't be helped.\Wataya! response:	Wait, Shoji!
context: Arata! Arata!\Shoji won the tournament yesterday and made Class A!\Huh?\I was so sure that you would be the first!\Oh, but you haven't been practicing or playing in any tournaments.\I guess it's couldn't be helped.\Wataya!\Wait, Shoji! response:	You were lucky to have a Master for a grandfather,
context: Shoji won the tournament yesterday and made Class A!\Huh?\I was so sure that you would be the first!\Oh, but you haven't been practicing or playing in any tournaments.\I guess it's couldn't be helped.\Wataya!\Wait, Shoji!\You were lucky to have a Master for a grandfather, response:	but now it's the other way around!
context: Huh?\I was so sure that you would be the first!\Oh, but you haven't been practicing or playing in any tournaments.\I guess it's couldn't be helped.\Wataya!\Wait, Shoji!\You were lucky to have a Master for a grandfather,\but now it's the other way around! response:	He's the reason you don't have time to practice!
context: I was so sure that you would be the first!\Oh, but you haven't been practicing or playing in any tournaments.\I guess it's couldn't be helped.\Wataya!\Wait, Shoji!\You were lucky to have a Master for a grandfather,\but now it's the other way around!\He's the reason you don't have time to practice! response:	That was fast!
context: Oh, but you haven't been practicing or playing in any tournaments.\I guess it's couldn't be helped.\Wataya!\Wait, Shoji!\You were lucky to have a Master for a grandfather,\but now it's the other way around!\He's the reason you don't have time to practice!\That was fast! response:	Teacher!
context: I guess it's couldn't be helped.\Wataya!\Wait, Shoji!\You were lucky to have a Master for a grandfather,\but now it's the other way around!\He's the reason you don't have time to practice!\That was fast!\Teacher! response:	Oh!
context: Wataya!\Wait, Shoji!\You were lucky to have a Master for a grandfather,\but now it's the other way around!\He's the reason you don't have time to practice!\That was fast!\Teacher!\Oh! response:	She made Class C.
context: Wait, Shoji!\You were lucky to have a Master for a grandfather,\but now it's the other way around!\He's the reason you don't have time to practice!\That was fast!\Teacher!\Oh!\She made Class C. response:	She's still working hard, even though she joined the track team.
context: You were lucky to have a Master for a grandfather,\but now it's the other way around!\He's the reason you don't have time to practice!\That was fast!\Teacher!\Oh!\She made Class C.\She's still working hard, even though she joined the track team. response:	I'm sure that you're working hard. I hope to meet you in a match. -Chihaya
context: but now it's the other way around!\He's the reason you don't have time to practice!\That was fast!\Teacher!\Oh!\She made Class C.\She's still working hard, even though she joined the track team.\I'm sure that you're working hard. I hope to meet you in a match. -Chihaya response:	Arata?
context: He's the reason you don't have time to practice!\That was fast!\Teacher!\Oh!\She made Class C.\She's still working hard, even though she joined the track team.\I'm sure that you're working hard. I hope to meet you in a match. -Chihaya\Arata? response:	I have a class reunion this Sunday.
context: That was fast!\Teacher!\Oh!\She made Class C.\She's still working hard, even though she joined the track team.\I'm sure that you're working hard. I hope to meet you in a match. -Chihaya\Arata?\I have a class reunion this Sunday. response:	Can you look after your grandpa?
context: Teacher!\Oh!\She made Class C.\She's still working hard, even though she joined the track team.\I'm sure that you're working hard. I hope to meet you in a match. -Chihaya\Arata?\I have a class reunion this Sunday.\Can you look after your grandpa? response:	Yeah, sure.
context: Oh!\She made Class C.\She's still working hard, even though she joined the track team.\I'm sure that you're working hard. I hope to meet you in a match. -Chihaya\Arata?\I have a class reunion this Sunday.\Can you look after your grandpa?\Yeah, sure. response:	Great! I'll try to be home as soon as I can!
context: She made Class C.\She's still working hard, even though she joined the track team.\I'm sure that you're working hard. I hope to meet you in a match. -Chihaya\Arata?\I have a class reunion this Sunday.\Can you look after your grandpa?\Yeah, sure.\Great! I'll try to be home as soon as I can! response:	Mom's hair is starting to turn gray.
context: She's still working hard, even though she joined the track team.\I'm sure that you're working hard. I hope to meet you in a match. -Chihaya\Arata?\I have a class reunion this Sunday.\Can you look after your grandpa?\Yeah, sure.\Great! I'll try to be home as soon as I can!\Mom's hair is starting to turn gray. response:	Fukui Tournament
context: I'm sure that you're working hard. I hope to meet you in a match. -Chihaya\Arata?\I have a class reunion this Sunday.\Can you look after your grandpa?\Yeah, sure.\Great! I'll try to be home as soon as I can!\Mom's hair is starting to turn gray.\Fukui Tournament response:	Guess I can't make it.
context: Arata?\I have a class reunion this Sunday.\Can you look after your grandpa?\Yeah, sure.\Great! I'll try to be home as soon as I can!\Mom's hair is starting to turn gray.\Fukui Tournament\Guess I can't make it. response:	Oh, Grandpa.
context: I have a class reunion this Sunday.\Can you look after your grandpa?\Yeah, sure.\Great! I'll try to be home as soon as I can!\Mom's hair is starting to turn gray.\Fukui Tournament\Guess I can't make it.\Oh, Grandpa. response:	Careful, you're going to spill it.
context: Can you look after your grandpa?\Yeah, sure.\Great! I'll try to be home as soon as I can!\Mom's hair is starting to turn gray.\Fukui Tournament\Guess I can't make it.\Oh, Grandpa.\Careful, you're going to spill it. response:	Set that down.
context: Yeah, sure.\Great! I'll try to be home as soon as I can!\Mom's hair is starting to turn gray.\Fukui Tournament\Guess I can't make it.\Oh, Grandpa.\Careful, you're going to spill it.\Set that down. response:	Fukui Tournament
context: Great! I'll try to be home as soon as I can!\Mom's hair is starting to turn gray.\Fukui Tournament\Guess I can't make it.\Oh, Grandpa.\Careful, you're going to spill it.\Set that down.\Fukui Tournament response:	Hakama.
context: Mom's hair is starting to turn gray.\Fukui Tournament\Guess I can't make it.\Oh, Grandpa.\Careful, you're going to spill it.\Set that down.\Fukui Tournament\Hakama. response:	Huh?
context: Fukui Tournament\Guess I can't make it.\Oh, Grandpa.\Careful, you're going to spill it.\Set that down.\Fukui Tournament\Hakama.\Huh? response:	Pull out your hakama!
context: Guess I can't make it.\Oh, Grandpa.\Careful, you're going to spill it.\Set that down.\Fukui Tournament\Hakama.\Huh?\Pull out your hakama! response:	You need to go to the Fukui Tournament!
context: Oh, Grandpa.\Careful, you're going to spill it.\Set that down.\Fukui Tournament\Hakama.\Huh?\Pull out your hakama!\You need to go to the Fukui Tournament! response:	Gr-Grandpa, I'm not going this year!
context: Careful, you're going to spill it.\Set that down.\Fukui Tournament\Hakama.\Huh?\Pull out your hakama!\You need to go to the Fukui Tournament!\Gr-Grandpa, I'm not going this year! response:	Really?
context: Set that down.\Fukui Tournament\Hakama.\Huh?\Pull out your hakama!\You need to go to the Fukui Tournament!\Gr-Grandpa, I'm not going this year!\Really? response:	Yeah.
context: Fukui Tournament\Hakama.\Huh?\Pull out your hakama!\You need to go to the Fukui Tournament!\Gr-Grandpa, I'm not going this year!\Really?\Yeah. response:	Why aren't you going?
context: Hakama.\Huh?\Pull out your hakama!\You need to go to the Fukui Tournament!\Gr-Grandpa, I'm not going this year!\Really?\Yeah.\Why aren't you going? response:	Huh? Well...
context: Huh?\Pull out your hakama!\You need to go to the Fukui Tournament!\Gr-Grandpa, I'm not going this year!\Really?\Yeah.\Why aren't you going?\Huh? Well... response:	Grandpa's back to normal?
context: Pull out your hakama!\You need to go to the Fukui Tournament!\Gr-Grandpa, I'm not going this year!\Really?\Yeah.\Why aren't you going?\Huh? Well...\Grandpa's back to normal? response:	Don't mumble! Why would you skip a tournament?!
context: You need to go to the Fukui Tournament!\Gr-Grandpa, I'm not going this year!\Really?\Yeah.\Why aren't you going?\Huh? Well...\Grandpa's back to normal?\Don't mumble! Why would you skip a tournament?! response:	Get going!
context: Gr-Grandpa, I'm not going this year!\Really?\Yeah.\Why aren't you going?\Huh? Well...\Grandpa's back to normal?\Don't mumble! Why would you skip a tournament?!\Get going! response:	I want to go.
context: Really?\Yeah.\Why aren't you going?\Huh? Well...\Grandpa's back to normal?\Don't mumble! Why would you skip a tournament?!\Get going!\I want to go. response:	But Grandpa is...
context: Yeah.\Why aren't you going?\Huh? Well...\Grandpa's back to normal?\Don't mumble! Why would you skip a tournament?!\Get going!\I want to go.\But Grandpa is... response:	No, Dad should be back by noon.
context: Why aren't you going?\Huh? Well...\Grandpa's back to normal?\Don't mumble! Why would you skip a tournament?!\Get going!\I want to go.\But Grandpa is...\No, Dad should be back by noon. response:	I want to go!
context: Huh? Well...\Grandpa's back to normal?\Don't mumble! Why would you skip a tournament?!\Get going!\I want to go.\But Grandpa is...\No, Dad should be back by noon.\I want to go! response:	I don't want to be left behind!
context: Grandpa's back to normal?\Don't mumble! Why would you skip a tournament?!\Get going!\I want to go.\But Grandpa is...\No, Dad should be back by noon.\I want to go!\I don't want to be left behind! response:	I want to make Class A!
context: Don't mumble! Why would you skip a tournament?!\Get going!\I want to go.\But Grandpa is...\No, Dad should be back by noon.\I want to go!\I don't want to be left behind!\I want to make Class A! response:	Arata!
context: Get going!\I want to go.\But Grandpa is...\No, Dad should be back by noon.\I want to go!\I don't want to be left behind!\I want to make Class A!\Arata! response:	Picture in your mind...
context: I want to go.\But Grandpa is...\No, Dad should be back by noon.\I want to go!\I don't want to be left behind!\I want to make Class A!\Arata!\Picture in your mind... response:	Yeah!
context: But Grandpa is...\No, Dad should be back by noon.\I want to go!\I don't want to be left behind!\I want to make Class A!\Arata!\Picture in your mind...\Yeah! response:	It hurts.
context: No, Dad should be back by noon.\I want to go!\I don't want to be left behind!\I want to make Class A!\Arata!\Picture in your mind...\Yeah!\It hurts. response:	The pain. The fear.
context: I want to go!\I don't want to be left behind!\I want to make Class A!\Arata!\Picture in your mind...\Yeah!\It hurts.\The pain. The fear. response:	It hurts.
context: I don't want to be left behind!\I want to make Class A!\Arata!\Picture in your mind...\Yeah!\It hurts.\The pain. The fear.\It hurts. response:	My ears are ringing.
context: I want to make Class A!\Arata!\Picture in your mind...\Yeah!\It hurts.\The pain. The fear.\It hurts.\My ears are ringing. response:	I'm about to faint.
context: Arata!\Picture in your mind...\Yeah!\It hurts.\The pain. The fear.\It hurts.\My ears are ringing.\I'm about to faint. response:	But...
context: Picture in your mind...\Yeah!\It hurts.\The pain. The fear.\It hurts.\My ears are ringing.\I'm about to faint.\But... response:	Taichi.
context: Yeah!\It hurts.\The pain. The fear.\It hurts.\My ears are ringing.\I'm about to faint.\But...\Taichi. response:	Chihaya.
context: It hurts.\The pain. The fear.\It hurts.\My ears are ringing.\I'm about to faint.\But...\Taichi.\Chihaya. response:	I can't lose...
context: The pain. The fear.\It hurts.\My ears are ringing.\I'm about to faint.\But...\Taichi.\Chihaya.\I can't lose... response:	Attack.
context: It hurts.\My ears are ringing.\I'm about to faint.\But...\Taichi.\Chihaya.\I can't lose...\Attack. response:	Attack.
context: My ears are ringing.\I'm about to faint.\But...\Taichi.\Chihaya.\I can't lose...\Attack.\Attack. response:	It's not over yet!
context: I'm about to faint.\But...\Taichi.\Chihaya.\I can't lose...\Attack.\Attack.\It's not over yet! response:	Please wait!
context: But...\Taichi.\Chihaya.\I can't lose...\Attack.\Attack.\It's not over yet!\Please wait! response:	Ayase forfeits.
context: Taichi.\Chihaya.\I can't lose...\Attack.\Attack.\It's not over yet!\Please wait!\Ayase forfeits. response:	Huh?!
context: Chihaya.\I can't lose...\Attack.\Attack.\It's not over yet!\Please wait!\Ayase forfeits.\Huh?! response:	Excuse me! Please clear a path!
context: I can't lose...\Attack.\Attack.\It's not over yet!\Please wait!\Ayase forfeits.\Huh?!\Excuse me! Please clear a path! response:	Excuse me, please let me through!
context: Attack.\Attack.\It's not over yet!\Please wait!\Ayase forfeits.\Huh?!\Excuse me! Please clear a path!\Excuse me, please let me through! response:	Excuse me!
context: Attack.\It's not over yet!\Please wait!\Ayase forfeits.\Huh?!\Excuse me! Please clear a path!\Excuse me, please let me through!\Excuse me! response:	Taichi!
context: It's not over yet!\Please wait!\Ayase forfeits.\Huh?!\Excuse me! Please clear a path!\Excuse me, please let me through!\Excuse me!\Taichi! response:	Excuse me!
