context: Would you go with him, response:	and see what's happening in the conductor's compartment for me?
context: I'm Ladd Russo.\Now you understand how I know who you are, right?\Russo... You're a member of the Russo Family?\What do you all think you're doing, being aboard this train?\Or rather, who do you think you are?\We are going to be taking complete control of this train,\or kill off half of the passengers,\or, depending on the circumstances, kill off all of them. response:	If you're not planning on being killed by us,
context: Now you understand how I know who you are, right?\Russo... You're a member of the Russo Family?\What do you all think you're doing, being aboard this train?\Or rather, who do you think you are?\We are going to be taking complete control of this train,\or kill off half of the passengers,\or, depending on the circumstances, kill off all of them.\If you're not planning on being killed by us, response:	then hop off and die, right now!
context: Russo... You're a member of the Russo Family?\What do you all think you're doing, being aboard this train?\Or rather, who do you think you are?\We are going to be taking complete control of this train,\or kill off half of the passengers,\or, depending on the circumstances, kill off all of them.\If you're not planning on being killed by us,\then hop off and die, right now! response:	Are you the ones that killed the conductor?
context: What do you all think you're doing, being aboard this train?\Or rather, who do you think you are?\We are going to be taking complete control of this train,\or kill off half of the passengers,\or, depending on the circumstances, kill off all of them.\If you're not planning on being killed by us,\then hop off and die, right now!\Are you the ones that killed the conductor? response:	The conductor... has been killed?
context: Or rather, who do you think you are?\We are going to be taking complete control of this train,\or kill off half of the passengers,\or, depending on the circumstances, kill off all of them.\If you're not planning on being killed by us,\then hop off and die, right now!\Are you the ones that killed the conductor?\The conductor... has been killed? response:	Let's go, to the conductor's compartment.
context: We are going to be taking complete control of this train,\or kill off half of the passengers,\or, depending on the circumstances, kill off all of them.\If you're not planning on being killed by us,\then hop off and die, right now!\Are you the ones that killed the conductor?\The conductor... has been killed?\Let's go, to the conductor's compartment. response:	You're lucky.
context: or kill off half of the passengers,\or, depending on the circumstances, kill off all of them.\If you're not planning on being killed by us,\then hop off and die, right now!\Are you the ones that killed the conductor?\The conductor... has been killed?\Let's go, to the conductor's compartment.\You're lucky. response:	At the moment, we don't have time to deal with you.
context: or, depending on the circumstances, kill off all of them.\If you're not planning on being killed by us,\then hop off and die, right now!\Are you the ones that killed the conductor?\The conductor... has been killed?\Let's go, to the conductor's compartment.\You're lucky.\At the moment, we don't have time to deal with you. response:	And this is no time for us to be dealing with you, either.
context: If you're not planning on being killed by us,\then hop off and die, right now!\Are you the ones that killed the conductor?\The conductor... has been killed?\Let's go, to the conductor's compartment.\You're lucky.\At the moment, we don't have time to deal with you.\And this is no time for us to be dealing with you, either. response:	But later, we're going to make sure you pay.
context: then hop off and die, right now!\Are you the ones that killed the conductor?\The conductor... has been killed?\Let's go, to the conductor's compartment.\You're lucky.\At the moment, we don't have time to deal with you.\And this is no time for us to be dealing with you, either.\But later, we're going to make sure you pay. response:	Oh, you're pretty tough, aren't you, crybaby?
context: Are you the ones that killed the conductor?\The conductor... has been killed?\Let's go, to the conductor's compartment.\You're lucky.\At the moment, we don't have time to deal with you.\And this is no time for us to be dealing with you, either.\But later, we're going to make sure you pay.\Oh, you're pretty tough, aren't you, crybaby? response:	Let me just tell you,
context: The conductor... has been killed?\Let's go, to the conductor's compartment.\You're lucky.\At the moment, we don't have time to deal with you.\And this is no time for us to be dealing with you, either.\But later, we're going to make sure you pay.\Oh, you're pretty tough, aren't you, crybaby?\Let me just tell you, response:	we're not the ones who got to the conductor, or that room.
context: Let's go, to the conductor's compartment.\You're lucky.\At the moment, we don't have time to deal with you.\And this is no time for us to be dealing with you, either.\But later, we're going to make sure you pay.\Oh, you're pretty tough, aren't you, crybaby?\Let me just tell you,\we're not the ones who got to the conductor, or that room. response:	Are you just letting them go, Jacuzzi?
context: You're lucky.\At the moment, we don't have time to deal with you.\And this is no time for us to be dealing with you, either.\But later, we're going to make sure you pay.\Oh, you're pretty tough, aren't you, crybaby?\Let me just tell you,\we're not the ones who got to the conductor, or that room.\Are you just letting them go, Jacuzzi? response:	For now. There's someone else we have to take care of first.
context: At the moment, we don't have time to deal with you.\And this is no time for us to be dealing with you, either.\But later, we're going to make sure you pay.\Oh, you're pretty tough, aren't you, crybaby?\Let me just tell you,\we're not the ones who got to the conductor, or that room.\Are you just letting them go, Jacuzzi?\For now. There's someone else we have to take care of first. response:	That hit-and-run bastard! Next time we meet, it's gonna be brutal!
context: And this is no time for us to be dealing with you, either.\But later, we're going to make sure you pay.\Oh, you're pretty tough, aren't you, crybaby?\Let me just tell you,\we're not the ones who got to the conductor, or that room.\Are you just letting them go, Jacuzzi?\For now. There's someone else we have to take care of first.\That hit-and-run bastard! Next time we meet, it's gonna be brutal! response:	Brutal!
context: But later, we're going to make sure you pay.\Oh, you're pretty tough, aren't you, crybaby?\Let me just tell you,\we're not the ones who got to the conductor, or that room.\Are you just letting them go, Jacuzzi?\For now. There's someone else we have to take care of first.\That hit-and-run bastard! Next time we meet, it's gonna be brutal!\Brutal! response:	I'll hit it!
context: Oh, you're pretty tough, aren't you, crybaby?\Let me just tell you,\we're not the ones who got to the conductor, or that room.\Are you just letting them go, Jacuzzi?\For now. There's someone else we have to take care of first.\That hit-and-run bastard! Next time we meet, it's gonna be brutal!\Brutal!\I'll hit it! response:	You'll break your hand!
context: Let me just tell you,\we're not the ones who got to the conductor, or that room.\Are you just letting them go, Jacuzzi?\For now. There's someone else we have to take care of first.\That hit-and-run bastard! Next time we meet, it's gonna be brutal!\Brutal!\I'll hit it!\You'll break your hand! response:	Then, I'll hit the one driving it!
context: we're not the ones who got to the conductor, or that room.\Are you just letting them go, Jacuzzi?\For now. There's someone else we have to take care of first.\That hit-and-run bastard! Next time we meet, it's gonna be brutal!\Brutal!\I'll hit it!\You'll break your hand!\Then, I'll hit the one driving it! response:	How are you going to pull him out of there?
context: Are you just letting them go, Jacuzzi?\For now. There's someone else we have to take care of first.\That hit-and-run bastard! Next time we meet, it's gonna be brutal!\Brutal!\I'll hit it!\You'll break your hand!\Then, I'll hit the one driving it!\How are you going to pull him out of there? response:	Then, I'll spit on the car!
context: For now. There's someone else we have to take care of first.\That hit-and-run bastard! Next time we meet, it's gonna be brutal!\Brutal!\I'll hit it!\You'll break your hand!\Then, I'll hit the one driving it!\How are you going to pull him out of there?\Then, I'll spit on the car! response:	That's perfect!
context: That hit-and-run bastard! Next time we meet, it's gonna be brutal!\Brutal!\I'll hit it!\You'll break your hand!\Then, I'll hit the one driving it!\How are you going to pull him out of there?\Then, I'll spit on the car!\That's perfect! response:	What are we going to do, Dallas? We can't take on the Gandors.
context: Brutal!\I'll hit it!\You'll break your hand!\Then, I'll hit the one driving it!\How are you going to pull him out of there?\Then, I'll spit on the car!\That's perfect!\What are we going to do, Dallas? We can't take on the Gandors. response:	Shut up! Damn that miserable punk Firo!
context: I'll hit it!\You'll break your hand!\Then, I'll hit the one driving it!\How are you going to pull him out of there?\Then, I'll spit on the car!\That's perfect!\What are we going to do, Dallas? We can't take on the Gandors.\Shut up! Damn that miserable punk Firo! response:	Just you watch. Someday, we're gonna kill him and the Gandors!
context: You'll break your hand!\Then, I'll hit the one driving it!\How are you going to pull him out of there?\Then, I'll spit on the car!\That's perfect!\What are we going to do, Dallas? We can't take on the Gandors.\Shut up! Damn that miserable punk Firo!\Just you watch. Someday, we're gonna kill him and the Gandors! response:	Still, your family is loaded, right?
context: Then, I'll hit the one driving it!\How are you going to pull him out of there?\Then, I'll spit on the car!\That's perfect!\What are we going to do, Dallas? We can't take on the Gandors.\Shut up! Damn that miserable punk Firo!\Just you watch. Someday, we're gonna kill him and the Gandors!\Still, your family is loaded, right? response:	Can't you come up with some idle money?
context: How are you going to pull him out of there?\Then, I'll spit on the car!\That's perfect!\What are we going to do, Dallas? We can't take on the Gandors.\Shut up! Damn that miserable punk Firo!\Just you watch. Someday, we're gonna kill him and the Gandors!\Still, your family is loaded, right?\Can't you come up with some idle money? response:	They said it all went to a burglar, last month.
context: Then, I'll spit on the car!\That's perfect!\What are we going to do, Dallas? We can't take on the Gandors.\Shut up! Damn that miserable punk Firo!\Just you watch. Someday, we're gonna kill him and the Gandors!\Still, your family is loaded, right?\Can't you come up with some idle money?\They said it all went to a burglar, last month. response:	That's cold.
context: That's perfect!\What are we going to do, Dallas? We can't take on the Gandors.\Shut up! Damn that miserable punk Firo!\Just you watch. Someday, we're gonna kill him and the Gandors!\Still, your family is loaded, right?\Can't you come up with some idle money?\They said it all went to a burglar, last month.\That's cold. response:	Even so, you've at least got something to eat, right?
context: What are we going to do, Dallas? We can't take on the Gandors.\Shut up! Damn that miserable punk Firo!\Just you watch. Someday, we're gonna kill him and the Gandors!\Still, your family is loaded, right?\Can't you come up with some idle money?\They said it all went to a burglar, last month.\That's cold.\Even so, you've at least got something to eat, right? response:	There's that cute sister of yours.
context: Shut up! Damn that miserable punk Firo!\Just you watch. Someday, we're gonna kill him and the Gandors!\Still, your family is loaded, right?\Can't you come up with some idle money?\They said it all went to a burglar, last month.\That's cold.\Even so, you've at least got something to eat, right?\There's that cute sister of yours. response:	-You stay away from Eve. -H-Hey...
context: Just you watch. Someday, we're gonna kill him and the Gandors!\Still, your family is loaded, right?\Can't you come up with some idle money?\They said it all went to a burglar, last month.\That's cold.\Even so, you've at least got something to eat, right?\There's that cute sister of yours.\-You stay away from Eve. -H-Hey... response:	You do anything to her, and I'll make you pay.
context: Still, your family is loaded, right?\Can't you come up with some idle money?\They said it all went to a burglar, last month.\That's cold.\Even so, you've at least got something to eat, right?\There's that cute sister of yours.\-You stay away from Eve. -H-Hey...\You do anything to her, and I'll make you pay. response:	A-All right!
context: Can't you come up with some idle money?\They said it all went to a burglar, last month.\That's cold.\Even so, you've at least got something to eat, right?\There's that cute sister of yours.\-You stay away from Eve. -H-Hey...\You do anything to her, and I'll make you pay.\A-All right! response:	Now then, our journey is just about at its end.
context: They said it all went to a burglar, last month.\That's cold.\Even so, you've at least got something to eat, right?\There's that cute sister of yours.\-You stay away from Eve. -H-Hey...\You do anything to her, and I'll make you pay.\A-All right!\Now then, our journey is just about at its end. response:	It's been a long one, huh?
context: That's cold.\Even so, you've at least got something to eat, right?\There's that cute sister of yours.\-You stay away from Eve. -H-Hey...\You do anything to her, and I'll make you pay.\A-All right!\Now then, our journey is just about at its end.\It's been a long one, huh? response:	Yeah.
context: Even so, you've at least got something to eat, right?\There's that cute sister of yours.\-You stay away from Eve. -H-Hey...\You do anything to her, and I'll make you pay.\A-All right!\Now then, our journey is just about at its end.\It's been a long one, huh?\Yeah. response:	At the beginning, we were time thieves.
context: There's that cute sister of yours.\-You stay away from Eve. -H-Hey...\You do anything to her, and I'll make you pay.\A-All right!\Now then, our journey is just about at its end.\It's been a long one, huh?\Yeah.\At the beginning, we were time thieves. response:	When we stole those watches, right?
context: -You stay away from Eve. -H-Hey...\You do anything to her, and I'll make you pay.\A-All right!\Now then, our journey is just about at its end.\It's been a long one, huh?\Yeah.\At the beginning, we were time thieves.\When we stole those watches, right? response:	There was that time when we tried to steal that whole museum, too!
context: You do anything to her, and I'll make you pay.\A-All right!\Now then, our journey is just about at its end.\It's been a long one, huh?\Yeah.\At the beginning, we were time thieves.\When we stole those watches, right?\There was that time when we tried to steal that whole museum, too! response:	That was impossible, huh?
context: A-All right!\Now then, our journey is just about at its end.\It's been a long one, huh?\Yeah.\At the beginning, we were time thieves.\When we stole those watches, right?\There was that time when we tried to steal that whole museum, too!\That was impossible, huh? response:	Yeah.
context: Now then, our journey is just about at its end.\It's been a long one, huh?\Yeah.\At the beginning, we were time thieves.\When we stole those watches, right?\There was that time when we tried to steal that whole museum, too!\That was impossible, huh?\Yeah. response:	So, to at least keep anyone else from going in,
context: It's been a long one, huh?\Yeah.\At the beginning, we were time thieves.\When we stole those watches, right?\There was that time when we tried to steal that whole museum, too!\That was impossible, huh?\Yeah.\So, to at least keep anyone else from going in, response:	we stole the entrance!
context: Yeah.\At the beginning, we were time thieves.\When we stole those watches, right?\There was that time when we tried to steal that whole museum, too!\That was impossible, huh?\Yeah.\So, to at least keep anyone else from going in,\we stole the entrance! response:	That was heavy, huh?
context: At the beginning, we were time thieves.\When we stole those watches, right?\There was that time when we tried to steal that whole museum, too!\That was impossible, huh?\Yeah.\So, to at least keep anyone else from going in,\we stole the entrance!\That was heavy, huh? response:	What made us reconsider our ways, and decide to do good from then on,
context: When we stole those watches, right?\There was that time when we tried to steal that whole museum, too!\That was impossible, huh?\Yeah.\So, to at least keep anyone else from going in,\we stole the entrance!\That was heavy, huh?\What made us reconsider our ways, and decide to do good from then on, response:	was when we stole the inheritance of that rich man.
context: There was that time when we tried to steal that whole museum, too!\That was impossible, huh?\Yeah.\So, to at least keep anyone else from going in,\we stole the entrance!\That was heavy, huh?\What made us reconsider our ways, and decide to do good from then on,\was when we stole the inheritance of that rich man. response:	Now there won't be a fight over the inheritance, huh?
context: That was impossible, huh?\Yeah.\So, to at least keep anyone else from going in,\we stole the entrance!\That was heavy, huh?\What made us reconsider our ways, and decide to do good from then on,\was when we stole the inheritance of that rich man.\Now there won't be a fight over the inheritance, huh? response:	I'm sure they're thanking us right about now.
context: Yeah.\So, to at least keep anyone else from going in,\we stole the entrance!\That was heavy, huh?\What made us reconsider our ways, and decide to do good from then on,\was when we stole the inheritance of that rich man.\Now there won't be a fight over the inheritance, huh?\I'm sure they're thanking us right about now. response:	And so...
context: So, to at least keep anyone else from going in,\we stole the entrance!\That was heavy, huh?\What made us reconsider our ways, and decide to do good from then on,\was when we stole the inheritance of that rich man.\Now there won't be a fight over the inheritance, huh?\I'm sure they're thanking us right about now.\And so... response:	since it feels so good to do good things,
context: we stole the entrance!\That was heavy, huh?\What made us reconsider our ways, and decide to do good from then on,\was when we stole the inheritance of that rich man.\Now there won't be a fight over the inheritance, huh?\I'm sure they're thanking us right about now.\And so...\since it feels so good to do good things, response:	let's do something good for our last job!
context: That was heavy, huh?\What made us reconsider our ways, and decide to do good from then on,\was when we stole the inheritance of that rich man.\Now there won't be a fight over the inheritance, huh?\I'm sure they're thanking us right about now.\And so...\since it feels so good to do good things,\let's do something good for our last job! response:	Like what?
context: What made us reconsider our ways, and decide to do good from then on,\was when we stole the inheritance of that rich man.\Now there won't be a fight over the inheritance, huh?\I'm sure they're thanking us right about now.\And so...\since it feels so good to do good things,\let's do something good for our last job!\Like what? response:	We're going to steal the mafia's black money!
context: was when we stole the inheritance of that rich man.\Now there won't be a fight over the inheritance, huh?\I'm sure they're thanking us right about now.\And so...\since it feels so good to do good things,\let's do something good for our last job!\Like what?\We're going to steal the mafia's black money! response:	Yay! Isaac, you're so cool!
context: Now there won't be a fight over the inheritance, huh?\I'm sure they're thanking us right about now.\And so...\since it feels so good to do good things,\let's do something good for our last job!\Like what?\We're going to steal the mafia's black money!\Yay! Isaac, you're so cool! response:	Hey, now, watch out!
context: I'm sure they're thanking us right about now.\And so...\since it feels so good to do good things,\let's do something good for our last job!\Like what?\We're going to steal the mafia's black money!\Yay! Isaac, you're so cool!\Hey, now, watch out! response:	Watch out!
context: And so...\since it feels so good to do good things,\let's do something good for our last job!\Like what?\We're going to steal the mafia's black money!\Yay! Isaac, you're so cool!\Hey, now, watch out!\Watch out! response:	What did you say?!
context: since it feels so good to do good things,\let's do something good for our last job!\Like what?\We're going to steal the mafia's black money!\Yay! Isaac, you're so cool!\Hey, now, watch out!\Watch out!\What did you say?! response:	That's Eve Genoard, right?
context: let's do something good for our last job!\Like what?\We're going to steal the mafia's black money!\Yay! Isaac, you're so cool!\Hey, now, watch out!\Watch out!\What did you say?!\That's Eve Genoard, right? response:	So it seems.
context: Like what?\We're going to steal the mafia's black money!\Yay! Isaac, you're so cool!\Hey, now, watch out!\Watch out!\What did you say?!\That's Eve Genoard, right?\So it seems. response:	Call her down.
context: We're going to steal the mafia's black money!\Yay! Isaac, you're so cool!\Hey, now, watch out!\Watch out!\What did you say?!\That's Eve Genoard, right?\So it seems.\Call her down. response:	How do I do that?
context: Yay! Isaac, you're so cool!\Hey, now, watch out!\Watch out!\What did you say?!\That's Eve Genoard, right?\So it seems.\Call her down.\How do I do that? response:	It's your job to figure that out, isn't it?
context: Hey, now, watch out!\Watch out!\What did you say?!\That's Eve Genoard, right?\So it seems.\Call her down.\How do I do that?\It's your job to figure that out, isn't it? response:	Want some?
context: Watch out!\What did you say?!\That's Eve Genoard, right?\So it seems.\Call her down.\How do I do that?\It's your job to figure that out, isn't it?\Want some? response:	No!
context: What did you say?!\That's Eve Genoard, right?\So it seems.\Call her down.\How do I do that?\It's your job to figure that out, isn't it?\Want some?\No! response:	All right.
context: That's Eve Genoard, right?\So it seems.\Call her down.\How do I do that?\It's your job to figure that out, isn't it?\Want some?\No!\All right. response:	Yes, Genoard residence.
context: So it seems.\Call her down.\How do I do that?\It's your job to figure that out, isn't it?\Want some?\No!\All right.\Yes, Genoard residence. response:	From the newspaper?
context: Call her down.\How do I do that?\It's your job to figure that out, isn't it?\Want some?\No!\All right.\Yes, Genoard residence.\From the newspaper? response:	Yeah.
context: How do I do that?\It's your job to figure that out, isn't it?\Want some?\No!\All right.\Yes, Genoard residence.\From the newspaper?\Yeah. response:	They says they got somethin' to say to you, Miss,'bout Master Dallas.
context: It's your job to figure that out, isn't it?\Want some?\No!\All right.\Yes, Genoard residence.\From the newspaper?\Yeah.\They says they got somethin' to say to you, Miss,'bout Master Dallas. response:	About Big Brother?
context: Want some?\No!\All right.\Yes, Genoard residence.\From the newspaper?\Yeah.\They says they got somethin' to say to you, Miss,'bout Master Dallas.\About Big Brother? response:	Somethin''bout havin' new information, or such.
context: No!\All right.\Yes, Genoard residence.\From the newspaper?\Yeah.\They says they got somethin' to say to you, Miss,'bout Master Dallas.\About Big Brother?\Somethin''bout havin' new information, or such. response:	Thing is, it can't be over the phone.
context: All right.\Yes, Genoard residence.\From the newspaper?\Yeah.\They says they got somethin' to say to you, Miss,'bout Master Dallas.\About Big Brother?\Somethin''bout havin' new information, or such.\Thing is, it can't be over the phone. response:	They says it gotta be in person, or they can't tell you.
context: Yes, Genoard residence.\From the newspaper?\Yeah.\They says they got somethin' to say to you, Miss,'bout Master Dallas.\About Big Brother?\Somethin''bout havin' new information, or such.\Thing is, it can't be over the phone.\They says it gotta be in person, or they can't tell you. response:	Then let's go over to the newspaper.
context: From the newspaper?\Yeah.\They says they got somethin' to say to you, Miss,'bout Master Dallas.\About Big Brother?\Somethin''bout havin' new information, or such.\Thing is, it can't be over the phone.\They says it gotta be in person, or they can't tell you.\Then let's go over to the newspaper. response:	Jacuzzi...
context: Yeah.\They says they got somethin' to say to you, Miss,'bout Master Dallas.\About Big Brother?\Somethin''bout havin' new information, or such.\Thing is, it can't be over the phone.\They says it gotta be in person, or they can't tell you.\Then let's go over to the newspaper.\Jacuzzi... response:	How did that much blood get up there?
context: They says they got somethin' to say to you, Miss,'bout Master Dallas.\About Big Brother?\Somethin''bout havin' new information, or such.\Thing is, it can't be over the phone.\They says it gotta be in person, or they can't tell you.\Then let's go over to the newspaper.\Jacuzzi...\How did that much blood get up there? response:	Hey, guys.
context: About Big Brother?\Somethin''bout havin' new information, or such.\Thing is, it can't be over the phone.\They says it gotta be in person, or they can't tell you.\Then let's go over to the newspaper.\Jacuzzi...\How did that much blood get up there?\Hey, guys. response:	There's something up on the forward coupling.
context: Somethin''bout havin' new information, or such.\Thing is, it can't be over the phone.\They says it gotta be in person, or they can't tell you.\Then let's go over to the newspaper.\Jacuzzi...\How did that much blood get up there?\Hey, guys.\There's something up on the forward coupling. response:	Guys, let's all take a look on go.
context: Thing is, it can't be over the phone.\They says it gotta be in person, or they can't tell you.\Then let's go over to the newspaper.\Jacuzzi...\How did that much blood get up there?\Hey, guys.\There's something up on the forward coupling.\Guys, let's all take a look on go. response:	Ready, set...
context: They says it gotta be in person, or they can't tell you.\Then let's go over to the newspaper.\Jacuzzi...\How did that much blood get up there?\Hey, guys.\There's something up on the forward coupling.\Guys, let's all take a look on go.\Ready, set... response:	Is that... the Rail Tracer?
context: Then let's go over to the newspaper.\Jacuzzi...\How did that much blood get up there?\Hey, guys.\There's something up on the forward coupling.\Guys, let's all take a look on go.\Ready, set...\Is that... the Rail Tracer? response:	What's with you, girlie? You're dressed funny-
context: Jacuzzi...\How did that much blood get up there?\Hey, guys.\There's something up on the forward coupling.\Guys, let's all take a look on go.\Ready, set...\Is that... the Rail Tracer?\What's with you, girlie? You're dressed funny- response:	A-All right! I'll let them go! So lay off of me!
context: How did that much blood get up there?\Hey, guys.\There's something up on the forward coupling.\Guys, let's all take a look on go.\Ready, set...\Is that... the Rail Tracer?\What's with you, girlie? You're dressed funny-\A-All right! I'll let them go! So lay off of me! response:	You're the one I have business with.
context: Hey, guys.\There's something up on the forward coupling.\Guys, let's all take a look on go.\Ready, set...\Is that... the Rail Tracer?\What's with you, girlie? You're dressed funny-\A-All right! I'll let them go! So lay off of me!\You're the one I have business with. response:	Amazing! You got them, all by yourself!
context: There's something up on the forward coupling.\Guys, let's all take a look on go.\Ready, set...\Is that... the Rail Tracer?\What's with you, girlie? You're dressed funny-\A-All right! I'll let them go! So lay off of me!\You're the one I have business with.\Amazing! You got them, all by yourself! response:	Incredible!
context: Guys, let's all take a look on go.\Ready, set...\Is that... the Rail Tracer?\What's with you, girlie? You're dressed funny-\A-All right! I'll let them go! So lay off of me!\You're the one I have business with.\Amazing! You got them, all by yourself!\Incredible! response:	-Thank you! -Thank you!
context: Ready, set...\Is that... the Rail Tracer?\What's with you, girlie? You're dressed funny-\A-All right! I'll let them go! So lay off of me!\You're the one I have business with.\Amazing! You got them, all by yourself!\Incredible!\-Thank you! -Thank you! response:	Imagine, you helping us, total strangers!
context: Is that... the Rail Tracer?\What's with you, girlie? You're dressed funny-\A-All right! I'll let them go! So lay off of me!\You're the one I have business with.\Amazing! You got them, all by yourself!\Incredible!\-Thank you! -Thank you!\Imagine, you helping us, total strangers! response:	We owe you our lives, missy!
context: What's with you, girlie? You're dressed funny-\A-All right! I'll let them go! So lay off of me!\You're the one I have business with.\Amazing! You got them, all by yourself!\Incredible!\-Thank you! -Thank you!\Imagine, you helping us, total strangers!\We owe you our lives, missy! response:	Be careful. Why did you hit them?
context: A-All right! I'll let them go! So lay off of me!\You're the one I have business with.\Amazing! You got them, all by yourself!\Incredible!\-Thank you! -Thank you!\Imagine, you helping us, total strangers!\We owe you our lives, missy!\Be careful. Why did you hit them? response:	I'm terribly sorry.
context: You're the one I have business with.\Amazing! You got them, all by yourself!\Incredible!\-Thank you! -Thank you!\Imagine, you helping us, total strangers!\We owe you our lives, missy!\Be careful. Why did you hit them?\I'm terribly sorry. response:	They suddenly ran out into the street.
context: Amazing! You got them, all by yourself!\Incredible!\-Thank you! -Thank you!\Imagine, you helping us, total strangers!\We owe you our lives, missy!\Be careful. Why did you hit them?\I'm terribly sorry.\They suddenly ran out into the street. response:	Ask us for anything!
context: Incredible!\-Thank you! -Thank you!\Imagine, you helping us, total strangers!\We owe you our lives, missy!\Be careful. Why did you hit them?\I'm terribly sorry.\They suddenly ran out into the street.\Ask us for anything! response:	We'll do anything for you!
context: -Thank you! -Thank you!\Imagine, you helping us, total strangers!\We owe you our lives, missy!\Be careful. Why did you hit them?\I'm terribly sorry.\They suddenly ran out into the street.\Ask us for anything!\We'll do anything for you! response:	Well...
context: Imagine, you helping us, total strangers!\We owe you our lives, missy!\Be careful. Why did you hit them?\I'm terribly sorry.\They suddenly ran out into the street.\Ask us for anything!\We'll do anything for you!\Well... response:	could you help me carry these four back to my car?
context: We owe you our lives, missy!\Be careful. Why did you hit them?\I'm terribly sorry.\They suddenly ran out into the street.\Ask us for anything!\We'll do anything for you!\Well...\could you help me carry these four back to my car? response:	Kindapped? Miss Eve?
context: Be careful. Why did you hit them?\I'm terribly sorry.\They suddenly ran out into the street.\Ask us for anything!\We'll do anything for you!\Well...\could you help me carry these four back to my car?\Kindapped? Miss Eve? response:	Yes, sir.
context: I'm terribly sorry.\They suddenly ran out into the street.\Ask us for anything!\We'll do anything for you!\Well...\could you help me carry these four back to my car?\Kindapped? Miss Eve?\Yes, sir. response:	We just received word.
context: They suddenly ran out into the street.\Ask us for anything!\We'll do anything for you!\Well...\could you help me carry these four back to my car?\Kindapped? Miss Eve?\Yes, sir.\We just received word. response:	I told you so! What do you plan to do about it?! Huh?
context: Ask us for anything!\We'll do anything for you!\Well...\could you help me carry these four back to my car?\Kindapped? Miss Eve?\Yes, sir.\We just received word.\I told you so! What do you plan to do about it?! Huh? response:	Now, Gustavo probably isn't thinking of doing anything to Miss Eve right away.
context: We'll do anything for you!\Well...\could you help me carry these four back to my car?\Kindapped? Miss Eve?\Yes, sir.\We just received word.\I told you so! What do you plan to do about it?! Huh?\Now, Gustavo probably isn't thinking of doing anything to Miss Eve right away. response:	Elean- kun, calm down.
context: Well...\could you help me carry these four back to my car?\Kindapped? Miss Eve?\Yes, sir.\We just received word.\I told you so! What do you plan to do about it?! Huh?\Now, Gustavo probably isn't thinking of doing anything to Miss Eve right away.\Elean- kun, calm down. response:	But sir!
context: could you help me carry these four back to my car?\Kindapped? Miss Eve?\Yes, sir.\We just received word.\I told you so! What do you plan to do about it?! Huh?\Now, Gustavo probably isn't thinking of doing anything to Miss Eve right away.\Elean- kun, calm down.\But sir! response:	What concerns me is the company's responsibility
context: Kindapped? Miss Eve?\Yes, sir.\We just received word.\I told you so! What do you plan to do about it?! Huh?\Now, Gustavo probably isn't thinking of doing anything to Miss Eve right away.\Elean- kun, calm down.\But sir!\What concerns me is the company's responsibility response:	in fanning the conflict between the Gandors and the Runoratas.
context: Yes, sir.\We just received word.\I told you so! What do you plan to do about it?! Huh?\Now, Gustavo probably isn't thinking of doing anything to Miss Eve right away.\Elean- kun, calm down.\But sir!\What concerns me is the company's responsibility\in fanning the conflict between the Gandors and the Runoratas. response:	Nicholas- kun, you have considered that, haven't you?
context: We just received word.\I told you so! What do you plan to do about it?! Huh?\Now, Gustavo probably isn't thinking of doing anything to Miss Eve right away.\Elean- kun, calm down.\But sir!\What concerns me is the company's responsibility\in fanning the conflict between the Gandors and the Runoratas.\Nicholas- kun, you have considered that, haven't you? response:	Yes. I'm taking every precaution to see that it doesn't happen.
context: I told you so! What do you plan to do about it?! Huh?\Now, Gustavo probably isn't thinking of doing anything to Miss Eve right away.\Elean- kun, calm down.\But sir!\What concerns me is the company's responsibility\in fanning the conflict between the Gandors and the Runoratas.\Nicholas- kun, you have considered that, haven't you?\Yes. I'm taking every precaution to see that it doesn't happen. response:	See that you do. Now, go on.
context: Now, Gustavo probably isn't thinking of doing anything to Miss Eve right away.\Elean- kun, calm down.\But sir!\What concerns me is the company's responsibility\in fanning the conflict between the Gandors and the Runoratas.\Nicholas- kun, you have considered that, haven't you?\Yes. I'm taking every precaution to see that it doesn't happen.\See that you do. Now, go on. response:	Mr. President, I'm sure from his face that he's plotting something!
context: Elean- kun, calm down.\But sir!\What concerns me is the company's responsibility\in fanning the conflict between the Gandors and the Runoratas.\Nicholas- kun, you have considered that, haven't you?\Yes. I'm taking every precaution to see that it doesn't happen.\See that you do. Now, go on.\Mr. President, I'm sure from his face that he's plotting something! response:	I know. Nicholas- kun is probably...
context: But sir!\What concerns me is the company's responsibility\in fanning the conflict between the Gandors and the Runoratas.\Nicholas- kun, you have considered that, haven't you?\Yes. I'm taking every precaution to see that it doesn't happen.\See that you do. Now, go on.\Mr. President, I'm sure from his face that he's plotting something!\I know. Nicholas- kun is probably... response:	and hoping to uncover some dirt.
context: What concerns me is the company's responsibility\in fanning the conflict between the Gandors and the Runoratas.\Nicholas- kun, you have considered that, haven't you?\Yes. I'm taking every precaution to see that it doesn't happen.\See that you do. Now, go on.\Mr. President, I'm sure from his face that he's plotting something!\I know. Nicholas- kun is probably...\and hoping to uncover some dirt. response:	He probably wants to find out some top-secret facts, in his own way.
