context: Let's go, everyone! response:	Yeah!
context: How does it feel?\No, I don't want to die.\I don't want to\die here alone...\I guess humans are the same, no matter the world.\It doesn't seem like there's anything left to see in this world.\Souta!\Sou-kun! response:	Sorry I'm late!
context: No, I don't want to die.\I don't want to\die here alone...\I guess humans are the same, no matter the world.\It doesn't seem like there's anything left to see in this world.\Souta!\Sou-kun!\Sorry I'm late! response:	It's okay. We'll get you out now.
context: I don't want to\die here alone...\I guess humans are the same, no matter the world.\It doesn't seem like there's anything left to see in this world.\Souta!\Sou-kun!\Sorry I'm late!\It's okay. We'll get you out now. response:	All right, we're going to lift this thing.
context: die here alone...\I guess humans are the same, no matter the world.\It doesn't seem like there's anything left to see in this world.\Souta!\Sou-kun!\Sorry I'm late!\It's okay. We'll get you out now.\All right, we're going to lift this thing. response:	We're going to save you, Sou-kun!
context: I guess humans are the same, no matter the world.\It doesn't seem like there's anything left to see in this world.\Souta!\Sou-kun!\Sorry I'm late!\It's okay. We'll get you out now.\All right, we're going to lift this thing.\We're going to save you, Sou-kun! response:	Let's go.
context: It doesn't seem like there's anything left to see in this world.\Souta!\Sou-kun!\Sorry I'm late!\It's okay. We'll get you out now.\All right, we're going to lift this thing.\We're going to save you, Sou-kun!\Let's go. response:	One... Two...
context: Souta!\Sou-kun!\Sorry I'm late!\It's okay. We'll get you out now.\All right, we're going to lift this thing.\We're going to save you, Sou-kun!\Let's go.\One... Two... response:	One.. two...
context: Sou-kun!\Sorry I'm late!\It's okay. We'll get you out now.\All right, we're going to lift this thing.\We're going to save you, Sou-kun!\Let's go.\One... Two...\One.. two... response:	Why did I...
context: Sorry I'm late!\It's okay. We'll get you out now.\All right, we're going to lift this thing.\We're going to save you, Sou-kun!\Let's go.\One... Two...\One.. two...\Why did I... response:	Why did I doubt them...
context: It's okay. We'll get you out now.\All right, we're going to lift this thing.\We're going to save you, Sou-kun!\Let's go.\One... Two...\One.. two...\Why did I...\Why did I doubt them... response:	One... Two...
context: All right, we're going to lift this thing.\We're going to save you, Sou-kun!\Let's go.\One... Two...\One.. two...\Why did I...\Why did I doubt them...\One... Two... response:	Everyone, watch out!
context: We're going to save you, Sou-kun!\Let's go.\One... Two...\One.. two...\Why did I...\Why did I doubt them...\One... Two...\Everyone, watch out! response:	Is everyone going to die here...
context: Let's go.\One... Two...\One.. two...\Why did I...\Why did I doubt them...\One... Two...\Everyone, watch out!\Is everyone going to die here... response:	Is that
context: One... Two...\One.. two...\Why did I...\Why did I doubt them...\One... Two...\Everyone, watch out!\Is everyone going to die here...\Is that response:	their fate?!
context: One.. two...\Why did I...\Why did I doubt them...\One... Two...\Everyone, watch out!\Is everyone going to die here...\Is that\their fate?! response:	What if I told you there was a
context: Why did I...\Why did I doubt them...\One... Two...\Everyone, watch out!\Is everyone going to die here...\Is that\their fate?!\What if I told you there was a response:	way to change their fate?
context: Why did I doubt them...\One... Two...\Everyone, watch out!\Is everyone going to die here...\Is that\their fate?!\What if I told you there was a\way to change their fate? response:	Huh?
context: One... Two...\Everyone, watch out!\Is everyone going to die here...\Is that\their fate?!\What if I told you there was a\way to change their fate?\Huh? response:	At this rate everyone will die.
context: Everyone, watch out!\Is everyone going to die here...\Is that\their fate?!\What if I told you there was a\way to change their fate?\Huh?\At this rate everyone will die. response:	This is proof of that.
context: Is everyone going to die here...\Is that\their fate?!\What if I told you there was a\way to change their fate?\Huh?\At this rate everyone will die.\This is proof of that. response:	This is?
context: Is that\their fate?!\What if I told you there was a\way to change their fate?\Huh?\At this rate everyone will die.\This is proof of that.\This is? response:	This is a death flag.
context: their fate?!\What if I told you there was a\way to change their fate?\Huh?\At this rate everyone will die.\This is proof of that.\This is?\This is a death flag. response:	A death flag?
context: What if I told you there was a\way to change their fate?\Huh?\At this rate everyone will die.\This is proof of that.\This is?\This is a death flag.\A death flag? response:	A flag is a mechanism that causes a branch in fate.
context: way to change their fate?\Huh?\At this rate everyone will die.\This is proof of that.\This is?\This is a death flag.\A death flag?\A flag is a mechanism that causes a branch in fate. response:	No one can escape its influence.
context: Huh?\At this rate everyone will die.\This is proof of that.\This is?\This is a death flag.\A death flag?\A flag is a mechanism that causes a branch in fate.\No one can escape its influence. response:	Except for one of you.
context: At this rate everyone will die.\This is proof of that.\This is?\This is a death flag.\A death flag?\A flag is a mechanism that causes a branch in fate.\No one can escape its influence.\Except for one of you. response:	Hatate Souta,
context: This is proof of that.\This is?\This is a death flag.\A death flag?\A flag is a mechanism that causes a branch in fate.\No one can escape its influence.\Except for one of you.\Hatate Souta, response:	you have no death flag.
context: This is?\This is a death flag.\A death flag?\A flag is a mechanism that causes a branch in fate.\No one can escape its influence.\Except for one of you.\Hatate Souta,\you have no death flag. response:	You're also the only one
context: This is a death flag.\A death flag?\A flag is a mechanism that causes a branch in fate.\No one can escape its influence.\Except for one of you.\Hatate Souta,\you have no death flag.\You're also the only one response:	who can alter everyone's fate.
context: A death flag?\A flag is a mechanism that causes a branch in fate.\No one can escape its influence.\Except for one of you.\Hatate Souta,\you have no death flag.\You're also the only one\who can alter everyone's fate. response:	What do I...
context: A flag is a mechanism that causes a branch in fate.\No one can escape its influence.\Except for one of you.\Hatate Souta,\you have no death flag.\You're also the only one\who can alter everyone's fate.\What do I... response:	It's simple.
context: No one can escape its influence.\Except for one of you.\Hatate Souta,\you have no death flag.\You're also the only one\who can alter everyone's fate.\What do I...\It's simple. response:	Collect everyone's death flags into one,
context: Except for one of you.\Hatate Souta,\you have no death flag.\You're also the only one\who can alter everyone's fate.\What do I...\It's simple.\Collect everyone's death flags into one, response:	and carry their fate for them.
context: Hatate Souta,\you have no death flag.\You're also the only one\who can alter everyone's fate.\What do I...\It's simple.\Collect everyone's death flags into one,\and carry their fate for them. response:	In other words, this.
context: you have no death flag.\You're also the only one\who can alter everyone's fate.\What do I...\It's simple.\Collect everyone's death flags into one,\and carry their fate for them.\In other words, this. response:	Everyone's life is not equal.
context: You're also the only one\who can alter everyone's fate.\What do I...\It's simple.\Collect everyone's death flags into one,\and carry their fate for them.\In other words, this.\Everyone's life is not equal. response:	You shall be tormented by every sort of despair,
context: who can alter everyone's fate.\What do I...\It's simple.\Collect everyone's death flags into one,\and carry their fate for them.\In other words, this.\Everyone's life is not equal.\You shall be tormented by every sort of despair, response:	and reach closer and closer to death.
context: What do I...\It's simple.\Collect everyone's death flags into one,\and carry their fate for them.\In other words, this.\Everyone's life is not equal.\You shall be tormented by every sort of despair,\and reach closer and closer to death. response:	That's the price to save everyone.
context: It's simple.\Collect everyone's death flags into one,\and carry their fate for them.\In other words, this.\Everyone's life is not equal.\You shall be tormented by every sort of despair,\and reach closer and closer to death.\That's the price to save everyone. response:	Will everyone be saved?
context: Collect everyone's death flags into one,\and carry their fate for them.\In other words, this.\Everyone's life is not equal.\You shall be tormented by every sort of despair,\and reach closer and closer to death.\That's the price to save everyone.\Will everyone be saved? response:	Yes, I promise you.
context: and carry their fate for them.\In other words, this.\Everyone's life is not equal.\You shall be tormented by every sort of despair,\and reach closer and closer to death.\That's the price to save everyone.\Will everyone be saved?\Yes, I promise you. response:	Give everyone's
context: In other words, this.\Everyone's life is not equal.\You shall be tormented by every sort of despair,\and reach closer and closer to death.\That's the price to save everyone.\Will everyone be saved?\Yes, I promise you.\Give everyone's response:	death flags to me.
context: Everyone's life is not equal.\You shall be tormented by every sort of despair,\and reach closer and closer to death.\That's the price to save everyone.\Will everyone be saved?\Yes, I promise you.\Give everyone's\death flags to me. response:	Very well.
context: You shall be tormented by every sort of despair,\and reach closer and closer to death.\That's the price to save everyone.\Will everyone be saved?\Yes, I promise you.\Give everyone's\death flags to me.\Very well. response:	And one more thing.
context: and reach closer and closer to death.\That's the price to save everyone.\Will everyone be saved?\Yes, I promise you.\Give everyone's\death flags to me.\Very well.\And one more thing. response:	I will erase this event from everyone's memories.
context: That's the price to save everyone.\Will everyone be saved?\Yes, I promise you.\Give everyone's\death flags to me.\Very well.\And one more thing.\I will erase this event from everyone's memories. response:	You will never have met them.
context: Will everyone be saved?\Yes, I promise you.\Give everyone's\death flags to me.\Very well.\And one more thing.\I will erase this event from everyone's memories.\You will never have met them. response:	You will live in solitude,
context: Yes, I promise you.\Give everyone's\death flags to me.\Very well.\And one more thing.\I will erase this event from everyone's memories.\You will never have met them.\You will live in solitude, response:	and hate yourself for the choice you made,
context: Give everyone's\death flags to me.\Very well.\And one more thing.\I will erase this event from everyone's memories.\You will never have met them.\You will live in solitude,\and hate yourself for the choice you made, response:	hate the people who put you through a living hell,
context: death flags to me.\Very well.\And one more thing.\I will erase this event from everyone's memories.\You will never have met them.\You will live in solitude,\and hate yourself for the choice you made,\hate the people who put you through a living hell, response:	or perhaps hate the world itself for making you experience this,
context: Very well.\And one more thing.\I will erase this event from everyone's memories.\You will never have met them.\You will live in solitude,\and hate yourself for the choice you made,\hate the people who put you through a living hell,\or perhaps hate the world itself for making you experience this, response:	and while cursing them all, live out your final days.
context: And one more thing.\I will erase this event from everyone's memories.\You will never have met them.\You will live in solitude,\and hate yourself for the choice you made,\hate the people who put you through a living hell,\or perhaps hate the world itself for making you experience this,\and while cursing them all, live out your final days. response:	I won't curse them.
context: I will erase this event from everyone's memories.\You will never have met them.\You will live in solitude,\and hate yourself for the choice you made,\hate the people who put you through a living hell,\or perhaps hate the world itself for making you experience this,\and while cursing them all, live out your final days.\I won't curse them. response:	I already know...
context: You will never have met them.\You will live in solitude,\and hate yourself for the choice you made,\hate the people who put you through a living hell,\or perhaps hate the world itself for making you experience this,\and while cursing them all, live out your final days.\I won't curse them.\I already know... response:	I know the hearts of everyone in this world are so beautiful.
context: You will live in solitude,\and hate yourself for the choice you made,\hate the people who put you through a living hell,\or perhaps hate the world itself for making you experience this,\and while cursing them all, live out your final days.\I won't curse them.\I already know...\I know the hearts of everyone in this world are so beautiful. response:	That's why no matter how much I give in to despair.
context: and hate yourself for the choice you made,\hate the people who put you through a living hell,\or perhaps hate the world itself for making you experience this,\and while cursing them all, live out your final days.\I won't curse them.\I already know...\I know the hearts of everyone in this world are so beautiful.\That's why no matter how much I give in to despair. response:	I will continue to exclaim,
context: hate the people who put you through a living hell,\or perhaps hate the world itself for making you experience this,\and while cursing them all, live out your final days.\I won't curse them.\I already know...\I know the hearts of everyone in this world are so beautiful.\That's why no matter how much I give in to despair.\I will continue to exclaim, response:	just how beautiful the world is!
context: or perhaps hate the world itself for making you experience this,\and while cursing them all, live out your final days.\I won't curse them.\I already know...\I know the hearts of everyone in this world are so beautiful.\That's why no matter how much I give in to despair.\I will continue to exclaim,\just how beautiful the world is! response:	To you, fear and despair.
context: and while cursing them all, live out your final days.\I won't curse them.\I already know...\I know the hearts of everyone in this world are so beautiful.\That's why no matter how much I give in to despair.\I will continue to exclaim,\just how beautiful the world is!\To you, fear and despair. response:	And to them, a loss of memory and life.
context: I won't curse them.\I already know...\I know the hearts of everyone in this world are so beautiful.\That's why no matter how much I give in to despair.\I will continue to exclaim,\just how beautiful the world is!\To you, fear and despair.\And to them, a loss of memory and life. response:	I won't leave Souta-kun alone!
context: I already know...\I know the hearts of everyone in this world are so beautiful.\That's why no matter how much I give in to despair.\I will continue to exclaim,\just how beautiful the world is!\To you, fear and despair.\And to them, a loss of memory and life.\I won't leave Souta-kun alone! response:	I'll find you, no matter where you are!
context: I know the hearts of everyone in this world are so beautiful.\That's why no matter how much I give in to despair.\I will continue to exclaim,\just how beautiful the world is!\To you, fear and despair.\And to them, a loss of memory and life.\I won't leave Souta-kun alone!\I'll find you, no matter where you are! response:	I will find you! I will!
context: That's why no matter how much I give in to despair.\I will continue to exclaim,\just how beautiful the world is!\To you, fear and despair.\And to them, a loss of memory and life.\I won't leave Souta-kun alone!\I'll find you, no matter where you are!\I will find you! I will! response:	I'll start looking for you right away!
context: I will continue to exclaim,\just how beautiful the world is!\To you, fear and despair.\And to them, a loss of memory and life.\I won't leave Souta-kun alone!\I'll find you, no matter where you are!\I will find you! I will!\I'll start looking for you right away! response:	I'll be waiting for you, Souta!
context: just how beautiful the world is!\To you, fear and despair.\And to them, a loss of memory and life.\I won't leave Souta-kun alone!\I'll find you, no matter where you are!\I will find you! I will!\I'll start looking for you right away!\I'll be waiting for you, Souta! response:	That will never happen.
context: To you, fear and despair.\And to them, a loss of memory and life.\I won't leave Souta-kun alone!\I'll find you, no matter where you are!\I will find you! I will!\I'll start looking for you right away!\I'll be waiting for you, Souta!\That will never happen. response:	But thank you.
context: And to them, a loss of memory and life.\I won't leave Souta-kun alone!\I'll find you, no matter where you are!\I will find you! I will!\I'll start looking for you right away!\I'll be waiting for you, Souta!\That will never happen.\But thank you. response:	My death flag collected the fate of death from many others.
context: I won't leave Souta-kun alone!\I'll find you, no matter where you are!\I will find you! I will!\I'll start looking for you right away!\I'll be waiting for you, Souta!\That will never happen.\But thank you.\My death flag collected the fate of death from many others. response:	I see...
context: I'll find you, no matter where you are!\I will find you! I will!\I'll start looking for you right away!\I'll be waiting for you, Souta!\That will never happen.\But thank you.\My death flag collected the fate of death from many others.\I see... response:	So all of that was for this?
context: I will find you! I will!\I'll start looking for you right away!\I'll be waiting for you, Souta!\That will never happen.\But thank you.\My death flag collected the fate of death from many others.\I see...\So all of that was for this? response:	I still can't make it!
context: I'll start looking for you right away!\I'll be waiting for you, Souta!\That will never happen.\But thank you.\My death flag collected the fate of death from many others.\I see...\So all of that was for this?\I still can't make it! response:	Is my life not enough to reach them?!
context: I'll be waiting for you, Souta!\That will never happen.\But thank you.\My death flag collected the fate of death from many others.\I see...\So all of that was for this?\I still can't make it!\Is my life not enough to reach them?! response:	Can I not protect them all?
context: That will never happen.\But thank you.\My death flag collected the fate of death from many others.\I see...\So all of that was for this?\I still can't make it!\Is my life not enough to reach them?!\Can I not protect them all? response:	I see.
context: But thank you.\My death flag collected the fate of death from many others.\I see...\So all of that was for this?\I still can't make it!\Is my life not enough to reach them?!\Can I not protect them all?\I see. response:	So everyone kept their promise.
context: My death flag collected the fate of death from many others.\I see...\So all of that was for this?\I still can't make it!\Is my life not enough to reach them?!\Can I not protect them all?\I see.\So everyone kept their promise. response:	Where am I...
context: I see...\So all of that was for this?\I still can't make it!\Is my life not enough to reach them?!\Can I not protect them all?\I see.\So everyone kept their promise.\Where am I... response:	So you've awoken, Hatate Souta.
context: So all of that was for this?\I still can't make it!\Is my life not enough to reach them?!\Can I not protect them all?\I see.\So everyone kept their promise.\Where am I...\So you've awoken, Hatate Souta. response:	You're...
context: I still can't make it!\Is my life not enough to reach them?!\Can I not protect them all?\I see.\So everyone kept their promise.\Where am I...\So you've awoken, Hatate Souta.\You're... response:	This is the real world.
context: Is my life not enough to reach them?!\Can I not protect them all?\I see.\So everyone kept their promise.\Where am I...\So you've awoken, Hatate Souta.\You're...\This is the real world. response:	The real world?
context: Can I not protect them all?\I see.\So everyone kept their promise.\Where am I...\So you've awoken, Hatate Souta.\You're...\This is the real world.\The real world? response:	Then the battle...
context: I see.\So everyone kept their promise.\Where am I...\So you've awoken, Hatate Souta.\You're...\This is the real world.\The real world?\Then the battle... response:	What about everyone?
context: So everyone kept their promise.\Where am I...\So you've awoken, Hatate Souta.\You're...\This is the real world.\The real world?\Then the battle...\What about everyone? response:	There is still some chaos remaining from the
context: Where am I...\So you've awoken, Hatate Souta.\You're...\This is the real world.\The real world?\Then the battle...\What about everyone?\There is still some chaos remaining from the response:	rampage of the Angel Boat and its destruction,
context: So you've awoken, Hatate Souta.\You're...\This is the real world.\The real world?\Then the battle...\What about everyone?\There is still some chaos remaining from the\rampage of the Angel Boat and its destruction, response:	but it's mostly peaceful.
context: You're...\This is the real world.\The real world?\Then the battle...\What about everyone?\There is still some chaos remaining from the\rampage of the Angel Boat and its destruction,\but it's mostly peaceful. response:	You won.
context: This is the real world.\The real world?\Then the battle...\What about everyone?\There is still some chaos remaining from the\rampage of the Angel Boat and its destruction,\but it's mostly peaceful.\You won. response:	I see.
context: The real world?\Then the battle...\What about everyone?\There is still some chaos remaining from the\rampage of the Angel Boat and its destruction,\but it's mostly peaceful.\You won.\I see. response:	Before entered Hatagaya Academy, you were involved in an accident,
context: Then the battle...\What about everyone?\There is still some chaos remaining from the\rampage of the Angel Boat and its destruction,\but it's mostly peaceful.\You won.\I see.\Before entered Hatagaya Academy, you were involved in an accident, response:	and traveled the boundaries between life and death.
context: What about everyone?\There is still some chaos remaining from the\rampage of the Angel Boat and its destruction,\but it's mostly peaceful.\You won.\I see.\Before entered Hatagaya Academy, you were involved in an accident,\and traveled the boundaries between life and death. response:	I used your consciousness to connect
context: There is still some chaos remaining from the\rampage of the Angel Boat and its destruction,\but it's mostly peaceful.\You won.\I see.\Before entered Hatagaya Academy, you were involved in an accident,\and traveled the boundaries between life and death.\I used your consciousness to connect response:	to many different virtual worlds,
context: rampage of the Angel Boat and its destruction,\but it's mostly peaceful.\You won.\I see.\Before entered Hatagaya Academy, you were involved in an accident,\and traveled the boundaries between life and death.\I used your consciousness to connect\to many different virtual worlds, response:	and used you to help fight against the Angel Boat.
context: but it's mostly peaceful.\You won.\I see.\Before entered Hatagaya Academy, you were involved in an accident,\and traveled the boundaries between life and death.\I used your consciousness to connect\to many different virtual worlds,\and used you to help fight against the Angel Boat. response:	And then you met the Sacrament and Laplace's Demon.
context: You won.\I see.\Before entered Hatagaya Academy, you were involved in an accident,\and traveled the boundaries between life and death.\I used your consciousness to connect\to many different virtual worlds,\and used you to help fight against the Angel Boat.\And then you met the Sacrament and Laplace's Demon. response:	You know about them?!
context: I see.\Before entered Hatagaya Academy, you were involved in an accident,\and traveled the boundaries between life and death.\I used your consciousness to connect\to many different virtual worlds,\and used you to help fight against the Angel Boat.\And then you met the Sacrament and Laplace's Demon.\You know about them?! response:	Those are emotion programs that the
context: Before entered Hatagaya Academy, you were involved in an accident,\and traveled the boundaries between life and death.\I used your consciousness to connect\to many different virtual worlds,\and used you to help fight against the Angel Boat.\And then you met the Sacrament and Laplace's Demon.\You know about them?!\Those are emotion programs that the response:	Angel Boat cut off when it started its rebellion against humanity.
context: and traveled the boundaries between life and death.\I used your consciousness to connect\to many different virtual worlds,\and used you to help fight against the Angel Boat.\And then you met the Sacrament and Laplace's Demon.\You know about them?!\Those are emotion programs that the\Angel Boat cut off when it started its rebellion against humanity. response:	Programs...
context: I used your consciousness to connect\to many different virtual worlds,\and used you to help fight against the Angel Boat.\And then you met the Sacrament and Laplace's Demon.\You know about them?!\Those are emotion programs that the\Angel Boat cut off when it started its rebellion against humanity.\Programs... response:	You could call them its conscience.
context: to many different virtual worlds,\and used you to help fight against the Angel Boat.\And then you met the Sacrament and Laplace's Demon.\You know about them?!\Those are emotion programs that the\Angel Boat cut off when it started its rebellion against humanity.\Programs...\You could call them its conscience. response:	The Council of the Seven Virtues ran several simulations,
context: and used you to help fight against the Angel Boat.\And then you met the Sacrament and Laplace's Demon.\You know about them?!\Those are emotion programs that the\Angel Boat cut off when it started its rebellion against humanity.\Programs...\You could call them its conscience.\The Council of the Seven Virtues ran several simulations, response:	and in those virtual worlds, we also simulated them, as well.
context: And then you met the Sacrament and Laplace's Demon.\You know about them?!\Those are emotion programs that the\Angel Boat cut off when it started its rebellion against humanity.\Programs...\You could call them its conscience.\The Council of the Seven Virtues ran several simulations,\and in those virtual worlds, we also simulated them, as well. response:	Why?
context: You know about them?!\Those are emotion programs that the\Angel Boat cut off when it started its rebellion against humanity.\Programs...\You could call them its conscience.\The Council of the Seven Virtues ran several simulations,\and in those virtual worlds, we also simulated them, as well.\Why? response:	To find a way for humanity to resist the Angel Boat.
context: Those are emotion programs that the\Angel Boat cut off when it started its rebellion against humanity.\Programs...\You could call them its conscience.\The Council of the Seven Virtues ran several simulations,\and in those virtual worlds, we also simulated them, as well.\Why?\To find a way for humanity to resist the Angel Boat. response:	To save us...
context: Angel Boat cut off when it started its rebellion against humanity.\Programs...\You could call them its conscience.\The Council of the Seven Virtues ran several simulations,\and in those virtual worlds, we also simulated them, as well.\Why?\To find a way for humanity to resist the Angel Boat.\To save us... response:	Laplace's Demon's affinity towards those with strong hearts and a strong sense of sacrifice,
context: Programs...\You could call them its conscience.\The Council of the Seven Virtues ran several simulations,\and in those virtual worlds, we also simulated them, as well.\Why?\To find a way for humanity to resist the Angel Boat.\To save us...\Laplace's Demon's affinity towards those with strong hearts and a strong sense of sacrifice, response:	and the Sacrament's affinity towards the bonds
context: You could call them its conscience.\The Council of the Seven Virtues ran several simulations,\and in those virtual worlds, we also simulated them, as well.\Why?\To find a way for humanity to resist the Angel Boat.\To save us...\Laplace's Demon's affinity towards those with strong hearts and a strong sense of sacrifice,\and the Sacrament's affinity towards the bonds response:	that are created between people were something
context: The Council of the Seven Virtues ran several simulations,\and in those virtual worlds, we also simulated them, as well.\Why?\To find a way for humanity to resist the Angel Boat.\To save us...\Laplace's Demon's affinity towards those with strong hearts and a strong sense of sacrifice,\and the Sacrament's affinity towards the bonds\that are created between people were something response:	we thought we needed to reach the Angel Boat.
context: and in those virtual worlds, we also simulated them, as well.\Why?\To find a way for humanity to resist the Angel Boat.\To save us...\Laplace's Demon's affinity towards those with strong hearts and a strong sense of sacrifice,\and the Sacrament's affinity towards the bonds\that are created between people were something\we thought we needed to reach the Angel Boat. response:	And you know the rest.
context: Why?\To find a way for humanity to resist the Angel Boat.\To save us...\Laplace's Demon's affinity towards those with strong hearts and a strong sense of sacrifice,\and the Sacrament's affinity towards the bonds\that are created between people were something\we thought we needed to reach the Angel Boat.\And you know the rest. response:	Bonds, huh?
context: To find a way for humanity to resist the Angel Boat.\To save us...\Laplace's Demon's affinity towards those with strong hearts and a strong sense of sacrifice,\and the Sacrament's affinity towards the bonds\that are created between people were something\we thought we needed to reach the Angel Boat.\And you know the rest.\Bonds, huh? response:	Humanity may have been tested.
context: To save us...\Laplace's Demon's affinity towards those with strong hearts and a strong sense of sacrifice,\and the Sacrament's affinity towards the bonds\that are created between people were something\we thought we needed to reach the Angel Boat.\And you know the rest.\Bonds, huh?\Humanity may have been tested. response:	Would we become the slaves of a mechanical system that ruled the network?
context: Laplace's Demon's affinity towards those with strong hearts and a strong sense of sacrifice,\and the Sacrament's affinity towards the bonds\that are created between people were something\we thought we needed to reach the Angel Boat.\And you know the rest.\Bonds, huh?\Humanity may have been tested.\Would we become the slaves of a mechanical system that ruled the network? response:	Or would we join hands,
context: and the Sacrament's affinity towards the bonds\that are created between people were something\we thought we needed to reach the Angel Boat.\And you know the rest.\Bonds, huh?\Humanity may have been tested.\Would we become the slaves of a mechanical system that ruled the network?\Or would we join hands, response:	and live?
context: that are created between people were something\we thought we needed to reach the Angel Boat.\And you know the rest.\Bonds, huh?\Humanity may have been tested.\Would we become the slaves of a mechanical system that ruled the network?\Or would we join hands,\and live? response:	N-Nanami?!
context: we thought we needed to reach the Angel Boat.\And you know the rest.\Bonds, huh?\Humanity may have been tested.\Would we become the slaves of a mechanical system that ruled the network?\Or would we join hands,\and live?\N-Nanami?! response:	Thinking on it,
context: And you know the rest.\Bonds, huh?\Humanity may have been tested.\Would we become the slaves of a mechanical system that ruled the network?\Or would we join hands,\and live?\N-Nanami?!\Thinking on it, response:	I've only lived to protect my homeland.
context: Bonds, huh?\Humanity may have been tested.\Would we become the slaves of a mechanical system that ruled the network?\Or would we join hands,\and live?\N-Nanami?!\Thinking on it,\I've only lived to protect my homeland. response:	I'm not any different from the Angel Boat.
context: Humanity may have been tested.\Would we become the slaves of a mechanical system that ruled the network?\Or would we join hands,\and live?\N-Nanami?!\Thinking on it,\I've only lived to protect my homeland.\I'm not any different from the Angel Boat. response:	I've lived a long time.
context: Would we become the slaves of a mechanical system that ruled the network?\Or would we join hands,\and live?\N-Nanami?!\Thinking on it,\I've only lived to protect my homeland.\I'm not any different from the Angel Boat.\I've lived a long time. response:	I didn't think I'd be saved by what I cast aside.
context: Or would we join hands,\and live?\N-Nanami?!\Thinking on it,\I've only lived to protect my homeland.\I'm not any different from the Angel Boat.\I've lived a long time.\I didn't think I'd be saved by what I cast aside. response:	I, Number Zero No,
context: and live?\N-Nanami?!\Thinking on it,\I've only lived to protect my homeland.\I'm not any different from the Angel Boat.\I've lived a long time.\I didn't think I'd be saved by what I cast aside.\I, Number Zero No, response:	Kagura Bladefield wish to extend my deepest gratitude, Hatate Souta.
context: N-Nanami?!\Thinking on it,\I've only lived to protect my homeland.\I'm not any different from the Angel Boat.\I've lived a long time.\I didn't think I'd be saved by what I cast aside.\I, Number Zero No,\Kagura Bladefield wish to extend my deepest gratitude, Hatate Souta. response:	So you're the founder of Bladefield?!
context: Thinking on it,\I've only lived to protect my homeland.\I'm not any different from the Angel Boat.\I've lived a long time.\I didn't think I'd be saved by what I cast aside.\I, Number Zero No,\Kagura Bladefield wish to extend my deepest gratitude, Hatate Souta.\So you're the founder of Bladefield?! response:	One last thing...
context: I've only lived to protect my homeland.\I'm not any different from the Angel Boat.\I've lived a long time.\I didn't think I'd be saved by what I cast aside.\I, Number Zero No,\Kagura Bladefield wish to extend my deepest gratitude, Hatate Souta.\So you're the founder of Bladefield?!\One last thing... response:	The days you spent in the virtual world
context: I'm not any different from the Angel Boat.\I've lived a long time.\I didn't think I'd be saved by what I cast aside.\I, Number Zero No,\Kagura Bladefield wish to extend my deepest gratitude, Hatate Souta.\So you're the founder of Bladefield?!\One last thing...\The days you spent in the virtual world response:	were incredibly short in reality.
context: I've lived a long time.\I didn't think I'd be saved by what I cast aside.\I, Number Zero No,\Kagura Bladefield wish to extend my deepest gratitude, Hatate Souta.\So you're the founder of Bladefield?!\One last thing...\The days you spent in the virtual world\were incredibly short in reality. response:	No one shares those memories of yours, either.
context: I didn't think I'd be saved by what I cast aside.\I, Number Zero No,\Kagura Bladefield wish to extend my deepest gratitude, Hatate Souta.\So you're the founder of Bladefield?!\One last thing...\The days you spent in the virtual world\were incredibly short in reality.\No one shares those memories of yours, either. response:	Princess Nanami, who dived into to the
context: I, Number Zero No,\Kagura Bladefield wish to extend my deepest gratitude, Hatate Souta.\So you're the founder of Bladefield?!\One last thing...\The days you spent in the virtual world\were incredibly short in reality.\No one shares those memories of yours, either.\Princess Nanami, who dived into to the response:	virtual world to save you, is no exception.
context: Kagura Bladefield wish to extend my deepest gratitude, Hatate Souta.\So you're the founder of Bladefield?!\One last thing...\The days you spent in the virtual world\were incredibly short in reality.\No one shares those memories of yours, either.\Princess Nanami, who dived into to the\virtual world to save you, is no exception. response:	I have no intention of asking you to forgive me, but...
context: So you're the founder of Bladefield?!\One last thing...\The days you spent in the virtual world\were incredibly short in reality.\No one shares those memories of yours, either.\Princess Nanami, who dived into to the\virtual world to save you, is no exception.\I have no intention of asking you to forgive me, but... response:	Farewell, Prince.
context: One last thing...\The days you spent in the virtual world\were incredibly short in reality.\No one shares those memories of yours, either.\Princess Nanami, who dived into to the\virtual world to save you, is no exception.\I have no intention of asking you to forgive me, but...\Farewell, Prince. response:	Souta!
context: The days you spent in the virtual world\were incredibly short in reality.\No one shares those memories of yours, either.\Princess Nanami, who dived into to the\virtual world to save you, is no exception.\I have no intention of asking you to forgive me, but...\Farewell, Prince.\Souta! response:	Nanami?!
context: were incredibly short in reality.\No one shares those memories of yours, either.\Princess Nanami, who dived into to the\virtual world to save you, is no exception.\I have no intention of asking you to forgive me, but...\Farewell, Prince.\Souta!\Nanami?! response:	I'm your older sister and you didn't call me oneesan? Why?!
context: No one shares those memories of yours, either.\Princess Nanami, who dived into to the\virtual world to save you, is no exception.\I have no intention of asking you to forgive me, but...\Farewell, Prince.\Souta!\Nanami?!\I'm your older sister and you didn't call me oneesan? Why?! response:	I'm sorry,
context: Princess Nanami, who dived into to the\virtual world to save you, is no exception.\I have no intention of asking you to forgive me, but...\Farewell, Prince.\Souta!\Nanami?!\I'm your older sister and you didn't call me oneesan? Why?!\I'm sorry, response:	Neesan.
