context: What is this? response:	The grave... It's shining.
context: U-Um...\Hey! You're going to miss the train again!\Crap!\See you later!\Father...\The words I couldn't say back then...\They grew larger and larger inside of me.\I learned the tarot in order to predict the days he would return. response:	Oh, you learned how to tell fortunes?
context: Hey! You're going to miss the train again!\Crap!\See you later!\Father...\The words I couldn't say back then...\They grew larger and larger inside of me.\I learned the tarot in order to predict the days he would return.\Oh, you learned how to tell fortunes? response:	You didn't know?
context: Crap!\See you later!\Father...\The words I couldn't say back then...\They grew larger and larger inside of me.\I learned the tarot in order to predict the days he would return.\Oh, you learned how to tell fortunes?\You didn't know? response:	Cana's fortunes are pretty spot on.
context: See you later!\Father...\The words I couldn't say back then...\They grew larger and larger inside of me.\I learned the tarot in order to predict the days he would return.\Oh, you learned how to tell fortunes?\You didn't know?\Cana's fortunes are pretty spot on. response:	Oh? Then you should learn magic that uses cards.
context: Father...\The words I couldn't say back then...\They grew larger and larger inside of me.\I learned the tarot in order to predict the days he would return.\Oh, you learned how to tell fortunes?\You didn't know?\Cana's fortunes are pretty spot on.\Oh? Then you should learn magic that uses cards. response:	Card Magic, huh? Sounds good to me!
context: The words I couldn't say back then...\They grew larger and larger inside of me.\I learned the tarot in order to predict the days he would return.\Oh, you learned how to tell fortunes?\You didn't know?\Cana's fortunes are pretty spot on.\Oh? Then you should learn magic that uses cards.\Card Magic, huh? Sounds good to me! response:	Card Magic? Me?
context: They grew larger and larger inside of me.\I learned the tarot in order to predict the days he would return.\Oh, you learned how to tell fortunes?\You didn't know?\Cana's fortunes are pretty spot on.\Oh? Then you should learn magic that uses cards.\Card Magic, huh? Sounds good to me!\Card Magic? Me? response:	But, I can't do magic...
context: I learned the tarot in order to predict the days he would return.\Oh, you learned how to tell fortunes?\You didn't know?\Cana's fortunes are pretty spot on.\Oh? Then you should learn magic that uses cards.\Card Magic, huh? Sounds good to me!\Card Magic? Me?\But, I can't do magic... response:	The heart!
context: Oh, you learned how to tell fortunes?\You didn't know?\Cana's fortunes are pretty spot on.\Oh? Then you should learn magic that uses cards.\Card Magic, huh? Sounds good to me!\Card Magic? Me?\But, I can't do magic...\The heart! response:	Everything begins from a heart that believes, Cana.
context: You didn't know?\Cana's fortunes are pretty spot on.\Oh? Then you should learn magic that uses cards.\Card Magic, huh? Sounds good to me!\Card Magic? Me?\But, I can't do magic...\The heart!\Everything begins from a heart that believes, Cana. response:	Fortune, faith, and prayer are all a form of magic.
context: Cana's fortunes are pretty spot on.\Oh? Then you should learn magic that uses cards.\Card Magic, huh? Sounds good to me!\Card Magic? Me?\But, I can't do magic...\The heart!\Everything begins from a heart that believes, Cana.\Fortune, faith, and prayer are all a form of magic. response:	Miracles where only those who believe can sense them...
context: Oh? Then you should learn magic that uses cards.\Card Magic, huh? Sounds good to me!\Card Magic? Me?\But, I can't do magic...\The heart!\Everything begins from a heart that believes, Cana.\Fortune, faith, and prayer are all a form of magic.\Miracles where only those who believe can sense them... response:	That's right.
context: Card Magic, huh? Sounds good to me!\Card Magic? Me?\But, I can't do magic...\The heart!\Everything begins from a heart that believes, Cana.\Fortune, faith, and prayer are all a form of magic.\Miracles where only those who believe can sense them...\That's right. response:	Believe in the existence of magic, and believe in your own power...
context: Card Magic? Me?\But, I can't do magic...\The heart!\Everything begins from a heart that believes, Cana.\Fortune, faith, and prayer are all a form of magic.\Miracles where only those who believe can sense them...\That's right.\Believe in the existence of magic, and believe in your own power... response:	Only those who naturally believe in both can use magic.
context: But, I can't do magic...\The heart!\Everything begins from a heart that believes, Cana.\Fortune, faith, and prayer are all a form of magic.\Miracles where only those who believe can sense them...\That's right.\Believe in the existence of magic, and believe in your own power...\Only those who naturally believe in both can use magic. response:	Heart...
context: The heart!\Everything begins from a heart that believes, Cana.\Fortune, faith, and prayer are all a form of magic.\Miracles where only those who believe can sense them...\That's right.\Believe in the existence of magic, and believe in your own power...\Only those who naturally believe in both can use magic.\Heart... response:	And so I learned how to use Card Magic.
context: Everything begins from a heart that believes, Cana.\Fortune, faith, and prayer are all a form of magic.\Miracles where only those who believe can sense them...\That's right.\Believe in the existence of magic, and believe in your own power...\Only those who naturally believe in both can use magic.\Heart...\And so I learned how to use Card Magic. response:	I thought if I could learn how to use magic, I could get a little closer to my father.
context: Fortune, faith, and prayer are all a form of magic.\Miracles where only those who believe can sense them...\That's right.\Believe in the existence of magic, and believe in your own power...\Only those who naturally believe in both can use magic.\Heart...\And so I learned how to use Card Magic.\I thought if I could learn how to use magic, I could get a little closer to my father. response:	But he was popular with everyone, and the number one wizard in the guild.
context: Miracles where only those who believe can sense them...\That's right.\Believe in the existence of magic, and believe in your own power...\Only those who naturally believe in both can use magic.\Heart...\And so I learned how to use Card Magic.\I thought if I could learn how to use magic, I could get a little closer to my father.\But he was popular with everyone, and the number one wizard in the guild. response:	I couldn't even be compared to him.
context: That's right.\Believe in the existence of magic, and believe in your own power...\Only those who naturally believe in both can use magic.\Heart...\And so I learned how to use Card Magic.\I thought if I could learn how to use magic, I could get a little closer to my father.\But he was popular with everyone, and the number one wizard in the guild.\I couldn't even be compared to him. response:	He was always a shining star.
context: Believe in the existence of magic, and believe in your own power...\Only those who naturally believe in both can use magic.\Heart...\And so I learned how to use Card Magic.\I thought if I could learn how to use magic, I could get a little closer to my father.\But he was popular with everyone, and the number one wizard in the guild.\I couldn't even be compared to him.\He was always a shining star. response:	Without being able to say the truth, time passed,
context: Only those who naturally believe in both can use magic.\Heart...\And so I learned how to use Card Magic.\I thought if I could learn how to use magic, I could get a little closer to my father.\But he was popular with everyone, and the number one wizard in the guild.\I couldn't even be compared to him.\He was always a shining star.\Without being able to say the truth, time passed, response:	and at some point I became afraid to say the truth.
context: Heart...\And so I learned how to use Card Magic.\I thought if I could learn how to use magic, I could get a little closer to my father.\But he was popular with everyone, and the number one wizard in the guild.\I couldn't even be compared to him.\He was always a shining star.\Without being able to say the truth, time passed,\and at some point I became afraid to say the truth. response:	The turning point was the S Class Wizard Advancement Exam.
context: And so I learned how to use Card Magic.\I thought if I could learn how to use magic, I could get a little closer to my father.\But he was popular with everyone, and the number one wizard in the guild.\I couldn't even be compared to him.\He was always a shining star.\Without being able to say the truth, time passed,\and at some point I became afraid to say the truth.\The turning point was the S Class Wizard Advancement Exam. response:	Me?
context: I thought if I could learn how to use magic, I could get a little closer to my father.\But he was popular with everyone, and the number one wizard in the guild.\I couldn't even be compared to him.\He was always a shining star.\Without being able to say the truth, time passed,\and at some point I became afraid to say the truth.\The turning point was the S Class Wizard Advancement Exam.\Me? response:	Do your best.
context: But he was popular with everyone, and the number one wizard in the guild.\I couldn't even be compared to him.\He was always a shining star.\Without being able to say the truth, time passed,\and at some point I became afraid to say the truth.\The turning point was the S Class Wizard Advancement Exam.\Me?\Do your best. response:	Right!
context: I couldn't even be compared to him.\He was always a shining star.\Without being able to say the truth, time passed,\and at some point I became afraid to say the truth.\The turning point was the S Class Wizard Advancement Exam.\Me?\Do your best.\Right! response:	I decided...
context: He was always a shining star.\Without being able to say the truth, time passed,\and at some point I became afraid to say the truth.\The turning point was the S Class Wizard Advancement Exam.\Me?\Do your best.\Right!\I decided... response:	If I passed the test, I would tell my father the truth.
context: Without being able to say the truth, time passed,\and at some point I became afraid to say the truth.\The turning point was the S Class Wizard Advancement Exam.\Me?\Do your best.\Right!\I decided...\If I passed the test, I would tell my father the truth. response:	But... I failed four years in a row.
context: and at some point I became afraid to say the truth.\The turning point was the S Class Wizard Advancement Exam.\Me?\Do your best.\Right!\I decided...\If I passed the test, I would tell my father the truth.\But... I failed four years in a row. response:	Erza and Mira, who entered the guild after me, passed one after another.
context: The turning point was the S Class Wizard Advancement Exam.\Me?\Do your best.\Right!\I decided...\If I passed the test, I would tell my father the truth.\But... I failed four years in a row.\Erza and Mira, who entered the guild after me, passed one after another. response:	I was just the leftovers.
context: Me?\Do your best.\Right!\I decided...\If I passed the test, I would tell my father the truth.\But... I failed four years in a row.\Erza and Mira, who entered the guild after me, passed one after another.\I was just the leftovers. response:	I'll never live up to my father.
context: Do your best.\Right!\I decided...\If I passed the test, I would tell my father the truth.\But... I failed four years in a row.\Erza and Mira, who entered the guild after me, passed one after another.\I was just the leftovers.\I'll never live up to my father. response:	That's why I decided this would be the last time.
context: Right!\I decided...\If I passed the test, I would tell my father the truth.\But... I failed four years in a row.\Erza and Mira, who entered the guild after me, passed one after another.\I was just the leftovers.\I'll never live up to my father.\That's why I decided this would be the last time. response:	I was thinking of quitting the guild.
context: I decided...\If I passed the test, I would tell my father the truth.\But... I failed four years in a row.\Erza and Mira, who entered the guild after me, passed one after another.\I was just the leftovers.\I'll never live up to my father.\That's why I decided this would be the last time.\I was thinking of quitting the guild. response:	Meaning that if I fail this time, I have no right to be Gildarts' daughter.
context: If I passed the test, I would tell my father the truth.\But... I failed four years in a row.\Erza and Mira, who entered the guild after me, passed one after another.\I was just the leftovers.\I'll never live up to my father.\That's why I decided this would be the last time.\I was thinking of quitting the guild.\Meaning that if I fail this time, I have no right to be Gildarts' daughter. response:	I'll quit the guild, and leave the city.
context: But... I failed four years in a row.\Erza and Mira, who entered the guild after me, passed one after another.\I was just the leftovers.\I'll never live up to my father.\That's why I decided this would be the last time.\I was thinking of quitting the guild.\Meaning that if I fail this time, I have no right to be Gildarts' daughter.\I'll quit the guild, and leave the city. response:	I'll be your partner, Cana!
context: Erza and Mira, who entered the guild after me, passed one after another.\I was just the leftovers.\I'll never live up to my father.\That's why I decided this would be the last time.\I was thinking of quitting the guild.\Meaning that if I fail this time, I have no right to be Gildarts' daughter.\I'll quit the guild, and leave the city.\I'll be your partner, Cana! response:	I'm not gonna let you quit the guild!
context: I was just the leftovers.\I'll never live up to my father.\That's why I decided this would be the last time.\I was thinking of quitting the guild.\Meaning that if I fail this time, I have no right to be Gildarts' daughter.\I'll quit the guild, and leave the city.\I'll be your partner, Cana!\I'm not gonna let you quit the guild! response:	Because I'm going to make you an S class wizard!
context: I'll never live up to my father.\That's why I decided this would be the last time.\I was thinking of quitting the guild.\Meaning that if I fail this time, I have no right to be Gildarts' daughter.\I'll quit the guild, and leave the city.\I'll be your partner, Cana!\I'm not gonna let you quit the guild!\Because I'm going to make you an S class wizard! response:	Help, help, help!
context: That's why I decided this would be the last time.\I was thinking of quitting the guild.\Meaning that if I fail this time, I have no right to be Gildarts' daughter.\I'll quit the guild, and leave the city.\I'll be your partner, Cana!\I'm not gonna let you quit the guild!\Because I'm going to make you an S class wizard!\Help, help, help! response:	What's this card?
context: I was thinking of quitting the guild.\Meaning that if I fail this time, I have no right to be Gildarts' daughter.\I'll quit the guild, and leave the city.\I'll be your partner, Cana!\I'm not gonna let you quit the guild!\Because I'm going to make you an S class wizard!\Help, help, help!\What's this card? response:	It's a card to let me know if you're in trouble, Lucy.
context: Meaning that if I fail this time, I have no right to be Gildarts' daughter.\I'll quit the guild, and leave the city.\I'll be your partner, Cana!\I'm not gonna let you quit the guild!\Because I'm going to make you an S class wizard!\Help, help, help!\What's this card?\It's a card to let me know if you're in trouble, Lucy. response:	If this card starts flashing during the exam,
context: I'll quit the guild, and leave the city.\I'll be your partner, Cana!\I'm not gonna let you quit the guild!\Because I'm going to make you an S class wizard!\Help, help, help!\What's this card?\It's a card to let me know if you're in trouble, Lucy.\If this card starts flashing during the exam, response:	I'll come to rescue you no matter how far away I am.
context: I'll be your partner, Cana!\I'm not gonna let you quit the guild!\Because I'm going to make you an S class wizard!\Help, help, help!\What's this card?\It's a card to let me know if you're in trouble, Lucy.\If this card starts flashing during the exam,\I'll come to rescue you no matter how far away I am. response:	What the hell have I been doing?
context: I'm not gonna let you quit the guild!\Because I'm going to make you an S class wizard!\Help, help, help!\What's this card?\It's a card to let me know if you're in trouble, Lucy.\If this card starts flashing during the exam,\I'll come to rescue you no matter how far away I am.\What the hell have I been doing? response:	No!
context: Because I'm going to make you an S class wizard!\Help, help, help!\What's this card?\It's a card to let me know if you're in trouble, Lucy.\If this card starts flashing during the exam,\I'll come to rescue you no matter how far away I am.\What the hell have I been doing?\No! response:	It shouldn't have turned out like this!
context: Help, help, help!\What's this card?\It's a card to let me know if you're in trouble, Lucy.\If this card starts flashing during the exam,\I'll come to rescue you no matter how far away I am.\What the hell have I been doing?\No!\It shouldn't have turned out like this! response:	I never intended to betray my friends...
context: What's this card?\It's a card to let me know if you're in trouble, Lucy.\If this card starts flashing during the exam,\I'll come to rescue you no matter how far away I am.\What the hell have I been doing?\No!\It shouldn't have turned out like this!\I never intended to betray my friends... response:	It's too late for me...
context: It's a card to let me know if you're in trouble, Lucy.\If this card starts flashing during the exam,\I'll come to rescue you no matter how far away I am.\What the hell have I been doing?\No!\It shouldn't have turned out like this!\I never intended to betray my friends...\It's too late for me... response:	I don't care if I can't become an S class wizard...
context: If this card starts flashing during the exam,\I'll come to rescue you no matter how far away I am.\What the hell have I been doing?\No!\It shouldn't have turned out like this!\I never intended to betray my friends...\It's too late for me...\I don't care if I can't become an S class wizard... response:	I don't care if I can't tell my father how I feel...
context: I'll come to rescue you no matter how far away I am.\What the hell have I been doing?\No!\It shouldn't have turned out like this!\I never intended to betray my friends...\It's too late for me...\I don't care if I can't become an S class wizard...\I don't care if I can't tell my father how I feel... response:	That's how much... I want to protect my friends!
context: What the hell have I been doing?\No!\It shouldn't have turned out like this!\I never intended to betray my friends...\It's too late for me...\I don't care if I can't become an S class wizard...\I don't care if I can't tell my father how I feel...\That's how much... I want to protect my friends! response:	I don't need anything else!
context: No!\It shouldn't have turned out like this!\I never intended to betray my friends...\It's too late for me...\I don't care if I can't become an S class wizard...\I don't care if I can't tell my father how I feel...\That's how much... I want to protect my friends!\I don't need anything else! response:	Just as long as everyone else is safe!
context: It shouldn't have turned out like this!\I never intended to betray my friends...\It's too late for me...\I don't care if I can't become an S class wizard...\I don't care if I can't tell my father how I feel...\That's how much... I want to protect my friends!\I don't need anything else!\Just as long as everyone else is safe! response:	It doesn't matter if I'm no longer in the guild!
context: I never intended to betray my friends...\It's too late for me...\I don't care if I can't become an S class wizard...\I don't care if I can't tell my father how I feel...\That's how much... I want to protect my friends!\I don't need anything else!\Just as long as everyone else is safe!\It doesn't matter if I'm no longer in the guild! response:	Because no matter where I am,
context: It's too late for me...\I don't care if I can't become an S class wizard...\I don't care if I can't tell my father how I feel...\That's how much... I want to protect my friends!\I don't need anything else!\Just as long as everyone else is safe!\It doesn't matter if I'm no longer in the guild!\Because no matter where I am, response:	my heart will always be in the same place!
context: I don't care if I can't become an S class wizard...\I don't care if I can't tell my father how I feel...\That's how much... I want to protect my friends!\I don't need anything else!\Just as long as everyone else is safe!\It doesn't matter if I'm no longer in the guild!\Because no matter where I am,\my heart will always be in the same place! response:	So, please...
context: I don't care if I can't tell my father how I feel...\That's how much... I want to protect my friends!\I don't need anything else!\Just as long as everyone else is safe!\It doesn't matter if I'm no longer in the guild!\Because no matter where I am,\my heart will always be in the same place!\So, please... response:	Lend me the power to protect the guild.
context: That's how much... I want to protect my friends!\I don't need anything else!\Just as long as everyone else is safe!\It doesn't matter if I'm no longer in the guild!\Because no matter where I am,\my heart will always be in the same place!\So, please...\Lend me the power to protect the guild. response:	Because I...
context: I don't need anything else!\Just as long as everyone else is safe!\It doesn't matter if I'm no longer in the guild!\Because no matter where I am,\my heart will always be in the same place!\So, please...\Lend me the power to protect the guild.\Because I... response:	In that case, you have nothing to fear.
context: Just as long as everyone else is safe!\It doesn't matter if I'm no longer in the guild!\Because no matter where I am,\my heart will always be in the same place!\So, please...\Lend me the power to protect the guild.\Because I...\In that case, you have nothing to fear. response:	Mistakes are not shackles that halt one from stepping forward.
context: It doesn't matter if I'm no longer in the guild!\Because no matter where I am,\my heart will always be in the same place!\So, please...\Lend me the power to protect the guild.\Because I...\In that case, you have nothing to fear.\Mistakes are not shackles that halt one from stepping forward. response:	Rather, they are that which sustain and grow one's heart.
context: Because no matter where I am,\my heart will always be in the same place!\So, please...\Lend me the power to protect the guild.\Because I...\In that case, you have nothing to fear.\Mistakes are not shackles that halt one from stepping forward.\Rather, they are that which sustain and grow one's heart. response:	That voice...
context: my heart will always be in the same place!\So, please...\Lend me the power to protect the guild.\Because I...\In that case, you have nothing to fear.\Mistakes are not shackles that halt one from stepping forward.\Rather, they are that which sustain and grow one's heart.\That voice... response:	Now, go.
context: So, please...\Lend me the power to protect the guild.\Because I...\In that case, you have nothing to fear.\Mistakes are not shackles that halt one from stepping forward.\Rather, they are that which sustain and grow one's heart.\That voice...\Now, go. response:	I give you the Fairy Glitter.
context: Lend me the power to protect the guild.\Because I...\In that case, you have nothing to fear.\Mistakes are not shackles that halt one from stepping forward.\Rather, they are that which sustain and grow one's heart.\That voice...\Now, go.\I give you the Fairy Glitter. response:	Master Mavis...
context: Because I...\In that case, you have nothing to fear.\Mistakes are not shackles that halt one from stepping forward.\Rather, they are that which sustain and grow one's heart.\That voice...\Now, go.\I give you the Fairy Glitter.\Master Mavis... response:	Understood.
context: In that case, you have nothing to fear.\Mistakes are not shackles that halt one from stepping forward.\Rather, they are that which sustain and grow one's heart.\That voice...\Now, go.\I give you the Fairy Glitter.\Master Mavis...\Understood. response:	This may be my final battle.
context: Mistakes are not shackles that halt one from stepping forward.\Rather, they are that which sustain and grow one's heart.\That voice...\Now, go.\I give you the Fairy Glitter.\Master Mavis...\Understood.\This may be my final battle. response:	I owe you big time for these past 12 years, everyone at Fairy Tail!
context: Rather, they are that which sustain and grow one's heart.\That voice...\Now, go.\I give you the Fairy Glitter.\Master Mavis...\Understood.\This may be my final battle.\I owe you big time for these past 12 years, everyone at Fairy Tail! response:	This way?
context: That voice...\Now, go.\I give you the Fairy Glitter.\Master Mavis...\Understood.\This may be my final battle.\I owe you big time for these past 12 years, everyone at Fairy Tail!\This way? response:	Wait for me, Lucy! I'm coming for you!
context: Now, go.\I give you the Fairy Glitter.\Master Mavis...\Understood.\This may be my final battle.\I owe you big time for these past 12 years, everyone at Fairy Tail!\This way?\Wait for me, Lucy! I'm coming for you! response:	One of Fairy Tail's 3 Grand Spells, Fairy Glitter...
context: I give you the Fairy Glitter.\Master Mavis...\Understood.\This may be my final battle.\I owe you big time for these past 12 years, everyone at Fairy Tail!\This way?\Wait for me, Lucy! I'm coming for you!\One of Fairy Tail's 3 Grand Spells, Fairy Glitter... response:	With this magic, I can defeat any enemy!
context: Master Mavis...\Understood.\This may be my final battle.\I owe you big time for these past 12 years, everyone at Fairy Tail!\This way?\Wait for me, Lucy! I'm coming for you!\One of Fairy Tail's 3 Grand Spells, Fairy Glitter...\With this magic, I can defeat any enemy! response:	I'm going to protect the guild!
context: Understood.\This may be my final battle.\I owe you big time for these past 12 years, everyone at Fairy Tail!\This way?\Wait for me, Lucy! I'm coming for you!\One of Fairy Tail's 3 Grand Spells, Fairy Glitter...\With this magic, I can defeat any enemy!\I'm going to protect the guild! response:	Is it you?!
context: This may be my final battle.\I owe you big time for these past 12 years, everyone at Fairy Tail!\This way?\Wait for me, Lucy! I'm coming for you!\One of Fairy Tail's 3 Grand Spells, Fairy Glitter...\With this magic, I can defeat any enemy!\I'm going to protect the guild!\Is it you?! response:	Cana!
context: I owe you big time for these past 12 years, everyone at Fairy Tail!\This way?\Wait for me, Lucy! I'm coming for you!\One of Fairy Tail's 3 Grand Spells, Fairy Glitter...\With this magic, I can defeat any enemy!\I'm going to protect the guild!\Is it you?!\Cana! response:	Cana!
context: This way?\Wait for me, Lucy! I'm coming for you!\One of Fairy Tail's 3 Grand Spells, Fairy Glitter...\With this magic, I can defeat any enemy!\I'm going to protect the guild!\Is it you?!\Cana!\Cana! response:	Cana-san!
context: Wait for me, Lucy! I'm coming for you!\One of Fairy Tail's 3 Grand Spells, Fairy Glitter...\With this magic, I can defeat any enemy!\I'm going to protect the guild!\Is it you?!\Cana!\Cana!\Cana-san! response:	You're safe!
context: One of Fairy Tail's 3 Grand Spells, Fairy Glitter...\With this magic, I can defeat any enemy!\I'm going to protect the guild!\Is it you?!\Cana!\Cana!\Cana-san!\You're safe! response:	Aye!
context: With this magic, I can defeat any enemy!\I'm going to protect the guild!\Is it you?!\Cana!\Cana!\Cana-san!\You're safe!\Aye! response:	You ain't gonna hurt my friends anymore!
context: I'm going to protect the guild!\Is it you?!\Cana!\Cana!\Cana-san!\You're safe!\Aye!\You ain't gonna hurt my friends anymore! response:	Fairy...
context: Is it you?!\Cana!\Cana!\Cana-san!\You're safe!\Aye!\You ain't gonna hurt my friends anymore!\Fairy... response:	Light?
context: Cana!\Cana!\Cana-san!\You're safe!\Aye!\You ain't gonna hurt my friends anymore!\Fairy...\Light? response:	What's that magic?
context: Cana!\Cana-san!\You're safe!\Aye!\You ain't gonna hurt my friends anymore!\Fairy...\Light?\What's that magic? response:	You're kidding me...
context: Cana-san!\You're safe!\Aye!\You ain't gonna hurt my friends anymore!\Fairy...\Light?\What's that magic?\You're kidding me... response:	That magic you have...
context: You're safe!\Aye!\You ain't gonna hurt my friends anymore!\Fairy...\Light?\What's that magic?\You're kidding me...\That magic you have... response:	Don't tell me... Fairy Glitter?
context: Aye!\You ain't gonna hurt my friends anymore!\Fairy...\Light?\What's that magic?\You're kidding me...\That magic you have...\Don't tell me... Fairy Glitter? response:	Lucy... I'm sorry I left you behind.
context: You ain't gonna hurt my friends anymore!\Fairy...\Light?\What's that magic?\You're kidding me...\That magic you have...\Don't tell me... Fairy Glitter?\Lucy... I'm sorry I left you behind. response:	I don't have any excuse for it.
context: Fairy...\Light?\What's that magic?\You're kidding me...\That magic you have...\Don't tell me... Fairy Glitter?\Lucy... I'm sorry I left you behind.\I don't have any excuse for it. response:	I'm really sorry.
context: Light?\What's that magic?\You're kidding me...\That magic you have...\Don't tell me... Fairy Glitter?\Lucy... I'm sorry I left you behind.\I don't have any excuse for it.\I'm really sorry. response:	Just, believe me now.
context: What's that magic?\You're kidding me...\That magic you have...\Don't tell me... Fairy Glitter?\Lucy... I'm sorry I left you behind.\I don't have any excuse for it.\I'm really sorry.\Just, believe me now. response:	If I can hit him with this magic, I can beat him!
context: You're kidding me...\That magic you have...\Don't tell me... Fairy Glitter?\Lucy... I'm sorry I left you behind.\I don't have any excuse for it.\I'm really sorry.\Just, believe me now.\If I can hit him with this magic, I can beat him! response:	Wow!
context: That magic you have...\Don't tell me... Fairy Glitter?\Lucy... I'm sorry I left you behind.\I don't have any excuse for it.\I'm really sorry.\Just, believe me now.\If I can hit him with this magic, I can beat him!\Wow! response:	Did you get it at the grave?
context: Don't tell me... Fairy Glitter?\Lucy... I'm sorry I left you behind.\I don't have any excuse for it.\I'm really sorry.\Just, believe me now.\If I can hit him with this magic, I can beat him!\Wow!\Did you get it at the grave? response:	What?!
context: Lucy... I'm sorry I left you behind.\I don't have any excuse for it.\I'm really sorry.\Just, believe me now.\If I can hit him with this magic, I can beat him!\Wow!\Did you get it at the grave?\What?! response:	S-She was at the grave?
context: I don't have any excuse for it.\I'm really sorry.\Just, believe me now.\If I can hit him with this magic, I can beat him!\Wow!\Did you get it at the grave?\What?!\S-She was at the grave? response:	Don't tell me the exam...
context: I'm really sorry.\Just, believe me now.\If I can hit him with this magic, I can beat him!\Wow!\Did you get it at the grave?\What?!\S-She was at the grave?\Don't tell me the exam... response:	Let's put that aside for now.
context: Just, believe me now.\If I can hit him with this magic, I can beat him!\Wow!\Did you get it at the grave?\What?!\S-She was at the grave?\Don't tell me the exam...\Let's put that aside for now. response:	Help me to beat this guy, Natsu.
context: If I can hit him with this magic, I can beat him!\Wow!\Did you get it at the grave?\What?!\S-She was at the grave?\Don't tell me the exam...\Let's put that aside for now.\Help me to beat this guy, Natsu. response:	Keep his attention while I gather up the magic power...
context: Wow!\Did you get it at the grave?\What?!\S-She was at the grave?\Don't tell me the exam...\Let's put that aside for now.\Help me to beat this guy, Natsu.\Keep his attention while I gather up the magic power... response:	There is no one who can move under my power of gravity.
context: Did you get it at the grave?\What?!\S-She was at the grave?\Don't tell me the exam...\Let's put that aside for now.\Help me to beat this guy, Natsu.\Keep his attention while I gather up the magic power...\There is no one who can move under my power of gravity. response:	I never would have thought the magic I was searching for would just show up in front of me.
context: What?!\S-She was at the grave?\Don't tell me the exam...\Let's put that aside for now.\Help me to beat this guy, Natsu.\Keep his attention while I gather up the magic power...\There is no one who can move under my power of gravity.\I never would have thought the magic I was searching for would just show up in front of me. response:	Fairy Glitter.
context: S-She was at the grave?\Don't tell me the exam...\Let's put that aside for now.\Help me to beat this guy, Natsu.\Keep his attention while I gather up the magic power...\There is no one who can move under my power of gravity.\I never would have thought the magic I was searching for would just show up in front of me.\Fairy Glitter. response:	I will be taking that spell.
context: Don't tell me the exam...\Let's put that aside for now.\Help me to beat this guy, Natsu.\Keep his attention while I gather up the magic power...\There is no one who can move under my power of gravity.\I never would have thought the magic I was searching for would just show up in front of me.\Fairy Glitter.\I will be taking that spell. response:	Only those in our guild can use this magic!
context: Let's put that aside for now.\Help me to beat this guy, Natsu.\Keep his attention while I gather up the magic power...\There is no one who can move under my power of gravity.\I never would have thought the magic I was searching for would just show up in front of me.\Fairy Glitter.\I will be taking that spell.\Only those in our guild can use this magic! response:	You won't be able to use it!
context: Help me to beat this guy, Natsu.\Keep his attention while I gather up the magic power...\There is no one who can move under my power of gravity.\I never would have thought the magic I was searching for would just show up in front of me.\Fairy Glitter.\I will be taking that spell.\Only those in our guild can use this magic!\You won't be able to use it! response:	If you trace back the origins of magic, all magic first began with a single spell.
context: Keep his attention while I gather up the magic power...\There is no one who can move under my power of gravity.\I never would have thought the magic I was searching for would just show up in front of me.\Fairy Glitter.\I will be taking that spell.\Only those in our guild can use this magic!\You won't be able to use it!\If you trace back the origins of magic, all magic first began with a single spell. response:	Every type of magic originally came from just one.
context: There is no one who can move under my power of gravity.\I never would have thought the magic I was searching for would just show up in front of me.\Fairy Glitter.\I will be taking that spell.\Only those in our guild can use this magic!\You won't be able to use it!\If you trace back the origins of magic, all magic first began with a single spell.\Every type of magic originally came from just one. response:	Just one magic?
context: I never would have thought the magic I was searching for would just show up in front of me.\Fairy Glitter.\I will be taking that spell.\Only those in our guild can use this magic!\You won't be able to use it!\If you trace back the origins of magic, all magic first began with a single spell.\Every type of magic originally came from just one.\Just one magic? response:	I feel like I've heard that somewhere before...
context: Fairy Glitter.\I will be taking that spell.\Only those in our guild can use this magic!\You won't be able to use it!\If you trace back the origins of magic, all magic first began with a single spell.\Every type of magic originally came from just one.\Just one magic?\I feel like I've heard that somewhere before... response:	Those who get close enough to the depths of magic are able to use every type of magic.
context: I will be taking that spell.\Only those in our guild can use this magic!\You won't be able to use it!\If you trace back the origins of magic, all magic first began with a single spell.\Every type of magic originally came from just one.\Just one magic?\I feel like I've heard that somewhere before...\Those who get close enough to the depths of magic are able to use every type of magic. response:	Cana!
context: Only those in our guild can use this magic!\You won't be able to use it!\If you trace back the origins of magic, all magic first began with a single spell.\Every type of magic originally came from just one.\Just one magic?\I feel like I've heard that somewhere before...\Those who get close enough to the depths of magic are able to use every type of magic.\Cana! response:	Move!
context: You won't be able to use it!\If you trace back the origins of magic, all magic first began with a single spell.\Every type of magic originally came from just one.\Just one magic?\I feel like I've heard that somewhere before...\Those who get close enough to the depths of magic are able to use every type of magic.\Cana!\Move! response:	Let me ask you, instead...
context: If you trace back the origins of magic, all magic first began with a single spell.\Every type of magic originally came from just one.\Just one magic?\I feel like I've heard that somewhere before...\Those who get close enough to the depths of magic are able to use every type of magic.\Cana!\Move!\Let me ask you, instead... response:	Can a little girl like you actually use Fairy Glitter?
context: Every type of magic originally came from just one.\Just one magic?\I feel like I've heard that somewhere before...\Those who get close enough to the depths of magic are able to use every type of magic.\Cana!\Move!\Let me ask you, instead...\Can a little girl like you actually use Fairy Glitter? response:	Of course I can!
