context: As we journeyed in search of Naraku's whereabouts, response:	three young monkey sprites appeared before us.
context: Thank you.\How's yourtemperature?\A slight fever.\How's yourthroat? Are you all stuffy?\I've been coughing still.\Here, for you.\Thank you.\Even if it's just a cold, take care. response:	She's right. You've been so sickly lately, Kagome.
context: How's yourtemperature?\A slight fever.\How's yourthroat? Are you all stuffy?\I've been coughing still.\Here, for you.\Thank you.\Even if it's just a cold, take care.\She's right. You've been so sickly lately, Kagome. response:	I know.
context: A slight fever.\How's yourthroat? Are you all stuffy?\I've been coughing still.\Here, for you.\Thank you.\Even if it's just a cold, take care.\She's right. You've been so sickly lately, Kagome.\I know. response:	Does he come to visit you, too?
context: How's yourthroat? Are you all stuffy?\I've been coughing still.\Here, for you.\Thank you.\Even if it's just a cold, take care.\She's right. You've been so sickly lately, Kagome.\I know.\Does he come to visit you, too? response:	He?
context: I've been coughing still.\Here, for you.\Thank you.\Even if it's just a cold, take care.\She's right. You've been so sickly lately, Kagome.\I know.\Does he come to visit you, too?\He? response:	You know... the delinquent.
context: Here, for you.\Thank you.\Even if it's just a cold, take care.\She's right. You've been so sickly lately, Kagome.\I know.\Does he come to visit you, too?\He?\You know... the delinquent. response:	He wouldn't come.
context: Thank you.\Even if it's just a cold, take care.\She's right. You've been so sickly lately, Kagome.\I know.\Does he come to visit you, too?\He?\You know... the delinquent.\He wouldn't come. response:	Why not?!
context: Even if it's just a cold, take care.\She's right. You've been so sickly lately, Kagome.\I know.\Does he come to visit you, too?\He?\You know... the delinquent.\He wouldn't come.\Why not?! response:	He's not kind then?
context: She's right. You've been so sickly lately, Kagome.\I know.\Does he come to visit you, too?\He?\You know... the delinquent.\He wouldn't come.\Why not?!\He's not kind then? response:	It's not that...
context: I know.\Does he come to visit you, too?\He?\You know... the delinquent.\He wouldn't come.\Why not?!\He's not kind then?\It's not that... response:	What's with all this? Hurry and get well!
context: Does he come to visit you, too?\He?\You know... the delinquent.\He wouldn't come.\Why not?!\He's not kind then?\It's not that...\What's with all this? Hurry and get well! response:	He's far away.
context: He?\You know... the delinquent.\He wouldn't come.\Why not?!\He's not kind then?\It's not that...\What's with all this? Hurry and get well!\He's far away. response:	Hmm... far, huh?
context: You know... the delinquent.\He wouldn't come.\Why not?!\He's not kind then?\It's not that...\What's with all this? Hurry and get well!\He's far away.\Hmm... far, huh? response:	Kagome!
context: He wouldn't come.\Why not?!\He's not kind then?\It's not that...\What's with all this? Hurry and get well!\He's far away.\Hmm... far, huh?\Kagome! response:	Someone named Hojo is here.
context: Why not?!\He's not kind then?\It's not that...\What's with all this? Hurry and get well!\He's far away.\Hmm... far, huh?\Kagome!\Someone named Hojo is here. response:	Hojo?!
context: He's not kind then?\It's not that...\What's with all this? Hurry and get well!\He's far away.\Hmm... far, huh?\Kagome!\Someone named Hojo is here.\Hojo?! response:	Hojo?
context: It's not that...\What's with all this? Hurry and get well!\He's far away.\Hmm... far, huh?\Kagome!\Someone named Hojo is here.\Hojo?!\Hojo? response:	Hi!
context: What's with all this? Hurry and get well!\He's far away.\Hmm... far, huh?\Kagome!\Someone named Hojo is here.\Hojo?!\Hojo?\Hi! response:	Hojo... What's the matter?
context: He's far away.\Hmm... far, huh?\Kagome!\Someone named Hojo is here.\Hojo?!\Hojo?\Hi!\Hojo... What's the matter? response:	I heard you caught a cold.
context: Hmm... far, huh?\Kagome!\Someone named Hojo is here.\Hojo?!\Hojo?\Hi!\Hojo... What's the matter?\I heard you caught a cold. response:	So I came to pay you a visit.
context: Kagome!\Someone named Hojo is here.\Hojo?!\Hojo?\Hi!\Hojo... What's the matter?\I heard you caught a cold.\So I came to pay you a visit. response:	I gave it a lot of thought.
context: Someone named Hojo is here.\Hojo?!\Hojo?\Hi!\Hojo... What's the matter?\I heard you caught a cold.\So I came to pay you a visit.\I gave it a lot of thought. response:	I wondered just what I could do for you.
context: Hojo?!\Hojo?\Hi!\Hojo... What's the matter?\I heard you caught a cold.\So I came to pay you a visit.\I gave it a lot of thought.\I wondered just what I could do for you. response:	And...
context: Hojo?\Hi!\Hojo... What's the matter?\I heard you caught a cold.\So I came to pay you a visit.\I gave it a lot of thought.\I wondered just what I could do for you.\And... response:	This is the only thing I could think of that's good foryour health.
context: Hi!\Hojo... What's the matter?\I heard you caught a cold.\So I came to pay you a visit.\I gave it a lot of thought.\I wondered just what I could do for you.\And...\This is the only thing I could think of that's good foryour health. response:	Please eat it.
context: Hojo... What's the matter?\I heard you caught a cold.\So I came to pay you a visit.\I gave it a lot of thought.\I wondered just what I could do for you.\And...\This is the only thing I could think of that's good foryour health.\Please eat it. response:	Thank you.
context: I heard you caught a cold.\So I came to pay you a visit.\I gave it a lot of thought.\I wondered just what I could do for you.\And...\This is the only thing I could think of that's good foryour health.\Please eat it.\Thank you. response:	And also...
context: So I came to pay you a visit.\I gave it a lot of thought.\I wondered just what I could do for you.\And...\This is the only thing I could think of that's good foryour health.\Please eat it.\Thank you.\And also... response:	These are charms for good health.
context: I gave it a lot of thought.\I wondered just what I could do for you.\And...\This is the only thing I could think of that's good foryour health.\Please eat it.\Thank you.\And also...\These are charms for good health. response:	But ljust remembered that yourfamily owns a shrine.
context: I wondered just what I could do for you.\And...\This is the only thing I could think of that's good foryour health.\Please eat it.\Thank you.\And also...\These are charms for good health.\But ljust remembered that yourfamily owns a shrine. response:	Thank you.
context: And...\This is the only thing I could think of that's good foryour health.\Please eat it.\Thank you.\And also...\These are charms for good health.\But ljust remembered that yourfamily owns a shrine.\Thank you. response:	Our charms don't work too well.
context: This is the only thing I could think of that's good foryour health.\Please eat it.\Thank you.\And also...\These are charms for good health.\But ljust remembered that yourfamily owns a shrine.\Thank you.\Our charms don't work too well. response:	Hey!
context: Please eat it.\Thank you.\And also...\These are charms for good health.\But ljust remembered that yourfamily owns a shrine.\Thank you.\Our charms don't work too well.\Hey! response:	And...
context: Thank you.\And also...\These are charms for good health.\But ljust remembered that yourfamily owns a shrine.\Thank you.\Our charms don't work too well.\Hey!\And... response:	These are dumbbells.
context: And also...\These are charms for good health.\But ljust remembered that yourfamily owns a shrine.\Thank you.\Our charms don't work too well.\Hey!\And...\These are dumbbells. response:	I think you should build up your strength.
context: These are charms for good health.\But ljust remembered that yourfamily owns a shrine.\Thank you.\Our charms don't work too well.\Hey!\And...\These are dumbbells.\I think you should build up your strength. response:	Th-Thank you.
context: But ljust remembered that yourfamily owns a shrine.\Thank you.\Our charms don't work too well.\Hey!\And...\These are dumbbells.\I think you should build up your strength.\Th-Thank you. response:	And...
context: Thank you.\Our charms don't work too well.\Hey!\And...\These are dumbbells.\I think you should build up your strength.\Th-Thank you.\And... response:	You still have something else?
context: Our charms don't work too well.\Hey!\And...\These are dumbbells.\I think you should build up your strength.\Th-Thank you.\And...\You still have something else? response:	Why don't you ask him in?
context: Hey!\And...\These are dumbbells.\I think you should build up your strength.\Th-Thank you.\And...\You still have something else?\Why don't you ask him in? response:	Hey you guys...
context: And...\These are dumbbells.\I think you should build up your strength.\Th-Thank you.\And...\You still have something else?\Why don't you ask him in?\Hey you guys... response:	What happened to Kagome?
context: These are dumbbells.\I think you should build up your strength.\Th-Thank you.\And...\You still have something else?\Why don't you ask him in?\Hey you guys...\What happened to Kagome? response:	We sent herback home.
context: I think you should build up your strength.\Th-Thank you.\And...\You still have something else?\Why don't you ask him in?\Hey you guys...\What happened to Kagome?\We sent herback home. response:	Home?
context: Th-Thank you.\And...\You still have something else?\Why don't you ask him in?\Hey you guys...\What happened to Kagome?\We sent herback home.\Home? response:	We thought she'd get better care in her own home.
context: And...\You still have something else?\Why don't you ask him in?\Hey you guys...\What happened to Kagome?\We sent herback home.\Home?\We thought she'd get better care in her own home. response:	So we sent herback.
context: You still have something else?\Why don't you ask him in?\Hey you guys...\What happened to Kagome?\We sent herback home.\Home?\We thought she'd get better care in her own home.\So we sent herback. response:	S-She went home?!
context: Why don't you ask him in?\Hey you guys...\What happened to Kagome?\We sent herback home.\Home?\We thought she'd get better care in her own home.\So we sent herback.\S-She went home?! response:	Just when I...
context: Hey you guys...\What happened to Kagome?\We sent herback home.\Home?\We thought she'd get better care in her own home.\So we sent herback.\S-She went home?!\Just when I... response:	What?
context: What happened to Kagome?\We sent herback home.\Home?\We thought she'd get better care in her own home.\So we sent herback.\S-She went home?!\Just when I...\What? response:	Where did you go without me?
context: We sent herback home.\Home?\We thought she'd get better care in her own home.\So we sent herback.\S-She went home?!\Just when I...\What?\Where did you go without me? response:	Shippo! Why you...!
context: Home?\We thought she'd get better care in her own home.\So we sent herback.\S-She went home?!\Just when I...\What?\Where did you go without me?\Shippo! Why you...! response:	What was that for?!
context: We thought she'd get better care in her own home.\So we sent herback.\S-She went home?!\Just when I...\What?\Where did you go without me?\Shippo! Why you...!\What was that for?! response:	Shaddup!
context: So we sent herback.\S-She went home?!\Just when I...\What?\Where did you go without me?\Shippo! Why you...!\What was that for?!\Shaddup! response:	Oh, looks delicious!
context: S-She went home?!\Just when I...\What?\Where did you go without me?\Shippo! Why you...!\What was that for?!\Shaddup!\Oh, looks delicious! response:	Gifts forus?
context: Just when I...\What?\Where did you go without me?\Shippo! Why you...!\What was that for?!\Shaddup!\Oh, looks delicious!\Gifts forus? response:	Er... no... he's probably preparing forthe long journey.
context: What?\Where did you go without me?\Shippo! Why you...!\What was that for?!\Shaddup!\Oh, looks delicious!\Gifts forus?\Er... no... he's probably preparing forthe long journey. response:	I don't think so...
context: Where did you go without me?\Shippo! Why you...!\What was that for?!\Shaddup!\Oh, looks delicious!\Gifts forus?\Er... no... he's probably preparing forthe long journey.\I don't think so... response:	I'm sure I put it away in here.
context: Shippo! Why you...!\What was that for?!\Shaddup!\Oh, looks delicious!\Gifts forus?\Er... no... he's probably preparing forthe long journey.\I don't think so...\I'm sure I put it away in here. response:	Hey, Grandpa. What're you doing?
context: What was that for?!\Shaddup!\Oh, looks delicious!\Gifts forus?\Er... no... he's probably preparing forthe long journey.\I don't think so...\I'm sure I put it away in here.\Hey, Grandpa. What're you doing? response:	Oh! Here it is!
context: Shaddup!\Oh, looks delicious!\Gifts forus?\Er... no... he's probably preparing forthe long journey.\I don't think so...\I'm sure I put it away in here.\Hey, Grandpa. What're you doing?\Oh! Here it is! response:	The secret medicine passed down through generations of Higurashi.
context: Oh, looks delicious!\Gifts forus?\Er... no... he's probably preparing forthe long journey.\I don't think so...\I'm sure I put it away in here.\Hey, Grandpa. What're you doing?\Oh! Here it is!\The secret medicine passed down through generations of Higurashi. response:	It works on any and all illnesses!
context: Gifts forus?\Er... no... he's probably preparing forthe long journey.\I don't think so...\I'm sure I put it away in here.\Hey, Grandpa. What're you doing?\Oh! Here it is!\The secret medicine passed down through generations of Higurashi.\It works on any and all illnesses! response:	I finally found it!
context: Er... no... he's probably preparing forthe long journey.\I don't think so...\I'm sure I put it away in here.\Hey, Grandpa. What're you doing?\Oh! Here it is!\The secret medicine passed down through generations of Higurashi.\It works on any and all illnesses!\I finally found it! response:	Grandpa...
context: I don't think so...\I'm sure I put it away in here.\Hey, Grandpa. What're you doing?\Oh! Here it is!\The secret medicine passed down through generations of Higurashi.\It works on any and all illnesses!\I finally found it!\Grandpa... response:	Kagome's cold will be cured in a flash!
context: I'm sure I put it away in here.\Hey, Grandpa. What're you doing?\Oh! Here it is!\The secret medicine passed down through generations of Higurashi.\It works on any and all illnesses!\I finally found it!\Grandpa...\Kagome's cold will be cured in a flash! response:	- Oh well... - Just wait, Kagome!
context: Hey, Grandpa. What're you doing?\Oh! Here it is!\The secret medicine passed down through generations of Higurashi.\It works on any and all illnesses!\I finally found it!\Grandpa...\Kagome's cold will be cured in a flash!\- Oh well... - Just wait, Kagome! response:	- Oh, Buyo! - I'll have in ten minutes!
context: Oh! Here it is!\The secret medicine passed down through generations of Higurashi.\It works on any and all illnesses!\I finally found it!\Grandpa...\Kagome's cold will be cured in a flash!\- Oh well... - Just wait, Kagome!\- Oh, Buyo! - I'll have in ten minutes! response:	Kagome!
context: The secret medicine passed down through generations of Higurashi.\It works on any and all illnesses!\I finally found it!\Grandpa...\Kagome's cold will be cured in a flash!\- Oh well... - Just wait, Kagome!\- Oh, Buyo! - I'll have in ten minutes!\Kagome! response:	Grandpa... sorry!
context: It works on any and all illnesses!\I finally found it!\Grandpa...\Kagome's cold will be cured in a flash!\- Oh well... - Just wait, Kagome!\- Oh, Buyo! - I'll have in ten minutes!\Kagome!\Grandpa... sorry! response:	Kagome!
context: I finally found it!\Grandpa...\Kagome's cold will be cured in a flash!\- Oh well... - Just wait, Kagome!\- Oh, Buyo! - I'll have in ten minutes!\Kagome!\Grandpa... sorry!\Kagome! response:	Oh... what have I done?
context: Grandpa...\Kagome's cold will be cured in a flash!\- Oh well... - Just wait, Kagome!\- Oh, Buyo! - I'll have in ten minutes!\Kagome!\Grandpa... sorry!\Kagome!\Oh... what have I done? response:	Yo!
context: Kagome's cold will be cured in a flash!\- Oh well... - Just wait, Kagome!\- Oh, Buyo! - I'll have in ten minutes!\Kagome!\Grandpa... sorry!\Kagome!\Oh... what have I done?\Yo! response:	Oh, Inuyasha!
context: - Oh well... - Just wait, Kagome!\- Oh, Buyo! - I'll have in ten minutes!\Kagome!\Grandpa... sorry!\Kagome!\Oh... what have I done?\Yo!\Oh, Inuyasha! response:	How's Kagome?
context: - Oh, Buyo! - I'll have in ten minutes!\Kagome!\Grandpa... sorry!\Kagome!\Oh... what have I done?\Yo!\Oh, Inuyasha!\How's Kagome? response:	She's been asleep.
context: Kagome!\Grandpa... sorry!\Kagome!\Oh... what have I done?\Yo!\Oh, Inuyasha!\How's Kagome?\She's been asleep. response:	But now she has some visitors.
context: Grandpa... sorry!\Kagome!\Oh... what have I done?\Yo!\Oh, Inuyasha!\How's Kagome?\She's been asleep.\But now she has some visitors. response:	Oh... I see.
context: Kagome!\Oh... what have I done?\Yo!\Oh, Inuyasha!\How's Kagome?\She's been asleep.\But now she has some visitors.\Oh... I see. response:	All the boys went wild.
context: Oh... what have I done?\Yo!\Oh, Inuyasha!\How's Kagome?\She's been asleep.\But now she has some visitors.\Oh... I see.\All the boys went wild. response:	And Ayumi...
context: Yo!\Oh, Inuyasha!\How's Kagome?\She's been asleep.\But now she has some visitors.\Oh... I see.\All the boys went wild.\And Ayumi... response:	Stop already.
context: Oh, Inuyasha!\How's Kagome?\She's been asleep.\But now she has some visitors.\Oh... I see.\All the boys went wild.\And Ayumi...\Stop already. response:	It became the talk of my class, too.
context: How's Kagome?\She's been asleep.\But now she has some visitors.\Oh... I see.\All the boys went wild.\And Ayumi...\Stop already.\It became the talk of my class, too. response:	Really?! Oh no!
context: She's been asleep.\But now she has some visitors.\Oh... I see.\All the boys went wild.\And Ayumi...\Stop already.\It became the talk of my class, too.\Really?! Oh no! response:	I'll bet it's all over the school.
context: But now she has some visitors.\Oh... I see.\All the boys went wild.\And Ayumi...\Stop already.\It became the talk of my class, too.\Really?! Oh no!\I'll bet it's all over the school. response:	I know!
context: Oh... I see.\All the boys went wild.\And Ayumi...\Stop already.\It became the talk of my class, too.\Really?! Oh no!\I'll bet it's all over the school.\I know! response:	Excuse me for a minute.
context: All the boys went wild.\And Ayumi...\Stop already.\It became the talk of my class, too.\Really?! Oh no!\I'll bet it's all over the school.\I know!\Excuse me for a minute. response:	So you're here!
context: And Ayumi...\Stop already.\It became the talk of my class, too.\Really?! Oh no!\I'll bet it's all over the school.\I know!\Excuse me for a minute.\So you're here! response:	Here?
context: Stop already.\It became the talk of my class, too.\Really?! Oh no!\I'll bet it's all over the school.\I know!\Excuse me for a minute.\So you're here!\Here? response:	To Kagome's house.
context: It became the talk of my class, too.\Really?! Oh no!\I'll bet it's all over the school.\I know!\Excuse me for a minute.\So you're here!\Here?\To Kagome's house. response:	Well, ljust came to see how she was.
context: Really?! Oh no!\I'll bet it's all over the school.\I know!\Excuse me for a minute.\So you're here!\Here?\To Kagome's house.\Well, ljust came to see how she was. response:	You're so kind.
context: I'll bet it's all over the school.\I know!\Excuse me for a minute.\So you're here!\Here?\To Kagome's house.\Well, ljust came to see how she was.\You're so kind. response:	Err... no...
context: I know!\Excuse me for a minute.\So you're here!\Here?\To Kagome's house.\Well, ljust came to see how she was.\You're so kind.\Err... no... response:	He doesn't know, afterall.
context: Excuse me for a minute.\So you're here!\Here?\To Kagome's house.\Well, ljust came to see how she was.\You're so kind.\Err... no...\He doesn't know, afterall. response:	That Kagome has a boyfriend.
context: So you're here!\Here?\To Kagome's house.\Well, ljust came to see how she was.\You're so kind.\Err... no...\He doesn't know, afterall.\That Kagome has a boyfriend. response:	But Kagome's boyfriend is also kind.
context: Here?\To Kagome's house.\Well, ljust came to see how she was.\You're so kind.\Err... no...\He doesn't know, afterall.\That Kagome has a boyfriend.\But Kagome's boyfriend is also kind. response:	Dummy!
context: To Kagome's house.\Well, ljust came to see how she was.\You're so kind.\Err... no...\He doesn't know, afterall.\That Kagome has a boyfriend.\But Kagome's boyfriend is also kind.\Dummy! response:	Um... were you just talking about me?
context: Well, ljust came to see how she was.\You're so kind.\Err... no...\He doesn't know, afterall.\That Kagome has a boyfriend.\But Kagome's boyfriend is also kind.\Dummy!\Um... were you just talking about me? response:	No! Kagome has...
context: You're so kind.\Err... no...\He doesn't know, afterall.\That Kagome has a boyfriend.\But Kagome's boyfriend is also kind.\Dummy!\Um... were you just talking about me?\No! Kagome has... response:	Umm... Well...
context: Err... no...\He doesn't know, afterall.\That Kagome has a boyfriend.\But Kagome's boyfriend is also kind.\Dummy!\Um... were you just talking about me?\No! Kagome has...\Umm... Well... response:	There's someone who's been bothering Kagome.
context: He doesn't know, afterall.\That Kagome has a boyfriend.\But Kagome's boyfriend is also kind.\Dummy!\Um... were you just talking about me?\No! Kagome has...\Umm... Well...\There's someone who's been bothering Kagome. response:	Yes, yes!
context: That Kagome has a boyfriend.\But Kagome's boyfriend is also kind.\Dummy!\Um... were you just talking about me?\No! Kagome has...\Umm... Well...\There's someone who's been bothering Kagome.\Yes, yes! response:	Someone who won't even come to see her when she's sick!
context: But Kagome's boyfriend is also kind.\Dummy!\Um... were you just talking about me?\No! Kagome has...\Umm... Well...\There's someone who's been bothering Kagome.\Yes, yes!\Someone who won't even come to see her when she's sick! response:	School seems so much fun.
context: Dummy!\Um... were you just talking about me?\No! Kagome has...\Umm... Well...\There's someone who's been bothering Kagome.\Yes, yes!\Someone who won't even come to see her when she's sick!\School seems so much fun. response:	Sis!
context: Um... were you just talking about me?\No! Kagome has...\Umm... Well...\There's someone who's been bothering Kagome.\Yes, yes!\Someone who won't even come to see her when she's sick!\School seems so much fun.\Sis! response:	Sota, what is it?
context: No! Kagome has...\Umm... Well...\There's someone who's been bothering Kagome.\Yes, yes!\Someone who won't even come to see her when she's sick!\School seems so much fun.\Sis!\Sota, what is it? response:	Inuyasha is here.
context: Umm... Well...\There's someone who's been bothering Kagome.\Yes, yes!\Someone who won't even come to see her when she's sick!\School seems so much fun.\Sis!\Sota, what is it?\Inuyasha is here. response:	Inuyasha!
context: There's someone who's been bothering Kagome.\Yes, yes!\Someone who won't even come to see her when she's sick!\School seems so much fun.\Sis!\Sota, what is it?\Inuyasha is here.\Inuyasha! response:	Yo!
context: Yes, yes!\Someone who won't even come to see her when she's sick!\School seems so much fun.\Sis!\Sota, what is it?\Inuyasha is here.\Inuyasha!\Yo! response:	What's wrong?
context: Someone who won't even come to see her when she's sick!\School seems so much fun.\Sis!\Sota, what is it?\Inuyasha is here.\Inuyasha!\Yo!\What's wrong? response:	Nothing. Just came to see how you were.
context: School seems so much fun.\Sis!\Sota, what is it?\Inuyasha is here.\Inuyasha!\Yo!\What's wrong?\Nothing. Just came to see how you were. response:	You came to visit me?
context: Sis!\Sota, what is it?\Inuyasha is here.\Inuyasha!\Yo!\What's wrong?\Nothing. Just came to see how you were.\You came to visit me? response:	Silly!
context: Sota, what is it?\Inuyasha is here.\Inuyasha!\Yo!\What's wrong?\Nothing. Just came to see how you were.\You came to visit me?\Silly! response:	Shippo and Sango were worried!
context: Inuyasha is here.\Inuyasha!\Yo!\What's wrong?\Nothing. Just came to see how you were.\You came to visit me?\Silly!\Shippo and Sango were worried! response:	But I'm the only one able to come here.
context: Inuyasha!\Yo!\What's wrong?\Nothing. Just came to see how you were.\You came to visit me?\Silly!\Shippo and Sango were worried!\But I'm the only one able to come here. response:	Thank you.
context: Yo!\What's wrong?\Nothing. Just came to see how you were.\You came to visit me?\Silly!\Shippo and Sango were worried!\But I'm the only one able to come here.\Thank you. response:	I feel better, but my fever won't go down.
context: What's wrong?\Nothing. Just came to see how you were.\You came to visit me?\Silly!\Shippo and Sango were worried!\But I'm the only one able to come here.\Thank you.\I feel better, but my fever won't go down. response:	I'm feeling a little tired, too.
context: Nothing. Just came to see how you were.\You came to visit me?\Silly!\Shippo and Sango were worried!\But I'm the only one able to come here.\Thank you.\I feel better, but my fever won't go down.\I'm feeling a little tired, too. response:	l-I didn't come here to take you back, y'know?
context: You came to visit me?\Silly!\Shippo and Sango were worried!\But I'm the only one able to come here.\Thank you.\I feel better, but my fever won't go down.\I'm feeling a little tired, too.\l-I didn't come here to take you back, y'know? response:	You'd bettertake care.
context: Silly!\Shippo and Sango were worried!\But I'm the only one able to come here.\Thank you.\I feel better, but my fever won't go down.\I'm feeling a little tired, too.\l-I didn't come here to take you back, y'know?\You'd bettertake care. response:	Better if you rest here...
context: Shippo and Sango were worried!\But I'm the only one able to come here.\Thank you.\I feel better, but my fever won't go down.\I'm feeling a little tired, too.\l-I didn't come here to take you back, y'know?\You'd bettertake care.\Better if you rest here... response:	She's gone!
context: But I'm the only one able to come here.\Thank you.\I feel better, but my fever won't go down.\I'm feeling a little tired, too.\l-I didn't come here to take you back, y'know?\You'd bettertake care.\Better if you rest here...\She's gone! response:	Higurashi...
context: Thank you.\I feel better, but my fever won't go down.\I'm feeling a little tired, too.\l-I didn't come here to take you back, y'know?\You'd bettertake care.\Better if you rest here...\She's gone!\Higurashi... response:	What is it?
context: I feel better, but my fever won't go down.\I'm feeling a little tired, too.\l-I didn't come here to take you back, y'know?\You'd bettertake care.\Better if you rest here...\She's gone!\Higurashi...\What is it? response:	Um... Well...
context: I'm feeling a little tired, too.\l-I didn't come here to take you back, y'know?\You'd bettertake care.\Better if you rest here...\She's gone!\Higurashi...\What is it?\Um... Well... response:	Is there something troubling you?
context: l-I didn't come here to take you back, y'know?\You'd bettertake care.\Better if you rest here...\She's gone!\Higurashi...\What is it?\Um... Well...\Is there something troubling you? response:	Troubling me?
context: You'd bettertake care.\Better if you rest here...\She's gone!\Higurashi...\What is it?\Um... Well...\Is there something troubling you?\Troubling me? response:	Well, not really.
context: Better if you rest here...\She's gone!\Higurashi...\What is it?\Um... Well...\Is there something troubling you?\Troubling me?\Well, not really. response:	And I'm not worried.
context: She's gone!\Higurashi...\What is it?\Um... Well...\Is there something troubling you?\Troubling me?\Well, not really.\And I'm not worried. response:	Well, I...
context: Higurashi...\What is it?\Um... Well...\Is there something troubling you?\Troubling me?\Well, not really.\And I'm not worried.\Well, I... response:	I wish you would confide in me more.
context: What is it?\Um... Well...\Is there something troubling you?\Troubling me?\Well, not really.\And I'm not worried.\Well, I...\I wish you would confide in me more. response:	I'll do whatever I can for you.
context: Um... Well...\Is there something troubling you?\Troubling me?\Well, not really.\And I'm not worried.\Well, I...\I wish you would confide in me more.\I'll do whatever I can for you. response:	So...
context: Is there something troubling you?\Troubling me?\Well, not really.\And I'm not worried.\Well, I...\I wish you would confide in me more.\I'll do whatever I can for you.\So... response:	Since we're going out, it's the least...
context: Troubling me?\Well, not really.\And I'm not worried.\Well, I...\I wish you would confide in me more.\I'll do whatever I can for you.\So...\Since we're going out, it's the least... response:	Umm... huh?
context: Well, not really.\And I'm not worried.\Well, I...\I wish you would confide in me more.\I'll do whatever I can for you.\So...\Since we're going out, it's the least...\Umm... huh? response:	Don't you think this will be on it?
context: And I'm not worried.\Well, I...\I wish you would confide in me more.\I'll do whatever I can for you.\So...\Since we're going out, it's the least...\Umm... huh?\Don't you think this will be on it? response:	I think so.
context: Well, I...\I wish you would confide in me more.\I'll do whatever I can for you.\So...\Since we're going out, it's the least...\Umm... huh?\Don't you think this will be on it?\I think so. response:	What's going on?
context: I wish you would confide in me more.\I'll do whatever I can for you.\So...\Since we're going out, it's the least...\Umm... huh?\Don't you think this will be on it?\I think so.\What's going on? response:	Tomorrow's the comprehension test.
context: I'll do whatever I can for you.\So...\Since we're going out, it's the least...\Umm... huh?\Don't you think this will be on it?\I think so.\What's going on?\Tomorrow's the comprehension test. response:	Test?!
context: So...\Since we're going out, it's the least...\Umm... huh?\Don't you think this will be on it?\I think so.\What's going on?\Tomorrow's the comprehension test.\Test?! response:	And it's going to be used to determine our course of study.
context: Since we're going out, it's the least...\Umm... huh?\Don't you think this will be on it?\I think so.\What's going on?\Tomorrow's the comprehension test.\Test?!\And it's going to be used to determine our course of study. response:	Forhigh school?!
context: Umm... huh?\Don't you think this will be on it?\I think so.\What's going on?\Tomorrow's the comprehension test.\Test?!\And it's going to be used to determine our course of study.\Forhigh school?! response:	Have you been studying during your absence?
context: Don't you think this will be on it?\I think so.\What's going on?\Tomorrow's the comprehension test.\Test?!\And it's going to be used to determine our course of study.\Forhigh school?!\Have you been studying during your absence? response:	Not too much.
context: I think so.\What's going on?\Tomorrow's the comprehension test.\Test?!\And it's going to be used to determine our course of study.\Forhigh school?!\Have you been studying during your absence?\Not too much. response:	Kagome can't help it.
context: What's going on?\Tomorrow's the comprehension test.\Test?!\And it's going to be used to determine our course of study.\Forhigh school?!\Have you been studying during your absence?\Not too much.\Kagome can't help it. response:	Besides, she's noteven sure if she can make it to school tomorrow.
context: Tomorrow's the comprehension test.\Test?!\And it's going to be used to determine our course of study.\Forhigh school?!\Have you been studying during your absence?\Not too much.\Kagome can't help it.\Besides, she's noteven sure if she can make it to school tomorrow. response:	Say...
context: Test?!\And it's going to be used to determine our course of study.\Forhigh school?!\Have you been studying during your absence?\Not too much.\Kagome can't help it.\Besides, she's noteven sure if she can make it to school tomorrow.\Say... response:	What'll we be tested on?
context: And it's going to be used to determine our course of study.\Forhigh school?!\Have you been studying during your absence?\Not too much.\Kagome can't help it.\Besides, she's noteven sure if she can make it to school tomorrow.\Say...\What'll we be tested on? response:	What?!
context: Forhigh school?!\Have you been studying during your absence?\Not too much.\Kagome can't help it.\Besides, she's noteven sure if she can make it to school tomorrow.\Say...\What'll we be tested on?\What?! response:	You plan on taking the test when you're sick?
context: Have you been studying during your absence?\Not too much.\Kagome can't help it.\Besides, she's noteven sure if she can make it to school tomorrow.\Say...\What'll we be tested on?\What?!\You plan on taking the test when you're sick? response:	Of course!
context: Not too much.\Kagome can't help it.\Besides, she's noteven sure if she can make it to school tomorrow.\Say...\What'll we be tested on?\What?!\You plan on taking the test when you're sick?\Of course! response:	Higurashi, are you all right?
context: Kagome can't help it.\Besides, she's noteven sure if she can make it to school tomorrow.\Say...\What'll we be tested on?\What?!\You plan on taking the test when you're sick?\Of course!\Higurashi, are you all right? response:	Hojo! Please!
context: Besides, she's noteven sure if she can make it to school tomorrow.\Say...\What'll we be tested on?\What?!\You plan on taking the test when you're sick?\Of course!\Higurashi, are you all right?\Hojo! Please! response:	I knew it! There is something troubling you!
context: Say...\What'll we be tested on?\What?!\You plan on taking the test when you're sick?\Of course!\Higurashi, are you all right?\Hojo! Please!\I knew it! There is something troubling you! response:	Please help me study!
context: What'll we be tested on?\What?!\You plan on taking the test when you're sick?\Of course!\Higurashi, are you all right?\Hojo! Please!\I knew it! There is something troubling you!\Please help me study! response:	Is it okay for herto stay up?
context: What?!\You plan on taking the test when you're sick?\Of course!\Higurashi, are you all right?\Hojo! Please!\I knew it! There is something troubling you!\Please help me study!\Is it okay for herto stay up? response:	There's an emphasis on math and science.
