context: And now an update on the vicious assault that occurred yesterday response:	in front of Toyosu station.
context: I will relay your opinion to Number 26.\No, I will speak with him directly.\Understood.\Morning, Number 26.\I have a name: Umeda.\Morning, Umeda-san.\This is LOAD, right?\Yes. response:	What's your real name?
context: No, I will speak with him directly.\Understood.\Morning, Number 26.\I have a name: Umeda.\Morning, Umeda-san.\This is LOAD, right?\Yes.\What's your real name? response:	I'm sorry, but my policy is not to say.
context: Understood.\Morning, Number 26.\I have a name: Umeda.\Morning, Umeda-san.\This is LOAD, right?\Yes.\What's your real name?\I'm sorry, but my policy is not to say. response:	Why?
context: Morning, Number 26.\I have a name: Umeda.\Morning, Umeda-san.\This is LOAD, right?\Yes.\What's your real name?\I'm sorry, but my policy is not to say.\Why? response:	Because I believe GALAX doesn't need a solitary leader.
context: I have a name: Umeda.\Morning, Umeda-san.\This is LOAD, right?\Yes.\What's your real name?\I'm sorry, but my policy is not to say.\Why?\Because I believe GALAX doesn't need a solitary leader. response:	No, it's because you want to be able
context: Morning, Umeda-san.\This is LOAD, right?\Yes.\What's your real name?\I'm sorry, but my policy is not to say.\Why?\Because I believe GALAX doesn't need a solitary leader.\No, it's because you want to be able response:	to abandon everything and be irresponsible when the time comes.
context: This is LOAD, right?\Yes.\What's your real name?\I'm sorry, but my policy is not to say.\Why?\Because I believe GALAX doesn't need a solitary leader.\No, it's because you want to be able\to abandon everything and be irresponsible when the time comes. response:	It does not matter what you think of it.
context: Yes.\What's your real name?\I'm sorry, but my policy is not to say.\Why?\Because I believe GALAX doesn't need a solitary leader.\No, it's because you want to be able\to abandon everything and be irresponsible when the time comes.\It does not matter what you think of it. response:	It appears you are dissatisfied with me.
context: What's your real name?\I'm sorry, but my policy is not to say.\Why?\Because I believe GALAX doesn't need a solitary leader.\No, it's because you want to be able\to abandon everything and be irresponsible when the time comes.\It does not matter what you think of it.\It appears you are dissatisfied with me. response:	You must know why.
context: I'm sorry, but my policy is not to say.\Why?\Because I believe GALAX doesn't need a solitary leader.\No, it's because you want to be able\to abandon everything and be irresponsible when the time comes.\It does not matter what you think of it.\It appears you are dissatisfied with me.\You must know why. response:	The use of CROWDS is forbidden for the time being.
context: Why?\Because I believe GALAX doesn't need a solitary leader.\No, it's because you want to be able\to abandon everything and be irresponsible when the time comes.\It does not matter what you think of it.\It appears you are dissatisfied with me.\You must know why.\The use of CROWDS is forbidden for the time being. response:	Explain why.
context: Because I believe GALAX doesn't need a solitary leader.\No, it's because you want to be able\to abandon everything and be irresponsible when the time comes.\It does not matter what you think of it.\It appears you are dissatisfied with me.\You must know why.\The use of CROWDS is forbidden for the time being.\Explain why. response:	It has developed minor functionality issues.
context: No, it's because you want to be able\to abandon everything and be irresponsible when the time comes.\It does not matter what you think of it.\It appears you are dissatisfied with me.\You must know why.\The use of CROWDS is forbidden for the time being.\Explain why.\It has developed minor functionality issues. response:	You're a bad liar.
context: to abandon everything and be irresponsible when the time comes.\It does not matter what you think of it.\It appears you are dissatisfied with me.\You must know why.\The use of CROWDS is forbidden for the time being.\Explain why.\It has developed minor functionality issues.\You're a bad liar. response:	What do you mean?
context: It does not matter what you think of it.\It appears you are dissatisfied with me.\You must know why.\The use of CROWDS is forbidden for the time being.\Explain why.\It has developed minor functionality issues.\You're a bad liar.\What do you mean? response:	You want to get all the credit, don't you?
context: It appears you are dissatisfied with me.\You must know why.\The use of CROWDS is forbidden for the time being.\Explain why.\It has developed minor functionality issues.\You're a bad liar.\What do you mean?\You want to get all the credit, don't you? response:	Credit?
context: You must know why.\The use of CROWDS is forbidden for the time being.\Explain why.\It has developed minor functionality issues.\You're a bad liar.\What do you mean?\You want to get all the credit, don't you?\Credit? response:	Don't play dumb.
context: The use of CROWDS is forbidden for the time being.\Explain why.\It has developed minor functionality issues.\You're a bad liar.\What do you mean?\You want to get all the credit, don't you?\Credit?\Don't play dumb. response:	If used, CROWDS can easily change the world.
context: Explain why.\It has developed minor functionality issues.\You're a bad liar.\What do you mean?\You want to get all the credit, don't you?\Credit?\Don't play dumb.\If used, CROWDS can easily change the world. response:	For example?
context: It has developed minor functionality issues.\You're a bad liar.\What do you mean?\You want to get all the credit, don't you?\Credit?\Don't play dumb.\If used, CROWDS can easily change the world.\For example? response:	For example, we can just kill incompetent politicians.
context: You're a bad liar.\What do you mean?\You want to get all the credit, don't you?\Credit?\Don't play dumb.\If used, CROWDS can easily change the world.\For example?\For example, we can just kill incompetent politicians. response:	Execute vile criminals.
context: What do you mean?\You want to get all the credit, don't you?\Credit?\Don't play dumb.\If used, CROWDS can easily change the world.\For example?\For example, we can just kill incompetent politicians.\Execute vile criminals. response:	Crush corporations that are repeat offenders.
context: You want to get all the credit, don't you?\Credit?\Don't play dumb.\If used, CROWDS can easily change the world.\For example?\For example, we can just kill incompetent politicians.\Execute vile criminals.\Crush corporations that are repeat offenders. response:	Would that change the world?
context: Credit?\Don't play dumb.\If used, CROWDS can easily change the world.\For example?\For example, we can just kill incompetent politicians.\Execute vile criminals.\Crush corporations that are repeat offenders.\Would that change the world? response:	Isn't that what CROWDS is for?
context: Don't play dumb.\If used, CROWDS can easily change the world.\For example?\For example, we can just kill incompetent politicians.\Execute vile criminals.\Crush corporations that are repeat offenders.\Would that change the world?\Isn't that what CROWDS is for? response:	Will the world change, just by saving people's lives?
context: If used, CROWDS can easily change the world.\For example?\For example, we can just kill incompetent politicians.\Execute vile criminals.\Crush corporations that are repeat offenders.\Would that change the world?\Isn't that what CROWDS is for?\Will the world change, just by saving people's lives? response:	This is the real deal.
context: For example?\For example, we can just kill incompetent politicians.\Execute vile criminals.\Crush corporations that are repeat offenders.\Would that change the world?\Isn't that what CROWDS is for?\Will the world change, just by saving people's lives?\This is the real deal. response:	But now you want to keep CROWDS for yourself,
context: For example, we can just kill incompetent politicians.\Execute vile criminals.\Crush corporations that are repeat offenders.\Would that change the world?\Isn't that what CROWDS is for?\Will the world change, just by saving people's lives?\This is the real deal.\But now you want to keep CROWDS for yourself, response:	to give yourself credit.
context: Execute vile criminals.\Crush corporations that are repeat offenders.\Would that change the world?\Isn't that what CROWDS is for?\Will the world change, just by saving people's lives?\This is the real deal.\But now you want to keep CROWDS for yourself,\to give yourself credit. response:	What is this credit you speak of?
context: Crush corporations that are repeat offenders.\Would that change the world?\Isn't that what CROWDS is for?\Will the world change, just by saving people's lives?\This is the real deal.\But now you want to keep CROWDS for yourself,\to give yourself credit.\What is this credit you speak of? response:	What is it that you want?
context: Would that change the world?\Isn't that what CROWDS is for?\Will the world change, just by saving people's lives?\This is the real deal.\But now you want to keep CROWDS for yourself,\to give yourself credit.\What is this credit you speak of?\What is it that you want? response:	Don't put on airs, LOAD.
context: Isn't that what CROWDS is for?\Will the world change, just by saving people's lives?\This is the real deal.\But now you want to keep CROWDS for yourself,\to give yourself credit.\What is this credit you speak of?\What is it that you want?\Don't put on airs, LOAD. response:	Let's get real.
context: Will the world change, just by saving people's lives?\This is the real deal.\But now you want to keep CROWDS for yourself,\to give yourself credit.\What is this credit you speak of?\What is it that you want?\Don't put on airs, LOAD.\Let's get real. response:	We, the Hundred, have endangered
context: This is the real deal.\But now you want to keep CROWDS for yourself,\to give yourself credit.\What is this credit you speak of?\What is it that you want?\Don't put on airs, LOAD.\Let's get real.\We, the Hundred, have endangered response:	ourselves many times over for this world.
context: But now you want to keep CROWDS for yourself,\to give yourself credit.\What is this credit you speak of?\What is it that you want?\Don't put on airs, LOAD.\Let's get real.\We, the Hundred, have endangered\ourselves many times over for this world. response:	Isn't it about time that our efforts are rewarded?
context: to give yourself credit.\What is this credit you speak of?\What is it that you want?\Don't put on airs, LOAD.\Let's get real.\We, the Hundred, have endangered\ourselves many times over for this world.\Isn't it about time that our efforts are rewarded? response:	The world is full of praise for what we've done.
context: What is this credit you speak of?\What is it that you want?\Don't put on airs, LOAD.\Let's get real.\We, the Hundred, have endangered\ourselves many times over for this world.\Isn't it about time that our efforts are rewarded?\The world is full of praise for what we've done. response:	It's about time we revealed ourselves.
context: What is it that you want?\Don't put on airs, LOAD.\Let's get real.\We, the Hundred, have endangered\ourselves many times over for this world.\Isn't it about time that our efforts are rewarded?\The world is full of praise for what we've done.\It's about time we revealed ourselves. response:	Everyone can become heroes.
context: Don't put on airs, LOAD.\Let's get real.\We, the Hundred, have endangered\ourselves many times over for this world.\Isn't it about time that our efforts are rewarded?\The world is full of praise for what we've done.\It's about time we revealed ourselves.\Everyone can become heroes. response:	And that's credit?
context: Let's get real.\We, the Hundred, have endangered\ourselves many times over for this world.\Isn't it about time that our efforts are rewarded?\The world is full of praise for what we've done.\It's about time we revealed ourselves.\Everyone can become heroes.\And that's credit? response:	You want praise?
context: We, the Hundred, have endangered\ourselves many times over for this world.\Isn't it about time that our efforts are rewarded?\The world is full of praise for what we've done.\It's about time we revealed ourselves.\Everyone can become heroes.\And that's credit?\You want praise? response:	Reputation?
context: ourselves many times over for this world.\Isn't it about time that our efforts are rewarded?\The world is full of praise for what we've done.\It's about time we revealed ourselves.\Everyone can become heroes.\And that's credit?\You want praise?\Reputation? response:	Not just me. Everyone thinks the same.
context: Isn't it about time that our efforts are rewarded?\The world is full of praise for what we've done.\It's about time we revealed ourselves.\Everyone can become heroes.\And that's credit?\You want praise?\Reputation?\Not just me. Everyone thinks the same. response:	Is that true?
context: The world is full of praise for what we've done.\It's about time we revealed ourselves.\Everyone can become heroes.\And that's credit?\You want praise?\Reputation?\Not just me. Everyone thinks the same.\Is that true? response:	I am interested in becoming neither a hero nor a leader.
context: It's about time we revealed ourselves.\Everyone can become heroes.\And that's credit?\You want praise?\Reputation?\Not just me. Everyone thinks the same.\Is that true?\I am interested in becoming neither a hero nor a leader. response:	A world that lionizes heroes and leaders is still primitive.
context: Everyone can become heroes.\And that's credit?\You want praise?\Reputation?\Not just me. Everyone thinks the same.\Is that true?\I am interested in becoming neither a hero nor a leader.\A world that lionizes heroes and leaders is still primitive. response:	Until individuals who are neither
context: And that's credit?\You want praise?\Reputation?\Not just me. Everyone thinks the same.\Is that true?\I am interested in becoming neither a hero nor a leader.\A world that lionizes heroes and leaders is still primitive.\Until individuals who are neither response:	change their way of thinking and rise to action,
context: You want praise?\Reputation?\Not just me. Everyone thinks the same.\Is that true?\I am interested in becoming neither a hero nor a leader.\A world that lionizes heroes and leaders is still primitive.\Until individuals who are neither\change their way of thinking and rise to action, response:	the world can never be updated.
context: Reputation?\Not just me. Everyone thinks the same.\Is that true?\I am interested in becoming neither a hero nor a leader.\A world that lionizes heroes and leaders is still primitive.\Until individuals who are neither\change their way of thinking and rise to action,\the world can never be updated. response:	Like I said, ditch the idealism!
context: Not just me. Everyone thinks the same.\Is that true?\I am interested in becoming neither a hero nor a leader.\A world that lionizes heroes and leaders is still primitive.\Until individuals who are neither\change their way of thinking and rise to action,\the world can never be updated.\Like I said, ditch the idealism! response:	Our way of thinking had changed way before!
context: Is that true?\I am interested in becoming neither a hero nor a leader.\A world that lionizes heroes and leaders is still primitive.\Until individuals who are neither\change their way of thinking and rise to action,\the world can never be updated.\Like I said, ditch the idealism!\Our way of thinking had changed way before! response:	This is a revolution, right?
context: I am interested in becoming neither a hero nor a leader.\A world that lionizes heroes and leaders is still primitive.\Until individuals who are neither\change their way of thinking and rise to action,\the world can never be updated.\Like I said, ditch the idealism!\Our way of thinking had changed way before!\This is a revolution, right? response:	The world will never change if revolutionaries just sneak around!
context: A world that lionizes heroes and leaders is still primitive.\Until individuals who are neither\change their way of thinking and rise to action,\the world can never be updated.\Like I said, ditch the idealism!\Our way of thinking had changed way before!\This is a revolution, right?\The world will never change if revolutionaries just sneak around! response:	Everyone's raring to go!
context: Until individuals who are neither\change their way of thinking and rise to action,\the world can never be updated.\Like I said, ditch the idealism!\Our way of thinking had changed way before!\This is a revolution, right?\The world will never change if revolutionaries just sneak around!\Everyone's raring to go! response:	Let us use CROWDS already!
context: change their way of thinking and rise to action,\the world can never be updated.\Like I said, ditch the idealism!\Our way of thinking had changed way before!\This is a revolution, right?\The world will never change if revolutionaries just sneak around!\Everyone's raring to go!\Let us use CROWDS already! response:	Umeda-san, are you having any fun right now?
context: the world can never be updated.\Like I said, ditch the idealism!\Our way of thinking had changed way before!\This is a revolution, right?\The world will never change if revolutionaries just sneak around!\Everyone's raring to go!\Let us use CROWDS already!\Umeda-san, are you having any fun right now? response:	Huh?
context: Like I said, ditch the idealism!\Our way of thinking had changed way before!\This is a revolution, right?\The world will never change if revolutionaries just sneak around!\Everyone's raring to go!\Let us use CROWDS already!\Umeda-san, are you having any fun right now?\Huh? response:	Do you feel any joy in being one of the Hundred?
context: Our way of thinking had changed way before!\This is a revolution, right?\The world will never change if revolutionaries just sneak around!\Everyone's raring to go!\Let us use CROWDS already!\Umeda-san, are you having any fun right now?\Huh?\Do you feel any joy in being one of the Hundred? response:	I have no clue what you're getting at.
context: This is a revolution, right?\The world will never change if revolutionaries just sneak around!\Everyone's raring to go!\Let us use CROWDS already!\Umeda-san, are you having any fun right now?\Huh?\Do you feel any joy in being one of the Hundred?\I have no clue what you're getting at. response:	I do feel joy.
context: The world will never change if revolutionaries just sneak around!\Everyone's raring to go!\Let us use CROWDS already!\Umeda-san, are you having any fun right now?\Huh?\Do you feel any joy in being one of the Hundred?\I have no clue what you're getting at.\I do feel joy. response:	It's a joy that comes from deep within.
context: Everyone's raring to go!\Let us use CROWDS already!\Umeda-san, are you having any fun right now?\Huh?\Do you feel any joy in being one of the Hundred?\I have no clue what you're getting at.\I do feel joy.\It's a joy that comes from deep within. response:	It's not based on external factors like
context: Let us use CROWDS already!\Umeda-san, are you having any fun right now?\Huh?\Do you feel any joy in being one of the Hundred?\I have no clue what you're getting at.\I do feel joy.\It's a joy that comes from deep within.\It's not based on external factors like response:	money, reputation, status, or reward.
context: Umeda-san, are you having any fun right now?\Huh?\Do you feel any joy in being one of the Hundred?\I have no clue what you're getting at.\I do feel joy.\It's a joy that comes from deep within.\It's not based on external factors like\money, reputation, status, or reward. response:	It stems from connecting with people possessing a similar purpose,
context: Huh?\Do you feel any joy in being one of the Hundred?\I have no clue what you're getting at.\I do feel joy.\It's a joy that comes from deep within.\It's not based on external factors like\money, reputation, status, or reward.\It stems from connecting with people possessing a similar purpose, response:	giving a helping hand to those in need,
context: Do you feel any joy in being one of the Hundred?\I have no clue what you're getting at.\I do feel joy.\It's a joy that comes from deep within.\It's not based on external factors like\money, reputation, status, or reward.\It stems from connecting with people possessing a similar purpose,\giving a helping hand to those in need, response:	then working together to right wrongs.
context: I have no clue what you're getting at.\I do feel joy.\It's a joy that comes from deep within.\It's not based on external factors like\money, reputation, status, or reward.\It stems from connecting with people possessing a similar purpose,\giving a helping hand to those in need,\then working together to right wrongs. response:	It is a joy that comes from within, innate to mankind.
context: I do feel joy.\It's a joy that comes from deep within.\It's not based on external factors like\money, reputation, status, or reward.\It stems from connecting with people possessing a similar purpose,\giving a helping hand to those in need,\then working together to right wrongs.\It is a joy that comes from within, innate to mankind. response:	The circle of community will spread, eventually creating
context: It's a joy that comes from deep within.\It's not based on external factors like\money, reputation, status, or reward.\It stems from connecting with people possessing a similar purpose,\giving a helping hand to those in need,\then working together to right wrongs.\It is a joy that comes from within, innate to mankind.\The circle of community will spread, eventually creating response:	a world where everyone will help each other without compensation.
context: It's not based on external factors like\money, reputation, status, or reward.\It stems from connecting with people possessing a similar purpose,\giving a helping hand to those in need,\then working together to right wrongs.\It is a joy that comes from within, innate to mankind.\The circle of community will spread, eventually creating\a world where everyone will help each other without compensation. response:	It will be a world without heroes and leaders,
context: money, reputation, status, or reward.\It stems from connecting with people possessing a similar purpose,\giving a helping hand to those in need,\then working together to right wrongs.\It is a joy that comes from within, innate to mankind.\The circle of community will spread, eventually creating\a world where everyone will help each other without compensation.\It will be a world without heroes and leaders, response:	where everyone is equal, working side by side,
context: It stems from connecting with people possessing a similar purpose,\giving a helping hand to those in need,\then working together to right wrongs.\It is a joy that comes from within, innate to mankind.\The circle of community will spread, eventually creating\a world where everyone will help each other without compensation.\It will be a world without heroes and leaders,\where everyone is equal, working side by side, response:	slowly changing the world without
context: giving a helping hand to those in need,\then working together to right wrongs.\It is a joy that comes from within, innate to mankind.\The circle of community will spread, eventually creating\a world where everyone will help each other without compensation.\It will be a world without heroes and leaders,\where everyone is equal, working side by side,\slowly changing the world without response:	holding their own deeds in high esteem.
context: then working together to right wrongs.\It is a joy that comes from within, innate to mankind.\The circle of community will spread, eventually creating\a world where everyone will help each other without compensation.\It will be a world without heroes and leaders,\where everyone is equal, working side by side,\slowly changing the world without\holding their own deeds in high esteem. response:	That is the revolution GALAX aims for.
context: It is a joy that comes from within, innate to mankind.\The circle of community will spread, eventually creating\a world where everyone will help each other without compensation.\It will be a world without heroes and leaders,\where everyone is equal, working side by side,\slowly changing the world without\holding their own deeds in high esteem.\That is the revolution GALAX aims for. response:	As if anyone would be satisfied by a scam like that.
context: The circle of community will spread, eventually creating\a world where everyone will help each other without compensation.\It will be a world without heroes and leaders,\where everyone is equal, working side by side,\slowly changing the world without\holding their own deeds in high esteem.\That is the revolution GALAX aims for.\As if anyone would be satisfied by a scam like that. response:	A scam?
context: a world where everyone will help each other without compensation.\It will be a world without heroes and leaders,\where everyone is equal, working side by side,\slowly changing the world without\holding their own deeds in high esteem.\That is the revolution GALAX aims for.\As if anyone would be satisfied by a scam like that.\A scam? response:	Yeah, that's right.
context: It will be a world without heroes and leaders,\where everyone is equal, working side by side,\slowly changing the world without\holding their own deeds in high esteem.\That is the revolution GALAX aims for.\As if anyone would be satisfied by a scam like that.\A scam?\Yeah, that's right. response:	LOAD, you don't have the backbone.
context: where everyone is equal, working side by side,\slowly changing the world without\holding their own deeds in high esteem.\That is the revolution GALAX aims for.\As if anyone would be satisfied by a scam like that.\A scam?\Yeah, that's right.\LOAD, you don't have the backbone. response:	You think we'll be satisfied with wishy-washy logic like that?
context: slowly changing the world without\holding their own deeds in high esteem.\That is the revolution GALAX aims for.\As if anyone would be satisfied by a scam like that.\A scam?\Yeah, that's right.\LOAD, you don't have the backbone.\You think we'll be satisfied with wishy-washy logic like that? response:	But I believed you.
context: holding their own deeds in high esteem.\That is the revolution GALAX aims for.\As if anyone would be satisfied by a scam like that.\A scam?\Yeah, that's right.\LOAD, you don't have the backbone.\You think we'll be satisfied with wishy-washy logic like that?\But I believed you. response:	Your cheer, optimism, willingness to help others...
context: That is the revolution GALAX aims for.\As if anyone would be satisfied by a scam like that.\A scam?\Yeah, that's right.\LOAD, you don't have the backbone.\You think we'll be satisfied with wishy-washy logic like that?\But I believed you.\Your cheer, optimism, willingness to help others... response:	Your selfless actions both within GALAX and without in the real world.
context: As if anyone would be satisfied by a scam like that.\A scam?\Yeah, that's right.\LOAD, you don't have the backbone.\You think we'll be satisfied with wishy-washy logic like that?\But I believed you.\Your cheer, optimism, willingness to help others...\Your selfless actions both within GALAX and without in the real world. response:	I felt I could give you special powers
context: A scam?\Yeah, that's right.\LOAD, you don't have the backbone.\You think we'll be satisfied with wishy-washy logic like that?\But I believed you.\Your cheer, optimism, willingness to help others...\Your selfless actions both within GALAX and without in the real world.\I felt I could give you special powers response:	without them being misused.
context: Yeah, that's right.\LOAD, you don't have the backbone.\You think we'll be satisfied with wishy-washy logic like that?\But I believed you.\Your cheer, optimism, willingness to help others...\Your selfless actions both within GALAX and without in the real world.\I felt I could give you special powers\without them being misused. response:	I believed you would use them to update the world.
context: LOAD, you don't have the backbone.\You think we'll be satisfied with wishy-washy logic like that?\But I believed you.\Your cheer, optimism, willingness to help others...\Your selfless actions both within GALAX and without in the real world.\I felt I could give you special powers\without them being misused.\I believed you would use them to update the world. response:	Get credit?
context: You think we'll be satisfied with wishy-washy logic like that?\But I believed you.\Your cheer, optimism, willingness to help others...\Your selfless actions both within GALAX and without in the real world.\I felt I could give you special powers\without them being misused.\I believed you would use them to update the world.\Get credit? response:	Become heroes?
context: But I believed you.\Your cheer, optimism, willingness to help others...\Your selfless actions both within GALAX and without in the real world.\I felt I could give you special powers\without them being misused.\I believed you would use them to update the world.\Get credit?\Become heroes? response:	I didn't create GALAX for such insignificant things!
context: Your cheer, optimism, willingness to help others...\Your selfless actions both within GALAX and without in the real world.\I felt I could give you special powers\without them being misused.\I believed you would use them to update the world.\Get credit?\Become heroes?\I didn't create GALAX for such insignificant things! response:	C'mon, gimme a break.
context: Your selfless actions both within GALAX and without in the real world.\I felt I could give you special powers\without them being misused.\I believed you would use them to update the world.\Get credit?\Become heroes?\I didn't create GALAX for such insignificant things!\C'mon, gimme a break. response:	Please remember, Umeda-san.
context: I felt I could give you special powers\without them being misused.\I believed you would use them to update the world.\Get credit?\Become heroes?\I didn't create GALAX for such insignificant things!\C'mon, gimme a break.\Please remember, Umeda-san. response:	Remember when you first reached out and helped a stranger.
context: without them being misused.\I believed you would use them to update the world.\Get credit?\Become heroes?\I didn't create GALAX for such insignificant things!\C'mon, gimme a break.\Please remember, Umeda-san.\Remember when you first reached out and helped a stranger. response:	Everything will be all right.
context: I believed you would use them to update the world.\Get credit?\Become heroes?\I didn't create GALAX for such insignificant things!\C'mon, gimme a break.\Please remember, Umeda-san.\Remember when you first reached out and helped a stranger.\Everything will be all right. response:	The world will soon change.
context: Get credit?\Become heroes?\I didn't create GALAX for such insignificant things!\C'mon, gimme a break.\Please remember, Umeda-san.\Remember when you first reached out and helped a stranger.\Everything will be all right.\The world will soon change. response:	We will change the prevailing sentiment that
context: Become heroes?\I didn't create GALAX for such insignificant things!\C'mon, gimme a break.\Please remember, Umeda-san.\Remember when you first reached out and helped a stranger.\Everything will be all right.\The world will soon change.\We will change the prevailing sentiment that response:	money and reputation are everything.
context: I didn't create GALAX for such insignificant things!\C'mon, gimme a break.\Please remember, Umeda-san.\Remember when you first reached out and helped a stranger.\Everything will be all right.\The world will soon change.\We will change the prevailing sentiment that\money and reputation are everything. response:	Everyone will soon realize the true joy... the true connection.
context: C'mon, gimme a break.\Please remember, Umeda-san.\Remember when you first reached out and helped a stranger.\Everything will be all right.\The world will soon change.\We will change the prevailing sentiment that\money and reputation are everything.\Everyone will soon realize the true joy... the true connection. response:	They will realize that those are things people really desire!
context: Please remember, Umeda-san.\Remember when you first reached out and helped a stranger.\Everything will be all right.\The world will soon change.\We will change the prevailing sentiment that\money and reputation are everything.\Everyone will soon realize the true joy... the true connection.\They will realize that those are things people really desire! response:	Umeda-san!
context: Remember when you first reached out and helped a stranger.\Everything will be all right.\The world will soon change.\We will change the prevailing sentiment that\money and reputation are everything.\Everyone will soon realize the true joy... the true connection.\They will realize that those are things people really desire!\Umeda-san! response:	Let's change the world together!
context: Everything will be all right.\The world will soon change.\We will change the prevailing sentiment that\money and reputation are everything.\Everyone will soon realize the true joy... the true connection.\They will realize that those are things people really desire!\Umeda-san!\Let's change the world together! response:	I get it.
context: The world will soon change.\We will change the prevailing sentiment that\money and reputation are everything.\Everyone will soon realize the true joy... the true connection.\They will realize that those are things people really desire!\Umeda-san!\Let's change the world together!\I get it. response:	Thank you.
context: We will change the prevailing sentiment that\money and reputation are everything.\Everyone will soon realize the true joy... the true connection.\They will realize that those are things people really desire!\Umeda-san!\Let's change the world together!\I get it.\Thank you. response:	I'm glad you understand.
context: money and reputation are everything.\Everyone will soon realize the true joy... the true connection.\They will realize that those are things people really desire!\Umeda-san!\Let's change the world together!\I get it.\Thank you.\I'm glad you understand. response:	Don't get me wrong.
context: Everyone will soon realize the true joy... the true connection.\They will realize that those are things people really desire!\Umeda-san!\Let's change the world together!\I get it.\Thank you.\I'm glad you understand.\Don't get me wrong. response:	I really get it that you're the one who's a useless leader.
context: They will realize that those are things people really desire!\Umeda-san!\Let's change the world together!\I get it.\Thank you.\I'm glad you understand.\Don't get me wrong.\I really get it that you're the one who's a useless leader. response:	Papa?
context: Umeda-san!\Let's change the world together!\I get it.\Thank you.\I'm glad you understand.\Don't get me wrong.\I really get it that you're the one who's a useless leader.\Papa? response:	Mana.
context: Let's change the world together!\I get it.\Thank you.\I'm glad you understand.\Don't get me wrong.\I really get it that you're the one who's a useless leader.\Papa?\Mana. response:	What's the matter, Papa?
context: I get it.\Thank you.\I'm glad you understand.\Don't get me wrong.\I really get it that you're the one who's a useless leader.\Papa?\Mana.\What's the matter, Papa? response:	It's nothing.
context: Thank you.\I'm glad you understand.\Don't get me wrong.\I really get it that you're the one who's a useless leader.\Papa?\Mana.\What's the matter, Papa?\It's nothing. response:	Let's go, yeah?
context: I'm glad you understand.\Don't get me wrong.\I really get it that you're the one who's a useless leader.\Papa?\Mana.\What's the matter, Papa?\It's nothing.\Let's go, yeah? response:	Okay.
context: Don't get me wrong.\I really get it that you're the one who's a useless leader.\Papa?\Mana.\What's the matter, Papa?\It's nothing.\Let's go, yeah?\Okay. response:	X, please withdraw him and his friends immediately.
context: I really get it that you're the one who's a useless leader.\Papa?\Mana.\What's the matter, Papa?\It's nothing.\Let's go, yeah?\Okay.\X, please withdraw him and his friends immediately. response:	Understood.
context: Papa?\Mana.\What's the matter, Papa?\It's nothing.\Let's go, yeah?\Okay.\X, please withdraw him and his friends immediately.\Understood. response:	The world is regressing...
context: Mana.\What's the matter, Papa?\It's nothing.\Let's go, yeah?\Okay.\X, please withdraw him and his friends immediately.\Understood.\The world is regressing... response:	It appears I have made a mistake in my selection of partners.
context: What's the matter, Papa?\It's nothing.\Let's go, yeah?\Okay.\X, please withdraw him and his friends immediately.\Understood.\The world is regressing...\It appears I have made a mistake in my selection of partners. response:	But you have me!
context: It's nothing.\Let's go, yeah?\Okay.\X, please withdraw him and his friends immediately.\Understood.\The world is regressing...\It appears I have made a mistake in my selection of partners.\But you have me! response:	Hey, Rui-Rui.
context: Let's go, yeah?\Okay.\X, please withdraw him and his friends immediately.\Understood.\The world is regressing...\It appears I have made a mistake in my selection of partners.\But you have me!\Hey, Rui-Rui. response:	Why won't you use my power?
context: Okay.\X, please withdraw him and his friends immediately.\Understood.\The world is regressing...\It appears I have made a mistake in my selection of partners.\But you have me!\Hey, Rui-Rui.\Why won't you use my power? response:	Tell me plz!
context: X, please withdraw him and his friends immediately.\Understood.\The world is regressing...\It appears I have made a mistake in my selection of partners.\But you have me!\Hey, Rui-Rui.\Why won't you use my power?\Tell me plz! response:	Watch where you're going!
context: Understood.\The world is regressing...\It appears I have made a mistake in my selection of partners.\But you have me!\Hey, Rui-Rui.\Why won't you use my power?\Tell me plz!\Watch where you're going! response:	He's a total asshole.
context: The world is regressing...\It appears I have made a mistake in my selection of partners.\But you have me!\Hey, Rui-Rui.\Why won't you use my power?\Tell me plz!\Watch where you're going!\He's a total asshole. response:	Rui-san, want me to get him?
context: It appears I have made a mistake in my selection of partners.\But you have me!\Hey, Rui-Rui.\Why won't you use my power?\Tell me plz!\Watch where you're going!\He's a total asshole.\Rui-san, want me to get him? response:	Shut up! Be quiet!
context: But you have me!\Hey, Rui-Rui.\Why won't you use my power?\Tell me plz!\Watch where you're going!\He's a total asshole.\Rui-san, want me to get him?\Shut up! Be quiet! response:	Okay, here's a comment from General X.
context: Hey, Rui-Rui.\Why won't you use my power?\Tell me plz!\Watch where you're going!\He's a total asshole.\Rui-san, want me to get him?\Shut up! Be quiet!\Okay, here's a comment from General X. response:	Rui, a magnitude 8.5 earthquake
context: Why won't you use my power?\Tell me plz!\Watch where you're going!\He's a total asshole.\Rui-san, want me to get him?\Shut up! Be quiet!\Okay, here's a comment from General X.\Rui, a magnitude 8.5 earthquake response:	has just occurred in the Kantou region.
context: Tell me plz!\Watch where you're going!\He's a total asshole.\Rui-san, want me to get him?\Shut up! Be quiet!\Okay, here's a comment from General X.\Rui, a magnitude 8.5 earthquake\has just occurred in the Kantou region. response:	Tens of thousands of casualties are expected from
